,Median mortgage repayments,Households where mortgage repayments are less than 30% of household income,Households with mortgage repayments greater than or equal to 30% of household income,Median mortgage repayments (%),Households where mortgage repayments are less than 30% of household income (%),Households with mortgage repayments greater than or equal to 30% of household income (%),SSC_CODE
Wandella (NSW),1000.0,--,--,--,100.0,0.0,14128
Angledale,1083.0,--,--,--,100.0,0.0,10056
Verona,1500.0,--,--,--,94.4,5.6,14073
Tanja,1307.0,--,--,--,88.7,11.3,13749
Coolagolite,1300.0,--,--,--,92.3,7.7,11023
Brogo,1083.0,--,--,--,92.9,7.1,10589
Stony Creek (Bega Valley - NSW),1733.0,--,--,--,86.7,13.3,13668
Numbugga,1200.0,--,--,--,92.1,7.9,13038
Buckajo,1733.0,--,--,--,85.7,14.3,10629
Kameruka,1733.0,--,--,--,91.4,8.6,12054
Greigs Flat,2075.0,--,--,--,89.8,10.2,11775
Broulee,1517.0,--,--,--,95.9,4.1,10608
Tomakin,1517.0,--,--,--,92.5,7.5,13890
Mossy Point,1450.0,--,--,--,96.2,3.8,12741
Bodalla,1300.0,--,--,--,92.7,7.3,10434
Narooma,1268.0,--,--,--,95.0,5.0,12900
Eden,1387.0,--,--,--,95.1,4.9,11375
South Durras,1300.0,--,--,--,97.3,2.7,13580
Mogo (Eurobodalla - NSW),1344.0,--,--,--,94.2,5.8,12660
Jeremadra,1294.0,--,--,--,90.6,9.4,12012
Turlinjah,1579.0,--,--,--,100.0,0.0,13975
Potato Point,1473.0,--,--,--,94.7,5.3,13253
Kianga (NSW),1463.0,--,--,--,93.0,7.0,12119
Tuross Head,1300.0,--,--,--,95.8,4.2,13979
Pambula Beach,1636.0,--,--,--,94.7,5.3,13141
Merimbula,1400.0,--,--,--,95.8,4.2,12575
Tura Beach,1452.0,--,--,--,95.1,4.9,13973
South Pambula,1359.0,--,--,--,84.6,15.4,13595
Broadwater (Bega Valley - NSW),1517.0,--,--,--,100.0,0.0,10579
Bald Hills (NSW),1700.0,--,--,--,91.6,8.4,10147
Millingandi,1500.0,--,--,--,96.9,3.1,12622
Mirador,1907.0,--,--,--,91.9,8.1,12644
Berrambool,1387.0,--,--,--,92.9,7.1,10312
Moruya,1387.0,--,--,--,93.1,6.9,12734
Moruya Heads,1311.0,--,--,--,93.0,7.0,12735
Bergalia,1854.0,--,--,--,92.6,7.4,10302
Congo,1615.0,--,--,--,100.0,0.0,11008
Bingie,1582.0,--,--,--,94.7,5.3,10367
Bermagui,1300.0,--,--,--,95.4,4.6,10307
Dalmeny,1300.0,--,--,--,94.2,5.8,11191
Wallaga Lake,1100.0,--,--,--,95.0,5.0,14102
Central Tilba,1420.0,--,--,--,93.4,6.6,10877
North Narooma,1300.0,--,--,--,95.9,4.1,12998
Akolele,1475.0,--,--,--,100.0,0.0,10023
Mystery Bay,1600.0,--,--,--,88.3,11.7,12883
Goulburn,1517.0,--,--,--,94.9,5.1,11725
