,Median mortgage repayments,Households where mortgage repayments are less than 30% of household income,Households with mortgage repayments greater than or equal to 30% of household income,Median mortgage repayments (%),Households where mortgage repayments are less than 30% of household income (%),Households with mortgage repayments greater than or equal to 30% of household income (%),SSC_CODE
Newbridge (NSW),1083.0,--,--,--,93.4,6.6,12948
Orange,1625.0,--,--,--,94.7,5.3,13092
Clifton Grove,2167.0,--,--,--,91.2,8.8,10934
Cumnock,910.0,--,--,--,94.5,5.5,11159
Cudal,1300.0,--,--,--,94.7,5.3,11140
Molong,1517.0,--,--,--,94.2,5.8,12671
Manildra,1213.0,--,--,--,94.0,6.0,12473
Cargo,1500.0,--,--,--,93.3,6.7,10813
Springside (NSW),2400.0,--,--,--,88.7,11.3,13626
Spring Hill (Cabonne - NSW),1591.0,--,--,--,87.1,12.9,13615
Guyong,1767.0,--,--,--,91.7,8.3,11821
Emu Swamp,1984.0,--,--,--,100.0,0.0,11419
Lewis Ponds,1647.0,--,--,--,87.8,12.2,12312
Lucknow (NSW),1900.0,--,--,--,92.0,8.0,12418
Spring Creek (NSW),2214.0,--,--,--,93.5,6.5,13611
Huntley (Orange - NSW),1650.0,--,--,--,100.0,0.0,11958
Canobolas,1600.0,--,--,--,94.6,5.4,10793
Clergate,1733.0,--,--,--,93.4,6.6,10929
March,2084.0,--,--,--,92.5,7.5,12486
Summer Hill Creek,2019.0,--,--,--,87.5,12.5,13688
Mullion Creek,1733.0,--,--,--,88.9,11.1,12826
Nashdale,2600.0,--,--,--,97.4,2.6,12913
Windera (NSW),2550.0,--,--,--,95.7,4.3,14319
Lidster,2200.0,--,--,--,86.4,13.6,12319
Borenore,2169.0,--,--,--,89.3,10.7,10513
Yeoval,801.0,--,--,--,98.0,2.0,14507
Grafton,1300.0,--,--,--,96.1,3.9,11733
Rushforth,1777.0,--,--,--,91.2,8.8,13446
Great Marlow,2100.0,--,--,--,93.5,6.5,11745
South Grafton,1083.0,--,--,--,94.5,5.5,13582
Junction Hill,1509.0,--,--,--,96.1,3.9,12045
Carrs Creek,1365.0,--,--,--,100.0,0.0,10834
Tucabia,1083.0,--,--,--,84.8,15.2,13945
Ulmarra,1083.0,--,--,--,94.1,5.9,14004
Ramornie,1378.0,--,--,--,87.1,12.9,13308
Nymboida,600.0,--,--,--,97.2,2.8,13048
Blaxlands Creek,1517.0,--,--,--,89.7,10.3,10408
Glenreagh,1300.0,--,--,--,90.3,9.7,11675
Wells Crossing,1246.0,--,--,--,86.8,13.2,14223
Kungala,968.0,--,--,--,92.5,7.5,12212
Wooli,1105.0,--,--,--,96.7,3.3,14403
Halfway Creek,1159.0,--,--,--,94.6,5.4,11831
Copmanhurst,789.0,--,--,--,93.8,6.2,11060
Whiteman Creek,1164.0,--,--,--,80.4,19.6,14277
The Whiteman,1517.0,--,--,--,89.4,10.6,13843
Waterview Heights,1473.0,--,--,--,93.1,6.9,14186
Lawrence (NSW),1200.0,--,--,--,94.4,5.6,12288
Eatonsville,1300.0,--,--,--,86.8,13.2,11370
Seelands,1500.0,--,--,--,92.7,7.3,13515
Mountain View (NSW),1658.0,--,--,--,94.4,5.6,12808
Southgate,1398.0,--,--,--,93.0,7.0,13604
Lower Southgate,1300.0,--,--,--,87.9,12.1,12413
Ashby Heights,1100.0,--,--,--,85.4,14.6,10095
Tullymorgan,1300.0,--,--,--,92.1,7.9,13960
Ashby (NSW),1300.0,--,--,--,95.2,4.8,10094
South Arm (Clarence Valley - NSW),1213.0,--,--,--,93.2,6.8,13574
Woodford Island,1337.0,--,--,--,94.0,6.0,14384
Brushgrove,1500.0,--,--,--,85.3,14.7,10622
Elland,1509.0,--,--,--,94.3,5.7,11399
Coutts Crossing,1200.0,--,--,--,94.9,5.1,11094
Kremnos,867.0,--,--,--,91.7,8.3,12204
Lanitza,1400.0,--,--,--,84.5,15.5,12270
Braunstone,1733.0,--,--,--,95.4,4.6,10550
Glenugie,1328.0,--,--,--,85.9,14.1,11681
Clarenza,1604.0,--,--,--,95.0,5.0,10922
Swan Creek (NSW),1170.0,--,--,--,100.0,0.0,13706
Pillar Valley,1246.0,--,--,--,94.7,5.3,13204
Minnie Water,1612.0,--,--,--,94.7,5.3,12640
Tyndale,1077.0,--,--,--,90.5,9.5,13997
Ilarwill,1114.0,--,--,--,88.9,11.1,11970
Yamba (NSW),1517.0,--,--,--,95.8,4.2,14458
Brooms Head,1733.0,--,--,--,95.0,5.0,10603
Woombah,1275.0,--,--,--,95.1,4.9,14414
Maclean,1300.0,--,--,--,97.2,2.8,12431
Iluka (NSW),1203.0,--,--,--,97.4,2.6,11975
Harwood,1327.0,--,--,--,90.4,9.6,11865
Chatsworth (NSW),1645.0,--,--,--,92.2,7.8,10894
Townsend,1400.0,--,--,--,94.5,5.5,13928
Palmers Channel,1695.0,--,--,--,93.8,6.2,13135
James Creek,1600.0,--,--,--,89.2,10.8,11999
Palmers Island,1733.0,--,--,--,92.2,7.8,13136
Bellingen,1430.0,--,--,--,93.3,6.7,10273
Brierfield,1300.0,--,--,--,93.8,6.2,10568
Fernmount,1500.0,--,--,--,93.5,6.5,11509
Darkwood,1441.0,--,--,--,87.9,12.1,11210
Thora,1387.0,--,--,--,95.3,4.7,13849
Gleniffer,1566.0,--,--,--,94.3,5.7,11668
Valery,1348.0,--,--,--,93.3,6.7,14066
Kalang,1300.0,--,--,--,94.4,5.6,12050
Coffs Harbour,1555.0,--,--,--,94.8,5.2,10959
North Boambee Valley,1820.0,--,--,--,94.8,5.2,12983
Coramba,1614.0,--,--,--,87.0,13.0,11065
Nana Glen,1456.0,--,--,--,88.3,11.7,12889
Karangi,1473.0,--,--,--,87.3,12.7,12072
Megan,875.0,--,--,--,100.0,0.0,12558
Ulong,861.0,--,--,--,92.5,7.5,14005
Lowanna,1008.0,--,--,--,87.1,12.9,12398
Deer Vale,1754.0,--,--,--,94.4,5.6,11232
Bostobrick,1133.0,--,--,--,93.9,6.1,10516
North Dorrigo,1300.0,--,--,--,95.5,4.5,12989
Sapphire Beach,1863.0,--,--,--,93.4,6.6,13491
Emerald Beach,1712.0,--,--,--,90.9,9.1,11411
Korora,1800.0,--,--,--,94.5,5.5,12197
Boambee East,1517.0,--,--,--,92.3,7.7,10422
Boambee,1800.0,--,--,--,91.5,8.5,10421
Sawtell,1733.0,--,--,--,96.5,3.5,13498
Mylestom,1517.0,--,--,--,97.9,2.1,12875
Raleigh,1394.0,--,--,--,94.4,5.6,13307
Repton,1580.0,--,--,--,87.9,12.1,13352
Valla,1733.0,--,--,--,87.7,12.3,14067
Woolgoolga,1548.0,--,--,--,96.3,3.7,14402
Safety Beach (NSW),1800.0,--,--,--,95.5,4.5,13462
Sandy Beach,1500.0,--,--,--,90.0,10.0,13479
Corindi Beach,1700.0,--,--,--,91.2,8.8,11073
Arrawarra Headland,1387.0,--,--,--,93.5,6.5,10089
Mullaway,1600.0,--,--,--,91.8,8.2,12822
Bourke,910.0,--,--,--,97.8,2.2,10522
Wanaaring,300.0,--,--,--,100.0,0.0,14126
North Bourke,1350.0,--,--,--,96.3,3.7,12985
Enngonia,1051.0,--,--,--,100.0,0.0,11426
Brewarrina,437.0,--,--,--,99.1,0.9,10563
Cobar,1300.0,--,--,--,97.4,2.6,10949
Coonamble,921.0,--,--,--,97.4,2.6,11044
Gulargambone,600.0,--,--,--,98.5,1.5,11792
Quambone,384.0,--,--,--,100.0,0.0,13287
Nyngan,1083.0,--,--,--,97.1,2.9,13049
Hermidale,975.0,--,--,--,80.6,19.4,11894
Ravenswood (NSW),771.0,--,--,--,97.5,2.5,13321
Goodooga,542.0,--,--,--,100.0,0.0,11702
Come By Chance,1629.0,--,--,--,100.0,0.0,10993
Walgett,953.0,--,--,--,98.4,1.6,14096
Burren Junction,498.0,--,--,--,96.8,3.2,10710
Lightning Ridge,867.0,--,--,--,98.1,1.9,12320
Collarenebri,479.0,--,--,--,100.0,0.0,10969
Broken Hill,953.0,--,--,--,96.9,3.1,10592
White Cliffs,460.0,--,--,--,100.0,0.0,14274
Menindee,700.0,--,--,--,97.3,2.7,12571
Wilcannia,405.0,--,--,--,100.0,0.0,14290
Tibooburra,339.0,--,--,--,100.0,0.0,13860
Pooncarie,867.0,--,--,--,92.9,7.1,13242
Ivanhoe (NSW),758.0,--,--,--,100.0,0.0,11991
Coonabarabran,1079.0,--,--,--,96.5,3.5,11043
Binnaway,704.0,--,--,--,96.5,3.5,10372
Mendooran,867.0,--,--,--,95.4,4.6,12570
Coolah,925.0,--,--,--,95.7,4.3,11024
Tambar Springs,384.0,--,--,--,95.5,4.5,13743
Merrygoen,225.0,--,--,--,100.0,0.0,12587
Terramungamine,2000.0,--,--,--,90.7,9.3,13801
Brocklehurst,1376.0,--,--,--,94.1,5.9,10583
Wongarbon,1387.0,--,--,--,92.4,7.6,14373
Elong Elong,368.0,--,--,--,100.0,0.0,11406
Gollan,2128.0,--,--,--,83.8,16.2,11694
Eumungerie,1192.0,--,--,--,89.3,10.7,11456
Minore,1842.0,--,--,--,100.0,0.0,12641
Ballimore,1278.0,--,--,--,91.8,8.2,10161
Gilgandra,1083.0,--,--,--,96.7,3.3,11619
Collie (NSW),671.0,--,--,--,93.3,6.7,10975
Curban,1500.0,--,--,--,92.5,7.5,11166
Tooraweenah,400.0,--,--,--,100.0,0.0,13911
Narromine,1148.0,--,--,--,95.9,4.1,12911
Burroway,719.0,--,--,--,100.0,0.0,10715
Trangie,819.0,--,--,--,97.6,2.4,13932
Tomingley,1200.0,--,--,--,94.6,5.4,13896
Wellington (NSW),1000.0,--,--,--,96.7,3.3,14221
Mumbil,884.0,--,--,--,100.0,0.0,12832
Stuart Town,1125.0,--,--,--,95.9,4.1,13680
Neurea,2000.0,--,--,--,91.7,8.3,12933
Maryvale (NSW),1700.0,--,--,--,94.2,5.8,12517
Greta (NSW),1647.0,--,--,--,91.8,8.2,11778
Belford,2184.0,--,--,--,89.1,10.9,10258
Branxton,1915.0,--,--,--,91.7,8.3,10549
Pokolbin,2600.0,--,--,--,93.3,6.7,13236
Keinbah,2000.0,--,--,--,86.8,13.2,12084
Lovedale,2105.0,--,--,--,94.9,5.1,12396
East Branxton,1800.0,--,--,--,94.6,5.4,11346
North Rothbury,1792.0,--,--,--,88.1,11.9,13004
Cessnock,1473.0,--,--,--,95.4,4.6,10878
Nulkaba,2117.0,--,--,--,91.5,8.5,13031
Kearsley,1517.0,--,--,--,88.9,11.1,12080
Bellbird,1517.0,--,--,--,92.8,7.2,10268
Bellbird Heights,1560.0,--,--,--,97.0,3.0,10269
Ellalong,1600.0,--,--,--,87.5,12.5,11398
Kitchener,1517.0,--,--,--,87.8,12.2,12174
Abernethy,1733.0,--,--,--,84.0,16.0,10011
Mulbring,1950.0,--,--,--,90.0,10.0,12813
Buchanan (NSW),2084.0,--,--,--,91.4,8.6,10628
Millfield,1430.0,--,--,--,91.2,8.8,12620
Paxton,1549.0,--,--,--,89.8,10.2,13162
Black Hill (NSW),2000.0,--,--,--,92.6,7.4,10385
Mount Vincent,1767.0,--,--,--,92.2,7.8,12799
Brunkerville,1875.0,--,--,--,100.0,0.0,10620
Quorrobolong,2167.0,--,--,--,89.0,11.0,13302
Congewai,1500.0,--,--,--,85.7,14.3,11007
Mount View,1867.0,--,--,--,100.0,0.0,12798
Paynes Crossing,1242.0,--,--,--,87.0,13.0,13163
Laguna,1624.0,--,--,--,95.2,4.8,12237
Wollombi,1679.0,--,--,--,93.9,6.1,14355
Watagan,1863.0,--,--,--,84.8,15.2,14180
Murrays Run,1400.0,--,--,--,94.7,5.3,12855
Bucketty,1850.0,--,--,--,80.6,19.4,10634
Dungog,1200.0,--,--,--,94.0,6.0,11320
Bendolba,1864.0,--,--,--,95.6,4.4,10291
Paterson (NSW),1733.0,--,--,--,91.1,8.9,13159
Martins Creek,1733.0,--,--,--,87.5,12.5,12511
Torryburn (Dungog - NSW),2492.0,--,--,--,88.5,11.5,13920
Vacy,1950.0,--,--,--,87.7,12.3,14063
East Gresford,1421.0,--,--,--,95.3,4.7,11350
Gresford,2006.0,--,--,--,87.1,12.9,11777
Wallarobba,2167.0,--,--,--,86.7,13.3,14111
Hilldale,2384.0,--,--,--,92.9,7.1,11906
Glen Oak,2000.0,--,--,--,88.3,11.7,11652
Glen William,2453.0,--,--,--,91.2,8.8,11654
Brookfield (NSW),1733.0,--,--,--,89.6,10.4,10596
Abermain,1367.0,--,--,--,92.0,8.0,10010
Weston (NSW),1387.0,--,--,--,94.0,6.0,14262
Kurri Kurri,1378.0,--,--,--,94.7,5.3,12221
Stanford Merthyr,1408.0,--,--,--,92.3,7.7,13647
Heddon Greta,1762.0,--,--,--,92.3,7.7,11888
Neath,1083.0,--,--,--,94.0,6.0,12917
Cliftleigh,1636.0,--,--,--,98.7,1.3,10932
Sawyers Gully,1831.0,--,--,--,86.5,13.5,13499
Hunterview,2000.0,--,--,--,94.6,5.4,11955
Redbournberry,2000.0,--,--,--,88.2,11.8,13337
Singleton (NSW),1668.0,--,--,--,95.6,4.4,13549
Whittingham,2479.0,--,--,--,89.8,10.2,14279
Gowrie (Singleton - NSW),2000.0,--,--,--,93.1,6.9,11729
Glenridding,1798.0,--,--,--,89.1,10.9,11676
Singleton Heights,1750.0,--,--,--,93.8,6.2,13550
Wattle Ponds,2200.0,--,--,--,89.8,10.2,14193
McDougalls Hill,1788.0,--,--,--,90.2,9.8,12541
Darlington (Singleton - NSW),1690.0,--,--,--,94.7,5.3,11213
Broke (NSW),1734.0,--,--,--,89.7,10.3,10590
Putty,1174.0,--,--,--,81.5,18.5,13279
Howes Valley,1560.0,--,--,--,87.0,13.0,11948
Bulga (NSW),1733.0,--,--,--,89.4,10.6,10651
Jerrys Plains,1766.0,--,--,--,91.4,8.6,12021
Maison Dieu,2600.0,--,--,--,81.2,18.8,12448
Bridgman,2292.0,--,--,--,95.2,4.8,10567
Mount Olive (Singleton - NSW),2434.0,--,--,--,89.8,10.2,12781
Westbrook (NSW),1880.0,--,--,--,92.7,7.3,14257
Reedy Creek (NSW),2309.0,--,--,--,83.3,16.7,13342
Sedgefield,2167.0,--,--,--,94.0,6.0,13514
Mitchells Flat,2817.0,--,--,--,91.9,8.1,12651
Glendon,2024.0,--,--,--,92.9,7.1,11660
Elderslie (Singleton - NSW),1590.0,--,--,--,100.0,0.0,11392
Lambs Valley (Singleton - NSW),2167.0,--,--,--,86.4,13.6,12263
Stanhope (NSW),1722.0,--,--,--,84.1,15.9,13648
Glendon Brook,2167.0,--,--,--,80.0,20.0,11661
Maitland (NSW),1300.0,--,--,--,94.5,5.5,12449
South Maitland,1387.0,--,--,--,94.3,5.7,13591
Gillieston Heights,2000.0,--,--,--,92.8,7.2,11624
Louth Park,1863.0,--,--,--,89.0,11.0,12395
Horseshoe Bend,1213.0,--,--,--,89.9,10.1,11939
Metford,1570.0,--,--,--,93.4,6.6,12592
Tenambit,1619.0,--,--,--,93.7,6.3,13787
Raworth,2167.0,--,--,--,90.9,9.1,13325
Morpeth,1733.0,--,--,--,96.1,3.9,12727
Ashtonfield,1777.0,--,--,--,93.7,6.3,10102
Chisholm (NSW),2332.0,--,--,--,90.2,9.8,10909
Largs,2000.0,--,--,--,91.4,8.6,12278
Bolwarra Heights,2121.0,--,--,--,92.1,7.9,10451
Lorn,1800.0,--,--,--,93.6,6.4,12389
Woodville (NSW),1881.0,--,--,--,92.4,7.6,14398
Maitland Vale,2167.0,--,--,--,90.0,10.0,12451
Aberglasslyn,2007.0,--,--,--,92.4,7.6,10009
Luskintyre,2305.0,--,--,--,93.1,6.9,12423
Windella,2184.0,--,--,--,89.5,10.5,14317
Telarah,1371.0,--,--,--,94.1,5.9,13780
Farley,2113.0,--,--,--,95.7,4.3,11490
Bishops Bridge,2167.0,--,--,--,89.1,10.9,10380
Thornton (NSW),1733.0,--,--,--,91.5,8.5,13851
Millers Forest,2167.0,--,--,--,89.4,10.6,12618
Berry Park,1798.0,--,--,--,100.0,0.0,10325
Anna Bay,1733.0,--,--,--,93.1,6.9,10060
Boat Harbour (Port Stephens - NSW),1950.0,--,--,--,94.9,5.1,10425
Bobs Farm,2000.0,--,--,--,87.3,12.7,10429
One Mile (NSW),2167.0,--,--,--,94.8,5.2,13085
Lemon Tree Passage,1517.0,--,--,--,93.6,6.4,12300
Mallabula,1500.0,--,--,--,91.0,9.0,12455
Tanilba Bay,1500.0,--,--,--,92.3,7.7,13748
Salamander Bay,1625.0,--,--,--,94.5,5.5,13463
Soldiers Point,1800.0,--,--,--,94.4,5.6,13570
Corlette,1842.0,--,--,--,94.4,5.6,11075
Taylors Beach (NSW),1400.0,--,--,--,93.3,6.7,13777
Nelson Bay (NSW),1733.0,--,--,--,94.8,5.2,12923
Fingal Bay,1300.0,--,--,--,97.6,2.4,11518
Raymond Terrace,1473.0,--,--,--,94.4,5.6,13327
Tomago,1517.0,--,--,--,97.7,2.3,13889
Heatherbrae,1083.0,--,--,--,96.5,3.5,11884
Duns Creek,2167.0,--,--,--,87.2,12.8,11326
Seaham,1950.0,--,--,--,88.4,11.6,13510
Wallalong,2070.0,--,--,--,87.1,12.9,14104
Brandy Hill,2090.0,--,--,--,90.7,9.3,10548
Hinton,1500.0,--,--,--,89.4,10.6,11916
Butterwick,2669.0,--,--,--,93.0,7.0,10725
East Seaham,1993.0,--,--,--,88.3,11.7,11362
Nelsons Plains,1600.0,--,--,--,92.7,7.3,12924
Osterley (NSW),2102.0,--,--,--,89.5,10.5,13099
Tea Gardens,1509.0,--,--,--,96.9,3.1,13779
North Arm Cove,1600.0,--,--,--,91.5,8.5,12979
Bundabah,1200.0,--,--,--,83.0,17.0,10668
Pindimar,1509.0,--,--,--,89.8,10.2,13211
Hawks Nest,1733.0,--,--,--,97.2,2.8,11873
Karuah,1400.0,--,--,--,94.1,5.9,12076
Medowie,1820.0,--,--,--,91.3,8.7,12554
Salt Ash,1733.0,--,--,--,89.1,10.9,13467
Williamtown,2080.0,--,--,--,94.5,5.5,14299
Twelve Mile Creek,937.0,--,--,--,100.0,0.0,13988
Swan Bay (Port Stephens - NSW),1213.0,--,--,--,96.8,3.2,13704
Muswellbrook,1668.0,--,--,--,95.5,4.5,12868
Gungal,1500.0,--,--,--,90.1,9.9,11810
Martindale,1593.0,--,--,--,100.0,0.0,12510
Castle Rock,2041.0,--,--,--,100.0,0.0,10848
Aberdeen (NSW),1625.0,--,--,--,95.6,4.4,10007
Sandy Hollow,1257.0,--,--,--,94.2,5.8,13486
Muscle Creek,2400.0,--,--,--,94.6,5.4,12867
McCullys Gap,2500.0,--,--,--,87.3,12.7,12540
Middle Brook,2100.0,--,--,--,95.6,4.4,12600
Dartbrook,2625.0,--,--,--,100.0,0.0,11217
Segenhoe,3229.0,--,--,--,92.2,7.8,13517
Rouchel,1950.0,--,--,--,100.0,0.0,13422
Murrurundi,1092.0,--,--,--,94.3,5.7,12864
Wingen,1509.0,--,--,--,89.5,10.5,14331
Parkville (NSW),1679.0,--,--,--,89.1,10.9,13154
Upper Dartbrook,2184.0,--,--,--,100.0,0.0,14022
Gundy,1997.0,--,--,--,92.9,7.1,11809
Moonan Flat,1650.0,--,--,--,81.2,18.8,12697
Niangala,325.0,--,--,--,100.0,0.0,12962
Merriwa (NSW),1213.0,--,--,--,94.4,5.6,12585
Moobi,2034.0,--,--,--,94.0,6.0,12688
Dapto,1733.0,--,--,--,92.3,7.7,11202
Marshall Mount,3900.0,--,--,--,88.4,11.6,12507
Haywards Bay,2274.0,--,--,--,82.7,17.3,11880
Brownsville,1649.0,--,--,--,93.1,6.9,10612
Horsley,1950.0,--,--,--,88.8,11.2,11942
Wongawilli,2000.0,--,--,--,89.7,10.3,14374
Kembla Grange,2300.0,--,--,--,88.9,11.1,12092
Port Kembla,1733.0,--,--,--,94.7,5.3,13245
Coniston,1700.0,--,--,--,94.8,5.2,11010
Unanderra,1707.0,--,--,--,94.8,5.2,14008
Cordeaux Heights,2000.0,--,--,--,93.5,6.5,11070
Farmborough Heights,1950.0,--,--,--,92.1,7.9,11491
Berkeley,1603.0,--,--,--,94.2,5.8,10303
Cringila,1394.0,--,--,--,90.6,9.4,11116
Lake Heights,1733.0,--,--,--,90.9,9.1,12248
Warrawong,1421.0,--,--,--,96.2,3.8,14167
Windang,1733.0,--,--,--,96.0,4.0,14316
Primbee,1842.0,--,--,--,94.7,5.3,13264
Mount Keira,2167.0,--,--,--,93.7,6.3,12768
Bulli,2288.0,--,--,--,91.9,8.1,10662
Bargo,2080.0,--,--,--,89.2,10.8,10198
Yerrinbool,1800.0,--,--,--,88.8,11.2,14510
Wilton (NSW),2580.0,--,--,--,86.7,13.3,14311
Pheasants Nest,2221.0,--,--,--,88.2,11.8,13191
Albion Park,1950.0,--,--,--,89.9,10.1,10025
Calderwood,2587.0,--,--,--,84.9,15.1,10750
Tullimbar,2167.0,--,--,--,90.6,9.4,13958
Yellow Rock (Shellharbour - NSW),1600.0,--,--,--,93.9,6.1,14503
Albion Park Rail,1700.0,--,--,--,91.8,8.2,10026
Kiama,1989.0,--,--,--,94.5,5.5,12116
Kiama Heights,1929.0,--,--,--,92.4,7.6,12118
Kiama Downs,2000.0,--,--,--,93.6,6.4,12117
Minnamurra,2383.0,--,--,--,94.8,5.2,12639
Gerringong,2123.0,--,--,--,94.3,5.7,11606
Jamberoo,1993.0,--,--,--,97.2,2.8,11998
Werri Beach,2001.0,--,--,--,94.8,5.2,14233
Gerroa,2167.0,--,--,--,98.2,1.8,11607
Jerrara,3000.0,--,--,--,100.0,0.0,12017
Toolijooa,2108.0,--,--,--,100.0,0.0,13903
Foxground,2282.0,--,--,--,100.0,0.0,11558
Flinders (NSW),2167.0,--,--,--,89.5,10.5,11534
Shell Cove,2194.0,--,--,--,89.3,10.7,13532
Barrack Point,2167.0,--,--,--,96.8,3.2,10208
Dunmore (NSW),1900.0,--,--,--,95.2,4.8,11323
Oak Flats,1733.0,--,--,--,92.5,7.5,13053
Blackbutt (NSW),1950.0,--,--,--,93.2,6.8,10391
Shellharbour City Centre,2102.0,--,--,--,100.0,0.0,13534
Warilla,1590.0,--,--,--,95.5,4.5,14151
Lake Illawarra,1555.0,--,--,--,95.3,4.7,12250
Barrack Heights,1647.0,--,--,--,93.3,6.7,10207
Fairy Meadow,1907.0,--,--,--,94.7,5.3,11484
Balgownie,2167.0,--,--,--,93.9,6.1,10155
Gwynneville,2082.0,--,--,--,96.8,3.2,11825
North Wollongong,1700.0,--,--,--,97.2,2.8,13017
Mount Ousley,2000.0,--,--,--,93.9,6.1,12782
Mount Pleasant (NSW),2349.0,--,--,--,90.6,9.4,12784
Tarrawanna,2080.0,--,--,--,95.9,4.1,13769
Corrimal,2000.0,--,--,--,93.2,6.8,11082
Towradgi,2044.0,--,--,--,94.7,5.3,13929
Fernhill,1915.0,--,--,--,95.2,4.8,11507
East Corrimal,1904.0,--,--,--,94.5,5.5,11348
Bellambi,1842.0,--,--,--,96.1,3.9,10264
Keiraville,1900.0,--,--,--,96.5,3.5,12085
Figtree,2058.0,--,--,--,93.3,6.7,11515
Helensburgh,2300.0,--,--,--,88.5,11.5,11890
Otford,2383.0,--,--,--,88.6,11.4,13101
Stanwell Park,2167.0,--,--,--,95.8,4.2,13653
Thirroul,2253.0,--,--,--,92.8,7.2,13848
Austinmer,2383.0,--,--,--,92.9,7.1,10108
Coledale,2400.0,--,--,--,90.6,9.4,10966
Wombarra,2600.0,--,--,--,92.5,7.5,14363
Scarborough (NSW),2500.0,--,--,--,88.6,11.4,13500
Coalcliff,2824.0,--,--,--,84.4,15.6,10944
Woonona,2167.0,--,--,--,93.6,6.4,14416
Russell Vale,1950.0,--,--,--,90.2,9.8,13448
Wollongong,1751.0,--,--,--,96.5,3.5,14358
Mount Saint Thomas,1950.0,--,--,--,92.9,7.1,12791
Bulahdelah,1121.0,--,--,--,93.0,7.0,10649
Wards River,586.0,--,--,--,100.0,0.0,14147
Stroud Road,1517.0,--,--,--,91.2,8.8,13679
Nerong,900.0,--,--,--,93.5,6.5,12929
Allworth,1430.0,--,--,--,95.4,4.6,10041
Markwell,1609.0,--,--,--,100.0,0.0,12493
Booral (NSW),2134.0,--,--,--,86.5,13.5,10496
Limeburners Creek (Mid-Coast - NSW),1430.0,--,--,--,85.1,14.9,12328
Green Point (Mid-Coast - NSW),1409.0,--,--,--,90.2,9.8,11755
Darawank,2000.0,--,--,--,88.4,11.6,11203
Tarbuck Bay,1275.0,--,--,--,91.4,8.6,13762
Nabiac,1300.0,--,--,--,92.0,8.0,12885
Failford,1440.0,--,--,--,96.0,4.0,11476
Coomba Park,867.0,--,--,--,88.4,11.6,11038
Smiths Lake,1300.0,--,--,--,91.8,8.2,13563
Bungwahl,1002.0,--,--,--,92.0,8.0,10687
Charlotte Bay,1500.0,--,--,--,90.7,9.3,10887
Wootton,1840.0,--,--,--,96.1,3.9,14417
Coolongolook,1300.0,--,--,--,87.1,12.9,11032
Coomba Bay,1100.0,--,--,--,88.2,11.8,11037
Elizabeth Beach,1559.0,--,--,--,91.9,8.1,11396
Blueys Beach,1335.0,--,--,--,100.0,0.0,10420
Boomerang Beach,1378.0,--,--,--,92.8,7.2,10487
Tuncurry,1300.0,--,--,--,96.2,3.8,13969
South Kempsey,1127.0,--,--,--,94.4,5.6,13588
West Kempsey,1140.0,--,--,--,95.0,5.0,14247
Kempsey,997.0,--,--,--,97.8,2.2,12095
Frederickton,1170.0,--,--,--,93.7,6.3,11561
Euroka,1738.0,--,--,--,92.7,7.3,11464
Dondingalong,1300.0,--,--,--,91.1,8.9,11272
Greenhill (NSW),1300.0,--,--,--,93.5,6.5,11763
East Kempsey,1213.0,--,--,--,95.0,5.0,11354
Verges Creek,1761.0,--,--,--,86.8,13.2,14072
Yarravel,1495.0,--,--,--,88.2,11.8,14483
Stuarts Point,1160.0,--,--,--,93.8,6.2,13681
Hat Head,1550.0,--,--,--,97.7,2.3,11869
Gladstone (NSW),1335.0,--,--,--,95.0,5.0,11639
Smithtown,1148.0,--,--,--,95.7,4.3,13564
Mungay Creek,1000.0,--,--,--,90.7,9.3,12841
Willawarrin,1040.0,--,--,--,90.8,9.2,14295
Temagog,1040.0,--,--,--,88.8,11.2,13783
Turners Flat,1517.0,--,--,--,90.0,10.0,13976
Millbank (NSW),758.0,--,--,--,93.3,6.7,12616
Belmore River,1733.0,--,--,--,88.2,11.8,10280
Austral Eden,1600.0,--,--,--,88.6,11.4,10110
Crescent Head,1487.0,--,--,--,91.9,8.1,11114
Fishermans Reach,658.0,--,--,--,93.9,6.1,11524
Clybucca,1517.0,--,--,--,76.5,23.5,10940
Collombatti,1170.0,--,--,--,90.5,9.5,10979
Kundabung,1500.0,--,--,--,89.3,10.7,12209
Sherwood (Kempsey - NSW),1700.0,--,--,--,86.2,13.8,13537
Macksville,1235.0,--,--,--,95.2,4.8,12430
North Macksville,1300.0,--,--,--,96.0,4.0,12995
Scotts Head,1209.0,--,--,--,97.0,3.0,13508
Gumma,1500.0,--,--,--,89.9,10.1,11801
Nambucca Heads,1213.0,--,--,--,96.5,3.5,12887
Hyland Park,1473.0,--,--,--,95.7,4.3,11968
Bowraville,997.0,--,--,--,94.3,5.7,10537
Valla Beach,1636.0,--,--,--,95.7,4.3,14068
South Arm (Nambucca - NSW),887.0,--,--,--,95.9,4.1,13575
Newee Creek,1519.0,--,--,--,94.3,5.7,12952
Congarinni North,1398.0,--,--,--,94.6,5.4,11006
Congarinni,1473.0,--,--,--,90.8,9.2,11005
Warrell Creek,1257.0,--,--,--,93.2,6.8,14170
Eungai Creek,1092.0,--,--,--,89.6,10.4,11458
Eungai Rail,1086.0,--,--,--,95.5,4.5,11459
Allgomera,1300.0,--,--,--,92.5,7.5,10040
Utungun,1300.0,--,--,--,90.6,9.4,14062
