,Registered marriage,De facto marriage,Not married,Registered marriage (%),De facto marriage (%),Not married (%)
Georgetown (NSW),595.0,236.0,705.0,38.7,15.4,45.9
Girraween (NSW),1983.0,141.0,1329.0,57.4,4.1,38.5
Gladesville,4004.0,737.0,3489.0,48.7,9.0,42.4
Glebe (NSW),2303.0,1294.0,4781.0,27.5,15.4,57.1
Glen Alpine,2059.0,137.0,1216.0,60.3,4.0,35.6
Glenbrook,2136.0,212.0,1354.0,57.7,5.7,36.6
Glendale (NSW),1198.0,234.0,1038.0,48.5,9.5,42.0
Glendenning,1948.0,262.0,1238.0,56.5,7.6,35.9
Glenfield (NSW),2867.0,315.0,2210.0,53.2,5.8,41.0
Glenhaven,2907.0,140.0,1575.0,62.9,3.0,34.1
Glenmore Park,8311.0,1165.0,4788.0,58.3,8.2,33.6
Glenning Valley,834.0,131.0,525.0,56.0,8.8,35.2
Glenwood (NSW),6658.0,462.0,3720.0,61.4,4.3,34.3
Gordon (NSW),2875.0,182.0,1800.0,59.2,3.7,37.1
Gorokan,2305.0,653.0,2889.0,39.4,11.2,49.4
Gosford,697.0,478.0,1418.0,26.9,18.4,54.7
Granville (NSW),4906.0,397.0,4857.0,48.3,3.9,47.8
Grays Point,1294.0,109.0,700.0,61.5,5.2,33.3
Green Point (Great Lakes - NSW),245.0,51.0,139.0,56.3,11.7,32.0
Green Valley (NSW),4762.0,333.0,3949.0,52.7,3.7,43.7
Greenacre,8456.0,349.0,7473.0,51.9,2.1,45.9
Greenfield Park,1992.0,72.0,1615.0,54.1,2.0,43.9
Greenwich,1995.0,347.0,1567.0,51.0,8.9,40.1
Greystanes,9446.0,714.0,6185.0,57.8,4.4,37.8
Guildford (NSW),6738.0,499.0,6754.0,48.2,3.6,48.3
Guildford West,1626.0,159.0,1414.0,50.8,5.0,44.2
Gwynneville,805.0,165.0,1185.0,37.4,7.7,55.0
Gymea,2738.0,525.0,2331.0,48.9,9.4,41.7
Gymea Bay,3160.0,232.0,1610.0,63.2,4.6,32.2
Haberfield,2612.0,329.0,1939.0,53.5,6.7,39.7
Halekulani,891.0,180.0,842.0,46.6,9.4,44.0
Hamilton (NSW),1024.0,431.0,1659.0,32.9,13.8,53.3
Hamilton East,367.0,54.0,261.0,53.8,7.9,38.3
Hamilton North,215.0,101.0,360.0,31.8,14.9,53.3
Hamilton South,1256.0,233.0,1499.0,42.0,7.8,50.2
Hammondville,1131.0,181.0,819.0,53.1,8.5,38.4
Harrington Park,3374.0,272.0,1551.0,64.9,5.2,29.8
Harris Park,2020.0,110.0,1702.0,52.7,2.9,44.4
Hassall Grove,1650.0,196.0,1196.0,54.2,6.4,39.3
Haymarket,852.0,355.0,2819.0,21.2,8.8,70.0
Heathcote (NSW),2511.0,269.0,1634.0,56.9,6.1,37.0
Hebersham,1725.0,264.0,1861.0,44.8,6.9,48.3
Heckenberg,774.0,119.0,1100.0,38.8,6.0,55.2
Henley,197.0,10.0,125.0,59.3,3.0,37.7
Highfields (NSW),428.0,43.0,287.0,56.5,5.7,37.9
Hillsborough (Lake Macquarie - NSW),264.0,28.0,208.0,52.8,5.6,41.6
Hillsdale,1732.0,266.0,1833.0,45.2,6.9,47.8
Hinchinbrook (NSW),4247.0,314.0,3192.0,54.8,4.1,41.2
Holmesville,534.0,114.0,396.0,51.1,10.9,37.9
Holsworthy,1854.0,330.0,1082.0,56.8,10.1,33.1
Homebush (NSW),2174.0,261.0,1983.0,49.2,5.9,44.9
Homebush West,2272.0,288.0,1909.0,50.8,6.4,42.7
Horningsea Park,1523.0,140.0,843.0,60.8,5.6,33.6
Hornsby,7859.0,949.0,6278.0,52.1,6.3,41.6
Hornsby Heights,2803.0,233.0,1555.0,61.1,5.1,33.9
Horsley,2986.0,371.0,1560.0,60.7,7.5,31.7
Hoxton Park,1710.0,174.0,1144.0,56.5,5.7,37.8
Hunters Hill,3281.0,364.0,2228.0,55.9,6.2,37.9
Huntleys Point,65.0,9.0,45.0,54.6,7.6,37.8
Hurlstone Park,1809.0,313.0,1609.0,48.5,8.4,43.1
Hurstville,10049.0,995.0,9691.0,48.5,4.8,46.7
Hurstville Grove,1092.0,51.0,681.0,59.9,2.8,37.3
Illawong,3439.0,168.0,2083.0,60.4,3.0,36.6
Ingleburn,5170.0,697.0,4747.0,48.7,6.6,44.7
Ingleside,465.0,41.0,343.0,54.8,4.8,40.4
Islington,346.0,229.0,792.0,25.3,16.8,57.9
Jamisontown,1745.0,446.0,1695.0,44.9,11.5,43.6
Jannali,2219.0,339.0,1710.0,52.0,7.9,40.1
Jesmond,555.0,183.0,1204.0,28.6,9.4,62.0
Jewells,1349.0,159.0,808.0,58.2,6.9,34.9
Kahibah,769.0,163.0,623.0,49.5,10.5,40.1
Kanahooka,2246.0,219.0,1320.0,59.3,5.8,34.9
Kangaroo Point (NSW),297.0,11.0,155.0,64.1,2.4,33.5
Kanwal,1229.0,213.0,1127.0,47.8,8.3,43.9
Kareela,1677.0,114.0,754.0,65.9,4.5,29.6
Kariong,2382.0,384.0,1703.0,53.3,8.6,38.1
Kearns,1072.0,137.0,868.0,51.6,6.6,41.8
Keiraville,1112.0,116.0,1457.0,41.4,4.3,54.3
Kellyville,9235.0,520.0,4745.0,63.7,3.6,32.7
Kembla Grange,97.0,3.0,63.0,59.5,1.8,38.7
Kensington (NSW),3025.0,765.0,4244.0,37.7,9.5,52.8
Kilaben Bay,600.0,74.0,353.0,58.4,7.2,34.4
Killara (NSW),3986.0,198.0,2647.0,58.4,2.9,38.7
Killarney Heights,2079.0,129.0,983.0,65.2,4.0,30.8
Killarney Vale,2185.0,561.0,2281.0,43.5,11.2,45.4
Kincumber,2534.0,363.0,2230.0,49.4,7.1,43.5
Kincumber South,289.0,18.0,287.0,48.7,3.0,48.3
Kings Langley,4152.0,446.0,2362.0,59.7,6.4,33.9
Kings Park (NSW),1404.0,245.0,855.0,56.1,9.8,34.1
Kingsford (NSW),4142.0,808.0,6259.0,37.0,7.2,55.8
Kingsgrove,5054.0,308.0,3600.0,56.4,3.4,40.2
Kingswood (Tamworth - NSW),520.0,51.0,233.0,64.7,6.3,29.0
Kirrawee,3492.0,519.0,2733.0,51.8,7.7,40.5
Kirribilli,986.0,477.0,1409.0,34.3,16.6,49.1
Kogarah,4925.0,570.0,4221.0,50.7,5.9,43.4
Kogarah Bay,911.0,57.0,616.0,57.5,3.6,38.9
Koolewong,314.0,58.0,238.0,51.5,9.5,39.0
Koonawarra,1172.0,216.0,1227.0,44.8,8.3,46.9
Kotara,1621.0,230.0,1110.0,54.7,7.8,37.5
Kotara South,511.0,64.0,283.0,59.6,7.5,33.0
Kurnell,827.0,170.0,626.0,51.0,10.5,38.6
Kyeemagh,341.0,24.0,252.0,55.3,3.9,40.8
Kyle Bay,385.0,29.0,232.0,59.6,4.5,35.9
La Perouse,109.0,29.0,169.0,35.5,9.4,55.0
Lake Haven,1130.0,200.0,1243.0,43.9,7.8,48.3
Lake Heights,1202.0,208.0,1072.0,48.4,8.4,43.2
Lake Illawarra,887.0,232.0,1282.0,36.9,9.7,53.4
Lakelands (NSW),695.0,48.0,396.0,61.0,4.2,34.8
Lakemba,5878.0,209.0,4471.0,55.7,2.0,42.3
Lalor Park,2176.0,391.0,2569.0,42.4,7.6,50.0
Lambton,1680.0,341.0,1737.0,44.7,9.1,46.2
Lane Cove,3608.0,574.0,2862.0,51.2,8.1,40.6
Lane Cove North,3268.0,739.0,3077.0,46.1,10.4,43.4
Lane Cove West,948.0,87.0,535.0,60.4,5.5,34.1
Lansvale,868.0,100.0,890.0,46.7,5.4,47.9
Lapstone,429.0,45.0,219.0,61.9,6.5,31.6
Lavender Bay,237.0,93.0,329.0,36.0,14.1,49.9
Leichhardt (NSW),4035.0,1551.0,4439.0,40.2,15.5,44.3
Leonay,1133.0,130.0,553.0,62.4,7.2,30.5
Lethbridge Park,1060.0,287.0,1739.0,34.3,9.3,56.4
Leumeah,3304.0,623.0,3137.0,46.8,8.8,44.4
Lewisham (NSW),793.0,326.0,950.0,38.3,15.8,45.9
Liberty Grove,828.0,107.0,581.0,54.6,7.1,38.3
Lidcombe,6565.0,415.0,5918.0,50.9,3.2,45.9
Lilli Pilli (Sutherland - NSW),627.0,43.0,277.0,66.2,4.5,29.3
Lilyfield,2301.0,734.0,2132.0,44.5,14.2,41.3
Lindfield,3628.0,212.0,2402.0,58.1,3.4,38.5
Linley Point,176.0,16.0,98.0,60.7,5.5,33.8
Lisarow,1980.0,291.0,1301.0,55.4,8.1,36.4
Little Bay,1059.0,178.0,840.0,51.0,8.6,40.4
Liverpool,8294.0,645.0,7787.0,49.6,3.9,46.6
Loftus,1752.0,153.0,1012.0,60.1,5.2,34.7
Long Jetty,1664.0,409.0,2260.0,38.4,9.4,52.2
Long Point (Campbelltown - NSW),96.0,0.0,62.0,60.8,0.0,39.2
Longueville,984.0,55.0,479.0,64.8,3.6,31.6
Lugarno,2729.0,186.0,1424.0,62.9,4.3,32.8
Lurnea,2931.0,322.0,2893.0,47.7,5.2,47.1
Macquarie Fields,4317.0,563.0,4696.0,45.1,5.9,49.0
Macquarie Hills,1271.0,204.0,738.0,57.4,9.2,33.3
Macquarie Links,523.0,35.0,277.0,62.6,4.2,33.2
Macquarie Park,1564.0,351.0,2215.0,37.9,8.5,53.6
Malabar,1224.0,149.0,1182.0,47.9,5.8,46.3
Mangerton,1001.0,175.0,892.0,48.4,8.5,43.1
Manly (NSW),4217.0,2090.0,4797.0,38.0,18.8,43.2
Manly Vale,2001.0,468.0,1803.0,46.8,11.0,42.2
Marayong,2618.0,314.0,2468.0,48.5,5.8,45.7
Mardi,1305.0,201.0,831.0,55.8,8.6,35.6
Marks Point,550.0,129.0,662.0,41.0,9.6,49.4
Marmong Point,314.0,43.0,203.0,56.1,7.7,36.2
Maroubra,9740.0,1835.0,10562.0,44.0,8.3,47.7
Marrickville,7101.0,2418.0,9033.0,38.3,13.0,48.7
Marsfield,4351.0,608.0,4962.0,43.9,6.1,50.0
Maryland (Newcastle - NSW),3066.0,506.0,2092.0,54.1,8.9,36.9
Maryville,366.0,209.0,508.0,33.8,19.3,46.9
Mascot,3667.0,749.0,3518.0,46.2,9.4,44.3
Matraville,3321.0,396.0,3082.0,48.8,5.8,45.3
Mayfield (Newcastle - NSW),2224.0,953.0,3486.0,33.4,14.3,52.3
Mayfield East,400.0,183.0,646.0,32.5,14.9,52.6
Mayfield West,484.0,172.0,618.0,38.0,13.5,48.5
Mays Hill,289.0,16.0,237.0,53.3,3.0,43.7
McMahons Point,748.0,300.0,778.0,41.0,16.4,42.6
Meadowbank (NSW),1342.0,349.0,1305.0,44.8,11.6,43.6
Melrose Park (NSW),638.0,76.0,355.0,59.7,7.1,33.2
Menai,4427.0,390.0,2884.0,57.5,5.1,37.4
Merewether,3593.0,841.0,3632.0,44.5,10.4,45.0
Merewether Heights,648.0,72.0,280.0,64.8,7.2,28.0
Merrylands,9707.0,708.0,8864.0,50.4,3.7,46.0
Merrylands West,2108.0,188.0,2133.0,47.6,4.2,48.2
Middle Cove,572.0,53.0,314.0,60.9,5.6,33.4
Miller,791.0,92.0,1235.0,37.3,4.3,58.3
Millers Point,483.0,165.0,607.0,38.5,13.1,48.4
Milperra,1756.0,178.0,994.0,60.0,6.1,33.9
Milsons Point,714.0,234.0,555.0,47.5,15.6,36.9
Minchinbury,2152.0,233.0,1626.0,53.7,5.8,40.5
Minmi,283.0,37.0,184.0,56.2,7.3,36.5
Minto,3620.0,432.0,3281.0,49.4,5.9,44.7
Miranda (NSW),5275.0,860.0,4665.0,48.8,8.0,43.2
Mona Vale,4036.0,576.0,2822.0,54.3,7.7,38.0
Monterey,1723.0,195.0,1497.0,50.5,5.7,43.8
Moorebank,3068.0,386.0,2033.0,55.9,7.0,37.1
Mortdale,3743.0,533.0,3243.0,49.8,7.1,43.1
Mortlake (NSW),317.0,55.0,184.0,57.0,9.9,33.1
Mosman,10190.0,1730.0,7705.0,51.9,8.8,39.3
Mount Annan,4301.0,623.0,2358.0,59.1,8.6,32.4
Mount Colah,3063.0,383.0,1867.0,57.7,7.2,35.1
Mount Druitt,5619.0,510.0,4828.0,51.3,4.7,44.1
Mount Hutton (NSW),1086.0,242.0,1022.0,46.2,10.3,43.5
Mount Keira,685.0,67.0,387.0,60.1,5.9,34.0
Mount Kembla,431.0,77.0,271.0,55.3,9.9,34.8
Mount Lewis,427.0,21.0,377.0,51.8,2.5,45.7
Mount Ousley,668.0,78.0,420.0,57.3,6.7,36.0
Mount Pleasant (NSW),550.0,63.0,299.0,60.3,6.9,32.8
Mount Pritchard,3084.0,314.0,3125.0,47.3,4.8,47.9
Mount Riverview,1317.0,190.0,729.0,58.9,8.5,32.6
Mount Saint Thomas,522.0,94.0,409.0,50.9,9.2,39.9
Mount Warrigal,1864.0,294.0,1319.0,53.6,8.5,37.9
Narara,2901.0,505.0,2377.0,50.2,8.7,41.1
Narellan,1243.0,254.0,1127.0,47.4,9.7,42.9
Narellan Vale,2873.0,459.0,1710.0,57.0,9.1,33.9
Naremburn,2125.0,454.0,1544.0,51.5,11.0,37.4
Narrabeen,2230.0,731.0,2481.0,41.0,13.4,45.6
Narraweena,2374.0,268.0,1995.0,51.2,5.8,43.0
Narwee,1902.0,128.0,1601.0,52.4,3.5,44.1
Neutral Bay,2697.0,1263.0,3433.0,36.5,17.1,46.4
New Lambton,3336.0,715.0,3124.0,46.5,10.0,43.5
New Lambton Heights,999.0,98.0,492.0,62.9,6.2,31.0
Newcastle,629.0,250.0,942.0,34.5,13.7,51.7
Newcastle East,255.0,68.0,450.0,33.0,8.8,58.2
Newcastle West,108.0,60.0,272.0,24.5,13.6,61.8
Newington (NSW),2329.0,298.0,1192.0,61.0,7.8,31.2
Newport (NSW),3453.0,701.0,2487.0,52.0,10.6,37.4
Newtown (NSW),2559.0,2440.0,5768.0,23.8,22.7,53.6
Niagara Park,996.0,182.0,859.0,48.9,8.9,42.2
Norah Head,458.0,45.0,308.0,56.5,5.5,38.0
Noraville,880.0,203.0,897.0,44.4,10.3,45.3
Normanhurst,2089.0,152.0,1330.0,58.5,4.3,37.2
North Avoca,762.0,134.0,494.0,54.8,9.6,35.5
North Balgowlah,1463.0,144.0,729.0,62.6,6.2,31.2
North Bondi,2525.0,835.0,2622.0,42.2,14.0,43.8
North Curl Curl,1426.0,174.0,910.0,56.8,6.9,36.3
North Epping,2029.0,124.0,1135.0,61.7,3.8,34.5
North Gosford,1055.0,252.0,1216.0,41.8,10.0,48.2
North Lambton,914.0,229.0,1230.0,38.5,9.7,51.8
North Manly,1133.0,141.0,666.0,58.4,7.3,34.3
North Narrabeen,2193.0,395.0,1384.0,55.2,9.9,34.8
North Parramatta,3886.0,692.0,4169.0,44.4,7.9,47.7
North Rocks,3588.0,238.0,1912.0,62.5,4.1,33.3
North Ryde,4125.0,329.0,3046.0,55.0,4.4,40.6
North St Marys,963.0,272.0,1367.0,37.0,10.5,52.5
North Strathfield,1536.0,234.0,1384.0,48.7,7.4,43.9
North Sydney,1795.0,683.0,2180.0,38.5,14.7,46.8
North Turramurra,1796.0,78.0,971.0,63.1,2.7,34.1
North Wahroonga,974.0,41.0,439.0,67.0,2.8,30.2
North Willoughby,1537.0,186.0,1177.0,53.0,6.4,40.6
North Wollongong,347.0,165.0,857.0,25.3,12.1,62.6
Northbridge (NSW),2575.0,205.0,1432.0,61.1,4.9,34.0
Northmead,4004.0,627.0,3165.0,51.4,8.0,40.6
Northwood (NSW),436.0,27.0,175.0,68.3,4.2,27.4
Oak Flats,2494.0,362.0,1995.0,51.4,7.5,41.1
Oakhurst (NSW),2566.0,316.0,1950.0,53.1,6.5,40.4
Oatlands (NSW),2157.0,138.0,1608.0,55.3,3.5,41.2
Oatley,4364.0,433.0,2906.0,56.7,5.6,37.7
Old Guildford,930.0,48.0,833.0,51.4,2.7,46.0
Old Toongabbie,1114.0,154.0,699.0,56.6,7.8,35.5
Ourimbah,1508.0,288.0,1221.0,50.0,9.5,40.5
Oxley Park,812.0,230.0,1026.0,39.3,11.1,49.6
Oyster Bay,2415.0,236.0,1277.0,61.5,6.0,32.5
Paddington (NSW),3034.0,1436.0,4328.0,34.5,16.3,49.2
Padstow,5000.0,519.0,4291.0,51.0,5.3,43.7
Padstow Heights,1458.0,119.0,963.0,57.4,4.7,37.9
Pagewood,1426.0,142.0,1192.0,51.7,5.1,43.2
Palm Beach (NSW),626.0,101.0,380.0,56.5,9.1,34.3
Panania,4553.0,426.0,3702.0,52.4,4.9,42.6
Parramatta,7110.0,896.0,6484.0,49.1,6.2,44.7
Peakhurst,3953.0,324.0,2989.0,54.4,4.5,41.1
Peakhurst Heights,1110.0,66.0,624.0,61.7,3.7,34.7
Pearl Beach,193.0,25.0,130.0,55.5,7.2,37.4
Pelican (NSW),350.0,68.0,247.0,52.6,10.2,37.1
Pendle Hill,2524.0,197.0,1984.0,53.6,4.2,42.2
Pennant Hills,3097.0,218.0,2055.0,57.7,4.1,38.3
Penrith,3128.0,892.0,4610.0,36.2,10.3,53.4
Penrose (Wollongong - NSW),492.0,120.0,474.0,45.3,11.0,43.6
Penshurst (NSW),4630.0,508.0,3890.0,51.3,5.6,43.1
Petersham,1909.0,908.0,2662.0,34.8,16.6,48.6
Phillip Bay,257.0,30.0,199.0,52.9,6.2,40.9
Picnic Point,2575.0,177.0,1492.0,60.7,4.2,35.2
Plumpton (NSW),3182.0,283.0,2397.0,54.3,4.8,40.9
Point Clare,1381.0,236.0,1087.0,51.1,8.7,40.2
Point Frederick,578.0,137.0,653.0,42.3,10.0,47.7
Point Piper,438.0,70.0,381.0,49.3,7.9,42.9
Port Kembla,1684.0,282.0,1746.0,45.4,7.6,47.0
Potts Point,818.0,1145.0,2801.0,17.2,24.0,58.8
Prairiewood,1279.0,63.0,1044.0,53.6,2.6,43.8
Prestons,6035.0,431.0,3484.0,60.7,4.3,35.0
Primbee,580.0,107.0,514.0,48.3,8.9,42.8
Prospect (NSW),1986.0,176.0,1307.0,57.2,5.1,37.7
Punchbowl (Canterbury - NSW),6587.0,289.0,6109.0,50.7,2.2,47.0
Putney,1766.0,122.0,1162.0,57.9,4.0,38.1
Pymble,4870.0,278.0,2651.0,62.4,3.6,34.0
Pyrmont,3159.0,1570.0,4385.0,34.7,17.2,48.1
Quakers Hill,10710.0,1183.0,7092.0,56.4,6.2,37.4
Queens Park (NSW),1041.0,238.0,810.0,49.8,11.4,38.8
Raby,2298.0,401.0,1746.0,51.7,9.0,39.3
Ramsgate,350.0,29.0,311.0,50.7,4.2,45.1
Ramsgate Beach,502.0,85.0,577.0,43.1,7.3,49.6
Randwick,7831.0,2899.0,9685.0,38.4,14.2,47.4
Rankin Park,1126.0,138.0,588.0,60.8,7.5,31.7
Redfern,2020.0,1651.0,5616.0,21.8,17.8,60.5
Redhead,1435.0,173.0,1004.0,54.9,6.6,38.4
Regents Park (NSW),1628.0,106.0,1531.0,49.9,3.2,46.9
Regentville,240.0,29.0,173.0,54.3,6.6,39.1
Revesby,4773.0,492.0,4312.0,49.8,5.1,45.0
Revesby Heights,587.0,45.0,372.0,58.5,4.5,37.1
Rhodes,1878.0,571.0,1955.0,42.6,13.0,44.4
Riverstone,2129.0,398.0,1990.0,47.1,8.8,44.1
Riverview (Lane Cove - NSW),1386.0,64.0,732.0,63.5,2.9,33.5
Riverwood,3536.0,338.0,3840.0,45.8,4.4,49.8
Rockdale,5087.0,632.0,4947.0,47.7,5.9,46.4
Rocky Point (NSW),100.0,10.0,80.0,52.6,5.3,42.1
Rodd Point,603.0,61.0,344.0,59.8,6.1,34.1
Rooty Hill,4931.0,480.0,4042.0,52.2,5.1,42.8
Rose Bay (NSW),3313.0,741.0,2776.0,48.5,10.8,40.6
Rosebery (NSW),3075.0,536.0,2729.0,48.5,8.5,43.0
Roselands,4378.0,343.0,3475.0,53.4,4.2,42.4
Rosemeadow,2526.0,418.0,2475.0,46.6,7.7,45.7
Roseville,3919.0,270.0,2324.0,60.2,4.1,35.7
Roseville Chase,714.0,47.0,359.0,63.8,4.2,32.1
Rouse Hill,3072.0,256.0,1515.0,63.4,5.3,31.3
Rozelle,2554.0,1091.0,2270.0,43.2,18.4,38.4
Ruse,2127.0,390.0,1610.0,51.5,9.4,39.0
Rushcutters Bay,317.0,370.0,1019.0,18.6,21.7,59.7
Russell Lea,1937.0,259.0,1476.0,52.8,7.1,40.2
Russell Vale,584.0,92.0,460.0,51.4,8.1,40.5
Rydalmere,2312.0,257.0,1910.0,51.6,5.7,42.6
Ryde,8421.0,992.0,7041.0,51.2,6.0,42.8
Sadleir,831.0,104.0,1183.0,39.2,4.9,55.9
San Remo (NSW),1241.0,371.0,1388.0,41.4,12.4,46.3
Sandringham (NSW),436.0,50.0,281.0,56.8,6.5,36.6
Sans Souci,3935.0,447.0,3087.0,52.7,6.0,41.3
Saratoga,1584.0,218.0,984.0,56.9,7.8,35.3
Scarborough (NSW),101.0,26.0,68.0,51.8,13.3,34.9
Schofields,1440.0,218.0,1148.0,51.3,7.8,40.9
Scotland Island,280.0,67.0,160.0,55.2,13.2,31.6
Seaforth (NSW),2840.0,278.0,1508.0,61.4,6.0,32.6
Sefton,1931.0,122.0,1806.0,50.0,3.2,46.8
Seven Hills (NSW),7403.0,808.0,5988.0,52.1,5.7,42.2
Shalvey,961.0,185.0,1224.0,40.5,7.8,51.6
Shell Cove,1869.0,159.0,722.0,68.0,5.8,26.3
Shellharbour,1335.0,201.0,1024.0,52.1,7.9,40.0
Shelly Beach (NSW),518.0,79.0,352.0,54.6,8.3,37.1
Shortland,1229.0,289.0,1339.0,43.0,10.1,46.9
Silverwater (Lake Macquarie - NSW),101.0,12.0,70.0,55.2,6.6,38.3
Smithfield (NSW),3896.0,370.0,3868.0,47.9,4.5,47.6
South Coogee,1645.0,240.0,1748.0,45.3,6.6,48.1
South Granville,1629.0,85.0,1619.0,48.9,2.6,48.6
South Hurstville,1864.0,183.0,1706.0,49.7,4.9,45.5
South Penrith,4464.0,816.0,3424.0,51.3,9.4,39.3
South Turramurra,1399.0,70.0,631.0,66.6,3.3,30.0
South Wentworthville,2025.0,213.0,1888.0,49.1,5.2,45.8
Speers Point,1280.0,215.0,1009.0,51.1,8.6,40.3
Springfield (Gosford - NSW),1451.0,253.0,1169.0,50.5,8.8,40.7
Springwood (NSW),3201.0,516.0,2385.0,52.5,8.5,39.1
St Andrews (NSW),2132.0,330.0,1843.0,49.5,7.7,42.8
St Clair (Penrith - NSW),7777.0,1160.0,5960.0,52.2,7.8,40.0
St Helens Park,2086.0,474.0,1842.0,47.4,10.8,41.8
St Huberts Island,491.0,54.0,290.0,58.8,6.5,34.7
St Ives (NSW),7429.0,355.0,3928.0,63.4,3.0,33.5
St Ives Chase,1532.0,75.0,704.0,66.3,3.2,30.5
St Johns Park,2459.0,108.0,2039.0,53.4,2.3,44.3
