,Registered marriage,De facto marriage,Not married,Registered marriage (%),De facto marriage (%),Not married (%)
Windale,635.0,196.0,1363.0,28.9,8.9,62.1
Windang,1020.0,159.0,900.0,49.1,7.6,43.3
Winmalee,2806.0,358.0,1712.0,57.5,7.3,35.1
Winston Hills,5103.0,408.0,2726.0,62.0,5.0,33.1
Wollongong,4408.0,1350.0,7350.0,33.6,10.3,56.1
Wollstonecraft,2614.0,1005.0,2927.0,39.9,15.4,44.7
Wombarra,325.0,86.0,221.0,51.4,13.6,35.0
Woodbine (NSW),1067.0,119.0,786.0,54.1,6.0,39.9
Woodcroft (NSW),2951.0,147.0,1798.0,60.3,3.0,36.7
Woodpark,557.0,41.0,372.0,57.4,4.2,38.4
Woodrising,407.0,87.0,374.0,46.9,10.0,43.1
Woollahra,2198.0,703.0,2452.0,41.1,13.1,45.8
Woolloomooloo,538.0,468.0,1627.0,20.4,17.8,61.8
Woolooware,1652.0,265.0,1161.0,53.7,8.6,37.7
Woolwich,338.0,37.0,201.0,58.7,6.4,34.9
Woonona,4357.0,644.0,3406.0,51.8,7.7,40.5
Woronora,941.0,135.0,522.0,58.9,8.4,32.7
Woronora Heights,1405.0,66.0,789.0,62.2,2.9,34.9
Woy Woy,3205.0,687.0,3855.0,41.4,8.9,49.8
Woy Woy Bay,187.0,25.0,102.0,59.6,8.0,32.5
Wyoming,3323.0,566.0,3212.0,46.8,8.0,45.2
Wyong,1034.0,265.0,1483.0,37.2,9.5,53.3
Wyongah,683.0,162.0,573.0,48.2,11.4,40.4
Yagoona,5856.0,328.0,5198.0,51.4,2.9,45.7
Yarrawarrah,1436.0,108.0,769.0,62.1,4.7,33.2
Yattalunga (NSW),210.0,34.0,131.0,56.0,9.1,34.9
Yennora,435.0,29.0,527.0,43.9,2.9,53.2
Yowie Bay,1467.0,101.0,836.0,61.0,4.2,34.8
Zetland,929.0,611.0,1433.0,31.2,20.6,48.2
