,Male,Female,Median age,Male (%),Female (%),Median age (%),SSC_CODE
Bald Hills (NSW),5.0,0.0,12.0,100.0,0.0,--,10147
Mirador,0.0,4.0,23.0,0.0,100.0,--,12644
Berrambool,6.0,6.0,36.0,50.0,50.0,--,10312
Moruya,127.0,145.0,27.0,46.7,53.3,--,12734
Moruya Heads,24.0,20.0,22.0,54.5,45.5,--,12735
Bergalia,0.0,7.0,21.0,0.0,100.0,--,10302
Congo,0.0,3.0,52.0,0.0,100.0,--,11008
Bingie,5.0,4.0,39.0,55.6,44.4,--,10367
Bermagui,26.0,28.0,19.0,48.1,51.9,--,10307
Dalmeny,65.0,51.0,16.0,56.0,44.0,--,11191
Wallaga Lake,3.0,8.0,41.0,27.3,72.7,--,14102
North Narooma,15.0,17.0,25.0,46.9,53.1,--,12998
Akolele,35.0,33.0,28.0,51.5,48.5,--,10023
Goulburn,521.0,449.0,25.0,53.7,46.3,--,11725
Run-o-Waters,4.0,5.0,26.0,44.4,55.6,--,13440
Marulan,17.0,29.0,14.0,37.0,63.0,--,12513
Windellama,4.0,10.0,64.0,28.6,71.4,--,14318
Tirrannaville,0.0,9.0,17.0,0.0,100.0,--,13883
Quialigo,11.0,9.0,27.0,55.0,45.0,--,13297
Grabben Gullen,4.0,3.0,35.0,57.1,42.9,--,11731
Yarra,0.0,0.0,30.0,0.0,0.0,--,14468
Crookwell,29.0,40.0,21.0,42.0,58.0,--,11123
Bungonia,5.0,14.0,15.0,26.3,73.7,--,10685
Middle Arm,3.0,10.0,16.0,23.1,76.9,--,12599
Taralga,7.0,0.0,38.0,100.0,0.0,--,13759
Tarlo,8.0,4.0,13.0,66.7,33.3,--,13767
Kingsdale,6.0,0.0,45.0,100.0,0.0,--,12155
Bannister (NSW),6.0,3.0,23.0,66.7,33.3,--,10183
Tallong,12.0,12.0,10.0,50.0,50.0,--,13733
Brisbane Grove,0.0,5.0,20.0,0.0,100.0,--,10577
Binda,6.0,7.0,7.0,46.2,53.8,--,10363
Baw Baw (NSW),3.0,11.0,14.0,21.4,78.6,--,10234
Boxers Creek,0.0,4.0,43.0,0.0,100.0,--,10541
Gundary,4.0,0.0,15.0,100.0,0.0,--,11806
Yass,128.0,125.0,20.0,50.6,49.4,--,14493
Bookham,3.0,3.0,34.0,50.0,50.0,--,10478
Binalong,6.0,7.0,16.0,46.2,53.8,--,10362
Galong,5.0,3.0,34.0,62.5,37.5,--,11580
Manton (NSW),0.0,0.0,37.0,0.0,0.0,--,12481
Rye Park,3.0,0.0,23.0,100.0,0.0,--,13455
Dalton,7.0,0.0,19.0,100.0,0.0,--,11194
Gundaroo,3.0,4.0,30.0,42.9,57.1,--,11805
Bowning,9.0,8.0,23.0,52.9,47.1,--,10535
Gunning,7.0,5.0,29.0,58.3,41.7,--,11813
Wallaroo (NSW),5.0,5.0,24.0,50.0,50.0,--,14112
Murrumbateman,23.0,23.0,16.0,50.0,50.0,--,12860
Springrange,3.0,3.0,33.0,50.0,50.0,--,13625
Young,239.0,207.0,18.0,53.6,46.4,--,14518
Kingsvale,5.0,3.0,11.0,62.5,37.5,--,12161
Wyangala,3.0,3.0,17.0,50.0,50.0,--,14434
Harden,76.0,88.0,19.0,46.3,53.7,--,11851
Boorowa,30.0,22.0,33.0,57.7,42.3,--,10503
Frogmore,4.0,0.0,14.0,100.0,0.0,--,11571
Koorawatha,19.0,18.0,16.0,51.4,48.6,--,12192
Monteagle,3.0,7.0,26.0,30.0,70.0,--,12683
Murringo,9.0,5.0,19.0,64.3,35.7,--,12858
Avoca Beach,46.0,41.0,23.0,52.9,47.1,--,10114
Copacabana,24.0,21.0,24.0,53.3,46.7,--,11056
Killcare Heights,3.0,8.0,21.0,27.3,72.7,--,12134
Macmasters Beach,5.0,16.0,24.0,23.8,76.2,--,12432
Empire Bay,58.0,70.0,18.0,45.3,54.7,--,11415
Wagstaffe,3.0,3.0,60.0,50.0,50.0,--,14084
St Huberts Island,8.0,8.0,25.0,50.0,50.0,--,13638
Killcare,10.0,3.0,21.0,76.9,23.1,--,12133
Bensville,26.0,21.0,18.0,55.3,44.7,--,10297
Daleys Point,8.0,8.0,22.0,50.0,50.0,--,11189
Pretty Beach (Central Coast - NSW),3.0,4.0,48.0,42.9,57.1,--,13261
Kincumber South,6.0,3.0,44.0,66.7,33.3,--,12142
Somersby,15.0,10.0,22.0,60.0,40.0,--,13571
Calga,0.0,4.0,30.0,0.0,100.0,--,10752
Woy Woy,250.0,256.0,23.0,49.4,50.6,--,14425
Mooney Mooney,0.0,0.0,43.0,0.0,0.0,--,12704
Kariong,138.0,95.0,21.0,59.2,40.8,--,12074
Peats Ridge,6.0,10.0,22.0,37.5,62.5,--,13172
Mangrove Mountain,4.0,11.0,18.0,26.7,73.3,--,12472
Kulnura,13.0,11.0,17.0,54.2,45.8,--,12206
Wisemans Ferry,3.0,7.0,31.0,30.0,70.0,--,14344
Gunderman,3.0,3.0,7.0,50.0,50.0,--,11808
Spencer,3.0,9.0,25.0,25.0,75.0,--,13607
Erina,41.0,47.0,28.0,46.6,53.4,--,11433
Green Point (Central Coast - NSW),62.0,78.0,25.0,44.3,55.7,--,11753
Matcham,8.0,3.0,24.0,72.7,27.3,--,12520
Holgate,11.0,11.0,24.0,50.0,50.0,--,11921
Lisarow,54.0,44.0,19.0,55.1,44.9,--,12343
Erina Heights,3.0,0.0,9.0,100.0,0.0,--,11434
Terrigal,89.0,96.0,21.0,48.1,51.9,--,13805
Springfield (Central Coast - NSW),77.0,65.0,17.0,54.2,45.8,--,13623
North Gosford,54.0,66.0,26.0,45.0,55.0,--,12991
West Gosford,28.0,22.0,27.0,56.0,44.0,--,14244
Gosford,44.0,42.0,28.0,51.2,48.8,--,11722
East Gosford,51.0,59.0,29.0,46.4,53.6,--,11349
Point Frederick,19.0,10.0,30.0,65.5,34.5,--,13232
Kincumber,104.0,90.0,23.0,53.6,46.4,--,12141
Picketts Valley,6.0,3.0,21.0,66.7,33.3,--,13198
Narara,138.0,136.0,20.0,50.4,49.6,--,12895
Niagara Park,35.0,26.0,23.0,57.4,42.6,--,12961
Point Clare,23.0,41.0,28.0,35.9,64.1,--,13231
Tascott,15.0,20.0,18.0,42.9,57.1,--,13772
Koolewong,11.0,12.0,24.0,47.8,52.2,--,12185
Saratoga,30.0,58.0,19.0,34.1,65.9,--,13492
Davistown,35.0,42.0,28.0,45.5,54.5,--,11221
Yattalunga (NSW),4.0,12.0,22.0,25.0,75.0,--,14496
North Avoca,18.0,12.0,22.0,60.0,40.0,--,12980
Umina Beach,325.0,317.0,22.0,50.6,49.4,--,14007
Booker Bay,20.0,22.0,25.0,47.6,52.4,--,10477
Ettalong Beach,78.0,80.0,30.0,49.4,50.6,--,11445
Wamberal,67.0,62.0,21.0,51.9,48.1,--,14122
Forresters Beach,37.0,29.0,22.0,56.1,43.9,--,11549
Tumbi Umbi,96.0,82.0,19.0,53.9,46.1,--,13962
Horsfield Bay,8.0,4.0,18.0,66.7,33.3,--,11941
Phegans Bay,9.0,11.0,21.0,45.0,55.0,--,13192
Woy Woy Bay,7.0,8.0,41.0,46.7,53.3,--,14426
