,Male,Female,Median age,Male (%),Female (%),Median age (%),SSC_CODE
Braunstone,7.0,14.0,27.0,33.3,66.7,--,10550
Glenugie,3.0,3.0,15.0,50.0,50.0,--,11681
Clarenza,9.0,3.0,31.0,75.0,25.0,--,10922
Pillar Valley,7.0,15.0,24.0,31.8,68.2,--,13204
Minnie Water,8.0,3.0,13.0,72.7,27.3,--,12640
Tyndale,6.0,3.0,53.0,66.7,33.3,--,13997
Ilarwill,7.0,4.0,41.0,63.6,36.4,--,11970
Yamba (NSW),127.0,145.0,24.0,46.7,53.3,--,14458
Gulmarrad,30.0,24.0,18.0,55.6,44.4,--,11795
Angourie,3.0,0.0,35.0,100.0,0.0,--,10059
Brooms Head,4.0,5.0,18.0,44.4,55.6,--,10603
Wooloweyah,3.0,4.0,58.0,42.9,57.1,--,14411
Woombah,8.0,7.0,34.0,53.3,46.7,--,14414
Maclean,115.0,107.0,26.0,51.8,48.2,--,12431
Iluka (NSW),20.0,27.0,23.0,42.6,57.4,--,11975
Harwood,4.0,6.0,23.0,40.0,60.0,--,11865
Townsend,53.0,41.0,20.0,56.4,43.6,--,13928
James Creek,4.0,3.0,56.0,57.1,42.9,--,11999
Palmers Island,8.0,3.0,9.0,72.7,27.3,--,13136
Bellingen,68.0,83.0,19.0,45.0,55.0,--,10273
Brierfield,3.0,0.0,11.0,100.0,0.0,--,10568
Fernmount,3.0,8.0,20.0,27.3,72.7,--,11509
Thora,3.0,7.0,6.0,30.0,70.0,--,13849
Gleniffer,0.0,3.0,43.0,0.0,100.0,--,11668
Kalang,4.0,3.0,37.0,57.1,42.9,--,12050
Coffs Harbour,649.0,780.0,22.0,45.4,54.6,--,10959
North Boambee Valley,34.0,38.0,32.0,47.2,52.8,--,12983
Coramba,18.0,25.0,21.0,41.9,58.1,--,11065
Nana Glen,23.0,22.0,23.0,51.1,48.9,--,12889
Upper Orara,10.0,5.0,34.0,66.7,33.3,--,14041
Bucca (NSW),4.0,5.0,31.0,44.4,55.6,--,10625
Karangi,7.0,10.0,22.0,41.2,58.8,--,12072
Ulong,13.0,17.0,16.0,43.3,56.7,--,14005
Lowanna,15.0,17.0,18.0,46.9,53.1,--,12398
Dorrigo,26.0,15.0,26.0,63.4,36.6,--,11278
Deer Vale,7.0,9.0,13.0,43.8,56.2,--,11232
Fernbrook,0.0,3.0,53.0,0.0,100.0,--,11506
Hernani,4.0,0.0,5.0,100.0,0.0,--,11896
Bostobrick,8.0,5.0,16.0,61.5,38.5,--,10516
Sapphire Beach,19.0,21.0,26.0,47.5,52.5,--,13491
Emerald Beach,48.0,50.0,22.0,49.0,51.0,--,11411
Korora,25.0,33.0,19.0,43.1,56.9,--,12197
Moonee Beach,28.0,28.0,18.0,50.0,50.0,--,12703
Toormina,252.0,238.0,20.0,51.4,48.6,--,13912
Boambee East,131.0,159.0,23.0,45.2,54.8,--,10422
Boambee,40.0,43.0,28.0,48.2,51.8,--,10421
Sawtell,88.0,71.0,22.0,55.3,44.7,--,13498
Bonville,29.0,39.0,26.0,42.6,57.4,--,10474
Mylestom,5.0,3.0,43.0,62.5,37.5,--,12875
Raleigh,10.0,11.0,25.0,47.6,52.4,--,13307
Urunga,63.0,61.0,25.0,50.8,49.2,--,14061
Repton,6.0,4.0,33.0,60.0,40.0,--,13352
Valla,12.0,19.0,24.0,38.7,61.3,--,14067
Woolgoolga,115.0,116.0,22.0,49.8,50.2,--,14402
Safety Beach (NSW),15.0,9.0,24.0,62.5,37.5,--,13462
Sandy Beach,70.0,60.0,21.0,53.8,46.2,--,13479
Corindi Beach,64.0,69.0,22.0,48.1,51.9,--,11073
Red Rock,10.0,14.0,29.0,41.7,58.3,--,13334
Arrawarra,10.0,11.0,35.0,47.6,52.4,--,10088
Mullaway,20.0,19.0,17.0,51.3,48.7,--,12822
Bourke,317.0,389.0,26.0,44.9,55.1,--,10522
Wanaaring,4.0,11.0,8.0,26.7,73.3,--,14126
North Bourke,20.0,11.0,24.0,64.5,35.5,--,12985
Enngonia,34.0,35.0,23.0,49.3,50.7,--,11426
Brewarrina,381.0,355.0,27.0,51.8,48.2,--,10563
Cobar,232.0,243.0,24.0,48.8,51.2,--,10949
Coonamble,445.0,493.0,23.0,47.4,52.6,--,11044
Gulargambone,87.0,97.0,24.0,47.3,52.7,--,11792
Quambone,10.0,18.0,32.0,35.7,64.3,--,13287
Nyngan,189.0,213.0,19.0,47.0,53.0,--,13049
Nevertire,6.0,15.0,16.0,28.6,71.4,--,12936
Warren,124.0,116.0,25.0,51.7,48.3,--,14171
Hermidale,4.0,12.0,8.0,25.0,75.0,--,11894
Ravenswood (NSW),47.0,51.0,24.0,48.0,52.0,--,13321
Cumborah,11.0,13.0,17.0,45.8,54.2,--,11158
Goodooga,76.0,109.0,32.0,41.1,58.9,--,11702
Carinda,3.0,3.0,29.0,50.0,50.0,--,10814
Pilliga,28.0,29.0,27.0,49.1,50.9,--,13205
Come By Chance,10.0,3.0,20.0,76.9,23.1,--,10993
Walgett,435.0,498.0,27.0,46.6,53.4,--,14096
Burren Junction,9.0,8.0,39.0,52.9,47.1,--,10710
Lightning Ridge,267.0,255.0,31.0,51.1,48.9,--,12320
Collarenebri,139.0,138.0,26.0,50.2,49.8,--,10969
Broken Hill,741.0,764.0,22.0,49.2,50.8,--,10592
Menindee,101.0,98.0,29.0,50.8,49.2,--,12571
Wilcannia,212.0,240.0,26.0,46.9,53.1,--,14290
Tibooburra,10.0,9.0,45.0,52.6,47.4,--,13860
Pooncarie,3.0,3.0,37.0,50.0,50.0,--,13242
Ivanhoe (NSW),32.0,20.0,37.0,61.5,38.5,--,11991
Baradine,66.0,65.0,21.0,50.4,49.6,--,10190
Coonabarabran,211.0,244.0,23.0,46.4,53.6,--,11043
Binnaway,15.0,18.0,26.0,45.5,54.5,--,10372
Mendooran,25.0,15.0,28.0,62.5,37.5,--,12570
Coolah,32.0,31.0,22.0,50.8,49.2,--,11024
Bugaldie,0.0,5.0,60.0,0.0,100.0,--,10646
Ulamambri,12.0,10.0,13.0,54.5,45.5,--,14001
Merrygoen,10.0,5.0,25.0,66.7,33.3,--,12587
Dubbo,2750.0,2932.0,21.0,48.4,51.6,--,11296
Terramungamine,4.0,7.0,26.0,36.4,63.6,--,13801
Brocklehurst,23.0,22.0,16.0,51.1,48.9,--,10583
Wongarbon,30.0,25.0,20.0,54.5,45.5,--,14373
Elong Elong,3.0,7.0,52.0,30.0,70.0,--,11406
Eumungerie,15.0,11.0,27.0,57.7,42.3,--,11456
Minore,14.0,7.0,23.0,66.7,33.3,--,12641
Ballimore,7.0,9.0,24.0,43.8,56.2,--,10161
Gilgandra,255.0,282.0,23.0,47.5,52.5,--,11619
Armatree,3.0,0.0,58.0,100.0,0.0,--,10084
Tooraweenah,7.0,5.0,18.0,58.3,41.7,--,13911
Narromine,454.0,536.0,19.0,45.9,54.1,--,12911
Burroway,4.0,8.0,14.0,33.3,66.7,--,10715
Trangie,130.0,129.0,24.0,50.2,49.8,--,13932
Tomingley,16.0,4.0,17.0,80.0,20.0,--,13896
Wellington (NSW),567.0,572.0,23.0,49.8,50.2,--,14221
Mumbil,18.0,12.0,20.0,60.0,40.0,--,12832
Stuart Town,15.0,14.0,25.0,51.7,48.3,--,13680
Euchareena,7.0,5.0,30.0,58.3,41.7,--,11452
Neurea,4.0,3.0,28.0,57.1,42.9,--,12933
Mount Arthur,9.0,9.0,40.0,50.0,50.0,--,12747
Maryvale (NSW),14.0,8.0,14.0,63.6,36.4,--,12517
Geurie,36.0,36.0,26.0,50.0,50.0,--,11608
Montefiores,56.0,52.0,17.0,51.9,48.1,--,12685
Greta (NSW),112.0,94.0,20.0,54.4,45.6,--,11778
Lower Belford,12.0,4.0,42.0,75.0,25.0,--,12401
Branxton,37.0,29.0,19.0,56.1,43.9,--,10549
Pokolbin,10.0,4.0,40.0,71.4,28.6,--,13236
Keinbah,3.0,4.0,20.0,42.9,57.1,--,12084
Lovedale,3.0,12.0,14.0,20.0,80.0,--,12396
East Branxton,58.0,59.0,22.0,49.6,50.4,--,11346
North Rothbury,23.0,23.0,15.0,50.0,50.0,--,13004
Leconfield,7.0,7.0,13.0,50.0,50.0,--,12291
Cessnock,754.0,550.0,24.0,57.8,42.2,--,10878
Nulkaba,9.0,11.0,45.0,45.0,55.0,--,13031
Aberdare,112.0,109.0,20.0,50.7,49.3,--,10006
Kearsley,42.0,38.0,20.0,52.5,47.5,--,12080
Bellbird,65.0,72.0,24.0,47.4,52.6,--,10268
Bellbird Heights,24.0,25.0,22.0,49.0,51.0,--,10269
Ellalong,39.0,22.0,24.0,63.9,36.1,--,11398
Kitchener,10.0,18.0,27.0,35.7,64.3,--,12174
Abernethy,11.0,6.0,15.0,64.7,35.3,--,10011
Mulbring,18.0,16.0,31.0,52.9,47.1,--,12813
Buchanan (NSW),4.0,3.0,22.0,57.1,42.9,--,10628
Millfield,23.0,25.0,15.0,47.9,52.1,--,12620
Paxton,45.0,51.0,19.0,46.9,53.1,--,13162
Black Hill (NSW),8.0,3.0,23.0,72.7,27.3,--,10385
Mount Vincent,9.0,5.0,23.0,64.3,35.7,--,12799
Quorrobolong,13.0,10.0,39.0,56.5,43.5,--,13302
Congewai,0.0,0.0,26.0,0.0,0.0,--,11007
Clarence Town,61.0,54.0,19.0,53.0,47.0,--,10920
Dungog,65.0,67.0,19.0,49.2,50.8,--,11320
Bendolba,9.0,8.0,22.0,52.9,47.1,--,10291
Paterson (NSW),8.0,7.0,26.0,53.3,46.7,--,13159
Martins Creek,8.0,8.0,21.0,50.0,50.0,--,12511
Vacy,20.0,3.0,16.0,87.0,13.0,--,14063
East Gresford,12.0,9.0,15.0,57.1,42.9,--,11350
Gresford,0.0,7.0,11.0,0.0,100.0,--,11777
Glen Martin,4.0,0.0,28.0,100.0,0.0,--,11650
Wallarobba,3.0,6.0,24.0,33.3,66.7,--,14111
Hilldale,6.0,3.0,37.0,66.7,33.3,--,11906
Glen Oak,12.0,6.0,17.0,66.7,33.3,--,11652
Glen William,4.0,0.0,42.0,100.0,0.0,--,11654
Brookfield (NSW),10.0,3.0,38.0,76.9,23.1,--,10596
Abermain,81.0,77.0,18.0,51.3,48.7,--,10010
Weston (NSW),181.0,171.0,19.0,51.4,48.6,--,14262
Kurri Kurri,237.0,226.0,23.0,51.2,48.8,--,12221
Stanford Merthyr,18.0,12.0,26.0,60.0,40.0,--,13647
Pelaw Main,38.0,33.0,25.0,53.5,46.5,--,13177
Heddon Greta,59.0,60.0,21.0,49.6,50.4,--,11888
Neath,15.0,12.0,15.0,55.6,44.4,--,12917
Cliftleigh,52.0,45.0,13.0,53.6,46.4,--,10932
Sawyers Gully,13.0,15.0,32.0,46.4,53.6,--,13499
Hunterview,77.0,80.0,19.0,49.0,51.0,--,11955
Redbournberry,7.0,0.0,25.0,100.0,0.0,--,13337
Singleton (NSW),159.0,192.0,22.0,45.3,54.7,--,13549
Whittingham,6.0,17.0,44.0,26.1,73.9,--,14279
Gowrie (Singleton - NSW),3.0,9.0,19.0,25.0,75.0,--,11729
Glenridding,13.0,9.0,36.0,59.1,40.9,--,11676
Singleton Heights,158.0,164.0,22.0,49.1,50.9,--,13550
Wattle Ponds,29.0,25.0,20.0,53.7,46.3,--,14193
McDougalls Hill,3.0,0.0,40.0,100.0,0.0,--,12541
Broke (NSW),16.0,21.0,12.0,43.2,56.8,--,10590
Bulga (NSW),18.0,14.0,20.0,56.2,43.8,--,10651
Jerrys Plains,10.0,4.0,9.0,71.4,28.6,--,12021
Maison Dieu,9.0,3.0,23.0,75.0,25.0,--,12448
Bridgman,11.0,0.0,31.0,100.0,0.0,--,10567
Mount Olive (Singleton - NSW),3.0,3.0,23.0,50.0,50.0,--,12781
Sedgefield,7.0,8.0,15.0,46.7,53.3,--,13514
Elderslie (Singleton - NSW),3.0,3.0,18.0,50.0,50.0,--,11392
Lambs Valley (Singleton - NSW),7.0,6.0,38.0,53.8,46.2,--,12263
Glendon Brook,8.0,6.0,28.0,57.1,42.9,--,11661
Maitland (NSW),47.0,67.0,25.0,41.2,58.8,--,12449
South Maitland,22.0,20.0,22.0,52.4,47.6,--,13591
Gillieston Heights,100.0,100.0,18.0,50.0,50.0,--,11624
Louth Park,11.0,3.0,20.0,78.6,21.4,--,12395
Horseshoe Bend,4.0,13.0,28.0,23.5,76.5,--,11939
East Maitland,261.0,261.0,23.0,50.0,50.0,--,11360
Metford,159.0,176.0,18.0,47.5,52.5,--,12592
Tenambit,91.0,114.0,22.0,44.4,55.6,--,13787
Raworth,31.0,39.0,15.0,44.3,55.7,--,13325
Morpeth,14.0,14.0,33.0,50.0,50.0,--,12727
Ashtonfield,59.0,83.0,23.0,41.5,58.5,--,10102
Chisholm (NSW),24.0,19.0,17.0,55.8,44.2,--,10909
Largs,30.0,34.0,16.0,46.9,53.1,--,12278
Bolwarra Heights,46.0,40.0,16.0,53.5,46.5,--,10451
Lorn,12.0,8.0,29.0,60.0,40.0,--,12389
Woodville (NSW),4.0,10.0,21.0,28.6,71.4,--,14398
Rutherford,430.0,457.0,19.0,48.5,51.5,--,13449
Aberglasslyn,154.0,149.0,18.0,50.8,49.2,--,10009
Luskintyre,0.0,3.0,32.0,0.0,100.0,--,12423
Lochinvar,22.0,12.0,26.0,64.7,35.3,--,12368
Windella,12.0,4.0,20.0,75.0,25.0,--,14317
Telarah,101.0,101.0,22.0,50.0,50.0,--,13780
Farley,6.0,10.0,16.0,37.5,62.5,--,11490
Bishops Bridge,5.0,4.0,26.0,55.6,44.4,--,10380
Thornton (NSW),162.0,166.0,21.0,49.4,50.6,--,13851
Millers Forest,11.0,8.0,18.0,57.9,42.1,--,12618
Anna Bay,55.0,61.0,22.0,47.4,52.6,--,10060
Boat Harbour (Port Stephens - NSW),17.0,13.0,19.0,56.7,43.3,--,10425
Bobs Farm,5.0,8.0,29.0,38.5,61.5,--,10429
One Mile (NSW),0.0,8.0,27.0,0.0,100.0,--,13085
Lemon Tree Passage,60.0,60.0,25.0,50.0,50.0,--,12300
Mallabula,32.0,22.0,24.0,59.3,40.7,--,12455
Tanilba Bay,72.0,101.0,21.0,41.6,58.4,--,13748
Salamander Bay,79.0,61.0,16.0,56.4,43.6,--,13463
Soldiers Point,10.0,23.0,29.0,30.3,69.7,--,13570
Corlette,45.0,55.0,22.0,45.0,55.0,--,11075
Taylors Beach (NSW),3.0,0.0,21.0,100.0,0.0,--,13777
Nelson Bay (NSW),107.0,120.0,24.0,47.1,52.9,--,12923
Fingal Bay,17.0,16.0,30.0,51.5,48.5,--,11518
Shoal Bay (NSW),28.0,16.0,29.0,63.6,36.4,--,13539
Raymond Terrace,519.0,563.0,19.0,48.0,52.0,--,13327
Tomago,4.0,6.0,35.0,40.0,60.0,--,13889
Heatherbrae,14.0,11.0,35.0,56.0,44.0,--,11884
Eagleton,4.0,4.0,9.0,50.0,50.0,--,11342
Duns Creek,7.0,9.0,20.0,43.8,56.2,--,11326
Seaham,11.0,16.0,19.0,40.7,59.3,--,13510
Wallalong,21.0,11.0,18.0,65.6,34.4,--,14104
Brandy Hill,10.0,6.0,21.0,62.5,37.5,--,10548
East Seaham,3.0,5.0,27.0,37.5,62.5,--,11362
Nelsons Plains,3.0,5.0,20.0,37.5,62.5,--,12924
Osterley (NSW),7.0,6.0,24.0,53.8,46.2,--,13099
Tea Gardens,70.0,52.0,27.0,57.4,42.6,--,13779
North Arm Cove,16.0,15.0,25.0,51.6,48.4,--,12979
Bundabah,3.0,3.0,52.0,50.0,50.0,--,10668
Pindimar,3.0,10.0,24.0,23.1,76.9,--,13211
Hawks Nest,28.0,16.0,27.0,63.6,36.4,--,11873
Karuah,104.0,105.0,24.0,49.8,50.2,--,12076
Medowie,244.0,214.0,20.0,53.3,46.7,--,12554
Salt Ash,25.0,37.0,17.0,40.3,59.7,--,13467
Williamtown,12.0,6.0,37.0,66.7,33.3,--,14299
Twelve Mile Creek,3.0,10.0,28.0,23.1,76.9,--,13988
Swan Bay (Port Stephens - NSW),18.0,10.0,28.0,64.3,35.7,--,13704
Muswellbrook,569.0,549.0,20.0,50.9,49.1,--,12868
Denman,60.0,56.0,22.0,51.7,48.3,--,11241
Gungal,12.0,21.0,12.0,36.4,63.6,--,11810
Martindale,5.0,3.0,13.0,62.5,37.5,--,12510
Castle Rock,3.0,8.0,18.0,27.3,72.7,--,10848
Aberdeen (NSW),65.0,78.0,19.0,45.5,54.5,--,10007
Wybong,5.0,7.0,18.0,41.7,58.3,--,14436
Sandy Hollow,9.0,10.0,22.0,47.4,52.6,--,13486
Muscle Creek,3.0,4.0,17.0,42.9,57.1,--,12867
McCullys Gap,5.0,6.0,15.0,45.5,54.5,--,12540
Scone,125.0,111.0,22.0,53.0,47.0,--,13503
Middle Brook,3.0,3.0,20.0,50.0,50.0,--,12600
Segenhoe,4.0,6.0,16.0,40.0,60.0,--,13517
Rouchel,0.0,3.0,23.0,0.0,100.0,--,13422
Murrurundi,30.0,23.0,30.0,56.6,43.4,--,12864
Parkville (NSW),6.0,10.0,17.0,37.5,62.5,--,13154
Upper Dartbrook,0.0,0.0,38.0,0.0,0.0,--,14022
Niangala,0.0,5.0,52.0,0.0,100.0,--,12962
Merriwa (NSW),71.0,61.0,18.0,53.8,46.2,--,12585
Dapto,193.0,195.0,22.0,49.7,50.3,--,11202
Kanahooka,63.0,67.0,20.0,48.5,51.5,--,12055
Koonawarra,164.0,216.0,17.0,43.2,56.8,--,12187
Avondale (NSW),26.0,23.0,24.0,53.1,46.9,--,10116
Marshall Mount,0.0,3.0,8.0,0.0,100.0,--,12507
Haywards Bay,13.0,14.0,25.0,48.1,51.9,--,11880
Brownsville,14.0,14.0,25.0,50.0,50.0,--,10612
Horsley,97.0,112.0,20.0,46.4,53.6,--,11942
Kembla Grange,3.0,0.0,42.0,100.0,0.0,--,12092
Port Kembla,93.0,89.0,23.0,51.1,48.9,--,13245
Coniston,15.0,39.0,22.0,27.8,72.2,--,11010
Unanderra,83.0,92.0,25.0,47.4,52.6,--,14008
Mount Kembla,6.0,8.0,20.0,42.9,57.1,--,12769
Kembla Heights,0.0,4.0,20.0,0.0,100.0,--,12093
Cordeaux Heights,29.0,15.0,25.0,65.9,34.1,--,11070
Farmborough Heights,36.0,45.0,26.0,44.4,55.6,--,11491
Berkeley,182.0,223.0,19.0,44.9,55.1,--,10303
Lake Heights,44.0,46.0,19.0,48.9,51.1,--,12248
Warrawong,132.0,124.0,15.0,51.6,48.4,--,14167
Windang,35.0,51.0,31.0,40.7,59.3,--,14316
Primbee,41.0,42.0,32.0,49.4,50.6,--,13264
Mount Keira,7.0,9.0,16.0,43.8,56.2,--,12768
Bulli,68.0,62.0,21.0,52.3,47.7,--,10662
Bargo,70.0,74.0,22.0,48.6,51.4,--,10198
Yerrinbool,21.0,26.0,30.0,44.7,55.3,--,14510
Wilton (NSW),41.0,38.0,16.0,51.9,48.1,--,14311
Pheasants Nest,12.0,6.0,21.0,66.7,33.3,--,13191
Albion Park,226.0,284.0,18.0,44.3,55.7,--,10025
Tullimbar,3.0,6.0,40.0,33.3,66.7,--,13958
Albion Park Rail,158.0,189.0,20.0,45.5,54.5,--,10026
Kiama,59.0,56.0,23.0,51.3,48.7,--,12116
Kiama Heights,3.0,7.0,40.0,30.0,70.0,--,12118
Kiama Downs,53.0,46.0,25.0,53.5,46.5,--,12117
Minnamurra,8.0,7.0,45.0,53.3,46.7,--,12639
Gerringong,45.0,52.0,25.0,46.4,53.6,--,11606
Jamberoo,8.0,11.0,28.0,42.1,57.9,--,11998
Werri Beach,4.0,7.0,48.0,36.4,63.6,--,14233
Gerroa,10.0,8.0,17.0,55.6,44.4,--,11607
Flinders (NSW),117.0,108.0,18.0,52.0,48.0,--,11534
Shellharbour,52.0,49.0,25.0,51.5,48.5,--,13533
Shell Cove,43.0,52.0,20.0,45.3,54.7,--,13532
Barrack Point,10.0,10.0,35.0,50.0,50.0,--,10208
Oak Flats,98.0,102.0,22.0,49.0,51.0,--,13053
Blackbutt (NSW),47.0,44.0,17.0,51.6,48.4,--,10391
Warilla,185.0,163.0,20.0,53.2,46.8,--,14151
Lake Illawarra,46.0,70.0,24.0,39.7,60.3,--,12250
Barrack Heights,151.0,144.0,20.0,51.2,48.8,--,10207
Mount Warrigal,146.0,124.0,18.0,54.1,45.9,--,12801
Fairy Meadow,63.0,74.0,26.0,46.0,54.0,--,11484
Balgownie,38.0,63.0,21.0,37.6,62.4,--,10155
Gwynneville,32.0,16.0,23.0,66.7,33.3,--,11825
North Wollongong,30.0,19.0,21.0,61.2,38.8,--,13017
Mount Ousley,13.0,9.0,37.0,59.1,40.9,--,12782
Mount Pleasant (NSW),7.0,8.0,32.0,46.7,53.3,--,12784
Tarrawanna,14.0,20.0,28.0,41.2,58.8,--,13769
Corrimal,87.0,91.0,18.0,48.9,51.1,--,11082
Towradgi,32.0,28.0,22.0,53.3,46.7,--,13929
Fernhill,13.0,12.0,32.0,52.0,48.0,--,11507
East Corrimal,50.0,38.0,28.0,56.8,43.2,--,11348
Bellambi,154.0,160.0,19.0,49.0,51.0,--,10264
West Wollongong,32.0,34.0,22.0,48.5,51.5,--,14255
Keiraville,19.0,28.0,20.0,40.4,59.6,--,12085
Figtree,85.0,95.0,25.0,47.2,52.8,--,11515
Helensburgh,96.0,70.0,25.0,57.8,42.2,--,11890
Otford,3.0,4.0,22.0,42.9,57.1,--,13101
Stanwell Park,10.0,14.0,25.0,41.7,58.3,--,13653
Stanwell Tops,3.0,5.0,23.0,37.5,62.5,--,13654
Thirroul,49.0,50.0,21.0,49.5,50.5,--,13848
Austinmer,11.0,13.0,29.0,45.8,54.2,--,10108
Coledale,12.0,23.0,21.0,34.3,65.7,--,10966
Wombarra,5.0,14.0,28.0,26.3,73.7,--,14363
Woonona,142.0,146.0,24.0,49.3,50.7,--,14416
Russell Vale,26.0,38.0,18.0,40.6,59.4,--,13448
Wollongong,138.0,110.0,27.0,55.6,44.4,--,14358
Mount Saint Thomas,19.0,26.0,26.0,42.2,57.8,--,12791
Mangerton,24.0,25.0,24.0,49.0,51.0,--,12468
Bulahdelah,38.0,31.0,36.0,55.1,44.9,--,10649
Wards River,4.0,4.0,42.0,50.0,50.0,--,14147
Stroud Road,9.0,7.0,42.0,56.2,43.8,--,13679
Stroud,25.0,30.0,22.0,45.5,54.5,--,13677
Girvan,5.0,0.0,45.0,100.0,0.0,--,11637
Nerong,5.0,11.0,28.0,31.2,68.8,--,12929
Allworth,11.0,4.0,29.0,73.3,26.7,--,10041
Bunyah,0.0,3.0,22.0,0.0,100.0,--,10690
Booral (NSW),4.0,12.0,47.0,25.0,75.0,--,10496
Limeburners Creek (Mid-Coast - NSW),14.0,22.0,24.0,38.9,61.1,--,12328
Forster (NSW),381.0,425.0,20.0,47.3,52.7,--,11550
Green Point (Mid-Coast - NSW),16.0,18.0,22.0,47.1,52.9,--,11755
Darawank,16.0,11.0,14.0,59.3,40.7,--,11203
Tarbuck Bay,13.0,3.0,16.0,81.2,18.8,--,13762
Nabiac,38.0,45.0,17.0,45.8,54.2,--,12885
Failford,6.0,8.0,39.0,42.9,57.1,--,11476
Coomba Park,12.0,14.0,35.0,46.2,53.8,--,11038
Bungwahl,3.0,3.0,58.0,50.0,50.0,--,10687
Charlotte Bay,3.0,3.0,11.0,50.0,50.0,--,10887
Coolongolook,18.0,24.0,16.0,42.9,57.1,--,11032
Coomba Bay,4.0,3.0,53.0,57.1,42.9,--,11037
Minimbah,9.0,4.0,34.0,69.2,30.8,--,12636
Elizabeth Beach,5.0,0.0,20.0,100.0,0.0,--,11396
Boomerang Beach,3.0,5.0,3.0,37.5,62.5,--,10487
Tuncurry,138.0,112.0,30.0,55.2,44.8,--,13969
South Kempsey,196.0,234.0,26.0,45.6,54.4,--,13588
West Kempsey,428.0,510.0,19.0,45.6,54.4,--,14247
Kempsey,27.0,29.0,23.0,48.2,51.8,--,12095
Frederickton,67.0,66.0,16.0,50.4,49.6,--,11561
Aldavilla,225.0,47.0,29.0,82.7,17.3,--,10028
Dondingalong,17.0,25.0,19.0,40.5,59.5,--,11272
Greenhill (NSW),121.0,137.0,26.0,46.9,53.1,--,11763
East Kempsey,53.0,67.0,17.0,44.2,55.8,--,11354
Verges Creek,5.0,3.0,33.0,62.5,37.5,--,14072
Yarravel,36.0,43.0,32.0,45.6,54.4,--,14483
Stuarts Point,38.0,41.0,21.0,48.1,51.9,--,13681
Hat Head,16.0,14.0,26.0,53.3,46.7,--,11869
Kinchela,11.0,7.0,35.0,61.1,38.9,--,12140
Gladstone (NSW),10.0,5.0,15.0,66.7,33.3,--,11639
Smithtown,19.0,20.0,9.0,48.7,51.3,--,13564
Mungay Creek,3.0,7.0,11.0,30.0,70.0,--,12841
Willawarrin,14.0,16.0,27.0,46.7,53.3,--,14295
Temagog,10.0,3.0,23.0,76.9,23.1,--,13783
Millbank (NSW),11.0,12.0,19.0,47.8,52.2,--,12616
Hickeys Creek,10.0,3.0,19.0,76.9,23.1,--,11899
Belmore River,3.0,7.0,28.0,30.0,70.0,--,10280
Crescent Head,58.0,50.0,24.0,53.7,46.3,--,11114
Fishermans Reach,4.0,8.0,22.0,33.3,66.7,--,11524
Bellimbopinni,9.0,5.0,15.0,64.3,35.7,--,10272
Collombatti,13.0,19.0,22.0,40.6,59.4,--,10979
Kundabung,23.0,21.0,13.0,52.3,47.7,--,12209
Sherwood (Kempsey - NSW),3.0,8.0,11.0,27.3,72.7,--,13537
Bellbrook,35.0,44.0,39.0,44.3,55.7,--,10270
Macksville,87.0,109.0,20.0,44.4,55.6,--,12430
North Macksville,19.0,20.0,24.0,48.7,51.3,--,12995
Way Way,3.0,8.0,25.0,27.3,72.7,--,14203
Scotts Head,31.0,21.0,21.0,59.6,40.4,--,13508
Gumma,15.0,5.0,12.0,75.0,25.0,--,11801
Nambucca Heads,283.0,325.0,23.0,46.5,53.5,--,12887
Hyland Park,9.0,6.0,37.0,60.0,40.0,--,11968
Bowraville,86.0,79.0,21.0,52.1,47.9,--,10537
Valla Beach,27.0,29.0,21.0,48.2,51.8,--,14068
South Arm (Nambucca - NSW),42.0,44.0,21.0,48.8,51.2,--,13575
Newee Creek,11.0,15.0,14.0,42.3,57.7,--,12952
Congarinni North,10.0,10.0,10.0,50.0,50.0,--,11006
Congarinni,5.0,3.0,10.0,62.5,37.5,--,11005
Warrell Creek,9.0,5.0,9.0,64.3,35.7,--,14170
Eungai Creek,12.0,6.0,23.0,66.7,33.3,--,11458
Eungai Rail,4.0,3.0,19.0,57.1,42.9,--,11459
Utungun,8.0,5.0,18.0,61.5,38.5,--,14062
Taylors Arm,3.0,0.0,43.0,100.0,0.0,--,13776
Argents Hill,3.0,10.0,27.0,23.1,76.9,--,10079
Missabotti,10.0,8.0,15.0,55.6,44.4,--,12649
South West Rocks,115.0,132.0,22.0,46.6,53.4,--,13600
Arakoon,5.0,9.0,35.0,35.7,64.3,--,10069
Lord Howe Island,3.0,5.0,17.0,37.5,62.5,--,12387
Lake Cathie,59.0,60.0,19.0,49.6,50.4,--,12243
Bonny Hills,38.0,35.0,26.0,52.1,47.9,--,10470
North Haven (NSW),30.0,26.0,36.0,53.6,46.4,--,12992
Kendall,26.0,21.0,26.0,55.3,44.7,--,12096
Laurieton,30.0,37.0,29.0,44.8,55.2,--,12283
Kew (NSW),16.0,6.0,25.0,72.7,27.3,--,12109
Herons Creek,9.0,12.0,15.0,42.9,57.1,--,11897
Upsalls Creek,0.0,0.0,25.0,0.0,0.0,--,14049
Lakewood,26.0,33.0,18.0,44.1,55.9,--,12259
Dunbogan,7.0,7.0,43.0,50.0,50.0,--,11310
Johns River,19.0,6.0,17.0,76.0,24.0,--,12037
Camden Head,0.0,4.0,7.0,0.0,100.0,--,10771
