,Clerical and Administrative Workers,Technicians and Trades Workers,Professionals,Managers,Sales Workers,Community and Personal Service Workers,Labourers,Machinery Operators And Drivers,Clerical and Administrative Workers (%),Technicians and Trades Workers (%),Professionals (%),Managers (%),Sales Workers (%),Community and Personal Service Workers (%),Labourers (%),Machinery Operators And Drivers (%)
Queens Park,199,93,630,283,92,105,32,12,13.5,6.3,42.6,19.1,6.2,7.1,2.2,0.8
Raby,625,524,433,278,347,314,324,348,19.2,16.1,13.3,8.6,10.7,9.7,10.0,10.7
Ramsgate,74,69,77,62,35,20,34,27,17.7,16.5,18.5,14.9,8.4,4.8,8.2,6.5
Ramsgate Beach,127,92,147,72,58,62,39,46,19.3,14.0,22.3,10.9,8.8,9.4,5.9,7.0
Randwick,"2,096","1,376","6,047","2,206","1,089","1,365",603,362,13.7,9.0,39.4,14.4,7.1,8.9,3.9,2.4
Rankin Park,190,192,374,132,96,107,69,60,15.4,15.6,30.4,10.7,7.8,8.7,5.6,4.9
Redfern,898,553,"2,543","1,020",471,598,297,119,13.6,8.4,38.5,15.5,7.1,9.1,4.5,1.8
Redhead,236,238,368,168,171,171,116,92,14.9,15.1,23.3,10.6,10.8,10.8,7.3,5.8
Regents Park,270,251,275,147,121,140,224,165,16.4,15.2,16.7,8.9,7.3,8.5,13.6,10.0
Regentville,55,53,45,32,23,40,37,26,17.2,16.6,14.1,10.0,7.2,12.5,11.6,8.2
Revesby,"1,121",883,"1,016",577,522,458,486,432,20.0,15.8,18.1,10.3,9.3,8.2,8.7,7.7
Revesby Heights,135,108,148,83,68,79,38,30,19.2,15.4,21.1,11.8,9.7,11.3,5.4,4.3
Rhodes,453,221,"1,047",501,233,197,89,34,16.0,7.8,36.9,17.7,8.2,6.9,3.1,1.2
Riverstone,441,537,383,250,262,230,364,322,15.6,19.0,13.5,8.8,9.3,8.1,12.9,11.4
Riverview,210,64,632,305,121,107,24,9,14.0,4.3,42.2,20.4,8.1,7.1,1.6,0.6
Riverwood,670,542,706,295,347,376,415,351,17.7,14.4,18.7,7.8,9.2,10.0,11.0,9.3
Rockdale,"1,052",906,"1,373",580,746,786,890,429,15.1,13.0,19.8,8.4,10.7,11.3,12.8,6.2
Rocky Point,15,24,21,12,17,11,14,10,12.1,19.4,16.9,9.7,13.7,8.9,11.3,8.1
Rodd Point,95,58,214,126,55,35,24,12,15.1,9.2,33.9,20.0,8.7,5.5,3.8,1.9
Rooty Hill,"1,132",807,866,373,522,552,759,777,19.2,13.7,14.7,6.3,8.8,9.3,12.8,13.1
Rose Bay,629,297,"1,818",939,392,375,128,54,13.3,6.3,38.3,19.8,8.3,7.9,2.7,1.1
Rosebery,712,486,"1,074",557,332,362,292,227,17.3,11.8,26.1,13.6,8.1,8.8,7.1,5.5
Roselands,774,690,822,519,477,379,366,404,17.0,15.2,18.1,11.4,10.5,8.3,8.0,8.9
Rosemeadow,540,559,363,280,340,377,455,424,15.8,16.4,10.6,8.2,10.0,11.0,13.3,12.4
Roseville,630,233,"1,845",817,298,265,109,46,14.6,5.4,42.6,18.9,6.9,6.1,2.5,1.1
Roseville Chase,109,42,263,167,53,64,14,8,14.7,5.7,35.5,22.5,7.2,8.6,1.9,1.1
Rouse Hill,650,521,832,603,358,270,189,185,17.8,14.2,22.7,16.5,9.8,7.4,5.2,5.1
Rozelle,587,319,"2,028","1,150",306,263,100,63,12.0,6.5,41.5,23.5,6.3,5.4,2.0,1.3
Ruse,540,472,407,247,277,281,268,306,18.9,16.5,14.2,8.6,9.7,9.8,9.4,10.7
Rushcutters Bay,180,91,593,263,91,122,42,11,12.8,6.5,42.2,18.7,6.5,8.7,3.0,0.8
Russell Lea,397,215,790,467,218,196,85,45,16.2,8.8,32.3,19.1,8.9,8.0,3.5,1.8
Russell Vale,105,127,123,46,51,81,64,50,15.9,19.2,18.6,7.0,7.7,12.3,9.7,7.6
