,Clerical and Administrative Workers,Technicians and Trades Workers,Professionals,Managers,Sales Workers,Community and Personal Service Workers,Labourers,Machinery Operators And Drivers,Clerical and Administrative Workers (%),Technicians and Trades Workers (%),Professionals (%),Managers (%),Sales Workers (%),Community and Personal Service Workers (%),Labourers (%),Machinery Operators And Drivers (%)
Woodcroft,745,398,835,280,242,270,295,295,21.7,11.6,24.4,8.2,7.1,7.9,8.6,8.6
Woodpark,125,84,93,63,45,43,62,57,21.3,14.3,15.8,10.7,7.7,7.3,10.5,9.7
Woodrising,94,110,60,45,85,75,68,54,15.7,18.4,10.1,7.5,14.2,12.6,11.4,9.0
Woollahra,464,160,"1,718",764,250,215,54,25,12.4,4.3,45.9,20.4,6.7,5.7,1.4,0.7
Woolloomooloo,225,128,733,375,116,152,81,19,12.0,6.8,39.1,20.0,6.2,8.1,4.3,1.0
Woolooware,371,309,484,318,216,234,108,80,17.2,14.3,22.5,14.8,10.0,10.9,5.0,3.7
Woolwich,68,17,143,90,22,23,4,3,17.9,4.5,37.6,23.7,5.8,6.1,1.1,0.8
Woonona,746,786,"1,234",549,420,646,329,322,14.7,15.4,24.2,10.8,8.2,12.7,6.5,6.3
Woronora,213,177,290,171,97,84,54,47,18.5,15.4,25.2,14.8,8.4,7.3,4.7,4.1
Woronora Heights,377,253,366,275,233,181,84,51,20.4,13.7,19.8,14.9,12.6,9.8,4.6,2.8
Woy Woy,615,550,554,304,418,474,416,231,17.0,15.2,15.3,8.4,11.5,13.1,11.5,6.4
Woy Woy Bay,28,23,47,44,26,18,6,8,13.7,11.3,23.0,21.6,12.7,8.8,2.9,3.9
Wyoming,628,607,757,391,451,433,380,237,15.9,15.4,19.2,9.9,11.4,11.0,9.6,6.0
Wyong,163,211,171,106,134,133,182,109,13.2,17.0,13.8,8.6,10.8,10.7,14.7,8.8
Wyongah,125,159,127,84,103,96,106,79,14.1,17.9,14.3,9.5,11.6,10.8,11.9,8.9
Yagoona,992,865,826,472,568,464,695,591,17.6,15.3,14.6,8.4,10.1,8.2,12.3,10.5
Yarrawarrah,357,251,387,236,158,173,86,60,20.7,14.5,22.4,13.7,9.1,10.0,5.0,3.5
Yattalunga,31,42,47,26,25,25,27,7,13.5,18.3,20.4,11.3,10.9,10.9,11.7,3.0
Yennora,63,67,40,18,33,31,68,47,16.3,17.4,10.4,4.7,8.5,8.0,17.6,12.2
Yowie Bay,301,162,405,289,162,130,74,40,19.0,10.2,25.5,18.2,10.2,8.2,4.7,2.5
Zetland,310,173,820,463,206,197,57,35,13.6,7.6,35.9,20.3,9.0,8.6,2.5,1.5
