,Italian,Assyrian Neo-Aramaic,Arabic,Croatian,Spanish,&nbsp;,English only spoken at home,Households where two or more languages are spoken,Cantonese,Greek,Mandarin,Hindi,Tagalog,Punjabi,Sinhalese,Gujarati,Macedonian,Serbian,German,Samoan,Tongan,Fijian,Maltese,Indonesian,French,Filipino,Thai,Korean,Japanese,Nepali,Portuguese,Vietnamese,Turkish,Urdu,Latvian,Dutch,Afrikaans,Russian,Persian (excluding Dari,Tamil,Maori (Cook Island,Hebrew,Hungarian,Norwegian,Slovak,Gaelic (Scotland,Armenian,Danish,Khmer,Dinka,Swedish,Lao,Icelandic,Finnish,Polish,Ukrainian,Chaldean Neo-Aramaic,Dari,Maori (New Zealand,Min Nan,Swahili,Marathi,Albanian,Irish,Welsh,Estonian,Bengali,Bosnian,Kinyarwanda (Rwanda,Malay,"Celtic, nec",Auslan,"Serbo-Croatian/Yugoslavian, so described",Czech,Burmese,Karen,Tokelauan,Malayalam,Telugu,Lithuanian,Italian (%),Assyrian Neo-Aramaic (%),Arabic (%),Croatian (%),Spanish (%),&nbsp; (%),English only spoken at home (%),Households where two or more languages are spoken (%),Cantonese (%),Greek (%),Mandarin (%),Hindi (%),Tagalog (%),Punjabi (%),Sinhalese (%),Gujarati (%),Macedonian (%),Serbian (%),German (%),Samoan (%),Tongan (%),Fijian (%),Maltese (%),Indonesian (%),French (%),Filipino (%),Thai (%),Korean (%),Japanese (%),Nepali (%),Portuguese (%),Vietnamese (%),Turkish (%),Urdu (%),Latvian (%),Dutch (%),Afrikaans (%),Russian (%),Persian (excluding Dari (%),Tamil (%),Maori (Cook Island (%),Hebrew (%),Hungarian (%),Norwegian (%),Slovak (%),Gaelic (Scotland (%),Armenian (%),Danish (%),Khmer (%),Dinka (%),Swedish (%),Lao (%),Icelandic (%),Finnish (%),Polish (%),Ukrainian (%),Chaldean Neo-Aramaic (%),Dari (%),Maori (New Zealand (%),Min Nan (%),Swahili (%),Marathi (%),Albanian (%),Irish (%),Welsh (%),Estonian (%),Bengali (%),Bosnian (%),Kinyarwanda (Rwanda (%),Malay (%),"Celtic, nec (%)",Auslan (%),"Serbo-Croatian/Yugoslavian, so described (%)",Czech (%),Burmese (%),Karen (%),Tokelauan (%),Malayalam (%),Telugu (%),Lithuanian (%)
Alexandria,,,,,103,&nbsp;,"5,233",755,156,,128,,,,,,,,,,,,,78,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,&nbsp;,74.2,23.0,2.2,,1.8,,,,,,,,,,,,,1.1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alfords Point,64,,133,,,&nbsp;,"2,371",313,58,244,,,,,,,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,,4.0,,,&nbsp;,71.8,33.9,1.8,7.4,,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allambie Heights,118,,,,58,&nbsp;,"5,649",378,,57,73,,,,,,,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,,,,0.9,&nbsp;,83.8,16.7,,0.8,1.1,,,,,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allawah,,,218,,,&nbsp;,"1,612","1,375",745,176,921,,,,,,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,,,&nbsp;,30.0,66.6,13.9,3.3,17.2,,,,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambarvale,,,146,,154,&nbsp;,"5,208",533,,,,73,79,,,,,,,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.1,&nbsp;,72.2,24.5,,,,1.0,1.1,,,,,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annandale,205,,,,94,&nbsp;,"6,978",675,84,129,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,,,,1.1,&nbsp;,80.5,19.2,1.0,1.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argenton,,,,,,&nbsp;,"1,237",46,,19,,4,,,,,13,,,,,,,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,90.4,8.2,,1.4,,0.3,,,,,0.9,,,,,,,,,0.6,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arncliffe,206,,"1,902",,,&nbsp;,"3,041","1,636",183,381,,,,,,,654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,,22.6,,,&nbsp;,36.1,61.5,2.2,4.5,,,,,,,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artarmon,,,,,,&nbsp;,"4,978","1,443",592,,676,,,,,,,,,,,,,,,,,266,247,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,57.6,41.0,6.9,,7.8,,,,,,,,,,,,,,,,,3.1,2.9,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashbury,367,,150,,,&nbsp;,"1,806",513,80,256,,,,,,,,,,,,,,,,,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.7,,4.8,,,&nbsp;,57.6,49.4,2.6,8.2,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashcroft,,,642,,,&nbsp;,"1,493",487,,,,67,,,,,,45,,77,,,,,,,,,,,,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.4,,,&nbsp;,45.2,46.2,,,,2.0,,,,,,1.4,,2.3,,,,,,,,,,,,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashfield,648,,,,,&nbsp;,"8,942","4,613","1,330",416,"2,964",,,,,,,,,,,,,,,,,,,948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,,,,,&nbsp;,40.3,56.2,6.0,1.9,13.4,,,,,,,,,,,,,,,,,,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asquith,42,,,,,&nbsp;,"2,631",285,100,,120,37,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,,,,&nbsp;,75.7,23.7,2.9,,3.5,1.1,,,,,,,,,,,,,,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auburn,,,"5,184",,,&nbsp;,"4,457","7,925","2,694",,"3,426",,,,,,,,,,,,,,,,,,,,,,"3,824","1,349",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.7,,,&nbsp;,13.5,84.8,8.1,,10.3,,,,,,,,,,,,,,,,,,,,,,11.5,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austinmer,,,,,11,&nbsp;,"2,223",58,,,,,,,,,,8,19,,,,,,,,,,,,,,,,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,&nbsp;,90.6,6.9,,,,,,,,,,0.3,0.8,,,,,,,,,,,,,,,,0.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avoca Beach,,,,,,&nbsp;,"3,979",82,,,,,,,,,,,22,,,,,,17,,,,15,,,,,,,,12,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,92.1,5.6,,,,,,,,,,,0.5,,,,,,0.4,,,,0.3,,,,,,,,0.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balgowlah,50,,,,44,&nbsp;,"6,262",428,55,61,,,,,,,,,,,,,,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,0.6,&nbsp;,83.5,14.8,0.7,0.8,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balgowlah Heights,28,,,,,&nbsp;,"2,875",157,24,62,22,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,&nbsp;,87.9,15.3,0.7,1.9,0.7,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balgownie,272,,63,,56,&nbsp;,"4,387",440,,,,,,,,,78,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,1.2,,1.0,&nbsp;,80.6,21.9,,,,,,,,,1.4,,,,,,,,,,,,,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balmain,119,,55,,,&nbsp;,"8,105",613,,97,,,,,,,,,75,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,0.6,,,&nbsp;,82.9,14.6,,1.0,,,,,,,,,0.8,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balmain East,17,,,,16,&nbsp;,"1,578",117,,,21,,,,,,,,16,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,0.9,&nbsp;,84.5,14.1,,,1.1,,,,,,,,0.9,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangor,60,,48,26,,&nbsp;,"4,951",254,37,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,0.9,0.5,,&nbsp;,88.1,14.1,0.7,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banksia,78,,239,,,&nbsp;,"1,300",620,173,179,,,,,,,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,,7.4,,,&nbsp;,40.2,60.4,5.4,5.5,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bankstown,,,"7,176",,,&nbsp;,"5,158","7,549","1,098","1,000","1,430",,,,,,,,,,,,,,,,,,,,,"5,278",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.5,,,&nbsp;,16.9,81.4,3.6,3.3,4.7,,,,,,,,,,,,,,,,,,,,,17.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bar Beach,8,,,,,&nbsp;,969,45,,11,,,,,,,,,7,,,,,,,,,,,,,,,,,,5,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,&nbsp;,86.1,8.7,,1.0,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,0.4,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barden Ridge,48,,74,,68,&nbsp;,"3,546",181,47,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,1.8,,1.7,&nbsp;,87.7,16.1,1.2,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bardwell Park,,,90,,,&nbsp;,"1,135",393,79,437,128,,,,,,,,,,,,,,,,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,&nbsp;,50.0,51.5,3.5,19.3,5.6,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bardwell Valley,64,,343,,,&nbsp;,"1,108",369,,177,69,,,,,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,,15.6,,,&nbsp;,50.3,48.8,,8.0,3.1,,,,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barnsley,3,,,,,&nbsp;,"1,733",19,,3,,,,,,,,,,10,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,&nbsp;,95.5,3.2,,0.2,,,,,,,,,,0.6,,,,,,,,,,,,,,,,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barrack Heights,90,,,67,73,&nbsp;,"4,752",432,,,,,,,,,324,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,1.1,1.2,&nbsp;,79.0,20.2,,,,,,,,,5.4,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barrack Point,5,,4,3,3,&nbsp;,560,21,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,0.6,0.5,0.5,&nbsp;,89.2,9.2,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bass Hill,221,,"1,882",,,&nbsp;,"3,474","1,445",173,262,,,,,,,,,,,,,,,,,,,,,,680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,,23.0,,,&nbsp;,42.5,56.4,2.1,3.2,,,,,,,,,,,,,,,,,,,,,,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bateau Bay,47,,,,28,&nbsp;,"11,091",201,20,17,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,0.2,&nbsp;,94.3,4.5,0.2,0.1,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baulkham Hills,,,607,,,&nbsp;,"23,568","3,529","1,274",,"1,441",524,,,,,,,,,,,,,,,,825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,,,&nbsp;,69.4,31.3,3.8,,4.2,1.5,,,,,,,,,,,,,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
