,Family households,Single (or lone) person households,Group households,Family households (%),Single (or lone) person households (%),Group households (%),SSC_CODE
Edensor Park,2417.0,268.0,13.0,89.6,9.9,0.5,11377
Fairfield West,2767.0,422.0,62.0,85.1,13.0,1.9,11480
Fairfield Heights,1737.0,362.0,28.0,81.7,17.0,1.3,11479
Greenfield Park,1218.0,122.0,14.0,90.0,9.0,1.0,11761
Prairiewood,838.0,119.0,6.0,87.0,12.4,0.6,13258
Horsley Park,429.0,83.0,11.0,82.0,15.9,2.1,11943
Mount Vernon,272.0,25.0,3.0,90.7,8.3,1.0,12796
Wetherill Park,1571.0,207.0,27.0,87.0,11.5,1.5,14264
Wakeley,1191.0,138.0,17.0,88.5,10.3,1.3,14089
St Johns Park,1480.0,159.0,26.0,88.9,9.5,1.6,13641
Casula,3774.0,724.0,81.0,82.4,15.8,1.8,10852
Moorebank,2554.0,431.0,40.0,84.4,14.2,1.3,12712
Chipping Norton,2348.0,412.0,49.0,83.6,14.7,1.7,10908
Voyager Point,452.0,25.0,3.0,94.2,5.2,0.6,14079
Wattle Grove (NSW),2403.0,297.0,35.0,87.9,10.9,1.3,14192
Hammondville,843.0,251.0,18.0,75.8,22.6,1.6,11844
Sandy Point (NSW),165.0,26.0,0.0,86.4,13.6,0.0,13487
Pleasure Point,136.0,8.0,4.0,91.9,5.4,2.7,13229
Liverpool,6157.0,1956.0,284.0,73.3,23.3,3.4,12361
Warwick Farm,1322.0,713.0,95.0,62.1,33.5,4.5,14177
Cartwright,502.0,298.0,23.0,61.0,36.2,2.8,10838
Lurnea,2115.0,575.0,45.0,77.3,21.0,1.6,12422
Prestons,3653.0,333.0,25.0,91.1,8.3,0.6,13260
Gymea Bay,1863.0,239.0,24.0,87.6,11.2,1.1,11827
Gymea,2081.0,789.0,94.0,70.2,26.6,3.2,11826
Grays Point,860.0,87.0,10.0,89.9,9.1,1.0,11743
Miranda (NSW),3933.0,1552.0,183.0,69.4,27.4,3.2,12645
Yowie Bay,827.0,154.0,9.0,83.5,15.6,0.9,14519
Taren Point,439.0,209.0,5.0,67.2,32.0,0.8,13766
Caringbah,2983.0,1555.0,168.0,63.4,33.0,3.6,10815
Sylvania Waters,864.0,161.0,21.0,82.6,15.4,2.0,13718
Sylvania,2787.0,834.0,72.0,75.5,22.6,1.9,13717
Kangaroo Point (NSW),165.0,12.0,0.0,93.2,6.8,0.0,12060
Caringbah South,3326.0,702.0,52.0,81.5,17.2,1.3,10816
Dolans Bay,168.0,29.0,0.0,85.3,14.7,0.0,11266
Kurnell,563.0,120.0,16.0,80.5,17.2,2.3,12216
Greenhills Beach,203.0,4.0,0.0,98.1,1.9,0.0,11764
Cronulla,4698.0,2627.0,411.0,60.7,34.0,5.3,11119
Bundeena,531.0,157.0,23.0,74.7,22.1,3.2,10672
Maianbar,151.0,36.0,3.0,79.5,18.9,1.6,12443
Woolooware,1048.0,328.0,27.0,74.7,23.4,1.9,14410
Lilli Pilli (Sutherland Shire - NSW),375.0,31.0,6.0,91.0,7.5,1.5,12322
Port Hacking,301.0,37.0,3.0,88.3,10.9,0.9,13244
Burraneer,961.0,152.0,12.0,85.4,13.5,1.1,10705
Heathcote (NSW),1594.0,422.0,25.0,78.1,20.7,1.2,11883
Waterfall,141.0,22.0,3.0,84.9,13.3,1.8,14182
Illawong,2031.0,201.0,20.0,90.2,8.9,0.9,11974
Alfords Point,854.0,53.0,6.0,93.5,5.8,0.7,10031
Barden Ridge,1114.0,77.0,5.0,93.1,6.4,0.4,10193
Menai,2851.0,418.0,31.0,86.4,12.7,0.9,12567
Bangor (NSW),1542.0,228.0,26.0,85.9,12.7,1.4,10177
Woronora,588.0,82.0,11.0,86.3,12.0,1.6,14420
Bonnet Bay,656.0,67.0,3.0,90.4,9.2,0.4,10469
Jannali,1592.0,539.0,46.0,73.1,24.8,2.1,12001
Oyster Bay,1481.0,205.0,22.0,86.7,12.0,1.3,13112
Como (NSW),1055.0,168.0,21.0,84.8,13.5,1.7,10996
Kareela,989.0,133.0,7.0,87.6,11.8,0.6,12073
Kirrawee,2448.0,843.0,88.0,72.4,24.9,2.6,12172
Sutherland (NSW),2866.0,1474.0,186.0,63.3,32.6,4.1,13701
Loftus,1142.0,201.0,12.0,84.3,14.8,0.9,12371
Engadine,4774.0,920.0,77.0,82.7,15.9,1.3,11422
Yarrawarrah,775.0,98.0,11.0,87.7,11.1,1.2,14485
Woronora Heights,796.0,45.0,3.0,94.3,5.3,0.4,14422
