,Family households,Single (or lone) person households,Group households,Family households (%),Single (or lone) person households (%),Group households (%),SSC_CODE
Balgowlah,2151.0,731.0,131.0,71.4,24.3,4.3,10153
Manly (NSW),3941.0,1964.0,625.0,60.4,30.1,9.6,12475
Fairlight,1617.0,540.0,140.0,70.4,23.5,6.1,11482
Avalon Beach,2610.0,633.0,56.0,79.1,19.2,1.7,10111
Palm Beach (NSW),423.0,154.0,13.0,71.7,26.1,2.2,13132
Whale Beach,68.0,30.0,3.0,67.3,29.7,3.0,14267
Clareville,229.0,53.0,3.0,80.4,18.6,1.1,10923
Scotland Island,155.0,52.0,3.0,73.8,24.8,1.4,13505
Elanora Heights,1158.0,139.0,30.0,87.3,10.5,2.3,11389
Ingleside,232.0,42.0,5.0,83.2,15.1,1.8,11979
Bayview (NSW),904.0,525.0,17.0,62.5,36.3,1.2,10237
Church Point,295.0,56.0,5.0,82.9,15.7,1.4,10915
Lovett Bay,22.0,7.0,0.0,75.9,24.1,0.0,12397
Mona Vale,2809.0,850.0,82.0,75.1,22.7,2.2,12672
Newport (NSW),2525.0,740.0,74.0,75.6,22.2,2.2,12956
Bilgola Plateau,995.0,149.0,14.0,85.9,12.9,1.2,10351
Bilgola Beach,79.0,19.0,0.0,80.6,19.4,0.0,10350
Warriewood,1990.0,381.0,40.0,82.5,15.8,1.7,14173
North Narrabeen,1491.0,285.0,67.0,80.9,15.5,3.6,12999
Beacon Hill,1919.0,268.0,36.0,86.3,12.1,1.6,10238
Narraweena,1568.0,570.0,62.0,71.3,25.9,2.8,12910
Cromer (NSW),1947.0,525.0,48.0,77.3,20.8,1.9,11118
Dee Why,5592.0,2547.0,522.0,64.6,29.4,6.0,11227
North Curl Curl,1010.0,136.0,34.0,85.6,11.5,2.9,12988
Forestville (NSW),2152.0,556.0,42.0,78.3,20.2,1.5,11548
Killarney Heights,1212.0,168.0,9.0,87.3,12.1,0.6,12130
Frenchs Forest,3593.0,486.0,56.0,86.9,11.8,1.4,11568
Belrose,2244.0,579.0,33.0,78.6,20.3,1.2,10283
Davidson,803.0,90.0,7.0,89.2,10.0,0.8,11219
Curl Curl,583.0,142.0,21.0,78.2,19.0,2.8,11167
Freshwater (NSW),2314.0,762.0,181.0,71.0,23.4,5.6,11569
Manly Vale,1591.0,600.0,103.0,69.4,26.2,4.5,12476
North Manly,773.0,143.0,29.0,81.8,15.1,3.1,12997
Queenscliff (NSW),909.0,383.0,134.0,63.7,26.9,9.4,13296
Brookvale,834.0,398.0,57.0,64.7,30.9,4.4,10601
Allambie Heights,1761.0,426.0,40.0,79.1,19.1,1.8,10036
North Balgowlah,953.0,133.0,19.0,86.2,12.0,1.7,12981
Narrabeen,2022.0,1370.0,107.0,57.8,39.2,3.1,12902
Collaroy (NSW),2078.0,660.0,94.0,73.4,23.3,3.3,10970
Collaroy Plateau,1212.0,146.0,21.0,87.9,10.6,1.5,10971
Wheeler Heights,776.0,104.0,16.0,86.6,11.6,1.8,14268
Terrey Hills,770.0,102.0,15.0,86.8,11.5,1.7,13804
Duffys Forest,123.0,14.0,0.0,89.8,10.2,0.0,11301
Ellis Lane,233.0,28.0,0.0,89.3,10.7,0.0,11405
