,Worked full-time,Worked part-time,Away from work,Unemployed,Total in labour force,Worked full-time (%),Worked part-time (%),Away from work (%),Unemployed (%),Total in labour force (%)
Woolloomooloo,1396.0,382.0,93.0,129.0,2000.0,69.8,19.1,4.7,6.4,--
Woolooware,1333.0,705.0,113.0,82.0,2233.0,59.7,31.6,5.1,3.7,--
Woolwich,225.0,130.0,26.0,12.0,393.0,57.3,33.1,6.6,3.1,--
Woonona,3118.0,1678.0,294.0,277.0,5367.0,58.1,31.3,5.5,5.2,--
Woronora,706.0,366.0,79.0,54.0,1205.0,58.6,30.4,6.6,4.5,--
Woronora Heights,1143.0,623.0,78.0,42.0,1886.0,60.6,33.0,4.1,2.2,--
Woy Woy,2171.0,1195.0,263.0,362.0,3991.0,54.4,29.9,6.6,9.1,--
Woy Woy Bay,122.0,72.0,9.0,8.0,211.0,57.8,34.1,4.3,3.8,--
Wyoming,2414.0,1287.0,250.0,271.0,4222.0,57.2,30.5,5.9,6.4,--
Wyong,727.0,420.0,94.0,190.0,1431.0,50.8,29.4,6.6,13.3,--
Wyongah,541.0,273.0,73.0,68.0,955.0,56.6,28.6,7.6,7.1,--
Yagoona,3613.0,1633.0,401.0,521.0,6168.0,58.6,26.5,6.5,8.4,--
Yarrawarrah,1065.0,577.0,82.0,49.0,1773.0,60.1,32.5,4.6,2.8,--
Yattalunga (NSW),130.0,87.0,14.0,25.0,256.0,50.8,34.0,5.5,9.8,--
Yennora,255.0,98.0,34.0,37.0,424.0,60.1,23.1,8.0,8.7,--
Yowie Bay,924.0,580.0,83.0,46.0,1633.0,56.6,35.5,5.1,2.8,--
Zetland,1780.0,409.0,97.0,111.0,2397.0,74.3,17.1,4.0,4.6,--
