,Worked full-time,Worked part-time,Away from work,Unemployed,Total in labour force,Worked full-time (%),Worked part-time (%),Away from work (%),Unemployed (%),Total in labour force (%)
Valentine (NSW),1625.0,986.0,150.0,99.0,2860.0,56.8,34.5,5.2,3.5,--
Valley Heights,442.0,226.0,39.0,33.0,740.0,59.7,30.5,5.3,4.5,--
Vaucluse,2589.0,1333.0,241.0,165.0,4328.0,59.8,30.8,5.6,3.8,--
Villawood,766.0,369.0,113.0,228.0,1476.0,51.9,25.0,7.7,15.4,--
Voyager Point,541.0,160.0,45.0,32.0,778.0,69.5,20.6,5.8,4.1,--
Wahroonga,4852.0,2582.0,392.0,341.0,8167.0,59.4,31.6,4.8,4.2,--
Waitara,1868.0,604.0,115.0,216.0,2803.0,66.6,21.5,4.1,7.7,--
Wakeley,1321.0,526.0,128.0,167.0,2142.0,61.7,24.6,6.0,7.8,--
Wallsend,3181.0,1679.0,336.0,320.0,5516.0,57.7,30.4,6.1,5.8,--
Wamberal,1836.0,1114.0,168.0,136.0,3254.0,56.4,34.2,5.2,4.2,--
Warabrook,608.0,289.0,68.0,49.0,1014.0,60.0,28.5,6.7,4.8,--
Waratah (NSW),1132.0,650.0,139.0,148.0,2069.0,54.7,31.4,6.7,7.2,--
Waratah West,639.0,411.0,63.0,116.0,1229.0,52.0,33.4,5.1,9.4,--
Wareemba,483.0,195.0,48.0,35.0,761.0,63.5,25.6,6.3,4.6,--
Warilla,1224.0,693.0,150.0,244.0,2311.0,53.0,30.0,6.5,10.6,--
Warners Bay,1990.0,1115.0,214.0,162.0,3481.0,57.2,32.0,6.1,4.7,--
Warrawee,865.0,420.0,65.0,65.0,1415.0,61.1,29.7,4.6,4.6,--
Warrawong,733.0,410.0,94.0,208.0,1445.0,50.7,28.4,6.5,14.4,--
Warriewood,1936.0,1014.0,165.0,90.0,3205.0,60.4,31.6,5.1,2.8,--
Warrimoo,773.0,396.0,58.0,51.0,1278.0,60.5,31.0,4.5,4.0,--
Warwick Farm,905.0,321.0,97.0,214.0,1537.0,58.9,20.9,6.3,13.9,--
Watanobbi,906.0,480.0,69.0,174.0,1629.0,55.6,29.5,4.2,10.7,--
Waterloo (NSW),3326.0,1034.0,241.0,475.0,5076.0,65.5,20.4,4.7,9.4,--
Watsons Bay,306.0,121.0,25.0,15.0,467.0,65.5,25.9,5.4,3.2,--
Wattle Grove (NSW),2993.0,1028.0,289.0,175.0,4485.0,66.7,22.9,6.4,3.9,--
Waverley (NSW),1396.0,499.0,105.0,76.0,2076.0,67.2,24.0,5.1,3.7,--
Waverton,1258.0,370.0,71.0,63.0,1762.0,71.4,21.0,4.0,3.6,--
Wentworthville,3377.0,1195.0,239.0,396.0,5207.0,64.9,22.9,4.6,7.6,--
Werrington,1188.0,442.0,105.0,144.0,1879.0,63.2,23.5,5.6,7.7,--
Werrington County,1314.0,542.0,117.0,106.0,2079.0,63.2,26.1,5.6,5.1,--
Werrington Downs,1259.0,491.0,102.0,109.0,1961.0,64.2,25.0,5.2,5.6,--
West Gosford,351.0,133.0,34.0,29.0,547.0,64.2,24.3,6.2,5.3,--
West Hoxton,3033.0,1085.0,292.0,239.0,4649.0,65.2,23.3,6.3,5.1,--
West Pennant Hills,5318.0,2693.0,412.0,375.0,8798.0,60.4,30.6,4.7,4.3,--
West Pymble,1446.0,835.0,141.0,117.0,2539.0,57.0,32.9,5.6,4.6,--
West Ryde,4151.0,1591.0,323.0,410.0,6475.0,64.1,24.6,5.0,6.3,--
West Wallsend,453.0,221.0,61.0,44.0,779.0,58.2,28.4,7.8,5.6,--
West Wollongong,1165.0,636.0,99.0,136.0,2036.0,57.2,31.2,4.9,6.7,--
Westleigh,1390.0,828.0,121.0,73.0,2412.0,57.6,34.3,5.0,3.0,--
Westmead,4850.0,1450.0,323.0,535.0,7158.0,67.8,20.3,4.5,7.5,--
Wetherill Park,1810.0,719.0,187.0,188.0,2904.0,62.3,24.8,6.4,6.5,--
Whalan,1061.0,479.0,152.0,277.0,1969.0,53.9,24.3,7.7,14.1,--
Whitebridge,756.0,426.0,71.0,60.0,1313.0,57.6,32.4,5.4,4.6,--
Wickham (NSW),334.0,179.0,25.0,35.0,573.0,58.3,31.2,4.4,6.1,--
Wiley Park,1972.0,1108.0,250.0,426.0,3756.0,52.5,29.5,6.7,11.3,--
Willmot,407.0,180.0,54.0,121.0,762.0,53.4,23.6,7.1,15.9,--
Willoughby (NSW),2010.0,807.0,142.0,137.0,3096.0,64.9,26.1,4.6,4.4,--
Willoughby East,520.0,276.0,51.0,29.0,876.0,59.4,31.5,5.8,3.3,--
Windale,375.0,300.0,60.0,142.0,877.0,42.8,34.2,6.8,16.2,--
Windang,490.0,326.0,59.0,70.0,945.0,51.9,34.5,6.2,7.4,--
Winmalee,2150.0,1087.0,202.0,161.0,3600.0,59.7,30.2,5.6,4.5,--
Winston Hills,3558.0,1611.0,284.0,216.0,5669.0,62.8,28.4,5.0,3.8,--
Wollongong,4475.0,2403.0,483.0,781.0,8142.0,55.0,29.5,5.9,9.6,--
Wollstonecraft,3870.0,1028.0,212.0,191.0,5301.0,73.0,19.4,4.0,3.6,--
Wombarra,267.0,163.0,33.0,18.0,481.0,55.5,33.9,6.9,3.7,--
Woodbine (NSW),854.0,358.0,88.0,85.0,1385.0,61.7,25.8,6.4,6.1,--
Woodcroft (NSW),2519.0,739.0,165.0,240.0,3663.0,68.8,20.2,4.5,6.6,--
Woodpark,388.0,147.0,52.0,46.0,633.0,61.3,23.2,8.2,7.3,--
Woodrising,368.0,192.0,38.0,31.0,629.0,58.5,30.5,6.0,4.9,--
Woollahra,2601.0,972.0,174.0,150.0,3897.0,66.7,24.9,4.5,3.8,--
