,Owned outright,Owned with a mortgage (includes being purchased under rent/buy scheme),Rented (includes rent-free),Other tenure type,Tenure type not stated,Owned outright (%),Owned with a mortgage (includes being purchased under rent/buy scheme) (%),Rented (includes rent-free) (%),Other tenure type (%),Tenure type not stated (%)
Winston Hills,1556.0,985.0,301.0,84.0,74.0,51.9,32.8,10.0,2.8,2.5
Wollongong,1849.0,689.0,3356.0,194.0,534.0,27.9,10.4,50.7,2.9,8.1
Wollstonecraft,1126.0,536.0,1895.0,77.0,246.0,29.0,13.8,48.8,2.0,6.3
Wombarra,127.0,97.0,47.0,9.0,21.0,42.1,32.1,15.6,3.0,7.0
Woodbine,296.0,343.0,131.0,10.0,31.0,36.5,42.2,16.1,1.2,3.8
Woodcroft,286.0,707.0,272.0,29.0,63.0,21.0,52.0,20.0,2.1,4.6
Woodpark,217.0,135.0,48.0,3.0,20.0,51.5,32.1,11.4,0.7,4.8
Woodrising,101.0,260.0,98.0,7.0,17.0,21.0,54.2,20.4,1.5,3.5
Woollahra,1335.0,405.0,969.0,69.0,547.0,40.2,12.2,29.2,2.1,16.5
Woolloomooloo,148.0,130.0,993.0,45.0,273.0,9.3,8.2,62.7,2.8,17.2
Woolooware,1339.0,644.0,473.0,43.0,78.0,52.0,25.0,18.4,1.7,3.0
Woolwich,184.0,49.0,54.0,6.0,23.0,58.8,15.7,17.3,1.9,7.3
Woonona,1568.0,916.0,983.0,79.0,111.0,42.9,25.0,26.9,2.2,3.0
Woronora,288.0,210.0,59.0,9.0,18.0,49.1,35.8,10.1,1.5,3.1
Woronora Heights,322.0,439.0,22.0,12.0,10.0,40.2,54.8,2.7,1.5,1.2
Woy Woy,1994.0,727.0,1288.0,89.0,194.0,46.5,16.9,30.0,2.1,4.5
Woy Woy Bay,76.0,74.0,37.0,3.0,10.0,37.6,36.6,18.3,1.5,5.0
Wyoming,1253.0,1037.0,754.0,75.0,138.0,38.5,31.8,23.1,2.3,4.2
Wyong,588.0,206.0,466.0,25.0,60.0,43.7,15.3,34.6,1.9,4.5
Wyongah,271.0,209.0,114.0,18.0,18.0,43.4,33.5,18.3,2.9,2.9
Yagoona,2275.0,882.0,1149.0,113.0,257.0,48.7,18.9,24.6,2.4,5.5
Yarrawarrah,240.0,150.0,15.0,5.0,10.0,56.9,35.5,3.6,1.2,2.4
Yattalunga,71.0,81.0,23.0,0.0,7.0,37.6,42.9,12.2,0.0,3.7
Yennora,157.0,52.0,201.0,12.0,24.0,35.0,11.6,44.8,2.7,5.3
Yowie Bay,761.0,311.0,102.0,31.0,27.0,61.8,25.3,8.3,2.5,2.2
Zetland,71.0,68.0,78.0,4.0,29.0,28.7,27.5,31.6,1.6,11.7
