,Owned outright,Owned with a mortgage (includes being purchased under rent/buy scheme),Rented (includes rent-free),Other tenure type,Tenure type not stated,Owned outright (%),Owned with a mortgage (includes being purchased under rent/buy scheme) (%),Rented (includes rent-free) (%),Other tenure type (%),Tenure type not stated (%)
Darlinghurst,659.0,644.0,2327.0,75.0,1160.0,13.5,13.2,47.8,1.5,23.8
Darlington,165.0,145.0,407.0,15.0,78.0,20.4,18.0,50.4,1.9,9.7
Davidson,482.0,232.0,55.0,10.0,14.0,61.1,29.4,7.0,1.3,1.8
Davistown,356.0,194.0,160.0,22.0,25.0,46.3,25.2,20.8,2.9,3.3
Dawes Point,0.0,4.0,88.0,3.0,23.0,0.0,3.4,74.6,2.5,19.5
Dean Park,226.0,446.0,205.0,23.0,34.0,24.1,47.5,21.9,2.5,3.6
Dee Why,2308.0,1306.0,3235.0,170.0,461.0,30.9,17.5,43.2,2.3,6.2
Denistone,652.0,324.0,137.0,18.0,41.0,55.9,27.8,11.7,1.5,3.5
Denistone East,386.0,177.0,88.0,12.0,23.0,56.4,25.9,12.9,1.8,3.4
Denistone West,139.0,71.0,18.0,6.0,6.0,58.9,30.1,7.6,2.5,2.5
Dharruk,291.0,310.0,215.0,16.0,36.0,33.4,35.6,24.7,1.8,4.1
Dolans Bay,225.0,96.0,27.0,3.0,14.0,62.5,26.7,7.5,0.8,3.9
Dolls Point,259.0,81.0,221.0,10.0,72.0,40.3,12.6,34.4,1.6,11.2
Doonside,1126.0,1217.0,1638.0,89.0,160.0,26.6,28.8,38.8,2.1,3.8
Double Bay,586.0,152.0,570.0,33.0,215.0,37.7,9.8,36.6,2.1,13.8
Dover Heights,743.0,162.0,182.0,34.0,79.0,62.0,13.5,15.2,2.8,6.6
Drummoyne,1790.0,840.0,1436.0,136.0,482.0,38.2,17.9,30.7,2.9,10.3
Dudley,438.0,247.0,108.0,14.0,22.0,52.8,29.8,13.0,1.7,2.7
Dulwich Hill,1596.0,1064.0,2079.0,106.0,315.0,30.9,20.6,40.3,2.1,6.1
Dundas,1217.0,862.0,1368.0,65.0,155.0,33.2,23.5,37.3,1.8,4.2
Dundas Valley,1048.0,574.0,649.0,98.0,161.0,41.5,22.7,25.7,3.9,6.4
Dural,648.0,391.0,187.0,33.0,45.0,49.6,29.9,14.3,2.5,3.4
Eagle Vale,406.0,866.0,313.0,34.0,89.0,23.9,50.9,18.4,2.0,5.2
Earlwood,3421.0,869.0,1003.0,160.0,416.0,58.3,14.8,17.1,2.7,7.1
East Gosford,674.0,223.0,602.0,51.0,49.0,42.1,13.9,37.6,3.2,3.1
East Hills,438.0,227.0,255.0,11.0,39.0,44.9,23.3,26.2,1.1,4.0
East Killara,629.0,137.0,100.0,17.0,38.0,68.1,14.8,10.8,1.8,4.1
East Lindfield,747.0,237.0,102.0,48.0,31.0,64.3,20.4,8.8,4.1,2.7
East Ryde,510.0,181.0,61.0,9.0,29.0,64.4,22.9,7.7,1.1,3.7
Eastern Creek,79.0,58.0,27.0,0.0,11.0,42.9,31.5,14.7,0.0,6.0
Eastlakes,858.0,267.0,1318.0,70.0,209.0,31.5,9.8,48.4,2.6,7.7
Eastwood,2392.0,970.0,1465.0,94.0,183.0,46.9,19.0,28.7,1.8,3.6
Edensor Park,1108.0,791.0,445.0,73.0,113.0,43.6,31.2,17.5,2.9,4.5
Edgecliff,516.0,123.0,627.0,137.0,137.0,33.6,8.0,40.8,8.9,8.9
Edgeworth,949.0,1045.0,526.0,156.0,92.0,34.3,37.8,19.0,5.6,3.3
Elanora Heights,684.0,358.0,133.0,32.0,25.0,55.3,29.0,10.8,2.6,2.0
Elderslie,369.0,326.0,235.0,13.0,21.0,38.2,33.7,24.3,1.3,2.2
Eleebana,1046.0,664.0,161.0,39.0,44.0,53.7,34.1,8.3,2.0,2.3
Elermore Vale,710.0,543.0,341.0,21.0,41.0,42.8,32.8,20.6,1.3,2.5
Elizabeth Bay,662.0,322.0,1448.0,72.0,426.0,22.6,11.0,49.4,2.5,14.5
Emerton,152.0,190.0,356.0,11.0,35.0,20.6,25.7,48.2,1.5,4.7
Empire Bay,274.0,185.0,69.0,10.0,36.0,48.0,32.4,12.1,1.8,6.3
Emu Heights,354.0,497.0,143.0,20.0,17.0,34.2,48.0,13.8,1.9,1.6
Emu Plains,1184.0,924.0,530.0,127.0,174.0,40.3,31.5,18.1,4.3,5.9
Enfield,394.0,168.0,236.0,28.0,66.0,44.2,18.8,26.5,3.1,7.4
Engadine,2956.0,2119.0,729.0,114.0,138.0,48.8,35.0,12.0,1.9,2.3
Enmore,359.0,341.0,733.0,28.0,186.0,21.8,20.7,44.6,1.7,11.3
Epping,3328.0,1274.0,1685.0,182.0,221.0,49.7,19.0,25.2,2.7,3.3
Erina,1017.0,395.0,289.0,113.0,70.0,53.8,20.9,15.3,6.0,3.7
Ermington,1416.0,777.0,1220.0,82.0,233.0,38.0,20.8,32.7,2.2,6.2
Erskine Park,474.0,1164.0,231.0,17.0,79.0,24.1,59.3,11.8,0.9,4.0
Erskineville,415.0,537.0,1163.0,37.0,143.0,18.1,23.4,50.6,1.6,6.2
Eschol Park,249.0,443.0,129.0,14.0,34.0,28.7,51.0,14.9,1.6,3.9
Ettalong Beach,918.0,204.0,633.0,44.0,132.0,47.5,10.6,32.8,2.3,6.8
Fairfield,1590.0,593.0,2216.0,95.0,307.0,33.1,12.4,46.2,2.0,6.4
Fairfield East,310.0,138.0,221.0,21.0,32.0,43.0,19.1,30.7,2.9,4.4
Fairfield Heights,736.0,276.0,620.0,39.0,76.0,42.1,15.8,35.5,2.2,4.4
Fairfield West,1576.0,773.0,545.0,83.0,142.0,50.5,24.8,17.5,2.7,4.6
Fairlight,988.0,460.0,797.0,40.0,193.0,39.8,18.5,32.1,1.6,7.8
Fairy Meadow,1174.0,391.0,979.0,60.0,124.0,43.0,14.3,35.8,2.2,4.5
Farmborough Heights,548.0,501.0,123.0,24.0,19.0,45.3,41.4,10.2,2.0,1.6
Faulconbridge,612.0,528.0,192.0,26.0,49.0,43.7,37.7,13.7,1.9,3.5
Fennell Bay,374.0,211.0,146.0,13.0,28.0,48.6,27.4,19.0,1.7,3.6
Figtree,2001.0,949.0,476.0,88.0,112.0,55.2,26.2,13.1,2.4,3.1
Five Dock,1347.0,522.0,818.0,86.0,172.0,45.7,17.7,27.7,2.9,5.8
Fletcher,42.0,157.0,18.0,3.0,7.0,18.6,69.5,8.0,1.3,3.1
Flinders,233.0,378.0,260.0,17.0,29.0,25.5,41.4,28.4,1.9,3.2
Floraville,191.0,174.0,68.0,7.0,15.0,41.3,37.7,14.7,1.5,3.2
Forest Lodge,227.0,180.0,560.0,17.0,109.0,20.7,16.4,51.1,1.6,9.9
Forestville,1431.0,629.0,376.0,158.0,127.0,52.6,23.1,13.8,5.8,4.7
Forresters Beach,318.0,301.0,141.0,7.0,43.0,39.0,36.9,17.3,0.9,5.3
Frenchs Forest,2199.0,1286.0,403.0,65.0,112.0,54.1,31.7,9.9,1.6,2.8
Garden Suburb,267.0,208.0,47.0,6.0,7.0,50.2,39.1,8.8,1.1,1.3
Gateshead,476.0,310.0,494.0,21.0,70.0,34.7,22.6,36.0,1.5,5.1
Georges Hall,1499.0,614.0,308.0,49.0,71.0,59.1,24.2,12.1,1.9,2.8
Georgetown,342.0,252.0,174.0,15.0,36.0,41.5,30.5,21.1,1.8,4.4
Girraween,616.0,255.0,376.0,22.0,52.0,46.4,19.2,28.3,1.7,3.9
Gladesville,1708.0,942.0,1542.0,94.0,179.0,38.2,21.1,34.5,2.1,4.0
Glebe,916.0,528.0,3061.0,120.0,502.0,17.8,10.3,59.6,2.3,9.8
Glen Alpine,363.0,706.0,37.0,25.0,29.0,31.2,60.7,3.2,2.1,2.5
Glenbrook,816.0,581.0,261.0,35.0,55.0,46.7,33.2,14.9,2.0,3.1
Glendale,558.0,306.0,287.0,23.0,32.0,46.4,25.5,23.9,1.9,2.7
Glendenning,199.0,766.0,306.0,39.0,74.0,14.4,55.6,22.2,2.8,5.4
Glenfield,804.0,690.0,531.0,60.0,130.0,36.3,31.2,24.0,2.7,5.9
Glenhaven,814.0,684.0,98.0,25.0,41.0,48.9,41.1,5.9,1.5,2.5
Glenmore Park,930.0,2812.0,1182.0,54.0,260.0,17.7,53.6,22.5,1.0,5.0
Glenning Valley,88.0,100.0,39.0,3.0,5.0,38.8,44.1,17.2,1.3,2.2
Glenwood,638.0,1558.0,495.0,56.0,127.0,22.2,54.2,17.2,1.9,4.4
Gordon,1235.0,407.0,336.0,43.0,83.0,58.7,19.3,16.0,2.0,3.9
Gorokan,1577.0,609.0,788.0,70.0,121.0,49.9,19.3,24.9,2.2,3.8
Gosford,234.0,111.0,760.0,25.0,103.0,19.0,9.0,61.6,2.0,8.3
Granville,2605.0,1193.0,2340.0,179.0,494.0,38.3,17.5,34.4,2.6,7.3
Grays Point,472.0,315.0,70.0,7.0,22.0,53.3,35.6,7.9,0.8,2.5
Green Point,1145.0,690.0,400.0,58.0,60.0,48.6,29.3,17.0,2.5,2.5
Green Valley,962.0,1245.0,713.0,93.0,136.0,30.6,39.6,22.7,3.0,4.3
Greenacre,3017.0,1176.0,1764.0,170.0,338.0,46.7,18.2,27.3,2.6,5.2
Greenfield Park,731.0,415.0,240.0,35.0,54.0,49.7,28.2,16.3,2.4,3.7
Greenwich,889.0,367.0,568.0,30.0,80.0,45.9,19.0,29.3,1.5,4.1
Greystanes,3971.0,1820.0,944.0,131.0,272.0,55.7,25.5,13.2,1.8,3.8
Guildford,1518.0,658.0,1158.0,102.0,227.0,41.4,18.0,31.6,2.8,6.2
Guildford West,619.0,357.0,288.0,46.0,70.0,45.1,26.0,21.0,3.4,5.1
Gwynneville,314.0,122.0,298.0,22.0,35.0,39.7,15.4,37.7,2.8,4.4
Gymea,1207.0,595.0,741.0,38.0,102.0,45.0,22.2,27.6,1.4,3.8
Gymea Bay,1146.0,671.0,167.0,36.0,61.0,55.0,32.2,8.0,1.7,2.9
Haberfield,1367.0,438.0,443.0,52.0,104.0,56.9,18.2,18.4,2.2,4.3
Halekulani,531.0,222.0,173.0,29.0,42.0,53.5,22.4,17.4,2.9,4.2
Hamilton,635.0,329.0,727.0,70.0,82.0,34.4,17.8,39.4,3.8,4.4
Hamilton East,199.0,88.0,83.0,13.0,12.0,50.1,22.2,20.9,3.3,3.0
Hamilton North,149.0,121.0,86.0,8.0,13.0,38.8,31.5,22.4,2.1,3.4
Hamilton South,546.0,258.0,809.0,29.0,91.0,31.6,14.9,46.8,1.7,5.3
Hammondville,353.0,459.0,244.0,9.0,37.0,32.0,41.6,22.1,0.8,3.4
Harrington Park,176.0,574.0,124.0,14.0,16.0,19.5,63.6,13.7,1.6,1.8
Harris Park,445.0,318.0,1459.0,52.0,254.0,17.6,12.6,57.6,2.1,10.0
Hassall Grove,209.0,704.0,222.0,31.0,55.0,17.1,57.5,18.1,2.5,4.5
Haymarket,210.0,106.0,608.0,33.0,406.0,15.4,7.8,44.5,2.4,29.7
Heathcote,975.0,652.0,178.0,135.0,58.0,48.8,32.6,8.9,6.8,2.9
Hebersham,413.0,607.0,599.0,31.0,131.0,23.2,34.0,33.6,1.7,7.3
Heckenberg,237.0,230.0,377.0,18.0,38.0,26.5,25.8,42.2,2.0,4.3
Henley,82.0,26.0,25.0,6.0,3.0,57.3,18.2,17.5,4.2,2.1
Highfields,142.0,76.0,34.0,3.0,3.0,54.4,29.1,13.0,1.1,1.1
Hillsborough,113.0,87.0,23.0,3.0,3.0,48.9,37.7,10.0,1.3,1.3
Hillsdale,671.0,334.0,1007.0,33.0,144.0,30.6,15.2,45.9,1.5,6.6
Hinchinbrook,788.0,1348.0,449.0,80.0,110.0,28.4,48.6,16.2,2.9,4.0
Holmesville,236.0,210.0,62.0,13.0,10.0,44.7,39.8,11.7,2.5,1.9
Holsworthy,116.0,423.0,235.0,18.0,22.0,14.3,52.2,29.0,2.2,2.7
Homebush,564.0,236.0,526.0,34.0,62.0,39.7,16.6,37.0,2.4,4.4
Homebush West,270.0,104.0,556.0,20.0,44.0,27.1,10.4,55.7,2.0,4.4
Horningsea Park,140.0,489.0,139.0,23.0,21.0,17.2,60.1,17.1,2.8,2.6
Hornsby,2356.0,1448.0,2985.0,187.0,415.0,31.9,19.6,40.4,2.5,5.6
Hornsby Heights,885.0,801.0,161.0,23.0,64.0,45.8,41.4,8.3,1.2,3.3
Horsley,492.0,964.0,131.0,23.0,41.0,29.7,58.2,7.9,1.4,2.5
Hoxton Park,216.0,473.0,185.0,25.0,37.0,22.8,50.0,19.6,2.6,3.9
Hunters Hill,1442.0,554.0,587.0,84.0,109.0,52.0,20.0,21.2,3.0,3.9
Huntleys Point,40.0,11.0,4.0,3.0,0.0,78.4,21.6,7.8,5.9,0.0
Hurlstone Park,823.0,365.0,525.0,27.0,80.0,45.1,20.0,28.8,1.5,4.4
Hurstville,2866.0,1166.0,2576.0,167.0,666.0,38.6,15.7,34.7,2.2,9.0
Hurstville Grove,459.0,177.0,70.0,17.0,18.0,61.9,23.9,9.4,2.3,2.4
Illawong,1199.0,744.0,119.0,32.0,95.0,54.8,34.0,5.4,1.5,4.3
Ingleburn,1857.0,1531.0,1403.0,67.0,254.0,36.3,29.9,27.4,1.3,5.0
Ingleside,159.0,65.0,91.0,15.0,20.0,45.7,18.7,26.1,4.3,5.7
Islington,223.0,137.0,288.0,14.0,41.0,31.7,19.5,40.9,2.0,5.8
Jamisontown,598.0,586.0,508.0,28.0,74.0,33.4,32.7,28.3,1.6,4.1
Jannali,839.0,486.0,517.0,36.0,90.0,42.7,24.7,26.3,1.8,4.6
Jesmond,349.0,110.0,548.0,20.0,57.0,32.3,10.2,50.7,1.9,5.3
Jewells,447.0,340.0,67.0,14.0,14.0,50.6,38.5,7.6,1.6,1.6
Kahibah,514.0,254.0,210.0,8.0,27.0,51.1,25.2,20.9,0.8,2.7
Kanahooka,955.0,448.0,153.0,56.0,77.0,56.6,26.6,9.1,3.3,4.6
Kangaroo Point,136.0,33.0,5.0,6.0,4.0,74.7,18.1,2.7,3.3,2.2
Kanwal,624.0,423.0,258.0,25.0,44.0,45.5,30.8,18.8,1.8,3.2
Kareela,558.0,232.0,35.0,10.0,17.0,66.0,27.5,4.1,1.2,2.0
Kariong,502.0,949.0,394.0,23.0,54.0,26.1,49.3,20.5,1.2,2.8
Kearns,242.0,454.0,87.0,13.0,33.0,29.0,54.4,10.4,1.6,4.0
Keiraville,617.0,235.0,420.0,40.0,32.0,45.7,17.4,31.1,3.0,2.4
Kellyville,1229.0,2111.0,411.0,84.0,173.0,30.6,52.6,10.2,2.1,4.3
Kembla Grange,13.0,14.0,8.0,0.0,6.0,28.3,30.4,17.4,0.0,13.0
Kensington,1212.0,459.0,1930.0,82.0,342.0,30.1,11.4,48.0,2.0,8.5
Kilaben Bay,253.0,113.0,59.0,9.0,8.0,58.0,25.9,13.5,2.1,1.8
Killara,1695.0,520.0,356.0,65.0,98.0,61.9,19.0,13.0,2.4,3.6
Killarney Heights,832.0,297.0,129.0,26.0,73.0,61.6,22.0,9.5,1.9,5.4
Killarney Vale,1293.0,691.0,641.0,64.0,93.0,46.5,24.9,23.1,2.3,3.3
Kincumber,1046.0,726.0,448.0,309.0,101.0,39.7,27.5,17.0,11.7,3.8
Kincumber South,253.0,36.0,29.0,9.0,10.0,75.1,10.7,8.6,2.7,3.0
Kings Langley,1354.0,1249.0,290.0,56.0,88.0,44.6,41.2,9.6,1.8,2.9
Kings Park,392.0,553.0,214.0,15.0,31.0,32.5,45.9,17.7,1.2,2.6
Kingsford,2081.0,667.0,2170.0,129.0,458.0,37.8,12.1,39.4,2.3,8.3
Kingsgrove,2340.0,500.0,686.0,107.0,214.0,60.9,13.0,17.9,2.8,5.6
Kingswood,891.0,693.0,1360.0,46.0,166.0,28.2,21.9,43.0,1.5,5.3
Kirrawee,1649.0,1005.0,740.0,71.0,103.0,46.2,28.2,20.7,2.0,2.9
Kirribilli,493.0,129.0,1127.0,28.0,205.0,24.8,6.5,56.7,1.4,10.3
Kogarah,1475.0,618.0,1576.0,87.0,343.0,36.0,15.1,38.4,2.1,8.4
Kogarah Bay,401.0,125.0,66.0,11.0,38.0,62.0,19.3,10.2,1.7,5.9
Koolewong,117.0,85.0,52.0,4.0,88.0,33.5,24.4,14.9,1.1,25.2
Koonawarra,331.0,349.0,518.0,17.0,40.0,26.3,27.7,41.2,1.4,3.2
Kotara,833.0,421.0,188.0,22.0,48.0,54.9,27.7,12.4,1.4,3.2
Kotara South,236.0,117.0,82.0,3.0,6.0,52.9,26.2,18.4,0.7,1.3
Kurnell,319.0,254.0,139.0,26.0,45.0,41.0,32.6,17.9,3.3,5.8
Kyeemagh,198.0,48.0,21.0,10.0,28.0,63.7,15.4,6.8,3.2,9.0
Kyle Bay,274.0,86.0,35.0,5.0,13.0,66.7,20.9,8.5,1.2,3.2
La Perouse,40.0,19.0,55.0,4.0,9.0,32.5,15.4,44.7,3.3,7.3
Lake Haven,573.0,314.0,328.0,105.0,64.0,41.3,22.6,23.6,7.6,4.6
Lake Heights,730.0,219.0,364.0,27.0,55.0,52.3,15.7,26.1,1.9,3.9
Lake Illawarra,486.0,222.0,618.0,22.0,59.0,34.6,15.8,44.0,1.6,4.2
Lakelands,212.0,207.0,62.0,5.0,15.0,42.4,41.4,12.4,1.0,3.0
Lakemba,1437.0,652.0,2296.0,129.0,507.0,28.6,13.0,45.7,2.6,10.1
Lalor Park,976.0,768.0,1005.0,44.0,128.0,33.4,26.3,34.4,1.5,4.4
Lambton,731.0,466.0,638.0,42.0,66.0,37.8,24.1,33.0,2.2,3.4
Lane Cove,1358.0,711.0,1156.0,94.0,214.0,38.4,20.1,32.7,2.7,6.1
Lane Cove North,1204.0,794.0,1485.0,107.0,255.0,31.3,20.6,38.6,2.8,6.6
Lane Cove West,363.0,204.0,186.0,17.0,29.0,45.2,25.4,23.2,2.1,3.6
Lansvale,401.0,220.0,118.0,20.0,41.0,50.4,27.7,14.8,2.5,5.2
Lapstone,190.0,93.0,42.0,6.0,4.0,56.7,27.8,12.5,1.8,1.2
Lavender Bay,136.0,55.0,288.0,7.0,32.0,26.3,10.6,55.6,1.4,6.2
Leichhardt,1597.0,1342.0,2191.0,105.0,307.0,28.8,24.2,39.5,1.9,5.5
Leonay,452.0,304.0,71.0,12.0,21.0,52.9,35.6,8.3,1.4,2.5
Lethbridge Park,353.0,352.0,803.0,21.0,134.0,21.3,21.2,48.4,1.3,8.1
Leumeah,1141.0,996.0,891.0,40.0,142.0,35.6,31.0,27.8,1.2,4.4
Lewisham,352.0,260.0,460.0,36.0,63.0,30.1,22.2,39.3,3.1,5.4
Liberty Grove,121.0,211.0,169.0,4.0,29.0,22.6,39.4,31.6,0.7,5.4
Lidcombe,1698.0,734.0,1283.0,106.0,187.0,42.3,18.3,32.0,2.6,4.7
Lilli Pilli,436.0,182.0,42.0,12.0,26.0,62.7,26.2,6.0,1.7,3.7
Lilyfield,930.0,673.0,1069.0,47.0,175.0,32.2,23.3,37.0,1.6,6.1
Lindfield,1595.0,602.0,491.0,108.0,91.0,55.3,20.9,17.0,3.7,3.2
Linley Point,84.0,23.0,11.0,3.0,4.0,64.6,17.7,8.5,2.3,3.1
Lisarow,469.0,707.0,201.0,25.0,64.0,31.9,48.1,13.7,1.7,4.4
Little Bay,301.0,112.0,244.0,20.0,38.0,42.5,15.8,34.4,2.8,5.4
Liverpool,2061.0,1109.0,3577.0,170.0,523.0,27.7,14.9,48.1,2.3,7.0
Loftus,757.0,457.0,107.0,16.0,25.0,55.6,33.6,7.9,1.2,1.8
Long Jetty,982.0,314.0,942.0,45.0,191.0,39.8,12.7,38.2,1.8,7.7
Long Point,47.0,24.0,29.0,3.0,5.0,41.6,21.2,25.7,2.7,4.4
Longueville,405.0,149.0,38.0,16.0,40.0,62.6,23.0,5.9,2.5,6.2
Lugarno,1183.0,450.0,147.0,37.0,61.0,63.3,24.1,7.9,2.0,3.3
Lurnea,960.0,628.0,874.0,50.0,121.0,36.2,23.7,33.0,1.9,4.6
Macquarie Fields,1139.0,1143.0,1979.0,70.0,247.0,24.8,24.9,43.2,1.5,5.4
Macquarie Hills,329.0,368.0,112.0,14.0,19.0,39.2,43.8,13.3,1.7,2.3
Macquarie Links,15.0,67.0,0.0,5.0,5.0,16.0,71.3,0.0,5.3,5.3
Macquarie Park,472.0,330.0,1541.0,133.0,194.0,17.7,12.4,57.8,5.0,7.3
Malabar,563.0,218.0,499.0,24.0,84.0,40.7,15.8,36.1,1.7,6.1
Mangerton,431.0,234.0,355.0,16.0,53.0,39.7,21.5,32.7,1.5,4.9
Manly,1875.0,763.0,3020.0,143.0,852.0,28.2,11.5,45.4,2.1,12.8
Manly Vale,694.0,461.0,796.0,34.0,88.0,33.4,22.2,38.4,1.6,4.2
Marayong,917.0,647.0,680.0,40.0,113.0,38.2,26.9,28.3,1.7,4.7
Mardi,171.0,272.0,353.0,7.0,35.0,20.5,32.6,42.3,0.8,4.2
Marks Point,293.0,105.0,338.0,13.0,27.0,37.8,13.5,43.6,1.7,3.5
Marmong Point,103.0,35.0,25.0,3.0,3.0,59.9,20.3,14.5,1.7,1.7
Maroubra,3942.0,1391.0,3970.0,212.0,670.0,38.7,13.7,39.0,2.1,6.6
Marrickville,2943.0,1689.0,3601.0,223.0,833.0,31.7,18.2,38.8,2.4,9.0
Marsfield,1743.0,934.0,1609.0,141.0,273.0,37.1,19.9,34.2,3.0,5.8
Maryland,698.0,1059.0,418.0,41.0,72.0,30.5,46.3,18.3,1.8,3.1
Maryville,198.0,116.0,140.0,7.0,26.0,40.7,23.8,28.7,1.4,5.3
Mascot,1250.0,457.0,749.0,56.0,221.0,45.6,16.7,27.3,2.0,8.1
Matraville,1367.0,566.0,969.0,55.0,132.0,44.3,18.4,31.4,1.8,4.3
Mayfield,1380.0,868.0,1461.0,99.0,155.0,34.8,21.9,36.9,2.5,3.9
Mayfield East,208.0,167.0,263.0,6.0,28.0,31.0,24.9,39.1,0.9,4.2
Mayfield West,285.0,173.0,224.0,13.0,29.0,39.1,23.8,30.8,1.8,4.0
Mays Hill,85.0,32.0,57.0,7.0,69.0,34.1,12.9,22.9,2.8,27.7
McMahons Point,322.0,116.0,585.0,25.0,147.0,27.0,9.7,49.0,2.1,12.3
Meadowbank,182.0,162.0,660.0,9.0,72.0,16.7,14.8,60.5,0.8,6.6
Melrose Park,316.0,204.0,123.0,16.0,24.0,46.3,29.9,18.0,2.3,3.5
Menai,1059.0,1432.0,605.0,58.0,123.0,32.4,43.8,18.5,1.8,3.8
Merewether,1810.0,879.0,1470.0,76.0,128.0,41.5,20.2,33.7,1.7,2.9
Merewether Heights,292.0,158.0,40.0,6.0,12.0,57.7,31.2,7.9,1.2,2.4
Merrylands,2714.0,1021.0,2745.0,142.0,441.0,38.4,14.5,38.9,2.0,6.2
Merrylands West,731.0,364.0,601.0,240.0,95.0,36.1,18.0,29.7,11.9,4.7
Middle Cove,235.0,63.0,30.0,10.0,14.0,67.5,18.1,8.6,2.9,4.0
Miller,205.0,182.0,639.0,13.0,76.0,18.3,16.2,56.9,1.2,6.8
Millers Point,81.0,37.0,434.0,18.0,95.0,12.1,5.5,64.7,2.7,14.2
Milperra,687.0,455.0,98.0,19.0,18.0,53.9,35.7,7.7,1.5,1.4
Milsons Point,175.0,70.0,345.0,26.0,92.0,24.7,9.9,48.7,3.7,13.0
Minchinbury,474.0,737.0,182.0,22.0,74.0,31.8,49.5,12.2,1.5,5.0
Minmi,68.0,121.0,13.0,3.0,6.0,32.5,57.9,6.2,1.4,2.9
Minto,729.0,1022.0,1619.0,49.0,201.0,20.1,28.2,44.7,1.4,5.6
Miranda,2119.0,951.0,1639.0,133.0,248.0,41.6,18.7,32.2,2.6,4.9
Mona Vale,1675.0,773.0,775.0,100.0,154.0,48.1,22.2,22.3,2.9,4.4
Monterey,885.0,205.0,439.0,51.0,160.0,50.7,11.8,25.2,2.9,9.2
Moorebank,1058.0,508.0,372.0,38.0,90.0,51.1,24.5,18.0,1.8,4.3
Mortdale,1540.0,827.0,1215.0,88.0,111.0,40.7,21.9,32.1,2.3,2.9
Mortlake,56.0,43.0,48.0,5.0,13.0,34.4,26.4,29.4,3.1,8.0
Mosman,4660.0,1726.0,3774.0,286.0,614.0,42.1,15.6,34.1,2.6,5.5
Mount Annan,377.0,1299.0,276.0,27.0,54.0,18.6,64.1,13.6,1.3,2.7
Mount Colah,1003.0,887.0,267.0,34.0,48.0,44.9,39.7,11.9,1.5,2.1
Mount Druitt,1167.0,903.0,1385.0,62.0,272.0,30.8,23.8,36.6,1.6,7.2
Mount Hutton,403.0,336.0,316.0,37.0,45.0,35.5,29.6,27.9,3.3,4.0
Mount Keira,283.0,130.0,51.0,6.0,12.0,58.4,26.8,10.5,1.2,2.5
Mount Kembla,165.0,100.0,44.0,0.0,7.0,52.1,31.5,13.9,0.0,2.2
Mount Lewis,160.0,48.0,97.0,10.0,19.0,47.9,14.4,29.0,3.0,5.7
Mount Ousley,395.0,141.0,81.0,21.0,16.0,59.8,21.4,12.3,3.2,2.4
Mount Pleasant,197.0,93.0,18.0,5.0,19.0,59.5,28.1,5.4,1.5,5.7
Mount Pritchard,1232.0,748.0,733.0,78.0,145.0,42.0,25.5,25.0,2.7,4.9
Mount Riverview,536.0,386.0,104.0,16.0,14.0,50.7,36.5,9.8,1.5,1.3
Mount Saint Thomas,269.0,174.0,126.0,13.0,26.0,43.7,28.3,20.5,2.1,4.2
Mount Warrigal,907.0,463.0,405.0,22.0,51.0,48.9,25.0,21.8,1.2,2.8
Narara,999.0,1090.0,487.0,43.0,81.0,37.0,40.4,18.1,1.6,3.0
Narellan,381.0,488.0,268.0,41.0,38.0,31.3,40.1,22.0,3.4,3.1
Narellan Vale,386.0,1320.0,378.0,20.0,78.0,17.7,60.5,17.3,0.9,3.6
Naremburn,736.0,541.0,730.0,53.0,108.0,34.0,25.0,33.8,2.5,5.0
Narrabeen,933.0,454.0,1111.0,260.0,203.0,31.5,15.3,37.5,8.8,6.9
Narraweena,882.0,374.0,595.0,84.0,71.0,44.0,18.7,29.7,4.2,3.5
Narwee,670.0,281.0,479.0,24.0,55.0,44.5,18.7,31.8,1.6,3.7
Neutral Bay,1353.0,686.0,2586.0,79.0,410.0,26.5,13.4,50.6,1.5,8.0
New Lambton,1715.0,943.0,1118.0,62.0,131.0,43.2,23.7,28.1,1.6,3.3
New Lambton Heights,399.0,315.0,81.0,24.0,16.0,47.7,37.7,9.7,2.9,1.9
Newcastle,143.0,108.0,317.0,24.0,143.0,19.4,14.6,42.9,3.2,19.4
Newcastle East,96.0,45.0,272.0,12.0,27.0,21.2,9.9,60.0,2.6,6.0
Newcastle West,0.0,0.0,42.0,3.0,20.0,0.0,0.0,63.6,4.5,30.3
Newington,113.0,136.0,123.0,15.0,20.0,28.0,33.7,30.4,3.7,5.0
Newport,1571.0,890.0,842.0,54.0,222.0,43.9,24.9,23.5,1.5,6.2
Newtown,1112.0,1159.0,3196.0,100.0,559.0,18.2,18.9,52.2,1.6,9.1
Niagara Park,252.0,314.0,220.0,14.0,26.0,30.6,38.1,26.7,1.7,3.2
Norah Head,215.0,72.0,80.0,13.0,23.0,53.0,17.7,19.7,3.2,5.7
Noraville,514.0,207.0,229.0,17.0,37.0,51.1,20.6,22.8,1.7,3.7
Normanhurst,711.0,440.0,256.0,81.0,57.0,45.9,28.4,16.5,5.2,3.7
North Avoca,328.0,272.0,173.0,13.0,22.0,40.7,33.7,21.5,1.6,2.7
North Balgowlah,529.0,376.0,164.0,11.0,23.0,48.1,34.2,14.9,1.0,2.1
North Bondi,1248.0,559.0,1404.0,89.0,341.0,34.3,15.4,38.6,2.4,9.4
