,Married,Separated,Divorced,Widowed,Never married,Married (%),Separated (%),Divorced (%),Widowed (%),Never married (%)
Wollongong,5070.0,441.0,1386.0,830.0,7320.0,33.7,2.9,9.2,5.5,48.6
Wollstonecraft,2927.0,139.0,616.0,222.0,3310.0,40.6,1.9,8.5,3.1,45.9
Wombarra,357.0,17.0,51.0,23.0,239.0,52.0,2.5,7.4,3.3,34.8
Woodbine (NSW),1133.0,75.0,135.0,73.0,680.0,54.1,3.6,6.4,3.5,32.4
Woodcroft (NSW),3081.0,99.0,198.0,140.0,1553.0,60.8,2.0,3.9,2.8,30.6
Woodpark,570.0,39.0,60.0,42.0,295.0,56.7,3.9,6.0,4.2,29.3
Woodrising,431.0,30.0,90.0,34.0,347.0,46.2,3.2,9.7,3.6,37.2
Woollahra,2487.0,136.0,587.0,420.0,2513.0,40.5,2.2,9.6,6.8,40.9
Woolloomooloo,748.0,117.0,381.0,96.0,2132.0,21.5,3.4,11.0,2.8,61.4
Woolooware,1753.0,77.0,255.0,187.0,1030.0,53.1,2.3,7.7,5.7,31.2
Woolwich,390.0,13.0,48.0,49.0,185.0,56.9,1.9,7.0,7.2,27.0
Woonona,4651.0,272.0,877.0,740.0,2665.0,50.5,3.0,9.5,8.0,29.0
Woronora,995.0,61.0,133.0,42.0,490.0,57.8,3.5,7.7,2.4,28.5
Woronora Heights,1459.0,25.0,76.0,30.0,775.0,61.7,1.1,3.2,1.3,32.8
Woy Woy,3502.0,383.0,1113.0,955.0,2652.0,40.7,4.5,12.9,11.1,30.8
Woy Woy Bay,221.0,10.0,25.0,8.0,106.0,59.7,2.7,6.8,2.2,28.6
Wyoming,3627.0,262.0,845.0,912.0,2384.0,45.2,3.3,10.5,11.4,29.7
Wyong,1144.0,166.0,431.0,261.0,1046.0,37.5,5.4,14.1,8.6,34.3
Wyongah,735.0,73.0,135.0,72.0,516.0,48.0,4.8,8.8,4.7,33.7
Yagoona,6429.0,504.0,920.0,805.0,3775.0,51.7,4.1,7.4,6.5,30.4
Yarrawarrah,1490.0,26.0,100.0,84.0,719.0,61.6,1.1,4.1,3.5,29.7
Yattalunga (NSW),226.0,12.0,40.0,13.0,112.0,56.1,3.0,9.9,3.2,27.8
Yennora,475.0,58.0,104.0,174.0,329.0,41.7,5.1,9.1,15.3,28.9
Yowie Bay,1556.0,36.0,134.0,161.0,653.0,61.3,1.4,5.3,6.3,25.7
Zetland,1116.0,79.0,226.0,40.0,1958.0,32.6,2.3,6.6,1.2,57.3
