,Married,Separated,Divorced,Widowed,Never married,Married (%),Separated (%),Divorced (%),Widowed (%),Never married (%)
Curl Curl,1034.0,40.0,134.0,67.0,565.0,56.2,2.2,7.3,3.6,30.7
Currans Hill,1838.0,149.0,308.0,91.0,1168.0,51.7,4.2,8.7,2.6,32.9
Daceyville,282.0,50.0,191.0,152.0,360.0,27.2,4.8,18.5,14.7,34.8
Daleys Point,310.0,17.0,34.0,67.0,116.0,57.0,3.1,6.2,12.3,21.3
Dapto,4321.0,325.0,828.0,604.0,2488.0,50.4,3.8,9.7,7.1,29.0
Darling Point,1440.0,81.0,396.0,332.0,1274.0,40.9,2.3,11.2,9.4,36.2
Darlinghurst,1834.0,197.0,775.0,162.0,6673.0,19.0,2.0,8.0,1.7,69.2
Darlington (Sydney - NSW),377.0,33.0,120.0,29.0,1530.0,18.0,1.6,5.7,1.4,73.2
Davidson,1252.0,37.0,95.0,56.0,488.0,64.9,1.9,4.9,2.9,25.3
Davistown,1031.0,58.0,192.0,200.0,486.0,52.4,2.9,9.8,10.2,24.7
Dawes Point,226.0,15.0,64.0,17.0,173.0,45.7,3.0,12.9,3.4,34.9
Dean Park,1190.0,85.0,163.0,134.0,820.0,49.7,3.6,6.8,5.6,34.3
Dee Why,7225.0,514.0,1817.0,675.0,6489.0,43.2,3.1,10.9,4.0,38.8
Denistone,1721.0,41.0,138.0,113.0,860.0,59.9,1.4,4.8,3.9,29.9
Denistone East,1012.0,25.0,85.0,94.0,416.0,62.0,1.5,5.2,5.8,25.5
Denistone West,444.0,15.0,21.0,34.0,197.0,62.4,2.1,3.0,4.8,27.7
Dharruk,935.0,100.0,161.0,82.0,836.0,44.2,4.7,7.6,3.9,39.5
Dolans Bay,292.0,8.0,22.0,14.0,113.0,65.0,1.8,4.9,3.1,25.2
Dolls Point,655.0,66.0,193.0,121.0,482.0,43.2,4.4,12.7,8.0,31.8
Doonside,4649.0,413.0,875.0,500.0,3807.0,45.4,4.0,8.5,4.9,37.2
Double Bay,1509.0,82.0,383.0,281.0,1834.0,36.9,2.0,9.4,6.9,44.9
Dover Heights,1820.0,36.0,181.0,151.0,926.0,58.4,1.2,5.8,4.8,29.7
Drummoyne,4443.0,223.0,930.0,599.0,3383.0,46.4,2.3,9.7,6.3,35.3
Dudley,995.0,55.0,156.0,91.0,534.0,54.3,3.0,8.5,5.0,29.2
Dulwich Hill,4280.0,365.0,919.0,418.0,4748.0,39.9,3.4,8.6,3.9,44.2
Dundas (NSW),1670.0,57.0,235.0,128.0,1008.0,53.9,1.8,7.6,4.1,32.5
Dundas Valley,1886.0,114.0,306.0,183.0,1224.0,50.8,3.1,8.2,4.9,33.0
Dural (Hornsby - NSW),3427.0,114.0,413.0,361.0,1660.0,57.4,1.9,6.9,6.0,27.8
Eagle Vale,2098.0,161.0,366.0,138.0,1661.0,47.4,3.6,8.3,3.1,37.5
Earlwood,7542.0,342.0,847.0,859.0,4067.0,55.2,2.5,6.2,6.3,29.8
East Gosford,1391.0,139.0,484.0,356.0,961.0,41.8,4.2,14.5,10.7,28.9
East Hills,1337.0,90.0,233.0,206.0,796.0,50.2,3.4,8.8,7.7,29.9
East Killara,1457.0,20.0,105.0,82.0,668.0,62.5,0.9,4.5,3.5,28.6
East Lindfield,1741.0,36.0,81.0,210.0,647.0,64.1,1.3,3.0,7.7,23.8
East Ryde,1150.0,27.0,89.0,105.0,471.0,62.4,1.5,4.8,5.7,25.6
Eastern Creek,272.0,33.0,43.0,37.0,224.0,44.7,5.4,7.1,6.1,36.8
Eastlakes,2702.0,220.0,471.0,350.0,1879.0,48.1,3.9,8.4,6.2,33.4
Eastwood (NSW),7282.0,214.0,689.0,666.0,4765.0,53.5,1.6,5.1,4.9,35.0
Edensor Park,4116.0,229.0,384.0,286.0,2581.0,54.2,3.0,5.1,3.8,34.0
Edgecliff,555.0,39.0,193.0,120.0,898.0,30.7,2.2,10.7,6.6,49.8
Edgeworth,2398.0,142.0,497.0,443.0,1575.0,47.4,2.8,9.8,8.8,31.2
Elanora Heights,1842.0,61.0,181.0,128.0,747.0,62.3,2.1,6.1,4.3,25.2
Elderslie (Camden - NSW),1811.0,88.0,285.0,145.0,912.0,55.9,2.7,8.8,4.5,28.1
Eleebana,2812.0,97.0,280.0,209.0,1103.0,62.5,2.2,6.2,4.6,24.5
Elermore Vale,2246.0,114.0,326.0,292.0,1228.0,53.4,2.7,7.8,6.9,29.2
Elizabeth Bay,979.0,121.0,523.0,268.0,2984.0,20.1,2.5,10.7,5.5,61.2
Emerton,625.0,107.0,160.0,94.0,776.0,35.5,6.1,9.1,5.3,44.0
Empire Bay,950.0,60.0,168.0,96.0,512.0,53.2,3.4,9.4,5.4,28.7
Emu Heights (NSW),1379.0,74.0,182.0,86.0,853.0,53.6,2.9,7.1,3.3,33.1
Emu Plains,3474.0,185.0,539.0,471.0,1878.0,53.1,2.8,8.2,7.2,28.7
Enfield (NSW),1108.0,62.0,162.0,126.0,778.0,49.6,2.8,7.2,5.6,34.8
Engadine,7842.0,302.0,841.0,549.0,3423.0,60.5,2.3,6.5,4.2,26.4
Enmore (Marrickville - NSW),865.0,74.0,222.0,71.0,1914.0,27.5,2.4,7.1,2.3,60.8
Epping (NSW),9527.0,250.0,787.0,779.0,5576.0,56.3,1.5,4.7,4.6,33.0
Erina,1974.0,107.0,361.0,700.0,861.0,49.3,2.7,9.0,17.5,21.5
Ermington,3838.0,217.0,628.0,499.0,2481.0,50.1,2.8,8.2,6.5,32.4
Erskine Park,2775.0,144.0,281.0,99.0,1859.0,53.8,2.8,5.4,1.9,36.0
Erskineville,1619.0,135.0,494.0,109.0,3736.0,26.6,2.2,8.1,1.8,61.3
Eschol Park,994.0,70.0,171.0,57.0,770.0,48.2,3.4,8.3,2.8,37.3
Ettalong Beach,1445.0,212.0,576.0,466.0,1206.0,37.0,5.4,14.8,11.9,30.9
Fairfield (NSW),6489.0,616.0,1098.0,830.0,4440.0,48.2,4.6,8.1,6.2,33.0
Fairfield East,1817.0,176.0,306.0,272.0,1344.0,46.4,4.5,7.8,6.9,34.3
Fairfield Heights,2464.0,239.0,381.0,376.0,1791.0,46.9,4.6,7.3,7.2,34.1
Fairfield West,4358.0,309.0,606.0,469.0,2701.0,51.6,3.7,7.2,5.6,32.0
Fairlight,2154.0,104.0,412.0,202.0,1676.0,47.4,2.3,9.1,4.4,36.9
Fairy Meadow,2366.0,181.0,492.0,415.0,2029.0,43.2,3.3,9.0,7.6,37.0
Farmborough Heights,1908.0,60.0,215.0,150.0,945.0,58.2,1.8,6.6,4.6,28.8
Faulconbridge,1699.0,79.0,277.0,133.0,981.0,53.6,2.5,8.7,4.2,31.0
Fennell Bay,617.0,47.0,108.0,80.0,365.0,50.7,3.9,8.9,6.6,30.0
Figtree,4911.0,198.0,581.0,492.0,2262.0,58.2,2.3,6.9,5.8,26.8
Five Dock,3581.0,174.0,610.0,475.0,2350.0,49.8,2.4,8.5,6.6,32.7
Fletcher (NSW),1255.0,45.0,100.0,29.0,512.0,64.7,2.3,5.2,1.5,26.4
Flinders (NSW),2278.0,121.0,275.0,159.0,1000.0,59.4,3.2,7.2,4.1,26.1
Floraville,686.0,28.0,87.0,56.0,325.0,58.0,2.4,7.4,4.7,27.5
Forest Lodge,681.0,43.0,211.0,46.0,1414.0,28.4,1.8,8.8,1.9,59.0
Forestville (NSW),3607.0,117.0,427.0,449.0,1452.0,59.6,1.9,7.1,7.4,24.0
Forresters Beach,1088.0,68.0,180.0,79.0,555.0,55.2,3.5,9.1,4.0,28.2
Frenchs Forest,6423.0,171.0,568.0,401.0,2499.0,63.8,1.7,5.6,4.0,24.8
Garden Suburb,897.0,29.0,107.0,63.0,430.0,58.8,1.9,7.0,4.1,28.2
Gateshead,1093.0,117.0,302.0,221.0,1076.0,38.9,4.2,10.8,7.9,38.3
Georges Hall,3933.0,180.0,401.0,473.0,1864.0,57.4,2.6,5.9,6.9,27.2
Georgetown (NSW),629.0,48.0,196.0,110.0,651.0,38.5,2.9,12.0,6.7,39.8
Girraween (NSW),2086.0,104.0,258.0,198.0,986.0,57.4,2.9,7.1,5.5,27.1
Gladesville,4296.0,204.0,792.0,523.0,3082.0,48.3,2.3,8.9,5.9,34.6
Glebe (NSW),2694.0,289.0,1014.0,333.0,5680.0,26.9,2.9,10.1,3.3,56.7
Glen Alpine,2164.0,63.0,128.0,93.0,1169.0,59.8,1.7,3.5,2.6,32.3
Glenbrook,2237.0,89.0,240.0,187.0,1125.0,57.7,2.3,6.2,4.8,29.0
Glendale (NSW),1284.0,80.0,255.0,180.0,858.0,48.3,3.0,9.6,6.8,32.3
Glendenning,2004.0,130.0,205.0,75.0,1163.0,56.0,3.6,5.7,2.1,32.5
Glenfield (NSW),3086.0,189.0,461.0,511.0,1883.0,50.3,3.1,7.5,8.3,30.7
Glenhaven,3106.0,93.0,220.0,241.0,1313.0,62.5,1.9,4.4,4.8,26.4
Glenmore Park,8660.0,464.0,978.0,325.0,4508.0,58.0,3.1,6.5,2.2,30.2
Glenning Valley,891.0,39.0,112.0,68.0,480.0,56.0,2.5,7.0,4.3,30.2
Glenwood (NSW),6992.0,242.0,514.0,285.0,3218.0,62.1,2.2,4.6,2.5,28.6
Gordon (NSW),3183.0,97.0,256.0,331.0,1496.0,59.4,1.8,4.8,6.2,27.9
Gorokan,2429.0,336.0,812.0,555.0,2121.0,38.8,5.4,13.0,8.9,33.9
Gosford,847.0,155.0,447.0,138.0,1500.0,27.4,5.0,14.5,4.5,48.6
Granville (NSW),5645.0,402.0,836.0,414.0,3947.0,50.2,3.6,7.4,3.7,35.1
Grays Point,1395.0,44.0,115.0,53.0,648.0,61.9,2.0,5.1,2.4,28.7
Green Point (Great Lakes - NSW),270.0,20.0,57.0,23.0,110.0,56.2,4.2,11.9,4.8,22.9
Green Valley (NSW),4992.0,361.0,592.0,352.0,3165.0,52.8,3.8,6.3,3.7,33.4
Greenacre,9055.0,702.0,1107.0,1094.0,5478.0,51.9,4.0,6.3,6.3,31.4
Greenfield Park,2052.0,129.0,209.0,168.0,1226.0,54.2,3.4,5.5,4.4,32.4
Greenwich,2185.0,87.0,327.0,223.0,1503.0,50.5,2.0,7.6,5.2,34.8
Greystanes,9933.0,484.0,1089.0,947.0,4890.0,57.3,2.8,6.3,5.5,28.2
Guildford (NSW),7444.0,607.0,1185.0,862.0,5171.0,48.8,4.0,7.8,5.6,33.9
Guildford West,1682.0,147.0,249.0,208.0,1078.0,50.0,4.4,7.4,6.2,32.0
Gwynneville,893.0,49.0,150.0,122.0,1194.0,37.1,2.0,6.2,5.1,49.6
Gymea,2898.0,175.0,540.0,380.0,1910.0,49.1,3.0,9.1,6.4,32.4
Gymea Bay,3292.0,90.0,263.0,268.0,1386.0,62.1,1.7,5.0,5.1,26.2
Haberfield,2809.0,106.0,289.0,483.0,1741.0,51.8,2.0,5.3,8.9,32.1
Halekulani,935.0,72.0,258.0,185.0,581.0,46.0,3.5,12.7,9.1,28.6
Hamilton (NSW),1134.0,105.0,428.0,263.0,1613.0,32.0,3.0,12.1,7.4,45.5
Hamilton East,383.0,10.0,54.0,51.0,241.0,51.8,1.4,7.3,6.9,32.6
Hamilton North,234.0,31.0,87.0,38.0,334.0,32.3,4.3,12.0,5.2,46.1
Hamilton South,1361.0,116.0,415.0,217.0,1162.0,41.6,3.5,12.7,6.6,35.5
Hammondville,1275.0,76.0,233.0,298.0,695.0,49.5,2.9,9.0,11.6,27.0
Harrington Park,3525.0,142.0,277.0,115.0,1401.0,64.6,2.6,5.1,2.1,25.7
Harris Park,2439.0,99.0,264.0,137.0,1291.0,57.7,2.3,6.2,3.2,30.5
Hassall Grove,1701.0,106.0,162.0,82.0,1114.0,53.7,3.3,5.1,2.6,35.2
Haymarket,1311.0,92.0,194.0,54.0,3481.0,25.5,1.8,3.8,1.1,67.8
Heathcote (NSW),2656.0,110.0,303.0,392.0,1324.0,55.5,2.3,6.3,8.2,27.7
Hebersham,1798.0,175.0,298.0,196.0,1567.0,44.6,4.3,7.4,4.9,38.8
Heckenberg,865.0,118.0,203.0,140.0,888.0,39.1,5.3,9.2,6.3,40.1
Henley,216.0,7.0,9.0,20.0,112.0,59.3,1.9,2.5,5.5,30.8
Highfields (NSW),445.0,22.0,68.0,54.0,244.0,53.4,2.6,8.2,6.5,29.3
Hillsborough (Lake Macquarie - NSW),278.0,17.0,38.0,31.0,175.0,51.6,3.2,7.1,5.8,32.5
Hillsdale,1882.0,140.0,374.0,156.0,1530.0,46.1,3.4,9.2,3.8,37.5
Hinchinbrook (NSW),4448.0,279.0,516.0,253.0,2617.0,54.8,3.4,6.4,3.1,32.3
Holmesville,560.0,32.0,105.0,45.0,377.0,50.0,2.9,9.4,4.0,33.7
Holsworthy,1975.0,93.0,205.0,47.0,1468.0,52.1,2.5,5.4,1.2,38.8
Homebush (NSW),2597.0,85.0,257.0,181.0,2096.0,49.8,1.6,4.9,3.5,40.2
Homebush West,2619.0,103.0,300.0,101.0,1704.0,54.3,2.1,6.2,2.1,35.3
Horningsea Park,1581.0,89.0,136.0,48.0,767.0,60.3,3.4,5.2,1.8,29.3
Hornsby,8602.0,429.0,1391.0,724.0,5186.0,52.7,2.6,8.5,4.4,31.8
Hornsby Heights,2950.0,103.0,304.0,153.0,1331.0,60.9,2.1,6.3,3.2,27.5
Horsley,3132.0,128.0,339.0,201.0,1445.0,59.7,2.4,6.5,3.8,27.6
Hoxton Park,1793.0,101.0,184.0,93.0,986.0,56.8,3.2,5.8,2.9,31.2
Hunters Hill,3654.0,122.0,450.0,618.0,2353.0,50.8,1.7,6.3,8.6,32.7
Huntleys Point,73.0,4.0,10.0,4.0,37.0,57.0,3.1,7.8,3.1,28.9
Hurlstone Park,1943.0,106.0,279.0,216.0,1403.0,49.2,2.7,7.1,5.5,35.5
Hurstville,11336.0,461.0,1406.0,976.0,7780.0,51.6,2.1,6.4,4.4,35.4
Hurstville Grove,1187.0,28.0,67.0,96.0,566.0,61.1,1.4,3.4,4.9,29.1
Illawong,3656.0,96.0,243.0,246.0,1890.0,59.6,1.6,4.0,4.0,30.8
Ingleburn,5464.0,389.0,1005.0,571.0,3756.0,48.9,3.5,9.0,5.1,33.6
Ingleside,501.0,26.0,57.0,39.0,275.0,55.8,2.9,6.3,4.3,30.6
Islington,391.0,61.0,179.0,53.0,845.0,25.6,4.0,11.7,3.5,55.3
Jamisontown,1868.0,182.0,425.0,247.0,1560.0,43.6,4.3,9.9,5.8,36.4
Jannali,2381.0,125.0,400.0,362.0,1426.0,50.7,2.7,8.5,7.7,30.4
Jesmond,667.0,56.0,196.0,197.0,1107.0,30.0,2.5,8.8,8.9,49.8
Jewells,1466.0,71.0,187.0,130.0,697.0,57.5,2.8,7.3,5.1,27.3
Kahibah,817.0,33.0,144.0,145.0,532.0,48.9,2.0,8.6,8.7,31.8
Kanahooka,2506.0,110.0,298.0,415.0,972.0,58.3,2.6,6.9,9.6,22.6
Kangaroo Point (NSW),321.0,8.0,17.0,17.0,124.0,65.9,1.6,3.5,3.5,25.5
Kanwal,1375.0,111.0,313.0,424.0,858.0,44.6,3.6,10.2,13.8,27.8
Kareela,1759.0,47.0,154.0,107.0,626.0,65.3,1.7,5.7,4.0,23.2
Kariong,2522.0,166.0,365.0,166.0,1603.0,52.3,3.4,7.6,3.4,33.2
Kearns,1113.0,58.0,137.0,74.0,810.0,50.8,2.6,6.2,3.4,37.0
Keiraville,1224.0,58.0,158.0,155.0,1282.0,42.5,2.0,5.5,5.4,44.6
Kellyville,9677.0,240.0,739.0,375.0,4116.0,63.9,1.6,4.9,2.5,27.2
Kembla Grange,107.0,7.0,11.0,7.0,50.0,58.8,3.8,6.0,3.8,27.5
Kensington (NSW),3515.0,182.0,513.0,322.0,6898.0,30.8,1.6,4.5,2.8,60.3
Kilaben Bay,648.0,25.0,99.0,55.0,291.0,58.0,2.2,8.9,4.9,26.0
Killara (NSW),4379.0,112.0,348.0,544.0,2123.0,58.3,1.5,4.6,7.2,28.3
Killarney Heights,2208.0,57.0,159.0,158.0,777.0,65.7,1.7,4.7,4.7,23.1
Killarney Vale,2354.0,243.0,637.0,439.0,1854.0,42.6,4.4,11.5,7.9,33.5
Kincumber,2688.0,175.0,541.0,694.0,1517.0,47.9,3.1,9.6,12.4,27.0
Kincumber South,298.0,22.0,122.0,95.0,95.0,47.2,3.5,19.3,15.0,15.0
Kings Langley,4334.0,161.0,474.0,315.0,2034.0,59.2,2.2,6.5,4.3,27.8
Kings Park (NSW),1441.0,80.0,185.0,87.0,808.0,55.4,3.1,7.1,3.3,31.1
Kingsford (NSW),4723.0,211.0,627.0,485.0,6241.0,38.4,1.7,5.1,3.9,50.8
Kingsgrove,5311.0,242.0,546.0,607.0,2744.0,56.2,2.6,5.8,6.4,29.0
Kingswood (Tamworth - NSW),574.0,32.0,60.0,25.0,203.0,64.2,3.6,6.7,2.8,22.7
Kirrawee,3707.0,208.0,669.0,530.0,2131.0,51.2,2.9,9.2,7.3,29.4
Kirribilli,1218.0,80.0,406.0,147.0,1580.0,35.5,2.3,11.8,4.3,46.1
Kogarah,5616.0,257.0,802.0,472.0,3511.0,52.7,2.4,7.5,4.4,32.9
Kogarah Bay,956.0,31.0,84.0,100.0,478.0,58.0,1.9,5.1,6.1,29.0
Koolewong,336.0,15.0,64.0,47.0,198.0,50.9,2.3,9.7,7.1,30.0
Koonawarra,1208.0,119.0,273.0,140.0,1050.0,43.3,4.3,9.8,5.0,37.6
Kotara,1706.0,79.0,246.0,214.0,905.0,54.2,2.5,7.8,6.8,28.7
Kotara South,539.0,24.0,66.0,50.0,221.0,59.9,2.7,7.3,5.6,24.6
Kurnell,853.0,57.0,169.0,84.0,528.0,50.4,3.4,10.0,5.0,31.2
Kyeemagh,360.0,21.0,56.0,53.0,170.0,54.5,3.2,8.5,8.0,25.8
Kyle Bay,409.0,10.0,32.0,33.0,196.0,60.1,1.5,4.7,4.9,28.8
La Perouse,121.0,17.0,25.0,19.0,160.0,35.4,5.0,7.3,5.6,46.8
Lake Haven,1210.0,105.0,341.0,360.0,818.0,42.7,3.7,12.0,12.7,28.9
Lake Heights,1284.0,86.0,230.0,234.0,834.0,48.1,3.2,8.6,8.8,31.3
Lake Illawarra,934.0,104.0,383.0,232.0,910.0,36.4,4.1,14.9,9.1,35.5
Lakelands (NSW),746.0,22.0,63.0,41.0,339.0,61.6,1.8,5.2,3.4,28.0
Lakemba,6746.0,367.0,795.0,483.0,3252.0,57.9,3.2,6.8,4.1,27.9
Lalor Park,2305.0,243.0,564.0,430.0,1941.0,42.0,4.4,10.3,7.8,35.4
Lambton,1769.0,151.0,422.0,266.0,1419.0,43.9,3.7,10.5,6.6,35.2
Lane Cove,3918.0,162.0,645.0,515.0,2485.0,50.7,2.1,8.3,6.7,32.2
Lane Cove North,3581.0,182.0,614.0,378.0,2976.0,46.3,2.4,7.9,4.9,38.5
Lane Cove West,1003.0,30.0,119.0,71.0,443.0,60.2,1.8,7.1,4.3,26.6
Lansvale,942.0,81.0,186.0,102.0,656.0,47.9,4.1,9.5,5.2,33.4
Lapstone,448.0,14.0,44.0,24.0,195.0,61.8,1.9,6.1,3.3,26.9
Lavender Bay,290.0,22.0,66.0,30.0,391.0,36.3,2.8,8.3,3.8,48.9
Leichhardt (NSW),4418.0,286.0,1063.0,509.0,4992.0,39.2,2.5,9.4,4.5,44.3
Leonay,1200.0,61.0,130.0,69.0,459.0,62.5,3.2,6.8,3.6,23.9
Lethbridge Park,1126.0,215.0,366.0,216.0,1500.0,32.9,6.3,10.7,6.3,43.8
Leumeah,3504.0,320.0,735.0,326.0,2667.0,46.4,4.2,9.7,4.3,35.3
Lewisham (NSW),901.0,56.0,207.0,136.0,1189.0,36.2,2.2,8.3,5.5,47.8
Liberty Grove,918.0,45.0,102.0,40.0,539.0,55.8,2.7,6.2,2.4,32.8
Lidcombe,7311.0,327.0,828.0,583.0,4818.0,52.7,2.4,6.0,4.2,34.7
Lilli Pilli (Sutherland - NSW),669.0,13.0,48.0,31.0,248.0,66.3,1.3,4.8,3.1,24.6
Lilyfield,2543.0,150.0,580.0,318.0,2297.0,43.2,2.5,9.9,5.4,39.0
Lindfield,3983.0,106.0,349.0,386.0,1962.0,58.7,1.6,5.1,5.7,28.9
Linley Point,196.0,4.0,22.0,9.0,89.0,61.2,1.2,6.9,2.8,27.8
Lisarow,2104.0,121.0,276.0,126.0,1209.0,54.8,3.2,7.2,3.3,31.5
Little Bay,1221.0,68.0,191.0,201.0,727.0,50.7,2.8,7.9,8.3,30.2
Liverpool,9539.0,809.0,1627.0,1150.0,5890.0,50.2,4.3,8.6,6.0,31.0
Loftus,1858.0,55.0,179.0,187.0,808.0,60.2,1.8,5.8,6.1,26.2
Long Jetty,1778.0,225.0,702.0,420.0,1597.0,37.7,4.8,14.9,8.9,33.8
Long Point (Campbelltown - NSW),103.0,4.0,10.0,6.0,48.0,60.2,2.3,5.8,3.5,28.1
Longueville,1066.0,12.0,50.0,59.0,462.0,64.6,0.7,3.0,3.6,28.0
Lugarno,2857.0,73.0,222.0,209.0,1162.0,63.2,1.6,4.9,4.6,25.7
Lurnea,3072.0,267.0,512.0,399.0,2216.0,47.5,4.1,7.9,6.2,34.3
Macquarie Fields,4565.0,384.0,960.0,484.0,3712.0,45.2,3.8,9.5,4.8,36.7
Macquarie Hills,1397.0,71.0,153.0,65.0,722.0,58.0,2.9,6.4,2.7,30.0
Macquarie Links,552.0,14.0,41.0,21.0,234.0,64.0,1.6,4.8,2.4,27.1
Macquarie Park,1807.0,108.0,415.0,355.0,2927.0,32.2,1.9,7.4,6.3,52.2
Malabar,1779.0,145.0,387.0,256.0,1753.0,41.2,3.4,9.0,5.9,40.6
Mangerton,1083.0,63.0,165.0,119.0,835.0,47.8,2.8,7.3,5.3,36.9
Manly (NSW),4962.0,320.0,1199.0,584.0,6055.0,37.8,2.4,9.1,4.5,46.2
Manly Vale,2143.0,123.0,443.0,277.0,1664.0,46.1,2.6,9.5,6.0,35.8
Marayong,2773.0,210.0,432.0,503.0,1963.0,47.2,3.6,7.3,8.6,33.4
Mardi,1429.0,90.0,220.0,118.0,764.0,54.5,3.4,8.4,4.5,29.1
Marks Point,597.0,69.0,205.0,121.0,462.0,41.1,4.7,14.1,8.3,31.8
Marmong Point,345.0,16.0,65.0,35.0,150.0,56.5,2.6,10.6,5.7,24.5
Maroubra,10924.0,643.0,1860.0,1414.0,9984.0,44.0,2.6,7.5,5.7,40.2
Marrickville,7962.0,635.0,1733.0,983.0,9591.0,38.1,3.0,8.3,4.7,45.9
Marsfield,4812.0,188.0,683.0,599.0,4493.0,44.7,1.7,6.3,5.6,41.7
Maryland (Newcastle - NSW),3207.0,174.0,489.0,189.0,1937.0,53.5,2.9,8.2,3.2,32.3
Maryville,410.0,64.0,139.0,61.0,548.0,33.6,5.2,11.4,5.0,44.8
Mascot,4013.0,238.0,569.0,380.0,3378.0,46.8,2.8,6.6,4.4,39.4
Matraville,3551.0,223.0,534.0,498.0,2522.0,48.5,3.0,7.3,6.8,34.4
Mayfield (Newcastle - NSW),2481.0,287.0,925.0,559.0,3443.0,32.2,3.7,12.0,7.3,44.7
Mayfield East,454.0,55.0,161.0,118.0,637.0,31.9,3.9,11.3,8.3,44.7
Mayfield West,522.0,43.0,138.0,98.0,648.0,36.0,3.0,9.5,6.8,44.7
Mays Hill,315.0,15.0,42.0,28.0,190.0,53.4,2.5,7.1,4.7,32.2
McMahons Point,906.0,64.0,219.0,75.0,896.0,41.9,3.0,10.1,3.5,41.5
Meadowbank (NSW),1539.0,87.0,230.0,52.0,1384.0,46.7,2.6,7.0,1.6,42.0
Melrose Park (NSW),673.0,28.0,67.0,48.0,313.0,59.6,2.5,5.9,4.3,27.7
Menai,4645.0,216.0,545.0,234.0,2478.0,57.2,2.7,6.7,2.9,30.5
Merewether,3859.0,185.0,742.0,445.0,3558.0,43.9,2.1,8.4,5.1,40.5
Merewether Heights,717.0,19.0,63.0,57.0,258.0,64.4,1.7,5.7,5.1,23.2
Merrylands,10640.0,764.0,1375.0,1129.0,6987.0,50.9,3.7,6.6,5.4,33.4
Merrylands West,2348.0,198.0,407.0,423.0,1569.0,47.5,4.0,8.2,8.6,31.7
Middle Cove,620.0,17.0,61.0,56.0,237.0,62.6,1.7,6.2,5.7,23.9
Miller,888.0,115.0,290.0,142.0,949.0,37.2,4.8,12.2,6.0,39.8
Millers Point,670.0,50.0,178.0,58.0,680.0,41.0,3.1,10.9,3.5,41.6
Milperra,1812.0,87.0,198.0,133.0,869.0,58.5,2.8,6.4,4.3,28.0
Milsons Point,945.0,39.0,157.0,51.0,669.0,50.8,2.1,8.4,2.7,35.9
Minchinbury,2258.0,130.0,242.0,117.0,1514.0,53.0,3.1,5.7,2.7,35.5
Minmi,290.0,21.0,34.0,11.0,169.0,55.2,4.0,6.5,2.1,32.2
Minto,3856.0,305.0,659.0,369.0,2768.0,48.5,3.8,8.3,4.6,34.8
Miranda (NSW),5715.0,346.0,1068.0,936.0,3818.0,48.1,2.9,9.0,7.9,32.1
Mona Vale,4437.0,222.0,729.0,654.0,2327.0,53.0,2.7,8.7,7.8,27.8
Monterey,1853.0,108.0,315.0,269.0,1078.0,51.1,3.0,8.7,7.4,29.8
Moorebank,3296.0,175.0,422.0,262.0,1804.0,55.3,2.9,7.1,4.4,30.3
Mortdale,3983.0,224.0,644.0,501.0,2660.0,49.7,2.8,8.0,6.3,33.2
Mortlake (NSW),348.0,14.0,64.0,24.0,154.0,57.6,2.3,10.6,4.0,25.5
Mosman,11528.0,462.0,1933.0,1249.0,7261.0,51.4,2.1,8.6,5.6,32.4
Mount Annan,4509.0,224.0,491.0,156.0,2295.0,58.7,2.9,6.4,2.0,29.9
Mount Colah,3193.0,121.0,396.0,195.0,1688.0,57.1,2.2,7.1,3.5,30.2
Mount Druitt,6068.0,475.0,807.0,475.0,3853.0,52.0,4.1,6.9,4.1,33.0
Mount Hutton (NSW),1174.0,71.0,264.0,308.0,843.0,44.1,2.7,9.9,11.6,31.7
Mount Keira,712.0,28.0,66.0,51.0,354.0,58.8,2.3,5.5,4.2,29.2
Mount Kembla,450.0,16.0,77.0,32.0,249.0,54.6,1.9,9.3,3.9,30.2
Mount Lewis,464.0,32.0,55.0,39.0,279.0,53.4,3.7,6.3,4.5,32.1
Mount Ousley,710.0,23.0,64.0,76.0,371.0,57.1,1.8,5.1,6.1,29.8
Mount Pleasant (NSW),590.0,23.0,50.0,56.0,245.0,61.2,2.4,5.2,5.8,25.4
Mount Pritchard,3325.0,292.0,618.0,422.0,2370.0,47.3,4.2,8.8,6.0,33.7
Mount Riverview,1413.0,46.0,173.0,108.0,668.0,58.7,1.9,7.2,4.5,27.7
Mount Saint Thomas,565.0,23.0,86.0,65.0,361.0,51.4,2.1,7.8,5.9,32.8
Mount Warrigal,1965.0,114.0,269.0,240.0,1139.0,52.7,3.1,7.2,6.4,30.6
Narara,3093.0,221.0,595.0,248.0,2008.0,50.2,3.6,9.7,4.0,32.6
Narellan,1298.0,123.0,239.0,137.0,973.0,46.9,4.4,8.6,4.9,35.1
Narellan Vale,2963.0,168.0,436.0,139.0,1592.0,55.9,3.2,8.2,2.6,30.0
Naremburn,2312.0,84.0,397.0,130.0,1481.0,52.5,1.9,9.0,3.0,33.6
Narrabeen,2647.0,195.0,738.0,899.0,2092.0,40.3,3.0,11.2,13.7,31.8
Narraweena,2525.0,143.0,437.0,440.0,1407.0,51.0,2.9,8.8,8.9,28.4
Narwee,2113.0,110.0,327.0,327.0,1217.0,51.6,2.7,8.0,8.0,29.7
Neutral Bay,3062.0,219.0,832.0,317.0,4014.0,36.3,2.6,9.9,3.8,47.5
