,Median rent,Households where rent payments are less than 30% of household income,"Households where rent payments are 30%, or greater, of household income",Median rent (%),Households where rent payments are less than 30% of household income (%),"Households where rent payments are 30%, or greater, of household income (%)"
Caringbah,350.0,--,--,--,87.0,13.0
Carlingford,410.0,--,--,--,91.0,9.0
Carlton (NSW),360.0,--,--,--,86.3,13.7
Carramar (NSW),240.0,--,--,--,77.2,22.8
Carrington (Newcastle - NSW),280.0,--,--,--,84.7,15.3
Carss Park,130.0,--,--,--,91.9,8.1
Cartwright,120.0,--,--,--,82.0,18.0
Castle Cove,730.0,--,--,--,94.4,5.6
Castle Hill (NSW),460.0,--,--,--,94.1,5.9
Castlecrag,710.0,--,--,--,93.7,6.3
Casula,340.0,--,--,--,89.7,10.3
Caves Beach,320.0,--,--,--,94.2,5.8
Cecil Hills,420.0,--,--,--,94.5,5.5
Centennial Park (NSW),420.0,--,--,--,80.8,19.2
Charlestown (NSW),290.0,--,--,--,91.7,8.3
Charmhaven,270.0,--,--,--,87.0,13.0
Chatswood,492.0,--,--,--,79.2,20.8
Chatswood West,500.0,--,--,--,93.5,6.5
Cheltenham (NSW),525.0,--,--,--,96.4,3.6
Cherrybrook,525.0,--,--,--,95.9,4.1
Chester Hill,240.0,--,--,--,86.0,14.0
Chifley (NSW),230.0,--,--,--,89.4,10.6
Chippendale,440.0,--,--,--,66.8,33.2
Chipping Norton,360.0,--,--,--,93.2,6.8
Chiswick,540.0,--,--,--,81.6,18.4
Chittaway Bay,255.0,--,--,--,91.0,9.0
Church Point,750.0,--,--,--,95.8,4.2
Claremont Meadows,330.0,--,--,--,94.0,6.0
Claymore,160.0,--,--,--,70.0,30.0
Clontarf (NSW),1100.0,--,--,--,94.2,5.8
Clovelly,520.0,--,--,--,87.5,12.5
Coal Point,320.0,--,--,--,94.5,5.5
Coledale,400.0,--,--,--,93.9,6.1
Collaroy (NSW),475.0,--,--,--,90.2,9.8
Colyton,290.0,--,--,--,90.6,9.4
Como (NSW),450.0,--,--,--,96.1,3.9
Concord,426.0,--,--,--,91.9,8.1
Concord West,390.0,--,--,--,93.5,6.5
Condell Park,360.0,--,--,--,88.4,11.6
Coniston,220.0,--,--,--,84.9,15.1
Connells Point,450.0,--,--,--,96.2,3.8
Coogee (NSW),490.0,--,--,--,83.6,16.4
Cooks Hill,310.0,--,--,--,84.5,15.5
Copacabana,350.0,--,--,--,89.8,10.2
Cordeaux Heights,325.0,--,--,--,97.4,2.6
Corrimal,250.0,--,--,--,88.1,11.9
Cranebrook,275.0,--,--,--,91.9,8.1
Cremorne (NSW),480.0,--,--,--,85.5,14.5
Cremorne Point,540.0,--,--,--,82.7,17.3
Cringila,240.0,--,--,--,90.7,9.3
Cromer (NSW),490.0,--,--,--,94.6,5.4
Cronulla,360.0,--,--,--,84.0,16.0
Croudace Bay,300.0,--,--,--,95.9,4.1
Crows Nest (NSW),480.0,--,--,--,85.9,14.1
Croydon (NSW),390.0,--,--,--,87.9,12.1
Croydon Park (NSW),330.0,--,--,--,86.7,13.3
Curl Curl,510.0,--,--,--,89.9,10.1
Currans Hill,360.0,--,--,--,91.1,8.9
Daceyville,108.0,--,--,--,77.9,22.1
Daleys Point,335.0,--,--,--,94.1,5.9
Dapto,250.0,--,--,--,91.4,8.6
Darling Point,650.0,--,--,--,84.7,15.3
Darlinghurst,460.0,--,--,--,76.7,23.3
Darlington (Sydney - NSW),495.0,--,--,--,74.0,26.0
Davidson,577.0,--,--,--,96.4,3.6
Davistown,280.0,--,--,--,92.7,7.3
Dawes Point,670.0,--,--,--,73.1,26.9
Dean Park,330.0,--,--,--,90.3,9.7
Dee Why,410.0,--,--,--,81.0,19.0
Denistone,480.0,--,--,--,94.6,5.4
Denistone East,485.0,--,--,--,95.1,4.9
Denistone West,423.0,--,--,--,97.5,2.5
Dharruk,215.0,--,--,--,92.4,7.6
Dolans Bay,550.0,--,--,--,96.9,3.1
Dolls Point,350.0,--,--,--,84.9,15.1
Doonside,210.0,--,--,--,86.9,13.1
Double Bay,550.0,--,--,--,83.9,16.1
Dover Heights,501.0,--,--,--,89.9,10.1
Drummoyne,485.0,--,--,--,88.9,11.1
Dudley,295.0,--,--,--,96.1,3.9
Dulwich Hill,360.0,--,--,--,83.9,16.1
Dundas (NSW),323.0,--,--,--,87.7,12.3
Dundas Valley,300.0,--,--,--,87.6,12.4
Dural (Hornsby - NSW),450.0,--,--,--,94.7,5.3
Eagle Vale,300.0,--,--,--,92.4,7.6
Earlwood,400.0,--,--,--,92.5,7.5
East Gosford,260.0,--,--,--,84.9,15.1
East Hills,280.0,--,--,--,91.0,9.0
East Killara,773.0,--,--,--,93.2,6.8
East Lindfield,877.0,--,--,--,95.2,4.8
East Ryde,505.0,--,--,--,96.5,3.5
Eastern Creek,300.0,--,--,--,87.7,12.3
Eastlakes,300.0,--,--,--,79.5,20.5
Eastwood (NSW),370.0,--,--,--,84.2,15.8
Edensor Park,350.0,--,--,--,92.3,7.7
Edgecliff,500.0,--,--,--,78.7,21.3
Edgeworth,240.0,--,--,--,92.1,7.9
Elanora Heights,500.0,--,--,--,96.8,3.2
Elderslie (Camden - NSW),350.0,--,--,--,92.5,7.5
Eleebana,350.0,--,--,--,97.3,2.7
Elermore Vale,265.0,--,--,--,93.0,7.0
Elizabeth Bay,425.0,--,--,--,76.4,23.6
Emerton,220.0,--,--,--,82.9,17.1
Empire Bay,270.0,--,--,--,89.8,10.2
Emu Heights (NSW),320.0,--,--,--,95.7,4.3
Emu Plains,320.0,--,--,--,93.6,6.4
Enfield (NSW),380.0,--,--,--,87.6,12.4
Engadine,370.0,--,--,--,94.8,5.2
Enmore (Marrickville - NSW),400.0,--,--,--,82.4,17.6
Epping (NSW),420.0,--,--,--,88.1,11.9
Erina,260.0,--,--,--,92.6,7.4
Ermington,250.0,--,--,--,87.9,12.1
Erskine Park,355.0,--,--,--,94.9,5.1
Erskineville,500.0,--,--,--,84.0,16.0
Eschol Park,310.0,--,--,--,91.4,8.6
Ettalong Beach,275.0,--,--,--,78.4,21.6
Fairfield (NSW),290.0,--,--,--,70.8,29.2
Fairfield East,210.0,--,--,--,81.9,18.1
Fairfield Heights,330.0,--,--,--,78.9,21.1
Fairfield West,335.0,--,--,--,88.9,11.1
Fairlight,505.0,--,--,--,86.9,13.1
Fairy Meadow,250.0,--,--,--,82.9,17.1
Farmborough Heights,300.0,--,--,--,96.0,4.0
Faulconbridge,300.0,--,--,--,94.1,5.9
Fennell Bay,250.0,--,--,--,89.7,10.3
Figtree,280.0,--,--,--,94.0,6.0
Five Dock,440.0,--,--,--,89.7,10.3
Fletcher (NSW),400.0,--,--,--,97.8,2.2
Flinders (NSW),330.0,--,--,--,92.5,7.5
Floraville,350.0,--,--,--,93.1,6.9
Forest Lodge,440.0,--,--,--,77.2,22.8
Forestville (NSW),510.0,--,--,--,92.9,7.1
Forresters Beach,330.0,--,--,--,91.9,8.1
Frenchs Forest,650.0,--,--,--,95.8,4.2
Garden Suburb,310.0,--,--,--,96.8,3.2
Gateshead,190.0,--,--,--,86.1,13.9
Georges Hall,390.0,--,--,--,93.7,6.3
Georgetown (NSW),278.0,--,--,--,88.6,11.4
Girraween (NSW),330.0,--,--,--,90.0,10.0
Gladesville,331.0,--,--,--,88.2,11.8
Glebe (NSW),340.0,--,--,--,78.1,21.9
Glen Alpine,480.0,--,--,--,98.3,1.7
Glenbrook,330.0,--,--,--,95.2,4.8
Glendale (NSW),215.0,--,--,--,90.7,9.3
Glenfield (NSW),290.0,--,--,--,92.4,7.6
Glenhaven,503.0,--,--,--,98.2,1.8
Glenmore Park,360.0,--,--,--,93.7,6.3
Glenning Valley,320.0,--,--,--,95.6,4.4
Glenwood (NSW),490.0,--,--,--,94.0,6.0
Gordon (NSW),580.0,--,--,--,89.2,10.8
Gorokan,250.0,--,--,--,84.9,15.1
Gosford,275.0,--,--,--,75.7,24.3
Granville (NSW),320.0,--,--,--,80.9,19.1
Grays Point,516.0,--,--,--,96.7,3.3
Green Point (Great Lakes - NSW),230.0,--,--,--,91.5,8.5
Green Valley (NSW),360.0,--,--,--,89.6,10.4
Greenacre,271.0,--,--,--,86.0,14.0
Greenwich,450.0,--,--,--,90.4,9.6
Greystanes,369.0,--,--,--,93.5,6.5
Guildford (NSW),300.0,--,--,--,81.4,18.6
Guildford West,320.0,--,--,--,88.0,12.0
Gwynneville,240.0,--,--,--,74.4,25.6
Gymea,370.0,--,--,--,89.5,10.5
Gymea Bay,490.0,--,--,--,97.3,2.7
Haberfield,390.0,--,--,--,93.2,6.8
Halekulani,248.0,--,--,--,90.8,9.2
Hamilton (NSW),290.0,--,--,--,83.8,16.2
Hamilton East,348.0,--,--,--,95.3,4.7
Hamilton North,300.0,--,--,--,91.2,8.8
Hamilton South,120.0,--,--,--,87.7,12.3
Hammondville,320.0,--,--,--,93.7,6.3
Harrington Park,465.0,--,--,--,95.7,4.3
Harris Park,310.0,--,--,--,72.6,27.4
Hassall Grove,350.0,--,--,--,90.9,9.1
Haymarket,640.0,--,--,--,51.3,48.7
Heathcote (NSW),390.0,--,--,--,96.5,3.5
Hebersham,220.0,--,--,--,87.5,12.5
Heckenberg,210.0,--,--,--,83.4,16.6
Henley,500.0,--,--,--,93.3,6.7
Hillsborough (Lake Macquarie - NSW),280.0,--,--,--,98.6,1.4
Hillsdale,335.0,--,--,--,76.0,24.0
Hinchinbrook (NSW),375.0,--,--,--,91.6,8.4
Holmesville,280.0,--,--,--,95.2,4.8
Holsworthy,375.0,--,--,--,91.7,8.3
Homebush (NSW),400.0,--,--,--,80.5,19.5
Homebush West,380.0,--,--,--,77.8,22.2
Horningsea Park,430.0,--,--,--,94.2,5.8
Hornsby,380.0,--,--,--,83.3,16.7
Hornsby Heights,462.0,--,--,--,96.6,3.4
Horsley,335.0,--,--,--,95.7,4.3
Hoxton Park,370.0,--,--,--,90.5,9.5
Hunters Hill,380.0,--,--,--,92.0,8.0
Huntleys Point,400.0,--,--,--,100.0,0.0
Hurlstone Park,340.0,--,--,--,89.2,10.8
Hurstville,400.0,--,--,--,79.1,20.9
Hurstville Grove,430.0,--,--,--,95.3,4.7
Illawong,557.0,--,--,--,97.5,2.5
Ingleburn,290.0,--,--,--,89.6,10.4
Ingleside,400.0,--,--,--,90.4,9.6
Islington,280.0,--,--,--,82.0,18.0
Jamisontown,298.0,--,--,--,87.9,12.1
Jannali,285.0,--,--,--,91.2,8.8
Jesmond,250.0,--,--,--,70.7,29.3
Jewells,220.0,--,--,--,95.8,4.2
Kahibah,250.0,--,--,--,92.9,7.1
Kanahooka,300.0,--,--,--,95.8,4.2
Kangaroo Point (NSW),690.0,--,--,--,100.0,0.0
Kanwal,240.0,--,--,--,89.6,10.4
Kareela,510.0,--,--,--,98.8,1.2
Kariong,305.0,--,--,--,92.1,7.9
Kearns,310.0,--,--,--,95.3,4.7
Keiraville,280.0,--,--,--,83.2,16.8
Kellyville,510.0,--,--,--,95.6,4.4
Kembla Grange,200.0,--,--,--,95.7,4.3
Kensington (NSW),435.0,--,--,--,74.9,25.1
Kilaben Bay,350.0,--,--,--,94.9,5.1
Killara (NSW),580.0,--,--,--,90.6,9.4
Killarney Heights,710.0,--,--,--,95.2,4.8
Killarney Vale,270.0,--,--,--,88.1,11.9
Kincumber,260.0,--,--,--,92.5,7.5
Kincumber South,150.0,--,--,--,96.8,3.2
Kings Langley,400.0,--,--,--,95.7,4.3
Kings Park (NSW),360.0,--,--,--,94.2,5.8
Kingsford (NSW),440.0,--,--,--,72.9,27.1
Kingsgrove,360.0,--,--,--,90.6,9.4
Kingswood (Tamworth - NSW),200.0,--,--,--,95.9,4.1
Kirrawee,330.0,--,--,--,91.4,8.6
Kirribilli,450.0,--,--,--,80.9,19.1
Kogarah,360.0,--,--,--,81.5,18.5
Kogarah Bay,510.0,--,--,--,95.5,4.5
Koolewong,285.0,--,--,--,92.5,7.5
Koonawarra,206.0,--,--,--,86.9,13.1
Kotara,325.0,--,--,--,93.6,6.4
Kotara South,170.0,--,--,--,93.9,6.1
Kurnell,378.0,--,--,--,93.7,6.3
Kyeemagh,510.0,--,--,--,93.9,6.1
Kyle Bay,530.0,--,--,--,96.0,4.0
La Perouse,120.0,--,--,--,83.5,16.5
Lake Haven,220.0,--,--,--,85.9,14.1
Lake Heights,230.0,--,--,--,90.2,9.8
Lake Illawarra,200.0,--,--,--,80.1,19.9
Lakelands (NSW),300.0,--,--,--,97.3,2.7
Lakemba,300.0,--,--,--,71.4,28.6
Lalor Park,200.0,--,--,--,89.2,10.8
Lambton,260.0,--,--,--,87.1,12.9
Lane Cove,420.0,--,--,--,89.8,10.2
Lane Cove North,400.0,--,--,--,86.9,13.1
Lane Cove West,470.0,--,--,--,95.2,4.8
Lansvale,290.0,--,--,--,93.8,6.2
Lavender Bay,421.0,--,--,--,87.5,12.5
Leichhardt (NSW),460.0,--,--,--,86.1,13.9
Leonay,400.0,--,--,--,96.4,3.6
Lethbridge Park,195.0,--,--,--,81.0,19.0
Leumeah,260.0,--,--,--,87.0,13.0
Lewisham (NSW),360.0,--,--,--,85.3,14.7
Lidcombe,370.0,--,--,--,83.1,16.9
Lilli Pilli (Sutherland - NSW),700.0,--,--,--,98.2,1.8
Lilyfield,390.0,--,--,--,88.5,11.5
Lindfield,500.0,--,--,--,91.1,8.9
Linley Point,738.0,--,--,--,100.0,0.0
Lisarow,300.0,--,--,--,95.2,4.8
Little Bay,230.0,--,--,--,86.5,13.5
Liverpool,280.0,--,--,--,74.8,25.2
Loftus,390.0,--,--,--,97.0,3.0
Long Jetty,250.0,--,--,--,77.2,22.8
Long Point (Campbelltown - NSW),380.0,--,--,--,100.0,0.0
Longueville,600.0,--,--,--,96.1,3.9
Lugarno,410.0,--,--,--,97.1,2.9
Lurnea,263.0,--,--,--,84.3,15.7
Macquarie Fields,213.0,--,--,--,87.0,13.0
Macquarie Hills,351.0,--,--,--,95.3,4.7
Macquarie Links,570.0,--,--,--,95.2,4.8
Macquarie Park,360.0,--,--,--,77.4,22.6
Malabar,105.0,--,--,--,88.4,11.6
Mangerton,215.0,--,--,--,88.2,11.8
Manly (NSW),530.0,--,--,--,81.6,18.4
Manly Vale,415.0,--,--,--,84.8,15.2
Marayong,275.0,--,--,--,89.9,10.1
Mardi,320.0,--,--,--,88.2,11.8
Marks Point,235.0,--,--,--,83.5,16.5
Marmong Point,340.0,--,--,--,91.6,8.4
Maroubra,430.0,--,--,--,82.5,17.5
Marrickville,340.0,--,--,--,83.3,16.7
Marsfield,410.0,--,--,--,85.5,14.5
Maryland (Newcastle - NSW),300.0,--,--,--,93.6,6.4
Maryville,330.0,--,--,--,89.4,10.6
Mascot,450.0,--,--,--,86.1,13.9
Matraville,310.0,--,--,--,87.2,12.8
Mayfield (Newcastle - NSW),260.0,--,--,--,84.2,15.8
Mayfield East,280.0,--,--,--,84.8,15.2
Mayfield West,215.0,--,--,--,88.9,11.1
Mays Hill,330.0,--,--,--,86.5,13.5
McMahons Point,490.0,--,--,--,86.0,14.0
Meadowbank (NSW),360.0,--,--,--,75.8,24.2
Melrose Park (NSW),460.0,--,--,--,94.9,5.1
Menai,400.0,--,--,--,93.2,6.8
Merewether,300.0,--,--,--,90.1,9.9
Merewether Heights,450.0,--,--,--,97.2,2.8
Merrylands,320.0,--,--,--,81.3,18.7
Merrylands West,318.0,--,--,--,82.8,17.2
Middle Cove,602.0,--,--,--,93.5,6.5
Miller,126.0,--,--,--,80.7,19.3
Millers Point,577.0,--,--,--,73.5,26.5
Milperra,390.0,--,--,--,97.7,2.3
Milsons Point,650.0,--,--,--,77.2,22.8
Minchinbury,350.0,--,--,--,94.8,5.2
Minmi,250.0,--,--,--,95.4,4.6
Minto,250.0,--,--,--,88.5,11.5
Miranda (NSW),370.0,--,--,--,88.2,11.8
Mona Vale,475.0,--,--,--,90.1,9.9
Monterey,380.0,--,--,--,86.0,14.0
Moorebank,350.0,--,--,--,93.7,6.3
Mortdale,340.0,--,--,--,87.6,12.4
Mortlake (NSW),600.0,--,--,--,84.7,15.3
Mosman,473.0,--,--,--,85.5,14.5
Mount Annan,400.0,--,--,--,95.2,4.8
Mount Druitt,290.0,--,--,--,79.2,20.8
Mount Hutton (NSW),270.0,--,--,--,90.0,10.0
Mount Keira,275.0,--,--,--,93.2,6.8
Mount Kembla,270.0,--,--,--,94.8,5.2
Mount Lewis,313.0,--,--,--,86.9,13.1
Mount Ousley,330.0,--,--,--,95.8,4.2
Mount Pleasant (NSW),430.0,--,--,--,96.4,3.6
Mount Pritchard,276.0,--,--,--,88.3,11.7
Mount Riverview,325.0,--,--,--,96.9,3.1
Mount Saint Thomas,188.0,--,--,--,90.6,9.4
Mount Warrigal,250.0,--,--,--,92.2,7.8
Narara,290.0,--,--,--,92.6,7.4
Narellan,300.0,--,--,--,90.4,9.6
Narellan Vale,380.0,--,--,--,93.0,7.0
Naremburn,540.0,--,--,--,89.0,11.0
Narrabeen,425.0,--,--,--,83.3,16.7
Narraweena,185.0,--,--,--,88.9,11.1
Narwee,265.0,--,--,--,84.0,16.0
Neutral Bay,462.0,--,--,--,84.5,15.5
New Lambton,280.0,--,--,--,91.4,8.6
New Lambton Heights,370.0,--,--,--,96.6,3.4
Newcastle,400.0,--,--,--,81.2,18.8
Newcastle West,346.0,--,--,--,79.8,20.2
Newington (NSW),495.0,--,--,--,88.3,11.7
Newport (NSW),440.0,--,--,--,89.1,10.9
Newtown (NSW),425.0,--,--,--,78.1,21.9
Niagara Park,290.0,--,--,--,90.9,9.1
Noraville,253.0,--,--,--,85.6,14.4
Normanhurst,334.0,--,--,--,93.5,6.5
North Avoca,360.0,--,--,--,94.0,6.0
North Balgowlah,580.0,--,--,--,92.5,7.5
North Bondi,500.0,--,--,--,83.9,16.1
North Curl Curl,580.0,--,--,--,92.0,8.0
North Epping,480.0,--,--,--,96.1,3.9
North Gosford,265.0,--,--,--,82.0,18.0
North Lambton,300.0,--,--,--,87.3,12.7
North Manly,500.0,--,--,--,91.6,8.4
North Narrabeen,500.0,--,--,--,93.1,6.9
North Parramatta,325.0,--,--,--,81.8,18.2
North Rocks,450.0,--,--,--,96.3,3.7
North Ryde,400.0,--,--,--,93.3,6.7
North St Marys,250.0,--,--,--,87.4,12.6
North Strathfield,440.0,--,--,--,84.5,15.5
North Sydney,460.0,--,--,--,79.3,20.7
North Turramurra,490.0,--,--,--,96.6,3.4
North Wahroonga,673.0,--,--,--,97.5,2.5
North Willoughby,480.0,--,--,--,89.0,11.0
North Wollongong,290.0,--,--,--,74.0,26.0
Northbridge (NSW),577.0,--,--,--,91.7,8.3
Northmead,360.0,--,--,--,89.0,11.0
Northwood (NSW),1060.0,--,--,--,95.1,4.9
Oak Flats,260.0,--,--,--,90.3,9.7
Oakhurst (NSW),350.0,--,--,--,92.2,7.8
Oatlands (NSW),410.0,--,--,--,91.6,8.4
Oatley,380.0,--,--,--,94.1,5.9
Old Guildford,350.0,--,--,--,83.3,16.7
Old Toongabbie,360.0,--,--,--,96.7,3.3
Ourimbah,265.0,--,--,--,91.6,8.4
Oxley Park,300.0,--,--,--,85.0,15.0
Oyster Bay,460.0,--,--,--,97.1,2.9
Paddington (NSW),550.0,--,--,--,82.3,17.7
Padstow,330.0,--,--,--,91.0,9.0
Padstow Heights,390.0,--,--,--,95.8,4.2
Pagewood,250.0,--,--,--,91.6,8.4
Palm Beach (NSW),450.0,--,--,--,88.6,11.4
Panania,301.0,--,--,--,92.1,7.9
Parramatta,350.0,--,--,--,75.4,24.6
Peakhurst,293.0,--,--,--,92.0,8.0
Peakhurst Heights,291.0,--,--,--,97.0,3.0
Pearl Beach,320.0,--,--,--,92.4,7.6
Pelican (NSW),260.0,--,--,--,93.2,6.8
Pendle Hill,320.0,--,--,--,85.2,14.8
Pennant Hills,400.0,--,--,--,93.1,6.9
Penrith,250.0,--,--,--,81.9,18.1
Penrose (Wollongong - NSW),200.0,--,--,--,88.2,11.8
Penshurst (NSW),340.0,--,--,--,85.9,14.1
Petersham,350.0,--,--,--,83.0,17.0
Phillip Bay,231.0,--,--,--,94.1,5.9
Picnic Point,440.0,--,--,--,96.1,3.9
Point Clare,280.0,--,--,--,89.5,10.5
Point Frederick,260.0,--,--,--,79.8,20.2
Point Piper,750.0,--,--,--,84.3,15.7
Port Kembla,200.0,--,--,--,87.1,12.9
Potts Point,400.0,--,--,--,73.0,27.0
Prairiewood,220.0,--,--,--,91.9,8.1
Prestons,400.0,--,--,--,94.8,5.2
Primbee,220.0,--,--,--,88.7,11.3
Prospect (NSW),350.0,--,--,--,94.3,5.7
Punchbowl (Canterbury - NSW),290.0,--,--,--,84.0,16.0
Putney,488.0,--,--,--,94.8,5.2
Pymble,600.0,--,--,--,93.4,6.6
Pyrmont,577.0,--,--,--,75.5,24.5
Quakers Hill,360.0,--,--,--,91.7,8.3
Queens Park (NSW),520.0,--,--,--,88.3,11.7
Raby,310.0,--,--,--,95.1,4.9
Ramsgate,420.0,--,--,--,91.7,8.3
Ramsgate Beach,360.0,--,--,--,86.0,14.0
Randwick,460.0,--,--,--,82.1,17.9
Rankin Park,363.0,--,--,--,96.8,3.2
Redfern,380.0,--,--,--,80.9,19.1
Redhead,300.0,--,--,--,95.0,5.0
