,"Intermediate Clerical, Sales and Service Workers",Professionals,Tradespersons and Related Workers,Associate Professionals,"Elementary Clerical, Sales and Service Workers",Managers and Administrators,Labourers and Related Workers,Intermediate Production and Transport Workers,Advanced Clerical and Service Workers,"Intermediate Clerical, Sales and Service Workers (%)",Professionals (%),Tradespersons and Related Workers (%),Associate Professionals (%),"Elementary Clerical, Sales and Service Workers (%)",Managers and Administrators (%),Labourers and Related Workers (%),Intermediate Production and Transport Workers (%),Advanced Clerical and Service Workers (%)
Rooty Hill,"1,000",504,650,433,478,158,519,738,165,11.8,5.9,7.7,5.1,5.6,1.9,6.1,8.7,1.9
Rose Bay,627,"1,316",212,636,288,581,85,68,264,8.5,17.9,2.9,8.6,3.9,7.9,1.2,0.9,3.6
Rosebery,575,547,336,402,327,189,284,311,146,9.9,9.4,5.8,6.9,5.6,3.3,4.9,5.4,2.5
Roselands,745,569,566,457,409,276,323,440,169,9.5,7.3,7.2,5.8,5.2,3.5,4.1,5.6,2.2
Rosemeadow,637,269,439,261,369,111,381,482,95,11.6,4.9,8.0,4.8,6.7,2.0,6.9,8.8,1.7
Roseville,533,"1,422",147,532,294,617,59,56,190,8.5,22.6,2.3,8.5,4.7,9.8,0.9,0.9,3.0
Roseville Chase,98,235,42,105,41,125,24,15,37,8.2,19.7,3.5,8.8,3.4,10.5,2.0,1.3,3.1
Rouse Hill,339,333,245,227,114,221,76,94,91,14.9,14.7,10.8,10.0,5.0,9.7,3.4,4.1,4.0
Rozelle,594,"1,475",247,594,218,735,103,110,190,10.0,24.9,4.2,10.0,3.7,12.4,1.7,1.9,3.2
Ruse,709,426,526,339,337,178,215,326,142,15.2,9.1,11.3,7.3,7.2,3.8,4.6,7.0,3.0
Rushcutters Bay,204,387,67,187,92,146,33,30,65,9.8,18.7,3.2,9.0,4.4,7.0,1.6,1.4,3.1
Russell Lea,403,662,217,365,179,329,108,96,134,9.6,15.7,5.2,8.7,4.2,7.8,2.6,2.3,3.2
Russell Vale,103,58,90,67,53,20,31,49,18,10.6,5.9,9.2,6.9,5.4,2.1,3.2,5.0,1.8
Rydalmere,106,95,75,52,65,34,42,55,37,8.8,7.9,6.2,4.3,5.4,2.8,3.5,4.6,3.1
Ryde,"1,716","2,095","1,100","1,191",978,818,657,599,428,10.3,12.5,6.6,7.1,5.8,4.9,3.9,3.6,2.6
Sadleir,140,52,127,50,58,24,148,141,10,6.5,2.4,5.9,2.3,2.7,1.1,6.9,6.6,0.5
San Remo,237,94,215,131,148,42,216,175,47,8.4,3.3,7.6,4.7,5.3,1.5,7.7,6.2,1.7
Sandringham,84,119,59,79,45,63,18,31,41,8.8,12.4,6.1,8.2,4.7,6.6,1.9,3.2,4.3
Sans Souci,746,663,489,486,395,361,265,281,220,9.5,8.5,6.2,6.2,5.0,4.6,3.4,3.6,2.8
Saratoga,220,286,233,183,164,105,87,79,74,7.4,9.6,7.8,6.1,5.5,3.5,2.9,2.7,2.5
Scarborough,12,47,19,21,6,10,12,9,7,4.5,17.5,7.1,7.8,2.2,3.7,4.5,3.4,2.6
Schofields,285,177,245,123,129,138,149,160,69,12.7,7.9,10.9,5.5,5.7,6.1,6.6,7.1,3.1
Scotland Island,39,143,49,39,19,43,15,9,16,7.2,26.3,9.0,7.2,3.5,7.9,2.8,1.7,2.9
Seaforth,403,785,215,401,233,463,79,62,143,8.8,17.1,4.7,8.7,5.1,10.1,1.7,1.3,3.1
Sefton,360,253,301,188,204,73,183,232,62,9.1,6.4,7.6,4.7,5.2,1.8,4.6,5.9,1.6
Seven Hills,"1,654","1,256","1,141",864,814,375,739,909,323,11.7,8.9,8.1,6.1,5.8,2.7,5.2,6.4,2.3
Shalvey,194,86,158,63,145,31,174,194,22,7.5,3.3,6.1,2.4,5.6,1.2,6.7,7.5,0.8
Shell Cove,82,90,77,86,55,53,38,51,14,9.3,10.2,8.8,9.8,6.3,6.0,4.3,5.8,1.6
Shellharbour,251,221,213,163,133,84,125,156,46,9.9,8.7,8.4,6.4,5.2,3.3,4.9,6.1,1.8
Shelly Beach,84,64,79,72,80,30,41,24,30,7.8,5.9,7.3,6.7,7.4,2.8,3.8,2.2,2.8
Shortland,253,156,200,127,217,41,192,171,37,7.0,4.3,5.5,3.5,6.0,1.1,5.3,4.7,1.0
Silverwater,83,40,59,23,54,14,48,54,9,10.0,4.8,7.1,2.8,6.5,1.7,5.8,6.5,1.1
Smithfield,648,300,664,299,404,148,469,697,152,7.9,3.6,8.1,3.6,4.9,1.8,5.7,8.5,1.8
South Coogee,359,572,210,287,172,196,84,83,90,8.7,13.9,5.1,7.0,4.2,4.8,2.0,2.0,2.2
South Granville,206,132,175,119,125,52,118,145,34,8.5,5.5,7.2,4.9,5.2,2.1,4.9,6.0,1.4
South Hurstville,349,343,227,215,170,156,136,148,95,10.2,10.0,6.6,6.3,5.0,4.5,4.0,4.3,2.8
South Penrith,"1,320",743,851,722,691,319,506,650,238,13.8,7.8,8.9,7.5,7.2,3.3,5.3,6.8,2.5
South Turramurra,228,486,74,195,95,215,42,37,74,10.0,21.4,3.3,8.6,4.2,9.4,1.8,1.6,3.3
South Wentworthville,408,279,309,207,193,107,172,238,78,10.9,7.4,8.2,5.5,5.1,2.8,4.6,6.3,2.1
Speers Point,225,230,170,165,125,65,93,103,38,9.0,9.2,6.8,6.6,5.0,2.6,3.7,4.1,1.5
Springfield,320,267,229,194,206,111,144,135,68,11.0,9.2,7.9,6.7,7.1,3.8,5.0,4.7,2.3
Springwood,590,"1,034",360,439,274,300,212,159,146,9.2,16.2,5.6,6.9,4.3,4.7,3.3,2.5,2.3
St Andrews,643,336,440,291,310,141,248,377,107,14.2,7.4,9.7,6.4,6.9,3.1,5.5,8.3,2.4
St Clair,"2,292","1,119","1,485","1,003","1,162",535,816,"1,347",455,14.9,7.3,9.7,6.5,7.6,3.5,5.3,8.8,3.0
St Helens Park,560,229,413,246,276,115,237,363,84,14.3,5.8,10.5,6.3,7.0,2.9,6.0,9.3,2.1
St Huberts Island,60,78,50,68,43,45,20,17,23,6.5,8.4,5.4,7.3,4.6,4.9,2.2,1.8,2.5
St Ives,876,"2,017",244,930,519,"1,152",127,98,424,7.9,18.3,2.2,8.4,4.7,10.4,1.2,0.9,3.8
St Ives Chase,223,440,66,240,148,283,33,28,86,9.5,18.7,2.8,10.2,6.3,12.0,1.4,1.2,3.7
St Johns Park,335,229,357,196,224,103,279,362,56,7.4,5.0,7.8,4.3,4.9,2.3,6.1,8.0,1.2
St Leonards,177,514,52,189,84,220,26,14,61,7.5,21.8,2.2,8.0,3.6,9.3,1.1,0.6,2.6
St Marys,650,284,579,309,391,120,432,578,117,8.9,3.9,7.9,4.2,5.3,1.6,5.9,7.9,1.6
St Peters,216,301,115,125,119,98,91,90,48,10.7,14.9,5.7,6.2,5.9,4.9,4.5,4.5,2.4
Stanhope Gardens,269,231,154,193,124,129,103,129,80,12.5,10.7,7.2,9.0,5.8,6.0,4.8,6.0,3.7
Stanmore,655,"1,308",308,495,340,386,175,170,179,10.6,21.2,5.0,8.0,5.5,6.3,2.8,2.8,2.9
Stockton,228,227,219,140,127,60,132,141,38,6.3,6.3,6.0,3.9,3.5,1.7,3.6,3.9,1.0
Strathfield,"1,357","2,731",616,"1,137",829,833,447,293,399,7.9,15.9,3.6,6.6,4.8,4.9,2.6,1.7,2.3
Strathfield South,271,334,148,157,119,119,80,61,66,11.4,14.0,6.2,6.6,5.0,5.0,3.4,2.6,2.8
Summer Hill,515,"1,032",243,412,263,276,165,166,124,9.7,19.4,4.6,7.7,4.9,5.2,3.1,3.1,2.3
Surry Hills,"1,208","2,541",383,"1,055",522,850,268,152,300,9.2,19.4,2.9,8.1,4.0,6.5,2.0,1.2,2.3
Sutherland,"1,004","1,061",680,688,398,358,258,345,286,12.8,13.5,8.7,8.8,5.1,4.6,3.3,4.4,3.6
Swansea,199,138,246,121,169,45,155,166,39,5.1,3.6,6.3,3.1,4.4,1.2,4.0,4.3,1.0
Swansea Heads,36,46,46,38,34,23,15,18,3,7.4,9.4,9.4,7.8,7.0,4.7,3.1,3.7,0.6
Sydenham,93,79,55,65,56,19,62,36,9,10.7,9.1,6.3,7.5,6.4,2.2,7.1,4.1,1.0
Sydney,724,"1,845",159,935,370,"1,301",113,75,185,5.4,13.7,1.2,7.0,2.8,9.7,0.8,0.6,1.4
Sylvania,770,836,497,554,414,468,202,251,265,10.3,11.2,6.7,7.4,5.6,6.3,2.7,3.4,3.6
Sylvania Waters,266,291,173,245,154,229,62,97,137,9.7,10.7,6.3,9.0,5.6,8.4,2.3,3.6,5.0
Tacoma,49,35,48,35,29,9,41,36,13,9.8,7.0,9.6,7.0,5.8,1.8,8.2,7.2,2.6
Tacoma South,11,27,15,15,14,3,12,12,6,5.3,13.0,7.2,7.2,6.7,1.4,5.8,5.8,2.9
Tamarama,125,336,50,122,66,134,21,24,32,9.8,26.3,3.9,9.5,5.2,10.5,1.6,1.9,2.5
Taren Point,99,114,60,70,49,72,25,36,39,10.6,12.2,6.4,7.5,5.2,7.7,2.7,3.9,4.2
Tarrawanna,84,100,84,79,52,33,36,48,23,7.5,9.0,7.5,7.1,4.7,3.0,3.2,4.3,2.1
Tascott,154,144,122,87,86,51,56,50,40,11.5,10.8,9.1,6.5,6.4,3.8,4.2,3.7,3.0
Tempe,284,280,164,154,170,89,169,146,51,10.2,10.1,5.9,5.6,6.1,3.2,6.1,5.3,1.8
Teralba,90,50,99,54,39,13,55,62,17,7.9,4.4,8.7,4.7,3.4,1.1,4.8,5.4,1.5
Terrey Hills,257,293,181,215,125,208,84,54,107,11.4,13.0,8.0,9.5,5.5,9.2,3.7,2.4,4.7
Terrigal,690,"1,000",519,680,415,391,252,185,227,9.1,13.2,6.9,9.0,5.5,5.2,3.3,2.4,3.0
The Entrance,113,82,96,89,79,34,70,65,15,4.8,3.5,4.1,3.8,3.4,1.5,3.0,2.8,0.6
The Entrance North,56,45,73,45,44,23,41,30,24,6.2,5.0,8.1,5.0,4.9,2.5,4.5,3.3,2.6
The Hill,163,369,61,128,86,72,25,15,33,9.4,21.4,3.5,7.4,5.0,4.2,1.4,0.9,1.9
The Junction,101,147,59,69,50,41,23,18,23,9.4,13.6,5.5,6.4,4.6,3.8,2.1,1.7,2.1
Thirroul,387,742,339,316,195,212,131,156,114,8.7,16.6,7.6,7.1,4.4,4.7,2.9,3.5,2.5
Thornleigh,662,"1,188",315,466,316,428,160,127,190,11.1,19.8,5.3,7.8,5.3,7.1,2.7,2.1,3.2
Tighes Hill,74,128,62,71,48,15,58,45,9,6.3,11.0,5.3,6.1,4.1,1.3,5.0,3.9,0.8
Tingira Heights,216,204,208,159,138,93,84,95,66,9.8,9.3,9.4,7.2,6.3,4.2,3.8,4.3,3.0
Toongabbie,"1,285",995,818,674,608,308,476,667,253,12.7,9.9,8.1,6.7,6.0,3.1,4.7,6.6,2.5
Toowoon Bay,17,32,25,24,19,11,14,13,9,3.7,6.9,5.4,5.2,4.1,2.4,3.0,2.8,2.0
Toronto,258,227,214,181,179,58,144,136,50,6.3,5.5,5.2,4.4,4.4,1.4,3.5,3.3,1.2
Toukley,204,140,176,121,132,36,122,103,31,6.0,4.1,5.2,3.6,3.9,1.1,3.6,3.0,0.9
Towradgi,196,170,176,126,102,47,83,113,32,7.8,6.8,7.0,5.0,4.1,1.9,3.3,4.5,1.3
Tregear,194,70,132,49,109,15,163,234,31,7.1,2.6,4.8,1.8,4.0,0.5,6.0,8.5,1.1
Tuggerah,74,36,54,56,54,25,32,38,16,11.5,5.6,8.4,8.7,8.4,3.9,5.0,5.9,2.5
Tuggerawong,80,62,70,48,59,32,36,51,13,8.6,6.7,7.6,5.2,6.4,3.5,3.9,5.5,1.4
Tumbi Umbi,234,187,188,159,176,113,96,116,60,9.2,7.3,7.4,6.2,6.9,4.4,3.8,4.6,2.4
Turramurra,652,"1,695",218,571,373,784,114,84,197,7.9,20.6,2.7,6.9,4.5,9.5,1.4,1.0,2.4
Turrella,80,82,86,49,60,45,51,70,20,7.6,7.8,8.2,4.7,5.7,4.3,4.9,6.7,1.9
Ultimo,369,526,90,214,191,184,86,67,56,10.1,14.4,2.5,5.9,5.2,5.0,2.4,1.8,1.5
Umina Beach,"1,114",707,824,637,681,257,498,525,236,9.1,5.8,6.7,5.2,5.5,2.1,4.1,4.3,1.9
Unanderra,329,267,319,199,223,82,234,233,69,7.1,5.7,6.8,4.3,4.8,1.8,5.0,5.0,1.5
Valentine,417,560,290,332,275,212,113,122,127,10.3,13.9,7.2,8.2,6.8,5.3,2.8,3.0,3.1
Valley Heights,112,195,94,74,65,56,34,39,24,10.6,18.4,8.9,7.0,6.1,5.3,3.2,3.7,2.3
Vaucluse,560,"1,378",195,657,269,747,97,75,227,7.8,19.2,2.7,9.1,3.7,10.4,1.4,1.0,3.2
Villawood,286,169,248,133,209,49,278,293,35,5.5,3.2,4.7,2.5,4.0,0.9,5.3,5.6,0.7
Voyager Point,87,111,43,50,28,53,12,30,19,16.1,20.5,7.9,9.2,5.2,9.8,2.2,5.5,3.5
Wahroonga,"1,020","2,357",287,835,498,"1,047",187,125,381,8.4,19.5,2.4,6.9,4.1,8.6,1.5,1.0,3.1
Waitara,108,168,77,84,58,50,56,31,38,7.8,12.2,5.6,6.1,4.2,3.6,4.1,2.2,2.8
Wakeley,357,237,309,177,201,88,249,276,76,9.5,6.3,8.2,4.7,5.3,2.3,6.6,7.3,2.0
Wallsend,766,596,628,474,547,176,440,463,135,8.2,6.4,6.8,5.1,5.9,1.9,4.7,5.0,1.5
Wamberal,405,566,364,352,267,197,144,104,118,9.3,13.1,8.4,8.1,6.2,4.5,3.3,2.4,2.7
Warabrook,163,166,88,103,108,28,69,83,32,9.9,10.0,5.3,6.2,6.5,1.7,4.2,5.0,1.9
Waratah,239,278,170,138,197,48,126,128,39,6.4,7.4,4.5,3.7,5.3,1.3,3.4,3.4,1.0
Waratah West,191,160,133,97,135,29,132,99,39,8.3,6.9,5.8,4.2,5.8,1.3,5.7,4.3,1.7
Wareemba,105,160,55,102,64,108,26,28,34,8.6,13.1,4.5,8.4,5.3,8.9,2.1,2.3,2.8
Warilla,269,114,268,145,214,54,236,254,42,6.0,2.5,6.0,3.2,4.8,1.2,5.3,5.7,0.9
Warners Bay,459,480,420,304,304,154,198,261,113,8.6,9.0,7.9,5.7,5.7,2.9,3.7,4.9,2.1
Warrawee,152,396,34,164,89,199,3,18,67,8.1,21.1,1.8,8.7,4.7,10.6,0.2,1.0,3.6
Warrawong,155,108,224,84,190,27,218,191,17,3.9,2.7,5.7,2.1,4.8,0.7,5.5,4.8,0.4
Warriewood,287,305,251,188,157,178,111,89,82,11.8,12.6,10.4,7.8,6.5,7.3,4.6,3.7,3.4
Warrimoo,210,328,146,133,69,87,56,68,42,12.3,19.2,8.6,7.8,4.0,5.1,3.3,4.0,2.5
Warwick Farm,219,131,182,88,133,24,241,205,45,6.0,3.6,5.0,2.4,3.7,0.7,6.6,5.7,1.2
Watanobbi,212,127,161,128,152,64,130,120,39,9.3,5.5,7.0,5.6,6.6,2.8,5.7,5.2,1.7
Waterloo,243,180,73,110,140,66,101,98,18,5.5,4.1,1.6,2.5,3.2,1.5,2.3,2.2,0.4
Watsons Bay,41,109,24,104,21,61,12,6,24,7.2,19.2,4.2,18.3,3.7,10.7,2.1,1.1,4.2
Wattle Grove,913,870,890,688,323,335,198,335,211,13.8,13.2,13.5,10.4,4.9,5.1,3.0,5.1,3.2
Waverley,248,512,126,206,139,155,67,53,63,8.0,16.6,4.1,6.7,4.5,5.0,2.2,1.7,2.0
Waverton,255,853,60,267,114,321,21,22,98,8.9,29.8,2.1,9.3,4.0,11.2,0.7,0.8,3.4
Wentworthville,779,945,423,444,364,197,311,357,142,10.3,12.5,5.6,5.9,4.8,2.6,4.1,4.7,1.9
Werrington,331,157,203,145,179,62,161,196,52,12.2,5.8,7.5,5.3,6.6,2.3,5.9,7.2,1.9
Werrington County,473,219,336,258,269,114,169,254,119,14.8,6.8,10.5,8.1,8.4,3.6,5.3,7.9,3.7
Werrington Downs,371,212,291,226,191,86,143,224,84,14.3,8.2,11.2,8.7,7.4,3.3,5.5,8.7,3.2
West Gosford,103,99,77,110,51,36,42,41,27,7.5,7.2,5.6,8.0,3.7,2.6,3.0,3.0,2.0
West Hoxton,411,275,362,251,197,168,247,263,122,12.4,8.3,10.9,7.6,5.9,5.1,7.4,7.9,3.7
West Pennant Hills,"1,197","2,294",502,"1,049",626,"1,265",252,183,444,9.8,18.7,4.1,8.6,5.1,10.3,2.1,1.5,3.6
West Pymble,296,768,119,258,176,364,66,41,108,8.3,21.5,3.3,7.2,4.9,10.2,1.8,1.1,3.0
West Ryde,948,"1,325",511,655,485,436,364,315,205,10.7,15.0,5.8,7.4,5.5,4.9,4.1,3.6,2.3
West Wallsend,81,58,119,60,88,9,77,91,17,6.6,4.7,9.7,4.9,7.2,0.7,6.3,7.4,1.4
West Wollongong,327,458,242,247,198,106,118,137,59,8.9,12.4,6.6,6.7,5.4,2.9,3.2,3.7,1.6
Westleigh,376,668,135,286,181,331,74,67,122,11.6,20.6,4.2,8.8,5.6,10.2,2.3,2.1,3.8
Westmead,734,"1,116",312,400,348,189,255,255,123,9.0,13.7,3.8,4.9,4.3,2.3,3.1,3.1,1.5
Wetherill Park,545,321,450,264,302,118,329,370,131,10.7,6.3,8.9,5.2,5.9,2.3,6.5,7.3,2.6
Whalan,327,102,214,115,191,41,282,323,48,7.6,2.4,5.0,2.7,4.4,1.0,6.5,7.5,1.1
Whitebridge,189,214,169,132,135,86,60,80,49,10.4,11.8,9.3,7.3,7.4,4.7,3.3,4.4,2.7
Wickham,36,50,24,36,33,6,19,15,3,6.3,8.8,4.2,6.3,5.8,1.1,3.3,2.6,0.5
Wiley Park,441,332,402,206,377,75,377,431,61,6.8,5.1,6.2,3.2,5.8,1.2,5.8,6.6,0.9
Willmot,132,31,92,43,70,25,126,161,6,7.5,1.8,5.2,2.4,4.0,1.4,7.2,9.1,0.3
Willoughby,385,778,206,420,222,362,94,72,132,8.8,17.7,4.7,9.6,5.1,8.2,2.1,1.6,3.0
Willoughby East,106,261,48,105,58,126,17,20,44,8.5,21.0,3.9,8.4,4.7,10.1,1.4,1.6,3.5
Windale,68,17,56,26,87,4,116,77,3,3.1,0.8,2.5,1.2,3.9,0.2,5.3,3.5,0.1
Windang,107,79,132,81,103,29,65,109,26,5.4,4.0,6.6,4.1,5.2,1.5,3.3,5.5,1.3
Winmalee,556,757,376,359,276,294,181,181,152,11.7,15.9,7.9,7.5,5.8,6.2,3.8,3.8,3.2
Winston Hills,966,"1,047",515,611,420,453,217,275,255,13.4,14.5,7.1,8.5,5.8,6.3,3.0,3.8,3.5
Wollongong,996,"1,397",543,743,560,333,383,378,169,8.3,11.6,4.5,6.2,4.7,2.8,3.2,3.1,1.4
Wollstonecraft,689,"1,917",118,687,228,769,80,60,265,9.9,27.4,1.7,9.8,3.3,11.0,1.1,0.9,3.8
Wombarra,32,146,41,50,28,39,22,10,13,4.7,21.5,6.0,7.4,4.1,5.8,3.2,1.5,1.9
Woodbine,304,171,187,159,126,79,98,157,51,14.5,8.2,8.9,7.6,6.0,3.8,4.7,7.5,2.4
Woodcroft,548,464,241,261,261,135,183,240,68,14.9,12.6,6.6,7.1,7.1,3.7,5.0,6.5,1.9
Woodpark,112,67,93,68,67,32,49,83,29,11.4,6.8,9.5,6.9,6.8,3.3,5.0,8.4,3.0
Woodrising,109,80,105,79,84,24,57,66,13,10.8,7.9,10.4,7.8,8.3,2.4,5.6,6.5,1.3
Woollahra,446,"1,368",129,575,158,583,45,51,185,7.3,22.3,2.1,9.4,2.6,9.5,0.7,0.8,3.0
Woolloomooloo,219,396,69,246,102,174,47,39,69,8.1,14.7,2.6,9.1,3.8,6.5,1.7,1.4,2.6
Woolooware,574,742,406,504,337,454,159,167,266,10.1,13.1,7.2,8.9,6.0,8.0,2.8,2.9,4.7
Woolwich,49,155,18,58,28,92,6,3,12,7.2,22.9,2.7,8.6,4.1,13.6,0.9,0.4,1.8
Woonona,685,855,599,456,371,239,244,308,167,9.0,11.3,7.9,6.0,4.9,3.1,3.2,4.1,2.2
Woronora,186,208,141,133,77,108,48,46,62,13.3,14.8,10.0,9.5,5.5,7.7,3.4,3.3,4.4
Woronora Heights,284,297,223,199,138,191,61,88,135,13.7,14.3,10.8,9.6,6.7,9.2,2.9,4.2,6.5
Woy Woy,693,406,484,328,390,118,338,350,136,8.5,5.0,5.9,4.0,4.8,1.4,4.1,4.3,1.7
Woy Woy Bay,38,53,27,24,25,33,6,14,9,10.4,14.6,7.4,6.6,6.9,9.1,1.6,3.8,2.5
Wyoming,759,604,509,456,455,195,325,266,166,11.1,8.8,7.4,6.7,6.6,2.8,4.7,3.9,2.4
Wyong,160,118,135,107,112,59,148,128,46,6.3,4.6,5.3,4.2,4.4,2.3,5.8,5.0,1.8
Wyongah,83,110,111,75,80,44,69,70,31,6.6,8.7,8.8,5.9,6.3,3.5,5.5,5.5,2.5
Yagoona,945,667,767,473,594,242,543,699,214,8.4,5.9,6.8,4.2,5.3,2.1,4.8,6.2,1.9
Yarrawarrah,180,169,133,106,111,69,44,30,60,15.4,14.5,11.4,9.1,9.5,5.9,3.8,2.6,5.1
Yattalunga,33,40,25,40,24,17,28,19,12,7.2,8.8,5.5,8.8,5.3,3.7,6.1,4.2,2.6
Yennora,57,40,56,20,48,16,44,48,9,5.6,3.9,5.5,2.0,4.7,1.6,4.3,4.7,0.9
Yowie Bay,294,425,245,229,173,235,57,88,140,10.2,14.8,8.5,8.0,6.0,8.2,2.0,3.1,4.9
Zetland,45,80,26,54,29,37,17,14,11,8.9,15.9,5.2,10.7,5.8,7.4,3.4,2.8,2.2
