,"Intermediate Clerical, Sales and Service Workers",Professionals,Tradespersons and Related Workers,Associate Professionals,"Elementary Clerical, Sales and Service Workers",Managers and Administrators,Labourers and Related Workers,Intermediate Production and Transport Workers,Advanced Clerical and Service Workers,"Intermediate Clerical, Sales and Service Workers (%)",Professionals (%),Tradespersons and Related Workers (%),Associate Professionals (%),"Elementary Clerical, Sales and Service Workers (%)",Managers and Administrators (%),Labourers and Related Workers (%),Intermediate Production and Transport Workers (%),Advanced Clerical and Service Workers (%)
Mangerton,166,307,93,145,84,85,56,53,30,8.2,15.1,4.6,7.1,4.1,4.2,2.8,2.6,1.5
Manly,"1,066","2,340",495,"1,105",469,990,226,240,352,8.5,18.6,3.9,8.8,3.7,7.9,1.8,1.9,2.8
Manly Vale,490,574,317,342,225,212,201,160,115,12.1,14.1,7.8,8.4,5.5,5.2,5.0,3.9,2.8
Marayong,628,343,397,241,327,106,318,445,99,11.4,6.2,7.2,4.4,5.9,1.9,5.8,8.1,1.8
Mardi,198,179,122,118,114,86,84,88,44,11.1,10.0,6.8,6.6,6.4,4.8,4.7,4.9,2.5
Marks Point,110,85,84,85,52,40,41,63,22,7.9,6.1,6.0,6.1,3.7,2.9,2.9,4.5,1.6
Marmong Point,23,36,31,15,19,12,6,6,9,7.0,10.9,9.4,4.6,5.8,3.6,1.8,1.8,2.7
Maroubra,"2,112","2,838","1,146","1,519","1,242",966,602,667,592,9.8,13.2,5.3,7.1,5.8,4.5,2.8,3.1,2.8
Marrickville,"1,683","2,427","1,177","1,122","1,168",654,"1,045",937,298,8.1,11.7,5.7,5.4,5.6,3.2,5.0,4.5,1.4
Marsfield,"1,039","1,891",448,797,470,608,227,179,265,10.7,19.5,4.6,8.2,4.8,6.3,2.3,1.8,2.7
Maryland,615,396,449,303,389,124,292,377,99,12.5,8.0,9.1,6.1,7.9,2.5,5.9,7.6,2.0
Maryville,81,91,42,46,51,19,35,31,6,9.1,10.2,4.7,5.2,5.7,2.1,3.9,3.5,0.7
Mascot,704,442,468,407,402,271,429,459,166,10.7,6.7,7.1,6.2,6.1,4.1,6.5,7.0,2.5
Matraville,792,594,515,492,470,244,276,332,202,11.2,8.4,7.3,7.0,6.7,3.5,3.9,4.7,2.9
Mayfield,529,447,412,307,388,87,389,338,59,7.2,6.0,5.6,4.1,5.2,1.2,5.3,4.6,0.8
Mayfield East,102,77,65,53,70,19,64,61,16,8.5,6.4,5.4,4.4,5.8,1.6,5.3,5.1,1.3
Mayfield West,121,94,103,64,74,30,93,64,19,8.5,6.6,7.2,4.5,5.2,2.1,6.5,4.5,1.3
Mays Hill,35,37,31,25,39,12,22,16,10,6.7,7.1,5.9,4.8,7.4,2.3,4.2,3.1,1.9
McMahons Point,124,566,48,183,52,245,9,3,47,6.4,29.2,2.5,9.4,2.7,12.6,0.5,0.2,2.4
Meadowbank,245,275,90,144,121,69,65,78,52,13.5,15.1,4.9,7.9,6.6,3.8,3.6,4.3,2.9
Melrose Park,162,216,122,119,92,73,57,62,43,10.5,14.0,7.9,7.7,5.9,4.7,3.7,4.0,2.8
Menai,"1,080","1,012",611,676,487,570,179,297,312,14.5,13.6,8.2,9.1,6.6,7.7,2.4,4.0,4.2
