,People,Male,Female,Australian citizenship,People born overseas,Overseas visitors (excluded from people counts),Families,All private dwellings (including unoccupied)
Cardiff Heights,1778.0,850.0,928.0,1711.0,236.0,3.0,511.0,704.0
Cardiff South,2683.0,1318.0,1365.0,2566.0,250.0,6.0,759.0,1073.0
Caringbah,20588.0,9973.0,10615.0,18749.0,3263.0,77.0,5749.0,8492.0
Carlingford,19459.0,9556.0,9903.0,16911.0,7343.0,219.0,5472.0,6843.0
Carlton,9541.0,4710.0,4831.0,7966.0,4001.0,87.0,2561.0,3689.0
Carramar,3108.0,1582.0,1526.0,2416.0,1673.0,18.0,711.0,1294.0
Carrington,1609.0,798.0,811.0,1455.0,132.0,0.0,376.0,805.0
Carss Park,1150.0,551.0,599.0,1075.0,246.0,6.0,325.0,455.0
Cartwright,2259.0,1158.0,1101.0,1854.0,756.0,3.0,557.0,934.0
Castle Cove,2323.0,1122.0,1201.0,2001.0,852.0,38.0,669.0,887.0
Castle Hill,31530.0,15118.0,16412.0,27817.0,8817.0,238.0,8469.0,10585.0
Castlecrag,2643.0,1260.0,1383.0,2312.0,873.0,40.0,780.0,1037.0
Casula,11193.0,5541.0,5652.0,9806.0,4038.0,61.0,3072.0,3837.0
Caves Beach,4118.0,1994.0,2124.0,3862.0,380.0,0.0,1199.0,1617.0
Cecil Hills,5816.0,2890.0,2926.0,5161.0,2488.0,15.0,1486.0,1581.0
Centennial Park,2101.0,1049.0,1052.0,1519.0,696.0,41.0,413.0,1274.0
Charlestown,11335.0,5450.0,5885.0,10670.0,1260.0,24.0,3267.0,4751.0
Charmhaven,2244.0,1073.0,1171.0,2038.0,276.0,3.0,631.0,893.0
Chatswood,10218.0,4752.0,5466.0,7430.0,4995.0,362.0,2561.0,4266.0
Chatswood West,7492.0,3642.0,3850.0,5990.0,2962.0,139.0,2074.0,3184.0
Cheltenham,1977.0,941.0,1036.0,1814.0,440.0,12.0,575.0,697.0
Cherrybrook,18601.0,8964.0,9637.0,15856.0,7216.0,158.0,5110.0,5905.0
Chester Hill,9955.0,5026.0,4929.0,8328.0,3636.0,38.0,2485.0,3512.0
Chifley,2986.0,1480.0,1506.0,2591.0,746.0,15.0,816.0,1151.0
Chippendale,3299.0,1836.0,1463.0,1987.0,1195.0,610.0,524.0,1793.0
Chipping Norton,8990.0,4539.0,4451.0,8119.0,2500.0,36.0,2457.0,2958.0
Chiswick,1309.0,626.0,683.0,1132.0,391.0,6.0,365.0,653.0
Chittaway Bay,1987.0,972.0,1015.0,1865.0,208.0,6.0,563.0,757.0
Chittaway Point,796.0,405.0,391.0,701.0,90.0,3.0,212.0,350.0
Church Point,1119.0,554.0,565.0,988.0,292.0,21.0,343.0,446.0
Claremont Meadows,3482.0,1704.0,1778.0,3108.0,900.0,12.0,945.0,1097.0
Claymore,3572.0,1632.0,1940.0,2658.0,909.0,8.0,824.0,1067.0
Clontarf,1635.0,808.0,827.0,1314.0,401.0,29.0,448.0,582.0
Clovelly,4359.0,2121.0,2238.0,3717.0,1119.0,60.0,1147.0,2034.0
Coal Point,1671.0,821.0,850.0,1574.0,174.0,6.0,510.0,704.0
Coledale,899.0,446.0,453.0,802.0,112.0,3.0,264.0,392.0
Collaroy,13167.0,6447.0,6720.0,11759.0,2704.0,137.0,3601.0,5135.0
Colyton,8137.0,4130.0,4007.0,7059.0,2011.0,23.0,2221.0,2791.0
Como,3673.0,1833.0,1840.0,3454.0,524.0,6.0,1063.0,1322.0
Concord,13312.0,6503.0,6809.0,11786.0,4227.0,98.0,3606.0,4964.0
Concord West,5924.0,2891.0,3033.0,5227.0,1732.0,44.0,1510.0,2057.0
Condell Park,8972.0,4509.0,4463.0,8074.0,3485.0,41.0,2356.0,3065.0
Coniston,1860.0,952.0,908.0,1615.0,666.0,7.0,470.0,814.0
Connells Point,2817.0,1370.0,1447.0,2564.0,653.0,25.0,820.0,1059.0
Coogee,13398.0,6457.0,6941.0,10232.0,3992.0,766.0,3094.0,7012.0
Cooks Hill,2522.0,1209.0,1313.0,2227.0,348.0,13.0,536.0,1373.0
Copacabana,2742.0,1359.0,1383.0,2502.0,346.0,13.0,760.0,1355.0
Cordeaux Heights,4862.0,2461.0,2401.0,4552.0,997.0,8.0,1317.0,1449.0
Corrimal,9493.0,4720.0,4773.0,8483.0,2024.0,28.0,2664.0,4187.0
Cranebrook,13074.0,6452.0,6622.0,11676.0,2103.0,19.0,3520.0,4228.0
Cremorne,10197.0,4629.0,5568.0,7832.0,3557.0,235.0,2476.0,5925.0
Cremorne Point,1787.0,826.0,961.0,1321.0,531.0,55.0,449.0,1101.0
Cringila,2350.0,1225.0,1125.0,2069.0,1204.0,4.0,617.0,865.0
Cromer,6936.0,3405.0,3531.0,6237.0,1493.0,57.0,1946.0,2469.0
Cronulla,16281.0,8138.0,8143.0,14193.0,2785.0,147.0,4182.0,9010.0
Croudace Bay,384.0,193.0,191.0,368.0,42.0,0.0,123.0,163.0
Crows Nest,3296.0,1587.0,1709.0,2550.0,1065.0,50.0,813.0,1834.0
Croydon,9095.0,4505.0,4590.0,7625.0,3503.0,81.0,2317.0,3438.0
Croydon Park,10549.0,5032.0,5517.0,9021.0,4188.0,88.0,2803.0,4220.0
Curl Curl,1845.0,922.0,923.0,1598.0,348.0,18.0,470.0,704.0
Currans Hill,4404.0,2172.0,2232.0,3993.0,712.0,9.0,1224.0,1476.0
Daceyville,1221.0,515.0,706.0,1075.0,366.0,8.0,282.0,606.0
Daleys Point,456.0,208.0,248.0,430.0,72.0,3.0,160.0,267.0
Dapto,10781.0,5399.0,5382.0,9629.0,2203.0,14.0,3122.0,4193.0
Darling Point,4073.0,1805.0,2268.0,3227.0,1299.0,148.0,964.0,2711.0
Darlinghurst,9176.0,5569.0,3607.0,5476.0,2773.0,990.0,1280.0,5471.0
Darlington,2042.0,1087.0,955.0,1462.0,739.0,188.0,352.0,889.0
Davidson,2544.0,1259.0,1285.0,2289.0,642.0,13.0,728.0,813.0
Davistown,1929.0,944.0,985.0,1817.0,159.0,10.0,552.0,903.0
Dawes Point,345.0,197.0,148.0,221.0,95.0,34.0,34.0,122.0
Dean Park,3281.0,1654.0,1627.0,2930.0,1304.0,14.0,840.0,971.0
Dee Why,16434.0,8114.0,8320.0,12899.0,5719.0,172.0,4359.0,8139.0
Denistone,3485.0,1679.0,1806.0,3142.0,893.0,25.0,947.0,1222.0
Denistone East,1935.0,946.0,989.0,1688.0,607.0,19.0,540.0,710.0
Denistone West,781.0,368.0,413.0,729.0,208.0,3.0,205.0,242.0
Dharruk,2866.0,1406.0,1460.0,2444.0,887.0,13.0,745.0,898.0
Dolans Bay,1134.0,565.0,569.0,1040.0,158.0,7.0,320.0,383.0
Dolls Point,1214.0,561.0,653.0,1023.0,324.0,8.0,306.0,687.0
Doonside,13652.0,6743.0,6909.0,11758.0,4811.0,67.0,3588.0,4402.0
Double Bay,3222.0,1431.0,1791.0,2390.0,975.0,123.0,714.0,1739.0
Dover Heights,3348.0,1544.0,1804.0,2894.0,1363.0,58.0,910.0,1269.0
Drummoyne,10298.0,4838.0,5460.0,8596.0,2375.0,111.0,2561.0,5073.0
Dudley,2261.0,1130.0,1131.0,2135.0,187.0,7.0,676.0,889.0
Dulwich Hill,12469.0,6124.0,6345.0,10050.0,5537.0,117.0,3241.0,5482.0
Dundas,9579.0,4708.0,4871.0,7942.0,3485.0,88.0,2543.0,3919.0
Dundas Valley,6744.0,3301.0,3443.0,5616.0,2388.0,48.0,1773.0,2663.0
Dural,3789.0,1831.0,1958.0,3317.0,1117.0,31.0,1012.0,1366.0
Eagle Vale,5897.0,2959.0,2938.0,5103.0,1592.0,26.0,1490.0,1748.0
Earlwood,16846.0,8302.0,8544.0,14590.0,6633.0,82.0,4631.0,6273.0
East Gosford,3332.0,1523.0,1809.0,3035.0,542.0,11.0,877.0,1753.0
East Hills,2542.0,1244.0,1298.0,2317.0,493.0,9.0,707.0,1030.0
East Killara,2858.0,1417.0,1441.0,2352.0,1418.0,47.0,823.0,981.0
East Lindfield,3387.0,1593.0,1794.0,2982.0,1121.0,41.0,936.0,1237.0
East Ryde,2247.0,1100.0,1147.0,2081.0,548.0,14.0,677.0,827.0
Eastern Creek,545.0,280.0,265.0,470.0,111.0,0.0,145.0,195.0
Eastlakes,7037.0,3465.0,3572.0,5279.0,3853.0,71.0,1852.0,2865.0
Eastwood,14084.0,6809.0,7275.0,11461.0,5900.0,248.0,3795.0,5380.0
Edensor Park,9315.0,4661.0,4654.0,8317.0,4598.0,23.0,2431.0,2642.0
Edgecliff,2771.0,1156.0,1615.0,2173.0,891.0,67.0,539.0,1790.0
Edgeworth,7771.0,3789.0,3982.0,7293.0,579.0,8.0,2152.0,2889.0
Elanora Heights,3752.0,1868.0,1884.0,3387.0,759.0,47.0,1063.0,1293.0
