,People,Male,Female,Australian citizenship,People born overseas,Overseas visitors (excluded from people counts),Families,All private dwellings (including unoccupied)
Kogarah,10843.0,5217.0,5626.0,7878.0,5036.0,141.0,2665.0,4443.0
Kogarah Bay,1870.0,914.0,956.0,1655.0,535.0,12.0,524.0,685.0
Koolewong,788.0,409.0,379.0,556.0,127.0,6.0,186.0,388.0
Koonawarra,3760.0,1883.0,1877.0,3264.0,803.0,13.0,1090.0,1304.0
Kotara,3809.0,1820.0,1989.0,3606.0,366.0,9.0,1163.0,1599.0
Kotara South,1123.0,527.0,596.0,1065.0,115.0,3.0,353.0,475.0
Kurnell,2134.0,1077.0,1057.0,1864.0,343.0,12.0,578.0,807.0
Kyeemagh,843.0,423.0,420.0,741.0,289.0,8.0,240.0,327.0
Kyle Bay,1238.0,618.0,620.0,1163.0,247.0,6.0,357.0,443.0
La Perouse,418.0,227.0,191.0,389.0,73.0,3.0,103.0,128.0
Lake Haven,3458.0,1585.0,1873.0,3170.0,472.0,3.0,978.0,1485.0
Lake Heights,3689.0,1828.0,1861.0,3171.0,1399.0,7.0,1065.0,1524.0
Lake Illawarra,3257.0,1554.0,1703.0,2872.0,685.0,0.0,884.0,1542.0
Lakelands,1569.0,751.0,818.0,1474.0,171.0,6.0,421.0,513.0
Lakemba,14466.0,7456.0,7010.0,10348.0,8384.0,107.0,3444.0,5460.0
Lalor Park,7441.0,3731.0,3710.0,6576.0,1522.0,14.0,2028.0,3061.0
Lambton,4540.0,2153.0,2387.0,4221.0,556.0,15.0,1235.0,2023.0
Lane Cove,8050.0,3667.0,4383.0,6736.0,2470.0,99.0,2007.0,3743.0
Lane Cove North,8517.0,4080.0,4437.0,6958.0,2985.0,103.0,2187.0,4115.0
Lane Cove West,2104.0,1025.0,1079.0,1841.0,646.0,19.0,575.0,858.0
Lansvale,2424.0,1237.0,1187.0,2139.0,1008.0,17.0,663.0,833.0
Lapstone,894.0,455.0,439.0,846.0,141.0,3.0,287.0,355.0
Lavender Bay,1069.0,509.0,560.0,829.0,322.0,70.0,235.0,604.0
Leichhardt,12487.0,5901.0,6586.0,10467.0,3744.0,121.0,3202.0,5905.0
Leonay,2502.0,1256.0,1246.0,2279.0,481.0,6.0,743.0,878.0
Lethbridge Park,4868.0,2372.0,2496.0,4018.0,954.0,0.0,1228.0,1731.0
Leumeah,9045.0,4513.0,4532.0,7928.0,2053.0,36.0,2486.0,3376.0
Lewisham,2930.0,1399.0,1531.0,2455.0,946.0,19.0,676.0,1267.0
Liberty Grove,1368.0,682.0,686.0,1003.0,665.0,36.0,400.0,669.0
Lidcombe,12743.0,6443.0,6300.0,10022.0,7168.0,142.0,3203.0,4281.0
Lilli Pilli,2135.0,1049.0,1086.0,1982.0,271.0,9.0,608.0,721.0
Lilyfield,6945.0,3275.0,3670.0,5888.0,1862.0,82.0,1722.0,3066.0
Lindfield,8194.0,3761.0,4433.0,7122.0,2480.0,142.0,2108.0,3075.0
Linley Point,360.0,170.0,190.0,332.0,104.0,0.0,106.0,135.0
Lisarow,4731.0,2292.0,2439.0,4241.0,733.0,25.0,1247.0,1526.0
Little Bay,1902.0,933.0,969.0,1648.0,509.0,12.0,489.0,756.0
Liverpool,20486.0,10296.0,10190.0,15167.0,11776.0,110.0,5265.0,7929.0
Loftus,3900.0,1970.0,1930.0,3670.0,461.0,11.0,1154.0,1421.0
Long Jetty,5322.0,2524.0,2798.0,4709.0,570.0,15.0,1355.0,2980.0
Long Point,358.0,171.0,187.0,319.0,70.0,0.0,101.0,116.0
Longueville,2034.0,1007.0,1027.0,1842.0,346.0,16.0,540.0,686.0
Lugarno,5529.0,2729.0,2800.0,5167.0,1010.0,14.0,1631.0,1982.0
Lurnea,8006.0,3983.0,4023.0,6878.0,2746.0,20.0,2154.0,2770.0
Macquarie Fields,13713.0,6646.0,7067.0,11622.0,3925.0,42.0,3618.0,4781.0
Macquarie Hills,2518.0,1250.0,1268.0,2415.0,196.0,7.0,742.0,882.0
Macquarie Links,326.0,172.0,154.0,286.0,112.0,6.0,86.0,97.0
Macquarie Park,6012.0,2746.0,3266.0,4223.0,2611.0,478.0,1109.0,2838.0
Malabar,4550.0,2695.0,1855.0,3172.0,1104.0,32.0,938.0,1446.0
Mangerton,2531.0,1233.0,1298.0,2275.0,549.0,22.0,664.0,1171.0
Manly,14160.0,7098.0,7062.0,9708.0,4497.0,762.0,3069.0,7747.0
Manly Vale,4935.0,2401.0,2534.0,4058.0,1585.0,39.0,1335.0,2226.0
Marayong,7073.0,3533.0,3540.0,6180.0,2265.0,27.0,1883.0,2497.0
Mardi,2405.0,1168.0,1237.0,2069.0,476.0,8.0,689.0,894.0
Marks Point,1683.0,783.0,900.0,1549.0,134.0,3.0,456.0,874.0
Marmong Point,401.0,199.0,202.0,383.0,36.0,0.0,122.0,192.0
Maroubra,25350.0,12276.0,13074.0,20397.0,9670.0,373.0,6599.0,10896.0
Marrickville,24833.0,12359.0,12474.0,19551.0,11422.0,255.0,5944.0,9952.0
Marsfield,11258.0,5396.0,5862.0,9084.0,4720.0,269.0,2952.0,4955.0
Maryland,6878.0,3378.0,3500.0,6506.0,617.0,19.0,1976.0,2384.0
Maryville,1033.0,497.0,536.0,967.0,118.0,3.0,259.0,536.0
Mascot,8004.0,4085.0,3919.0,6514.0,3338.0,96.0,2061.0,2879.0
Matraville,8637.0,4116.0,4521.0,7480.0,3033.0,57.0,2348.0,3260.0
Mayfield,9020.0,4390.0,4630.0,8204.0,1201.0,35.0,2164.0,4269.0
Mayfield East,1471.0,716.0,755.0,1321.0,175.0,4.0,352.0,735.0
Mayfield West,1706.0,868.0,838.0,1565.0,197.0,8.0,432.0,784.0
Mays Hill,662.0,323.0,339.0,457.0,235.0,3.0,146.0,267.0
McMahons Point,2096.0,1051.0,1045.0,1504.0,643.0,121.0,503.0,1360.0
Meadowbank,2061.0,1026.0,1035.0,1411.0,1025.0,24.0,484.0,1148.0
Melrose Park,1988.0,963.0,1025.0,1796.0,524.0,8.0,549.0,722.0
Menai,10559.0,5181.0,5378.0,9490.0,2222.0,35.0,2866.0,3412.0
Merewether,9964.0,4819.0,5145.0,9374.0,985.0,48.0,2486.0,4800.0
Merewether Heights,1295.0,641.0,654.0,1230.0,108.0,7.0,422.0,539.0
Merrylands,19698.0,9883.0,9815.0,15830.0,8497.0,106.0,5123.0,7551.0
Merrylands West,5487.0,2603.0,2884.0,4709.0,1975.0,30.0,1370.0,2142.0
Middle Cove,952.0,472.0,480.0,834.0,301.0,11.0,276.0,378.0
Miller,3155.0,1501.0,1654.0,2638.0,993.0,6.0,769.0,1206.0
Millers Point,1231.0,658.0,573.0,906.0,374.0,70.0,258.0,821.0
Milperra,3934.0,2019.0,1915.0,3707.0,516.0,13.0,1162.0,1328.0
Milsons Point,1297.0,671.0,626.0,809.0,623.0,160.0,339.0,936.0
Minchinbury,5245.0,2564.0,2681.0,4605.0,1710.0,16.0,1369.0,1528.0
Minmi,644.0,316.0,328.0,611.0,46.0,0.0,193.0,220.0
Minto,11302.0,5508.0,5794.0,9250.0,3207.0,32.0,2904.0,3824.0
Miranda,12429.0,5878.0,6551.0,10869.0,2904.0,67.0,3470.0,5598.0
Mona Vale,9281.0,4506.0,4775.0,8112.0,2138.0,66.0,2462.0,3717.0
Monterey,4049.0,1939.0,2110.0,3463.0,1380.0,23.0,1079.0,1923.0
Moorebank,5960.0,3001.0,2959.0,5373.0,1615.0,26.0,1711.0,2170.0
Mortdale,9210.0,4505.0,4705.0,7983.0,2767.0,60.0,2446.0,4026.0
Mortlake,360.0,190.0,170.0,311.0,82.0,3.0,110.0,185.0
Mosman,24821.0,11419.0,13402.0,20230.0,7418.0,407.0,6457.0,12417.0
Mount Annan,6642.0,3300.0,3342.0,6008.0,1044.0,23.0,1863.0,2109.0
Mount Colah,6863.0,3356.0,3507.0,6168.0,1743.0,39.0,1917.0,2326.0
Mount Druitt,11555.0,5819.0,5736.0,9048.0,5179.0,57.0,2943.0,3980.0
Mount Hutton,3014.0,1434.0,1580.0,2778.0,271.0,6.0,828.0,1188.0
Mount Keira,1386.0,696.0,690.0,1255.0,278.0,3.0,412.0,513.0
Mount Kembla,921.0,475.0,446.0,875.0,139.0,9.0,263.0,335.0
Mount Lewis,1106.0,529.0,577.0,987.0,402.0,3.0,280.0,346.0
Mount Ousley,1750.0,840.0,910.0,1620.0,342.0,8.0,517.0,688.0
Mount Pleasant,928.0,461.0,467.0,835.0,186.0,0.0,267.0,345.0
Mount Pritchard,8948.0,4449.0,4499.0,7812.0,3429.0,29.0,2365.0,3049.0
Mount Riverview,3096.0,1577.0,1519.0,2900.0,517.0,8.0,898.0,1098.0
Mount Saint Thomas,1552.0,724.0,828.0,1379.0,343.0,10.0,421.0,642.0
Mount Warrigal,5560.0,2739.0,2821.0,4978.0,1333.0,10.0,1610.0,1933.0
Narara,8092.0,3937.0,4155.0,7370.0,1227.0,40.0,2207.0,2823.0
Narellan,3644.0,1783.0,1861.0,3338.0,475.0,15.0,996.0,1268.0
Narellan Vale,6962.0,3404.0,3558.0,6227.0,998.0,16.0,1945.0,2280.0
Naremburn,4863.0,2316.0,2547.0,3989.0,1605.0,77.0,1317.0,2336.0
Narrabeen,6362.0,3095.0,3267.0,5416.0,1268.0,39.0,1562.0,3228.0
Narraweena,5256.0,2507.0,2749.0,4671.0,1384.0,34.0,1443.0,2087.0
Narwee,3943.0,1852.0,2091.0,3244.0,1597.0,31.0,1081.0,1589.0
Neutral Bay,9601.0,4487.0,5114.0,7141.0,3271.0,203.0,2215.0,5820.0
New Lambton,9010.0,4320.0,4690.0,8389.0,883.0,42.0,2454.0,4224.0
New Lambton Heights,2900.0,1420.0,1480.0,2710.0,319.0,23.0,704.0,895.0
Newcastle,1748.0,880.0,868.0,1249.0,228.0,71.0,231.0,848.0
Newcastle East,914.0,472.0,442.0,769.0,177.0,50.0,154.0,524.0
Newcastle West,174.0,116.0,58.0,123.0,24.0,3.0,10.0,72.0
Newington,2943.0,2146.0,797.0,727.0,1080.0,26.0,309.0,701.0
Newport,8939.0,4353.0,4586.0,7741.0,1886.0,66.0,2506.0,3943.0
Newtown,12457.0,6374.0,6083.0,9698.0,3704.0,294.0,2645.0,6647.0
Niagara Park,2368.0,1165.0,1203.0,2151.0,330.0,4.0,642.0,858.0
Norah Head,1104.0,565.0,539.0,1035.0,104.0,0.0,296.0,521.0
Noraville,2494.0,1247.0,1247.0,2321.0,268.0,7.0,684.0,1207.0
Normanhurst,4462.0,2005.0,2457.0,4031.0,1106.0,33.0,1161.0,1624.0
North Avoca,2149.0,1084.0,1065.0,1979.0,300.0,29.0,605.0,1083.0
North Balgowlah,3154.0,1553.0,1601.0,2830.0,728.0,32.0,913.0,1162.0
North Bondi,8218.0,4010.0,4208.0,6576.0,2972.0,193.0,2024.0,3995.0
North Curl Curl,3169.0,1623.0,1546.0,2817.0,669.0,31.0,874.0,1189.0
North Epping,4145.0,2027.0,2118.0,3744.0,1084.0,25.0,1181.0,1499.0
North Gosford,3238.0,1518.0,1720.0,2887.0,513.0,11.0,858.0,1311.0
North Lambton,2991.0,1469.0,1522.0,2709.0,398.0,13.0,806.0,1288.0
North Manly,2605.0,1284.0,1321.0,2213.0,738.0,26.0,709.0,954.0
North Narrabeen,5445.0,2742.0,2703.0,4782.0,1026.0,41.0,1474.0,2042.0
North Parramatta,8710.0,4625.0,4085.0,6543.0,3078.0,91.0,1783.0,3640.0
North Rocks,7229.0,3558.0,3671.0,6571.0,1986.0,32.0,2140.0,2517.0
North Ryde,9860.0,4768.0,5092.0,8809.0,2975.0,80.0,2725.0,3692.0
North St Marys,3797.0,1899.0,1898.0,3319.0,850.0,10.0,1037.0,1363.0
North Strathfield,3052.0,1475.0,1577.0,2427.0,1356.0,58.0,831.0,1237.0
North Sydney,5490.0,2748.0,2742.0,3950.0,1856.0,170.0,1076.0,3101.0
North Turramurra,3681.0,1649.0,2032.0,3249.0,1039.0,38.0,957.0,1273.0
North Wahroonga,2229.0,1108.0,1121.0,1982.0,702.0,20.0,648.0,727.0
North Willoughby,3716.0,1786.0,1930.0,3153.0,1341.0,34.0,1024.0,1596.0
North Wollongong,2018.0,1103.0,915.0,1459.0,720.0,159.0,312.0,906.0
Northbridge,5795.0,2790.0,3005.0,5032.0,1536.0,44.0,1567.0,2156.0
Northmead,6619.0,3290.0,3329.0,5915.0,1491.0,28.0,1894.0,2672.0
Northwood,932.0,461.0,471.0,824.0,184.0,12.0,253.0,323.0
Oak Flats,6664.0,3324.0,3340.0,5997.0,1392.0,11.0,1900.0,2451.0
Oakhurst,6349.0,3146.0,3203.0,5421.0,2427.0,28.0,1630.0,1862.0
Oatlands,4912.0,2357.0,2555.0,4351.0,1451.0,43.0,1301.0,1752.0
Oatley,9391.0,4565.0,4826.0,8755.0,1721.0,48.0,2646.0,3691.0
Old Guildford,2163.0,1078.0,1085.0,1885.0,847.0,7.0,544.0,689.0
Old Toongabbie,5009.0,2430.0,2579.0,4465.0,1351.0,28.0,1356.0,1922.0
Ourimbah,2691.0,1340.0,1351.0,2444.0,372.0,8.0,731.0,1019.0
Oxley Park,2415.0,1186.0,1229.0,2126.0,611.0,5.0,671.0,915.0
Oyster Bay,5463.0,2720.0,2743.0,5131.0,779.0,19.0,1574.0,1915.0
Paddington,11502.0,5744.0,5758.0,8448.0,3627.0,315.0,2493.0,6353.0
Padstow,12103.0,5909.0,6194.0,11001.0,3336.0,60.0,3377.0,4706.0
Padstow Heights,3408.0,1626.0,1782.0,3171.0,668.0,10.0,956.0,1244.0
Pagewood,3350.0,1614.0,1736.0,2913.0,1124.0,36.0,928.0,1273.0
Palm Beach,1601.0,800.0,801.0,1218.0,270.0,13.0,396.0,1106.0
Panania,10808.0,5248.0,5560.0,9929.0,2186.0,45.0,3008.0,4139.0
Parramatta,17982.0,9311.0,8671.0,11716.0,9157.0,310.0,4145.0,8003.0
Peakhurst,8039.0,3791.0,4248.0,7404.0,1773.0,24.0,2173.0,3177.0
Peakhurst Heights,2357.0,1169.0,1188.0,2236.0,383.0,5.0,722.0,850.0
Pearl Beach,160.0,63.0,97.0,144.0,30.0,10.0,41.0,288.0
Pelican,822.0,421.0,401.0,782.0,32.0,0.0,250.0,363.0
Pendle Hill,9059.0,4335.0,4724.0,7556.0,3019.0,51.0,2349.0,3597.0
Pennant Hills,6119.0,3001.0,3118.0,5534.0,1674.0,89.0,1704.0,2273.0
Penrith,11563.0,5532.0,6031.0,9720.0,2394.0,57.0,2797.0,5291.0
Penrose,1519.0,741.0,778.0,1346.0,328.0,3.0,425.0,578.0
Penshurst,10892.0,5193.0,5699.0,9283.0,4002.0,109.0,2936.0,4630.0
Petersham,6567.0,3287.0,3280.0,5370.0,2117.0,72.0,1511.0,3120.0
Phillip Bay,702.0,321.0,381.0,647.0,180.0,6.0,184.0,234.0
Picnic Point,5201.0,2584.0,2617.0,4863.0,770.0,18.0,1503.0,1850.0
Plumpton,6792.0,3419.0,3373.0,5762.0,2998.0,46.0,1717.0,1966.0
Point Clare,3188.0,1495.0,1693.0,2859.0,524.0,13.0,867.0,1371.0
Point Frederick,1628.0,759.0,869.0,1465.0,299.0,6.0,412.0,883.0
Point Piper,1374.0,624.0,750.0,1075.0,456.0,15.0,339.0,749.0
Port Kembla,4574.0,2359.0,2215.0,4061.0,1531.0,8.0,1248.0,1955.0
Potts Point,7165.0,3972.0,3193.0,4176.0,2304.0,1842.0,937.0,4527.0
Prairiewood,3304.0,1618.0,1686.0,2955.0,1653.0,17.0,840.0,906.0
Prestons,8464.0,4247.0,4217.0,7271.0,3365.0,48.0,2298.0,2634.0
Primbee,1563.0,792.0,771.0,1378.0,410.0,0.0,444.0,657.0
Prospect,4278.0,2145.0,2133.0,3830.0,1506.0,24.0,1189.0,1423.0
Punchbowl,17123.0,8620.0,8503.0,14457.0,8024.0,74.0,4254.0,5610.0
Putney,2877.0,1438.0,1439.0,2620.0,676.0,18.0,816.0,1037.0
Pymble,9258.0,4291.0,4967.0,8119.0,2739.0,108.0,2561.0,3169.0
Pyrmont,7861.0,4095.0,3766.0,4330.0,3402.0,507.0,1617.0,4542.0
Quakers Hill,22893.0,11210.0,11683.0,19871.0,7042.0,105.0,6137.0,7504.0
Queens Park,2661.0,1249.0,1412.0,2251.0,829.0,36.0,712.0,1249.0
Raby,6354.0,3191.0,3163.0,5691.0,1463.0,28.0,1710.0,1994.0
Ramsgate,725.0,366.0,359.0,620.0,175.0,0.0,203.0,274.0
Ramsgate Beach,1351.0,589.0,762.0,1152.0,362.0,3.0,362.0,778.0
Randwick,26334.0,12556.0,13778.0,20187.0,9579.0,828.0,5852.0,12130.0
Rankin Park,2552.0,1230.0,1322.0,2425.0,289.0,12.0,777.0,934.0
Redfern,10969.0,6103.0,4866.0,7867.0,4159.0,233.0,2171.0,6003.0
Redhead,3196.0,1592.0,1604.0,3020.0,331.0,3.0,901.0,1354.0
Regents Park,3828.0,1908.0,1920.0,3227.0,1714.0,31.0,971.0,1425.0
Regentville,778.0,402.0,376.0,712.0,100.0,0.0,213.0,276.0
Revesby,11181.0,5462.0,5719.0,10200.0,2880.0,52.0,3046.0,4224.0
Revesby Heights,1264.0,586.0,678.0,1143.0,133.0,8.0,355.0,475.0
Rhodes,734.0,337.0,397.0,620.0,181.0,8.0,183.0,263.0
Riverstone,6325.0,3160.0,3165.0,5562.0,1005.0,20.0,1683.0,2259.0
Riverview,3235.0,1739.0,1496.0,2977.0,664.0,32.0,822.0,1021.0
Riverwood,10416.0,5072.0,5344.0,8700.0,4289.0,92.0,2748.0,4399.0
Rockdale,11429.0,5776.0,5653.0,8537.0,5728.0,159.0,2929.0,4492.0
Rocky Point,221.0,120.0,101.0,222.0,17.0,0.0,62.0,98.0
Rodd Point,1241.0,585.0,656.0,1130.0,340.0,6.0,357.0,519.0
Rooty Hill,11125.0,5419.0,5706.0,9386.0,4336.0,48.0,2813.0,3459.0
Rose Bay,8843.0,4057.0,4786.0,6608.0,3243.0,133.0,2104.0,4270.0
Rosebery,6964.0,3469.0,3495.0,5329.0,3322.0,74.0,1825.0,2652.0
Roselands,9918.0,4852.0,5066.0,8499.0,3497.0,49.0,2687.0,3713.0
Rosemeadow,7942.0,3908.0,4034.0,6801.0,1986.0,11.0,2062.0,2447.0
Roseville,8012.0,3795.0,4217.0,7105.0,2106.0,114.0,2154.0,2989.0
Roseville Chase,1522.0,753.0,769.0,1353.0,431.0,35.0,423.0,550.0
Rouse Hill,3151.0,1598.0,1553.0,2805.0,712.0,13.0,923.0,1040.0
Rozelle,6794.0,3278.0,3516.0,5391.0,1936.0,155.0,1739.0,3519.0
Ruse,5811.0,2954.0,2857.0,5305.0,1044.0,11.0,1640.0,1964.0
Rushcutters Bay,2215.0,1192.0,1023.0,1379.0,793.0,202.0,283.0,1618.0
Russell Lea,5113.0,2422.0,2691.0,4457.0,1335.0,26.0,1389.0,2158.0
Russell Vale,1233.0,599.0,634.0,1124.0,186.0,3.0,348.0,499.0
Rydalmere,1414.0,729.0,685.0,1265.0,312.0,4.0,303.0,525.0
Ryde,20248.0,9792.0,10456.0,17430.0,6996.0,153.0,5332.0,8286.0
Sadleir,2917.0,1430.0,1487.0,2498.0,883.0,3.0,723.0,1024.0
San Remo,3883.0,1943.0,1940.0,3564.0,413.0,9.0,1076.0,1556.0
Sandringham,1117.0,526.0,591.0,1011.0,256.0,10.0,309.0,607.0
Sans Souci,9287.0,4401.0,4886.0,8103.0,2512.0,51.0,2549.0,4198.0
Saratoga,3778.0,1830.0,1948.0,3462.0,486.0,12.0,1080.0,1630.0
Scarborough,346.0,181.0,165.0,316.0,46.0,3.0,96.0,160.0
Schofields,3001.0,1494.0,1507.0,2671.0,616.0,13.0,845.0,1060.0
Scotland Island,734.0,361.0,373.0,563.0,219.0,0.0,203.0,338.0
Seaforth,6045.0,2971.0,3074.0,5262.0,1586.0,53.0,1697.0,2219.0
Sefton,5125.0,2510.0,2615.0,4695.0,1954.0,14.0,1351.0,1842.0
Seven Hills,17669.0,8799.0,8870.0,15541.0,5495.0,57.0,4963.0,6537.0
Shalvey,3753.0,1843.0,1910.0,3103.0,815.0,3.0,955.0,1159.0
Shell Cove,1194.0,602.0,592.0,1093.0,223.0,3.0,374.0,412.0
Shellharbour,3330.0,1646.0,1684.0,3038.0,616.0,4.0,954.0,1262.0
Shelly Beach,1299.0,632.0,667.0,1219.0,118.0,9.0,380.0,628.0
Shortland,4302.0,2124.0,2178.0,3842.0,442.0,247.0,983.0,1514.0
Silverwater,1106.0,568.0,538.0,886.0,439.0,3.0,259.0,422.0
Smithfield,10358.0,5162.0,5196.0,8791.0,4412.0,24.0,2744.0,3652.0
South Coogee,4969.0,2372.0,2597.0,4211.0,1304.0,58.0,1216.0,2225.0
South Granville,3281.0,1657.0,1624.0,2861.0,1182.0,18.0,822.0,1047.0
South Hurstville,4300.0,2100.0,2200.0,3704.0,1573.0,36.0,1143.0,1630.0
South Penrith,12056.0,5996.0,6060.0,10841.0,2432.0,21.0,3420.0,4316.0
South Turramurra,2864.0,1398.0,1466.0,2549.0,811.0,13.0,864.0,1027.0
South Wentworthville,4812.0,2405.0,2407.0,4134.0,1478.0,17.0,1261.0,1781.0
Speers Point,3027.0,1485.0,1542.0,2826.0,328.0,7.0,893.0,1383.0
Springfield,3921.0,1889.0,2032.0,3596.0,441.0,9.0,1101.0,1452.0
Springwood,8003.0,3762.0,4241.0,7297.0,1259.0,16.0,2095.0,3172.0
St Andrews,6246.0,3081.0,3165.0,5581.0,1633.0,42.0,1628.0,1872.0
St Clair,21115.0,10462.0,10653.0,18716.0,5274.0,60.0,5576.0,6307.0
St Helens Park,5755.0,2821.0,2934.0,4984.0,1196.0,11.0,1542.0,1903.0
St Huberts Island,1091.0,533.0,558.0,1026.0,161.0,0.0,358.0,528.0
St Ives,13915.0,6710.0,7205.0,11842.0,5514.0,131.0,3987.0,4916.0
St Ives Chase,3060.0,1493.0,1567.0,2623.0,1269.0,34.0,906.0,1017.0
St Johns Park,5761.0,2876.0,2885.0,5075.0,3084.0,14.0,1449.0,1552.0
St Leonards,2661.0,1307.0,1354.0,1783.0,1092.0,83.0,483.0,1035.0
St Marys,9207.0,4616.0,4591.0,7796.0,2717.0,31.0,2427.0,3956.0
St Peters,2275.0,1183.0,1092.0,1821.0,751.0,19.0,520.0,1036.0
Stanhope Gardens,2729.0,1331.0,1398.0,2322.0,751.0,27.0,790.0,1158.0
Stanmore,6979.0,3532.0,3447.0,5814.0,2175.0,78.0,1630.0,3220.0
Stockton,4355.0,2166.0,2189.0,3635.0,332.0,14.0,1040.0,1762.0
Strathfield,20567.0,10056.0,10511.0,15417.0,10093.0,438.0,4981.0,7639.0
Strathfield South,3043.0,1491.0,1552.0,2533.0,1384.0,41.0,793.0,1083.0
Summer Hill,6257.0,3062.0,3195.0,4845.0,2301.0,75.0,1453.0,2910.0
Surry Hills,14171.0,8378.0,5793.0,8778.0,5040.0,806.0,2306.0,7925.0
Sutherland,9145.0,4385.0,4760.0,8032.0,1889.0,46.0,2506.0,4555.0
Swansea,4671.0,2254.0,2417.0,4393.0,350.0,3.0,1312.0,2297.0
Swansea Heads,602.0,296.0,306.0,558.0,45.0,3.0,175.0,248.0
Sydenham,997.0,548.0,449.0,796.0,441.0,8.0,243.0,415.0
Sydney,14728.0,8298.0,6430.0,5538.0,4754.0,5172.0,1361.0,5128.0
Sylvania,8914.0,4180.0,4734.0,8208.0,1902.0,43.0,2521.0,3697.0
Sylvania Waters,3340.0,1653.0,1687.0,2966.0,971.0,32.0,1001.0,1292.0
Tacoma,750.0,381.0,369.0,678.0,64.0,3.0,184.0,247.0
Tacoma South,309.0,156.0,153.0,234.0,30.0,0.0,76.0,102.0
Tamarama,1453.0,720.0,733.0,1132.0,481.0,54.0,358.0,771.0
Taren Point,1108.0,547.0,561.0,994.0,262.0,0.0,336.0,445.0
Tarrawanna,1417.0,675.0,742.0,1307.0,317.0,6.0,386.0,592.0
Tascott,1660.0,828.0,832.0,1525.0,248.0,3.0,498.0,702.0
Tempe,3328.0,1680.0,1648.0,2694.0,1275.0,44.0,824.0,1284.0
Teralba,1436.0,719.0,717.0,1267.0,108.0,3.0,367.0,576.0
Terrey Hills,2897.0,1409.0,1488.0,2606.0,572.0,40.0,769.0,923.0
Terrigal,9413.0,4637.0,4776.0,8524.0,1599.0,49.0,2624.0,4599.0
The Entrance,2757.0,1328.0,1429.0,2330.0,334.0,16.0,623.0,2243.0
The Entrance North,1056.0,552.0,504.0,958.0,110.0,6.0,281.0,772.0
The Hill,1923.0,1006.0,917.0,1656.0,263.0,35.0,371.0,1110.0
The Junction,1263.0,615.0,648.0,1171.0,134.0,12.0,289.0,672.0
Thirroul,5577.0,2731.0,2846.0,5107.0,770.0,17.0,1549.0,2309.0
Thornleigh,7642.0,3734.0,3908.0,6988.0,1977.0,64.0,2180.0,2739.0
Tighes Hill,1451.0,733.0,718.0,1336.0,184.0,10.0,381.0,736.0
Tingira Heights,2942.0,1425.0,1517.0,2787.0,220.0,11.0,821.0,1017.0
Toongabbie,12800.0,6290.0,6510.0,11213.0,3889.0,65.0,3564.0,4787.0
Toowoon Bay,524.0,245.0,279.0,461.0,60.0,0.0,118.0,340.0
Toronto,5129.0,2474.0,2655.0,4811.0,450.0,12.0,1429.0,2166.0
Toukley,4131.0,1996.0,2135.0,3759.0,525.0,9.0,1051.0,2172.0
Towradgi,3045.0,1446.0,1599.0,2715.0,642.0,9.0,762.0,1341.0
Tregear,3992.0,1989.0,2003.0,3287.0,844.0,10.0,996.0,1328.0
Tuggerah,921.0,426.0,495.0,837.0,152.0,3.0,265.0,359.0
Tuggerawong,1240.0,601.0,639.0,1131.0,128.0,6.0,338.0,545.0
Tumbi Umbi,3385.0,1631.0,1754.0,3106.0,392.0,7.0,980.0,1269.0
Turramurra,10279.0,4893.0,5386.0,9057.0,2821.0,106.0,2796.0,3893.0
Turrella,1347.0,672.0,675.0,1185.0,543.0,3.0,359.0,456.0
Ultimo,4054.0,2037.0,2017.0,1989.0,1865.0,287.0,682.0,1842.0
Umina Beach,15200.0,7231.0,7969.0,13788.0,1687.0,31.0,4224.0,6868.0
Unanderra,5933.0,2823.0,3110.0,5270.0,1283.0,12.0,1630.0,2356.0
Valentine,5172.0,2524.0,2648.0,4836.0,585.0,24.0,1551.0,1908.0
Valley Heights,1355.0,701.0,654.0,1270.0,230.0,5.0,388.0,500.0
Vaucluse,8925.0,4136.0,4789.0,7424.0,3340.0,127.0,2378.0,3648.0
Villawood,6802.0,3300.0,3502.0,5958.0,3051.0,27.0,1694.0,2536.0
Voyager Point,760.0,394.0,366.0,679.0,233.0,6.0,231.0,240.0
Wahroonga,15046.0,7070.0,7976.0,13142.0,4140.0,145.0,3834.0,5126.0
Waitara,1689.0,799.0,890.0,1399.0,545.0,13.0,398.0,733.0
Wakeley,4877.0,2417.0,2460.0,4398.0,2690.0,8.0,1327.0,1428.0
Wallsend,11494.0,5494.0,6000.0,10701.0,1202.0,19.0,3182.0,4877.0
Wamberal,5437.0,2682.0,2755.0,5001.0,749.0,25.0,1532.0,2447.0
Warabrook,2013.0,925.0,1088.0,1883.0,274.0,3.0,512.0,764.0
Waratah,4406.0,2007.0,2399.0,4069.0,531.0,27.0,940.0,1901.0
Waratah West,2798.0,1306.0,1492.0,2548.0,338.0,20.0,758.0,1158.0
Wareemba,1422.0,643.0,779.0,1262.0,456.0,3.0,402.0,645.0
Warilla,5802.0,2850.0,2952.0,5008.0,1269.0,7.0,1543.0,2339.0
Warners Bay,6590.0,3171.0,3419.0,6197.0,778.0,18.0,1944.0,2871.0
Warrawee,2423.0,1187.0,1236.0,2204.0,551.0,26.0,686.0,809.0
