,0-4 years,5-14 years,15-24 years,25-54 years,55-64 years,65 years and over,0-4 years (%),5-14 years (%),15-24 years (%),25-54 years (%),55-64 years (%),65 years and over (%)
Ramsgate,50.0,83.0,66.0,304.0,91.0,128.0,6.9,11.4,9.1,41.9,12.6,17.7
Ramsgate Beach,54.0,104.0,123.0,499.0,144.0,427.0,4.0,7.7,9.1,36.9,10.7,31.6
Randwick,1455.0,1982.0,4001.0,13457.0,2114.0,3325.0,5.5,7.5,15.2,51.1,8.0,12.6
Rankin Park,148.0,333.0,409.0,1185.0,324.0,147.0,5.8,13.0,16.0,46.4,12.7,5.8
Redfern,370.0,585.0,1584.0,5992.0,978.0,1458.0,3.4,5.3,14.4,54.6,8.9,13.3
Redhead,170.0,434.0,373.0,1199.0,426.0,603.0,5.3,13.6,11.7,37.5,13.3,18.9
Regents Park,261.0,567.0,508.0,1664.0,309.0,512.0,6.8,14.8,13.3,43.5,8.1,13.4
Regentville,61.0,125.0,119.0,365.0,48.0,56.0,7.8,16.1,15.3,46.9,6.2,7.2
Revesby,692.0,1463.0,1446.0,4608.0,964.0,2007.0,6.2,13.1,12.9,41.2,8.6,18.0
Revesby Heights,90.0,190.0,150.0,516.0,64.0,257.0,7.1,15.0,11.9,40.8,5.1,20.3
Rhodes,37.0,87.0,100.0,298.0,52.0,141.0,5.0,11.9,13.6,40.6,7.1,19.2
Riverstone,495.0,1066.0,920.0,2719.0,536.0,588.0,7.8,16.9,14.5,43.0,8.5,9.3
Riverview,200.0,568.0,560.0,1201.0,307.0,393.0,6.2,17.6,17.3,37.1,9.5,12.1
Riverwood,694.0,1326.0,1272.0,4349.0,1017.0,1759.0,6.7,12.7,12.2,41.8,9.8,16.9
Rockdale,811.0,1173.0,1721.0,5488.0,929.0,1308.0,7.1,10.3,15.1,48.0,8.1,11.4
Rocky Point,20.0,25.0,26.0,85.0,15.0,28.0,9.0,11.3,11.8,38.5,6.8,12.7
Rodd Point,80.0,142.0,104.0,541.0,131.0,237.0,6.4,11.4,8.4,43.6,10.6,19.1
Rooty Hill,898.0,1751.0,1662.0,4870.0,851.0,1093.0,8.1,15.7,14.9,43.8,7.6,9.8
Rose Bay,514.0,969.0,1062.0,4156.0,818.0,1323.0,5.8,11.0,12.0,47.0,9.3,15.0
Rosebery,421.0,730.0,1194.0,3099.0,692.0,826.0,6.0,10.5,17.1,44.5,9.9,11.9
Roselands,735.0,1356.0,1286.0,4228.0,910.0,1404.0,7.4,13.7,13.0,42.6,9.2,14.2
Rosemeadow,795.0,1663.0,1320.0,3515.0,390.0,264.0,10.0,20.9,16.6,44.3,4.9,3.3
Roseville,550.0,1173.0,1158.0,3307.0,801.0,1026.0,6.9,14.6,14.5,41.3,10.0,12.8
