,Couple family without children,Couple family with children,One parent family,Other family,Couple family without children (%),Couple family with children (%),One parent family (%),Other family (%),SSC_CODE
Watagan,16.0,6.0,9.0,0.0,51.6,19.4,29.0,0.0,14180
Murrays Run,30.0,10.0,4.0,0.0,68.2,22.7,9.1,0.0,12855
Bucketty,23.0,17.0,7.0,0.0,48.9,36.2,14.9,0.0,10634
Clarence Town,253.0,251.0,69.0,3.0,43.9,43.6,12.0,0.5,10920
Dungog,234.0,170.0,111.0,8.0,44.7,32.5,21.2,1.5,11320
Bendolba,23.0,21.0,16.0,0.0,38.3,35.0,26.7,0.0,10291
Paterson (NSW),99.0,113.0,32.0,3.0,40.1,45.7,13.0,1.2,13159
Martins Creek,42.0,45.0,15.0,0.0,41.2,44.1,14.7,0.0,12511
Torryburn (Dungog - NSW),25.0,22.0,4.0,0.0,49.0,43.1,7.8,0.0,13920
Vacy,76.0,87.0,11.0,3.0,42.9,49.2,6.2,1.7,14063
East Gresford,27.0,37.0,12.0,0.0,35.5,48.7,15.8,0.0,11350
Gresford,26.0,23.0,9.0,0.0,44.8,39.7,15.5,0.0,11777
Glen Martin,23.0,19.0,13.0,0.0,41.8,34.5,23.6,0.0,11650
Wallarobba,25.0,23.0,7.0,0.0,45.5,41.8,12.7,0.0,14111
Hilldale,22.0,25.0,7.0,0.0,40.7,46.3,13.0,0.0,11906
Glen Oak,36.0,48.0,11.0,0.0,37.9,50.5,11.6,0.0,11652
Glen William,12.0,12.0,7.0,0.0,38.7,38.7,22.6,0.0,11654
Brookfield (NSW),23.0,20.0,13.0,0.0,41.1,35.7,23.2,0.0,10596
Abermain,238.0,271.0,111.0,10.0,37.8,43.0,17.6,1.6,10010
Weston (NSW),305.0,400.0,253.0,17.0,31.3,41.0,25.9,1.7,14262
Kurri Kurri,567.0,582.0,387.0,31.0,36.2,37.1,24.7,2.0,12221
Stanford Merthyr,67.0,47.0,37.0,4.0,43.2,30.3,23.9,2.6,13647
Pelaw Main,108.0,104.0,57.0,3.0,39.7,38.2,21.0,1.1,13177
Heddon Greta,198.0,318.0,80.0,3.0,33.1,53.1,13.4,0.5,11888
Neath,52.0,39.0,28.0,5.0,41.9,31.5,22.6,4.0,12917
