,Couple family without children,Couple family with children,One parent family,Other family,Couple family without children (%),Couple family with children (%),One parent family (%),Other family (%),SSC_CODE
Mangerton,257.0,379.0,97.0,18.0,34.2,50.5,12.9,2.4,12468
Bulahdelah,189.0,123.0,79.0,4.0,47.8,31.1,20.0,1.0,10649
Wards River,25.0,12.0,12.0,0.0,51.0,24.5,24.5,0.0,14147
Stroud Road,22.0,31.0,7.0,0.0,36.7,51.7,11.7,0.0,13679
Stroud,111.0,106.0,32.0,4.0,43.9,41.9,12.6,1.6,13677
Girvan,20.0,17.0,8.0,0.0,44.4,37.8,17.8,0.0,11637
Nerong,26.0,3.0,7.0,0.0,72.2,8.3,19.4,0.0,12929
Allworth,13.0,18.0,9.0,3.0,30.2,41.9,20.9,7.0,10041
Bunyah,27.0,10.0,5.0,0.0,64.3,23.8,11.9,0.0,10690
Markwell,23.0,8.0,7.0,0.0,60.5,21.1,18.4,0.0,12493
Booral (NSW),46.0,42.0,15.0,0.0,44.7,40.8,14.6,0.0,10496
Limeburners Creek (Mid-Coast - NSW),32.0,47.0,13.0,3.0,33.7,49.5,13.7,3.2,12328
Forster (NSW),2050.0,960.0,718.0,56.0,54.2,25.4,19.0,1.5,11550
Green Point (Mid-Coast - NSW),87.0,44.0,30.0,0.0,54.0,27.3,18.6,0.0,11755
Darawank,52.0,43.0,14.0,0.0,47.7,39.4,12.8,0.0,11203
Tarbuck Bay,20.0,17.0,13.0,0.0,40.0,34.0,26.0,0.0,13762
Nabiac,164.0,133.0,63.0,3.0,45.2,36.6,17.4,0.8,12885
Failford,93.0,47.0,13.0,0.0,60.8,30.7,8.5,0.0,11476
Coomba Park,105.0,34.0,23.0,0.0,64.8,21.0,14.2,0.0,11038
Smiths Lake,169.0,123.0,62.0,5.0,47.1,34.3,17.3,1.4,13563
Bungwahl,33.0,21.0,7.0,0.0,54.1,34.4,11.5,0.0,10687
Wootton,31.0,19.0,10.0,0.0,51.7,31.7,16.7,0.0,14417
Coolongolook,47.0,33.0,18.0,0.0,48.0,33.7,18.4,0.0,11032
Coomba Bay,23.0,10.0,3.0,0.0,63.9,27.8,8.3,0.0,11037
Minimbah,27.0,24.0,6.0,0.0,47.4,42.1,10.5,0.0,12636
Elizabeth Beach,37.0,15.0,4.0,0.0,66.1,26.8,7.1,0.0,11396
Blueys Beach,32.0,12.0,4.0,0.0,66.7,25.0,8.3,0.0,10420
Boomerang Beach,31.0,31.0,10.0,0.0,43.1,43.1,13.9,0.0,10487
Tuncurry,959.0,343.0,299.0,21.0,59.1,21.1,18.4,1.3,13969
South Kempsey,192.0,179.0,183.0,14.0,33.8,31.5,32.2,2.5,13588
West Kempsey,389.0,309.0,414.0,26.0,34.2,27.2,36.4,2.3,14247
Kempsey,31.0,23.0,35.0,3.0,33.7,25.0,38.0,3.3,12095
Frederickton,125.0,129.0,88.0,3.0,36.2,37.4,25.5,0.9,11561
Aldavilla,104.0,73.0,25.0,0.0,51.5,36.1,12.4,0.0,10028
Euroka,58.0,34.0,12.0,0.0,55.8,32.7,11.5,0.0,11464
Dondingalong,101.0,68.0,31.0,3.0,49.8,33.5,15.3,1.5,11272
Greenhill (NSW),59.0,46.0,65.0,3.0,34.1,26.6,37.6,1.7,11763
East Kempsey,126.0,119.0,97.0,0.0,36.8,34.8,28.4,0.0,11354
Verges Creek,32.0,22.0,6.0,3.0,50.8,34.9,9.5,4.8,14072
Yarravel,133.0,133.0,48.0,7.0,41.4,41.4,15.0,2.2,14483
Stuarts Point,96.0,49.0,50.0,9.0,47.1,24.0,24.5,4.4,13681
Barraganyatti,21.0,19.0,4.0,0.0,47.7,43.2,9.1,0.0,10209
Yarrahapinni,33.0,15.0,14.0,0.0,53.2,24.2,22.6,0.0,14474
Hat Head,52.0,21.0,9.0,0.0,63.4,25.6,11.0,0.0,11869
Kinchela,43.0,25.0,6.0,0.0,58.1,33.8,8.1,0.0,12140
Gladstone (NSW),43.0,34.0,16.0,0.0,46.2,36.6,17.2,0.0,11639
Smithtown,72.0,54.0,34.0,0.0,45.0,33.8,21.2,0.0,13564
Mungay Creek,12.0,5.0,14.0,0.0,38.7,16.1,45.2,0.0,12841
Willawarrin,25.0,15.0,11.0,0.0,49.0,29.4,21.6,0.0,14295
Temagog,31.0,21.0,17.0,0.0,44.9,30.4,24.6,0.0,13783
Turners Flat,15.0,21.0,4.0,0.0,37.5,52.5,10.0,0.0,13976
Millbank (NSW),17.0,4.0,8.0,3.0,53.1,12.5,25.0,9.4,12616
Hickeys Creek,19.0,7.0,4.0,0.0,63.3,23.3,13.3,0.0,11899
Belmore River,34.0,28.0,16.0,0.0,43.6,35.9,20.5,0.0,10280
Austral Eden,15.0,20.0,5.0,0.0,37.5,50.0,12.5,0.0,10110
Crescent Head,192.0,131.0,82.0,3.0,47.1,32.1,20.1,0.7,11114
Clybucca,17.0,10.0,6.0,0.0,51.5,30.3,18.2,0.0,10940
Bellimbopinni,13.0,13.0,10.0,0.0,36.1,36.1,27.8,0.0,10272
Collombatti,67.0,61.0,27.0,4.0,42.1,38.4,17.0,2.5,10979
Kundabung,79.0,68.0,18.0,3.0,47.0,40.5,10.7,1.8,12209
Sherwood (Kempsey - NSW),29.0,19.0,3.0,0.0,56.9,37.3,5.9,0.0,13537
Bellbrook,34.0,19.0,19.0,0.0,47.2,26.4,26.4,0.0,10270
Macksville,281.0,202.0,163.0,12.0,42.7,30.7,24.8,1.8,12430
North Macksville,86.0,46.0,35.0,4.0,50.3,26.9,20.5,2.3,12995
Way Way,44.0,23.0,4.0,0.0,62.0,32.4,5.6,0.0,14203
Scotts Head,128.0,76.0,41.0,4.0,51.4,30.5,16.5,1.6,13508
Gumma,62.0,61.0,12.0,0.0,45.9,45.2,8.9,0.0,11801
Nambucca Heads,837.0,365.0,386.0,40.0,51.4,22.4,23.7,2.5,12887
Hyland Park,46.0,50.0,19.0,0.0,40.0,43.5,16.5,0.0,11968
Bowraville,108.0,82.0,87.0,6.0,38.2,29.0,30.7,2.1,10537
Valla Beach,209.0,123.0,45.0,3.0,55.0,32.4,11.8,0.8,14068
South Arm (Nambucca - NSW),37.0,20.0,23.0,3.0,44.6,24.1,27.7,3.6,13575
Newee Creek,55.0,40.0,12.0,0.0,51.4,37.4,11.2,0.0,12952
Congarinni North,46.0,46.0,9.0,0.0,45.5,45.5,8.9,0.0,11006
Congarinni,53.0,39.0,6.0,0.0,54.1,39.8,6.1,0.0,11005
Talarm,36.0,22.0,8.0,0.0,54.5,33.3,12.1,0.0,13728
Warrell Creek,40.0,28.0,10.0,0.0,51.3,35.9,12.8,0.0,14170
Eungai Creek,47.0,43.0,21.0,0.0,42.3,38.7,18.9,0.0,11458
Eungai Rail,19.0,20.0,15.0,0.0,35.2,37.0,27.8,0.0,11459
Allgomera,9.0,14.0,3.0,0.0,34.6,53.8,11.5,0.0,10040
Yarranbella,32.0,11.0,8.0,0.0,62.7,21.6,15.7,0.0,14478
Utungun,26.0,24.0,3.0,0.0,49.1,45.3,5.7,0.0,14062
Taylors Arm,23.0,14.0,4.0,0.0,56.1,34.1,9.8,0.0,13776
Argents Hill,25.0,18.0,13.0,0.0,44.6,32.1,23.2,0.0,10079
Missabotti,41.0,25.0,22.0,0.0,46.6,28.4,25.0,0.0,12649
South West Rocks,735.0,320.0,216.0,11.0,57.3,25.0,16.8,0.9,13600
Arakoon,82.0,40.0,13.0,0.0,60.7,29.6,9.6,0.0,10069
Jerseyville,16.0,12.0,5.0,0.0,48.5,36.4,15.2,0.0,12022
Lord Howe Island,50.0,35.0,7.0,0.0,54.3,38.0,7.6,0.0,12387
Lake Cathie,543.0,358.0,133.0,4.0,52.3,34.5,12.8,0.4,12243
Bonny Hills,404.0,335.0,130.0,8.0,46.1,38.2,14.8,0.9,10470
North Haven (NSW),284.0,82.0,81.0,3.0,63.1,18.2,18.0,0.7,12992
Kendall,113.0,124.0,67.0,3.0,36.8,40.4,21.8,1.0,12096
West Haven,197.0,76.0,30.0,0.0,65.0,25.1,9.9,0.0,14245
Laurieton,372.0,80.0,79.0,3.0,69.7,15.0,14.8,0.6,12283
Kew (NSW),193.0,89.0,31.0,3.0,61.1,28.2,9.8,0.9,12109
Herons Creek,25.0,29.0,10.0,0.0,39.1,45.3,15.6,0.0,11897
Upsalls Creek,9.0,11.0,3.0,0.0,39.1,47.8,13.0,0.0,14049
Logans Crossing,24.0,15.0,0.0,0.0,61.5,38.5,0.0,0.0,12373
Lorne (NSW),43.0,25.0,5.0,0.0,58.9,34.2,6.8,0.0,12390
Lakewood,205.0,100.0,47.0,0.0,58.2,28.4,13.4,0.0,12259
Dunbogan,200.0,68.0,44.0,0.0,64.1,21.8,14.1,0.0,11310
Johns River,39.0,18.0,5.0,3.0,60.0,27.7,7.7,4.6,12037
Camden Head,32.0,9.0,6.0,0.0,68.1,19.1,12.8,0.0,10771
Port Macquarie,5854.0,4007.0,2092.0,131.0,48.4,33.2,17.3,1.1,13246
Lake Innes,50.0,61.0,14.0,3.0,39.1,47.7,10.9,2.3,12251
Fernbank Creek,12.0,18.0,6.0,0.0,33.3,50.0,16.7,0.0,11505
Riverside (NSW),46.0,22.0,16.0,3.0,52.9,25.3,18.4,3.4,13367
Thrumster,45.0,66.0,6.0,0.0,38.5,56.4,5.1,0.0,13852
North Shore (NSW),36.0,39.0,14.0,3.0,39.1,42.4,15.2,3.3,13006
Telegraph Point,72.0,75.0,23.0,0.0,42.4,44.1,13.5,0.0,13781
Blackmans Point,16.0,12.0,9.0,0.0,43.2,32.4,24.3,0.0,10395
Cooperabung,34.0,38.0,3.0,0.0,45.3,50.7,4.0,0.0,11046
Rollands Plains,26.0,12.0,0.0,0.0,68.4,31.6,0.0,0.0,13392
Upper Rollands Plains,14.0,16.0,7.0,0.0,37.8,43.2,18.9,0.0,14043
Pembrooke,18.0,12.0,7.0,0.0,48.6,32.4,18.9,0.0,13180
Frazers Creek,31.0,18.0,5.0,0.0,57.4,33.3,9.3,0.0,11560
Mortons Creek,46.0,28.0,10.0,0.0,54.8,33.3,11.9,0.0,12731
Long Flat (NSW),14.0,9.0,10.0,3.0,38.9,25.0,27.8,8.3,12377
Byabarra,35.0,50.0,5.0,0.0,38.9,55.6,5.6,0.0,10727
Ellenborough,16.0,18.0,6.0,0.0,40.0,45.0,15.0,0.0,11401
Comboyne,70.0,37.0,22.0,0.0,54.3,28.7,17.1,0.0,10992
Wauchope,687.0,538.0,407.0,25.0,41.5,32.5,24.6,1.5,14197
Yippin Creek,34.0,13.0,11.0,0.0,58.6,22.4,19.0,0.0,14515
Rosewood (Port Macquarie-Hastings - NSW),25.0,27.0,7.0,0.0,42.4,45.8,11.9,0.0,13414
Beechwood,66.0,71.0,28.0,0.0,40.0,43.0,17.0,0.0,10248
Redbank (NSW),58.0,43.0,18.0,0.0,48.7,36.1,15.1,0.0,13336
Crosslands,72.0,71.0,20.0,0.0,44.2,43.6,12.3,0.0,11127
King Creek,205.0,213.0,41.0,0.0,44.7,46.4,8.9,0.0,12145
Sancrox,88.0,64.0,14.0,0.0,53.0,38.6,8.4,0.0,13471
Gloucester,397.0,243.0,152.0,13.0,49.3,30.2,18.9,1.6,11685
Craven,25.0,12.0,3.0,0.0,62.5,30.0,7.5,0.0,11107
Stratford (NSW),14.0,13.0,10.0,0.0,37.8,35.1,27.0,0.0,13672
Forbesdale,23.0,20.0,9.0,0.0,44.2,38.5,17.3,0.0,11539
Barrington (NSW),64.0,32.0,14.0,0.0,58.2,29.1,12.7,0.0,10216
Bowman,21.0,10.0,3.0,0.0,61.8,29.4,8.8,0.0,10531
Diamond Beach,142.0,79.0,39.0,0.0,54.6,30.4,15.0,0.0,11251
Manning Point,45.0,8.0,9.0,0.0,72.6,12.9,14.5,0.0,12478
Mitchells Island,81.0,46.0,12.0,0.0,58.3,33.1,8.6,0.0,12652
Oxley Island,26.0,44.0,4.0,0.0,35.1,59.5,5.4,0.0,13109
Old Bar,624.0,386.0,221.0,8.0,50.4,31.2,17.8,0.6,13073
Black Head,176.0,57.0,19.0,0.0,69.8,22.6,7.5,0.0,10384
Red Head,88.0,45.0,20.0,3.0,56.4,28.8,12.8,1.9,13329
Rainbow Flat,102.0,79.0,21.0,0.0,50.5,39.1,10.4,0.0,13305
Hallidays Point,80.0,68.0,10.0,4.0,49.4,42.0,6.2,2.5,11832
Wallabi Point,97.0,84.0,32.0,3.0,44.9,38.9,14.8,1.4,14099
Koorainghat,36.0,18.0,9.0,0.0,57.1,28.6,14.3,0.0,12191
Tallwoods Village,147.0,62.0,15.0,0.0,65.6,27.7,6.7,0.0,13737
Taree,1727.0,1278.0,1024.0,85.0,42.0,31.1,24.9,2.1,13764
Cundletown,248.0,206.0,98.0,3.0,44.7,37.1,17.7,0.5,11161
Taree South,51.0,26.0,17.0,0.0,54.3,27.7,18.1,0.0,13765
Pampoolah,66.0,40.0,12.0,0.0,55.9,33.9,10.2,0.0,13142
Glenthorne,28.0,24.0,5.0,0.0,49.1,42.1,8.8,0.0,11680
Tinonee,140.0,115.0,54.0,0.0,45.3,37.2,17.5,0.0,13876
Harrington,628.0,180.0,122.0,11.0,66.7,19.1,13.0,1.2,11858
Wherrol Flat,51.0,28.0,15.0,0.0,54.3,29.8,16.0,0.0,14271
Coopernook,52.0,55.0,27.0,5.0,37.4,39.6,19.4,3.6,11047
Moto,13.0,10.0,3.0,0.0,50.0,38.5,11.5,0.0,12742
Moorland (NSW),63.0,38.0,31.0,4.0,46.3,27.9,22.8,2.9,12714
Hannam Vale,39.0,18.0,3.0,0.0,65.0,30.0,5.0,0.0,11849
Stewarts River,20.0,10.0,3.0,0.0,60.6,30.3,9.1,0.0,13659
Upper Lansdowne,82.0,60.0,19.0,0.0,50.9,37.3,11.8,0.0,14033
Lansdowne (Mid-Coast - NSW),78.0,56.0,24.0,3.0,48.4,34.8,14.9,1.9,12273
Kundle Kundle,25.0,23.0,5.0,0.0,47.2,43.4,9.4,0.0,12211
Killabakh,38.0,25.0,9.0,0.0,52.8,34.7,12.5,0.0,12128
Cedar Party,54.0,37.0,10.0,3.0,51.9,35.6,9.6,2.9,10870
Marlee,31.0,23.0,4.0,0.0,53.4,39.7,6.9,0.0,12494
Elands,10.0,17.0,10.0,0.0,27.0,45.9,27.0,0.0,11388
Bobin,22.0,9.0,7.0,0.0,57.9,23.7,18.4,0.0,10427
Mount George (NSW),24.0,26.0,20.0,0.0,34.3,37.1,28.6,0.0,12761
Killawarra (NSW),30.0,17.0,7.0,0.0,55.6,31.5,13.0,0.0,12132
Burrell Creek,38.0,22.0,3.0,0.0,60.3,34.9,4.8,0.0,10709
Bootawa,27.0,18.0,6.0,0.0,52.9,35.3,11.8,0.0,10504
Mondrook,26.0,23.0,3.0,0.0,50.0,44.2,5.8,0.0,12676
Hillville,46.0,38.0,15.0,0.0,46.5,38.4,15.2,0.0,11913
Kimbriki,18.0,15.0,9.0,0.0,42.9,35.7,21.4,0.0,12139
Belbora,17.0,9.0,3.0,0.0,58.6,31.0,10.3,0.0,10256
Krambach,54.0,37.0,16.0,0.0,50.5,34.6,15.0,0.0,12202
Possum Brush,23.0,18.0,9.0,0.0,46.0,36.0,18.0,0.0,13251
Dyers Crossing,43.0,32.0,18.0,0.0,46.2,34.4,19.4,0.0,11338
Firefly,45.0,27.0,9.0,3.0,53.6,32.1,10.7,3.6,11521
Coralville,19.0,14.0,0.0,3.0,52.8,38.9,0.0,8.3,11064
Wingham,589.0,498.0,324.0,12.0,41.4,35.0,22.8,0.8,14332
Thurgoona,811.0,1131.0,276.0,18.0,36.3,50.6,12.3,0.8,13856
East Albury,652.0,622.0,250.0,17.0,42.3,40.4,16.2,1.1,11344
North Albury,548.0,502.0,385.0,26.0,37.5,34.4,26.4,1.8,12977
Lavington,1310.0,1122.0,652.0,45.0,41.9,35.9,20.8,1.4,12287
Glenroy (Albury - NSW),381.0,383.0,127.0,10.0,42.3,42.5,14.1,1.1,11678
Hamilton Valley,63.0,67.0,21.0,3.0,40.9,43.5,13.6,1.9,11842
Albury,532.0,416.0,160.0,9.0,47.6,37.2,14.3,0.8,10027
South Albury,105.0,111.0,60.0,9.0,36.8,38.9,21.1,3.2,13573
West Albury,429.0,328.0,186.0,15.0,44.8,34.2,19.4,1.6,14239
Splitters Creek,44.0,38.0,4.0,0.0,51.2,44.2,4.7,0.0,13610
Jindera,216.0,296.0,68.0,4.0,37.0,50.7,11.6,0.7,12032
Holbrook,204.0,157.0,67.0,6.0,47.0,36.2,15.4,1.4,11920
Table Top,144.0,225.0,20.0,0.0,37.0,57.8,5.1,0.0,13722
Little Billabong,20.0,18.0,3.0,0.0,48.8,43.9,7.3,0.0,12350
Gerogery,67.0,73.0,16.0,0.0,42.9,46.8,10.3,0.0,11605
Brocklesby,9.0,28.0,4.0,0.0,22.0,68.3,9.8,0.0,10584
Walla Walla,103.0,82.0,34.0,0.0,47.0,37.4,15.5,0.0,14097
Glenellen,19.0,20.0,0.0,0.0,48.7,51.3,0.0,0.0,11663
Burrumbuttock,43.0,40.0,10.0,0.0,46.2,43.0,10.8,0.0,10716
Morven (Greater Hume Shire - NSW),14.0,12.0,6.0,0.0,43.8,37.5,18.8,0.0,12737
Culcairn,159.0,146.0,64.0,0.0,43.1,39.6,17.3,0.0,11147
Henty (NSW),141.0,121.0,47.0,3.0,45.2,38.8,15.1,1.0,11892
Mullengandra,17.0,14.0,4.0,0.0,48.6,40.0,11.4,0.0,12823
Bowna,16.0,10.0,0.0,0.0,61.5,38.5,0.0,0.0,10534
Bungowannah,23.0,25.0,0.0,0.0,47.9,52.1,0.0,0.0,10686
Woomargama,27.0,18.0,8.0,0.0,50.9,34.0,15.1,0.0,14413
Springdale Heights,214.0,184.0,126.0,3.0,40.6,34.9,23.9,0.6,13622
Hay (NSW),252.0,212.0,114.0,6.0,43.2,36.3,19.5,1.0,11874
Hay South,49.0,35.0,9.0,3.0,51.0,36.5,9.4,3.1,11875
Gol Gol,168.0,217.0,30.0,3.0,40.2,51.9,7.2,0.7,11693
Buronga,112.0,137.0,47.0,3.0,37.5,45.8,15.7,1.0,10696
Wentworth (NSW),198.0,93.0,71.0,0.0,54.7,25.7,19.6,0.0,14225
Coomealla,94.0,73.0,45.0,3.0,43.7,34.0,20.9,1.4,11041
Dareton,50.0,33.0,37.0,6.0,39.7,26.2,29.4,4.8,11206
Curlwaa,59.0,40.0,9.0,0.0,54.6,37.0,8.3,0.0,11170
Euston,75.0,93.0,23.0,4.0,38.5,47.7,11.8,2.1,11468
Pomona (NSW),22.0,18.0,3.0,0.0,51.2,41.9,7.0,0.0,13240
Tooleybuc,46.0,22.0,3.0,0.0,64.8,31.0,4.2,0.0,13902
Balranald,151.0,128.0,58.0,7.0,43.9,37.2,16.9,2.0,10168
Corowa,747.0,480.0,223.0,18.0,50.9,32.7,15.2,1.2,11080
Mulwala,333.0,179.0,74.0,0.0,56.8,30.5,12.6,0.0,12830
Balldale,17.0,16.0,3.0,0.0,47.2,44.4,8.3,0.0,10159
Rand,25.0,17.0,10.0,0.0,48.1,32.7,19.2,0.0,13311
Oaklands,44.0,35.0,7.0,3.0,49.4,39.3,7.9,3.4,13059
Howlong,365.0,267.0,96.0,12.0,49.3,36.1,13.0,1.6,11950
Urana,37.0,32.0,14.0,4.0,42.5,36.8,16.1,4.6,14052
Deniliquin,921.0,671.0,358.0,28.0,46.6,33.9,18.1,1.4,11237
Mayrung,20.0,15.0,0.0,3.0,52.6,39.5,0.0,7.9,12537
Mathoura,145.0,86.0,33.0,7.0,53.5,31.7,12.2,2.6,12522
Barham,224.0,106.0,38.0,3.0,60.4,28.6,10.2,0.8,10199
Wakool,50.0,28.0,11.0,3.0,54.3,30.4,12.0,3.3,14090
Moulamein,65.0,41.0,20.0,0.0,51.6,32.5,15.9,0.0,12743
Koraleigh,41.0,31.0,15.0,3.0,45.6,34.4,16.7,3.3,12195
Conargo,15.0,9.0,3.0,0.0,55.6,33.3,11.1,0.0,10998
Murray Downs,39.0,26.0,3.0,0.0,57.4,38.2,4.4,0.0,12852
Moama,834.0,621.0,188.0,16.0,50.3,37.4,11.3,1.0,12654
Warragoon,14.0,14.0,0.0,0.0,50.0,50.0,0.0,0.0,14159
Blighty,15.0,17.0,5.0,0.0,40.5,45.9,13.5,0.0,10412
Barooga,221.0,186.0,58.0,5.0,47.0,39.6,12.3,1.1,10205
Tocumwal,411.0,207.0,87.0,6.0,57.8,29.1,12.2,0.8,13886
Finley,310.0,201.0,106.0,4.0,49.9,32.4,17.1,0.6,11520
Berrigan,150.0,107.0,35.0,0.0,51.4,36.6,12.0,0.0,10318
Jerilderie,132.0,94.0,37.0,0.0,50.2,35.7,14.1,0.0,12014
Armidale,2153.0,2039.0,993.0,99.0,40.7,38.6,18.8,1.9,10085
Guyra,211.0,194.0,100.0,5.0,41.4,38.0,19.6,1.0,11822
South Guyra,23.0,30.0,21.0,0.0,31.1,40.5,28.4,0.0,13586
Llangothlin,16.0,17.0,7.0,0.0,40.0,42.5,17.5,0.0,12364
Ben Lomond (NSW),26.0,16.0,0.0,0.0,61.9,38.1,0.0,0.0,10286
Black Mountain (NSW),37.0,34.0,8.0,0.0,46.8,43.0,10.1,0.0,10387
Thalgarrah,27.0,24.0,4.0,0.0,49.1,43.6,7.3,0.0,13810
Hillgrove (Armidale Regional - NSW),25.0,22.0,3.0,0.0,50.0,44.0,6.0,0.0,11907
Ebor,23.0,20.0,5.0,0.0,47.9,41.7,10.4,0.0,11372
Uralla (NSW),326.0,260.0,127.0,9.0,45.2,36.0,17.6,1.2,14051
Saumarez Ponds,47.0,55.0,13.0,0.0,40.9,47.8,11.3,0.0,13495
Invergowrie,94.0,93.0,26.0,0.0,44.1,43.7,12.2,0.0,11983
Arding,36.0,23.0,11.0,0.0,51.4,32.9,15.7,0.0,10075
Dangarsleigh,23.0,17.0,5.0,0.0,51.1,37.8,11.1,0.0,11200
Kellys Plains,28.0,20.0,5.0,0.0,52.8,37.7,9.4,0.0,12087
Yarrowyck,21.0,16.0,5.0,0.0,50.0,38.1,11.9,0.0,14492
Kentucky,22.0,14.0,9.0,0.0,48.9,31.1,20.0,0.0,12102
Kentucky South,14.0,13.0,5.0,0.0,43.8,40.6,15.6,0.0,12103
Balala,22.0,11.0,3.0,0.0,61.1,30.6,8.3,0.0,10144
Rocky River (Uralla - NSW),35.0,25.0,13.0,4.0,45.5,32.5,16.9,5.2,13390
Walcha,330.0,262.0,84.0,3.0,48.6,38.6,12.4,0.4,14093
Nowendoc,25.0,17.0,3.0,0.0,55.6,37.8,6.7,0.0,13026
Stonehenge (NSW),21.0,13.0,3.0,0.0,56.8,35.1,8.1,0.0,13665
Glen Innes,703.0,493.0,304.0,24.0,46.1,32.3,19.9,1.6,11649
Emmaville,97.0,37.0,19.0,0.0,63.4,24.2,12.4,0.0,11414
Deepwater (NSW),62.0,24.0,21.0,3.0,56.4,21.8,19.1,2.7,11231
Red Range,24.0,22.0,6.0,0.0,46.2,42.3,11.5,0.0,13333
Shannon Vale,34.0,13.0,0.0,0.0,72.3,27.7,0.0,0.0,13526
Glencoe (NSW),34.0,16.0,6.0,0.0,60.7,28.6,10.7,0.0,11657
Inverell,1297.0,1063.0,657.0,44.0,42.4,34.7,21.5,1.4,11981
Ashford (NSW),81.0,49.0,33.0,0.0,49.7,30.1,20.2,0.0,10099
Tingha,90.0,74.0,45.0,10.0,41.1,33.8,20.5,4.6,13874
Yetman,27.0,17.0,7.0,0.0,52.9,33.3,13.7,0.0,14514
Bundarra,89.0,67.0,31.0,8.0,45.6,34.4,15.9,4.1,10671
Gilgai,79.0,66.0,32.0,6.0,43.2,36.1,17.5,3.3,11618
Coolatai,17.0,9.0,0.0,0.0,65.4,34.6,0.0,0.0,11028
Bukkulla,13.0,17.0,3.0,0.0,39.4,51.5,9.1,0.0,10648
Oakwood (NSW),28.0,18.0,4.0,0.0,56.0,36.0,8.0,0.0,13061
Nullamanna,17.0,19.0,0.0,3.0,43.6,48.7,0.0,7.7,13032
Elsmore,27.0,35.0,13.0,0.0,36.0,46.7,17.3,0.0,11408
Bingara,206.0,86.0,61.0,7.0,57.2,23.9,16.9,1.9,10365
Gravesend,39.0,40.0,11.0,0.0,43.3,44.4,12.2,0.0,11742
Auburn Vale,16.0,10.0,3.0,0.0,55.2,34.5,10.3,0.0,10107
Gum Flat,23.0,31.0,8.0,0.0,37.1,50.0,12.9,0.0,11796
Delungra,77.0,69.0,21.0,0.0,46.1,41.3,12.6,0.0,11234
Warialda,211.0,138.0,67.0,9.0,49.6,32.5,15.8,2.1,14149
Yallaroi,15.0,14.0,0.0,0.0,51.7,48.3,0.0,0.0,14456
Warialda Rail,7.0,9.0,8.0,0.0,29.2,37.5,33.3,0.0,14150
Upper Horton,13.0,18.0,8.0,0.0,33.3,46.2,20.5,0.0,14029
Tabulam,55.0,25.0,32.0,3.0,47.8,21.7,27.8,2.6,13723
Tenterfield,570.0,297.0,177.0,9.0,54.1,28.2,16.8,0.9,13792
Drake,37.0,17.0,12.0,0.0,56.1,25.8,18.2,0.0,11290
Liston,24.0,7.0,11.0,0.0,57.1,16.7,26.2,0.0,12346
Legume,24.0,13.0,8.0,0.0,53.3,28.9,17.8,0.0,12296
Urbenville,42.0,20.0,18.0,3.0,50.6,24.1,21.7,3.6,14057
Woodenbong,62.0,28.0,13.0,0.0,60.2,27.2,12.6,0.0,14382
Jennings,20.0,10.0,8.0,0.0,52.6,26.3,21.1,0.0,12008
Moree,830.0,864.0,523.0,54.0,36.5,38.0,23.0,2.4,12722
Pallamallawa,51.0,42.0,17.0,3.0,45.1,37.2,15.0,2.7,13131
Garah,32.0,31.0,8.0,0.0,45.1,43.7,11.3,0.0,11586
Ashley,34.0,37.0,21.0,3.0,35.8,38.9,22.1,3.2,10100
Boggabilla,55.0,80.0,80.0,9.0,24.6,35.7,35.7,4.0,10441
North Star,26.0,27.0,3.0,0.0,46.4,48.2,5.4,0.0,13008
Mungindi (NSW),50.0,49.0,24.0,3.0,39.7,38.9,19.0,2.4,12843
Gurley,34.0,25.0,4.0,0.0,54.0,39.7,6.3,0.0,11817
Bellata,30.0,35.0,12.0,5.0,36.6,42.7,14.6,6.1,10266
Narrabri,805.0,788.0,325.0,23.0,41.5,40.6,16.7,1.2,12903
Wee Waa,182.0,187.0,102.0,5.0,38.2,39.3,21.4,1.1,14211
Merah North,14.0,25.0,3.0,0.0,33.3,59.5,7.1,0.0,12572
Maules Creek,18.0,15.0,6.0,0.0,46.2,38.5,15.4,0.0,12526
Baan Baa,26.0,9.0,8.0,0.0,60.5,20.9,18.6,0.0,10120
Tarriaro,14.0,17.0,0.0,0.0,45.2,54.8,0.0,0.0,13770
Bohena Creek,17.0,23.0,0.0,0.0,42.5,57.5,0.0,0.0,10444
Gwabegar,12.0,12.0,12.0,0.0,33.3,33.3,33.3,0.0,11823
Gunnedah,998.0,1044.0,429.0,36.0,39.8,41.6,17.1,1.4,11812
Curlewis (NSW),92.0,82.0,38.0,5.0,42.4,37.8,17.5,2.3,11169
Boggabri,121.0,92.0,72.0,3.0,42.0,31.9,25.0,1.0,10442
Carroll,29.0,36.0,14.0,4.0,34.9,43.4,16.9,4.8,10832
Piallaway,19.0,12.0,5.0,0.0,52.8,33.3,13.9,0.0,13196
Breeza,17.0,20.0,9.0,3.0,34.7,40.8,18.4,6.1,10561
Caroona,14.0,19.0,17.0,0.0,28.0,38.0,34.0,0.0,10823
Spring Ridge,32.0,25.0,8.0,0.0,49.2,38.5,12.3,0.0,13619
Emerald Hill,17.0,18.0,0.0,0.0,48.6,51.4,0.0,0.0,11412
Mullaley,23.0,17.0,6.0,4.0,46.0,34.0,12.0,8.0,12820
Kelvin,19.0,22.0,3.0,0.0,43.2,50.0,6.8,0.0,12091
