,Occupied private dwellings,Unoccupied private dwellings,Occupied private dwellings (%),Unoccupied private dwellings (%),SSC_CODE
Tura Beach,1268.0,276.0,82.1,17.9,13973
South Pambula,160.0,10.0,94.1,5.9,13595
Pambula,385.0,39.0,90.8,9.2,13140
Broadwater (Bega Valley - NSW),43.0,8.0,84.3,15.7,10579
Bald Hills (NSW),91.0,11.0,89.2,10.8,10147
Millingandi,214.0,28.0,88.4,11.6,12622
Mirador,133.0,25.0,84.2,15.8,12644
Berrambool,195.0,36.0,84.4,15.6,10312
Moruya,1630.0,184.0,89.9,10.1,12734
Moruya Heads,387.0,139.0,73.6,26.4,12735
Bergalia,57.0,9.0,86.4,13.6,10302
Congo,87.0,53.0,62.1,37.9,11008
Bingie,75.0,29.0,72.1,27.9,10367
Bermagui,657.0,387.0,62.9,37.1,10307
Dalmeny,745.0,276.0,73.0,27.0,11191
Wallaga Lake,257.0,95.0,73.0,27.0,14102
Central Tilba,108.0,24.0,81.8,18.2,10877
North Narooma,256.0,81.0,76.0,24.0,12998
Akolele,44.0,33.0,57.1,42.9,10023
Mystery Bay,79.0,54.0,59.4,40.6,12883
Goulburn,8423.0,1022.0,89.2,10.8,11725
Run-o-Waters,152.0,16.0,90.5,9.5,13440
Marulan,431.0,123.0,77.8,22.2,12513
Windellama,136.0,125.0,52.1,47.9,14318
Bigga,88.0,87.0,50.3,49.7,10346
Tirrannaville,80.0,24.0,76.9,23.1,13883
Lake Bathurst,72.0,35.0,67.3,32.7,12239
Quialigo,81.0,23.0,77.9,22.1,13297
Laggan,123.0,70.0,63.7,36.3,12235
Grabben Gullen,81.0,21.0,79.4,20.6,11731
Parkesbourne,64.0,14.0,82.1,17.9,13152
Crookwell,1068.0,151.0,87.6,12.4,11123
Bungonia,139.0,123.0,53.1,46.9,10685
Collector,99.0,11.0,90.0,10.0,10972
Middle Arm,125.0,42.0,74.9,25.1,12599
Taralga,166.0,66.0,71.6,28.4,13759
Tarlo,60.0,19.0,75.9,24.1,13767
Wayo,39.0,22.0,63.9,36.1,14204
Bannister (NSW),43.0,18.0,70.5,29.5,10183
Brayton,59.0,36.0,62.1,37.9,10554
Greenwich Park,41.0,35.0,53.9,46.1,11771
Tallong,284.0,79.0,78.2,21.8,13733
Carrick (NSW),41.0,28.0,59.4,40.6,10828
Brisbane Grove,35.0,4.0,89.7,10.3,10577
Binda,93.0,50.0,65.0,35.0,10363
Towrang,60.0,13.0,82.2,17.8,13930
Mummel,37.0,6.0,86.0,14.0,12835
Baw Baw (NSW),88.0,8.0,91.7,8.3,10234
Boxers Creek,80.0,10.0,88.9,11.1,10541
Gundary,82.0,26.0,75.9,24.1,11806
Yass,2356.0,243.0,90.7,9.3,14493
Bookham,55.0,21.0,72.4,27.6,10478
Binalong,215.0,47.0,82.1,17.9,10362
Jugiong,79.0,33.0,70.5,29.5,12044
Galong,86.0,40.0,68.3,31.7,11580
Manton (NSW),98.0,9.0,91.6,8.4,12481
Yass River,119.0,30.0,79.9,20.1,14494
Rye Park,81.0,33.0,71.1,28.9,13455
Dalton,81.0,18.0,81.8,18.2,11194
Gundaroo,376.0,42.0,90.0,10.0,11805
Bowning,206.0,20.0,91.2,8.8,10535
Bellmount Forest,45.0,6.0,88.2,11.8,10274
Gunning,263.0,41.0,86.5,13.5,11813
Lade Vale,48.0,12.0,80.0,20.0,12232
Good Hope,54.0,13.0,80.6,19.4,11700
Wallaroo (NSW),214.0,26.0,89.2,10.8,14112
Murrumbateman,1000.0,79.0,92.7,7.3,12860
Jeir,75.0,7.0,91.5,8.5,12004
Marchmont,77.0,7.0,91.7,8.3,12487
Nanima,57.0,7.0,89.1,10.9,12891
Young,3832.0,476.0,89.0,11.0,14518
Kingsvale,63.0,18.0,77.8,22.2,12161
Burrangong,83.0,10.0,89.2,10.8,10706
Wyangala,75.0,73.0,50.7,49.3,14434
Wombat,84.0,12.0,87.5,12.5,14364
Cunningar,59.0,4.0,93.7,6.3,11164
Harden,830.0,128.0,86.6,13.4,11851
Boorowa,666.0,141.0,82.5,17.5,10503
Murrumburrah,40.0,4.0,90.9,9.1,12863
Frogmore,57.0,45.0,55.9,44.1,11571
Maimuru,52.0,4.0,92.9,7.1,12444
Bendick Murrell,55.0,3.0,94.8,5.2,10290
Koorawatha,170.0,39.0,81.3,18.7,12192
Monteagle,78.0,16.0,83.0,17.0,12683
Murringo,145.0,40.0,78.4,21.6,12858
Thuddungra,45.0,10.0,81.8,18.2,13853
Bribbaree,59.0,28.0,67.8,32.2,10566
Avoca Beach,1527.0,647.0,70.2,29.8,10114
Copacabana,937.0,446.0,67.8,32.2,11056
Killcare Heights,286.0,132.0,68.4,31.6,12134
Macmasters Beach,448.0,360.0,55.4,44.6,12432
Empire Bay,827.0,53.0,94.0,6.0,11415
Wagstaffe,92.0,79.0,53.8,46.2,14084
St Huberts Island,417.0,92.0,81.9,18.1,13638
Killcare,172.0,205.0,45.6,54.4,12133
Bensville,801.0,53.0,93.8,6.2,10297
Daleys Point,317.0,58.0,84.5,15.5,11189
Pretty Beach (Central Coast - NSW),124.0,87.0,58.8,41.2,13261
Hardys Bay,87.0,86.0,50.3,49.7,11852
Kincumber South,390.0,6.0,98.5,1.5,12142
Somersby,331.0,21.0,94.0,6.0,13571
Calga,44.0,8.0,84.6,15.4,10752
Woy Woy,4492.0,446.0,91.0,9.0,14425
Patonga,101.0,168.0,37.5,62.5,13160
Mooney Mooney,120.0,31.0,79.5,20.5,12704
Kariong,1982.0,121.0,94.2,5.8,12074
Peats Ridge,123.0,18.0,87.2,12.8,13172
Central Mangrove,91.0,10.0,90.1,9.9,10876
Mangrove Mountain,225.0,24.0,90.4,9.6,12472
Kulnura,204.0,36.0,85.0,15.0,12206
Mount White,86.0,11.0,88.7,11.3,12803
Wendoree Park,46.0,12.0,79.3,20.7,14224
Wisemans Ferry,94.0,17.0,84.7,15.3,14344
Gunderman,72.0,28.0,72.0,28.0,11808
Spencer,111.0,20.0,84.7,15.3,13607
Erina,1961.0,190.0,91.2,8.8,11433
Green Point (Central Coast - NSW),2430.0,127.0,95.0,5.0,11753
Matcham,298.0,32.0,90.3,9.7,12520
Holgate,275.0,16.0,94.5,5.5,11921
Lisarow,1682.0,86.0,95.1,4.9,12343
Erina Heights,123.0,11.0,91.8,8.2,11434
Terrigal,4155.0,910.0,82.0,18.0,13805
Springfield (Central Coast - NSW),1430.0,70.0,95.3,4.7,13623
North Gosford,1435.0,126.0,91.9,8.1,12991
West Gosford,578.0,96.0,85.8,14.2,14244
Gosford,1640.0,242.0,87.1,12.9,11722
East Gosford,1865.0,156.0,92.3,7.7,11349
Point Frederick,816.0,111.0,88.0,12.0,13232
Kincumber,2837.0,249.0,91.9,8.1,12141
Picketts Valley,59.0,7.0,89.4,10.6,13198
Narara,2712.0,154.0,94.6,5.4,12895
Niagara Park,953.0,63.0,93.8,6.2,12961
Mount Elliot (NSW),50.0,3.0,94.3,5.7,12757
Point Clare,1412.0,111.0,92.7,7.3,13231
Tascott,613.0,71.0,89.6,10.4,13772
Koolewong,347.0,37.0,90.4,9.6,12185
Saratoga,1353.0,129.0,91.3,8.7,13492
