,Less than 5 hours per week,5 to 14 hours per week,15 to 29 hours per week,30 hours or more per week,Less than 5 hours per week (%),5 to 14 hours per week (%),15 to 29 hours per week (%),30 hours or more per week (%)
Marsfield,2556.0,2604.0,1078.0,777.0,23.7,24.2,10.0,7.2
Maryland (Newcastle - NSW),1401.0,1608.0,780.0,623.0,23.4,26.8,13.0,10.4
Maryville,329.0,398.0,140.0,82.0,26.9,32.6,11.5,6.7
Mascot,2040.0,2002.0,755.0,616.0,23.8,23.3,8.8,7.2
Matraville,1637.0,1737.0,763.0,631.0,22.3,23.7,10.4,8.6
Mayfield (Newcastle - NSW),1729.0,2080.0,805.0,611.0,22.5,27.0,10.5,7.9
Mayfield East,312.0,421.0,153.0,95.0,21.8,29.5,10.7,6.6
Mayfield West,307.0,371.0,136.0,145.0,21.2,25.6,9.4,10.0
Mays Hill,107.0,128.0,60.0,79.0,18.2,21.8,10.2,13.4
McMahons Point,702.0,646.0,195.0,82.0,32.5,29.9,9.0,3.8
Meadowbank (NSW),891.0,873.0,261.0,164.0,27.1,26.5,7.9,5.0
Melrose Park (NSW),251.0,336.0,155.0,112.0,22.2,29.7,13.7,9.9
Menai,2028.0,2265.0,1045.0,781.0,25.0,27.9,12.9,9.6
Merewether,2520.0,2594.0,1042.0,701.0,28.7,29.5,11.9,8.0
Merewether Heights,242.0,335.0,175.0,116.0,21.8,30.2,15.8,10.4
Merrylands,4069.0,3982.0,1774.0,1932.0,19.5,19.1,8.5,9.2
Merrylands West,989.0,934.0,432.0,427.0,20.0,18.9,8.7,8.6
Middle Cove,246.0,300.0,165.0,101.0,24.9,30.3,16.7,10.2
Miller,357.0,343.0,169.0,240.0,15.0,14.4,7.1,10.1
Millers Point,438.0,336.0,107.0,82.0,26.7,20.5,6.5,5.0
Milperra,704.0,841.0,445.0,353.0,22.7,27.1,14.4,11.4
Milsons Point,533.0,475.0,156.0,91.0,28.6,25.5,8.4,4.9
Minchinbury,1001.0,1076.0,447.0,386.0,23.5,25.3,10.5,9.1
Minmi,104.0,131.0,80.0,66.0,19.8,25.0,15.3,12.6
Minto,1494.0,1692.0,816.0,793.0,18.8,21.3,10.3,10.0
Miranda (NSW),2776.0,3046.0,1401.0,1035.0,23.4,25.6,11.8,8.7
Mona Vale,2052.0,2338.0,1096.0,723.0,24.5,27.9,13.1,8.6
Monterey,785.0,848.0,382.0,315.0,21.7,23.4,10.5,8.7
Moorebank,1259.0,1480.0,688.0,620.0,21.1,24.8,11.5,10.4
Mortdale,1907.0,2141.0,855.0,684.0,23.8,26.7,10.7,8.5
Mortlake (NSW),149.0,184.0,72.0,51.0,24.6,30.4,11.9,8.4
Mosman,6268.0,6018.0,2569.0,1901.0,27.9,26.8,11.5,8.5
Mount Annan,1935.0,2244.0,954.0,787.0,25.2,29.2,12.4,10.3
Mount Colah,1431.0,1636.0,790.0,595.0,25.6,29.3,14.1,10.6
Mount Druitt,2146.0,2211.0,970.0,1166.0,18.4,18.9,8.3,10.0
Mount Hutton (NSW),550.0,645.0,327.0,279.0,20.7,24.3,12.3,10.5
Mount Keira,338.0,322.0,188.0,142.0,28.0,26.7,15.6,11.8
Mount Kembla,185.0,240.0,131.0,122.0,22.4,29.1,15.9,14.8
Mount Lewis,149.0,161.0,76.0,82.0,17.2,18.5,8.8,9.4
Mount Ousley,273.0,367.0,194.0,154.0,21.9,29.4,15.5,12.3
Mount Pleasant (NSW),238.0,263.0,147.0,122.0,24.6,27.2,15.2,12.6
Mount Pritchard,1273.0,1325.0,671.0,658.0,18.1,18.9,9.6,9.4
Mount Riverview,553.0,708.0,377.0,298.0,22.9,29.4,15.6,12.4
Mount Saint Thomas,225.0,290.0,162.0,127.0,20.5,26.4,14.7,11.6
Mount Warrigal,734.0,894.0,494.0,500.0,19.7,24.0,13.3,13.4
Narara,1348.0,1775.0,863.0,665.0,21.9,28.8,14.0,10.8
Narellan,679.0,696.0,348.0,293.0,24.5,25.2,12.6,10.6
Narellan Vale,1262.0,1501.0,715.0,551.0,23.8,28.3,13.5,10.4
Naremburn,1287.0,1429.0,502.0,342.0,29.2,32.4,11.4,7.8
Narrabeen,1756.0,1703.0,576.0,396.0,26.7,25.9,8.8,6.0
Narraweena,1124.0,1240.0,600.0,456.0,22.7,25.0,12.1,9.2
Narwee,790.0,842.0,440.0,332.0,19.3,20.6,10.7,8.1
Neutral Bay,2966.0,2426.0,652.0,396.0,35.1,28.7,7.7,4.7
New Lambton,1761.0,2306.0,1076.0,772.0,22.6,29.5,13.8,9.9
New Lambton Heights,426.0,526.0,270.0,183.0,24.4,30.2,15.5,10.5
Newcastle,707.0,635.0,201.0,96.0,31.7,28.5,9.0,4.3
Newcastle East,280.0,202.0,92.0,53.0,31.5,22.7,10.4,6.0
Newcastle West,146.0,162.0,34.0,18.0,27.4,30.4,6.4,3.4
Newington (NSW),1089.0,1166.0,439.0,346.0,26.4,28.2,10.6,8.4
Newport (NSW),1916.0,2152.0,963.0,615.0,26.2,29.4,13.2,8.4
Newtown (NSW),4520.0,3721.0,894.0,459.0,35.3,29.1,7.0,3.6
Niagara Park,505.0,605.0,312.0,261.0,23.2,27.8,14.4,12.0
Norah Head,209.0,214.0,160.0,105.0,22.1,22.7,16.9,11.1
Noraville,453.0,503.0,301.0,265.0,20.4,22.7,13.6,12.0
Normanhurst,885.0,1145.0,592.0,416.0,21.8,28.3,14.6,10.3
North Avoca,422.0,464.0,223.0,132.0,26.6,29.3,14.1,8.3
North Balgowlah,623.0,738.0,359.0,283.0,25.2,29.9,14.5,11.5
North Bondi,2215.0,1698.0,622.0,405.0,31.9,24.5,9.0,5.8
North Curl Curl,708.0,733.0,367.0,284.0,26.5,27.5,13.7,10.6
North Epping,809.0,1013.0,576.0,361.0,23.4,29.3,16.6,10.4
North Gosford,658.0,743.0,361.0,259.0,23.2,26.2,12.7,9.1
North Lambton,632.0,688.0,290.0,220.0,24.0,26.1,11.0,8.4
North Manly,505.0,610.0,267.0,205.0,24.0,29.0,12.7,9.7
North Narrabeen,1079.0,1309.0,576.0,422.0,25.1,30.4,13.4,9.8
North Parramatta,2407.0,2406.0,840.0,754.0,22.9,22.9,8.0,7.2
North Rocks,1422.0,1703.0,845.0,713.0,23.2,27.8,13.8,11.6
North Ryde,1860.0,2069.0,1001.0,733.0,22.6,25.1,12.1,8.9
North St Marys,470.0,575.0,297.0,318.0,16.5,20.2,10.4,11.2
North Strathfield,923.0,835.0,312.0,282.0,25.1,22.7,8.5,7.7
North Sydney,1761.0,1599.0,402.0,220.0,31.2,28.3,7.1,3.9
North Turramurra,675.0,835.0,503.0,359.0,20.2,25.0,15.1,10.8
North Wahroonga,365.0,432.0,221.0,197.0,24.2,28.7,14.7,13.1
North Willoughby,852.0,817.0,364.0,298.0,27.8,26.7,11.9,9.7
North Wollongong,734.0,467.0,124.0,66.0,34.2,21.7,5.8,3.1
Northbridge (NSW),1245.0,1245.0,635.0,474.0,27.5,27.5,14.0,10.5
Northmead,1926.0,2373.0,1051.0,800.0,23.1,28.4,12.6,9.6
Northwood (NSW),196.0,189.0,101.0,74.0,27.3,26.4,14.1,10.3
Oak Flats,1001.0,1302.0,722.0,669.0,19.5,25.4,14.1,13.1
Oakhurst (NSW),1166.0,1190.0,490.0,464.0,22.7,23.1,9.5,9.0
Oatlands (NSW),1024.0,1022.0,505.0,435.0,23.7,23.7,11.7,10.1
Oatley,2023.0,2211.0,1223.0,848.0,24.6,26.9,14.9,10.3
Old Guildford,361.0,292.0,134.0,197.0,19.1,15.4,7.1,10.4
Old Toongabbie,478.0,587.0,288.0,234.0,22.7,27.9,13.7,11.1
Ourimbah,781.0,887.0,482.0,392.0,24.0,27.3,14.8,12.1
Oxley Park,491.0,498.0,208.0,247.0,21.5,21.8,9.1,10.8
Oyster Bay,1018.0,1163.0,627.0,474.0,24.5,28.0,15.1,11.4
Paddington (NSW),3731.0,2771.0,778.0,488.0,35.2,26.1,7.3,4.6
Padstow,2309.0,2410.0,1189.0,948.0,22.2,23.1,11.4,9.1
Padstow Heights,581.0,699.0,340.0,297.0,20.3,24.5,11.9,10.4
Pagewood,721.0,706.0,331.0,277.0,24.5,24.0,11.2,9.4
Palm Beach (NSW),296.0,367.0,211.0,152.0,21.5,26.7,15.4,11.1
Panania,2063.0,2282.0,1021.0,956.0,22.6,25.0,11.2,10.5
Parramatta,3533.0,3698.0,1347.0,1017.0,20.9,21.8,8.0,6.0
Peakhurst,1635.0,1900.0,927.0,772.0,20.4,23.8,11.6,9.7
Peakhurst Heights,406.0,508.0,304.0,213.0,21.5,26.9,16.1,11.3
Pearl Beach,72.0,127.0,77.0,51.0,15.6,27.5,16.7,11.1
Pelican (NSW),144.0,182.0,95.0,61.0,20.5,26.0,13.6,8.7
Pendle Hill,963.0,1142.0,542.0,506.0,18.0,21.3,10.1,9.5
Pennant Hills,1448.0,1604.0,824.0,576.0,25.1,27.8,14.3,10.0
Penrith,2077.0,2381.0,997.0,851.0,21.2,24.3,10.2,8.7
Penrose (Wollongong - NSW),263.0,248.0,148.0,142.0,23.4,22.0,13.2,12.6
Penshurst (NSW),2201.0,2415.0,1030.0,827.0,22.9,25.1,10.7,8.6
Petersham,1883.0,1919.0,603.0,339.0,29.5,30.0,9.4,5.3
Phillip Bay,106.0,123.0,61.0,61.0,21.2,24.6,12.2,12.2
Picnic Point,1076.0,1192.0,576.0,533.0,24.1,26.7,12.9,12.0
Plumpton (NSW),1369.0,1417.0,568.0,574.0,22.1,22.9,9.2,9.3
Point Clare,624.0,765.0,413.0,343.0,20.3,24.9,13.4,11.2
Point Frederick,352.0,421.0,190.0,115.0,22.6,27.1,12.2,7.4
Point Piper,283.0,230.0,85.0,83.0,23.3,18.9,7.0,6.8
Port Kembla,762.0,937.0,519.0,444.0,18.6,22.9,12.7,10.8
Potts Point,2266.0,1482.0,259.0,113.0,34.2,22.4,3.9,1.7
Prairiewood,522.0,459.0,244.0,230.0,21.1,18.6,9.9,9.3
Prestons,2360.0,2508.0,1093.0,943.0,22.7,24.2,10.5,9.1
Primbee,217.0,283.0,178.0,157.0,16.5,21.6,13.6,12.0
Prospect (NSW),853.0,900.0,393.0,368.0,23.2,24.5,10.7,10.0
Punchbowl (Canterbury - NSW),2426.0,2321.0,1083.0,1273.0,17.3,16.5,7.7,9.1
Putney,848.0,809.0,479.0,322.0,26.3,25.1,14.9,10.0
Pymble,2158.0,2261.0,1250.0,921.0,25.7,27.0,14.9,11.0
Pyrmont,3326.0,2545.0,664.0,421.0,31.4,24.0,6.3,4.0
Quakers Hill,4724.0,5320.0,2383.0,1945.0,23.7,26.7,12.0,9.8
Queens Park (NSW),686.0,619.0,237.0,196.0,29.4,26.6,10.2,8.4
Raby,1071.0,1260.0,538.0,453.0,22.6,26.6,11.4,9.6
Ramsgate,186.0,164.0,81.0,68.0,24.9,22.0,10.9,9.1
Ramsgate Beach,303.0,298.0,133.0,100.0,24.2,23.8,10.6,8.0
Randwick,7265.0,6240.0,2022.0,1326.0,30.8,26.4,8.6,5.6
Rankin Park,422.0,642.0,306.0,219.0,21.2,32.2,15.4,11.0
Redfern,3514.0,2742.0,637.0,384.0,31.4,24.5,5.7,3.4
Redhead,596.0,723.0,426.0,310.0,21.0,25.5,15.0,10.9
Regents Park (NSW),682.0,698.0,347.0,310.0,19.3,19.7,9.8,8.8
Regentville,105.0,111.0,71.0,44.0,21.7,23.0,14.7,9.1
Revesby,2150.0,2374.0,1104.0,1019.0,20.5,22.6,10.5,9.7
Revesby Heights,226.0,300.0,138.0,134.0,21.4,28.4,13.1,12.7
Rhodes,1212.0,1050.0,336.0,219.0,24.0,20.8,6.6,4.3
Riverstone,969.0,1203.0,570.0,569.0,19.9,24.7,11.7,11.7
Riverview (Lane Cove - NSW),615.0,689.0,333.0,260.0,25.5,28.6,13.8,10.8
Riverwood,1577.0,1657.0,757.0,697.0,18.6,19.6,8.9,8.2
Rockdale,2620.0,2451.0,908.0,728.0,21.8,20.4,7.6,6.1
Rocky Point (NSW),47.0,62.0,27.0,24.0,22.5,29.7,12.9,11.5
Rodd Point,248.0,299.0,139.0,102.0,23.7,28.6,13.3,9.8
Rooty Hill,2091.0,2248.0,975.0,947.0,20.0,21.5,9.3,9.0
Rose Bay (NSW),2299.0,1917.0,704.0,480.0,29.7,24.7,9.1,6.2
Rosebery (NSW),1801.0,1594.0,603.0,476.0,25.3,22.4,8.5,6.7
Roselands,1806.0,1820.0,860.0,803.0,20.6,20.8,9.8,9.2
Rosemeadow,1284.0,1312.0,654.0,593.0,22.3,22.8,11.4,10.3
Roseville,1845.0,1944.0,961.0,807.0,25.9,27.3,13.5,11.3
Roseville Chase,304.0,332.0,188.0,138.0,25.5,27.9,15.8,11.6
Rouse Hill,1224.0,1432.0,691.0,552.0,23.3,27.3,13.2,10.5
Rozelle,2091.0,2111.0,638.0,423.0,31.7,32.0,9.7,6.4
Ruse,939.0,1227.0,605.0,437.0,21.4,28.0,13.8,10.0
Rushcutters Bay,733.0,508.0,111.0,51.0,32.5,22.5,4.9,2.3
Russell Lea,1019.0,1045.0,476.0,327.0,26.0,26.7,12.2,8.4
Russell Vale,271.0,325.0,174.0,130.0,22.7,27.2,14.5,10.9
Rydalmere,1078.0,1157.0,582.0,477.0,22.0,23.6,11.9,9.7
Ryde,4169.0,4566.0,1920.0,1532.0,23.4,25.7,10.8,8.6
Sadleir,333.0,333.0,175.0,240.0,14.8,14.8,7.8,10.6
San Remo (NSW),643.0,779.0,424.0,364.0,19.9,24.1,13.1,11.2
Sandringham (NSW),226.0,195.0,93.0,84.0,28.2,24.3,11.6,10.5
Sans Souci,1731.0,1991.0,917.0,716.0,21.6,24.9,11.5,8.9
Saratoga,703.0,804.0,441.0,360.0,23.5,26.9,14.8,12.0
Scarborough (NSW),38.0,48.0,38.0,25.0,18.6,23.5,18.6,12.3
Schofields,678.0,785.0,353.0,292.0,22.7,26.2,11.8,9.8
Scotland Island,144.0,167.0,91.0,54.0,26.2,30.4,16.6,9.8
Seaforth (NSW),1244.0,1335.0,717.0,593.0,24.9,26.7,14.4,11.9
Sefton,800.0,797.0,377.0,362.0,19.6,19.6,9.3,8.9
Seven Hills (NSW),3224.0,3618.0,1808.0,1540.0,21.4,24.0,12.0,10.2
Shalvey,460.0,468.0,236.0,291.0,17.9,18.3,9.2,11.4
Shell Cove,648.0,820.0,448.0,352.0,22.5,28.4,15.5,12.2
Shellharbour,588.0,731.0,351.0,311.0,21.5,26.7,12.8,11.3
Shelly Beach (NSW),213.0,264.0,184.0,104.0,19.9,24.6,17.2,9.7
Shortland,656.0,771.0,372.0,341.0,21.2,24.9,12.0,11.0
Silverwater (Lake Macquarie - NSW),36.0,54.0,29.0,32.0,17.9,26.9,14.4,15.9
Smithfield (NSW),1570.0,1643.0,706.0,822.0,17.9,18.8,8.1,9.4
South Coogee,956.0,966.0,461.0,293.0,23.3,23.5,11.2,7.1
South Granville,555.0,532.0,266.0,337.0,15.3,14.7,7.4,9.3
South Hurstville,887.0,905.0,376.0,349.0,22.2,22.6,9.4,8.7
South Penrith,2003.0,2440.0,1234.0,1081.0,21.7,26.4,13.4,11.7
South Turramurra,524.0,633.0,376.0,273.0,23.4,28.3,16.8,12.2
South Wentworthville,894.0,1022.0,453.0,435.0,20.6,23.6,10.4,10.0
Speers Point,531.0,800.0,350.0,308.0,19.8,29.9,13.1,11.5
Springfield (Gosford - NSW),702.0,838.0,405.0,373.0,22.6,27.0,13.0,12.0
Springwood (NSW),1506.0,1987.0,1074.0,800.0,21.9,28.9,15.6,11.6
St Andrews (NSW),1035.0,1113.0,496.0,456.0,23.0,24.7,11.0,10.1
St Clair (Penrith - NSW),3585.0,3919.0,1828.0,1534.0,23.0,25.1,11.7,9.8
St Helens Park,1138.0,1098.0,550.0,490.0,24.5,23.6,11.8,10.6
St Huberts Island,177.0,244.0,125.0,118.0,19.4,26.8,13.7,13.0
St Ives (NSW),3159.0,3393.0,1757.0,1344.0,25.2,27.0,14.0,10.7
St Ives Chase,612.0,685.0,358.0,274.0,24.9,27.9,14.6,11.2
St Johns Park,1014.0,927.0,432.0,429.0,20.6,18.8,8.8,8.7
St Leonards (NSW),1375.0,1029.0,281.0,152.0,34.0,25.4,6.9,3.8
St Marys (NSW),1725.0,1927.0,869.0,858.0,19.8,22.1,10.0,9.8
St Peters (NSW),777.0,788.0,215.0,115.0,31.0,31.5,8.6,4.6
Stanhope Gardens,1333.0,1610.0,656.0,555.0,24.1,29.1,11.9,10.0
Stanmore (NSW),2165.0,2019.0,590.0,346.0,32.7,30.5,8.9,5.2
Stockton (NSW),640.0,856.0,384.0,328.0,17.7,23.6,10.6,9.1
Strathfield (NSW),4432.0,4114.0,1870.0,1503.0,21.7,20.2,9.2,7.4
Strathfield South,616.0,600.0,269.0,218.0,23.6,23.0,10.3,8.3
Summer Hill (Ashfield - NSW),1586.0,1657.0,541.0,332.0,28.2,29.4,9.6,5.9
Surry Hills,5073.0,3389.0,653.0,343.0,34.8,23.3,4.5,2.4
Sutherland (NSW),2216.0,2474.0,839.0,592.0,26.3,29.3,10.0,7.0
Swansea (NSW),743.0,900.0,541.0,527.0,17.9,21.7,13.1,12.7
Swansea Heads,112.0,138.0,93.0,69.0,19.5,24.0,16.2,12.0
Sydenham (NSW),249.0,217.0,71.0,54.0,27.0,23.6,7.7,5.9
Sydney,3173.0,2087.0,532.0,313.0,23.1,15.2,3.9,2.3
Sylvania,1732.0,1989.0,1008.0,845.0,21.5,24.7,12.5,10.5
Sylvania Waters,631.0,582.0,295.0,271.0,24.8,22.8,11.6,10.6
Tacoma,114.0,126.0,93.0,78.0,19.2,21.2,15.6,13.1
Tacoma South,51.0,56.0,35.0,27.0,23.7,26.0,16.3,12.6
Tamarama,402.0,294.0,80.0,49.0,32.2,23.5,6.4,3.9
Taren Point,290.0,342.0,187.0,173.0,19.4,22.9,12.5,11.6
Tarrawanna,333.0,404.0,217.0,182.0,20.5,24.9,13.4,11.2
Tascott,286.0,357.0,186.0,148.0,20.8,25.9,13.5,10.7
Tempe,592.0,732.0,276.0,206.0,21.8,26.9,10.1,7.6
Teralba,216.0,305.0,176.0,134.0,16.6,23.5,13.6,10.3
Terrey Hills,576.0,658.0,317.0,254.0,24.6,28.2,13.6,10.9
Terrigal,2124.0,2429.0,1173.0,836.0,24.2,27.7,13.4,9.5
The Entrance,581.0,675.0,315.0,313.0,17.9,20.9,9.7,9.7
The Entrance North,224.0,278.0,140.0,132.0,20.0,24.8,12.5,11.8
The Hill,544.0,466.0,142.0,73.0,35.3,30.3,9.2,4.7
The Junction,340.0,377.0,162.0,93.0,26.4,29.3,12.6,7.2
Thirroul,1024.0,1305.0,649.0,468.0,22.7,29.0,14.4,10.4
Thornleigh,1545.0,1868.0,918.0,678.0,24.4,29.5,14.5,10.7
Tighes Hill,324.0,381.0,155.0,111.0,24.7,29.0,11.8,8.4
Tingira Heights,348.0,435.0,209.0,178.0,22.9,28.7,13.8,11.7
Toongabbie (NSW),2260.0,2574.0,1256.0,1052.0,21.7,24.8,12.1,10.1
Toowoon Bay,88.0,123.0,63.0,38.0,18.2,25.4,13.0,7.9
Toronto,841.0,1034.0,567.0,565.0,18.7,23.0,12.6,12.5
Toukley,554.0,795.0,388.0,374.0,15.8,22.7,11.1,10.7
Towradgi,556.0,615.0,313.0,258.0,21.4,23.6,12.0,9.9
Tregear,443.0,499.0,250.0,294.0,15.7,17.7,8.9,10.4
Tuggerah,177.0,233.0,113.0,74.0,23.0,30.3,14.7,9.6
Tuggerawong,187.0,269.0,102.0,106.0,19.1,27.5,10.4,10.8
Tumbi Umbi,845.0,944.0,588.0,511.0,21.4,23.9,14.9,12.9
Turramurra,2173.0,2451.0,1297.0,1019.0,24.6,27.8,14.7,11.5
Turrella,254.0,271.0,102.0,126.0,21.1,22.5,8.5,10.5
Ultimo,1711.0,1134.0,266.0,157.0,25.5,16.9,4.0,2.3
Umina Beach,2549.0,3316.0,1666.0,1520.0,19.6,25.5,12.8,11.7
Unanderra,835.0,994.0,560.0,563.0,18.2,21.7,12.2,12.3
Valentine (NSW),996.0,1344.0,702.0,526.0,22.1,29.9,15.6,11.7
Valley Heights,260.0,324.0,180.0,152.0,23.2,28.9,16.1,13.6
Vaucluse,1849.0,1759.0,715.0,572.0,25.8,24.6,10.0,8.0
Villawood,672.0,651.0,291.0,338.0,15.8,15.3,6.9,8.0
Voyager Point,267.0,291.0,141.0,82.0,26.0,28.3,13.7,8.0
Wahroonga,3301.0,3610.0,1779.0,1423.0,24.8,27.1,13.3,10.7
Waitara,1079.0,1158.0,469.0,374.0,24.5,26.3,10.7,8.5
Wakeley,774.0,716.0,307.0,299.0,20.5,18.9,8.1,7.9
Wallsend,2056.0,2453.0,1223.0,1069.0,20.3,24.2,12.0,10.5
Wamberal,1120.0,1393.0,741.0,558.0,22.6,28.2,15.0,11.3
Warabrook,388.0,451.0,221.0,143.0,21.7,25.2,12.3,8.0
Waratah (NSW),854.0,933.0,395.0,294.0,21.0,23.0,9.7,7.2
Waratah West,576.0,594.0,226.0,221.0,25.3,26.1,9.9,9.7
Wareemba,296.0,325.0,175.0,97.0,24.4,26.8,14.4,8.0
Warilla,871.0,1091.0,610.0,583.0,16.7,20.9,11.7,11.2
Warners Bay,1272.0,1604.0,887.0,702.0,21.0,26.5,14.6,11.6
Warrawee,641.0,574.0,325.0,255.0,27.3,24.5,13.9,10.9
Warrawong,622.0,736.0,389.0,453.0,16.1,19.1,10.1,11.7
Warriewood,1128.0,1387.0,606.0,457.0,24.1,29.6,12.9,9.8
Warrimoo,421.0,577.0,276.0,229.0,23.1,31.6,15.1,12.5
Warwick Farm,573.0,580.0,239.0,311.0,15.7,15.9,6.6,8.5
Watanobbi,561.0,701.0,342.0,362.0,19.5,24.4,11.9,12.6
Waterloo (NSW),2625.0,1960.0,457.0,290.0,26.4,19.7,4.6,2.9
Watsons Bay,192.0,176.0,75.0,54.0,25.6,23.5,10.0,7.2
Wattle Grove (NSW),1445.0,1691.0,781.0,602.0,23.9,28.0,12.9,10.0
Waverley (NSW),980.0,828.0,258.0,207.0,27.4,23.2,7.2,5.8
Waverton,778.0,776.0,270.0,130.0,31.2,31.1,10.8,5.2
Wentworthville,1782.0,1985.0,957.0,763.0,20.9,23.3,11.2,9.0
Werrington,634.0,747.0,291.0,302.0,21.0,24.8,9.7,10.0
Werrington County,613.0,793.0,390.0,319.0,20.9,27.1,13.3,10.9
Werrington Downs,613.0,740.0,349.0,242.0,23.4,28.2,13.3,9.2
West Gosford,235.0,277.0,122.0,102.0,19.5,23.0,10.1,8.5
West Hoxton,1486.0,1548.0,671.0,596.0,22.5,23.4,10.1,9.0
West Pennant Hills,3322.0,3571.0,1780.0,1462.0,25.5,27.4,13.6,11.2
West Pymble,1009.0,1107.0,589.0,436.0,26.3,28.8,15.3,11.4
West Ryde,2366.0,2628.0,1100.0,805.0,23.9,26.5,11.1,8.1
West Wallsend,253.0,347.0,160.0,176.0,18.9,25.9,12.0,13.2
West Wollongong,846.0,957.0,457.0,367.0,23.8,26.9,12.8,10.3
Westleigh,903.0,1092.0,573.0,359.0,25.4,30.8,16.1,10.1
Westmead,2206.0,2697.0,1142.0,932.0,19.3,23.7,10.0,8.2
Wetherill Park,1012.0,1072.0,481.0,482.0,20.2,21.4,9.6,9.6
Whalan,696.0,776.0,373.0,510.0,15.9,17.7,8.5,11.7
Whitebridge,455.0,571.0,291.0,229.0,22.2,27.9,14.2,11.2
Wickham (NSW),270.0,229.0,92.0,45.0,31.2,26.5,10.6,5.2
Wiley Park,1232.0,1327.0,530.0,658.0,16.8,18.1,7.2,9.0
Willmot,294.0,287.0,182.0,203.0,16.8,16.4,10.4,11.6
Willoughby (NSW),1150.0,1340.0,567.0,388.0,24.9,29.0,12.3,8.4
Willoughby East,324.0,377.0,209.0,132.0,24.5,28.5,15.8,10.0
Windale,380.0,439.0,244.0,279.0,15.7,18.2,10.1,11.5
Windang,399.0,493.0,289.0,253.0,17.8,22.0,12.9,11.3
Winmalee,1330.0,1543.0,764.0,637.0,25.8,29.9,14.8,12.3
Winston Hills,1909.0,2477.0,1241.0,982.0,21.5,27.9,14.0,11.1
Wollongong,3844.0,3762.0,1276.0,840.0,25.5,25.0,8.5,5.6
Wollstonecraft,2411.0,2268.0,606.0,346.0,33.4,31.4,8.4,4.8
Wombarra,146.0,236.0,98.0,62.0,21.2,34.3,14.2,9.0
Woodbine (NSW),506.0,496.0,240.0,213.0,24.1,23.7,11.4,10.2
Woodcroft (NSW),1151.0,1246.0,532.0,456.0,22.7,24.6,10.5,9.0
Woodpark,231.0,241.0,142.0,92.0,23.0,24.0,14.1,9.2
Woodrising,211.0,241.0,119.0,108.0,22.6,25.8,12.8,11.6
Woollahra,1864.0,1681.0,577.0,388.0,30.3,27.4,9.4,6.3
Woolloomooloo,997.0,776.0,183.0,104.0,28.7,22.3,5.3,3.0
Woolooware,815.0,871.0,436.0,322.0,24.7,26.4,13.2,9.8
Woolwich,166.0,167.0,88.0,60.0,24.2,24.3,12.8,8.7
Woonona,1933.0,2556.0,1246.0,980.0,21.0,27.8,13.5,10.6
Woronora,395.0,491.0,279.0,170.0,22.9,28.5,16.2,9.9
Woronora Heights,639.0,641.0,321.0,247.0,27.0,27.1,13.6,10.5
Woy Woy,1636.0,2035.0,1019.0,963.0,19.0,23.7,11.8,11.2
Woy Woy Bay,78.0,109.0,57.0,34.0,21.1,29.5,15.4,9.2
Wyoming,1559.0,2015.0,1047.0,833.0,19.4,25.1,13.0,10.4
Wyong,558.0,699.0,390.0,380.0,18.3,22.9,12.8,12.5
Wyongah,333.0,395.0,229.0,178.0,21.7,25.8,14.9,11.6
Yagoona,2155.0,2294.0,1157.0,1143.0,17.3,18.5,9.3,9.2
Yarrawarrah,575.0,686.0,392.0,251.0,23.8,28.3,16.2,10.4
Yattalunga (NSW),96.0,101.0,67.0,47.0,23.9,25.1,16.7,11.7
Yennora,172.0,164.0,80.0,96.0,15.1,14.4,7.0,8.4
Yowie Bay,572.0,703.0,381.0,284.0,22.5,27.7,15.0,11.2
Zetland,1066.0,855.0,225.0,117.0,31.2,25.0,6.6,3.4
