,Less than 5 hours per week,5 to 14 hours per week,15 to 29 hours per week,30 hours or more per week,Less than 5 hours per week (%),5 to 14 hours per week (%),15 to 29 hours per week (%),30 hours or more per week (%)
Copacabana,526.0,596.0,309.0,218.0,25.5,28.9,15.0,10.6
Cordeaux Heights,962.0,953.0,519.0,386.0,26.1,25.8,14.1,10.5
Corrimal,1134.0,1329.0,686.0,579.0,21.6,25.3,13.1,11.0
Cranebrook,2552.0,2956.0,1387.0,1224.0,23.1,26.7,12.5,11.1
Cremorne (NSW),2973.0,2665.0,874.0,553.0,31.3,28.1,9.2,5.8
Cremorne Point,559.0,495.0,182.0,130.0,32.4,28.7,10.6,7.5
Cringila,292.0,329.0,155.0,168.0,17.6,19.8,9.3,10.1
Cromer (NSW),1405.0,1606.0,809.0,492.0,25.1,28.7,14.4,8.8
Cronulla,4467.0,4174.0,1474.0,949.0,29.9,27.9,9.9,6.3
Croudace Bay,88.0,121.0,67.0,53.0,20.5,28.1,15.6,12.3
Crows Nest (NSW),1158.0,1056.0,305.0,162.0,32.8,29.9,8.6,4.6
Croydon (NSW),2059.0,2156.0,878.0,730.0,24.0,25.1,10.2,8.5
Croydon Park (NSW),2112.0,2133.0,903.0,780.0,24.2,24.5,10.4,8.9
Curl Curl,456.0,516.0,241.0,191.0,24.8,28.0,13.1,10.4
Currans Hill,817.0,1064.0,472.0,357.0,23.0,29.9,13.3,10.0
Daceyville,163.0,179.0,83.0,74.0,15.7,17.3,8.0,7.1
Daleys Point,103.0,119.0,82.0,63.0,18.9,21.8,15.0,11.5
Dapto,1652.0,2069.0,1155.0,1073.0,19.3,24.2,13.5,12.5
Darling Point,1047.0,860.0,288.0,189.0,29.7,24.4,8.2,5.4
Darlinghurst,3463.0,2218.0,390.0,214.0,35.9,23.0,4.0,2.2
Darlington (Sydney - NSW),806.0,507.0,110.0,50.0,38.6,24.3,5.3,2.4
Davidson,548.0,535.0,291.0,173.0,28.4,27.7,15.1,9.0
Davistown,419.0,540.0,273.0,231.0,21.3,27.5,13.9,11.7
Dawes Point,132.0,117.0,48.0,23.0,26.7,23.6,9.7,4.6
Dean Park,491.0,538.0,238.0,205.0,20.5,22.5,10.0,8.6
Dee Why,4844.0,4587.0,1494.0,1001.0,29.0,27.4,8.9,6.0
Denistone,686.0,797.0,437.0,319.0,23.9,27.7,15.2,11.1
Denistone East,348.0,470.0,223.0,177.0,21.3,28.7,13.6,10.8
Denistone West,179.0,195.0,100.0,74.0,25.1,27.3,14.0,10.4
Dharruk,390.0,415.0,192.0,211.0,18.4,19.6,9.1,10.0
Dolans Bay,104.0,111.0,68.0,53.0,23.3,24.8,15.2,11.9
Dolls Point,368.0,372.0,154.0,124.0,24.3,24.5,10.2,8.2
Doonside,1959.0,2161.0,933.0,984.0,19.1,21.1,9.1,9.6
Double Bay,1290.0,1007.0,327.0,199.0,31.6,24.6,8.0,4.9
Dover Heights,900.0,787.0,318.0,231.0,28.9,25.3,10.2,7.4
Drummoyne,2659.0,2653.0,984.0,654.0,27.8,27.7,10.3,6.8
Dudley,437.0,513.0,295.0,213.0,23.9,28.0,16.1,11.6
Dulwich Hill,2888.0,3084.0,1027.0,662.0,26.9,28.7,9.6,6.2
Dundas (NSW),769.0,719.0,366.0,310.0,24.8,23.2,11.8,10.0
Dundas Valley,850.0,907.0,440.0,372.0,22.9,24.4,11.9,10.0
Dural (Hornsby - NSW),1465.0,1477.0,824.0,618.0,24.5,24.7,13.8,10.3
Eagle Vale,1015.0,1048.0,441.0,426.0,22.9,23.7,10.0,9.6
Earlwood,3005.0,3366.0,1584.0,1352.0,22.0,24.6,11.6,9.9
East Gosford,661.0,948.0,387.0,334.0,19.8,28.5,11.6,10.0
East Hills,596.0,689.0,347.0,275.0,22.4,25.9,13.0,10.3
East Killara,570.0,594.0,333.0,273.0,24.5,25.5,14.3,11.7
East Lindfield,630.0,735.0,415.0,328.0,23.2,27.1,15.3,12.1
East Ryde,418.0,531.0,279.0,190.0,22.7,28.9,15.2,10.3
Eastern Creek,126.0,135.0,61.0,70.0,20.7,22.2,10.0,11.5
Eastlakes,1057.0,1105.0,456.0,444.0,18.8,19.7,8.1,7.9
Eastwood (NSW),3155.0,3183.0,1644.0,1191.0,23.2,23.4,12.1,8.7
Edensor Park,1675.0,1385.0,683.0,642.0,22.1,18.2,9.0,8.5
Edgecliff,571.0,485.0,127.0,80.0,31.6,26.9,7.0,4.4
Edgeworth,976.0,1261.0,595.0,584.0,19.3,25.0,11.8,11.6
Elanora Heights,720.0,827.0,473.0,327.0,24.4,28.0,16.0,11.1
Elderslie (Camden - NSW),826.0,915.0,449.0,345.0,25.5,28.2,13.9,10.7
Eleebana,1000.0,1324.0,740.0,535.0,22.2,29.4,16.4,11.9
Elermore Vale,876.0,1173.0,535.0,449.0,20.8,27.9,12.7,10.7
Elizabeth Bay,1727.0,1240.0,263.0,113.0,35.4,25.4,5.4,2.3
Emerton,285.0,326.0,140.0,178.0,16.2,18.5,7.9,10.1
Empire Bay,368.0,491.0,277.0,202.0,20.6,27.5,15.5,11.3
Emu Heights (NSW),661.0,690.0,360.0,299.0,25.7,26.8,14.0,11.6
Emu Plains,1372.0,1715.0,822.0,759.0,21.0,26.2,12.6,11.6
Enfield (NSW),527.0,517.0,229.0,179.0,23.5,23.1,10.2,8.0
Engadine,2857.0,3790.0,1960.0,1600.0,22.1,29.3,15.1,12.3
