,Real estate agent,State or Territory housing authority,Other landlord type,Landlord type not stated,Real estate agent (%),State or Territory housing authority (%),Other landlord type (%),Landlord type not stated (%)
Abbotsbury,40.0,0.0,23.0,0.0,62.5,0.0,35.9,0.0
Australia,813633.0,317171.0,705122.0,22398.0,43.8,17.1,37.9,1.2
Abbotsford,479.0,134.0,163.0,3.0,60.8,17.0,20.7,0.4
Acacia Gardens,54.0,0.0,25.0,0.0,70.1,0.0,32.5,0.0
Adamstown,357.0,97.0,274.0,6.0,48.9,13.3,37.5,0.8
Adamstown Heights,122.0,0.0,81.0,0.0,62.2,0.0,41.3,0.0
Airds,3.0,1040.0,16.0,17.0,0.3,96.8,1.5,1.6
Albion Park,260.0,95.0,117.0,6.0,55.2,20.2,24.8,1.3
Albion Park Rail,272.0,175.0,154.0,9.0,44.6,28.7,25.2,1.5
Alexandria,579.0,46.0,224.0,0.0,67.8,5.4,26.2,0.0
Alfords Point,19.0,0.0,0.0,0.0,65.5,0.0,0.0,0.0
Allambie Heights,112.0,0.0,261.0,13.0,29.2,0.0,68.0,3.4
Allawah,538.0,14.0,154.0,12.0,74.7,1.9,21.4,1.7
Ambarvale,298.0,436.0,95.0,3.0,35.7,52.3,11.4,0.4
Annandale,981.0,64.0,525.0,14.0,62.1,4.1,33.2,0.9
Argenton,54.0,51.0,42.0,3.0,34.8,32.9,27.1,1.9
Arncliffe,418.0,198.0,332.0,18.0,43.4,20.6,34.5,1.9
Artarmon,1100.0,181.0,337.0,22.0,67.2,11.1,20.6,1.3
Ashbury,79.0,0.0,44.0,0.0,61.7,0.0,34.4,0.0
Ashcroft,60.0,366.0,60.0,6.0,12.2,74.2,12.2,1.2
Ashfield,2539.0,85.0,883.0,38.0,71.6,2.4,24.9,1.1
Asquith,104.0,15.0,74.0,6.0,50.7,7.3,36.1,2.9
Auburn,1816.0,327.0,741.0,57.0,61.8,11.1,25.2,1.9
Austinmer,68.0,0.0,69.0,3.0,48.6,0.0,49.3,2.1
Avoca Beach,165.0,3.0,132.0,0.0,55.7,1.0,44.6,0.0
Balgowlah,509.0,36.0,284.0,9.0,61.3,4.3,34.2,1.1
Balgowlah Heights,41.0,8.0,42.0,0.0,44.1,8.6,45.2,0.0
Balgownie,149.0,218.0,116.0,6.0,30.8,45.1,24.0,1.2
Balmain,967.0,285.0,566.0,21.0,52.6,15.5,30.8,1.1
Balmain East,200.0,63.0,93.0,6.0,55.6,17.5,25.8,1.7
Bangor,76.0,7.0,41.0,3.0,57.1,5.3,30.8,2.3
Banksia,96.0,0.0,67.0,0.0,57.5,0.0,40.1,0.0
Bankstown,1866.0,692.0,754.0,50.0,55.3,20.5,22.4,1.5
Bar Beach,119.0,178.0,58.0,0.0,33.1,49.4,16.1,0.0
Barden Ridge,43.0,0.0,19.0,0.0,79.6,0.0,35.2,0.0
Bardwell Park,83.0,3.0,45.0,0.0,61.5,2.2,33.3,0.0
Bardwell Valley,47.0,15.0,29.0,0.0,50.0,16.0,30.9,0.0
