,Owned outright,Owned with a mortgage,Rented,Other tenure type,Tenure type not stated,Owned outright (%),Owned with a mortgage (%),Rented (%),Other tenure type (%),Tenure type not stated (%)
Elderslie (Camden - NSW),403.0,718.0,315.0,3.0,25.0,27.5,49.0,21.5,0.2,1.7
Eleebana,923.0,772.0,178.0,13.0,24.0,48.3,40.4,9.3,0.7,1.3
Elermore Vale,654.0,641.0,506.0,11.0,48.0,35.2,34.5,27.2,0.6,2.6
Elizabeth Bay,563.0,536.0,1681.0,20.0,64.0,19.7,18.7,58.7,0.7,2.2
Emerton,134.0,198.0,358.0,3.0,23.0,18.7,27.7,50.0,0.4,3.2
Empire Bay,292.0,336.0,165.0,5.0,22.0,35.6,41.0,20.1,0.6,2.7
Emu Heights (NSW),296.0,565.0,165.0,3.0,15.0,28.4,54.1,15.8,0.3,1.4
Emu Plains,1098.0,1105.0,550.0,13.0,108.0,38.2,38.4,19.1,0.5,3.8
Enfield (NSW),349.0,294.0,268.0,12.0,23.0,36.9,31.1,28.3,1.3,2.4
Engadine,2158.0,2669.0,767.0,24.0,79.0,37.9,46.8,13.5,0.4,1.4
Enmore (Marrickville - NSW),296.0,428.0,682.0,6.0,32.0,20.5,29.6,47.2,0.4,2.2
Epping (NSW),2820.0,2085.0,2042.0,51.0,109.0,39.7,29.3,28.7,0.7,1.5
Erina,851.0,461.0,352.0,122.0,90.0,45.4,24.6,18.8,6.5,4.8
Ermington,876.0,1107.0,1112.0,27.0,71.0,27.4,34.7,34.8,0.8,2.2
Erskine Park,470.0,1125.0,270.0,3.0,23.0,24.9,59.5,14.3,0.2,1.2
Erskineville,401.0,1120.0,1645.0,15.0,53.0,12.4,34.6,50.9,0.5,1.6
Eschol Park,196.0,459.0,144.0,3.0,16.0,24.0,56.1,17.6,0.4,2.0
Ettalong Beach,859.0,333.0,823.0,12.0,80.0,40.8,15.8,39.1,0.6,3.8
Fairfield (NSW),1220.0,1310.0,2783.0,34.0,205.0,22.0,23.6,50.1,0.6,3.7
Fairfield East,406.0,438.0,566.0,16.0,55.0,27.4,29.6,38.2,1.1,3.7
Fairfield Heights,553.0,526.0,834.0,12.0,83.0,27.5,26.2,41.5,0.6,4.1
Fairfield West,1180.0,1141.0,664.0,16.0,105.0,38.0,36.7,21.4,0.5,3.4
Fairlight,723.0,675.0,800.0,8.0,31.0,32.3,30.2,35.8,0.4,1.4
Fairy Meadow,931.0,608.0,1027.0,24.0,104.0,34.6,22.6,38.1,0.9,3.9
Farmborough Heights,541.0,639.0,170.0,3.0,23.0,39.3,46.4,12.4,0.2,1.7
Faulconbridge,542.0,627.0,227.0,6.0,17.0,38.2,44.2,16.0,0.4,1.2
Fennell Bay,245.0,194.0,137.0,4.0,10.0,41.5,32.9,23.2,0.7,1.7
Figtree,1704.0,1290.0,593.0,20.0,96.0,46.0,34.8,16.0,0.5,2.6
Five Dock,1127.0,1046.0,1107.0,23.0,100.0,33.1,30.7,32.5,0.7,2.9
Fletcher (NSW),149.0,554.0,84.0,3.0,7.0,18.7,69.5,10.5,0.4,0.9
Flinders (NSW),440.0,854.0,386.0,3.0,30.0,25.7,49.9,22.5,0.2,1.8
Floraville,174.0,237.0,92.0,0.0,10.0,33.9,46.2,17.9,0.0,1.9
Forest Lodge,205.0,285.0,641.0,6.0,35.0,17.5,24.3,54.7,0.5,3.0
Forestville (NSW),1115.0,953.0,502.0,78.0,58.0,41.2,35.2,18.6,2.9,2.1
Forresters Beach,283.0,387.0,182.0,9.0,16.0,32.3,44.1,20.8,1.0,1.8
Frenchs Forest,1724.0,1944.0,446.0,6.0,54.0,41.3,46.6,10.7,0.1,1.3
Garden Suburb,283.0,275.0,69.0,8.0,9.0,43.9,42.7,10.7,1.2,1.4
Gateshead,365.0,368.0,543.0,0.0,46.0,27.6,27.8,41.1,0.0,3.5
Georges Hall,1184.0,955.0,384.0,9.0,74.0,45.4,36.6,14.7,0.3,2.8
Georgetown (NSW),264.0,314.0,239.0,3.0,25.0,31.2,37.2,28.3,0.4,3.0
Girraween (NSW),501.0,583.0,449.0,10.0,44.0,31.6,36.7,28.3,0.6,2.8
Gladesville,1286.0,1463.0,1525.0,11.0,87.0,29.4,33.5,34.9,0.3,2.0
Glebe (NSW),843.0,831.0,2948.0,46.0,122.0,17.6,17.3,61.5,1.0,2.5
Glen Alpine,453.0,690.0,69.0,5.0,14.0,36.8,56.1,5.6,0.4,1.1
Glenbrook,708.0,701.0,257.0,11.0,25.0,41.6,41.2,15.1,0.6,1.5
Glendale (NSW),451.0,483.0,302.0,3.0,29.0,35.6,38.1,23.8,0.2,2.3
Glendenning,128.0,910.0,359.0,11.0,24.0,8.9,63.5,25.1,0.8,1.7
Glenfield (NSW),662.0,1095.0,588.0,16.0,75.0,27.2,45.0,24.1,0.7,3.1
Glenhaven,801.0,821.0,161.0,116.0,24.0,41.7,42.7,8.4,6.0,1.2
Glenmore Park,1185.0,3597.0,1298.0,14.0,68.0,19.2,58.4,21.1,0.2,1.1
Glenning Valley,207.0,356.0,104.0,0.0,3.0,30.9,53.1,15.5,0.0,0.4
Glenwood (NSW),779.0,2625.0,777.0,17.0,45.0,18.4,61.9,18.3,0.4,1.1
Gordon (NSW),944.0,712.0,500.0,12.0,27.0,43.0,32.4,22.8,0.5,1.2
Gorokan,1123.0,940.0,985.0,13.0,130.0,35.2,29.5,30.9,0.4,4.1
Gosford,202.0,288.0,1111.0,4.0,39.0,12.3,17.5,67.6,0.2,2.4
Granville (NSW),929.0,1301.0,2080.0,23.0,161.0,20.7,28.9,46.3,0.5,3.6
Grays Point,372.0,423.0,61.0,0.0,23.0,42.3,48.1,6.9,0.0,2.6
Green Point (Great Lakes - NSW),100.0,80.0,38.0,3.0,3.0,44.6,35.7,17.0,1.3,1.3
Green Valley (NSW),866.0,1560.0,774.0,14.0,90.0,26.2,47.2,23.4,0.4,2.7
Greenacre,2162.0,2303.0,1982.0,57.0,242.0,32.0,34.1,29.4,0.8,3.6
Greenfield Park,478.0,556.0,231.0,5.0,57.0,36.0,41.9,17.4,0.4,4.3
Greenwich,748.0,553.0,579.0,38.0,29.0,38.4,28.4,29.7,2.0,1.5
Greystanes,3118.0,2629.0,1164.0,25.0,156.0,44.0,37.1,16.4,0.4,2.2
Guildford (NSW),1544.0,1863.0,2368.0,34.0,246.0,25.5,30.8,39.1,0.6,4.1
Guildford West,448.0,548.0,361.0,4.0,37.0,32.0,39.2,25.8,0.3,2.6
Gwynneville,301.0,205.0,541.0,13.0,27.0,27.7,18.9,49.8,1.2,2.5
Gymea,1014.0,997.0,811.0,10.0,63.0,35.0,34.4,28.0,0.3,2.2
Gymea Bay,978.0,987.0,175.0,9.0,32.0,44.8,45.3,8.0,0.4,1.5
Haberfield,1118.0,628.0,435.0,6.0,54.0,49.9,28.0,19.4,0.3,2.4
Halekulani,477.0,316.0,190.0,4.0,34.0,46.7,31.0,18.6,0.4,3.3
Hamilton (NSW),523.0,432.0,736.0,23.0,46.0,29.7,24.5,41.8,1.3,2.6
Hamilton East,163.0,106.0,51.0,0.0,12.0,49.1,31.9,15.4,0.0,3.6
Hamilton North,93.0,150.0,105.0,0.0,6.0,26.3,42.4,29.7,0.0,1.7
Hamilton South,484.0,344.0,736.0,19.0,131.0,28.2,20.1,42.9,1.1,7.6
Hammondville,254.0,506.0,189.0,18.0,71.0,24.5,48.7,18.2,1.7,6.8
Harrington Park,429.0,1443.0,284.0,4.0,24.0,19.6,66.1,13.0,0.2,1.1
Harris Park,188.0,318.0,1183.0,13.0,81.0,10.5,17.8,66.3,0.7,4.5
