,Owned outright,Owned with a mortgage,Rented,Other tenure type,Tenure type not stated,Owned outright (%),Owned with a mortgage (%),Rented (%),Other tenure type (%),Tenure type not stated (%)
Middle Cove,204.0,155.0,58.0,0.0,4.0,48.5,36.8,13.8,0.0,1.0
Miller,178.0,228.0,584.0,8.0,49.0,17.0,21.8,55.8,0.8,4.7
Millers Point,140.0,124.0,489.0,3.0,21.0,18.0,16.0,62.9,0.4,2.7
Milperra,565.0,570.0,113.0,3.0,18.0,44.5,44.9,8.9,0.2,1.4
Milsons Point,226.0,169.0,466.0,4.0,13.0,25.7,19.2,53.1,0.5,1.5
Minchinbury,384.0,888.0,239.0,5.0,26.0,24.9,57.6,15.5,0.3,1.7
Minmi,60.0,133.0,28.0,0.0,3.0,26.8,59.4,12.5,0.0,1.3
Minto,637.0,1363.0,1090.0,11.0,91.0,20.0,42.7,34.1,0.3,2.9
Miranda (NSW),1803.0,1777.0,1804.0,63.0,129.0,32.3,31.9,32.4,1.1,2.3
Mona Vale,1460.0,1189.0,848.0,49.0,90.0,40.2,32.7,23.3,1.3,2.5
Monterey,671.0,465.0,522.0,4.0,55.0,39.1,27.1,30.4,0.2,3.2
Moorebank,833.0,1083.0,476.0,10.0,50.0,34.0,44.2,19.4,0.4,2.0
Mortdale,1152.0,1290.0,1229.0,15.0,78.0,30.6,34.3,32.7,0.4,2.1
Mortlake (NSW),65.0,111.0,110.0,0.0,0.0,22.7,38.8,38.5,0.0,0.0
Mosman,3945.0,2830.0,3684.0,88.0,194.0,36.7,26.3,34.3,0.8,1.8
Mount Annan,539.0,2092.0,471.0,9.0,27.0,17.2,66.7,15.0,0.3,0.9
Mount Colah,822.0,1119.0,306.0,8.0,39.0,35.8,48.8,13.3,0.3,1.7
Mount Druitt,914.0,1562.0,2113.0,15.0,167.0,19.2,32.7,44.3,0.3,3.5
Mount Hutton (NSW),445.0,423.0,294.0,25.0,38.0,36.3,34.5,24.0,2.0,3.1
Mount Keira,229.0,202.0,86.0,4.0,14.0,42.8,37.8,16.1,0.7,2.6
Mount Kembla,165.0,138.0,45.0,5.0,5.0,46.1,38.5,12.6,1.4,1.4
Mount Lewis,117.0,91.0,108.0,0.0,11.0,35.8,27.8,33.0,0.0,3.4
Mount Ousley,262.0,191.0,73.0,3.0,9.0,48.7,35.5,13.6,0.6,1.7
Mount Pleasant (NSW),210.0,170.0,33.0,0.0,10.0,49.6,40.2,7.8,0.0,2.4
Mount Pritchard,901.0,973.0,796.0,19.0,94.0,32.4,35.0,28.6,0.7,3.4
Mount Riverview,427.0,487.0,100.0,0.0,8.0,41.8,47.7,9.8,0.0,0.8
Mount Saint Thomas,155.0,208.0,139.0,0.0,17.0,29.9,40.1,26.8,0.0,3.3
Mount Warrigal,707.0,521.0,375.0,4.0,39.0,43.0,31.7,22.8,0.2,2.4
Narara,838.0,1302.0,500.0,4.0,52.0,31.1,48.3,18.5,0.1,1.9
Narellan,346.0,505.0,340.0,15.0,11.0,28.4,41.5,27.9,1.2,0.9
Narellan Vale,459.0,1304.0,416.0,9.0,38.0,20.6,58.6,18.7,0.4,1.7
Naremburn,632.0,784.0,767.0,8.0,30.0,28.5,35.3,34.5,0.4,1.4
Narrabeen,820.0,809.0,1299.0,206.0,105.0,25.3,25.0,40.1,6.4,3.2
Narraweena,752.0,664.0,667.0,64.0,63.0,34.0,30.0,30.2,2.9,2.9
Narwee,521.0,531.0,611.0,6.0,46.0,30.4,31.0,35.6,0.3,2.7
Neutral Bay,1025.0,1021.0,2316.0,7.0,73.0,23.1,23.0,52.1,0.2,1.6
New Lambton,1386.0,1297.0,1093.0,19.0,109.0,35.5,33.2,28.0,0.5,2.8
New Lambton Heights,317.0,310.0,76.0,0.0,10.0,44.5,43.5,10.7,0.0,1.4
Newcastle,251.0,228.0,587.0,4.0,16.0,23.1,21.0,54.1,0.4,1.5
Newcastle East,107.0,72.0,275.0,0.0,9.0,23.1,15.6,59.4,0.0,1.9
Newcastle West,46.0,55.0,162.0,4.0,12.0,16.5,19.7,58.1,1.4,4.3
Newington (NSW),342.0,882.0,599.0,7.0,21.0,18.5,47.6,32.4,0.4,1.1
Newport (NSW),1169.0,1219.0,816.0,15.0,79.0,35.4,37.0,24.7,0.5,2.4
Newtown (NSW),953.0,1533.0,3426.0,20.0,110.0,15.8,25.4,56.7,0.3,1.8
Niagara Park,278.0,426.0,269.0,6.0,8.0,28.2,43.2,27.3,0.6,0.8
Norah Head,188.0,105.0,76.0,4.0,15.0,48.5,27.1,19.6,1.0,3.9
Noraville,381.0,326.0,283.0,8.0,34.0,36.9,31.6,27.4,0.8,3.3
Normanhurst,639.0,688.0,325.0,28.0,25.0,37.5,40.4,19.1,1.6,1.5
North Avoca,222.0,304.0,132.0,0.0,15.0,33.0,45.2,19.6,0.0,2.2
North Balgowlah,389.0,504.0,163.0,5.0,15.0,36.2,46.8,15.1,0.5,1.4
North Bondi,837.0,867.0,1398.0,11.0,74.0,26.3,27.2,43.9,0.3,2.3
North Curl Curl,448.0,440.0,207.0,7.0,25.0,39.8,39.0,18.4,0.6,2.2
North Epping,688.0,543.0,175.0,13.0,19.0,47.8,37.8,12.2,0.9,1.3
North Gosford,309.0,428.0,579.0,3.0,34.0,22.8,31.6,42.8,0.2,2.5
North Lambton,400.0,357.0,384.0,6.0,29.0,34.0,30.4,32.7,0.5,2.5
North Manly,346.0,357.0,151.0,3.0,21.0,39.4,40.7,17.2,0.3,2.4
North Narrabeen,657.0,815.0,309.0,7.0,34.0,36.1,44.7,17.0,0.4,1.9
North Parramatta,727.0,1369.0,2283.0,60.0,116.0,16.0,30.1,50.1,1.3,2.5
North Rocks,1133.0,1045.0,279.0,10.0,34.0,45.3,41.8,11.2,0.4,1.4
North Ryde,1388.0,1132.0,726.0,19.0,81.0,41.5,33.8,21.7,0.6,2.4
North St Marys,307.0,392.0,479.0,8.0,38.0,25.1,32.0,39.1,0.7,3.1
North Strathfield,360.0,471.0,635.0,0.0,40.0,23.9,31.3,42.2,0.0,2.7
North Sydney,514.0,566.0,1604.0,9.0,119.0,18.3,20.1,57.0,0.3,4.2
North Turramurra,787.0,404.0,117.0,62.0,43.0,55.7,28.6,8.3,4.4,3.0
North Wahroonga,306.0,259.0,45.0,3.0,3.0,49.7,42.0,7.3,0.5,0.5
North Willoughby,572.0,413.0,421.0,4.0,28.0,39.8,28.7,29.3,0.3,1.9
North Wollongong,147.0,136.0,467.0,3.0,18.0,19.1,17.6,60.6,0.4,2.3
Northbridge (NSW),939.0,594.0,405.0,13.0,35.0,47.3,29.9,20.4,0.7,1.8
Northmead,1183.0,1355.0,1251.0,145.0,118.0,29.2,33.4,30.9,3.6,2.9
Northwood (NSW),139.0,100.0,32.0,0.0,4.0,50.5,36.4,11.6,0.0,1.5
Oak Flats,985.0,798.0,484.0,3.0,61.0,42.3,34.2,20.8,0.1,2.6
Oakhurst (NSW),313.0,1148.0,403.0,10.0,33.0,16.4,60.2,21.1,0.5,1.7
Oatlands (NSW),651.0,602.0,371.0,12.0,41.0,38.8,35.9,22.1,0.7,2.4
Oatley,1730.0,1127.0,644.0,13.0,61.0,48.4,31.5,18.0,0.4,1.7
Old Guildford,208.0,227.0,197.0,0.0,25.0,31.7,34.6,30.0,0.0,3.8
Old Toongabbie,348.0,424.0,115.0,5.0,7.0,38.7,47.2,12.8,0.6,0.8
Ourimbah,385.0,660.0,348.0,5.0,19.0,27.2,46.6,24.6,0.4,1.3
Oxley Park,260.0,350.0,332.0,4.0,32.0,26.6,35.8,33.9,0.4,3.3
Oyster Bay,691.0,856.0,184.0,6.0,21.0,39.3,48.7,10.5,0.3,1.2
Paddington (NSW),1328.0,1273.0,2373.0,24.0,91.0,26.1,25.0,46.6,0.5,1.8
Padstow,1635.0,1499.0,1174.0,30.0,137.0,36.5,33.5,26.2,0.7,3.1
Padstow Heights,534.0,444.0,141.0,28.0,38.0,45.1,37.5,11.9,2.4,3.2
Pagewood,526.0,396.0,297.0,4.0,22.0,42.2,31.8,23.9,0.3,1.8
Palm Beach (NSW),278.0,130.0,147.0,7.0,17.0,48.0,22.5,25.4,1.2,2.9
Panania,1467.0,1431.0,992.0,16.0,84.0,36.8,35.9,24.9,0.4,2.1
Parramatta,871.0,1685.0,4389.0,27.0,151.0,12.2,23.7,61.6,0.4,2.1
Peakhurst,1368.0,1149.0,743.0,57.0,117.0,39.8,33.5,21.6,1.7,3.4
Peakhurst Heights,417.0,284.0,92.0,0.0,14.0,51.7,35.2,11.4,0.0,1.7
Pearl Beach,132.0,30.0,43.0,0.0,4.0,63.2,14.4,20.6,0.0,1.9
Pelican (NSW),160.0,96.0,72.0,4.0,5.0,47.5,28.5,21.4,1.2,1.5
Pendle Hill,534.0,698.0,907.0,58.0,68.0,23.6,30.8,40.0,2.6,3.0
Pennant Hills,977.0,919.0,467.0,20.0,29.0,40.5,38.1,19.4,0.8,1.2
Penrith,1065.0,1199.0,2437.0,72.0,160.0,21.6,24.3,49.4,1.5,3.2
Penrose (Wollongong - NSW),160.0,206.0,167.0,0.0,17.0,29.1,37.5,30.4,0.0,3.1
Penshurst (NSW),1388.0,1447.0,1407.0,16.0,87.0,31.9,33.3,32.4,0.4,2.0
Petersham,607.0,887.0,1431.0,7.0,67.0,20.2,29.6,47.7,0.2,2.2
Phillip Bay,91.0,81.0,34.0,0.0,4.0,43.3,38.6,16.2,0.0,1.9
Picnic Point,831.0,791.0,243.0,6.0,26.0,43.8,41.7,12.8,0.3,1.4
Plumpton (NSW),403.0,1343.0,440.0,29.0,30.0,18.0,59.8,19.6,1.3,1.3
Point Clare,535.0,527.0,318.0,8.0,27.0,37.8,37.2,22.5,0.6,1.9
Point Frederick,225.0,170.0,368.0,6.0,30.0,28.2,21.3,46.1,0.8,3.8
Point Piper,236.0,85.0,140.0,3.0,14.0,49.4,17.8,29.3,0.6,2.9
Port Kembla,822.0,417.0,595.0,7.0,63.0,43.2,21.9,31.2,0.4,3.3
Potts Point,510.0,663.0,2112.0,9.0,49.0,15.3,19.8,63.2,0.3,1.5
Prairiewood,371.0,279.0,235.0,7.0,20.0,40.7,30.6,25.8,0.8,2.2
Prestons,661.0,2569.0,569.0,37.0,69.0,16.9,65.8,14.6,0.9,1.8
Primbee,251.0,149.0,170.0,6.0,39.0,40.8,24.2,27.6,1.0,6.3
Prospect (NSW),505.0,659.0,253.0,7.0,29.0,34.8,45.4,17.4,0.5,2.0
Punchbowl (Canterbury - NSW),1619.0,1726.0,1650.0,40.0,198.0,30.9,33.0,31.5,0.8,3.8
Putney,623.0,484.0,192.0,8.0,24.0,46.8,36.4,14.4,0.6,1.8
Pymble,1503.0,1276.0,512.0,12.0,65.0,44.6,37.9,15.2,0.4,1.9
Pyrmont,725.0,1142.0,3044.0,25.0,80.0,14.5,22.8,60.7,0.5,1.6
Quakers Hill,1721.0,4193.0,2029.0,22.0,123.0,21.3,51.8,25.1,0.3,1.5
Queens Park (NSW),380.0,362.0,313.0,3.0,25.0,35.1,33.4,28.9,0.3,2.3
Raby,525.0,1014.0,279.0,13.0,39.0,28.1,54.2,14.9,0.7,2.1
Ramsgate,129.0,99.0,64.0,3.0,3.0,43.3,33.2,21.5,1.0,1.0
Ramsgate Beach,298.0,138.0,226.0,0.0,30.0,43.1,19.9,32.7,0.0,4.3
Randwick,2641.0,2802.0,5300.0,45.0,241.0,23.9,25.4,48.1,0.4,2.2
Rankin Park,390.0,388.0,90.0,3.0,15.0,44.0,43.8,10.2,0.3,1.7
Redfern,734.0,1317.0,3131.0,34.0,153.0,13.7,24.5,58.3,0.6,2.8
Redhead,676.0,404.0,200.0,24.0,34.0,50.5,30.2,14.9,1.8,2.5
Regents Park (NSW),386.0,420.0,555.0,11.0,53.0,27.1,29.5,38.9,0.8,3.7
Regentville,61.0,89.0,44.0,0.0,4.0,30.8,44.9,22.2,0.0,2.0
Revesby,1489.0,1455.0,1279.0,23.0,120.0,34.1,33.3,29.3,0.5,2.7
Revesby Heights,181.0,209.0,49.0,5.0,8.0,40.0,46.2,10.8,1.1,1.8
Rhodes,289.0,628.0,1208.0,10.0,37.0,13.3,28.9,55.6,0.5,1.7
Riverstone,674.0,725.0,613.0,14.0,90.0,31.9,34.3,29.0,0.7,4.3
Riverview (Lane Cove - NSW),444.0,364.0,126.0,3.0,15.0,46.6,38.2,13.2,0.3,1.6
Riverwood,859.0,958.0,1789.0,45.0,137.0,22.7,25.3,47.2,1.2,3.6
Rockdale,1153.0,1431.0,1944.0,28.0,132.0,24.6,30.5,41.5,0.6,2.8
Rocky Point (NSW),28.0,48.0,18.0,0.0,0.0,29.8,51.1,19.1,0.0,0.0
Rodd Point,217.0,152.0,77.0,3.0,19.0,46.4,32.5,16.5,0.6,4.1
Rooty Hill,996.0,1697.0,994.0,15.0,101.0,26.2,44.6,26.1,0.4,2.7
Rose Bay (NSW),1130.0,900.0,1535.0,47.0,90.0,30.5,24.3,41.5,1.3,2.4
Rosebery (NSW),931.0,957.0,966.0,16.0,84.0,31.5,32.4,32.7,0.5,2.8
Roselands,1215.0,1267.0,990.0,29.0,146.0,33.3,34.7,27.1,0.8,4.0
Rosemeadow,413.0,1188.0,669.0,6.0,69.0,17.6,50.7,28.5,0.3,2.9
Roseville,1362.0,1026.0,524.0,19.0,50.0,45.7,34.4,17.6,0.6,1.7
Roseville Chase,218.0,226.0,51.0,0.0,4.0,43.7,45.3,10.2,0.0,0.8
Rouse Hill,414.0,1300.0,367.0,8.0,19.0,19.6,61.7,17.4,0.4,0.9
Rozelle,718.0,1163.0,1339.0,13.0,39.0,21.9,35.5,40.9,0.4,1.2
Ruse,635.0,898.0,286.0,8.0,35.0,34.1,48.2,15.4,0.4,1.9
Rushcutters Bay,211.0,231.0,732.0,8.0,26.0,17.5,19.1,60.6,0.7,2.2
Russell Lea,687.0,603.0,438.0,12.0,47.0,38.4,33.7,24.5,0.7,2.6
Russell Vale,215.0,227.0,100.0,3.0,8.0,38.9,41.0,18.1,0.5,1.4
Rydalmere,546.0,800.0,675.0,15.0,42.0,26.3,38.5,32.5,0.7,2.0
Ryde,2427.0,2457.0,2855.0,88.0,174.0,30.3,30.7,35.7,1.1,2.2
Sadleir,208.0,241.0,467.0,8.0,38.0,21.6,25.1,48.5,0.8,4.0
San Remo (NSW),391.0,602.0,429.0,3.0,46.0,26.6,40.9,29.2,0.2,3.1
Sandringham (NSW),180.0,113.0,96.0,0.0,10.0,45.1,28.3,24.1,0.0,2.5
Sans Souci,1652.0,1113.0,878.0,22.0,123.0,43.6,29.4,23.2,0.6,3.2
Saratoga,513.0,573.0,231.0,0.0,38.0,37.9,42.3,17.0,0.0,2.8
Scarborough (NSW),36.0,39.0,21.0,0.0,3.0,36.4,39.4,21.2,0.0,3.0
Schofields,443.0,473.0,314.0,3.0,38.0,34.9,37.2,24.7,0.2,3.0
Scotland Island,74.0,112.0,59.0,0.0,5.0,29.6,44.8,23.6,0.0,2.0
Seaforth (NSW),866.0,856.0,368.0,7.0,30.0,40.7,40.2,17.3,0.3,1.4
Sefton,599.0,533.0,423.0,16.0,74.0,36.4,32.4,25.7,1.0,4.5
Seven Hills (NSW),2050.0,2425.0,1811.0,32.0,152.0,31.7,37.5,28.0,0.5,2.3
Shalvey,167.0,289.0,517.0,7.0,35.0,16.5,28.5,50.9,0.7,3.4
Shell Cove,361.0,642.0,191.0,4.0,15.0,29.8,52.9,15.7,0.3,1.2
Shellharbour,467.0,364.0,361.0,3.0,26.0,38.2,29.8,29.6,0.2,2.1
Shelly Beach (NSW),223.0,130.0,106.0,0.0,12.0,47.3,27.6,22.5,0.0,2.5
Shortland,525.0,473.0,441.0,23.0,38.0,35.0,31.5,29.4,1.5,2.5
Silverwater (Lake Macquarie - NSW),44.0,28.0,20.0,0.0,3.0,46.3,29.5,21.1,0.0,3.2
Smithfield (NSW),1120.0,1077.0,1173.0,20.0,143.0,31.7,30.5,33.2,0.6,4.0
South Coogee,458.0,392.0,1002.0,30.0,65.0,23.5,20.1,51.5,1.5,3.3
South Granville,329.0,367.0,644.0,5.0,78.0,23.1,25.8,45.3,0.4,5.5
South Hurstville,616.0,595.0,404.0,19.0,39.0,36.8,35.6,24.1,1.1,2.3
South Penrith,1365.0,1761.0,846.0,14.0,73.0,33.6,43.4,20.8,0.3,1.8
South Turramurra,435.0,428.0,80.0,5.0,6.0,45.6,44.9,8.4,0.5,0.6
South Wentworthville,580.0,639.0,613.0,11.0,45.0,30.7,33.8,32.5,0.6,2.4
Speers Point,535.0,395.0,320.0,6.0,29.0,41.6,30.7,24.9,0.5,2.3
Springfield (Gosford - NSW),341.0,662.0,370.0,8.0,23.0,24.3,47.2,26.4,0.6,1.6
Springwood (NSW),1145.0,1230.0,557.0,140.0,60.0,36.6,39.3,17.8,4.5,1.9
St Andrews (NSW),469.0,928.0,352.0,7.0,33.0,26.2,51.9,19.7,0.4,1.8
St Clair (Penrith - NSW),1640.0,3326.0,985.0,16.0,120.0,26.9,54.6,16.2,0.3,2.0
St Helens Park,313.0,1044.0,594.0,9.0,29.0,15.7,52.5,29.9,0.5,1.5
St Huberts Island,262.0,101.0,46.0,4.0,6.0,62.5,24.1,11.0,1.0,1.4
St Ives (NSW),2466.0,1996.0,628.0,16.0,93.0,47.4,38.4,12.1,0.3,1.8
St Ives Chase,470.0,405.0,69.0,4.0,17.0,48.7,42.0,7.2,0.4,1.8
St Johns Park,809.0,537.0,273.0,13.0,41.0,48.4,32.1,16.3,0.8,2.5
St Leonards (NSW),293.0,518.0,1245.0,3.0,25.0,14.1,24.9,59.7,0.1,1.2
St Marys (NSW),962.0,1165.0,1802.0,19.0,155.0,23.4,28.4,43.9,0.5,3.8
St Peters (NSW),236.0,453.0,436.0,9.0,25.0,20.4,39.1,37.6,0.8,2.2
Stanhope Gardens,409.0,1515.0,423.0,15.0,33.0,17.1,63.3,17.7,0.6,1.4
Stanmore (NSW),715.0,950.0,1356.0,13.0,55.0,23.1,30.8,43.9,0.4,1.8
Stockton (NSW),538.0,414.0,489.0,16.0,31.0,36.2,27.8,32.9,1.1,2.1
Strathfield (NSW),2468.0,1951.0,2748.0,61.0,250.0,33.0,26.1,36.7,0.8,3.3
Strathfield South,361.0,410.0,274.0,9.0,24.0,33.5,38.0,25.4,0.8,2.2
Summer Hill (Ashfield - NSW),557.0,782.0,1304.0,8.0,63.0,20.5,28.8,48.0,0.3,2.3
Surry Hills,794.0,1633.0,4312.0,50.0,167.0,11.4,23.5,62.0,0.7,2.4
Sutherland (NSW),1005.0,1462.0,1744.0,32.0,67.0,23.3,33.9,40.5,0.7,1.6
Swansea (NSW),887.0,437.0,605.0,51.0,76.0,43.1,21.3,29.4,2.5,3.7
Swansea Heads,106.0,87.0,37.0,0.0,3.0,45.5,37.3,15.9,0.0,1.3
Sydenham (NSW),108.0,151.0,103.0,4.0,21.0,27.9,39.0,26.6,1.0,5.4
Sydney,854.0,945.0,3397.0,27.0,131.0,16.0,17.7,63.4,0.5,2.4
Sylvania,1494.0,1133.0,730.0,78.0,125.0,42.0,31.8,20.5,2.2,3.5
Sylvania Waters,490.0,381.0,164.0,6.0,30.0,45.8,35.6,15.3,0.6,2.8
Tacoma,76.0,118.0,31.0,0.0,8.0,32.6,50.6,13.3,0.0,3.4
Tacoma South,27.0,47.0,7.0,0.0,3.0,32.1,56.0,8.3,0.0,3.6
Tamarama,120.0,120.0,262.0,4.0,14.0,23.1,23.1,50.4,0.8,2.7
Taren Point,397.0,149.0,65.0,26.0,23.0,60.2,22.6,9.8,3.9,3.5
Tarrawanna,332.0,195.0,194.0,27.0,24.0,43.0,25.3,25.1,3.5,3.1
Tascott,240.0,232.0,102.0,0.0,7.0,41.3,39.9,17.6,0.0,1.2
Tempe,363.0,481.0,270.0,6.0,36.0,31.4,41.6,23.4,0.5,3.1
Teralba,217.0,202.0,133.0,8.0,10.0,38.1,35.4,23.3,1.4,1.8
Terrey Hills,388.0,375.0,141.0,3.0,16.0,42.0,40.6,15.3,0.3,1.7
Terrigal,1543.0,1254.0,1078.0,14.0,75.0,38.9,31.6,27.2,0.4,1.9
The Entrance,412.0,140.0,1064.0,10.0,55.0,24.5,8.3,63.3,0.6,3.3
The Entrance North,141.0,103.0,291.0,0.0,24.0,25.2,18.4,52.1,0.0,4.3
The Hill,199.0,173.0,403.0,3.0,14.0,25.1,21.8,50.9,0.4,1.8
The Junction,187.0,146.0,309.0,3.0,14.0,28.4,22.2,46.9,0.5,2.1
Thirroul,760.0,737.0,452.0,15.0,52.0,37.7,36.6,22.4,0.7,2.6
Thornleigh,954.0,1187.0,497.0,7.0,32.0,35.6,44.3,18.6,0.3,1.2
Tighes Hill,193.0,219.0,225.0,0.0,21.0,29.3,33.3,34.2,0.0,3.2
Tingira Heights,195.0,369.0,86.0,6.0,10.0,29.3,55.4,12.9,0.9,1.5
Toongabbie (NSW),1337.0,1701.0,1187.0,30.0,105.0,30.7,39.0,27.2,0.7,2.4
Toowoon Bay,107.0,29.0,115.0,3.0,4.0,41.5,11.2,44.6,1.2,1.6
Toronto,733.0,500.0,810.0,19.0,64.0,34.5,23.5,38.1,0.9,3.0
Toukley,639.0,351.0,696.0,21.0,88.0,35.6,19.6,38.8,1.2,4.9
Towradgi,463.0,338.0,325.0,41.0,38.0,38.4,28.0,27.0,3.4,3.2
Tregear,209.0,241.0,712.0,6.0,55.0,17.1,19.7,58.2,0.5,4.5
Tuggerah,87.0,137.0,124.0,4.0,11.0,24.0,37.7,34.2,1.1,3.0
Tuggerawong,136.0,174.0,133.0,4.0,12.0,29.6,37.9,29.0,0.9,2.6
Tumbi Umbi,585.0,709.0,328.0,72.0,40.0,33.7,40.9,18.9,4.2,2.3
Turramurra,1671.0,1420.0,552.0,49.0,59.0,44.5,37.9,14.7,1.3,1.6
Turrella,192.0,174.0,82.0,4.0,10.0,41.6,37.7,17.7,0.9,2.2
Ultimo,284.0,483.0,1746.0,18.0,53.0,11.0,18.7,67.6,0.7,2.1
Umina Beach,2258.0,1917.0,1859.0,66.0,187.0,35.9,30.5,29.6,1.0,3.0
Unanderra,643.0,555.0,881.0,41.0,64.0,29.4,25.4,40.3,1.9,2.9
Valentine (NSW),930.0,786.0,220.0,6.0,28.0,47.2,39.9,11.2,0.3,1.4
Valley Heights,211.0,217.0,53.0,3.0,4.0,43.2,44.5,10.9,0.6,0.8
Vaucluse,1261.0,903.0,796.0,13.0,84.0,41.2,29.5,26.0,0.4,2.7
Villawood,296.0,337.0,998.0,22.0,90.0,17.0,19.3,57.3,1.3,5.2
Voyager Point,105.0,211.0,43.0,3.0,5.0,28.6,57.5,11.7,0.8,1.4
Wahroonga,2197.0,2088.0,881.0,78.0,89.0,41.2,39.2,16.5,1.5,1.7
Waitara,462.0,654.0,1039.0,51.0,41.0,20.6,29.1,46.2,2.3,1.8
Wakeley,552.0,530.0,228.0,10.0,33.0,40.8,39.2,16.9,0.7,2.4
Wallsend,1606.0,1548.0,1441.0,78.0,144.0,33.3,32.1,29.9,1.6,3.0
Wamberal,744.0,911.0,418.0,27.0,39.0,34.8,42.6,19.5,1.3,1.8
Warabrook,263.0,234.0,225.0,5.0,14.0,35.5,31.6,30.4,0.7,1.9
Waratah (NSW),413.0,515.0,799.0,18.0,55.0,22.9,28.6,44.4,1.0,3.1
Waratah West,339.0,284.0,365.0,3.0,38.0,32.9,27.6,35.5,0.3,3.7
Wareemba,246.0,147.0,163.0,0.0,11.0,43.4,25.9,28.7,0.0,1.9
Warilla,850.0,561.0,987.0,22.0,86.0,33.9,22.4,39.4,0.9,3.4
Warners Bay,1282.0,895.0,711.0,9.0,97.0,42.8,29.9,23.7,0.3,3.2
Warrawee,381.0,330.0,200.0,0.0,4.0,41.6,36.1,21.9,0.0,0.4
Warrawong,681.0,248.0,840.0,13.0,84.0,36.5,13.3,45.0,0.7,4.5
Warriewood,613.0,960.0,328.0,25.0,49.0,31.0,48.6,16.6,1.3,2.5
Warrimoo,265.0,435.0,90.0,0.0,18.0,32.8,53.8,11.1,0.0,2.2
Warwick Farm,206.0,292.0,1066.0,11.0,90.0,12.4,17.5,64.0,0.7,5.4
Watanobbi,267.0,505.0,498.0,8.0,25.0,20.5,38.8,38.2,0.6,1.9
Waterloo (NSW),226.0,763.0,3587.0,48.0,192.0,4.7,15.8,74.5,1.0,4.0
Watsons Bay,105.0,64.0,70.0,13.0,11.0,39.9,24.3,26.6,4.9,4.2
Wattle Grove (NSW),536.0,1202.0,776.0,9.0,21.0,21.1,47.2,30.5,0.4,0.8
Waverley (NSW),410.0,409.0,694.0,6.0,43.0,26.2,26.2,44.4,0.4,2.8
Waverton,403.0,250.0,600.0,5.0,14.0,31.7,19.7,47.2,0.4,1.1
Wentworthville,937.0,1148.0,1428.0,23.0,96.0,25.8,31.6,39.3,0.6,2.6
Werrington,284.0,509.0,602.0,5.0,40.0,19.7,35.3,41.8,0.3,2.8
Werrington County,410.0,623.0,145.0,9.0,20.0,34.0,51.6,12.0,0.7,1.7
Werrington Downs,283.0,608.0,149.0,0.0,6.0,27.1,58.1,14.2,0.0,0.6
West Gosford,165.0,110.0,278.0,34.0,32.0,26.7,17.8,44.9,5.5,5.2
West Hoxton,390.0,1644.0,311.0,11.0,45.0,16.2,68.5,13.0,0.5,1.9
West Pennant Hills,2209.0,2120.0,578.0,57.0,55.0,44.0,42.2,11.5,1.1,1.1
West Pymble,710.0,733.0,166.0,12.0,25.0,43.1,44.5,10.1,0.7,1.5
West Ryde,1253.0,1310.0,1828.0,24.0,93.0,27.8,29.1,40.6,0.5,2.1
West Wallsend,204.0,285.0,113.0,0.0,24.0,32.6,45.5,18.1,0.0,3.8
West Wollongong,590.0,539.0,539.0,8.0,37.0,34.4,31.5,31.5,0.5,2.2
Westleigh,687.0,640.0,116.0,0.0,16.0,47.1,43.9,8.0,0.0,1.1
Westmead,607.0,1138.0,3015.0,40.0,103.0,12.4,23.2,61.5,0.8,2.1
Wetherill Park,773.0,657.0,333.0,9.0,47.0,42.5,36.1,18.3,0.5,2.6
Whalan,445.0,438.0,941.0,5.0,81.0,23.3,22.9,49.3,0.3,4.2
Whitebridge,378.0,371.0,143.0,3.0,21.0,41.3,40.5,15.6,0.3,2.3
Wickham (NSW),92.0,104.0,231.0,0.0,3.0,21.4,24.2,53.7,0.0,0.7
Wiley Park,629.0,785.0,1445.0,8.0,124.0,21.0,26.2,48.3,0.3,4.1
Willmot,139.0,162.0,428.0,8.0,38.0,17.9,20.9,55.2,1.0,4.9
Willoughby (NSW),703.0,779.0,569.0,8.0,41.0,33.5,37.1,27.1,0.4,2.0
Willoughby East,238.0,217.0,82.0,3.0,9.0,43.4,39.5,14.9,0.5,1.6
Windale,102.0,151.0,934.0,3.0,41.0,8.3,12.3,75.9,0.2,3.3
Windang,641.0,213.0,266.0,7.0,39.0,55.0,18.3,22.8,0.6,3.3
Winmalee,805.0,1102.0,296.0,7.0,31.0,35.9,49.2,13.2,0.3,1.4
Winston Hills,1577.0,1709.0,393.0,31.0,62.0,41.8,45.3,10.4,0.8,1.6
Wollongong,1658.0,1260.0,4134.0,88.0,232.0,22.5,17.1,56.1,1.2,3.1
Wollstonecraft,973.0,911.0,1812.0,13.0,40.0,26.0,24.3,48.3,0.3,1.1
Wombarra,111.0,129.0,64.0,3.0,8.0,35.2,41.0,20.3,1.0,2.5
Woodbine (NSW),271.0,365.0,187.0,6.0,15.0,32.1,43.2,22.2,0.7,1.8
Woodcroft (NSW),391.0,1102.0,283.0,10.0,33.0,21.5,60.6,15.6,0.5,1.8
Woodpark,149.0,204.0,61.0,0.0,10.0,35.1,48.1,14.4,0.0,2.4
Woodrising,95.0,221.0,75.0,0.0,4.0,24.1,55.9,19.0,0.0,1.0
Woollahra,1043.0,723.0,1120.0,82.0,116.0,33.8,23.4,36.3,2.7,3.8
