,Separate house,"Semi-detached, row or terrace house, townhouse etc","Flat, unit or apartment",Other dwelling,Separate house (%),"Semi-detached, row or terrace house, townhouse etc (%)","Flat, unit or apartment (%)",Other dwelling (%)
Castle Cove,773.0,13.0,36.0,0.0,93.7,1.6,4.4,0.0
Castle Hill (NSW),9189.0,1536.0,1332.0,4.0,76.2,12.7,11.0,0.0
Castlecrag,944.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Casula,3204.0,985.0,219.0,3.0,72.6,22.3,5.0,0.1
Caves Beach,1231.0,136.0,29.0,0.0,88.2,9.7,2.1,0.0
Cecil Hills,1733.0,73.0,0.0,0.0,96.0,4.0,0.0,0.0
Centennial Park (NSW),98.0,95.0,843.0,0.0,9.4,9.1,80.7,0.0
Charlestown (NSW),3858.0,452.0,551.0,4.0,79.3,9.3,11.3,0.1
Charmhaven,799.0,29.0,3.0,6.0,95.5,3.5,0.4,0.7
Chatswood,2726.0,444.0,4627.0,6.0,34.9,5.7,59.3,0.1
Chatswood West,475.0,4.0,0.0,0.0,99.2,0.8,0.0,0.0
Cheltenham (NSW),640.0,9.0,0.0,0.0,98.6,1.4,0.0,0.0
Cherrybrook,4751.0,924.0,106.0,0.0,82.1,16.0,1.8,0.0
Chester Hill,2990.0,531.0,292.0,12.0,78.2,13.9,7.6,0.3
Chifley (NSW),680.0,217.0,151.0,29.0,63.1,20.1,14.0,2.7
Chippendale,43.0,337.0,1343.0,11.0,2.5,19.4,77.2,0.6
Chipping Norton,2349.0,180.0,281.0,5.0,83.3,6.4,10.0,0.2
Chiswick,213.0,41.0,852.0,0.0,19.3,3.7,77.0,0.0
Chittaway Bay,679.0,16.0,3.0,0.0,97.3,2.3,0.4,0.0
Chittaway Point,310.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Church Point,378.0,3.0,12.0,3.0,95.5,0.8,3.0,0.8
Claremont Meadows,1226.0,46.0,0.0,0.0,96.4,3.6,0.0,0.0
Claymore,286.0,528.0,0.0,0.0,35.1,64.9,0.0,0.0
Clontarf (NSW),518.0,12.0,0.0,0.0,97.7,2.3,0.0,0.0
Clovelly,500.0,482.0,739.0,0.0,29.1,28.0,42.9,0.0
Coal Point,622.0,5.0,0.0,0.0,99.2,0.8,0.0,0.0
Coledale,390.0,11.0,6.0,3.0,95.1,2.7,1.5,0.7
Collaroy (NSW),3351.0,161.0,1445.0,28.0,67.2,3.2,29.0,0.6
Colyton,2563.0,73.0,9.0,3.0,96.8,2.8,0.3,0.1
Como (NSW),1152.0,70.0,5.0,0.0,93.9,5.7,0.4,0.0
Concord,3422.0,382.0,878.0,41.0,72.4,8.1,18.6,0.9
Concord West,1581.0,151.0,167.0,3.0,83.0,7.9,8.8,0.2
Condell Park,2230.0,693.0,141.0,4.0,72.6,22.6,4.6,0.1
Coniston,462.0,169.0,191.0,7.0,55.7,20.4,23.0,0.8
Connells Point,736.0,158.0,0.0,0.0,82.3,17.7,0.0,0.0
Coogee (NSW),760.0,632.0,4509.0,7.0,12.9,10.7,76.2,0.1
Cooks Hill,449.0,732.0,432.0,4.0,27.8,45.3,26.7,0.2
Copacabana,867.0,21.0,13.0,3.0,95.6,2.3,1.4,0.3
Cordeaux Heights,1343.0,37.0,4.0,4.0,96.8,2.7,0.3,0.3
Corrimal,1652.0,492.0,372.0,17.0,65.1,19.4,14.7,0.7
Cranebrook,4293.0,327.0,6.0,3.0,92.7,7.1,0.1,0.1
Cremorne (NSW),878.0,737.0,3197.0,55.0,18.0,15.1,65.6,1.1
Cremorne Point,124.0,47.0,713.0,0.0,14.0,5.3,80.4,0.0
Cringila,652.0,5.0,17.0,0.0,96.7,0.7,2.5,0.0
Cromer (NSW),1894.0,186.0,380.0,3.0,76.9,7.6,15.4,0.1
Cronulla,1751.0,469.0,5536.0,16.0,22.5,6.0,71.2,0.2
Croudace Bay,194.0,4.0,0.0,0.0,98.0,2.0,0.0,0.0
Crows Nest (NSW),394.0,525.0,884.0,0.0,21.9,29.1,49.0,0.0
Croydon (NSW),2187.0,430.0,785.0,33.0,63.6,12.5,22.8,1.0
Croydon Park (NSW),2174.0,655.0,1006.0,31.0,56.2,16.9,26.0,0.8
Curl Curl,576.0,84.0,122.0,0.0,73.4,10.7,15.5,0.0
Currans Hill,1530.0,58.0,7.0,0.0,95.9,3.6,0.4,0.0
Daceyville,124.0,269.0,130.0,0.0,23.7,51.4,24.9,0.0
Daleys Point,180.0,8.0,71.0,0.0,69.5,3.1,27.4,0.0
Dapto,3423.0,273.0,233.0,6.0,87.0,6.9,5.9,0.2
Darling Point,136.0,191.0,1549.0,0.0,7.2,10.2,82.6,0.0
Darlinghurst,122.0,985.0,3589.0,28.0,2.6,20.8,75.6,0.6
Darlington (Sydney - NSW),50.0,556.0,179.0,3.0,6.3,70.3,22.6,0.4
Davidson,754.0,10.0,3.0,0.0,98.3,1.3,0.4,0.0
Davistown,700.0,186.0,58.0,0.0,74.2,19.7,6.1,0.0
Dawes Point,3.0,50.0,176.0,0.0,1.3,21.6,75.9,0.0
Dean Park,900.0,10.0,0.0,0.0,98.5,1.1,0.0,0.0
Dee Why,1643.0,329.0,6454.0,8.0,19.5,3.9,76.5,0.1
Denistone,967.0,160.0,7.0,0.0,85.3,14.1,0.6,0.0
Denistone East,565.0,130.0,0.0,0.0,81.3,18.7,0.0,0.0
Denistone West,292.0,5.0,0.0,0.0,98.3,1.7,0.0,0.0
Dharruk,792.0,17.0,0.0,0.0,97.9,2.1,0.0,0.0
Dolans Bay,161.0,9.0,0.0,0.0,94.7,5.3,0.0,0.0
Dolls Point,152.0,144.0,530.0,3.0,18.3,17.4,63.9,0.4
Doonside,3716.0,360.0,10.0,3.0,90.9,8.8,0.2,0.1
Double Bay,298.0,204.0,1454.0,3.0,15.1,10.4,73.9,0.2
Dover Heights,858.0,190.0,273.0,0.0,64.4,14.3,20.5,0.0
Drummoyne,1556.0,754.0,2161.0,8.0,34.7,16.8,48.2,0.2
Dudley,772.0,49.0,9.0,0.0,93.0,5.9,1.1,0.0
Dulwich Hill,1871.0,521.0,2691.0,77.0,36.1,10.1,52.0,1.5
Dundas (NSW),775.0,302.0,192.0,4.0,60.9,23.7,15.1,0.3
Dundas Valley,1241.0,239.0,151.0,0.0,75.9,14.6,9.2,0.0
Dural (Hornsby - NSW),1962.0,151.0,136.0,73.0,84.5,6.5,5.9,3.1
Eagle Vale,1586.0,121.0,6.0,3.0,92.4,7.1,0.3,0.2
Earlwood,4786.0,453.0,429.0,59.0,83.4,7.9,7.5,1.0
East Gosford,757.0,714.0,310.0,9.0,42.3,39.9,17.3,0.5
East Hills,846.0,191.0,124.0,0.0,72.7,16.4,10.7,0.0
East Killara,897.0,4.0,0.0,0.0,99.6,0.4,0.0,0.0
East Lindfield,1036.0,3.0,84.0,0.0,92.3,0.3,7.5,0.0
East Ryde,733.0,35.0,0.0,0.0,95.4,4.6,0.0,0.0
Eastern Creek,250.0,4.0,0.0,3.0,97.3,1.6,0.0,1.2
Eastlakes,646.0,127.0,1776.0,3.0,25.3,5.0,69.5,0.1
Eastwood (NSW),3408.0,850.0,1308.0,0.0,61.2,15.3,23.5,0.0
Edensor Park,2113.0,504.0,18.0,0.0,80.0,19.1,0.7,0.0
Edgecliff,38.0,160.0,778.0,0.0,3.9,16.4,79.7,0.0
Edgeworth,2040.0,48.0,251.0,4.0,87.1,2.0,10.7,0.2
Elanora Heights,1158.0,19.0,39.0,0.0,95.2,1.6,3.2,0.0
Elderslie (Camden - NSW),1355.0,35.0,36.0,37.0,92.6,2.4,2.5,2.5
Eleebana,1848.0,59.0,3.0,0.0,96.8,3.1,0.2,0.0
Elermore Vale,1400.0,406.0,47.0,3.0,75.3,21.8,2.5,0.2
Elizabeth Bay,18.0,19.0,2817.0,0.0,0.6,0.7,98.3,0.0
Emerton,565.0,99.0,51.0,0.0,79.0,13.8,7.1,0.0
Empire Bay,712.0,9.0,46.0,56.0,86.5,1.1,5.6,6.8
Emu Heights (NSW),1018.0,19.0,4.0,3.0,97.5,1.8,0.4,0.3
Emu Plains,2158.0,246.0,356.0,107.0,75.1,8.6,12.4,3.7
Enfield (NSW),560.0,198.0,175.0,13.0,59.2,20.9,18.5,1.4
Engadine,4769.0,310.0,596.0,21.0,83.7,5.4,10.5,0.4
Enmore (Marrickville - NSW),262.0,739.0,428.0,13.0,18.1,51.1,29.6,0.9
Epping (NSW),4447.0,661.0,1981.0,15.0,62.6,9.3,27.9,0.2
Erina,1334.0,499.0,40.0,4.0,71.1,26.6,2.1,0.2
Ermington,2341.0,575.0,256.0,20.0,73.3,18.0,8.0,0.6
Erskine Park,1839.0,49.0,0.0,3.0,97.3,2.6,0.0,0.2
Erskineville,161.0,1351.0,1716.0,7.0,5.0,41.8,53.0,0.2
Eschol Park,787.0,32.0,0.0,0.0,96.1,3.9,0.0,0.0
Ettalong Beach,1194.0,703.0,194.0,16.0,56.7,33.4,9.2,0.8
Fairfield (NSW),2443.0,1051.0,2044.0,11.0,44.0,18.9,36.8,0.2
Fairfield East,1079.0,233.0,168.0,3.0,72.8,15.7,11.3,0.2
Fairfield Heights,1380.0,517.0,108.0,3.0,68.7,25.7,5.4,0.1
Fairfield West,2947.0,143.0,0.0,16.0,94.9,4.6,0.0,0.5
Fairlight,649.0,404.0,1172.0,11.0,29.0,18.0,52.3,0.5
Fairy Meadow,1596.0,390.0,597.0,106.0,59.2,14.5,22.1,3.9
Farmborough Heights,1322.0,34.0,12.0,0.0,96.2,2.5,0.9,0.0
Faulconbridge,1393.0,7.0,13.0,5.0,98.2,0.5,0.9,0.4
Fennell Bay,533.0,27.0,31.0,0.0,90.2,4.6,5.2,0.0
Figtree,3096.0,227.0,208.0,172.0,83.6,6.1,5.6,4.6
Five Dock,1676.0,472.0,1228.0,28.0,49.2,13.9,36.1,0.8
Fletcher (NSW),789.0,6.0,0.0,0.0,99.2,0.8,0.0,0.0
Flinders (NSW),1303.0,308.0,102.0,0.0,76.1,18.0,6.0,0.0
Floraville,439.0,76.0,0.0,0.0,85.2,14.8,0.0,0.0
Forest Lodge,85.0,619.0,458.0,10.0,7.3,52.8,39.1,0.9
Forestville (NSW),2217.0,82.0,404.0,0.0,81.9,3.0,14.9,0.0
Forresters Beach,814.0,45.0,17.0,0.0,92.9,5.1,1.9,0.0
Frenchs Forest,4035.0,96.0,32.0,6.0,96.7,2.3,0.8,0.1
Garden Suburb,636.0,0.0,6.0,0.0,99.1,0.0,0.9,0.0
Gateshead,1180.0,83.0,54.0,3.0,89.4,6.3,4.1,0.2
Georges Hall,2267.0,326.0,9.0,3.0,87.0,12.5,0.3,0.1
Georgetown (NSW),732.0,27.0,81.0,4.0,86.7,3.2,9.6,0.5
Girraween (NSW),894.0,549.0,145.0,0.0,56.3,34.6,9.1,0.0
Gladesville,2265.0,389.0,1694.0,22.0,51.8,8.9,38.7,0.5
Glebe (NSW),437.0,2209.0,2097.0,43.0,9.1,46.1,43.8,0.9
Glen Alpine,1227.0,4.0,0.0,0.0,99.7,0.3,0.0,0.0
Glenbrook,1593.0,79.0,25.0,4.0,93.7,4.6,1.5,0.2
Glendale (NSW),1142.0,38.0,84.0,4.0,90.1,3.0,6.6,0.3
Glendenning,1423.0,8.0,0.0,0.0,99.4,0.6,0.0,0.0
Glenfield (NSW),1583.0,800.0,53.0,0.0,65.0,32.8,2.2,0.0
Glenhaven,1678.0,225.0,21.0,0.0,87.2,11.7,1.1,0.0
Glenmore Park,5616.0,497.0,43.0,0.0,91.2,8.1,0.7,0.0
Glenning Valley,636.0,34.0,0.0,0.0,94.9,5.1,0.0,0.0
Glenwood (NSW),4048.0,195.0,0.0,0.0,95.4,4.6,0.0,0.0
Gordon (NSW),1453.0,155.0,580.0,3.0,66.2,7.1,26.4,0.1
Gorokan,2652.0,380.0,158.0,0.0,83.1,11.9,4.9,0.0
Gosford,99.0,108.0,1373.0,3.0,6.0,6.6,83.5,0.2
Granville (NSW),1952.0,407.0,2081.0,29.0,43.4,9.1,46.3,0.6
Grays Point,862.0,11.0,4.0,0.0,98.3,1.3,0.5,0.0
Green Point (Great Lakes - NSW),221.0,3.0,0.0,0.0,98.7,1.3,0.0,0.0
Green Valley (NSW),2603.0,657.0,45.0,0.0,78.8,19.9,1.4,0.0
Greenacre,4667.0,1623.0,442.0,12.0,69.2,24.1,6.6,0.2
Greenfield Park,904.0,405.0,0.0,0.0,68.1,30.5,0.0,0.0
Greenwich,1031.0,112.0,797.0,3.0,52.9,5.7,40.9,0.2
Greystanes,6506.0,532.0,49.0,0.0,91.8,7.5,0.7,0.0
Guildford (NSW),3696.0,820.0,1514.0,17.0,61.0,13.5,25.0,0.3
Guildford West,1280.0,106.0,10.0,3.0,91.5,7.6,0.7,0.2
Gwynneville,608.0,132.0,343.0,4.0,55.9,12.1,31.6,0.4
Gymea,1422.0,651.0,803.0,20.0,49.1,22.5,27.7,0.7
Gymea Bay,2011.0,151.0,19.0,0.0,92.2,6.9,0.9,0.0
Haberfield,1692.0,333.0,186.0,16.0,75.5,14.9,8.3,0.7
Halekulani,970.0,12.0,3.0,37.0,94.9,1.2,0.3,3.6
Hamilton (NSW),1172.0,241.0,324.0,21.0,66.5,13.7,18.4,1.2
Hamilton East,306.0,19.0,6.0,3.0,91.6,5.7,1.8,0.9
Hamilton North,314.0,35.0,4.0,0.0,89.0,9.9,1.1,0.0
Hamilton South,952.0,198.0,560.0,5.0,55.5,11.5,32.7,0.3
Hammondville,685.0,323.0,29.0,0.0,66.1,31.1,2.8,0.0
Harrington Park,2182.0,0.0,0.0,3.0,99.9,0.0,0.0,0.1
Harris Park,165.0,67.0,1550.0,0.0,9.3,3.8,87.0,0.0
Hassall Grove,1201.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Haymarket,0.0,0.0,1634.0,6.0,0.0,0.0,99.5,0.4
Heathcote (NSW),1591.0,356.0,26.0,46.0,78.8,17.6,1.3,2.3
Hebersham,1525.0,73.0,51.0,0.0,92.5,4.4,3.1,0.0
Heckenberg,757.0,90.0,10.0,3.0,88.0,10.5,1.2,0.3
Henley,125.0,0.0,26.0,0.0,82.8,0.0,17.2,0.0
Highfields (NSW),361.0,6.0,14.0,0.0,94.8,1.6,3.7,0.0
Hillsborough (Lake Macquarie - NSW),223.0,0.0,3.0,0.0,98.7,0.0,1.3,0.0
Hillsdale,124.0,128.0,1636.0,0.0,6.6,6.8,86.7,0.0
Hinchinbrook (NSW),2519.0,356.0,0.0,3.0,87.5,12.4,0.0,0.1
Holmesville,457.0,3.0,10.0,3.0,96.6,0.6,2.1,0.6
Holsworthy,1145.0,274.0,0.0,0.0,80.3,19.2,0.0,0.0
Homebush (NSW),659.0,176.0,1056.0,6.0,34.7,9.3,55.7,0.3
Homebush West,237.0,62.0,1784.0,0.0,11.3,3.0,85.4,0.0
Horningsea Park,1009.0,8.0,0.0,0.0,99.2,0.8,0.0,0.0
Hornsby,2877.0,586.0,4116.0,12.0,37.8,7.7,54.1,0.2
Hornsby Heights,1940.0,63.0,18.0,3.0,95.8,3.1,0.9,0.1
Horsley,2111.0,64.0,28.0,0.0,95.8,2.9,1.3,0.0
Hoxton Park,1062.0,115.0,4.0,0.0,89.9,9.7,0.3,0.0
Hunters Hill,2114.0,211.0,516.0,23.0,73.8,7.4,18.0,0.8
Huntleys Point,50.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Hurlstone Park,1140.0,160.0,454.0,8.0,64.6,9.1,25.7,0.5
Hurstville,3329.0,681.0,4727.0,8.0,38.1,7.8,54.0,0.1
Hurstville Grove,696.0,47.0,10.0,0.0,92.4,6.2,1.3,0.0
Illawong,2089.0,82.0,4.0,0.0,96.0,3.8,0.2,0.0
Ingleburn,3388.0,1449.0,42.0,3.0,69.4,29.7,0.9,0.1
Ingleside,344.0,10.0,0.0,12.0,94.0,2.7,0.0,3.3
Islington,550.0,87.0,142.0,14.0,69.4,11.0,17.9,1.8
Jamisontown,1357.0,173.0,492.0,0.0,67.0,8.5,24.3,0.0
Jannali,1465.0,276.0,392.0,0.0,68.7,12.9,18.4,0.0
Jesmond,487.0,289.0,253.0,3.0,47.2,28.0,24.5,0.3
Jewells,937.0,108.0,0.0,11.0,88.7,10.2,0.0,1.0
Kahibah,658.0,26.0,157.0,3.0,78.0,3.1,18.6,0.4
Kanahooka,1593.0,124.0,30.0,137.0,84.6,6.6,1.6,7.3
Kangaroo Point (NSW),173.0,8.0,0.0,0.0,95.6,4.4,0.0,0.0
Kanwal,1081.0,154.0,6.0,82.0,81.7,11.6,0.5,6.2
Kareela,1112.0,0.0,4.0,0.0,99.6,0.0,0.4,0.0
Kariong,1894.0,141.0,3.0,0.0,92.9,6.9,0.1,0.0
Kearns,799.0,35.0,0.0,0.0,95.8,4.2,0.0,0.0
Keiraville,817.0,135.0,264.0,3.0,66.6,11.0,21.5,0.2
Kellyville,5630.0,222.0,9.0,0.0,96.1,3.8,0.2,0.0
Kembla Grange,69.0,3.0,0.0,0.0,95.8,4.2,0.0,0.0
Kensington (NSW),1002.0,206.0,2774.0,31.0,25.0,5.1,69.1,0.8
Kilaben Bay,472.0,15.0,4.0,0.0,96.1,3.1,0.8,0.0
Killara (NSW),2049.0,55.0,1003.0,0.0,65.9,1.8,32.3,0.0
Killarney Heights,1340.0,42.0,25.0,0.0,95.2,3.0,1.8,0.0
Killarney Vale,2317.0,180.0,44.0,13.0,90.7,7.0,1.7,0.5
Kincumber,1781.0,816.0,65.0,0.0,66.8,30.6,2.4,0.0
Kincumber South,395.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Kings Langley,2836.0,100.0,74.0,0.0,94.2,3.3,2.5,0.0
Kings Park (NSW),1104.0,72.0,0.0,0.0,93.9,6.1,0.0,0.0
Kingsford (NSW),1899.0,594.0,2557.0,22.0,37.4,11.7,50.3,0.4
Kingsgrove,3448.0,212.0,225.0,35.0,88.0,5.4,5.7,0.9
Kingswood (Tamworth - NSW),368.0,0.0,0.0,16.0,95.8,0.0,0.0,4.2
Kirrawee,2117.0,617.0,641.0,8.0,62.6,18.2,18.9,0.2
Kirribilli,135.0,167.0,1538.0,4.0,7.3,9.0,83.3,0.2
Kogarah,1425.0,278.0,2899.0,23.0,30.7,6.0,62.5,0.5
Kogarah Bay,636.0,7.0,10.0,3.0,97.0,1.1,1.5,0.5
Koolewong,300.0,4.0,4.0,0.0,97.4,1.3,1.3,0.0
Koonawarra,1205.0,35.0,24.0,0.0,95.3,2.8,1.9,0.0
Kotara,1368.0,109.0,10.0,0.0,92.0,7.3,0.7,0.0
Kotara South,414.0,7.0,9.0,0.0,96.3,1.6,2.1,0.0
Kurnell,722.0,3.0,7.0,3.0,98.2,0.4,1.0,0.4
Kyeemagh,263.0,10.0,4.0,0.0,94.9,3.6,1.4,0.0
Kyle Bay,232.0,27.0,0.0,0.0,89.6,10.4,0.0,0.0
La Perouse,109.0,11.0,23.0,0.0,76.2,7.7,16.1,0.0
Lake Haven,1027.0,207.0,166.0,3.0,73.2,14.8,11.8,0.2
Lake Heights,1064.0,43.0,115.0,8.0,86.5,3.5,9.3,0.7
Lake Illawarra,734.0,431.0,215.0,3.0,53.1,31.2,15.5,0.2
Lakelands (NSW),426.0,54.0,0.0,0.0,88.8,11.2,0.0,0.0
Lakemba,1230.0,244.0,3282.0,7.0,25.7,5.1,68.6,0.1
Lalor Park,2429.0,60.0,124.0,7.0,92.6,2.3,4.7,0.3
Lambton,1545.0,281.0,168.0,17.0,76.7,13.9,8.3,0.8
Lane Cove,1527.0,352.0,1899.0,20.0,40.2,9.3,50.0,0.5
Lane Cove North,1218.0,251.0,2343.0,6.0,31.9,6.6,61.4,0.2
Lane Cove West,637.0,57.0,63.0,0.0,83.8,7.5,8.3,0.0
Lansvale,739.0,10.0,7.0,3.0,97.4,1.3,0.9,0.4
Lapstone,323.0,10.0,0.0,0.0,97.0,3.0,0.0,0.0
Lavender Bay,48.0,78.0,280.0,0.0,11.8,19.2,69.0,0.0
Leichhardt (NSW),2225.0,1880.0,1292.0,42.0,40.9,34.5,23.7,0.8
Leonay,814.0,8.0,0.0,0.0,99.0,1.0,0.0,0.0
Lethbridge Park,1373.0,12.0,131.0,0.0,90.6,0.8,8.6,0.0
Leumeah,2617.0,534.0,257.0,7.0,76.6,15.6,7.5,0.2
Lewisham (NSW),518.0,185.0,375.0,3.0,47.3,16.9,34.2,0.3
Liberty Grove,29.0,238.0,438.0,0.0,4.1,33.8,62.1,0.0
Lidcombe,3063.0,1002.0,1040.0,12.0,59.7,19.5,20.3,0.2
Lilli Pilli (Sutherland - NSW),378.0,11.0,9.0,0.0,95.0,2.8,2.3,0.0
Lilyfield,1542.0,646.0,623.0,16.0,54.5,22.9,22.0,0.6
Lindfield,1956.0,127.0,806.0,0.0,67.6,4.4,27.8,0.0
Linley Point,118.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Lisarow,1338.0,197.0,54.0,0.0,84.2,12.4,3.4,0.0
Little Bay,508.0,148.0,388.0,0.0,48.7,14.2,37.2,0.0
Liverpool,2816.0,996.0,4012.0,12.0,35.8,12.7,51.1,0.2
Loftus,1206.0,145.0,3.0,0.0,89.1,10.7,0.2,0.0
Long Jetty,1391.0,686.0,410.0,24.0,55.3,27.3,16.3,1.0
Long Point (Campbelltown - NSW),66.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Longueville,630.0,6.0,0.0,0.0,99.1,0.9,0.0,0.0
Lugarno,1749.0,60.0,49.0,3.0,94.0,3.2,2.6,0.2
Lurnea,2135.0,543.0,71.0,0.0,77.7,19.8,2.6,0.0
Macquarie Fields,3244.0,1040.0,109.0,3.0,73.7,23.6,2.5,0.1
Macquarie Hills,986.0,22.0,0.0,4.0,97.4,2.2,0.0,0.4
Macquarie Links,273.0,38.0,11.0,0.0,84.8,11.8,3.4,0.0
Macquarie Park,7.0,513.0,1858.0,12.0,0.3,21.5,77.7,0.5
Malabar,808.0,92.0,347.0,0.0,64.6,7.4,27.7,0.0
Mangerton,712.0,155.0,211.0,0.0,66.0,14.4,19.6,0.0
Manly (NSW),986.0,704.0,4598.0,22.0,15.6,11.1,72.7,0.3
Manly Vale,832.0,62.0,1368.0,7.0,36.7,2.7,60.3,0.3
Marayong,2155.0,148.0,151.0,3.0,87.7,6.0,6.1,0.1
Mardi,634.0,479.0,0.0,0.0,57.0,43.0,0.0,0.0
Marks Point,433.0,134.0,191.0,9.0,56.5,17.5,24.9,1.2
Marmong Point,254.0,19.0,4.0,13.0,87.6,6.6,1.4,4.5
Maroubra,3619.0,2341.0,5026.0,36.0,32.8,21.2,45.6,0.3
Marrickville,3611.0,1819.0,3647.0,104.0,39.3,19.8,39.7,1.1
Marsfield,1568.0,1810.0,1310.0,0.0,33.4,38.6,27.9,0.0
Maryland (Newcastle - NSW),2482.0,107.0,30.0,3.0,94.6,4.1,1.1,0.1
Maryville,421.0,129.0,46.0,0.0,70.6,21.6,7.7,0.0
Mascot,1637.0,452.0,1568.0,8.0,44.6,12.3,42.7,0.2
Matraville,1783.0,796.0,512.0,5.0,57.4,25.6,16.5,0.2
Mayfield (Newcastle - NSW),3004.0,386.0,304.0,18.0,80.6,10.4,8.2,0.5
Mayfield East,596.0,32.0,61.0,0.0,86.5,4.6,8.9,0.0
Mayfield West,569.0,4.0,119.0,0.0,82.2,0.6,17.2,0.0
Mays Hill,213.0,0.0,18.0,0.0,91.0,0.0,7.7,0.0
McMahons Point,198.0,192.0,720.0,0.0,17.8,17.2,64.6,0.0
Meadowbank (NSW),60.0,21.0,1613.0,0.0,3.5,1.2,95.2,0.0
Melrose Park (NSW),470.0,22.0,0.0,0.0,95.5,4.5,0.0,0.0
Menai,2469.0,637.0,207.0,0.0,74.5,19.2,6.2,0.0
Merewether,2676.0,626.0,948.0,8.0,62.8,14.7,22.3,0.2
Merewether Heights,476.0,13.0,0.0,0.0,97.3,2.7,0.0,0.0
Merrylands,4964.0,972.0,2432.0,10.0,59.2,11.6,29.0,0.1
Merrylands West,1021.0,531.0,548.0,15.0,48.2,25.0,25.8,0.7
Middle Cove,414.0,4.0,0.0,3.0,98.3,1.0,0.0,0.7
Miller,679.0,88.0,280.0,0.0,64.9,8.4,26.7,0.0
Millers Point,102.0,89.0,586.0,0.0,13.1,11.5,75.4,0.0
Milperra,1243.0,22.0,3.0,3.0,97.8,1.7,0.2,0.2
Milsons Point,12.0,0.0,865.0,0.0,1.4,0.0,98.6,0.0
Minchinbury,1520.0,16.0,6.0,0.0,98.6,1.0,0.4,0.0
Minmi,219.0,3.0,0.0,3.0,97.3,1.3,0.0,1.3
Minto,2510.0,363.0,208.0,110.0,78.6,11.4,6.5,3.4
Miranda (NSW),2730.0,811.0,1950.0,83.0,49.0,14.5,35.0,1.5
Mona Vale,2121.0,480.0,984.0,49.0,58.3,13.2,27.1,1.3
Monterey,886.0,205.0,617.0,10.0,51.6,11.9,35.9,0.6
Moorebank,2151.0,218.0,82.0,3.0,87.7,8.9,3.3,0.1
Mortdale,1712.0,519.0,1490.0,38.0,45.5,13.8,39.6,1.0
Mortlake (NSW),60.0,71.0,155.0,0.0,21.0,24.8,54.2,0.0
Mosman,4177.0,1347.0,5160.0,11.0,38.9,12.5,48.0,0.1
Mount Annan,2849.0,273.0,0.0,0.0,90.8,8.7,0.0,0.0
Mount Colah,2107.0,159.0,23.0,6.0,91.8,6.9,1.0,0.3
Mount Druitt,2334.0,1201.0,1229.0,6.0,48.9,25.2,25.8,0.1
Mount Hutton (NSW),857.0,252.0,115.0,0.0,70.0,20.6,9.4,0.0
Mount Keira,493.0,24.0,20.0,0.0,91.8,4.5,3.7,0.0
Mount Kembla,353.0,0.0,4.0,0.0,98.9,0.0,1.1,0.0
Mount Lewis,323.0,4.0,0.0,0.0,98.8,1.2,0.0,0.0
Mount Ousley,529.0,0.0,9.0,0.0,98.3,0.0,1.7,0.0
Mount Pleasant (NSW),419.0,5.0,0.0,0.0,98.8,1.2,0.0,0.0
Mount Pritchard,2393.0,330.0,52.0,8.0,86.0,11.9,1.9,0.3
Mount Riverview,1014.0,6.0,3.0,0.0,99.1,0.6,0.3,0.0
Mount Saint Thomas,486.0,27.0,6.0,0.0,93.6,5.2,1.2,0.0
Mount Warrigal,1636.0,3.0,7.0,0.0,99.4,0.2,0.4,0.0
Narara,2345.0,314.0,32.0,3.0,86.9,11.6,1.2,0.1
Narellan,1098.0,111.0,8.0,0.0,90.2,9.1,0.7,0.0
Narellan Vale,2180.0,46.0,0.0,0.0,97.9,2.1,0.0,0.0
Naremburn,926.0,458.0,826.0,6.0,41.7,20.6,37.2,0.3
Narrabeen,536.0,519.0,2182.0,0.0,16.6,16.0,67.4,0.0
Narraweena,1628.0,198.0,376.0,5.0,73.7,9.0,17.0,0.2
Narwee,912.0,287.0,506.0,11.0,53.1,16.7,29.5,0.6
Neutral Bay,451.0,757.0,3217.0,9.0,10.2,17.0,72.4,0.2
New Lambton,3071.0,339.0,453.0,8.0,78.7,8.7,11.6,0.2
New Lambton Heights,690.0,18.0,6.0,0.0,96.6,2.5,0.8,0.0
Newcastle,59.0,63.0,941.0,22.0,5.4,5.8,86.7,2.0
Newcastle East,25.0,134.0,299.0,6.0,5.4,28.9,64.4,1.3
Newcastle West,33.0,5.0,240.0,3.0,11.7,1.8,85.4,1.1
Newington (NSW),940.0,92.0,815.0,3.0,50.8,5.0,44.1,0.2
Newport (NSW),1880.0,502.0,896.0,13.0,57.0,15.2,27.2,0.4
Newtown (NSW),515.0,3165.0,2259.0,80.0,8.5,52.4,37.4,1.3
Niagara Park,856.0,83.0,48.0,0.0,86.7,8.4,4.9,0.0
Norah Head,352.0,12.0,7.0,16.0,91.0,3.1,1.8,4.1
Noraville,940.0,40.0,41.0,11.0,91.1,3.9,4.0,1.1
