,Separate house,"Semi-detached, row or terrace house, townhouse etc","Flat, unit or apartment",Other dwelling,Separate house (%),"Semi-detached, row or terrace house, townhouse etc (%)","Flat, unit or apartment (%)",Other dwelling (%)
Sydenham (NSW),168.0,191.0,27.0,0.0,43.5,49.5,7.0,0.0
Sydney,129.0,3.0,5209.0,0.0,2.4,0.1,97.3,0.0
Sylvania,2297.0,750.0,506.0,0.0,64.5,21.1,14.2,0.0
Sylvania Waters,846.0,94.0,132.0,0.0,78.9,8.8,12.3,0.0
Tacoma,233.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Tacoma South,83.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Tamarama,104.0,85.0,331.0,0.0,20.0,16.3,63.7,0.0
Taren Point,350.0,99.0,200.0,11.0,53.0,15.0,30.3,1.7
Tarrawanna,643.0,88.0,39.0,3.0,83.2,11.4,5.0,0.4
Tascott,574.0,7.0,0.0,0.0,98.8,1.2,0.0,0.0
Tempe,875.0,237.0,37.0,6.0,75.8,20.5,3.2,0.5
Teralba,468.0,28.0,20.0,53.0,82.2,4.9,3.5,9.3
Terrey Hills,844.0,15.0,15.0,41.0,91.6,1.6,1.6,4.5
Terrigal,2511.0,888.0,289.0,269.0,63.3,22.4,7.3,6.8
The Entrance,532.0,234.0,894.0,18.0,31.6,13.9,53.2,1.1
The Entrance North,292.0,117.0,127.0,24.0,52.1,20.9,22.7,4.3
The Hill,161.0,175.0,456.0,0.0,20.3,22.1,57.6,0.0
The Junction,310.0,150.0,198.0,0.0,47.1,22.8,30.1,0.0
Thirroul,1491.0,309.0,210.0,5.0,74.0,15.3,10.4,0.2
Thornleigh,2409.0,190.0,68.0,7.0,90.0,7.1,2.5,0.3
Tighes Hill,580.0,55.0,22.0,3.0,87.9,8.3,3.3,0.5
Tingira Heights,643.0,12.0,6.0,4.0,96.7,1.8,0.9,0.6
Toongabbie (NSW),3035.0,941.0,377.0,5.0,69.6,21.6,8.7,0.1
Toowoon Bay,109.0,61.0,55.0,31.0,42.6,23.8,21.5,12.1
Toronto,1700.0,200.0,223.0,0.0,80.0,9.4,10.5,0.0
Toukley,1235.0,462.0,72.0,24.0,68.9,25.8,4.0,1.3
Towradgi,861.0,85.0,256.0,4.0,71.4,7.0,21.2,0.3
Tregear,1087.0,24.0,112.0,0.0,88.9,2.0,9.2,0.0
Tuggerah,264.0,99.0,0.0,0.0,72.7,27.3,0.0,0.0
Tuggerawong,388.0,29.0,5.0,38.0,84.3,6.3,1.1,8.3
Tumbi Umbi,1510.0,208.0,11.0,4.0,87.1,12.0,0.6,0.2
Turramurra,3080.0,157.0,508.0,5.0,82.1,4.2,13.5,0.1
Turrella,407.0,37.0,18.0,0.0,88.1,8.0,3.9,0.0
