,Family households,Single (or lone) person households,Group households,Family households (%),Single (or lone) person households (%),Group households (%)
Lidcombe,4080.0,782.0,268.0,79.5,15.2,5.2
Lilli Pilli (Sutherland - NSW),359.0,37.0,3.0,90.0,9.3,0.8
Lilyfield,1837.0,828.0,163.0,65.0,29.3,5.8
Lindfield,2268.0,567.0,61.0,78.3,19.6,2.1
Linley Point,99.0,17.0,3.0,83.2,14.3,2.5
Lisarow,1336.0,232.0,22.0,84.0,14.6,1.4
Little Bay,714.0,307.0,22.0,68.5,29.4,2.1
Liverpool,5701.0,1918.0,236.0,72.6,24.4,3.0
Loftus,1106.0,232.0,18.0,81.6,17.1,1.3
Long Jetty,1487.0,928.0,100.0,59.1,36.9,4.0
Long Point (Campbelltown - NSW),58.0,8.0,0.0,87.9,12.1,0.0
Longueville,571.0,64.0,3.0,89.5,10.0,0.5
Lugarno,1599.0,243.0,18.0,86.0,13.1,1.0
Lurnea,2138.0,561.0,51.0,77.7,20.4,1.9
Macquarie Fields,3357.0,948.0,96.0,76.3,21.5,2.2
Macquarie Hills,864.0,131.0,16.0,85.5,13.0,1.6
Macquarie Links,296.0,22.0,3.0,92.2,6.9,0.9
Macquarie Park,1179.0,943.0,270.0,49.3,39.4,11.3
Malabar,850.0,376.0,25.0,67.9,30.1,2.0
Mangerton,713.0,328.0,38.0,66.1,30.4,3.5
Manly (NSW),3657.0,2052.0,617.0,57.8,32.4,9.8
Manly Vale,1494.0,650.0,126.0,65.8,28.6,5.6
Marayong,1850.0,555.0,53.0,75.3,22.6,2.2
Mardi,913.0,172.0,30.0,81.9,15.4,2.7
Marks Point,476.0,269.0,21.0,62.1,35.1,2.7
Marmong Point,203.0,78.0,8.0,70.2,27.0,2.8
Maroubra,7277.0,2947.0,799.0,66.0,26.7,7.2
Marrickville,5903.0,2480.0,808.0,64.2,27.0,8.8
Marsfield,2939.0,1264.0,487.0,62.7,27.0,10.4
Maryland (Newcastle - NSW),2170.0,416.0,38.0,82.7,15.9,1.4
Maryville,383.0,156.0,57.0,64.3,26.2,9.6
Mascot,2645.0,785.0,242.0,72.0,21.4,6.6
