,Family households,Single (or lone) person households,Group households,Family households (%),Single (or lone) person households (%),Group households (%)
West Wallsend,471.0,135.0,20.0,75.2,21.6,3.2
West Wollongong,1159.0,463.0,90.0,67.7,27.0,5.3
Westleigh,1277.0,170.0,12.0,87.5,11.7,0.8
Westmead,3485.0,1110.0,309.0,71.1,22.6,6.3
Wetherill Park,1585.0,203.0,29.0,87.2,11.2,1.6
Whalan,1419.0,455.0,36.0,74.3,23.8,1.9
Whitebridge,714.0,175.0,26.0,78.0,19.1,2.8
Wickham (NSW),214.0,156.0,58.0,50.0,36.4,13.6
Wiley Park,2290.0,567.0,136.0,76.5,18.9,4.5
Willmot,588.0,167.0,17.0,76.2,21.6,2.2
Willoughby (NSW),1537.0,496.0,68.0,73.2,23.6,3.2
Willoughby East,479.0,65.0,4.0,87.4,11.9,0.7
Windale,765.0,443.0,22.0,62.2,36.0,1.8
Windang,708.0,440.0,19.0,60.7,37.7,1.6
Winmalee,1856.0,355.0,29.0,82.9,15.8,1.3
Winston Hills,3121.0,596.0,56.0,82.7,15.8,1.5
Wollongong,3648.0,2715.0,1009.0,49.5,36.8,13.7
Wollstonecraft,2106.0,1287.0,356.0,56.2,34.3,9.5
Wombarra,238.0,63.0,14.0,75.6,20.0,4.4
Woodbine (NSW),715.0,111.0,20.0,84.5,13.1,2.4
Woodcroft (NSW),1652.0,149.0,18.0,90.8,8.2,1.0
Woodpark,355.0,60.0,9.0,83.7,14.2,2.1
Woodrising,329.0,57.0,12.0,82.7,14.3,3.0
Woollahra,1763.0,1104.0,217.0,57.2,35.8,7.0
Woolloomooloo,680.0,839.0,182.0,40.0,49.3,10.7
Woolooware,1123.0,359.0,28.0,74.4,23.8,1.9
Woolwich,206.0,73.0,3.0,73.0,25.9,1.1
Woonona,3086.0,1135.0,87.0,71.6,26.3,2.0
Woronora,613.0,100.0,5.0,85.4,13.9,0.7
Woronora Heights,803.0,36.0,3.0,95.4,4.3,0.4
Woy Woy,2603.0,1601.0,134.0,60.0,36.9,3.1
Woy Woy Bay,115.0,28.0,11.0,74.7,18.2,7.1
Wyoming,2550.0,1058.0,97.0,68.8,28.6,2.6
Wyong,925.0,592.0,51.0,59.0,37.8,3.3
Wyongah,524.0,139.0,12.0,77.6,20.6,1.8
Yagoona,3752.0,999.0,100.0,77.3,20.6,2.1
Yarrawarrah,840.0,102.0,7.0,88.5,10.7,0.7
Yattalunga (NSW),153.0,31.0,3.0,81.8,16.6,1.6
Yennora,287.0,145.0,15.0,64.2,32.4,3.4
Yowie Bay,875.0,169.0,16.0,82.5,15.9,1.5
Zetland,927.0,479.0,245.0,56.1,29.0,14.8
