,None (includes bedsitters),1 bedroom,2 bedrooms,3 bedrooms,4 or more bedrooms,Number of bedrooms not stated,Average number of bedrooms per dwelling,Average number of people per household,None (includes bedsitters) (%),1 bedroom (%),2 bedrooms (%),3 bedrooms (%),4 or more bedrooms (%),Number of bedrooms not stated (%),Average number of bedrooms per dwelling (%),Average number of people per household (%)
North Strathfield,8.0,29.0,662.0,585.0,188.0,34.0,2.7,2.6,0.5,1.9,44.0,38.8,12.5,2.3,--,--
North Sydney,216.0,764.0,991.0,584.0,136.0,118.0,1.9,1.9,7.7,27.2,35.3,20.8,4.8,4.2,--,--
North Turramurra,3.0,41.0,247.0,548.0,548.0,25.0,3.3,2.5,0.2,2.9,17.5,38.8,38.8,1.8,--,--
North Wahroonga,0.0,6.0,3.0,157.0,444.0,4.0,3.9,3.1,0.0,1.0,0.5,25.6,72.3,0.7,--,--
North Willoughby,4.0,51.0,527.0,490.0,349.0,17.0,2.9,2.6,0.3,3.5,36.6,34.1,24.3,1.2,--,--
North Wollongong,5.0,67.0,427.0,200.0,57.0,15.0,2.3,2.0,0.6,8.7,55.4,25.9,7.4,1.9,--,--
Northbridge (NSW),4.0,81.0,337.0,608.0,927.0,26.0,3.4,2.9,0.2,4.1,17.0,30.7,46.7,1.3,--,--
Northmead,7.0,205.0,1111.0,1811.0,821.0,97.0,2.9,2.4,0.2,5.1,27.4,44.7,20.3,2.4,--,--
Northwood (NSW),0.0,3.0,14.0,83.0,168.0,5.0,3.8,3.2,0.0,1.1,5.1,30.4,61.5,1.8,--,--
Oak Flats,0.0,55.0,333.0,1250.0,652.0,38.0,3.1,2.6,0.0,2.4,14.3,53.7,28.0,1.6,--,--
Oakhurst (NSW),4.0,8.0,31.0,1113.0,716.0,35.0,3.4,3.5,0.2,0.4,1.6,58.4,37.5,1.8,--,--
Oatlands (NSW),4.0,35.0,175.0,681.0,757.0,25.0,3.5,3.0,0.2,2.1,10.4,40.6,45.1,1.5,--,--
Oatley,6.0,49.0,771.0,1429.0,1291.0,29.0,3.2,2.7,0.2,1.4,21.6,40.0,36.1,0.8,--,--
Old Guildford,3.0,12.0,84.0,324.0,222.0,14.0,3.3,3.9,0.5,1.8,12.7,49.2,33.7,2.1,--,--
Old Toongabbie,3.0,6.0,55.0,549.0,278.0,8.0,3.3,2.9,0.3,0.7,6.1,61.1,30.9,0.9,--,--
Ourimbah,0.0,17.0,188.0,614.0,587.0,15.0,3.4,2.8,0.0,1.2,13.2,43.2,41.3,1.1,--,--
Oxley Park,7.0,16.0,83.0,656.0,198.0,19.0,3.1,2.7,0.7,1.6,8.5,67.0,20.2,1.9,--,--
Oyster Bay,3.0,20.0,191.0,742.0,786.0,17.0,3.4,3.0,0.2,1.1,10.9,42.2,44.7,1.0,--,--
Paddington (NSW),294.0,909.0,1479.0,1691.0,637.0,76.0,2.3,2.1,5.8,17.9,29.1,33.2,12.5,1.5,--,--
Padstow,16.0,230.0,755.0,2103.0,1262.0,111.0,3.1,2.7,0.4,5.1,16.9,47.0,28.2,2.5,--,--
Padstow Heights,3.0,59.0,157.0,550.0,394.0,23.0,3.2,2.7,0.3,5.0,13.2,46.4,33.2,1.9,--,--
Pagewood,25.0,43.0,223.0,572.0,364.0,18.0,3.1,2.8,2.0,3.5,17.9,45.9,29.2,1.4,--,--
Palm Beach (NSW),4.0,19.0,95.0,214.0,239.0,8.0,3.3,2.3,0.7,3.3,16.4,37.0,41.3,1.4,--,--
Panania,3.0,154.0,616.0,1945.0,1190.0,82.0,3.1,2.8,0.1,3.9,15.4,48.7,29.8,2.1,--,--
Parramatta,130.0,691.0,4567.0,1269.0,344.0,123.0,2.2,2.4,1.8,9.7,64.1,17.8,4.8,1.7,--,--
Peakhurst,43.0,197.0,485.0,1599.0,1033.0,77.0,3.1,2.7,1.3,5.7,14.1,46.6,30.1,2.2,--,--
Peakhurst Heights,0.0,17.0,48.0,383.0,348.0,11.0,3.5,2.9,0.0,2.1,5.9,47.5,43.1,1.4,--,--
Pearl Beach,0.0,10.0,47.0,89.0,56.0,5.0,3.5,1.9,0.0,4.8,22.7,43.0,27.1,2.4,--,--
Pelican (NSW),0.0,12.0,68.0,178.0,77.0,5.0,3.0,2.4,0.0,3.5,20.0,52.4,22.6,1.5,--,--
Pendle Hill,13.0,162.0,866.0,820.0,351.0,53.0,2.7,2.7,0.6,7.2,38.2,36.2,15.5,2.3,--,--
Pennant Hills,11.0,116.0,335.0,892.0,1037.0,22.0,3.3,2.8,0.5,4.8,13.9,37.0,43.0,0.9,--,--
Penrith,70.0,278.0,1611.0,2195.0,646.0,135.0,2.7,2.2,1.4,5.6,32.6,44.5,13.1,2.7,--,--
Penrose (Wollongong - NSW),4.0,58.0,61.0,293.0,115.0,17.0,2.9,2.5,0.7,10.6,11.1,53.5,21.0,3.1,--,--
Penshurst (NSW),4.0,182.0,1956.0,1390.0,754.0,60.0,2.7,2.6,0.1,4.2,45.0,32.0,17.3,1.4,--,--
Petersham,78.0,600.0,1048.0,848.0,373.0,52.0,2.3,2.2,2.6,20.0,34.9,28.3,12.4,1.7,--,--
Phillip Bay,0.0,6.0,24.0,81.0,97.0,3.0,3.5,3.0,0.0,2.8,11.4,38.4,46.0,1.4,--,--
Picnic Point,3.0,11.0,129.0,920.0,821.0,15.0,3.5,2.9,0.2,0.6,6.8,48.4,43.2,0.8,--,--
Plumpton (NSW),0.0,16.0,80.0,1233.0,897.0,20.0,3.5,3.5,0.0,0.7,3.6,54.9,39.9,0.9,--,--
Point Clare,21.0,67.0,230.0,611.0,470.0,15.0,3.1,2.5,1.5,4.7,16.3,43.2,33.2,1.1,--,--
Point Frederick,25.0,44.0,284.0,258.0,164.0,22.0,2.7,2.0,3.1,5.5,35.6,32.4,20.6,2.8,--,--
Point Piper,0.0,42.0,145.0,170.0,114.0,7.0,2.9,2.3,0.0,8.8,30.3,35.6,23.8,1.5,--,--
Port Kembla,9.0,106.0,525.0,859.0,349.0,53.0,2.8,2.4,0.5,5.6,27.6,45.2,18.4,2.8,--,--
Potts Point,505.0,1557.0,1007.0,177.0,54.0,45.0,1.3,1.5,15.1,46.5,30.1,5.3,1.6,1.3,--,--
Prairiewood,0.0,22.0,12.0,432.0,431.0,12.0,3.6,3.3,0.0,2.4,1.3,47.5,47.4,1.3,--,--
Prestons,4.0,28.0,126.0,898.0,2800.0,49.0,3.8,3.6,0.1,0.7,3.2,23.0,71.7,1.3,--,--
Primbee,0.0,37.0,118.0,304.0,133.0,22.0,3.0,2.4,0.0,6.0,19.2,49.5,21.7,3.6,--,--
Prospect (NSW),3.0,10.0,71.0,786.0,566.0,16.0,3.4,3.1,0.2,0.7,4.9,54.1,39.0,1.1,--,--
Punchbowl (Canterbury - NSW),30.0,171.0,1583.0,2155.0,1127.0,166.0,2.9,3.3,0.6,3.3,30.3,41.2,21.5,3.2,--,--
Putney,4.0,14.0,180.0,505.0,616.0,13.0,3.4,3.0,0.3,1.1,13.5,37.9,46.2,1.0,--,--
Pymble,3.0,68.0,371.0,890.0,1994.0,43.0,3.7,3.0,0.1,2.0,11.0,26.4,59.2,1.3,--,--
Pyrmont,52.0,1215.0,2558.0,1056.0,67.0,70.0,2.0,2.1,1.0,24.2,51.0,21.0,1.3,1.4,--,--
Quakers Hill,18.0,51.0,245.0,4208.0,3463.0,101.0,3.5,3.2,0.2,0.6,3.0,52.0,42.8,1.2,--,--
Queens Park (NSW),13.0,82.0,301.0,390.0,279.0,17.0,2.8,2.5,1.2,7.6,27.8,36.0,25.8,1.6,--,--
Raby,5.0,5.0,81.0,1015.0,734.0,31.0,3.4,3.1,0.3,0.3,4.3,54.2,39.2,1.7,--,--
Ramsgate,0.0,3.0,67.0,131.0,91.0,8.0,3.1,2.8,0.0,1.0,22.3,43.7,30.3,2.7,--,--
Ramsgate Beach,0.0,31.0,337.0,249.0,57.0,21.0,2.6,2.0,0.0,4.5,48.5,35.8,8.2,3.0,--,--
Randwick,40.0,1483.0,5606.0,2427.0,1267.0,206.0,2.4,2.3,0.4,13.4,50.8,22.0,11.5,1.9,--,--
Rankin Park,0.0,4.0,20.0,555.0,296.0,8.0,3.4,2.7,0.0,0.5,2.3,62.9,33.5,0.9,--,--
Redfern,125.0,1195.0,2436.0,1094.0,359.0,159.0,2.1,1.9,2.3,22.3,45.4,20.4,6.7,3.0,--,--
Redhead,5.0,68.0,339.0,457.0,439.0,31.0,3.0,2.5,0.4,5.1,25.3,34.1,32.8,2.3,--,--
Regents Park (NSW),12.0,62.0,492.0,543.0,273.0,44.0,2.8,3.0,0.8,4.3,34.5,38.1,19.1,3.1,--,--
Regentville,0.0,3.0,16.0,98.0,80.0,3.0,3.4,2.9,0.0,1.5,8.0,49.0,40.0,1.5,--,--
Revesby,15.0,173.0,733.0,2155.0,1188.0,101.0,3.1,2.8,0.3,4.0,16.8,49.4,27.2,2.3,--,--
