,None (includes bedsitters),1 bedroom,2 bedrooms,3 bedrooms,4 or more bedrooms,Number of bedrooms not stated,Average number of bedrooms per dwelling,Average number of people per household,None (includes bedsitters) (%),1 bedroom (%),2 bedrooms (%),3 bedrooms (%),4 or more bedrooms (%),Number of bedrooms not stated (%),Average number of bedrooms per dwelling (%),Average number of people per household (%)
The Entrance North,5.0,70.0,147.0,201.0,117.0,22.0,2.7,2.3,0.9,12.5,26.2,35.8,20.8,3.9,--,--
The Hill,0.0,101.0,325.0,228.0,122.0,16.0,2.5,2.0,0.0,12.8,41.0,28.8,15.4,2.0,--,--
The Junction,11.0,44.0,252.0,228.0,112.0,10.0,2.6,2.1,1.7,6.7,38.4,34.7,17.0,1.5,--,--
Thirroul,0.0,61.0,453.0,873.0,600.0,27.0,3.1,2.6,0.0,3.0,22.5,43.3,29.8,1.3,--,--
Thornleigh,3.0,86.0,228.0,1264.0,1075.0,22.0,3.3,2.9,0.1,3.2,8.5,47.2,40.1,0.8,--,--
Tighes Hill,0.0,36.0,221.0,318.0,68.0,15.0,2.6,2.2,0.0,5.5,33.6,48.3,10.3,2.3,--,--
Tingira Heights,3.0,3.0,30.0,352.0,273.0,6.0,3.4,2.9,0.4,0.4,4.5,52.8,40.9,0.9,--,--
Toongabbie (NSW),13.0,82.0,807.0,2284.0,1101.0,72.0,3.1,2.9,0.3,1.9,18.5,52.4,25.3,1.7,--,--
Toowoon Bay,0.0,12.0,87.0,96.0,50.0,12.0,2.8,1.9,0.0,4.7,33.9,37.4,19.5,4.7,--,--
Toronto,3.0,133.0,445.0,1026.0,470.0,47.0,2.9,2.3,0.1,6.3,21.0,48.3,22.1,2.2,--,--
Toukley,8.0,97.0,580.0,768.0,267.0,73.0,2.7,2.1,0.4,5.4,32.3,42.8,14.9,4.1,--,--
Towradgi,6.0,119.0,293.0,509.0,258.0,20.0,2.8,2.4,0.5,9.9,24.3,42.2,21.4,1.7,--,--
Tregear,3.0,73.0,56.0,671.0,368.0,52.0,3.2,3.0,0.2,6.0,4.6,54.9,30.1,4.3,--,--
Tuggerah,0.0,3.0,50.0,212.0,94.0,4.0,3.2,2.7,0.0,0.8,13.8,58.4,25.9,1.1,--,--
Tuggerawong,4.0,51.0,76.0,177.0,138.0,12.0,3.0,2.5,0.9,11.1,16.6,38.6,30.1,2.6,--,--
Tumbi Umbi,3.0,18.0,268.0,578.0,843.0,24.0,3.5,2.7,0.2,1.0,15.5,33.3,48.6,1.4,--,--
Turramurra,0.0,141.0,450.0,1179.0,1939.0,40.0,3.5,2.8,0.0,3.8,12.0,31.4,51.7,1.1,--,--
Turrella,3.0,20.0,61.0,222.0,146.0,12.0,3.2,3.4,0.6,4.3,13.1,47.8,31.5,2.6,--,--
Ultimo,170.0,1029.0,1001.0,259.0,75.0,50.0,1.6,2.0,6.6,39.8,38.7,10.0,2.9,1.9,--,--
Umina Beach,37.0,279.0,1357.0,2949.0,1525.0,139.0,3.0,2.4,0.6,4.4,21.6,46.9,24.3,2.2,--,--
Unanderra,5.0,91.0,511.0,1174.0,354.0,51.0,2.9,2.4,0.2,4.2,23.4,53.7,16.2,2.3,--,--
Valentine (NSW),0.0,13.0,155.0,806.0,981.0,14.0,3.5,2.7,0.0,0.7,7.9,40.9,49.8,0.7,--,--
Valley Heights,0.0,8.0,55.0,193.0,227.0,4.0,3.4,2.7,0.0,1.6,11.3,39.6,46.6,0.8,--,--
Vaucluse,3.0,124.0,879.0,795.0,1201.0,54.0,3.2,2.8,0.1,4.1,28.8,26.0,39.3,1.8,--,--
Villawood,40.0,147.0,449.0,777.0,250.0,81.0,2.7,2.7,2.3,8.4,25.7,44.6,14.3,4.6,--,--
Voyager Point,0.0,0.0,3.0,42.0,319.0,3.0,4.1,3.7,0.0,0.0,0.8,11.4,86.9,0.8,--,--
Wahroonga,4.0,110.0,662.0,1742.0,2768.0,49.0,3.6,2.9,0.1,2.1,12.4,32.7,51.9,0.9,--,--
Waitara,10.0,492.0,1133.0,445.0,137.0,30.0,2.2,2.3,0.4,21.9,50.4,19.8,6.1,1.3,--,--
Wakeley,0.0,6.0,41.0,778.0,506.0,20.0,3.5,3.4,0.0,0.4,3.0,57.6,37.5,1.5,--,--
Wallsend,9.0,195.0,1303.0,2354.0,858.0,95.0,2.9,2.4,0.2,4.1,27.1,48.9,17.8,2.0,--,--
Wamberal,3.0,38.0,228.0,849.0,997.0,24.0,3.5,2.8,0.1,1.8,10.7,39.7,46.6,1.1,--,--
Warabrook,0.0,30.0,119.0,306.0,273.0,12.0,3.2,2.5,0.0,4.1,16.1,41.4,36.9,1.6,--,--
Waratah (NSW),13.0,243.0,605.0,707.0,194.0,40.0,2.5,2.2,0.7,13.5,33.6,39.2,10.8,2.2,--,--
Waratah West,3.0,23.0,243.0,537.0,204.0,22.0,3.1,2.5,0.3,2.2,23.5,52.0,19.8,2.1,--,--
Wareemba,3.0,9.0,249.0,202.0,97.0,8.0,2.7,2.5,0.5,1.6,43.8,35.6,17.1,1.4,--,--
Warilla,18.0,135.0,504.0,1305.0,478.0,66.0,2.9,2.4,0.7,5.4,20.1,52.1,19.1,2.6,--,--
Warners Bay,3.0,80.0,728.0,1403.0,726.0,55.0,3.0,2.4,0.1,2.7,24.3,46.8,24.2,1.8,--,--
Warrawee,4.0,25.0,155.0,246.0,484.0,3.0,3.6,3.0,0.4,2.7,16.9,26.8,52.8,0.3,--,--
Warrawong,9.0,158.0,446.0,923.0,281.0,49.0,2.8,2.4,0.5,8.5,23.9,49.5,15.1,2.6,--,--
Warriewood,4.0,38.0,281.0,805.0,811.0,35.0,3.3,2.9,0.2,1.9,14.2,40.8,41.1,1.8,--,--
Warrimoo,3.0,10.0,119.0,352.0,312.0,12.0,3.3,2.8,0.4,1.2,14.7,43.6,38.6,1.5,--,--
Warwick Farm,53.0,185.0,832.0,438.0,90.0,68.0,2.2,2.4,3.2,11.1,49.9,26.3,5.4,4.1,--,--
Watanobbi,6.0,36.0,66.0,741.0,434.0,20.0,3.3,2.7,0.5,2.8,5.1,56.9,33.3,1.5,--,--
Waterloo (NSW),222.0,1113.0,2550.0,661.0,86.0,185.0,1.9,1.9,4.6,23.1,52.9,13.7,1.8,3.8,--,--
Watsons Bay,0.0,20.0,86.0,79.0,70.0,8.0,2.9,2.4,0.0,7.6,32.7,30.0,26.6,3.0,--,--
Wattle Grove (NSW),6.0,3.0,23.0,1328.0,1164.0,19.0,3.5,3.2,0.2,0.1,0.9,52.2,45.8,0.7,--,--
Waverley (NSW),30.0,296.0,670.0,319.0,215.0,33.0,2.3,2.2,1.9,18.9,42.9,20.4,13.8,2.1,--,--
Waverton,5.0,133.0,622.0,401.0,102.0,10.0,2.4,2.0,0.4,10.4,48.9,31.5,8.0,0.8,--,--
Wentworthville,14.0,148.0,1361.0,1330.0,700.0,80.0,2.8,2.8,0.4,4.1,37.5,36.6,19.3,2.2,--,--
Werrington,3.0,40.0,387.0,792.0,189.0,30.0,2.8,2.5,0.2,2.8,26.9,55.0,13.1,2.1,--,--
Werrington County,3.0,5.0,12.0,695.0,476.0,16.0,3.5,2.9,0.2,0.4,1.0,57.6,39.4,1.3,--,--
Werrington Downs,3.0,3.0,9.0,579.0,443.0,9.0,3.5,3.0,0.3,0.3,0.9,55.4,42.4,0.9,--,--
West Gosford,3.0,29.0,329.0,185.0,48.0,27.0,2.4,1.9,0.5,4.7,53.0,29.8,7.7,4.3,--,--
West Hoxton,3.0,13.0,25.0,364.0,1965.0,33.0,4.0,3.7,0.1,0.5,1.0,15.1,81.8,1.4,--,--
West Pennant Hills,8.0,103.0,182.0,1089.0,3605.0,32.0,3.9,3.1,0.2,2.1,3.6,21.7,71.8,0.6,--,--
West Pymble,0.0,28.0,93.0,650.0,863.0,13.0,3.6,3.1,0.0,1.7,5.6,39.5,52.4,0.8,--,--
West Ryde,22.0,581.0,1721.0,1360.0,750.0,73.0,2.6,2.5,0.5,12.9,38.2,30.2,16.6,1.6,--,--
West Wallsend,0.0,20.0,103.0,381.0,109.0,14.0,3.0,2.7,0.0,3.2,16.4,60.8,17.4,2.2,--,--
West Wollongong,18.0,91.0,396.0,846.0,336.0,27.0,2.9,2.5,1.1,5.3,23.1,49.4,19.6,1.6,--,--
Westleigh,0.0,5.0,25.0,454.0,964.0,12.0,3.8,3.0,0.0,0.3,1.7,31.1,66.0,0.8,--,--
Westmead,33.0,313.0,3031.0,1053.0,386.0,88.0,2.3,2.6,0.7,6.4,61.8,21.5,7.9,1.8,--,--
Wetherill Park,3.0,16.0,62.0,875.0,834.0,28.0,3.5,3.2,0.2,0.9,3.4,48.1,45.9,1.5,--,--
Whalan,39.0,64.0,88.0,1205.0,448.0,68.0,3.1,2.9,2.0,3.3,4.6,63.0,23.4,3.6,--,--
Whitebridge,0.0,13.0,143.0,420.0,322.0,18.0,3.2,2.7,0.0,1.4,15.6,45.9,35.2,2.0,--,--
Wickham (NSW),10.0,42.0,150.0,200.0,21.0,8.0,2.5,2.1,2.3,9.7,34.8,46.4,4.9,1.9,--,--
Wiley Park,14.0,83.0,1875.0,620.0,287.0,114.0,2.4,3.0,0.5,2.8,62.6,20.7,9.6,3.8,--,--
Willmot,3.0,41.0,20.0,511.0,169.0,29.0,3.1,3.0,0.4,5.3,2.6,66.1,21.9,3.8,--,--
Willoughby (NSW),29.0,127.0,619.0,778.0,517.0,32.0,2.8,2.6,1.4,6.0,29.4,37.0,24.6,1.5,--,--
Willoughby East,0.0,9.0,75.0,221.0,242.0,0.0,3.4,3.2,0.0,1.6,13.7,40.4,44.2,0.0,--,--
Windale,17.0,130.0,278.0,690.0,78.0,39.0,2.6,2.3,1.4,10.6,22.6,56.0,6.3,3.2,--,--
Windang,10.0,172.0,399.0,384.0,165.0,36.0,2.5,2.1,0.9,14.8,34.2,32.9,14.2,3.1,--,--
Winmalee,4.0,14.0,98.0,1008.0,1101.0,17.0,3.6,2.9,0.2,0.6,4.4,45.0,49.1,0.8,--,--
Winston Hills,6.0,111.0,172.0,1903.0,1532.0,46.0,3.4,2.8,0.2,2.9,4.6,50.5,40.6,1.2,--,--
Wollongong,50.0,740.0,3656.0,2244.0,500.0,181.0,2.4,2.0,0.7,10.0,49.6,30.4,6.8,2.5,--,--
Wollstonecraft,21.0,606.0,1780.0,1093.0,208.0,40.0,2.3,2.0,0.6,16.2,47.5,29.2,5.5,1.1,--,--
Wombarra,3.0,13.0,74.0,128.0,95.0,3.0,3.0,2.6,0.9,4.1,23.4,40.5,30.1,0.9,--,--
Woodbine (NSW),3.0,6.0,20.0,485.0,327.0,5.0,3.4,3.0,0.4,0.7,2.4,57.3,38.7,0.6,--,--
Woodcroft (NSW),4.0,32.0,11.0,568.0,1176.0,27.0,3.7,3.5,0.2,1.8,0.6,31.2,64.7,1.5,--,--
Woodpark,0.0,4.0,21.0,276.0,123.0,0.0,3.4,3.1,0.0,0.9,5.0,65.1,29.0,0.0,--,--
Woodrising,0.0,0.0,14.0,255.0,123.0,4.0,3.3,2.9,0.0,0.0,3.5,64.4,31.1,1.0,--,--
Woollahra,44.0,442.0,1117.0,871.0,512.0,97.0,2.5,2.1,1.4,14.3,36.2,28.3,16.6,3.1,--,--
Woolloomooloo,140.0,514.0,651.0,290.0,67.0,39.0,1.8,1.7,8.2,30.2,38.3,17.0,3.9,2.3,--,--
Woolooware,10.0,122.0,296.0,587.0,467.0,26.0,3.0,2.7,0.7,8.1,19.6,38.9,31.0,1.7,--,--
Woolwich,0.0,32.0,51.0,69.0,120.0,9.0,3.1,2.5,0.0,11.4,18.1,24.6,42.7,3.2,--,--
Woonona,5.0,152.0,998.0,1899.0,1168.0,87.0,3.0,2.5,0.1,3.5,23.2,44.1,27.1,2.0,--,--
Woronora,7.0,30.0,71.0,268.0,335.0,5.0,3.4,3.0,1.0,4.2,9.9,37.4,46.8,0.7,--,--
Woronora Heights,3.0,0.0,7.0,143.0,684.0,4.0,4.0,3.5,0.4,0.0,0.8,17.0,81.3,0.5,--,--
Woy Woy,11.0,290.0,1214.0,2069.0,628.0,126.0,2.8,2.2,0.3,6.7,28.0,47.7,14.5,2.9,--,--
Woy Woy Bay,0.0,6.0,24.0,71.0,51.0,3.0,3.2,2.6,0.0,3.9,15.5,45.8,32.9,1.9,--,--
Wyoming,19.0,90.0,690.0,1839.0,1016.0,51.0,3.1,2.5,0.5,2.4,18.6,49.6,27.4,1.4,--,--
Wyong,15.0,132.0,441.0,657.0,262.0,60.0,2.7,2.2,1.0,8.4,28.1,41.9,16.7,3.8,--,--
Wyongah,0.0,8.0,100.0,321.0,235.0,11.0,3.3,2.8,0.0,1.2,14.8,47.6,34.8,1.6,--,--
Yagoona,41.0,199.0,1142.0,2174.0,1175.0,122.0,3.0,3.1,0.8,4.1,23.5,44.8,24.2,2.5,--,--
Yarrawarrah,0.0,18.0,20.0,388.0,520.0,3.0,3.6,3.1,0.0,1.9,2.1,40.9,54.8,0.3,--,--
Yattalunga (NSW),0.0,3.0,25.0,84.0,66.0,8.0,3.3,2.8,0.0,1.6,13.4,45.2,35.5,4.3,--,--
Yennora,4.0,83.0,104.0,150.0,87.0,18.0,2.6,2.8,0.9,18.6,23.3,33.6,19.5,4.0,--,--
Yowie Bay,0.0,6.0,124.0,388.0,523.0,19.0,3.5,2.9,0.0,0.6,11.7,36.6,49.3,1.8,--,--
Zetland,15.0,346.0,961.0,265.0,51.0,13.0,2.0,2.1,0.9,21.0,58.2,16.1,3.1,0.8,--,--
