,None,1 motor vehicle,2 motor vehicles,3 or more vehicles,Number of motor vehicles not stated,None (%),1 motor vehicle (%),2 motor vehicles (%),3 or more vehicles (%),Number of motor vehicles not stated (%),SSC_CODE
Brayton,0.0,17.0,21.0,20.0,3.0,0.0,27.9,34.4,32.8,4.9,10554
Greenwich Park,0.0,8.0,13.0,14.0,5.0,0.0,20.0,32.5,35.0,12.5,11771
Tallong,3.0,64.0,126.0,87.0,8.0,1.0,22.2,43.8,30.2,2.8,13733
Carrick (NSW),0.0,10.0,15.0,14.0,0.0,0.0,25.6,38.5,35.9,0.0,10828
Brisbane Grove,3.0,9.0,13.0,20.0,0.0,6.7,20.0,28.9,44.4,0.0,10577
Binda,0.0,23.0,38.0,28.0,0.0,0.0,25.8,42.7,31.5,0.0,10363
Towrang,0.0,8.0,17.0,24.0,0.0,0.0,16.3,34.7,49.0,0.0,13930
Mummel,0.0,7.0,18.0,12.0,0.0,0.0,18.9,48.6,32.4,0.0,12835
Baw Baw (NSW),0.0,12.0,29.0,40.0,6.0,0.0,13.8,33.3,46.0,6.9,10234
Boxers Creek,0.0,14.0,25.0,35.0,3.0,0.0,18.2,32.5,45.5,3.9,10541
Gundary,0.0,15.0,33.0,34.0,0.0,0.0,18.3,40.2,41.5,0.0,11806
Yass,119.0,750.0,876.0,517.0,88.0,5.1,31.9,37.3,22.0,3.7,14493
Bookham,0.0,7.0,23.0,21.0,0.0,0.0,13.7,45.1,41.2,0.0,10478
Binalong,4.0,71.0,80.0,66.0,0.0,1.8,32.1,36.2,29.9,0.0,10362
Jugiong,3.0,18.0,35.0,30.0,5.0,3.3,19.8,38.5,33.0,5.5,12044
Galong,3.0,29.0,29.0,16.0,10.0,3.4,33.3,33.3,18.4,11.5,11580
Manton (NSW),0.0,10.0,47.0,33.0,5.0,0.0,10.5,49.5,34.7,5.3,12481
Yass River,0.0,17.0,48.0,48.0,4.0,0.0,14.5,41.0,41.0,3.4,14494
Rye Park,0.0,11.0,27.0,44.0,3.0,0.0,12.9,31.8,51.8,3.5,13455
Dalton,0.0,20.0,35.0,19.0,6.0,0.0,25.0,43.8,23.8,7.5,11194
Gundaroo,4.0,65.0,164.0,139.0,7.0,1.1,17.2,43.3,36.7,1.8,11805
Bowning,4.0,50.0,84.0,65.0,7.0,1.9,23.8,40.0,31.0,3.3,10535
Bellmount Forest,0.0,10.0,14.0,22.0,0.0,0.0,21.7,30.4,47.8,0.0,10274
Gunning,3.0,81.0,106.0,56.0,9.0,1.2,31.8,41.6,22.0,3.5,11813
Lade Vale,0.0,6.0,21.0,23.0,0.0,0.0,12.0,42.0,46.0,0.0,12232
Good Hope,0.0,7.0,22.0,17.0,7.0,0.0,13.2,41.5,32.1,13.2,11700
Wallaroo (NSW),0.0,28.0,84.0,101.0,8.0,0.0,12.7,38.0,45.7,3.6,14112
Murrumbateman,4.0,113.0,465.0,398.0,20.0,0.4,11.3,46.5,39.8,2.0,12860
Springrange,0.0,9.0,35.0,46.0,0.0,0.0,10.0,38.9,51.1,0.0,13625
Jeir,0.0,5.0,31.0,42.0,3.0,0.0,6.2,38.3,51.9,3.7,12004
Marchmont,0.0,12.0,37.0,24.0,0.0,0.0,16.4,50.7,32.9,0.0,12487
Nanima,0.0,7.0,30.0,19.0,0.0,0.0,12.5,53.6,33.9,0.0,12891
Young,260.0,1374.0,1336.0,670.0,188.0,6.8,35.9,34.9,17.5,4.9,14518
Kingsvale,0.0,12.0,27.0,22.0,0.0,0.0,19.7,44.3,36.1,0.0,12161
Burrangong,0.0,29.0,29.0,29.0,5.0,0.0,31.5,31.5,31.5,5.4,10706
Wyangala,4.0,26.0,31.0,23.0,7.0,4.4,28.6,34.1,25.3,7.7,14434
Wombat,3.0,20.0,27.0,30.0,5.0,3.5,23.5,31.8,35.3,5.9,14364
Cunningar,0.0,9.0,20.0,18.0,5.0,0.0,17.3,38.5,34.6,9.6,11164
Harden,57.0,318.0,288.0,114.0,59.0,6.8,38.0,34.4,13.6,7.1,11851
Boorowa,34.0,222.0,234.0,146.0,32.0,5.1,33.2,35.0,21.9,4.8,10503
Murrumburrah,0.0,9.0,18.0,18.0,3.0,0.0,18.8,37.5,37.5,6.2,12863
Frogmore,0.0,19.0,23.0,15.0,3.0,0.0,31.7,38.3,25.0,5.0,11571
Maimuru,0.0,10.0,19.0,17.0,5.0,0.0,19.6,37.3,33.3,9.8,12444
Bendick Murrell,0.0,19.0,19.0,19.0,3.0,0.0,31.7,31.7,31.7,5.0,10290
Koorawatha,4.0,60.0,54.0,42.0,10.0,2.4,35.3,31.8,24.7,5.9,12192
