,Italian,Australian,English,Assyrian,Croatian,Irish,Scottish,Indian,Filipino,German,Samoan,Chinese,Greek,Macedonian,Lebanese,Vietnamese,Turkish,Jewish,Armenian,Khmer (Cambodian,Serbian,Korean,Maltese,Tongan,Hungarian,South African,Russian,Bangladeshi,Cook Islander,Iraqi,Thai,Indonesian,Nepalese,Australian Aboriginal,Portuguese,Finnish,Pakistani,Syrian,Dutch,French,Italian (%),Australian (%),English (%),Assyrian (%),Croatian (%),Irish (%),Scottish (%),Indian (%),Filipino (%),German (%),Samoan (%),Chinese (%),Greek (%),Macedonian (%),Lebanese (%),Vietnamese (%),Turkish (%),Jewish (%),Armenian (%),Khmer (Cambodian (%),Serbian (%),Korean (%),Maltese (%),Tongan (%),Hungarian (%),South African (%),Russian (%),Bangladeshi (%),Cook Islander (%),Iraqi (%),Thai (%),Indonesian (%),Nepalese (%),Australian Aboriginal (%),Portuguese (%),Finnish (%),Pakistani (%),Syrian (%),Dutch (%),French (%)
Bronte,276,"1,857","2,330",,,"1,067",646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,20.1,25.2,,,11.5,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brookvale,247,659,765,,,219,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,19.7,22.8,,,6.5,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budgewoi,,"1,517","1,338",,,394,314,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.1,31.0,,,9.1,7.3,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buff Point,,"1,485","1,468",,,332,256,,,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.6,34.2,,,7.7,6.0,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulli,,"2,380","2,206",,,732,719,,,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.8,28.5,,,9.5,9.3,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burwood,664,905,"1,106",,,,,636,,,,"5,071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,6.5,7.9,,,,,4.6,,,,36.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burwood Heights,142,162,107,,,,,,,,,78,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.8,16.9,11.2,,,,,,,,,8.1,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Busby,,899,786,,,180,,,,,,,,,493,272,,,,,,,,,,,,,,,,,,,,,,,,,,17.9,15.6,,,3.6,,,,,,,,,9.8,5.4,,,,,,,,,,,,,,,,,,,,,,,,
Cabarita,232,365,464,,,184,,,,,,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5,14.9,18.9,,,7.5,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabramatta,,907,"1,093",,,,,,,,,"6,157",,,,"6,327",,,,"1,803",,,,,,,,,,,,,,,,,,,,,,4.0,4.8,,,,,,,,,27.0,,,,27.7,,,,7.9,,,,,,,,,,,,,,,,,,,,
Cabramatta West,,547,504,,,,,,,,,"1,250",,,,"2,237",,,,461,,,,,,,,,,,,,,,,,,,,,,7.3,6.7,,,,,,,,,16.6,,,,29.7,,,,6.1,,,,,,,,,,,,,,,,,,,,
Cambridge Gardens,,967,752,,,218,180,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.4,27.6,,,8.0,6.6,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambridge Park,,"2,690","2,306",,,597,449,,,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.1,28.4,,,7.4,5.5,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camden,,"1,333","1,301",,,387,346,,,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.9,30.1,,,9.0,8.0,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camden South,,"1,989","1,878",,,486,467,,,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,32.1,,,8.3,8.0,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cammeray,,"2,020","2,518",,,919,730,,,,,348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.6,26.9,,,9.8,7.8,,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campbelltown,,"3,514","3,297",,,972,745,,,318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,24.4,,,7.2,5.5,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camperdown,,"2,046","2,397",,,"1,063",754,,,,,708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.1,22.3,,,9.9,7.0,,,,,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campsie,,"1,264","1,268",,,,,,,,,"7,031",,,"1,735",,,,,,,"1,294",,,,,,,,,,,,,,,,,,,,5.5,5.5,,,,,,,,,30.4,,,7.5,,,,,,,5.6,,,,,,,,,,,,,,,,,,
Canada Bay,315,244,222,,,121,,,,,,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.1,15.6,14.2,,,7.7,,,,,,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canley Heights,,862,870,,,,,,,,,"2,273",,,,"3,175",,,,696,,,,,,,,,,,,,,,,,,,,,,7.3,7.4,,,,,,,,,19.3,,,,27.0,,,,5.9,,,,,,,,,,,,,,,,,,,,
Canley Vale,,542,676,,,,,,,,,"2,381",,,,"2,734",,,,506,,,,,,,,,,,,,,,,,,,,,,5.3,6.6,,,,,,,,,23.1,,,,26.5,,,,4.9,,,,,,,,,,,,,,,,,,,,
Canterbury,,783,743,,,,,,,,,813,727,,401,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8,10.2,,,,,,,,,11.2,10.0,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,
Canton Beach,,462,450,,,152,94,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.9,32.0,,,10.8,6.7,,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardiff,,"2,639","2,322",,,542,605,,,261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.2,30.1,,,7.0,7.8,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardiff Heights,,584,500,,,155,138,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.2,28.4,,,8.8,7.8,,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardiff South,,"1,421","1,226",,,258,256,,,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.5,31.5,,,6.6,6.6,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caringbah,373,"3,885","4,172",,,"1,274",915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,27.0,29.0,,,8.8,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlingford,,"3,956","4,080",,,"1,266",,,,,,"6,785",,,,,,,,,,"1,172",,,,,,,,,,,,,,,,,,,,15.4,15.9,,,4.9,,,,,,26.4,,,,,,,,,,4.6,,,,,,,,,,,,,,,,,,
Carlton,,"1,345","1,265",,,,,,,,,"2,006",924,647,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.7,11.0,,,,,,,,,17.5,8.1,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Carramar,,371,316,,,,,,,,,388,,,179,517,,,,,,,,,,,,,,,,,,,,,,,,,,9.6,8.2,,,,,,,,,10.1,,,4.7,13.4,,,,,,,,,,,,,,,,,,,,,,,,
Carrington,,793,743,,,227,190,,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.6,29.6,,,9.0,7.6,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carss Park,87,309,273,,,114,,,,,,,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,19.8,17.5,,,7.3,,,,,,,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cartwright,,503,452,,,105,,,,,,,,,157,198,,,,,,,,,,,,,,,,,,,,,,,,,,19.3,17.4,,,4.0,,,,,,,,,6.0,7.6,,,,,,,,,,,,,,,,,,,,,,,,
Castle Cove,,590,731,,,260,186,,,,,457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,22.3,,,7.9,5.7,,,,,13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Castle Hill,,"10,260","10,434",,,"3,267","2,610",,,,,"4,097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.3,21.6,,,6.8,5.4,,,,,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Castlecrag,,923,"1,019",,,416,287,,,,,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.8,25.1,,,10.3,7.1,,,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casula,"1,149","2,397","2,043",,,,,"1,027",,,,,,,936,,,,,,,,,,,,,,,,,,,,,,,,,,6.6,13.8,11.7,,,,,5.9,,,,,,,5.4,,,,,,,,,,,,,,,,,,,,,,,,,
Caves Beach,,"1,755","1,761",,,465,405,,,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.3,33.5,,,8.8,7.7,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cecil Hills,976,749,600,555,,,,,,,,453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.1,9.3,7.4,6.9,,,,,,,,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centennial Park,81,508,692,,,355,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,17.5,23.8,,,12.2,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlestown,,"5,242","5,114",,,"1,469","1,389",,,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.5,30.7,,,8.8,8.3,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charmhaven,54,"1,115",988,,,262,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,35.5,31.5,,,8.3,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chatswood,,"3,118","3,723",,,"1,258",,,,,,"6,645",,,,,,,,,,"1,816",,,,,,,,,,,,,,,,,,,,12.3,14.7,,,5.0,,,,,,26.3,,,,,,,,,,7.2,,,,,,,,,,,,,,,,,,
Chatswood West,,378,429,,,154,123,,,,,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,22.7,,,8.1,6.5,,,,,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheltenham,,635,729,,,232,221,,,,,274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,26.4,,,8.4,8.0,,,,,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cherrybrook,,"4,398","4,832",,,"1,421",,"1,352",,,,"3,023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.7,20.5,,,6.0,,5.7,,,,12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chester Hill,,"2,153","1,742",,,,,,,,,"1,292",,,"1,893","1,255",,,,,,,,,,,,,,,,,,,,,,,,,,15.6,12.6,,,,,,,,,9.4,,,13.7,9.1,,,,,,,,,,,,,,,,,,,,,,,,
Chifley,,"1,009",886,,,348,175,,,,,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.9,21.9,,,8.6,4.3,,,,,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chippendale,,639,850,,,389,268,,,,,775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.6,16.8,,,7.7,5.3,,,,,15.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chipping Norton,767,"2,220","1,734",,,,,,,,,,590,,510,,,,,,,,,,,,,,,,,,,,,,,,,,7.1,20.6,16.1,,,,,,,,,,5.5,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,
Chiswick,388,507,608,,,271,,,,,,211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,16.3,19.5,,,8.7,,,,,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chittaway Bay,,873,803,,,236,156,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.4,31.7,,,9.3,6.1,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chittaway Point,,413,398,,,93,90,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.8,32.5,,,7.6,7.4,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Church Point,,362,545,,,131,109,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,36.1,,,8.7,7.2,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claremont Meadows,,"1,439","1,257",,,334,285,,,,,,,,,,,,,,,,193,,,,,,,,,,,,,,,,,,,26.6,23.2,,,6.2,5.3,,,,,,,,,,,,,,,,3.6,,,,,,,,,,,,,,,,,
Claymore,,967,838,,,157,,,,,449,,,,,,,,,,,,,119,,,,,,,,,,,,,,,,,,23.1,20.0,,,3.8,,,,,10.7,,,,,,,,,,,,,2.8,,,,,,,,,,,,,,,,
Clontarf,,556,680,,,232,170,,,,,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.6,30.1,,,10.3,7.5,,,,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clovelly,,"1,456","1,644",,,791,409,,,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.9,25.9,,,12.4,6.4,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coal Point,,702,785,,,235,244,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.8,33.4,,,10.0,10.4,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coledale,,431,520,,,205,142,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.1,31.5,,,12.4,8.6,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collaroy,844,"5,280","5,733",,,"1,713","1,454",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,27.2,29.5,,,8.8,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colyton,,"2,843","2,279",,,620,437,,,,,,,,,,,,,,,,261,,,,,,,,,,,,,,,,,,,27.9,22.4,,,6.1,4.3,,,,,,,,,,,,,,,,2.6,,,,,,,,,,,,,,,,,
Como,,"1,603","1,604",,,536,346,,,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.7,30.8,,,10.3,6.6,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concord,"3,145","2,863","2,663",,,"1,340",,,,,,"1,298",,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.8,16.2,15.1,,,7.6,,,,,,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concord West,"1,020","1,369","1,091",,,597,,,,,,490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.7,18.4,14.7,,,8.0,,,,,,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Condell Park,,"1,431","1,100",,,,,,,,,,663,,"2,470","1,172",,,,,,,,,,,,,,,,,,,,,,,,,,12.1,9.3,,,,,,,,,,5.6,,20.8,9.9,,,,,,,,,,,,,,,,,,,,,,,,
Coniston,,572,518,,,168,158,,,,,,,308,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.2,19.2,,,6.2,5.9,,,,,,,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Connells Point,219,621,586,,,,,,,,,307,429,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6,18.8,17.8,,,,,,,,,9.3,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coogee,,"3,546","4,581",,,"2,551","1,267",,,587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.9,24.4,,,13.6,6.7,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cooks Hill,,"1,350","1,545",,,581,461,,,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.4,30.2,,,11.3,9.0,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copacabana,,"1,158","1,123",,,386,256,,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.3,30.4,,,10.4,6.9,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cordeaux Heights,430,"1,678","1,370",,,,383,,,,,,,472,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9,27.1,22.1,,,,6.2,,,,,,,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Corrimal,516,"2,341","2,254",,,646,632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2,28.1,27.0,,,7.7,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cranebrook,,"6,594","5,354",,,"1,464","1,142",,,,,,,,,,,,,,,,638,,,,,,,,,,,,,,,,,,,33.6,27.3,,,7.5,5.8,,,,,,,,,,,,,,,,3.3,,,,,,,,,,,,,,,,,
Cremorne,,"2,746","3,846",,,"1,350","1,092",,,,,666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.6,26.1,,,9.2,7.4,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cremorne Point,,496,817,,,298,272,,,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,29.6,,,10.8,9.9,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cringila,,305,304,,,,,,,,,,,422,242,,109,,,,,,,,,,,,,,,,,,,,,,,,,12.3,12.2,,,,,,,,,,,17.0,9.7,,4.4,,,,,,,,,,,,,,,,,,,,,,,
Cromer,474,"2,651","2,872",,,774,619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,27.7,30.0,,,8.1,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cronulla,,"6,083","6,797",,,"2,379","1,678",,,668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.5,29.6,,,10.3,7.3,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croudace Bay,,247,265,,,73,49,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.8,36.3,,,10.0,6.7,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crows Nest,,"1,060","1,301",,,492,365,,,,,263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.7,24.2,,,9.1,6.8,,,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croydon,"1,117","2,061","1,766",,,895,,,,,,"1,809",,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7,16.1,13.8,,,7.0,,,,,,14.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croydon Park,"1,860","1,738","1,512",,,,,,,,,"1,145",,,883,,,,,,,,,,,,,,,,,,,,,,,,,,14.3,13.4,11.6,,,,,,,,,8.8,,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,
Curl Curl,83,989,"1,023",,,297,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,29.5,30.5,,,8.9,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Currans Hill,212,"2,108","1,764",,,468,379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,31.5,26.4,,,7.0,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daceyville,,330,272,,,148,61,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.5,18.5,,,10.1,4.2,,,,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daleys Point,,205,267,,,91,58,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.5,34.5,,,11.7,7.5,,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dapto,,"4,435","4,341",,,980,984,,,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.4,30.7,,,6.9,7.0,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darling Point,,838,"1,296",,,465,405,,,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.1,24.9,,,8.9,7.8,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darlinghurst,,"1,833","3,082",,,"1,319",939,,,414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.9,23.4,,,10.0,7.1,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darlington,,555,666,,,324,223,,,,,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.1,21.7,,,10.5,7.3,,,,,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davidson,,865,"1,055",,,242,231,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.8,32.7,,,7.5,7.1,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davistown,,"1,039","1,095",,,322,289,,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.1,33.9,,,10.0,8.9,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dawes Point,,116,183,,,65,45,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.8,26.6,,,9.4,6.5,,,,,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dean Park,,748,691,,,144,,,369,,,,,,,,,,,,,,,,134,,,,,,,,,,,,,,,,,19.7,18.2,,,3.8,,,9.7,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,
Dee Why,"1,034","4,965","6,248",,,"1,912","1,518",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,19.3,24.3,,,7.4,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denistone,,989,943,,,399,258,,,,,631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.3,20.3,,,8.6,5.5,,,,,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denistone East,,474,486,,,167,135,,,,,486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.2,18.7,,,6.4,5.2,,,,,18.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denistone West,61,254,226,,,93,,,,,,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,21.3,18.9,,,7.8,,,,,,12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dharruk,,862,629,,,149,108,,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.6,18.0,,,4.3,3.1,,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dolans Bay,38,229,203,,,82,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,30.0,26.6,,,10.7,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dolls Point,,321,415,,,163,115,,,,,,233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5,18.7,,,7.3,5.2,,,,,,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doonside,,"3,198","2,547",,,633,,856,"1,284",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,16.0,,,4.0,,5.4,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Double Bay,,"1,107","1,470",,,555,402,,,,,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.8,23.6,,,8.9,6.5,,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dover Heights,,801,675,,,,,,,,,,,,,,,499,,,,,,,,460,216,,,,,,,,,,,,,,,16.0,13.5,,,,,,,,,,,,,,,10.0,,,,,,,,9.2,4.3,,,,,,,,,,,,,
Drummoyne,"1,074","2,958","3,274",,,"1,507","1,057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1,19.6,21.7,,,10.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dudley,,"1,016",983,,,283,293,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.2,32.1,,,9.2,9.6,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dulwich Hill,,"2,897","3,148",,,"1,438",912,,,,,,998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.1,18.6,,,8.5,5.4,,,,,,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dundas,,939,824,,,281,232,,,,,690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.4,17.0,,,5.8,4.8,,,,,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dundas Valley,,"1,126","1,056",,,328,,,,,,800,,,,,,,,,,343,,,,,,,,,,,,,,,,,,,,19.4,18.2,,,5.7,,,,,,13.8,,,,,,,,,,5.9,,,,,,,,,,,,,,,,,,
Dural,,"2,215","2,406",,,702,561,,,,,515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.1,25.1,,,7.3,5.9,,,,,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eagle Vale,,"1,747","1,529",,,408,325,,253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,21.0,,,5.6,4.5,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earlwood,"1,581","2,525","2,380",,,,,,,,,,"4,118",,"1,262",,,,,,,,,,,,,,,,,,,,,,,,,,7.8,12.5,11.8,,,,,,,,,,20.4,,6.3,,,,,,,,,,,,,,,,,,,,,,,,,
East Gosford,,"1,513","1,550",,,533,431,,,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.8,29.5,,,10.1,8.2,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Hills,,"1,140",988,,,333,227,,,,,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.7,23.1,,,7.8,5.3,,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Killara,,483,657,,,175,168,,,,,993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.8,18.7,,,5.0,4.8,,,,,28.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Lindfield,,"1,142","1,203",,,345,358,,,,,592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.5,24.8,,,7.1,7.4,,,,,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Ryde,,729,736,,,292,193,,,,,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.3,23.5,,,9.3,6.2,,,,,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Creek,,242,222,,,39,47,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.5,21.6,,,3.8,4.6,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastlakes,,840,731,,,,,,,,,669,551,,,,,,,,,,,,,,,398,,,,,,,,,,,,,,10.5,9.1,,,,,,,,,8.3,6.9,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,
Eastwood,,"2,631","2,575",,,994,,,,,,"5,847",,,,,,,,,,"1,348",,,,,,,,,,,,,,,,,,,,13.7,13.4,,,5.2,,,,,,30.5,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,
