,Italian,Australian,English,Assyrian,Croatian,Irish,Scottish,Indian,Filipino,German,Samoan,Chinese,Greek,Macedonian,Lebanese,Vietnamese,Turkish,Jewish,Armenian,Khmer (Cambodian,Serbian,Korean,Maltese,Tongan,Hungarian,South African,Russian,Bangladeshi,Cook Islander,Iraqi,Thai,Indonesian,Nepalese,Australian Aboriginal,Portuguese,Finnish,Pakistani,Syrian,Dutch,French,Italian (%),Australian (%),English (%),Assyrian (%),Croatian (%),Irish (%),Scottish (%),Indian (%),Filipino (%),German (%),Samoan (%),Chinese (%),Greek (%),Macedonian (%),Lebanese (%),Vietnamese (%),Turkish (%),Jewish (%),Armenian (%),Khmer (Cambodian (%),Serbian (%),Korean (%),Maltese (%),Tongan (%),Hungarian (%),South African (%),Russian (%),Bangladeshi (%),Cook Islander (%),Iraqi (%),Thai (%),Indonesian (%),Nepalese (%),Australian Aboriginal (%),Portuguese (%),Finnish (%),Pakistani (%),Syrian (%),Dutch (%),French (%)
Austinmer,,979,983,,,420,312,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.1,28.2,,,12.0,8.9,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avoca Beach,,"1,681","2,003",,,663,494,,,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.1,33.5,,,11.1,8.3,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balgowlah,254,"2,465","3,059",,,983,846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,23.8,29.6,,,9.5,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balgowlah Heights,,"1,060","1,505",,,384,388,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.8,33.7,,,8.6,8.7,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balgownie,746,"1,863","1,683",,,481,493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4,26.1,23.5,,,6.7,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balmain,365,"2,778","3,865",,,"1,635","1,127",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,20.6,28.6,,,12.1,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balmain East,,586,757,,,329,207,,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.2,28.7,,,12.5,7.9,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangor,223,"2,275","2,041",,,622,493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,30.7,27.6,,,8.4,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banksia,,501,395,,,,,,,,,307,,440,237,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,10.2,,,,,,,,,8.0,,11.4,6.1,,,,,,,,,,,,,,,,,,,,,,,,,
Bankstown,,"2,180","1,995",,,,,,,,,"3,282",,,"5,297","4,895",,,,,,,,,,,,,,,,,,,,,,,,,,6.5,5.9,,,,,,,,,9.7,,,15.7,14.5,,,,,,,,,,,,,,,,,,,,,,,,
