,Occupied private dwellings where at least one person was Aboriginal and/or Torres Strait Islander,Average number of people per household,Average number of people per bedroom,Median household income,Occupied private dwellings where at least one person was Aboriginal and/or Torres Strait Islander (%),Average number of people per household (%),Average number of people per bedroom (%),Median household income (%)
Point Frederick,,2.6,1.2,1343.0,,--,--,--
Port Kembla,,2.8,1.3,840.0,,--,--,--
Potts Point,,1.7,1.4,2036.0,,--,--,--
Prairiewood,,4.0,1.0,350.0,,--,--,--
Prestons,,3.7,1.2,1781.0,,--,--,--
Primbee,,2.3,1.0,824.0,,--,--,--
Prospect (NSW),,3.8,1.2,825.0,,--,--,--
Putney,,1.0,0.0,2750.0,,--,--,--
Pymble,,3.0,1.0,5000.0,,--,--,--
Pyrmont,,2.4,1.2,1208.0,,--,--,--
Quakers Hill,,3.5,1.2,1115.0,,--,--,--
Queens Park (NSW),,2.2,1.0,1750.0,,--,--,--
Raby,,3.7,1.1,1333.0,,--,--,--
Ramsgate Beach,,3.0,2.0,1125.0,,--,--,--
Randwick,,2.3,1.2,2024.0,,--,--,--
Rankin Park,,2.6,1.2,1375.0,,--,--,--
Redfern,,1.9,1.2,777.0,,--,--,--
Redhead,,2.7,1.1,1125.0,,--,--,--
Revesby,,2.9,1.2,1021.0,,--,--,--
Revesby Heights,,2.5,1.4,2250.0,,--,--,--
Rhodes,,3.0,1.0,3250.0,,--,--,--
Riverstone,,3.3,1.2,913.0,,--,--,--
Riverwood,,2.9,1.4,680.0,,--,--,--
Rockdale,,2.6,1.1,2299.0,,--,--,--
Rocky Point (NSW),,4.0,1.0,2437.0,,--,--,--
Rodd Point,,3.7,1.5,3083.0,,--,--,--
Rooty Hill,,3.6,1.1,1144.0,,--,--,--
Rose Bay (NSW),,3.0,1.0,816.0,,--,--,--
Rosebery (NSW),,2.3,1.1,1075.0,,--,--,--
Roselands,,3.4,1.3,1166.0,,--,--,--
Rosemeadow,,3.7,1.2,1066.0,,--,--,--
Roseville,,2.1,1.0,500.0,,--,--,--
Rouse Hill,,3.3,1.0,2083.0,,--,--,--
Rozelle,,3.2,1.4,1042.0,,--,--,--
Ruse,,3.3,1.1,1278.0,,--,--,--
Rushcutters Bay,,1.6,1.7,2583.0,,--,--,--
Russell Lea,,2.0,1.0,1066.0,,--,--,--
Russell Vale,,3.7,1.2,1312.0,,--,--,--
Rydalmere,,2.4,1.1,825.0,,--,--,--
Ryde,,2.8,1.2,1750.0,,--,--,--
Sadleir,,2.8,1.1,569.0,,--,--,--
San Remo (NSW),,3.5,1.2,941.0,,--,--,--
Sans Souci,,2.7,1.4,1031.0,,--,--,--
Saratoga,,3.8,1.3,875.0,,--,--,--
Schofields,,4.0,1.1,1375.0,,--,--,--
Seaforth (NSW),,3.3,1.0,700.0,,--,--,--
Sefton,,3.5,1.4,2333.0,,--,--,--
Seven Hills (NSW),,2.9,1.2,875.0,,--,--,--
Shalvey,,3.6,1.2,719.0,,--,--,--
Shell Cove,,2.6,1.0,1375.0,,--,--,--
Shellharbour,,3.1,1.2,1041.0,,--,--,--
Shelly Beach (NSW),,3.1,1.0,625.0,,--,--,--
Shortland,,3.2,1.1,850.0,,--,--,--
Silverwater (Lake Macquarie - NSW),,4.0,2.0,583.0,,--,--,--
Smithfield (NSW),,3.1,1.3,1281.0,,--,--,--
South Coogee,,3.1,1.3,1208.0,,--,--,--
South Granville,,2.2,1.2,566.0,,--,--,--
South Hurstville,,2.5,1.3,833.0,,--,--,--
South Penrith,,3.3,1.2,1445.0,,--,--,--
South Turramurra,,4.0,1.0,700.0,,--,--,--
South Wentworthville,,3.5,1.3,1125.0,,--,--,--
Speers Point,,2.7,1.2,933.0,,--,--,--
Springfield (Gosford - NSW),,3.3,1.2,916.0,,--,--,--
Springwood (NSW),,3.4,1.3,1424.0,,--,--,--
St Andrews (NSW),,3.8,1.2,1449.0,,--,--,--
St Clair (Penrith - NSW),,3.6,1.2,1595.0,,--,--,--
St Huberts Island,,4.3,1.4,774.0,,--,--,--
St Ives Chase,,2.5,1.0,2250.0,,--,--,--
St Johns Park,,2.4,1.4,841.0,,--,--,--
St Marys (NSW),,2.8,1.1,895.0,,--,--,--
St Peters (NSW),,2.4,1.2,2083.0,,--,--,--
Stanhope Gardens,,2.6,1.2,2083.0,,--,--,--
Stanmore (NSW),,2.4,1.1,1750.0,,--,--,--
Stockton (NSW),,3.0,1.3,1275.0,,--,--,--
Strathfield (NSW),,4.0,1.1,2083.0,,--,--,--
Strathfield South,,1.0,1.3,1224.0,,--,--,--
Summer Hill (Ashfield - NSW),,3.1,1.5,1406.0,,--,--,--
Surry Hills,,1.7,1.2,559.0,,--,--,--
Swansea (NSW),,2.6,1.1,785.0,,--,--,--
Swansea Heads,,3.5,1.0,1468.0,,--,--,--
Sydenham (NSW),,1.6,1.2,1156.0,,--,--,--
Sydney,,2.0,1.4,2643.0,,--,--,--
Sylvania,,3.2,1.3,1199.0,,--,--,--
Sylvania Waters,,2.9,1.0,2062.0,,--,--,--
Tacoma,,3.9,1.4,1166.0,,--,--,--
Tarrawanna,,2.6,1.0,724.0,,--,--,--
Tascott,,2.5,1.0,1600.0,,--,--,--
Tempe,,3.0,1.4,1750.0,,--,--,--
Teralba,,3.4,1.2,900.0,,--,--,--
Terrey Hills,,3.0,1.0,1375.0,,--,--,--
Terrigal,,3.2,1.2,1343.0,,--,--,--
The Entrance,,2.6,1.4,749.0,,--,--,--
The Entrance North,,2.5,1.3,1093.0,,--,--,--
The Hill,,2.1,1.0,2250.0,,--,--,--
The Junction,,2.8,1.4,549.0,,--,--,--
Thirroul,,2.4,1.2,1583.0,,--,--,--
Thornleigh,,4.6,1.2,1833.0,,--,--,--
Tighes Hill,,2.7,1.2,1125.0,,--,--,--
Tingira Heights,,3.2,1.1,2250.0,,--,--,--
Toongabbie (NSW),,3.3,1.2,933.0,,--,--,--
Toronto,,3.0,1.2,982.0,,--,--,--
Toukley,,2.9,1.2,914.0,,--,--,--
Towradgi,,2.7,1.2,1750.0,,--,--,--
Tregear,,3.7,1.2,718.0,,--,--,--
Tuggerawong,,2.8,1.2,574.0,,--,--,--
Tumbi Umbi,,3.4,1.2,1020.0,,--,--,--
Turramurra,,3.6,1.0,389.0,,--,--,--
Ultimo,,2.3,1.2,700.0,,--,--,--
Umina Beach,,3.1,1.2,985.0,,--,--,--
Unanderra,,2.7,1.2,628.0,,--,--,--
Valentine (NSW),,2.5,1.3,1750.0,,--,--,--
Vaucluse,,2.1,1.0,1125.0,,--,--,--
Villawood,,2.5,1.1,379.0,,--,--,--
Voyager Point,,0.0,1.0,2750.0,,--,--,--
Wahroonga,,3.6,1.2,2562.0,,--,--,--
Waitara,,2.7,1.2,524.0,,--,--,--
Wakeley,,3.0,1.0,700.0,,--,--,--
Wallsend,,3.1,1.3,1005.0,,--,--,--
Wamberal,,3.5,1.1,1202.0,,--,--,--
Warabrook,,3.4,1.2,766.0,,--,--,--
Waratah (NSW),,2.7,1.1,837.0,,--,--,--
Waratah West,,3.2,1.1,900.0,,--,--,--
Wareemba,,3.5,2.0,2750.0,,--,--,--
Warilla,,3.2,1.2,806.0,,--,--,--
Warners Bay,,3.3,1.2,1375.0,,--,--,--
Warrawong,,3.2,1.3,673.0,,--,--,--
Warriewood,,4.7,1.5,1375.0,,--,--,--
Warrimoo,,3.5,1.2,2083.0,,--,--,--
Warwick Farm,,2.3,1.1,579.0,,--,--,--
Watanobbi,,3.4,1.1,976.0,,--,--,--
Waterloo (NSW),,2.0,1.2,488.0,,--,--,--
Wattle Grove (NSW),,3.6,1.2,1718.0,,--,--,--
Waverley (NSW),,2.0,1.4,782.0,,--,--,--
Waverton,,2.5,1.0,5000.0,,--,--,--
Wentworthville,,2.9,1.3,1656.0,,--,--,--
Werrington,,3.4,1.3,919.0,,--,--,--
Werrington County,,3.3,1.1,1613.0,,--,--,--
Werrington Downs,,3.7,1.1,1416.0,,--,--,--
West Gosford,,2.5,1.3,900.0,,--,--,--
West Hoxton,,4.1,1.4,1963.0,,--,--,--
West Pennant Hills,,4.9,1.0,4125.0,,--,--,--
West Pymble,,4.5,1.5,2250.0,,--,--,--
West Ryde,,2.7,1.4,1291.0,,--,--,--
West Wallsend,,3.0,1.2,1125.0,,--,--,--
West Wollongong,,2.3,1.1,939.0,,--,--,--
Westmead,,2.4,1.2,1375.0,,--,--,--
Wetherill Park,,3.8,1.0,1458.0,,--,--,--
Whalan,,3.6,1.3,820.0,,--,--,--
Wickham (NSW),,5.0,1.0,1125.0,,--,--,--
Wiley Park,,2.9,1.4,391.0,,--,--,--
Willmot,,3.3,1.2,792.0,,--,--,--
Willoughby (NSW),,1.0,1.0,900.0,,--,--,--
Windale,,3.2,1.2,612.0,,--,--,--
Windang,,2.5,1.4,933.0,,--,--,--
Winmalee,,3.0,1.1,1687.0,,--,--,--
Winston Hills,,3.0,1.1,2143.0,,--,--,--
Wollongong,,2.3,1.2,1029.0,,--,--,--
Wollstonecraft,,2.9,1.4,2166.0,,--,--,--
Wombarra,,2.3,1.0,933.0,,--,--,--
Woodbine (NSW),,3.3,1.3,860.0,,--,--,--
Woodcroft (NSW),,3.6,1.2,533.0,,--,--,--
Woodpark,,4.3,1.0,574.0,,--,--,--
Woodrising,,3.6,1.2,1812.0,,--,--,--
Woollahra,,3.7,1.4,2250.0,,--,--,--
Woolloomooloo,,2.2,1.2,628.0,,--,--,--
Woolooware,,2.8,1.3,2166.0,,--,--,--
Woolwich,,2.0,2.0,1375.0,,--,--,--
Woonona,,2.9,1.1,949.0,,--,--,--
Woronora,,3.3,1.6,1066.0,,--,--,--
Woronora Heights,,4.5,1.0,1750.0,,--,--,--
Woy Woy,,3.0,1.2,764.0,,--,--,--
Woy Woy Bay,,3.4,1.0,0.0,,--,--,--
Wyoming,,3.4,1.1,941.0,,--,--,--
Wyong,,2.7,1.2,825.0,,--,--,--
Wyongah,,3.1,1.2,1125.0,,--,--,--
Yagoona,,2.9,1.1,988.0,,--,--,--
Yarrawarrah,,4.2,1.2,1937.0,,--,--,--
Yattalunga (NSW),,2.5,1.4,900.0,,--,--,--
Yennora,,1.0,1.0,383.0,,--,--,--
Yowie Bay,,3.7,1.4,3250.0,,--,--,--
Zetland,,2.3,1.1,1549.0,,--,--,--
