,Occupied private dwellings where at least one person was Aboriginal and/or Torres Strait Islander,Average number of people per household,Average number of people per bedroom,Median household income,Occupied private dwellings where at least one person was Aboriginal and/or Torres Strait Islander (%),Average number of people per household (%),Average number of people per bedroom (%),Median household income (%)
Camden South,,3.8,1.1,1874.0,,--,--,--
Cammeray,,2.4,1.0,1833.0,,--,--,--
Campbelltown (NSW),,3.2,1.2,1139.0,,--,--,--
Camperdown (NSW),,1.9,1.2,1583.0,,--,--,--
Campsie,,2.5,1.2,1416.0,,--,--,--
Canada Bay,,2.5,1.0,1375.0,,--,--,--
Canley Heights,,3.1,1.1,633.0,,--,--,--
Canley Vale,,3.2,1.3,1233.0,,--,--,--
Canterbury (NSW),,3.4,1.4,1399.0,,--,--,--
Canton Beach,,2.7,1.5,337.0,,--,--,--
Cardiff (NSW),,3.5,1.2,1224.0,,--,--,--
Cardiff Heights,,3.0,1.0,900.0,,--,--,--
Cardiff South,,3.4,1.1,833.0,,--,--,--
Caringbah,,2.8,1.3,933.0,,--,--,--
Carlingford,,3.0,1.1,1468.0,,--,--,--
Carlton (NSW),,3.5,1.3,1666.0,,--,--,--
Carrington (Newcastle - NSW),,2.6,1.1,890.0,,--,--,--
Carss Park,,4.0,1.5,1375.0,,--,--,--
Cartwright,,2.6,1.2,759.0,,--,--,--
Castle Cove,,2.0,0.0,900.0,,--,--,--
Castle Hill (NSW),,3.3,1.1,1750.0,,--,--,--
Casula,,3.3,1.2,1174.0,,--,--,--
Caves Beach,,3.3,1.1,1125.0,,--,--,--
Cecil Hills,,5.0,1.5,2083.0,,--,--,--
Centennial Park (NSW),,0.0,1.0,1233.0,,--,--,--
Charlestown (NSW),,3.1,1.1,1516.0,,--,--,--
Charmhaven,,3.2,1.2,1194.0,,--,--,--
Chatswood,,2.2,1.1,959.0,,--,--,--
Chatswood West,,5.0,1.0,0.0,,--,--,--
Cheltenham (NSW),,4.0,1.0,900.0,,--,--,--
Cherrybrook,,2.3,1.0,1458.0,,--,--,--
Chester Hill,,3.2,1.2,1202.0,,--,--,--
Chifley (NSW),,3.0,1.1,1208.0,,--,--,--
Chippendale,,1.8,1.2,700.0,,--,--,--
Chipping Norton,,3.3,1.0,1202.0,,--,--,--
Chiswick,,2.0,1.3,389.0,,--,--,--
Chittaway Bay,,2.8,1.2,1125.0,,--,--,--
Chittaway Point,,3.0,1.4,1562.0,,--,--,--
Claremont Meadows,,3.3,1.1,1666.0,,--,--,--
Claymore,,3.9,1.3,500.0,,--,--,--
Coal Point,,3.0,1.0,1291.0,,--,--,--
Coledale,,4.0,1.0,1750.0,,--,--,--
Collaroy (NSW),,3.2,1.0,1812.0,,--,--,--
Colyton,,3.6,1.2,1172.0,,--,--,--
Como (NSW),,3.4,1.2,1957.0,,--,--,--
Concord,,3.5,1.3,1291.0,,--,--,--
Concord West,,4.0,1.4,2750.0,,--,--,--
Condell Park,,3.8,1.1,1281.0,,--,--,--
Coniston,,2.1,1.2,2428.0,,--,--,--
Connells Point,,1.0,1.0,1433.0,,--,--,--
Coogee (NSW),,2.3,1.2,2277.0,,--,--,--
Cooks Hill,,2.1,1.1,900.0,,--,--,--
Copacabana,,3.4,1.1,1562.0,,--,--,--
Cordeaux Heights,,5.0,1.6,1833.0,,--,--,--
Corrimal,,2.8,1.2,974.0,,--,--,--
Cranebrook,,3.7,1.2,1178.0,,--,--,--
Cremorne (NSW),,2.9,1.4,2583.0,,--,--,--
Cremorne Point,,2.5,1.0,2700.0,,--,--,--
Cringila,,3.5,1.2,1458.0,,--,--,--
Cromer (NSW),,3.8,1.2,3166.0,,--,--,--
Cronulla,,2.3,1.3,1607.0,,--,--,--
Croudace Bay,,2.0,1.0,900.0,,--,--,--
Crows Nest (NSW),,2.3,1.0,2333.0,,--,--,--
Croydon (NSW),,3.2,1.5,1083.0,,--,--,--
Croydon Park (NSW),,2.6,1.1,1583.0,,--,--,--
Currans Hill,,3.6,1.2,1528.0,,--,--,--
Daceyville,,2.5,1.1,522.0,,--,--,--
Daleys Point,,3.0,0.0,0.0,,--,--,--
Dapto,,3.6,1.2,1195.0,,--,--,--
Darling Point,,0.0,2.0,2250.0,,--,--,--
Darlinghurst,,1.8,1.2,1125.0,,--,--,--
Darlington (Sydney - NSW),,2.8,1.2,866.0,,--,--,--
Davistown,,3.2,1.0,1650.0,,--,--,--
Dawes Point,,1.0,1.0,316.0,,--,--,--
Dean Park,,4.1,1.2,1333.0,,--,--,--
Dee Why,,2.4,1.3,1402.0,,--,--,--
Dharruk,,3.8,1.3,1113.0,,--,--,--
Dolls Point,,2.0,1.5,1125.0,,--,--,--
Doonside,,3.5,1.2,777.0,,--,--,--
Double Bay,,2.5,2.0,0.0,,--,--,--
Dover Heights,,4.0,1.0,3750.0,,--,--,--
Drummoyne,,2.0,1.0,3599.0,,--,--,--
Dudley,,3.3,1.3,1212.0,,--,--,--
Dulwich Hill,,2.4,1.2,1428.0,,--,--,--
Dundas (NSW),,2.3,1.3,369.0,,--,--,--
Dundas Valley,,2.5,1.2,325.0,,--,--,--
Dural (Hornsby - NSW),,4.0,1.2,1458.0,,--,--,--
Eagle Vale,,3.3,1.2,1365.0,,--,--,--
Earlwood,,2.7,1.1,1777.0,,--,--,--
East Gosford,,2.9,1.2,1333.0,,--,--,--
East Hills,,3.2,1.1,1625.0,,--,--,--
East Killara,,2.0,0.0,0.0,,--,--,--
East Lindfield,,4.0,0.0,2900.0,,--,--,--
East Ryde,,2.0,1.0,0.0,,--,--,--
Eastern Creek,,4.1,1.4,1125.0,,--,--,--
Eastlakes,,2.8,1.5,941.0,,--,--,--
Eastwood (NSW),,3.0,1.2,2036.0,,--,--,--
Edensor Park,,4.1,1.1,974.0,,--,--,--
Edgeworth,,3.2,1.2,1086.0,,--,--,--
Elanora Heights,,3.1,1.0,2050.0,,--,--,--
Elderslie (Camden - NSW),,3.2,1.1,1375.0,,--,--,--
Eleebana,,3.0,1.2,1268.0,,--,--,--
Elermore Vale,,2.9,1.2,900.0,,--,--,--
Elizabeth Bay,,1.3,1.4,1375.0,,--,--,--
Emerton,,3.6,1.3,1025.0,,--,--,--
Empire Bay,,3.1,1.1,1406.0,,--,--,--
Emu Heights (NSW),,3.9,1.2,1666.0,,--,--,--
Emu Plains,,3.4,1.2,1732.0,,--,--,--
Enfield (NSW),,2.0,1.0,700.0,,--,--,--
Engadine,,3.2,1.1,1910.0,,--,--,--
Enmore (Marrickville - NSW),,1.9,1.2,1468.0,,--,--,--
Epping (NSW),,3.6,1.2,1625.0,,--,--,--
Erina,,3.4,1.3,500.0,,--,--,--
Ermington,,2.8,1.2,579.0,,--,--,--
Erskine Park,,4.0,1.1,1111.0,,--,--,--
Erskineville,,2.4,1.3,1963.0,,--,--,--
Eschol Park,,3.4,1.2,1562.0,,--,--,--
Ettalong Beach,,2.6,1.1,776.0,,--,--,--
Fairfield (NSW),,2.9,1.2,712.0,,--,--,--
Fairfield East,,1.6,1.2,420.0,,--,--,--
Fairfield Heights,,3.2,1.3,1274.0,,--,--,--
Fairfield West,,3.5,1.3,833.0,,--,--,--
Fairlight,,3.0,1.4,2750.0,,--,--,--
Farmborough Heights,,3.9,1.1,1700.0,,--,--,--
Faulconbridge,,3.7,1.2,2035.0,,--,--,--
Fennell Bay,,2.8,1.3,614.0,,--,--,--
Figtree,,2.7,1.2,1208.0,,--,--,--
Five Dock,,3.3,1.0,1312.0,,--,--,--
Fletcher (NSW),,4.5,1.1,2416.0,,--,--,--
Flinders (NSW),,3.4,1.1,1583.0,,--,--,--
Floraville,,2.4,1.0,900.0,,--,--,--
Forest Lodge,,3.2,1.2,1041.0,,--,--,--
Forestville (NSW),,4.2,1.0,1449.0,,--,--,--
Forresters Beach,,3.5,1.1,1750.0,,--,--,--
Frenchs Forest,,3.0,1.0,1899.0,,--,--,--
Garden Suburb,,3.8,1.0,1750.0,,--,--,--
Gateshead,,3.7,1.2,745.0,,--,--,--
Georges Hall,,4.4,1.2,974.0,,--,--,--
Georgetown (NSW),,2.8,1.2,900.0,,--,--,--
Girraween (NSW),,2.5,1.3,1583.0,,--,--,--
Gladesville,,2.7,1.2,2083.0,,--,--,--
Glebe (NSW),,2.5,1.1,536.0,,--,--,--
Glen Alpine,,4.3,1.0,2687.0,,--,--,--
Glenbrook,,3.7,1.0,1125.0,,--,--,--
Glendenning,,3.4,1.2,1208.0,,--,--,--
Glenfield (NSW),,3.4,1.2,1350.0,,--,--,--
Glenhaven,,4.0,1.0,3250.0,,--,--,--
Glenmore Park,,3.5,1.0,1862.0,,--,--,--
Glenning Valley,,5.0,1.0,1291.0,,--,--,--
Glenwood (NSW),,3.4,1.1,2600.0,,--,--,--
Gorokan,,3.3,1.4,842.0,,--,--,--
Gosford,,2.3,1.1,966.0,,--,--,--
Granville (NSW),,3.0,1.3,785.0,,--,--,--
Grays Point,,2.0,1.0,3250.0,,--,--,--
Green Point (Great Lakes - NSW),,3.1,1.0,1125.0,,--,--,--
Green Valley (NSW),,3.4,1.6,1531.0,,--,--,--
Greenacre,,3.1,1.2,1281.0,,--,--,--
Greenfield Park,,4.6,1.0,1041.0,,--,--,--
Greystanes,,3.5,1.1,1412.0,,--,--,--
Guildford (NSW),,2.9,1.3,850.0,,--,--,--
Guildford West,,3.9,1.1,2125.0,,--,--,--
Gwynneville,,3.4,1.5,1375.0,,--,--,--
Gymea,,2.6,1.2,1208.0,,--,--,--
Gymea Bay,,3.8,1.3,2463.0,,--,--,--
Halekulani,,3.0,1.2,1187.0,,--,--,--
Hamilton (NSW),,2.7,1.2,900.0,,--,--,--
Hamilton East,,5.0,1.0,2750.0,,--,--,--
Hamilton North,,3.6,1.2,1458.0,,--,--,--
Hamilton South,,2.3,1.3,633.0,,--,--,--
Hammondville,,3.2,1.1,1928.0,,--,--,--
Harrington Park,,3.7,1.0,2166.0,,--,--,--
Harris Park,,1.7,1.0,500.0,,--,--,--
Hassall Grove,,3.6,1.1,2107.0,,--,--,--
Heathcote (NSW),,3.3,1.0,1805.0,,--,--,--
Hebersham,,3.7,1.3,1045.0,,--,--,--
Heckenberg,,3.6,1.3,733.0,,--,--,--
Highfields (NSW),,4.0,1.0,250.0,,--,--,--
Hillsborough (Lake Macquarie - NSW),,6.5,1.9,1750.0,,--,--,--
Hillsdale,,2.8,1.5,974.0,,--,--,--
Hinchinbrook (NSW),,3.3,1.1,933.0,,--,--,--
Holmesville,,3.8,1.1,1549.0,,--,--,--
Holsworthy,,2.9,1.1,1536.0,,--,--,--
Homebush (NSW),,3.8,1.4,1383.0,,--,--,--
Homebush West,,4.3,2.0,524.0,,--,--,--
Horningsea Park,,3.7,1.2,2250.0,,--,--,--
Hornsby Heights,,3.2,1.0,1750.0,,--,--,--
Horsley,,3.9,1.2,1474.0,,--,--,--
Hoxton Park,,3.3,1.2,1292.0,,--,--,--
Hunters Hill,,2.5,1.0,2833.0,,--,--,--
Hurlstone Park,,2.2,1.0,1333.0,,--,--,--
Hurstville,,3.2,1.4,1399.0,,--,--,--
Hurstville Grove,,4.0,1.0,2750.0,,--,--,--
Illawong,,3.1,1.0,2250.0,,--,--,--
Ingleburn,,3.3,1.2,1208.0,,--,--,--
Ingleside,,6.0,1.0,4500.0,,--,--,--
Islington,,2.5,1.1,1075.0,,--,--,--
Jamisontown,,2.9,1.1,1681.0,,--,--,--
Jannali,,3.7,1.1,900.0,,--,--,--
Jesmond,,2.6,1.1,1125.0,,--,--,--
Jewells,,3.2,1.3,1083.0,,--,--,--
Kahibah,,3.2,1.3,1694.0,,--,--,--
Kanahooka,,3.3,1.1,1458.0,,--,--,--
Kanwal,,3.6,1.2,1010.0,,--,--,--
Kariong,,4.0,1.2,1031.0,,--,--,--
Kearns,,4.0,1.2,1833.0,,--,--,--
Keiraville,,3.0,1.1,1886.0,,--,--,--
Kellyville,,3.4,1.1,2166.0,,--,--,--
Kilaben Bay,,2.5,1.0,900.0,,--,--,--
Killara (NSW),,3.0,2.1,2250.0,,--,--,--
Killarney Vale,,3.4,1.2,1015.0,,--,--,--
Kincumber,,3.1,1.2,944.0,,--,--,--
Kincumber South,,2.0,1.0,983.0,,--,--,--
Kings Langley,,3.4,1.1,2019.0,,--,--,--
Kings Park (NSW),,3.0,1.2,1874.0,,--,--,--
Kingsford (NSW),,2.5,1.3,1424.0,,--,--,--
Kingsgrove,,3.6,1.3,974.0,,--,--,--
Kingswood (Tamworth - NSW),,3.3,1.1,1416.0,,--,--,--
Kirrawee,,2.6,1.2,1333.0,,--,--,--
Kirribilli,,1.3,1.0,625.0,,--,--,--
Kogarah,,2.8,1.3,1791.0,,--,--,--
