,None (includes bedsitters),1 bedroom,2 bedrooms,3 bedrooms,4 or more bedrooms,Number of bedrooms not stated,Average number of bedrooms per dwelling,Average number of people per household,None (includes bedsitters) (%),1 bedroom (%),2 bedrooms (%),3 bedrooms (%),4 or more bedrooms (%),Number of bedrooms not stated (%),Average number of bedrooms per dwelling (%),Average number of people per household (%),SSC_CODE
Dalwood (Ballina - NSW),0.0,0.0,12.0,36.0,32.0,0.0,3.4,2.7,0.0,0.0,15.0,45.0,40.0,0.0,--,--,11195
Marom Creek,0.0,0.0,0.0,20.0,22.0,0.0,3.6,2.4,0.0,0.0,0.0,47.6,52.4,0.0,--,--,12499
Rous,0.0,0.0,8.0,30.0,37.0,5.0,3.6,2.6,0.0,0.0,10.0,37.5,46.2,6.2,--,--,13427
Pimlico (NSW),0.0,0.0,15.0,51.0,40.0,0.0,3.3,2.5,0.0,0.0,14.2,48.1,37.7,0.0,--,--,13207
Coolgardie (NSW),0.0,0.0,3.0,17.0,17.0,0.0,3.6,2.6,0.0,0.0,8.1,45.9,45.9,0.0,--,--,11031
Keith Hall,0.0,0.0,3.0,21.0,19.0,3.0,3.5,2.7,0.0,0.0,6.5,45.7,41.3,6.5,--,--,12086
Uralba,0.0,3.0,7.0,24.0,40.0,3.0,3.4,2.5,0.0,3.9,9.1,31.2,51.9,3.9,--,--,14050
Tuckombil,0.0,0.0,9.0,35.0,41.0,0.0,3.5,3.0,0.0,0.0,10.6,41.2,48.2,0.0,--,--,13947
Fernleigh,0.0,0.0,13.0,45.0,36.0,0.0,3.5,2.8,0.0,0.0,13.8,47.9,38.3,0.0,--,--,11508
Tintenbar,5.0,3.0,16.0,84.0,143.0,9.0,3.7,2.9,1.9,1.2,6.2,32.3,55.0,3.5,--,--,13878
Cumbalum,0.0,0.0,10.0,136.0,320.0,8.0,3.8,3.1,0.0,0.0,2.1,28.7,67.5,1.7,--,--,11154
Brooklet,0.0,5.0,13.0,30.0,36.0,0.0,3.2,2.7,0.0,6.0,15.5,35.7,42.9,0.0,--,--,10598
Knockrow,0.0,0.0,11.0,26.0,33.0,0.0,3.4,2.7,0.0,0.0,15.7,37.1,47.1,0.0,--,--,12178
Newrybar,0.0,12.0,23.0,57.0,77.0,0.0,3.2,2.5,0.0,7.1,13.6,33.7,45.6,0.0,--,--,12957
Alstonvale,0.0,0.0,10.0,60.0,72.0,3.0,3.6,2.7,0.0,0.0,6.9,41.4,49.7,2.1,--,--,10045
Teven,0.0,0.0,8.0,41.0,40.0,0.0,3.6,2.7,0.0,0.0,9.0,46.1,44.9,0.0,--,--,13807
Pearces Creek,0.0,3.0,5.0,24.0,25.0,4.0,3.3,2.7,0.0,4.9,8.2,39.3,41.0,6.6,--,--,13170
Lynwood (NSW),0.0,0.0,11.0,26.0,35.0,0.0,3.4,2.8,0.0,0.0,15.3,36.1,48.6,0.0,--,--,12427
Rous Mill,0.0,9.0,9.0,30.0,32.0,0.0,3.2,2.4,0.0,11.2,11.2,37.5,40.0,0.0,--,--,13428
Ewingsdale,8.0,22.0,26.0,87.0,110.0,4.0,3.3,2.5,3.1,8.6,10.1,33.9,42.8,1.6,--,--,11474
Eureka (NSW),0.0,11.0,18.0,46.0,36.0,3.0,3.1,2.6,0.0,9.6,15.8,40.4,31.6,2.6,--,--,11461
Coorabell,3.0,28.0,21.0,50.0,43.0,4.0,2.9,2.4,2.0,18.8,14.1,33.6,28.9,2.7,--,--,11051
Possum Creek,0.0,13.0,22.0,27.0,31.0,0.0,2.9,2.6,0.0,14.0,23.7,29.0,33.3,0.0,--,--,13252
Bangalow,3.0,27.0,87.0,345.0,229.0,12.0,3.2,2.6,0.4,3.8,12.4,49.1,32.6,1.7,--,--,10174
Coopers Shoot,0.0,9.0,16.0,34.0,42.0,0.0,3.2,2.5,0.0,8.9,15.8,33.7,41.6,0.0,--,--,11049
Skinners Shoot,5.0,11.0,5.0,13.0,7.0,4.0,2.3,2.2,11.1,24.4,11.1,28.9,15.6,8.9,--,--,13556
Talofa,0.0,4.0,8.0,7.0,13.0,0.0,2.9,2.5,0.0,12.5,25.0,21.9,40.6,0.0,--,--,13739
Nashua,0.0,8.0,13.0,42.0,23.0,3.0,3.0,2.4,0.0,9.0,14.6,47.2,25.8,3.4,--,--,12914
Federal (NSW),7.0,13.0,50.0,105.0,63.0,7.0,3.0,2.4,2.9,5.3,20.4,42.9,25.7,2.9,--,--,11499
Binna Burra (NSW),0.0,4.0,14.0,24.0,19.0,0.0,3.1,2.7,0.0,6.6,23.0,39.3,31.1,0.0,--,--,10371
Brunswick Heads,28.0,118.0,186.0,261.0,136.0,31.0,2.5,2.0,3.7,15.5,24.5,34.3,17.9,4.1,--,--,10621
Ocean Shores,12.0,59.0,251.0,1133.0,511.0,39.0,3.1,2.4,0.6,2.9,12.5,56.5,25.5,1.9,--,--,13070
Tyagarah,3.0,11.0,15.0,8.0,21.0,3.0,2.6,2.3,4.9,18.0,24.6,13.1,34.4,4.9,--,--,13993
New Brighton,4.0,7.0,28.0,57.0,34.0,0.0,2.8,2.1,3.1,5.4,21.5,43.8,26.2,0.0,--,--,12939
South Golden Beach,3.0,9.0,67.0,149.0,57.0,7.0,3.0,2.5,1.0,3.1,22.9,51.0,19.5,2.4,--,--,13581
Wooyung,4.0,10.0,5.0,19.0,9.0,4.0,2.6,1.7,7.8,19.6,9.8,37.3,17.6,7.8,--,--,14418
Byron Bay,30.0,153.0,370.0,784.0,413.0,91.0,2.8,2.2,1.6,8.3,20.1,42.6,22.4,4.9,--,--,10733
Suffolk Park,9.0,46.0,183.0,637.0,398.0,27.0,3.1,2.5,0.7,3.5,14.1,49.0,30.6,2.1,--,--,13684
Broken Head,0.0,15.0,20.0,41.0,16.0,3.0,2.7,2.3,0.0,15.8,21.1,43.2,16.8,3.2,--,--,10591
Woodburn (Richmond Valley - NSW),4.0,10.0,53.0,138.0,57.0,12.0,3.0,2.5,1.5,3.6,19.3,50.4,20.8,4.4,--,--,14379
Broadwater (Richmond Valley - NSW),9.0,27.0,47.0,111.0,50.0,7.0,2.7,2.2,3.6,10.8,18.7,44.2,19.9,2.8,--,--,10580
Rileys Hill,0.0,3.0,4.0,36.0,23.0,0.0,3.2,2.7,0.0,4.5,6.1,54.5,34.8,0.0,--,--,13364
Evans Head,18.0,68.0,323.0,529.0,246.0,37.0,2.8,2.1,1.5,5.6,26.5,43.3,20.1,3.0,--,--,11469
Bungawalbin,0.0,4.0,11.0,12.0,10.0,4.0,2.9,2.0,0.0,9.8,26.8,29.3,24.4,9.8,--,--,10683
