,None (includes bedsitters),1 bedroom,2 bedrooms,3 bedrooms,4 or more bedrooms,Number of bedrooms not stated,Average number of bedrooms per dwelling,Average number of people per household,None (includes bedsitters) (%),1 bedroom (%),2 bedrooms (%),3 bedrooms (%),4 or more bedrooms (%),Number of bedrooms not stated (%),Average number of bedrooms per dwelling (%),Average number of people per household (%),SSC_CODE
Lower Boro,0.0,3.0,18.0,21.0,25.0,0.0,3.1,2.0,0.0,4.5,26.9,31.3,37.3,0.0,--,--,12402
New South Wales,17157.0,157194.0,577675.0,970001.0,816405.0,65888.0,3.0,2.6,0.7,6.0,22.2,37.2,31.3,2.5,--,--,
Australia,39769.0,411252.0,1562759.0,3403190.0,2670758.0,198351.0,3.1,2.6,0.5,5.0,18.9,41.1,32.2,2.4,--,--,
Oallen,0.0,3.0,9.0,24.0,12.0,0.0,2.8,2.0,0.0,6.2,18.8,50.0,25.0,0.0,--,--,13062
Braidwood,7.0,15.0,140.0,276.0,138.0,36.0,3.0,2.3,1.1,2.5,22.9,45.1,22.5,5.9,--,--,10547
Majors Creek (NSW),0.0,10.0,26.0,43.0,14.0,3.0,2.7,2.2,0.0,10.4,27.1,44.8,14.6,3.1,--,--,12452
Araluen (NSW),0.0,6.0,15.0,35.0,9.0,4.0,2.6,1.9,0.0,8.7,21.7,50.7,13.0,5.8,--,--,10070
Reidsdale,0.0,7.0,10.0,11.0,11.0,3.0,2.9,2.4,0.0,16.7,23.8,26.2,26.2,7.1,--,--,13348
Bombay,3.0,6.0,3.0,17.0,8.0,0.0,2.6,2.5,8.1,16.2,8.1,45.9,21.6,0.0,--,--,10456
Warri,5.0,7.0,6.0,10.0,19.0,0.0,2.7,2.4,10.6,14.9,12.8,21.3,40.4,0.0,--,--,14172
Manar,0.0,0.0,3.0,15.0,15.0,0.0,3.3,2.8,0.0,0.0,9.1,45.5,45.5,0.0,--,--,12462
Mongarlowe,0.0,11.0,14.0,19.0,10.0,0.0,2.3,2.0,0.0,20.4,25.9,35.2,18.5,0.0,--,--,12678
Karabar,5.0,72.0,348.0,1430.0,1022.0,79.0,3.3,2.6,0.2,2.4,11.8,48.4,34.6,2.7,--,--,12071
Queanbeyan,16.0,390.0,1041.0,845.0,264.0,73.0,2.4,2.0,0.6,14.8,39.6,32.1,10.0,2.8,--,--,13291
Crestwood,0.0,247.0,708.0,591.0,391.0,54.0,2.6,2.1,0.0,12.4,35.6,29.7,19.6,2.7,--,--,11115
Queanbeyan East,13.0,266.0,745.0,447.0,243.0,41.0,2.4,2.1,0.7,15.2,42.5,25.5,13.8,2.3,--,--,13292
Greenleigh,0.0,0.0,14.0,40.0,163.0,6.0,3.9,3.0,0.0,0.0,6.3,17.9,73.1,2.7,--,--,11767
The Ridgeway,0.0,0.0,0.0,15.0,43.0,0.0,4.1,2.4,0.0,0.0,0.0,25.9,74.1,0.0,--,--,13836
Bungendore,0.0,18.0,90.0,370.0,822.0,14.0,3.7,2.9,0.0,1.4,6.8,28.2,62.6,1.1,--,--,10684
Sutton (NSW),0.0,24.0,60.0,115.0,256.0,11.0,3.5,2.9,0.0,5.2,12.9,24.7,54.9,2.4,--,--,13702
Carwoola,0.0,3.0,20.0,131.0,289.0,4.0,3.8,2.9,0.0,0.7,4.5,29.3,64.7,0.9,--,--,10841
Hoskinstown,0.0,0.0,8.0,22.0,27.0,0.0,3.5,2.8,0.0,0.0,14.0,38.6,47.4,0.0,--,--,11944
Captains Flat,0.0,13.0,66.0,114.0,41.0,6.0,2.8,2.2,0.0,5.4,27.5,47.5,17.1,2.5,--,--,10804
Burra (Queanbeyan-Palerang Regional - NSW),3.0,9.0,11.0,78.0,140.0,4.0,3.6,2.8,1.2,3.7,4.5,31.8,57.1,1.6,--,--,10697
Mount Fairy,0.0,6.0,6.0,35.0,34.0,0.0,3.3,2.4,0.0,7.4,7.4,43.2,42.0,0.0,--,--,12758
Mulloon,0.0,0.0,7.0,19.0,19.0,0.0,3.5,2.9,0.0,0.0,15.6,42.2,42.2,0.0,--,--,12827
Royalla,0.0,3.0,12.0,29.0,221.0,0.0,4.1,3.4,0.0,1.1,4.5,10.9,83.4,0.0,--,--,13434
Primrose Valley,0.0,0.0,8.0,15.0,18.0,0.0,3.3,2.4,0.0,0.0,19.5,36.6,43.9,0.0,--,--,13265
Urila,0.0,0.0,3.0,16.0,15.0,0.0,3.5,2.7,0.0,0.0,8.8,47.1,44.1,0.0,--,--,14059
Tarago,4.0,6.0,28.0,48.0,55.0,3.0,3.2,2.6,2.8,4.2,19.4,33.3,38.2,2.1,--,--,13758
Currawang,0.0,3.0,9.0,28.0,20.0,4.0,3.2,2.4,0.0,4.7,14.1,43.8,31.2,6.2,--,--,11177
Googong,0.0,3.0,15.0,157.0,602.0,7.0,3.9,3.1,0.0,0.4,1.9,20.0,76.8,0.9,--,--,11704
Wamboin,0.0,6.0,33.0,121.0,347.0,3.0,3.8,3.0,0.0,1.2,6.5,23.7,68.0,0.6,--,--,14123
Bywong,0.0,16.0,36.0,115.0,272.0,16.0,3.7,2.8,0.0,3.5,7.9,25.3,59.8,3.5,--,--,10735
Michelago,0.0,0.0,20.0,51.0,93.0,3.0,3.7,2.9,0.0,0.0,12.0,30.5,55.7,1.8,--,--,12598
Jerrabomberra,0.0,6.0,167.0,742.0,2081.0,25.0,3.8,3.1,0.0,0.2,5.5,24.6,68.9,0.8,--,--,12016
Queanbeyan West,3.0,40.0,161.0,537.0,359.0,23.0,3.2,2.6,0.3,3.6,14.3,47.8,32.0,2.0,--,--,13293
Delegate,5.0,5.0,19.0,79.0,43.0,3.0,3.1,1.9,3.2,3.2,12.3,51.3,27.9,1.9,--,--,11233
Bombala,0.0,19.0,98.0,291.0,129.0,16.0,3.0,2.2,0.0,3.4,17.7,52.6,23.3,2.9,--,--,10455
Cathcart (NSW),0.0,0.0,10.0,15.0,15.0,0.0,3.0,2.6,0.0,0.0,25.0,37.5,37.5,0.0,--,--,10855
Cooma (NSW),3.0,128.0,454.0,1290.0,710.0,103.0,3.1,2.2,0.1,4.8,16.9,48.0,26.4,3.8,--,--,11036
Kosciuszko National Park,3.0,27.0,23.0,5.0,22.0,39.0,4.5,1.8,2.5,22.7,19.3,4.2,18.5,32.8,--,--,12199
Adaminaby,0.0,3.0,27.0,66.0,39.0,3.0,3.1,1.9,0.0,2.2,19.6,47.8,28.3,2.2,--,--,10015
Nimmitabel,0.0,5.0,18.0,66.0,37.0,3.0,3.2,2.0,0.0,3.9,14.0,51.2,28.7,2.3,--,--,12966
Numeralla,3.0,3.0,7.0,27.0,35.0,4.0,3.4,2.6,3.8,3.8,8.9,34.2,44.3,5.1,--,--,13039
Colinton (NSW),0.0,3.0,5.0,17.0,16.0,0.0,3.2,2.8,0.0,7.3,12.2,41.5,39.0,0.0,--,--,10968
Dairymans Plains,0.0,0.0,5.0,11.0,36.0,3.0,3.9,2.6,0.0,0.0,9.1,20.0,65.5,5.5,--,--,11188
Binjura,0.0,3.0,15.0,23.0,70.0,0.0,3.6,2.6,0.0,2.7,13.5,20.7,63.1,0.0,--,--,10370
Bunyan,0.0,0.0,8.0,13.0,38.0,0.0,3.6,2.4,0.0,0.0,13.6,22.0,64.4,0.0,--,--,10691
Bredbo,3.0,0.0,13.0,51.0,39.0,3.0,3.1,2.7,2.8,0.0,11.9,46.8,35.8,2.8,--,--,10559
Berridale,3.0,8.0,83.0,236.0,105.0,21.0,3.0,2.3,0.7,1.8,18.2,51.8,23.0,4.6,--,--,10316
Kalkite,0.0,3.0,11.0,37.0,29.0,0.0,3.3,2.6,0.0,3.8,13.8,46.2,36.2,0.0,--,--,12052
Crackenback,0.0,4.0,11.0,12.0,20.0,3.0,3.6,2.5,0.0,8.0,22.0,24.0,40.0,6.0,--,--,11103
Jindabyne,8.0,55.0,167.0,372.0,264.0,36.0,3.1,2.4,0.9,6.1,18.5,41.2,29.3,4.0,--,--,12030
East Jindabyne,3.0,6.0,28.0,83.0,112.0,3.0,3.4,2.6,1.3,2.6,11.9,35.3,47.7,1.3,--,--,11352
Dalgety,3.0,11.0,19.0,32.0,21.0,0.0,2.9,2.3,3.5,12.8,22.1,37.2,24.4,0.0,--,--,11190
Moonbah,0.0,8.0,31.0,78.0,68.0,5.0,3.3,2.8,0.0,4.2,16.3,41.1,35.8,2.6,--,--,12698
Catalina,3.0,36.0,90.0,455.0,287.0,31.0,3.2,2.2,0.3,4.0,10.0,50.4,31.8,3.4,--,--,10853
Batemans Bay,11.0,63.0,315.0,190.0,77.0,27.0,2.4,1.8,1.6,9.2,46.1,27.8,11.3,4.0,--,--,10229
Nelligen,0.0,5.0,24.0,65.0,36.0,6.0,3.0,2.1,0.0,3.7,17.6,47.8,26.5,4.4,--,--,12920
Long Beach,0.0,3.0,47.0,226.0,247.0,10.0,3.4,2.4,0.0,0.6,8.8,42.4,46.3,1.9,--,--,12376
Benandarah,0.0,11.0,13.0,18.0,17.0,0.0,2.7,2.0,0.0,18.6,22.0,30.5,28.8,0.0,--,--,10287
North Batemans Bay,0.0,11.0,60.0,81.0,71.0,4.0,3.1,2.1,0.0,4.8,26.4,35.7,31.3,1.8,--,--,12982
Surfside,0.0,0.0,61.0,280.0,166.0,16.0,3.3,2.4,0.0,0.0,11.7,53.5,31.7,3.1,--,--,13698
Maloneys Beach,0.0,0.0,13.0,79.0,55.0,0.0,3.4,2.3,0.0,0.0,8.8,53.7,37.4,0.0,--,--,12460
Lilli Pilli (Eurobodalla - NSW),0.0,0.0,15.0,106.0,104.0,3.0,3.5,2.3,0.0,0.0,6.6,46.5,45.6,1.3,--,--,12321
Malua Bay,0.0,9.0,84.0,315.0,302.0,23.0,3.4,2.3,0.0,1.2,11.5,43.0,41.2,3.1,--,--,12461
Surf Beach (NSW),0.0,9.0,149.0,353.0,249.0,27.0,3.2,2.2,0.0,1.1,18.9,44.9,31.6,3.4,--,--,13697
Denhams Beach,0.0,3.0,18.0,123.0,46.0,3.0,3.2,2.2,0.0,1.6,9.3,63.7,23.8,1.6,--,--,11236
Sunshine Bay,0.0,13.0,65.0,230.0,210.0,12.0,3.3,2.2,0.0,2.5,12.3,43.4,39.6,2.3,--,--,13695
Rosedale (NSW),0.0,0.0,16.0,38.0,28.0,3.0,3.3,2.4,0.0,0.0,18.8,44.7,32.9,3.5,--,--,13407
Batehaven,7.0,36.0,202.0,285.0,187.0,19.0,2.9,2.0,1.0,4.9,27.4,38.7,25.4,2.6,--,--,10228
Bega,8.0,64.0,318.0,883.0,482.0,68.0,3.1,2.3,0.4,3.5,17.4,48.4,26.4,3.7,--,--,10253
Tathra,0.0,29.0,183.0,292.0,186.0,21.0,3.0,2.1,0.0,4.1,25.7,41.1,26.2,3.0,--,--,13774
Kalaru,0.0,19.0,29.0,109.0,79.0,7.0,3.1,2.5,0.0,7.8,11.9,44.9,32.5,2.9,--,--,12051
Wallagoot,3.0,9.0,33.0,79.0,63.0,5.0,3.1,2.4,1.6,4.7,17.2,41.1,32.8,2.6,--,--,14103
Bournda,0.0,0.0,18.0,21.0,10.0,0.0,2.8,2.3,0.0,0.0,36.7,42.9,20.4,0.0,--,--,10524
Black Range (NSW),0.0,0.0,12.0,20.0,28.0,0.0,3.3,3.0,0.0,0.0,20.0,33.3,46.7,0.0,--,--,10388
Tarraganda,0.0,3.0,11.0,50.0,61.0,3.0,3.4,2.5,0.0,2.3,8.6,39.1,47.7,2.3,--,--,13768
Kanoona,0.0,0.0,4.0,20.0,14.0,0.0,3.5,3.1,0.0,0.0,10.5,52.6,36.8,0.0,--,--,12066
Toothdale,0.0,3.0,4.0,22.0,29.0,4.0,3.3,2.6,0.0,4.8,6.5,35.5,46.8,6.5,--,--,13914
Wolumla,0.0,7.0,36.0,122.0,80.0,6.0,3.2,2.5,0.0,2.8,14.3,48.6,31.9,2.4,--,--,14362
South Wolumla,0.0,0.0,8.0,30.0,25.0,0.0,3.4,2.7,0.0,0.0,12.7,47.6,39.7,0.0,--,--,13602
Wyndham (NSW),3.0,12.0,36.0,55.0,37.0,4.0,2.8,2.1,2.0,8.2,24.5,37.4,25.2,2.7,--,--,14443
Kiah,0.0,8.0,15.0,27.0,14.0,0.0,2.8,1.9,0.0,12.5,23.4,42.2,21.9,0.0,--,--,12115
Towamba,3.0,7.0,27.0,41.0,15.0,0.0,2.7,2.1,3.2,7.5,29.0,44.1,16.1,0.0,--,--,13927
Lochiel (NSW),3.0,5.0,24.0,40.0,49.0,4.0,3.2,2.6,2.4,4.0,19.2,32.0,39.2,3.2,--,--,12367
Nethercote,0.0,4.0,22.0,53.0,40.0,0.0,3.1,2.6,0.0,3.4,18.5,44.5,33.6,0.0,--,--,12932
Candelo,0.0,14.0,50.0,125.0,78.0,7.0,3.1,2.2,0.0,5.1,18.2,45.6,28.5,2.6,--,--,10788
Tantawangalo,0.0,3.0,5.0,21.0,13.0,0.0,3.2,2.7,0.0,7.1,11.9,50.0,31.0,0.0,--,--,13753
Bemboka,4.0,14.0,40.0,104.0,61.0,6.0,2.9,2.1,1.7,6.1,17.5,45.4,26.6,2.6,--,--,10284
Quaama,3.0,7.0,19.0,62.0,22.0,0.0,2.9,1.9,2.7,6.2,16.8,54.9,19.5,0.0,--,--,13285
Cobargo,5.0,23.0,52.0,153.0,75.0,7.0,3.0,2.2,1.6,7.3,16.5,48.6,23.8,2.2,--,--,10951
Yowrie,3.0,6.0,9.0,24.0,8.0,0.0,2.7,2.1,6.0,12.0,18.0,48.0,16.0,0.0,--,--,14520
Wandella (NSW),0.0,3.0,11.0,29.0,15.0,0.0,3.1,2.3,0.0,5.2,19.0,50.0,25.9,0.0,--,--,14128
Angledale,0.0,0.0,8.0,24.0,19.0,0.0,3.3,2.4,0.0,0.0,15.7,47.1,37.3,0.0,--,--,10056
Verona,3.0,4.0,20.0,48.0,40.0,3.0,3.1,2.2,2.5,3.4,16.9,40.7,33.9,2.5,--,--,14073
Tanja,0.0,3.0,14.0,27.0,12.0,4.0,2.8,2.2,0.0,5.0,23.3,45.0,20.0,6.7,--,--,13749
Coolagolite,12.0,6.0,20.0,44.0,41.0,0.0,2.9,2.2,9.8,4.9,16.3,35.8,33.3,0.0,--,--,11023
Brogo,11.0,24.0,48.0,71.0,52.0,8.0,2.7,2.2,5.1,11.2,22.4,33.2,24.3,3.7,--,--,10589
Coopers Gully,0.0,0.0,9.0,24.0,32.0,0.0,3.4,2.4,0.0,0.0,13.8,36.9,49.2,0.0,--,--,11048
Stony Creek (Bega Valley - NSW),0.0,0.0,7.0,22.0,22.0,0.0,3.4,2.7,0.0,0.0,13.7,43.1,43.1,0.0,--,--,13668
Numbugga,0.0,7.0,3.0,18.0,22.0,3.0,3.3,2.5,0.0,13.2,5.7,34.0,41.5,5.7,--,--,13038
Buckajo,0.0,3.0,11.0,54.0,36.0,0.0,3.1,2.4,0.0,2.9,10.6,51.9,34.6,0.0,--,--,10629
Kameruka,0.0,0.0,8.0,17.0,14.0,0.0,3.3,2.6,0.0,0.0,20.5,43.6,35.9,0.0,--,--,12054
Greigs Flat,0.0,4.0,4.0,18.0,25.0,0.0,3.3,2.4,0.0,7.8,7.8,35.3,49.0,0.0,--,--,11775
Broulee,0.0,10.0,169.0,285.0,187.0,19.0,3.0,2.2,0.0,1.5,25.2,42.5,27.9,2.8,--,--,10608
Tomakin,3.0,18.0,103.0,152.0,119.0,5.0,3.0,2.1,0.8,4.5,25.8,38.0,29.8,1.2,--,--,13890
Mossy Point,0.0,7.0,35.0,84.0,91.0,4.0,3.3,2.3,0.0,3.2,15.8,38.0,41.2,1.8,--,--,12741
Bodalla,4.0,18.0,45.0,139.0,82.0,11.0,3.0,2.5,1.3,6.0,15.1,46.5,27.4,3.7,--,--,10434
Narooma,18.0,98.0,323.0,472.0,222.0,37.0,2.7,1.9,1.5,8.4,27.6,40.3,19.0,3.2,--,--,12900
Eden,3.0,39.0,255.0,584.0,317.0,44.0,3.0,2.2,0.2,3.1,20.5,47.0,25.5,3.5,--,--,11375
South Durras,0.0,4.0,30.0,44.0,35.0,8.0,3.2,2.3,0.0,3.3,24.8,36.4,28.9,6.6,--,--,13580
Mogo (Eurobodalla - NSW),0.0,6.0,25.0,53.0,25.0,11.0,2.9,2.3,0.0,5.0,20.8,44.2,20.8,9.2,--,--,12660
Jeremadra,0.0,8.0,5.0,32.0,16.0,0.0,2.9,2.6,0.0,13.1,8.2,52.5,26.2,0.0,--,--,12012
Mogendoura,0.0,5.0,14.0,26.0,26.0,0.0,3.3,2.4,0.0,7.0,19.7,36.6,36.6,0.0,--,--,12657
Turlinjah,0.0,0.0,8.0,17.0,21.0,0.0,3.4,2.7,0.0,0.0,17.4,37.0,45.7,0.0,--,--,13975
Potato Point,0.0,0.0,11.0,26.0,17.0,0.0,3.2,1.8,0.0,0.0,20.4,48.1,31.5,0.0,--,--,13253
Kianga (NSW),0.0,5.0,47.0,167.0,97.0,8.0,3.1,2.1,0.0,1.5,14.5,51.5,29.9,2.5,--,--,12119
Tuross Head,0.0,21.0,179.0,501.0,312.0,22.0,3.1,2.0,0.0,2.0,17.3,48.4,30.1,2.1,--,--,13979
Pambula Beach,5.0,7.0,48.0,122.0,96.0,7.0,3.1,2.2,1.8,2.5,16.8,42.8,33.7,2.5,--,--,13141
Merimbula,15.0,115.0,451.0,594.0,279.0,61.0,2.8,2.0,1.0,7.6,29.8,39.2,18.4,4.0,--,--,12575
Tura Beach,0.0,10.0,158.0,724.0,355.0,28.0,3.2,2.2,0.0,0.8,12.4,56.8,27.8,2.2,--,--,13973
South Pambula,0.0,0.0,14.0,83.0,52.0,4.0,3.3,2.7,0.0,0.0,9.2,54.2,34.0,2.6,--,--,13595
Pambula,3.0,24.0,124.0,149.0,73.0,12.0,2.8,2.2,0.8,6.2,32.2,38.7,19.0,3.1,--,--,13140
Broadwater (Bega Valley - NSW),0.0,0.0,0.0,17.0,14.0,0.0,3.6,2.7,0.0,0.0,0.0,54.8,45.2,0.0,--,--,10579
Bald Hills (NSW),0.0,3.0,10.0,38.0,38.0,0.0,3.4,2.5,0.0,3.4,11.2,42.7,42.7,0.0,--,--,10147
Millingandi,4.0,28.0,72.0,70.0,32.0,14.0,2.5,1.9,1.8,12.7,32.7,31.8,14.5,6.4,--,--,12622
Mirador,0.0,0.0,4.0,72.0,56.0,0.0,3.4,2.6,0.0,0.0,3.0,54.5,42.4,0.0,--,--,12644
Berrambool,0.0,0.0,68.0,84.0,47.0,3.0,3.0,2.1,0.0,0.0,33.7,41.6,23.3,1.5,--,--,10312
Moruya,7.0,97.0,301.0,742.0,431.0,59.0,3.0,2.2,0.4,5.9,18.4,45.3,26.3,3.6,--,--,12734
Moruya Heads,0.0,9.0,54.0,209.0,108.0,5.0,3.2,2.2,0.0,2.3,14.0,54.3,28.1,1.3,--,--,12735
Bergalia,0.0,4.0,9.0,25.0,20.0,0.0,3.2,2.5,0.0,6.9,15.5,43.1,34.5,0.0,--,--,10302
Congo,0.0,6.0,23.0,29.0,28.0,0.0,3.0,2.2,0.0,7.0,26.7,33.7,32.6,0.0,--,--,11008
Bingie,0.0,0.0,10.0,25.0,32.0,0.0,3.4,2.2,0.0,0.0,14.9,37.3,47.8,0.0,--,--,10367
Bermagui,3.0,31.0,152.0,285.0,158.0,21.0,3.0,2.1,0.5,4.8,23.4,43.8,24.3,3.2,--,--,10307
Dalmeny,3.0,9.0,166.0,368.0,186.0,16.0,3.1,2.2,0.4,1.2,22.2,49.2,24.9,2.1,--,--,11191
Wallaga Lake,4.0,20.0,74.0,97.0,58.0,6.0,2.7,1.9,1.5,7.7,28.6,37.5,22.4,2.3,--,--,14102
Central Tilba,0.0,7.0,38.0,42.0,24.0,4.0,2.8,2.0,0.0,6.1,33.0,36.5,20.9,3.5,--,--,10877
North Narooma,0.0,3.0,42.0,136.0,67.0,7.0,3.1,2.2,0.0,1.2,16.5,53.3,26.3,2.7,--,--,12998
Akolele,0.0,0.0,8.0,16.0,16.0,0.0,3.3,2.6,0.0,0.0,20.0,40.0,40.0,0.0,--,--,10023
Mystery Bay,0.0,3.0,9.0,50.0,14.0,0.0,3.1,2.0,0.0,3.9,11.8,65.8,18.4,0.0,--,--,12883
Goulburn,28.0,307.0,1469.0,3824.0,2569.0,231.0,3.1,2.3,0.3,3.6,17.4,45.4,30.5,2.7,--,--,11725
Run-o-Waters,0.0,0.0,0.0,33.0,115.0,4.0,4.1,2.8,0.0,0.0,0.0,21.7,75.7,2.6,--,--,13440
Marulan,4.0,16.0,53.0,171.0,177.0,13.0,3.2,2.6,0.9,3.7,12.2,39.4,40.8,3.0,--,--,12513
Windellama,5.0,14.0,18.0,58.0,36.0,6.0,2.9,2.3,3.6,10.2,13.1,42.3,26.3,4.4,--,--,14318
Bigga,0.0,3.0,20.0,37.0,30.0,3.0,3.1,2.1,0.0,3.2,21.5,39.8,32.3,3.2,--,--,10346
Tirrannaville,0.0,0.0,10.0,28.0,39.0,3.0,3.5,2.5,0.0,0.0,12.5,35.0,48.8,3.8,--,--,13883
Lake Bathurst,0.0,0.0,12.0,32.0,22.0,3.0,3.3,2.3,0.0,0.0,17.4,46.4,31.9,4.3,--,--,12239
Quialigo,0.0,3.0,7.0,29.0,48.0,5.0,3.6,2.8,0.0,3.3,7.6,31.5,52.2,5.4,--,--,13297
Laggan,0.0,4.0,17.0,45.0,51.0,3.0,3.3,2.7,0.0,3.3,14.2,37.5,42.5,2.5,--,--,12235
Grabben Gullen,0.0,6.0,13.0,34.0,34.0,3.0,3.2,2.5,0.0,6.7,14.4,37.8,37.8,3.3,--,--,11731
Parkesbourne,0.0,3.0,5.0,22.0,29.0,3.0,3.4,2.4,0.0,4.8,8.1,35.5,46.8,4.8,--,--,13152
Yarra,0.0,3.0,6.0,24.0,30.0,0.0,3.3,2.4,0.0,4.8,9.5,38.1,47.6,0.0,--,--,14468
Crookwell,3.0,26.0,162.0,508.0,340.0,28.0,3.2,2.2,0.3,2.4,15.2,47.6,31.9,2.6,--,--,11123
Bungonia,0.0,8.0,15.0,55.0,58.0,5.0,3.3,2.3,0.0,5.7,10.6,39.0,41.1,3.5,--,--,10685
Collector,0.0,8.0,10.0,40.0,43.0,0.0,3.2,2.8,0.0,7.9,9.9,39.6,42.6,0.0,--,--,10972
Middle Arm,0.0,4.0,5.0,46.0,68.0,0.0,3.6,2.7,0.0,3.3,4.1,37.4,55.3,0.0,--,--,12599
Taralga,0.0,13.0,23.0,68.0,50.0,7.0,3.0,2.2,0.0,8.1,14.3,42.2,31.1,4.3,--,--,13759
Tarlo,0.0,0.0,5.0,20.0,33.0,0.0,3.6,2.2,0.0,0.0,8.6,34.5,56.9,0.0,--,--,13767
Wayo,0.0,3.0,3.0,17.0,18.0,0.0,3.4,2.4,0.0,7.3,7.3,41.5,43.9,0.0,--,--,14204
Kingsdale,0.0,3.0,5.0,22.0,33.0,0.0,3.5,2.5,0.0,4.8,7.9,34.9,52.4,0.0,--,--,12155
Bannister (NSW),0.0,0.0,3.0,13.0,24.0,0.0,3.5,2.9,0.0,0.0,7.5,32.5,60.0,0.0,--,--,10183
Brayton,0.0,4.0,7.0,23.0,22.0,0.0,3.2,2.3,0.0,7.1,12.5,41.1,39.3,0.0,--,--,10554
Greenwich Park,0.0,8.0,7.0,21.0,9.0,0.0,3.1,2.5,0.0,17.8,15.6,46.7,20.0,0.0,--,--,11771
Tallong,3.0,5.0,36.0,104.0,140.0,3.0,3.4,2.7,1.0,1.7,12.4,35.7,48.1,1.0,--,--,13733
Carrick (NSW),0.0,3.0,6.0,13.0,18.0,0.0,3.3,2.4,0.0,7.5,15.0,32.5,45.0,0.0,--,--,10828
Brisbane Grove,0.0,0.0,3.0,16.0,19.0,0.0,3.6,2.8,0.0,0.0,7.9,42.1,50.0,0.0,--,--,10577
Binda,0.0,3.0,15.0,40.0,36.0,0.0,3.2,2.3,0.0,3.2,16.0,42.6,38.3,0.0,--,--,10363
Towrang,0.0,4.0,12.0,20.0,28.0,0.0,3.2,2.6,0.0,6.2,18.8,31.2,43.8,0.0,--,--,13930
Mummel,0.0,0.0,0.0,16.0,22.0,0.0,3.8,2.5,0.0,0.0,0.0,42.1,57.9,0.0,--,--,12835
Baw Baw (NSW),0.0,3.0,3.0,32.0,42.0,0.0,3.6,2.6,0.0,3.8,3.8,40.0,52.5,0.0,--,--,10234
Boxers Creek,0.0,0.0,10.0,25.0,39.0,10.0,3.6,2.9,0.0,0.0,11.9,29.8,46.4,11.9,--,--,10541
Gundary,0.0,3.0,5.0,25.0,47.0,0.0,3.6,3.2,0.0,3.8,6.2,31.2,58.7,0.0,--,--,11806
Yass,12.0,44.0,351.0,1028.0,875.0,46.0,3.2,2.5,0.5,1.9,14.9,43.6,37.1,2.0,--,--,14493
Bookham,0.0,0.0,4.0,20.0,27.0,3.0,3.6,2.4,0.0,0.0,7.4,37.0,50.0,5.6,--,--,10478
Binalong,4.0,5.0,27.0,107.0,74.0,0.0,3.1,2.3,1.8,2.3,12.4,49.3,34.1,0.0,--,--,10362
Jugiong,0.0,3.0,11.0,38.0,32.0,0.0,3.2,2.1,0.0,3.6,13.1,45.2,38.1,0.0,--,--,12044
Galong,0.0,3.0,18.0,35.0,28.0,4.0,3.2,2.2,0.0,3.4,20.5,39.8,31.8,4.5,--,--,11580
Manton (NSW),0.0,3.0,9.0,28.0,52.0,0.0,3.6,3.0,0.0,3.3,9.8,30.4,56.5,0.0,--,--,12481
Yass River,0.0,0.0,17.0,38.0,54.0,3.0,3.6,2.6,0.0,0.0,15.2,33.9,48.2,2.7,--,--,14494
Rye Park,0.0,3.0,7.0,41.0,33.0,0.0,3.3,2.6,0.0,3.6,8.3,48.8,39.3,0.0,--,--,13455
Dalton,0.0,7.0,13.0,33.0,18.0,0.0,2.9,2.3,0.0,9.9,18.3,46.5,25.4,0.0,--,--,11194
Gundaroo,4.0,13.0,35.0,138.0,186.0,3.0,3.4,2.8,1.1,3.4,9.2,36.4,49.1,0.8,--,--,11805
Bowning,3.0,3.0,26.0,79.0,95.0,5.0,3.4,2.3,1.4,1.4,12.3,37.4,45.0,2.4,--,--,10535
Bellmount Forest,0.0,0.0,7.0,19.0,21.0,0.0,3.5,2.6,0.0,0.0,14.9,40.4,44.7,0.0,--,--,10274
Gunning,0.0,13.0,56.0,112.0,85.0,7.0,3.1,2.3,0.0,4.8,20.5,41.0,31.1,2.6,--,--,11813
Lade Vale,0.0,7.0,4.0,17.0,18.0,0.0,3.0,2.5,0.0,15.2,8.7,37.0,39.1,0.0,--,--,12232
Good Hope,0.0,0.0,8.0,15.0,25.0,4.0,3.5,2.6,0.0,0.0,15.4,28.8,48.1,7.7,--,--,11700
Wallaroo (NSW),0.0,8.0,18.0,47.0,141.0,5.0,3.8,3.0,0.0,3.7,8.2,21.5,64.4,2.3,--,--,14112
Murrumbateman,4.0,17.0,53.0,244.0,671.0,10.0,3.9,3.1,0.4,1.7,5.3,24.4,67.2,1.0,--,--,12860
Springrange,0.0,6.0,9.0,15.0,57.0,0.0,3.6,3.2,0.0,6.9,10.3,17.2,65.5,0.0,--,--,13625
Jeir,0.0,0.0,5.0,22.0,48.0,5.0,4.0,2.9,0.0,0.0,6.2,27.5,60.0,6.2,--,--,12004
Marchmont,0.0,3.0,0.0,19.0,53.0,0.0,3.9,2.9,0.0,4.0,0.0,25.3,70.7,0.0,--,--,12487
Nanima,0.0,0.0,4.0,16.0,35.0,0.0,3.7,2.8,0.0,0.0,7.3,29.1,63.6,0.0,--,--,12891
Young,15.0,90.0,640.0,1647.0,1331.0,112.0,3.2,2.4,0.4,2.3,16.7,42.9,34.7,2.9,--,--,14518
Kingsvale,0.0,0.0,10.0,26.0,27.0,0.0,3.2,2.3,0.0,0.0,15.9,41.3,42.9,0.0,--,--,12161
