,Married,Separated or divorced,Widowed,Never married,Married (%),Separated or divorced (%),Widowed (%),Never married (%)
Cronulla,5623.0,1967.0,946.0,5715.0,39.4,13.8,6.6,40.1
Croudace Bay,214.0,18.0,12.0,70.0,71.8,6.0,4.0,23.5
Crows Nest,1067.0,368.0,117.0,1361.0,36.4,12.6,4.0,46.4
Croydon,3773.0,607.0,453.0,2640.0,50.5,8.1,6.1,35.3
Croydon Park,4343.0,842.0,554.0,2737.0,51.3,9.9,6.5,32.3
Curl Curl,723.0,138.0,83.0,461.0,51.5,9.8,5.9,32.8
Currans Hill,1737.0,348.0,64.0,841.0,58.5,11.7,2.2,28.3
Daceyville,289.0,229.0,163.0,397.0,26.9,21.3,15.2,36.9
Daleys Point,287.0,33.0,48.0,46.0,70.9,8.1,11.9,11.4
Dapto,4668.0,912.0,619.0,2304.0,54.9,10.7,7.3,27.1
Darling Point,1538.0,487.0,428.0,1321.0,40.8,12.9,11.3,35.0
Darlinghurst,2090.0,1049.0,278.0,5096.0,24.6,12.3,3.3,59.9
Darlington,357.0,175.0,42.0,1319.0,18.7,9.2,2.2,69.1
Davidson,1246.0,126.0,55.0,635.0,60.3,6.1,2.7,30.7
Davistown,785.0,215.0,104.0,412.0,51.9,14.2,6.9,27.2
Dawes Point,96.0,64.0,25.0,139.0,28.5,19.0,7.4,41.2
Dean Park,1263.0,213.0,124.0,764.0,53.5,9.0,5.3,32.4
Dee Why,5862.0,1952.0,862.0,5276.0,42.0,14.0,6.2,37.8
Denistone,1604.0,210.0,197.0,787.0,57.7,7.5,7.1,28.3
Denistone East,960.0,78.0,98.0,408.0,62.3,5.1,6.4,26.5
Denistone West,370.0,17.0,74.0,158.0,58.5,2.7,11.7,25.0
Dharruk,1009.0,249.0,82.0,767.0,47.8,11.8,3.9,36.4
Dolans Bay,551.0,50.0,38.0,248.0,61.4,5.6,4.2,27.6
Dolls Point,453.0,171.0,112.0,320.0,42.6,16.1,10.5,30.1
Doonside,4920.0,1177.0,446.0,3463.0,49.2,11.8,4.5,34.6
Double Bay,1165.0,318.0,189.0,1144.0,41.4,11.3,6.7,40.6
Dover Heights,1575.0,169.0,173.0,783.0,58.3,6.3,6.4,29.0
Drummoyne,4025.0,1033.0,631.0,3148.0,45.6,11.7,7.1,35.6
Dudley,1029.0,171.0,72.0,536.0,57.2,9.5,4.0,29.8
Dulwich Hill,4467.0,1256.0,444.0,4196.0,43.1,12.1,4.3,40.5
Dundas,3957.0,895.0,471.0,2257.0,52.2,11.8,6.2,29.8
Dundas Valley,2946.0,487.0,393.0,1547.0,54.9,9.1,7.3,28.8
Dural,1733.0,266.0,166.0,725.0,59.9,9.2,5.7,25.0
Eagle Vale,2253.0,439.0,128.0,1299.0,55.0,10.7,3.1,31.7
Earlwood,7879.0,1019.0,917.0,4010.0,57.0,7.4,6.6,29.0
East Gosford,1252.0,467.0,362.0,763.0,44.0,16.4,12.7,26.8
East Hills,1077.0,212.0,174.0,579.0,52.9,10.4,8.6,28.5
East Killara,1455.0,100.0,74.0,695.0,62.8,4.3,3.2,30.0
East Lindfield,1651.0,110.0,241.0,650.0,62.1,4.1,9.1,24.5
East Ryde,1105.0,129.0,95.0,485.0,60.5,7.1,5.2,26.6
Eastern Creek,203.0,46.0,36.0,142.0,48.8,11.1,8.7,34.1
Eastlakes,2879.0,671.0,432.0,1724.0,50.5,11.8,7.6,30.3
Eastwood,6259.0,754.0,682.0,3526.0,55.8,6.7,6.1,31.4
Edensor Park,4062.0,518.0,215.0,2201.0,58.1,7.4,3.1,31.5
Edgecliff,771.0,337.0,253.0,1138.0,30.8,13.5,10.1,45.4
Edgeworth,3229.0,601.0,448.0,1670.0,54.3,10.1,7.5,28.1
Elanora Heights,1790.0,228.0,122.0,797.0,60.9,7.8,4.2,27.1
Elderslie,1142.0,239.0,94.0,534.0,56.7,11.9,4.7,26.5
Eleebana,2886.0,297.0,197.0,1106.0,64.3,6.6,4.4,24.7
Elermore Vale,1975.0,389.0,145.0,1174.0,53.7,10.6,3.9,31.9
Elizabeth Bay,1208.0,590.0,297.0,2429.0,26.7,13.0,6.6,53.6
Emerton,710.0,251.0,78.0,578.0,43.5,15.4,4.8,35.4
Empire Bay,626.0,158.0,95.0,277.0,54.2,13.7,8.2,24.0
Emu Heights,1393.0,218.0,83.0,693.0,58.4,9.1,3.5,29.0
Emu Plains,3402.0,704.0,440.0,1975.0,52.2,10.8,6.8,30.3
Enfield,1047.0,174.0,130.0,628.0,52.9,8.8,6.6,31.7
Engadine,8496.0,1095.0,519.0,4096.0,59.8,7.7,3.7,28.8
Enmore,901.0,372.0,109.0,1746.0,28.8,11.9,3.5,55.8
Epping,8050.0,972.0,853.0,4924.0,54.4,6.6,5.8,33.3
Erina,2023.0,434.0,536.0,680.0,54.9,11.8,14.5,18.5
Ermington,4018.0,943.0,693.0,2496.0,49.2,11.6,8.5,30.6
Erskine Park,2998.0,379.0,102.0,1336.0,62.4,7.9,2.1,27.8
Erskineville,1074.0,529.0,122.0,2541.0,25.2,12.4,2.9,59.5
Eschol Park,1080.0,249.0,41.0,708.0,52.1,12.0,2.0,34.2
Ettalong Beach,1417.0,576.0,446.0,922.0,42.1,17.1,13.2,27.4
Fairfield,5867.0,1310.0,759.0,3502.0,51.3,11.5,6.6,30.6
Fairfield East,926.0,206.0,108.0,557.0,52.0,11.6,6.1,31.3
Fairfield Heights,2049.0,474.0,331.0,1347.0,48.9,11.3,7.9,32.1
Fairfield West,4501.0,794.0,404.0,2390.0,55.7,9.8,5.0,29.6
Fairlight,2060.0,540.0,303.0,1673.0,45.0,11.8,6.6,36.5
Fairy Meadow,2614.0,614.0,441.0,1853.0,47.3,11.1,8.0,33.6
Farmborough Heights,1721.0,206.0,88.0,816.0,61.0,7.3,3.1,28.9
Faulconbridge,1682.0,325.0,139.0,846.0,56.3,10.9,4.7,28.3
Fennell Bay,879.0,173.0,99.0,426.0,55.5,10.9,6.3,26.9
Figtree,4949.0,632.0,481.0,2101.0,60.6,7.7,5.9,25.7
Five Dock,3035.0,663.0,499.0,1881.0,50.0,10.9,8.2,31.0
Fletcher,378.0,24.0,0.0,102.0,76.5,4.9,0.0,20.6
Flinders,1160.0,179.0,55.0,456.0,62.3,9.6,3.0,24.5
Floraville,583.0,95.0,38.0,246.0,59.6,9.7,3.9,25.1
Forest Lodge,514.0,233.0,64.0,1249.0,25.2,11.4,3.1,61.3
Forestville,3613.0,485.0,421.0,1486.0,60.2,8.1,7.0,24.8
Forresters Beach,1033.0,184.0,63.0,485.0,58.9,10.5,3.6,27.7
Frenchs Forest,6111.0,670.0,388.0,2433.0,63.7,7.0,4.0,25.3
Garden Suburb,764.0,95.0,51.0,294.0,64.3,8.0,4.3,24.7
Gateshead,1335.0,406.0,216.0,935.0,46.1,14.0,7.5,32.3
Georges Hall,3715.0,463.0,341.0,1880.0,58.0,7.2,5.3,29.4
Georgetown,641.0,205.0,145.0,509.0,43.0,13.7,9.7,34.1
Girraween,1567.0,280.0,165.0,898.0,53.7,9.6,5.7,30.8
Gladesville,4207.0,914.0,618.0,3086.0,47.7,10.4,7.0,35.0
Glebe,2657.0,1302.0,464.0,5126.0,27.8,13.6,4.9,53.7
Glen Alpine,2056.0,134.0,67.0,853.0,66.0,4.3,2.2,27.4
Glenbrook,2197.0,338.0,167.0,1117.0,57.4,8.8,4.4,29.2
Glendale,1276.0,277.0,173.0,708.0,52.4,11.4,7.1,29.1
Glendenning,1955.0,298.0,69.0,805.0,62.4,9.5,2.2,25.7
Glenfield,2606.0,573.0,583.0,1731.0,47.4,10.4,10.6,31.5
Glenhaven,2757.0,202.0,102.0,1174.0,64.9,4.8,2.4,27.6
Glenmore Park,7443.0,980.0,249.0,3224.0,62.5,8.2,2.1,27.1
Glenning Valley,295.0,54.0,21.0,134.0,58.9,10.8,4.2,26.7
Glenwood,4430.0,481.0,130.0,1768.0,65.0,7.1,1.9,26.0
Gordon,2927.0,293.0,397.0,1481.0,57.4,5.8,7.8,29.1
Gorokan,2695.0,925.0,648.0,1544.0,46.4,15.9,11.1,26.6
Gosford,836.0,434.0,193.0,997.0,34.0,17.6,7.8,40.5
Granville,7919.0,1715.0,977.0,5162.0,50.2,10.9,6.2,32.7
Grays Point,1341.0,146.0,46.0,584.0,63.1,6.9,2.2,27.5
Green Point,2851.0,558.0,432.0,1116.0,57.6,11.3,8.7,22.5
Green Valley,4766.0,756.0,274.0,2385.0,58.3,9.2,3.4,29.2
Greenacre,8342.0,1377.0,1169.0,4610.0,53.8,8.9,7.5,29.7
Greenfield Park,2319.0,317.0,150.0,1347.0,55.9,7.6,3.6,32.5
Greenwich,2137.0,427.0,237.0,1682.0,47.7,9.5,5.3,37.6
Greystanes,10039.0,1408.0,776.0,5170.0,57.7,8.1,4.5,29.7
Guildford,4059.0,907.0,619.0,2623.0,49.5,11.1,7.5,32.0
Guildford West,1682.0,333.0,198.0,957.0,53.0,10.5,6.2,30.1
Gwynneville,671.0,132.0,109.0,757.0,39.8,7.8,6.5,44.9
Gymea,2751.0,550.0,378.0,1656.0,51.6,10.3,7.1,31.1
Gymea Bay,3070.0,321.0,244.0,1313.0,62.2,6.5,4.9,26.6
Haberfield,2936.0,435.0,433.0,1737.0,53.0,7.9,7.8,31.4
Halekulani,955.0,268.0,163.0,459.0,51.3,14.4,8.8,24.7
Hamilton,1129.0,486.0,345.0,1520.0,32.4,14.0,9.9,43.6
Hamilton East,376.0,80.0,53.0,311.0,45.9,9.8,6.5,38.0
Hamilton North,236.0,125.0,57.0,269.0,33.4,17.7,8.1,38.0
Hamilton South,1300.0,460.0,277.0,973.0,43.0,15.2,9.2,32.2
Hammondville,1360.0,265.0,292.0,669.0,52.3,10.2,11.2,25.7
Harrington Park,1428.0,143.0,32.0,471.0,68.1,6.8,1.5,22.5
Harris Park,2741.0,722.0,322.0,1839.0,48.8,12.8,5.7,32.7
Hassall Grove,1749.0,258.0,88.0,819.0,60.0,8.9,3.0,28.1
Haymarket,1723.0,332.0,180.0,2336.0,37.7,7.3,3.9,51.1
Heathcote,2721.0,332.0,380.0,1135.0,59.5,7.3,8.3,24.8
Hebersham,2052.0,505.0,150.0,1596.0,47.6,11.7,3.5,37.1
Heckenberg,1008.0,258.0,122.0,773.0,46.7,12.0,5.7,35.8
Henley,202.0,13.0,20.0,90.0,61.4,4.0,6.1,27.4
Highfields,267.0,44.0,45.0,140.0,54.0,8.9,9.1,28.3
Hillsborough,303.0,56.0,40.0,143.0,57.7,10.7,7.6,27.2
Hillsdale,2262.0,530.0,235.0,1596.0,48.8,11.4,5.1,34.4
Hinchinbrook,4322.0,606.0,179.0,1937.0,61.4,8.6,2.5,27.5
Holmesville,622.0,121.0,55.0,326.0,55.7,10.8,4.9,29.2
Holsworthy,1104.0,201.0,27.0,725.0,53.6,9.8,1.3,35.2
Homebush,1815.0,268.0,187.0,1167.0,53.0,7.8,5.5,34.1
Homebush West,1090.0,219.0,109.0,698.0,51.6,10.4,5.2,33.1
Horningsea Park,1210.0,156.0,31.0,522.0,63.1,8.1,1.6,27.2
Hornsby,7584.0,1654.0,951.0,4984.0,50.0,10.9,6.3,32.9
Hornsby Heights,2794.0,343.0,141.0,1296.0,61.1,7.5,3.1,28.3
Horsley,2514.0,282.0,80.0,911.0,66.0,7.4,2.1,23.9
Hoxton Park,1373.0,221.0,62.0,680.0,58.7,9.4,2.7,29.1
Hunters Hill,3328.0,551.0,766.0,2427.0,47.1,7.8,10.8,34.3
Huntleys Point,85.0,6.0,3.0,37.0,59.9,4.2,2.1,26.1
Hurlstone Park,2087.0,409.0,211.0,1430.0,50.4,9.9,5.1,34.5
Hurstville,8687.0,1486.0,924.0,5483.0,52.4,9.0,5.6,33.1
Hurstville Grove,1100.0,93.0,91.0,486.0,61.8,5.2,5.1,27.3
Illawong,3694.0,284.0,222.0,1671.0,62.8,4.8,3.8,28.4
Ingleburn,5645.0,1339.0,589.0,3562.0,50.7,12.0,5.3,32.0
Ingleside,388.0,79.0,98.0,217.0,49.7,10.1,12.5,27.8
Islington,303.0,224.0,95.0,602.0,24.7,18.3,7.7,49.1
Jamisontown,1792.0,513.0,225.0,1388.0,45.8,13.1,5.8,35.5
Jannali,2065.0,441.0,296.0,1176.0,51.8,11.1,7.4,29.5
Jesmond,710.0,233.0,198.0,861.0,35.6,11.7,9.9,43.1
Jewells,1286.0,135.0,71.0,572.0,61.7,6.5,3.4,27.5
Kahibah,1069.0,197.0,130.0,519.0,55.2,10.2,6.7,26.8
Kanahooka,2311.0,290.0,246.0,842.0,62.5,7.8,6.7,22.8
Kangaroo Point,317.0,9.0,12.0,153.0,65.8,1.9,2.5,31.7
Kanwal,1591.0,362.0,188.0,615.0,57.9,13.2,6.8,22.4
Kareela,1371.0,117.0,77.0,587.0,63.7,5.4,3.6,27.3
Kariong,2538.0,452.0,122.0,915.0,63.3,11.3,3.0,22.8
Kearns,1190.0,149.0,59.0,549.0,60.3,7.6,3.0,27.8
Keiraville,1398.0,231.0,180.0,1047.0,49.0,8.1,6.3,36.7
Kellyville,6476.0,566.0,253.0,2388.0,66.9,5.8,2.6,24.7
Kembla Grange,65.0,15.0,3.0,35.0,54.6,12.6,2.5,29.4
Kensington,3242.0,650.0,342.0,5185.0,34.4,6.9,3.6,55.1
Kilaben Bay,579.0,94.0,41.0,246.0,59.5,9.7,4.2,25.3
Killara,3674.0,330.0,460.0,1821.0,58.5,5.3,7.3,29.0
Killarney Heights,2102.0,155.0,138.0,831.0,65.0,4.8,4.3,25.7
Killarney Vale,2757.0,746.0,596.0,1491.0,49.4,13.4,10.7,26.7
Kincumber,2802.0,546.0,650.0,1146.0,54.5,10.6,12.6,22.3
Kincumber South,258.0,108.0,80.0,107.0,47.0,19.7,14.6,19.5
Kings Langley,4501.0,551.0,282.0,2255.0,59.3,7.3,3.7,29.7
Kings Park,1516.0,303.0,71.0,895.0,54.7,10.9,2.6,32.3
Kingsford,5201.0,874.0,627.0,5570.0,42.4,7.1,5.1,45.4
Kingsgrove,5071.0,618.0,684.0,2669.0,56.1,6.8,7.6,29.5
Kingswood,2857.0,975.0,371.0,2558.0,42.2,14.4,5.5,37.8
Kirrawee,4198.0,795.0,502.0,2298.0,53.9,10.2,6.4,29.5
Kirribilli,1041.0,446.0,212.0,1580.0,31.8,13.6,6.5,48.2
Kogarah,4521.0,990.0,688.0,2811.0,50.2,11.0,7.6,31.2
Kogarah Bay,890.0,111.0,104.0,417.0,58.4,7.3,6.8,27.4
Koolewong,336.0,86.0,44.0,194.0,52.6,13.5,6.9,30.4
Koonawarra,1446.0,326.0,109.0,916.0,51.7,11.7,3.9,32.7
Kotara,1805.0,328.0,204.0,740.0,58.7,10.7,6.6,24.1
Kotara South,527.0,79.0,63.0,255.0,56.8,8.5,6.8,27.5
Kurnell,785.0,248.0,83.0,516.0,48.1,15.2,5.1,31.6
Kyeemagh,425.0,59.0,59.0,171.0,60.0,8.3,8.3,24.2
Kyle Bay,622.0,48.0,48.0,255.0,63.7,4.9,4.9,26.1
La Perouse,143.0,34.0,15.0,137.0,43.6,10.4,4.6,41.8
Lake Haven,1450.0,355.0,335.0,602.0,52.6,12.9,12.2,21.8
Lake Heights,1552.0,341.0,222.0,876.0,52.1,11.4,7.4,29.4
Lake Illawarra,1190.0,402.0,241.0,807.0,45.0,15.2,9.1,30.5
Lakelands,754.0,83.0,49.0,264.0,66.9,7.4,4.3,23.4
Lakemba,5900.0,1272.0,649.0,3092.0,54.1,11.7,5.9,28.3
Lalor Park,2688.0,838.0,463.0,1807.0,46.4,14.5,8.0,31.2
Lambton,1678.0,502.0,322.0,1138.0,46.1,13.8,8.8,31.3
Lane Cove,3072.0,806.0,587.0,2304.0,45.4,11.9,8.7,34.0
Lane Cove North,3138.0,793.0,430.0,2896.0,43.3,10.9,5.9,39.9
Lane Cove West,911.0,162.0,92.0,497.0,54.7,9.7,5.5,29.9
Lansvale,1031.0,220.0,98.0,533.0,54.5,11.6,5.2,28.2
Lapstone,477.0,52.0,23.0,163.0,65.0,7.1,3.1,22.2
Lavender Bay,353.0,119.0,18.0,521.0,34.7,11.7,1.8,51.2
Leichhardt,3841.0,1396.0,532.0,5110.0,35.3,12.8,4.9,47.0
Leonay,1285.0,146.0,84.0,557.0,62.4,7.1,4.1,27.0
Lethbridge Park,1473.0,585.0,191.0,1276.0,41.8,16.6,5.4,36.2
Leumeah,3592.0,861.0,342.0,2352.0,50.3,12.0,4.8,32.9
Lewisham,853.0,323.0,135.0,1180.0,34.4,13.0,5.4,47.5
Liberty Grove,578.0,86.0,24.0,435.0,50.7,7.5,2.1,38.2
Lidcombe,5360.0,823.0,560.0,3518.0,52.2,8.0,5.5,34.2
Lilli Pilli,1066.0,88.0,68.0,460.0,63.4,5.2,4.0,27.4
Lilyfield,2248.0,808.0,423.0,2415.0,38.1,13.7,7.2,41.0
Lindfield,3532.0,404.0,615.0,1903.0,54.7,6.3,9.5,29.5
Linley Point,177.0,39.0,12.0,69.0,60.8,13.4,4.1,23.7
Lisarow,1969.0,371.0,155.0,840.0,58.8,11.1,4.6,25.1
Little Bay,782.0,136.0,144.0,483.0,50.6,8.8,9.3,31.2
Liverpool,8262.0,1898.0,1022.0,4900.0,51.4,11.8,6.4,30.5
Loftus,1899.0,207.0,158.0,809.0,61.7,6.7,5.1,26.3
Long Jetty,1889.0,714.0,497.0,1251.0,43.3,16.4,11.4,28.7
Long Point,135.0,27.0,6.0,97.0,46.9,9.4,2.1,33.7
Longueville,987.0,56.0,87.0,446.0,62.5,3.5,5.5,28.2
Lugarno,2843.0,266.0,207.0,1104.0,64.2,6.0,4.7,24.9
Lurnea,3060.0,754.0,382.0,1828.0,50.8,12.5,6.3,30.4
Macquarie Fields,4563.0,1424.0,447.0,3476.0,46.0,14.4,4.5,35.1
Macquarie Hills,1141.0,188.0,53.0,545.0,59.6,9.8,2.8,28.5
Macquarie Links,159.0,3.0,16.0,65.0,63.9,1.2,6.4,26.1
Macquarie Park,1807.0,639.0,410.0,2545.0,33.5,11.9,7.6,47.2
Malabar,1779.0,415.0,247.0,1431.0,45.9,10.7,6.4,36.9
Mangerton,1038.0,232.0,158.0,592.0,51.0,11.4,7.8,29.1
Manly,4594.0,1540.0,922.0,5490.0,36.6,12.3,7.3,43.7
Manly Vale,1867.0,492.0,279.0,1415.0,46.0,12.1,6.9,34.9
Marayong,2777.0,573.0,415.0,1740.0,50.5,10.4,7.5,31.6
Mardi,979.0,221.0,95.0,506.0,54.8,12.4,5.3,28.3
Marks Point,595.0,241.0,147.0,414.0,42.5,17.2,10.5,29.6
Marmong Point,196.0,34.0,25.0,49.0,59.6,10.3,7.6,14.9
Maroubra,9454.0,2179.0,1485.0,8369.0,44.0,10.1,6.9,39.0
Marrickville,8651.0,2460.0,1167.0,8484.0,41.7,11.9,5.6,40.9
Marsfield,4585.0,878.0,530.0,3710.0,47.3,9.1,5.5,38.3
Maryland,2952.0,508.0,121.0,1346.0,59.9,10.3,2.5,27.3
Maryville,238.0,151.0,77.0,416.0,26.8,17.0,8.7,46.8
Mascot,3391.0,690.0,381.0,2136.0,51.4,10.5,5.8,32.4
Matraville,3514.0,693.0,565.0,2278.0,49.9,9.8,8.0,32.3
Mayfield,2616.0,1104.0,759.0,2923.0,35.4,14.9,10.3,39.5
Mayfield East,380.0,223.0,93.0,503.0,31.6,18.5,7.7,41.8
Mayfield West,595.0,216.0,127.0,492.0,41.7,15.1,8.9,34.5
Mays Hill,276.0,46.0,27.0,171.0,52.7,8.8,5.2,32.6
McMahons Point,728.0,253.0,77.0,865.0,37.6,13.1,4.0,44.6
Meadowbank,711.0,240.0,86.0,787.0,39.0,13.2,4.7,43.2
Melrose Park,841.0,139.0,84.0,485.0,54.3,9.0,5.4,31.3
Menai,4673.0,684.0,203.0,1879.0,62.9,9.2,2.7,25.3
Merewether,3594.0,933.0,665.0,3169.0,42.9,11.1,7.9,37.9
Merewether Heights,708.0,69.0,36.0,235.0,66.8,6.5,3.4,22.2
Merrylands,7938.0,1603.0,1011.0,4935.0,51.2,10.3,6.5,31.9
Merrylands West,2045.0,514.0,476.0,1360.0,46.4,11.7,10.8,30.9
Middle Cove,453.0,57.0,63.0,184.0,59.2,7.5,8.2,24.1
Miller,954.0,369.0,158.0,830.0,40.9,15.8,6.8,35.6
Millers Point,379.0,180.0,74.0,432.0,34.9,16.6,6.8,39.8
Milperra,1951.0,223.0,103.0,924.0,61.2,7.0,3.2,29.0
Milsons Point,595.0,116.0,35.0,437.0,50.0,9.7,2.9,36.7
Minchinbury,2290.0,283.0,89.0,967.0,63.2,7.8,2.5,26.7
Minmi,296.0,38.0,12.0,107.0,65.3,8.4,2.6,23.6
Minto,3589.0,1106.0,325.0,2945.0,45.1,13.9,4.1,37.0
Miranda,5145.0,1148.0,795.0,3226.0,49.9,11.1,7.7,31.3
Mona Vale,3961.0,825.0,698.0,2240.0,51.3,10.7,9.0,29.0
Monterey,1713.0,417.0,276.0,1032.0,49.7,12.1,8.0,29.9
Moorebank,2702.0,440.0,216.0,1603.0,54.5,8.9,4.4,32.4
Mortdale,3604.0,877.0,524.0,2590.0,47.5,11.6,6.9,34.1
Mortlake,171.0,50.0,17.0,86.0,52.8,15.4,5.2,26.5
Mosman,10013.0,2307.0,1352.0,7004.0,48.4,11.2,6.5,33.9
Mount Annan,2991.0,352.0,89.0,1133.0,65.3,7.7,1.9,24.7
Mount Colah,3189.0,384.0,196.0,1319.0,62.6,7.5,3.8,25.9
Mount Druitt,4564.0,977.0,423.0,2724.0,52.6,11.2,4.9,31.4
Mount Hutton,1122.0,309.0,203.0,669.0,49.0,13.5,8.9,29.2
Mount Keira,716.0,65.0,26.0,296.0,64.9,5.9,2.4,26.8
Mount Kembla,416.0,50.0,25.0,190.0,60.5,7.3,3.6,27.6
Mount Lewis,427.0,83.0,59.0,257.0,51.0,9.9,7.0,30.7
Mount Ousley,820.0,115.0,107.0,362.0,58.4,8.2,7.6,25.8
Mount Pleasant,464.0,44.0,46.0,190.0,62.8,6.0,6.2,25.7
Mount Pritchard,3556.0,720.0,433.0,2187.0,51.6,10.5,6.3,31.8
Mount Riverview,1491.0,187.0,106.0,686.0,60.0,7.5,4.3,27.6
Mount Saint Thomas,611.0,173.0,96.0,355.0,50.6,14.3,7.9,29.4
Mount Warrigal,2498.0,407.0,226.0,1270.0,56.8,9.3,5.1,28.9
Narara,3329.0,684.0,261.0,1785.0,54.9,11.3,4.3,29.4
Narellan,1472.0,286.0,123.0,827.0,54.4,10.6,4.5,30.5
Narellan Vale,2981.0,485.0,97.0,1206.0,62.6,10.2,2.0,25.3
Naremburn,1842.0,508.0,167.0,1592.0,44.8,12.4,4.1,38.7
Narrabeen,2235.0,763.0,840.0,1799.0,39.6,13.5,14.9,31.9
Narraweena,2219.0,423.0,419.0,1185.0,52.2,9.9,9.9,27.9
Narwee,1727.0,356.0,314.0,897.0,52.6,10.8,9.6,27.3
Neutral Bay,2966.0,1116.0,344.0,4343.0,33.8,12.7,3.9,49.5
New Lambton,3497.0,932.0,698.0,2241.0,47.5,12.7,9.5,30.4
New Lambton Heights,1367.0,173.0,136.0,562.0,61.2,7.7,6.1,25.2
Newcastle,506.0,201.0,170.0,726.0,31.6,12.5,10.6,45.3
Newcastle East,251.0,148.0,50.0,386.0,30.2,17.8,6.0,46.5
Newcastle West,65.0,42.0,0.0,73.0,42.5,27.5,0.0,47.7
Newington,1173.0,187.0,19.0,1370.0,42.4,6.8,0.7,49.5
Newport,3896.0,818.0,419.0,2120.0,53.7,11.3,5.8,29.2
Newtown,2912.0,1182.0,328.0,6833.0,25.9,10.5,2.9,60.7
Niagara Park,923.0,209.0,82.0,533.0,53.2,12.1,4.7,30.7
Norah Head,508.0,69.0,83.0,244.0,54.8,7.4,9.0,26.3
Noraville,964.0,263.0,213.0,561.0,48.7,13.3,10.8,28.3
Normanhurst,1916.0,276.0,333.0,1036.0,53.8,7.7,9.3,29.1
North Avoca,940.0,171.0,60.0,530.0,54.8,10.0,3.5,30.9
North Balgowlah,1374.0,227.0,145.0,654.0,57.0,9.4,6.0,27.1
North Bondi,2789.0,708.0,356.0,3056.0,40.4,10.2,5.2,44.2
North Curl Curl,1352.0,262.0,150.0,779.0,53.3,10.3,5.9,30.7
North Epping,2021.0,205.0,184.0,898.0,61.4,6.2,5.6,27.3
North Gosford,1215.0,349.0,165.0,764.0,48.6,14.0,6.6,30.6
North Lambton,1130.0,248.0,190.0,894.0,45.6,10.0,7.7,36.1
North Manly,1177.0,181.0,165.0,603.0,55.5,8.5,7.8,28.4
North Narrabeen,2296.0,440.0,206.0,1363.0,53.4,10.2,4.8,31.7
North Parramatta,2881.0,916.0,513.0,2900.0,40.0,12.7,7.1,40.2
North Rocks,3590.0,360.0,293.0,1630.0,61.2,6.1,5.0,27.8
North Ryde,4394.0,632.0,607.0,2375.0,54.8,7.9,7.6,29.6
North St Marys,1265.0,423.0,173.0,948.0,44.7,15.0,6.1,33.5
North Strathfield,1251.0,229.0,111.0,933.0,49.7,9.1,4.4,37.1
North Sydney,1719.0,565.0,298.0,2461.0,34.1,11.2,5.9,48.9
North Turramurra,1789.0,191.0,502.0,610.0,58.0,6.2,16.3,19.8
North Wahroonga,1144.0,73.0,46.0,497.0,64.5,4.1,2.6,28.0
North Willoughby,1562.0,301.0,192.0,1020.0,51.0,9.8,6.3,33.3
North Wollongong,523.0,160.0,107.0,1075.0,28.0,8.6,5.7,57.5
Northbridge,2632.0,328.0,325.0,1244.0,58.2,7.3,7.2,27.5
Northmead,2878.0,562.0,314.0,1597.0,53.8,10.5,5.9,29.9
Northwood,461.0,40.0,45.0,185.0,63.1,5.5,6.2,25.3
Oak Flats,2893.0,488.0,299.0,1435.0,56.5,9.5,5.8,28.0
Oakhurst,2595.0,414.0,124.0,1196.0,59.9,9.6,2.9,27.6
Oatlands,2230.0,296.0,247.0,1089.0,57.7,7.7,6.4,28.2
Oatley,4374.0,547.0,586.0,2107.0,57.4,7.2,7.7,27.7
Old Guildford,882.0,151.0,98.0,461.0,55.2,9.5,6.1,28.9
Old Toongabbie,1997.0,482.0,263.0,1151.0,51.3,12.4,6.8,29.6
Ourimbah,1012.0,248.0,68.0,594.0,52.2,12.8,3.5,30.6
Oxley Park,843.0,278.0,121.0,653.0,44.5,14.7,6.4,34.4
Oyster Bay,2557.0,306.0,188.0,1153.0,60.7,7.3,4.5,27.4
Paddington,3410.0,1194.0,389.0,5270.0,33.2,11.6,3.8,51.3
Padstow,5162.0,948.0,816.0,2862.0,52.8,9.7,8.3,29.3
Padstow Heights,1632.0,213.0,287.0,652.0,58.9,7.7,10.4,23.5
Pagewood,1438.0,277.0,230.0,829.0,52.0,10.0,8.3,30.0
Palm Beach,769.0,139.0,107.0,314.0,58.2,10.5,8.1,23.8
Panania,4708.0,809.0,672.0,2342.0,55.2,9.5,7.9,27.4
Parramatta,6856.0,1751.0,765.0,5613.0,45.7,11.7,5.1,37.4
Peakhurst,3491.0,615.0,724.0,1729.0,53.3,9.4,11.1,26.4
Peakhurst Heights,1227.0,138.0,101.0,491.0,62.9,7.1,5.2,25.2
Pearl Beach,54.0,36.0,25.0,28.0,39.1,26.1,18.1,20.3
Pelican,366.0,65.0,46.0,163.0,55.6,9.9,7.0,24.8
Pendle Hill,3648.0,804.0,685.0,2201.0,49.7,10.9,9.3,30.0
Pennant Hills,2832.0,347.0,363.0,1436.0,56.9,7.0,7.3,28.9
Penrith,3739.0,1405.0,927.0,3382.0,39.6,14.9,9.8,35.8
Penrose,619.0,131.0,44.0,326.0,55.0,11.6,3.9,29.0
Penshurst,4503.0,943.0,606.0,2727.0,51.3,10.7,6.9,31.0
Petersham,1969.0,668.0,219.0,2851.0,34.5,11.7,3.8,49.9
