,Married,Separated or divorced,Widowed,Never married,Married (%),Separated or divorced (%),Widowed (%),Never married (%)
Valentine,2627.0,317.0,163.0,921.0,65.2,7.9,4.0,22.8
Valley Heights,633.0,83.0,48.0,290.0,59.7,7.8,4.5,27.4
Vaucluse,3883.0,666.0,429.0,2204.0,54.1,9.3,6.0,30.7
Villawood,2277.0,743.0,506.0,1695.0,43.6,14.2,9.7,32.4
Voyager Point,415.0,27.0,9.0,98.0,76.6,5.0,1.7,18.1
Wahroonga,6963.0,694.0,1008.0,3442.0,57.5,5.7,8.3,28.4
Waitara,561.0,195.0,140.0,491.0,40.7,14.1,10.2,35.6
Wakeley,2151.0,292.0,148.0,1166.0,57.1,7.8,3.9,31.0
Wallsend,4558.0,1131.0,896.0,2712.0,49.0,12.2,9.6,29.2
Wamberal,2382.0,458.0,256.0,1231.0,54.9,10.6,5.9,28.4
Warabrook,802.0,164.0,173.0,507.0,48.5,9.9,10.5,30.7
Waratah,1330.0,535.0,602.0,1304.0,35.5,14.3,16.1,34.8
Waratah West,1105.0,226.0,152.0,831.0,47.8,9.8,6.6,36.0
Wareemba,619.0,117.0,94.0,382.0,50.9,9.6,7.7,31.4
Warilla,2043.0,664.0,430.0,1356.0,45.5,14.8,9.6,30.2
Warners Bay,2819.0,689.0,408.0,1421.0,52.9,12.9,7.7,26.7
Warrawee,1243.0,79.0,60.0,513.0,66.2,4.2,3.2,27.3
Warrawong,1901.0,480.0,407.0,1175.0,48.0,12.1,10.3,29.7
Warriewood,1323.0,261.0,107.0,744.0,54.6,10.8,4.4,30.7
Warrimoo,962.0,168.0,74.0,509.0,56.4,9.8,4.3,29.8
Warwick Farm,1584.0,618.0,313.0,1124.0,43.7,17.0,8.6,31.0
Watanobbi,1181.0,349.0,109.0,645.0,51.6,15.2,4.8,28.2
Waterloo,1100.0,1012.0,536.0,1798.0,24.8,22.8,12.1,40.5
Watsons Bay,238.0,67.0,40.0,228.0,41.9,11.8,7.0,40.1
Wattle Grove,4253.0,497.0,148.0,1704.0,64.4,7.5,2.2,25.8
Waverley,1063.0,364.0,418.0,1235.0,34.5,11.8,13.6,40.0
Waverton,1156.0,311.0,139.0,1256.0,40.4,10.9,4.9,43.9
Wentworthville,3683.0,916.0,495.0,2488.0,48.6,12.1,6.5,32.8
Werrington,1102.0,441.0,115.0,1071.0,40.6,16.2,4.2,39.4
Werrington County,1756.0,289.0,90.0,1062.0,54.8,9.0,2.8,33.1
Werrington Downs,1457.0,250.0,54.0,823.0,56.3,9.7,2.1,31.8
West Gosford,688.0,132.0,216.0,332.0,49.9,9.6,15.7,24.1
West Hoxton,2148.0,203.0,70.0,882.0,64.7,6.1,2.1,26.6
West Pennant Hills,7656.0,540.0,496.0,3542.0,62.6,4.4,4.1,28.9
West Pymble,2286.0,233.0,230.0,827.0,63.9,6.5,6.4,23.1
West Ryde,4501.0,866.0,557.0,2943.0,50.8,9.8,6.3,33.2
West Wallsend,622.0,148.0,83.0,380.0,50.6,12.0,6.7,30.9
West Wollongong,1869.0,381.0,235.0,1213.0,50.7,10.3,6.4,32.9
Westleigh,2050.0,177.0,103.0,919.0,63.2,5.5,3.2,28.3
Westmead,3733.0,832.0,669.0,2933.0,45.7,10.2,8.2,35.9
Wetherill Park,2889.0,360.0,184.0,1643.0,56.9,7.1,3.6,32.4
Whalan,1798.0,641.0,252.0,1618.0,41.7,14.9,5.8,37.6
Whitebridge,1082.0,163.0,88.0,491.0,59.5,9.0,4.8,27.0
Wickham,137.0,109.0,37.0,287.0,24.0,19.1,6.5,50.4
Wiley Park,3353.0,838.0,248.0,2041.0,51.7,12.9,3.8,31.5
Willmot,716.0,253.0,100.0,688.0,40.6,14.4,5.7,39.0
Willoughby,2173.0,457.0,319.0,1434.0,49.5,10.4,7.3,32.7
Willoughby East,746.0,115.0,81.0,318.0,60.0,9.3,6.5,25.6
Windale,835.0,386.0,193.0,790.0,37.9,17.5,8.8,35.9
Windang,1072.0,301.0,182.0,457.0,53.8,15.1,9.1,22.9
Winmalee,2865.0,393.0,200.0,1317.0,60.1,8.2,4.2,27.6
Winston Hills,4294.0,555.0,423.0,1955.0,59.5,7.7,5.9,27.1
Wollongong,4319.0,1558.0,970.0,5190.0,35.9,12.9,8.1,43.1
Wollstonecraft,2584.0,791.0,327.0,3287.0,37.0,11.3,4.7,47.1
Wombarra,337.0,53.0,52.0,221.0,49.7,7.8,7.7,32.6
Woodbine,1170.0,190.0,61.0,684.0,55.9,9.1,2.9,32.7
Woodcroft,2271.0,225.0,124.0,1049.0,61.8,6.1,3.4,28.6
Woodpark,572.0,70.0,48.0,285.0,58.2,7.1,4.9,29.0
Woodrising,615.0,117.0,24.0,259.0,60.8,11.6,2.4,25.6
