,Both parents born overseas,Father only born overseas,Mother only born overseas,Both parents born in Australia,Both parents born overseas (%),Father only born overseas (%),Mother only born overseas (%),Both parents born in Australia (%),SSC_CODE
Nimmitabel,35.0,12.0,26.0,233.0,10.8,3.7,8.0,71.9,12966
Numeralla,34.0,12.0,13.0,160.0,13.0,4.6,5.0,61.3,13039
Colinton (NSW),33.0,11.0,9.0,61.0,26.8,8.9,7.3,49.6,10968
Dairymans Plains,40.0,6.0,5.0,98.0,26.3,3.9,3.3,64.5,11188
Binjura,52.0,31.0,16.0,200.0,16.1,9.6,5.0,62.1,10370
Bunyan,19.0,8.0,3.0,105.0,13.0,5.5,2.1,71.9,10691
Bredbo,40.0,18.0,14.0,234.0,11.5,5.2,4.0,67.2,10559
Berridale,159.0,83.0,67.0,810.0,13.3,6.9,5.6,67.7,10316
Kalkite,46.0,19.0,11.0,120.0,21.9,9.0,5.2,57.1,12052
Crackenback,38.0,12.0,12.0,109.0,19.7,6.2,6.2,56.5,11103
Jindabyne,459.0,208.0,171.0,1527.0,17.5,7.9,6.5,58.1,12030
East Jindabyne,125.0,71.0,30.0,419.0,17.8,10.1,4.3,59.8,11352
Dalgety,34.0,19.0,8.0,135.0,16.4,9.2,3.9,65.2,11190
Moonbah,70.0,49.0,30.0,396.0,12.2,8.5,5.2,68.8,12698
Catalina,391.0,122.0,100.0,1548.0,16.8,5.2,4.3,66.4,10853
Batemans Bay,250.0,64.0,58.0,949.0,16.3,4.2,3.8,62.0,10229
Nelligen,50.0,15.0,14.0,231.0,15.0,4.5,4.2,69.2,12920
Long Beach,276.0,94.0,53.0,948.0,19.1,6.5,3.7,65.6,12376
Benandarah,19.0,10.0,11.0,90.0,11.2,5.9,6.5,53.3,10287
North Batemans Bay,122.0,31.0,19.0,342.0,22.1,5.6,3.4,61.8,12982
Surfside,204.0,79.0,33.0,945.0,14.9,5.8,2.4,69.2,13698
Maloneys Beach,77.0,9.0,14.0,253.0,21.0,2.5,3.8,69.1,12460
Lilli Pilli (Eurobodalla - NSW),114.0,39.0,25.0,395.0,18.2,6.2,4.0,63.0,12321
Malua Bay,360.0,102.0,77.0,1216.0,18.6,5.3,4.0,62.9,12461
Surf Beach (NSW),344.0,121.0,76.0,1146.0,18.3,6.4,4.0,61.0,13697
Denhams Beach,125.0,50.0,25.0,364.0,19.4,7.8,3.9,56.4,11236
Sunshine Bay,220.0,79.0,54.0,790.0,18.1,6.5,4.4,64.9,13695
Rosedale (NSW),41.0,11.0,21.0,132.0,18.0,4.8,9.2,57.9,13407
Batehaven,318.0,108.0,71.0,1142.0,17.9,6.1,4.0,64.3,10228
Bega,431.0,240.0,194.0,3418.0,9.2,5.1,4.2,73.3,10253
Tathra,206.0,86.0,69.0,1171.0,12.3,5.1,4.1,69.8,13774
Kalaru,91.0,42.0,42.0,455.0,12.9,5.9,5.9,64.3,12051
Wallagoot,83.0,33.0,31.0,312.0,16.0,6.4,6.0,60.1,14103
Bournda,17.0,7.0,15.0,83.0,10.9,4.5,9.6,53.2,10524
Black Range (NSW),17.0,9.0,5.0,147.0,8.1,4.3,2.4,70.0,10388
Tarraganda,39.0,11.0,12.0,261.0,11.6,3.3,3.6,77.7,13768
