,Catholic,Eastern Orthodox,Anglican,No Religion,Assyrian Apostolic,Presbyterian and Reformed,Hinduism,Uniting Church,Islam,Latter Day Saints,Buddhism,"Christian, nfd",Baptist,Pentecostal,Judaism,Oriental Orthodox,Sikhism,Jehovah's Witnesses,Catholic (%),Eastern Orthodox (%),Anglican (%),No Religion (%),Assyrian Apostolic (%),Presbyterian and Reformed (%),Hinduism (%),Uniting Church (%),Islam (%),Latter Day Saints (%),Buddhism (%),"Christian, nfd (%)",Baptist (%),Pentecostal (%),Judaism (%),Oriental Orthodox (%),Sikhism (%),Jehovah's Witnesses (%)
Darlinghurst,"1,474",,950,"2,166",,,,144,,,277,,,,,,,,14.6,,9.4,21.4,,,,1.4,,,2.7,,,,,,,
Darlington,330,,157,728,,,,50,,,81,,,,,,,,15.1,,7.2,33.3,,,,2.3,,,3.7,,,,,,,
Davidson,643,,728,411,,80,,120,,,,,,,,,,,26.5,,30.0,17.0,,3.3,,5.0,,,,,,,,,,
Davistown,624,,775,342,,98,,124,,,,,,,,,,,27.2,,33.7,14.9,,4.3,,5.4,,,,,,,,,,
Dawes Point,112,,120,117,,18,,19,,,,,,,,,,,14.6,,15.7,15.3,,2.4,,2.5,,,,,,,,,,
Dean Park,"1,198",170,532,253,,,,,160,,,,,,,,,,38.5,5.5,17.1,8.1,,,,,5.1,,,,,,,,,
Dee Why,"4,608",699,"3,251","3,332",,,,599,,,,,,,,,,,26.4,4.0,18.6,19.1,,,,3.4,,,,,,,,,,
Denistone,"1,176",,569,592,,147,,173,,,,,,,,,,,34.2,,16.6,17.2,,4.3,,5.0,,,,,,,,,,
Denistone East,721,,312,372,,87,,92,,,,,,,,,,,35.5,,15.4,18.3,,4.3,,4.5,,,,,,,,,,
Denistone West,236,33,121,106,,,,35,,,,,,,,,,,31.2,4.4,16.0,14.0,,,,4.6,,,,,,,,,,
Dharruk,940,,515,263,,,,122,201,,,,,,,,,,33.5,,18.4,9.4,,,,4.4,7.2,,,,,,,,,
Dolans Bay,385,63,327,149,,,,70,,,,,,,,,,,31.4,5.1,26.6,12.1,,,,5.7,,,,,,,,,,
Dolls Point,448,249,291,189,,52,,,,,,,,,,,,,26.9,15.0,17.5,11.4,,3.1,,,,,,,,,,,,
Doonside,"4,613",,"2,104","1,185",,,580,,540,,,,,,,,,,35.4,,16.1,9.1,,,4.5,,4.1,,,,,,,,,
Double Bay,973,147,"1,035",824,,,,,,,,,,,598,,,,20.7,3.1,22.0,17.5,,,,,,,,,,,12.7,,,
Dover Heights,451,219,230,312,,,,,,,,,,,"1,942",,,,11.5,5.6,5.9,7.9,,,,,,,,,,,49.4,,,
Drummoyne,"3,510",579,"1,813","1,642",,424,,,,,,,,,,,,,33.8,5.6,17.5,15.8,,4.1,,,,,,,,,,,,
Dudley,549,,599,421,,83,,202,,,,,,,,,,,24.5,,26.8,18.8,,3.7,,9.0,,,,,,,,,,
Dulwich Hill,"3,624","1,313","1,122","2,346",,,,,,,506,,,,,,,,29.7,10.8,9.2,19.2,,,,,,,4.1,,,,,,,
Dundas,"2,790",,"1,409","1,720",,395,,406,,,,,,,,,,,28.8,,14.6,17.8,,4.1,,4.2,,,,,,,,,,
Dundas Valley,"1,820",,882,"1,062",,,,332,,,246,,,,,,,,29.1,,14.1,17.0,,,,5.3,,,3.9,,,,,,,
Dural,"2,221",,"1,629",900,,200,,373,,,,,,,,,,,31.5,,23.1,12.8,,2.8,,5.3,,,,,,,,,,
Eagle Vale,"1,975",,"1,226",559,,,,,317,,164,,,,,,,,35.3,,21.9,10.0,,,,,5.7,,2.9,,,,,,,
Earlwood,"5,528","4,681","1,101","1,435",,,,,520,,,,,,,,,,33.4,28.3,6.6,8.7,,,,,3.1,,,,,,,,,
East Gosford,"1,015",,875,473,,125,,187,,,,,,,,,,,28.9,,24.9,13.5,,3.6,,5.3,,,,,,,,,,
East Hills,735,118,713,287,,,,95,,,,,,,,,,,28.5,4.6,27.7,11.1,,,,3.7,,,,,,,,,,
East Killara,577,,501,666,,,,180,,,161,,,,,,,,20.3,,17.6,23.4,,,,6.3,,,5.7,,,,,,,
East Lindfield,781,,926,666,,,,176,,,,,,,172,,,,21.7,,25.7,18.5,,,,4.9,,,,,,,4.8,,,
East Ryde,803,80,417,383,,,,105,,,,,,,,,,,35.7,3.6,18.5,17.0,,,,4.7,,,,,,,,,,
Eastern Creek,212,18,102,80,,,,,,,,,,15,,,,,38.8,3.3,18.7,14.7,,,,,,,,,,2.7,,,,
Eastlakes,"1,822",858,467,633,,,,,"1,152",,,,,,,,,,27.6,13.0,7.1,9.6,,,,,17.4,,,,,,,,,
Eastwood,"3,480",,"1,695","3,246",,688,,,,,834,,,,,,,,24.1,,11.7,22.5,,4.8,,,,,5.8,,,,,,,
Edensor Park,"4,614",537,467,435,,,,,,,"1,480",,,,,,,,49.6,5.8,5.0,4.7,,,,,,,15.9,,,,,,,
Edgecliff,350,,327,285,,,,,,,45,,,,125,,,,21.5,,20.1,17.5,,,,,,,2.8,,,,7.7,,,
Edgeworth,"1,325",,"1,824",815,,253,,565,,,,,,,,,,,22.4,,30.9,13.8,,4.3,,9.6,,,,,,,,,,
Elanora Heights,"1,035",,"1,078",671,,110,,199,,,,,,,,,,,27.3,,28.5,17.7,,2.9,,5.3,,,,,,,,,,
Elderslie,709,,935,284,,99,,168,,,,,,,,,,,26.8,,35.3,10.7,,3.7,,6.3,,,,,,,,,,
Eleebana,"1,382",,"1,538",834,,297,,538,,,,,,,,,,,24.4,,27.2,14.7,,5.2,,9.5,,,,,,,,,,
Elermore Vale,"1,205",192,"1,198",612,,,,391,,,,,,,,,,,25.5,4.1,25.3,12.9,,,,8.3,,,,,,,,,,
Elizabeth Bay,922,,742,"1,270",,120,,,,,,,,,123,,,,18.6,,15.0,25.7,,2.4,,,,,,,,,2.5,,,
Emerton,604,,457,248,,,,116,99,,,,,,,,,,27.3,,20.6,11.2,,,,5.2,4.5,,,,,,,,,
Empire Bay,664,,769,337,,85,,92,,,,,,,,,,,28.0,,32.4,14.2,,3.6,,3.9,,,,,,,,,,
Emu Heights,"1,205",,909,460,,100,,121,,,,,,,,,,,36.3,,27.4,13.9,,3.0,,3.6,,,,,,,,,,
Emu Plains,"2,423",,"2,268",931,,287,,328,,,,,,,,,,,30.5,,28.5,11.7,,3.6,,4.1,,,,,,,,,,
Enfield,"1,096",223,217,302,,,,,,,124,,,,,,,,42.7,8.7,8.4,11.8,,,,,,,4.8,,,,,,,
Engadine,"5,654",,"5,189","2,543",,568,,886,,,,,,,,,,,31.5,,28.9,14.2,,3.2,,4.9,,,,,,,,,,
Enmore,570,221,306,"1,105",,,,,,,135,,,,,,,,17.0,6.6,9.1,32.9,,,,,,,4.0,,,,,,,
Epping,"3,998",,"2,948","3,821",,"1,324",,977,,,,,,,,,,,21.1,,15.5,20.1,,7.0,,5.2,,,,,,,,,,
Erina,"1,252",,"1,596",579,,257,,323,,,,,,,,,,,25.2,,32.1,11.7,,5.2,,6.5,,,,,,,,,,
Ermington,"3,436",,"1,692","1,257",,,,435,548,,,,,,,,,,33.2,,16.4,12.2,,,,4.2,5.3,,,,,,,,,
Erskine Park,"2,872",,"1,454",635,,,,242,153,,,,,,,,,,41.5,,21.0,9.2,,,,3.5,2.2,,,,,,,,,
Erskineville,"1,441",194,771,"2,238",,,,,,,255,,,,,,,,22.0,3.0,11.8,34.1,,,,,,,3.9,,,,,,,
Eschol Park,908,,688,289,,,,63,103,,,,,,,,,,34.9,,26.5,11.1,,,,2.4,4.0,,,,,,,,,
Ettalong Beach,"1,049",,"1,372",608,,147,,181,,,,,,,,,,,24.9,,32.6,14.4,,3.5,,4.3,,,,,,,,,,
Fairfield,"5,513","1,048",,,"1,070",,,,"1,307",,"1,880",,,,,,,,35.6,6.8,,,6.9,,,,8.4,,12.1,,,,,,,
Fairfield East,"1,204",,311,396,,,,,520,,"1,075",,,,,,,,26.9,,6.9,8.8,,,,,11.6,,24.0,,,,,,,
Fairfield Heights,"2,219",457,,,387,,,,445,,688,,,,,,,,37.0,7.6,,,6.4,,,,7.4,,11.5,,,,,,,
Fairfield West,"4,017",602,956,624,,,,,,,"1,741",,,,,,,,39.0,5.8,9.3,6.1,,,,,,,16.9,,,,,,,
Fairlight,"1,404",,"1,343","1,286",,197,,211,,,,,,,,,,,25.0,,23.9,22.9,,3.5,,3.8,,,,,,,,,,
Fairy Meadow,"2,193",,"1,125","1,011",,,,334,278,,,,,,,,,,34.1,,17.5,15.7,,,,5.2,4.3,,,,,,,,,
Farmborough Heights,"1,118",236,857,454,,,,206,,,,,,,,,,,29.0,6.1,22.2,11.8,,,,5.3,,,,,,,,,,
Faulconbridge,986,,930,894,,,,180,,,,,165,,,,,,24.6,,23.2,22.3,,,,4.5,,,,,4.1,,,,,
Fennell Bay,319,,420,269,,62,,172,,,,,,,,,,,20.6,,27.1,17.4,,4.0,,11.1,,,,,,,,,,
Figtree,"2,958",994,"2,474","1,261",,,,587,,,,,,,,,,,28.5,9.6,23.8,12.1,,,,5.7,,,,,,,,,,
Five Dock,"3,893",352,955,"1,026",,201,,,,,,,,,,,,,48.9,4.4,12.0,12.9,,2.5,,,,,,,,,,,,
Fletcher,489,,595,249,,55,,141,,,,,,,,,,,25.3,,30.7,12.9,,2.8,,7.3,,,,,,,,,,
Flinders,"1,352",437,926,530,,,,148,,,,,,,,,,,32.6,10.5,22.3,12.8,,,,3.6,,,,,,,,,,
Floraville,332,,491,216,,74,,181,,,,,,,,,,,22.2,,32.9,14.5,,5.0,,12.1,,,,,,,,,,
Forest Lodge,456,45,286,809,,,,,,,54,,,,,,,,18.9,1.9,11.9,33.6,,,,,,,2.2,,,,,,,
Forestville,"1,906",,"1,935","1,338",,,,429,,,,,,,,242,,,24.4,,24.8,17.1,,,,5.5,,,,,,,,3.1,,
Forresters Beach,637,,583,432,,,,111,,,,72,,,,,,,27.8,,25.5,18.9,,,,4.8,,,,3.1,,,,,,
Frenchs Forest,"3,411",,"3,230","2,106",,433,,718,,,,,,,,,,,27.2,,25.7,16.8,,3.4,,5.7,,,,,,,,,,
Garden Suburb,427,,357,229,,102,,159,,,,,,,,,,,24.9,,20.8,13.3,,5.9,,9.3,,,,,,,,,,
Gateshead,835,,"1,041",570,,148,,241,,,,,,,,,,,23.5,,29.4,16.1,,4.2,,6.8,,,,,,,,,,
Georges Hall,"2,985","1,047","1,253",432,,,,,711,,,,,,,,,,37.1,13.0,15.6,5.4,,,,,8.8,,,,,,,,,
Georgetown,529,,482,310,,66,,133,,,,,,,,,,,28.5,,26.0,16.7,,3.6,,7.2,,,,,,,,,,
Girraween,"1,415",,456,360,,,574,,173,,,,,,,,,,34.9,,11.2,8.9,,,14.1,,4.3,,,,,,,,,
Gladesville,"3,789",568,"2,014","1,755",,358,,,,,,,,,,,,,35.0,5.2,18.6,16.2,,3.3,,,,,,,,,,,,
Glebe,"2,286",251,"1,420","3,027",,,,,,,549,,,,,,,,20.7,2.3,12.8,27.4,,,,,,,5.0,,,,,,,
Glen Alpine,"1,676",,"1,082",330,,139,,160,,,,,,,,,,,38.1,,24.6,7.5,,3.2,,3.6,,,,,,,,,,
Glenbrook,"1,315",,"1,188",989,,,,358,,,,,259,,,,,,25.6,,23.1,19.2,,,,7.0,,,,,5.0,,,,,
Glendale,730,,926,417,,109,,248,,,,,,,,,,,24.4,,30.9,13.9,,3.6,,8.3,,,,,,,,,,
Glendenning,"1,921",,597,436,,,302,,,,,,,,,,306,,39.9,,12.4,9.0,,,6.3,,,,,,,,,,6.3,
Glenfield,"1,853",,"1,390",640,,,313,,252,,,,,,,,,,27.4,,20.6,9.5,,,4.6,,3.7,,,,,,,,,
Glenhaven,"1,881",,"1,405",650,,,,320,,,,,,281,,,,,33.5,,25.0,11.6,,,,5.7,,,,,,5.0,,,,
Glenmore Park,"7,131",,"5,052","2,164",,494,,622,,,,,,,,,,,37.1,,26.3,11.3,,2.6,,3.2,,,,,,,,,,
Glenning Valley,558,,557,265,,75,,99,,,,,,,,,,,29.2,,29.1,13.9,,3.9,,5.2,,,,,,,,,,
Glenwood,"4,712",,"1,927","1,253",,,730,,,,,,,716,,,,,33.9,,13.9,9.0,,,5.3,,,,,,,5.2,,,,
Gordon,"1,162",,"1,521","1,080",,232,,555,,,,,,,,,,,19.4,,25.4,18.0,,3.9,,9.3,,,,,,,,,,
Gorokan,"1,844",,"2,294","1,026",,292,,332,,,,,,,,,,,26.1,,32.5,14.5,,4.1,,4.7,,,,,,,,,,
Gosford,648,,649,481,,71,,120,,,,,,,,,,,21.4,,21.5,15.9,,2.4,,4.0,,,,,,,,,,
Granville,"7,393","1,033","1,642","1,798",,,,,"5,301",,,,,,,,,,32.3,4.5,7.2,7.9,,,,,23.2,,,,,,,,,
Grays Point,803,,882,486,,,,123,,,,,87,,,,,,28.4,,31.2,17.2,,,,4.3,,,,,3.1,,,,,
Green Point,"1,775",,"1,889",798,,252,,368,,,,,,,,,,,27.5,,29.2,12.3,,3.9,,5.7,,,,,,,,,,
Green Valley,"4,019",998,,555,,,,,943,,"2,133",,,,,,,,33.6,8.3,,4.6,,,,,7.9,,17.8,,,,,,,
Greenacre,"6,358","2,024","1,456",918,,,,,"6,895",,,,,,,,,,28.3,9.0,6.5,4.1,,,,,30.7,,,,,,,,,
Greenfield Park,"2,149",310,,295,487,,,,,,951,,,,,,,,40.8,5.9,,5.6,9.2,,,,,,18.0,,,,,,,
Greenwich,"1,187",,"1,124","1,135",,150,,186,,,,,,,,,,,23.5,,22.2,22.5,,3.0,,3.7,,,,,,,,,,
Greystanes,"9,968","1,148","3,054","1,340",,,,,708,,,,,,,,,,49.5,5.7,15.2,6.7,,,,,3.5,,,,,,,,,
Guildford,"4,031",493,"1,090",785,,,,,"1,706",,,,,,,,,,35.8,4.4,9.7,7.0,,,,,15.2,,,,,,,,,
Guildford West,"1,640",204,633,329,,,,,418,,,,,,,,,,38.9,4.8,15.0,7.8,,,,,9.9,,,,,,,,,
Gwynneville,661,142,400,513,,,,,,,113,,,,,,,,26.2,5.6,15.8,20.3,,,,,,,4.5,,,,,,,
Gymea,"2,163",209,"1,907",932,,,,338,,,,,,,,,,,31.8,3.1,28.0,13.7,,,,5.0,,,,,,,,,,
Gymea Bay,"2,267",,"2,339",970,,226,,469,,,,,,,,,,,30.6,,31.5,13.1,,3.0,,6.3,,,,,,,,,,
Haberfield,"3,554",238,666,961,,,,188,,,,,,,,,,,53.9,3.6,10.1,14.6,,,,2.9,,,,,,,,,,
Halekulani,649,,829,354,,83,,93,,,,,,,,,,,27.3,,34.8,14.9,,3.5,,3.9,,,,,,,,,,
Hamilton,988,231,681,790,,,,218,,,,,,,,,,,26.6,6.2,18.4,21.3,,,,5.9,,,,,,,,,,
Hamilton East,275,74,213,146,,,,72,,,,,,,,,,,28.6,7.7,22.2,15.2,,,,7.5,,,,,,,,,,
Hamilton North,207,,213,173,,,,51,,,,,21,,,,,,24.7,,25.4,20.7,,,,6.1,,,,,2.5,,,,,
Hamilton South,"1,108",208,900,591,,,,242,,,,,,,,,,,28.2,5.3,22.9,15.1,,,,6.2,,,,,,,,,,
Hammondville,823,160,792,313,,,,,116,,,,,,,,,,28.6,5.6,27.5,10.9,,,,,4.0,,,,,,,,,
Harrington Park,"2,262",,"1,711",604,,152,,187,,,,,,,,,,,37.4,,28.3,10.0,,2.5,,3.1,,,,,,,,,,
Harris Park,"1,668",,419,723,,,"1,236",,681,,,,,,,,,,24.3,,6.1,10.5,,,18.0,,9.9,,,,,,,,,
Hassall Grove,"1,739",,635,338,,,208,,286,,,,,,,,,,39.8,,14.5,7.7,,,4.8,,6.5,,,,,,,,,
Haymarket,450,,,"1,062",,114,,,,,930,104,,,,,,,10.4,,,24.6,,2.6,,,,,21.6,2.4,,,,,,
Heathcote,"1,687",,"1,740",825,,182,,386,,,,,,,,,,,28.8,,29.7,14.1,,3.1,,6.6,,,,,,,,,,
Hebersham,"1,725",,"1,051",631,,,,206,353,,,,,,,,,,30.3,,18.4,11.1,,,,3.6,6.2,,,,,,,,,
Heckenberg,760,,508,192,,,,,348,,331,,,,,,,,26.5,,17.7,6.7,,,,,12.1,,11.5,,,,,,,
Henley,162,16,96,96,,17,,,,,,,,,,,,,33.9,3.3,20.1,20.1,,3.6,,,,,,,,,,,,
Highfields,208,,157,117,,24,,68,,,,,,,,,,,30.3,,22.9,17.1,,3.5,,9.9,,,,,,,,,,
Hillsborough,170,,220,86,,23,,65,,,,,,,,,,,25.6,,33.2,13.0,,3.5,,9.8,,,,,,,,,,
Hillsdale,"1,390",228,385,504,,,,,625,,,,,,,,,,30.4,5.0,8.4,11.0,,,,,13.7,,,,,,,,,
Hinchinbrook,"4,063",732,881,,,,,,864,,898,,,,,,,,39.0,7.0,8.4,,,,,,8.3,,8.6,,,,,,,
Holmesville,354,,404,273,,83,,144,,,,,,,,,,,23.0,,26.2,17.7,,5.4,,9.3,,,,,,,,,,
Holsworthy,"1,263",,926,680,,,331,,124,,,,,,,,,,29.0,,21.2,15.6,,,7.6,,2.8,,,,,,,,,
Homebush,"1,670",,396,870,,,"1,250",,,,432,,,,,,,,23.8,,5.6,12.4,,,17.8,,,,6.2,,,,,,,
Homebush West,696,,,879,,,539,,261,,466,,,,,,,,16.7,,,21.1,,,12.9,,6.3,,11.2,,,,,,,
Horningsea Park,"1,325",266,376,282,,,,,205,,,,,,,,,,37.7,7.6,10.7,8.0,,,,,5.8,,,,,,,,,
Hornsby,"4,210",,"3,182","3,831",,,,790,,,663,,,,,,,,22.5,,17.0,20.5,,,,4.2,,,3.5,,,,,,,
Hornsby Heights,"1,492",,"1,608","1,040",,,,361,,,,,151,,,,,,25.3,,27.3,17.6,,,,6.1,,,,,2.6,,,,,
Horsley,"2,076",245,"1,871",967,,,,504,,,,,,,,,,,30.5,3.6,27.5,14.2,,,,7.4,,,,,,,,,,
Hoxton Park,"1,462",,311,233,,,328,,,,269,,,,,,,,39.9,,8.5,6.4,,,9.0,,,,7.3,,,,,,,
Hunters Hill,"3,443",341,"1,707","1,218",,,,,,,,,,,359,,,,38.2,3.8,18.9,13.5,,,,,,,,,,,4.0,,,
Huntleys Point,58,12,32,24,,,,20,,,,,,,,,,,32.6,6.7,18.0,13.5,,,,11.2,,,,,,,,,,
Hurlstone Park,"1,696",676,362,771,,,,,,,223,,,,,,,,35.6,14.2,7.6,16.2,,,,,,,4.7,,,,,,,
Hurstville,"4,091","2,017","1,746","7,059",,,,,,,"1,932",,,,,,,,17.5,8.6,7.5,30.3,,,,,,,8.3,,,,,,,
Hurstville Grove,742,403,370,276,,,,91,,,,,,,,,,,31.8,17.3,15.9,11.8,,,,3.9,,,,,,,,,,
Illawong,"2,414",747,"1,787",639,,,,415,,,,,,,,,,,32.0,9.9,23.7,8.5,,,,5.5,,,,,,,,,,
Ingleburn,"4,023",,"3,103","1,493",,,461,,619,,,,,,,,,,29.7,,22.9,11.0,,,3.4,,4.6,,,,,,,,,
Ingleside,98,17,59,45,,,,,,,,11,,,,,,,36.0,6.3,21.7,16.5,,,,,,,,4.0,,,,,,
Islington,315,,271,351,,,,43,,,,,33,,,,,,20.6,,17.7,22.9,,,,2.8,,,,,2.2,,,,,
Jamisontown,"1,525",,"1,368",663,,190,,185,,,,,,,,,,,31.9,,28.6,13.9,,4.0,,3.9,,,,,,,,,,
Jannali,"1,641",199,"1,461",823,,,,324,,,,,,,,,,,29.5,3.6,26.3,14.8,,,,5.8,,,,,,,,,,
Jesmond,520,,552,426,,,,172,95,,,,,,,,,,21.3,,22.6,17.5,,,,7.0,3.9,,,,,,,,,
Jewells,627,,785,380,,,,272,,,,,91,,,,,,24.4,,30.6,14.8,,,,10.6,,,,,3.5,,,,,
Kahibah,621,,678,415,,89,,246,,,,,,,,,,,25.1,,27.4,16.8,,3.6,,9.9,,,,,,,,,,
Kanahooka,"1,355",,"1,553",555,,253,,346,,,,,,,,,,,27.4,,31.4,11.2,,5.1,,7.0,,,,,,,,,,
Kangaroo Point,158,101,122,33,,,,,,,,,22,,,,,,27.4,17.5,21.1,5.7,,,,,,,,,3.8,,,,,
Kanwal,947,,"1,307",526,,113,,147,,,,,,,,,,,25.7,,35.5,14.3,,3.1,,4.0,,,,,,,,,,
Kareela,772,172,626,283,,,,140,,,,,,,,,,,31.7,7.1,25.7,11.6,,,,5.7,,,,,,,,,,
Kariong,"1,465",,"1,827",950,,216,,294,,,,,,,,,,,24.0,,29.9,15.5,,3.5,,4.8,,,,,,,,,,
Kearns,"1,054",,803,235,,,,72,108,,,,,,,,,,38.2,,29.1,8.5,,,,2.6,3.9,,,,,,,,,
Keiraville,684,,605,701,,118,,151,,,,,,,,,,,22.3,,19.7,22.8,,3.8,,4.9,,,,,,,,,,
Kellyville,"6,558",,"3,437","1,678",,,,778,,,,,,696,,,,,35.7,,18.7,9.1,,,,4.2,,,,,,3.8,,,,
Kembla Grange,57,,38,22,,,7,9,,,,,,,,,,,38.5,,25.7,14.9,,,4.7,6.1,,,,,,,,,,
Kensington,"2,858",950,"1,156","2,069",,,,,,,628,,,,,,,,26.3,8.8,10.7,19.1,,,,,,,5.8,,,,,,,
Kilaben Bay,297,,404,161,,37,,140,,,,,,,,,,,23.3,,31.7,12.6,,2.9,,11.0,,,,,,,,,,
Killara,"1,882",,"2,327","1,603",,,,807,,,,,,,329,,,,21.0,,25.9,17.9,,,,9.0,,,,,,,3.7,,,
Killarney Heights,"1,014",,926,837,,155,,220,,,,,,,,,,,24.5,,22.4,20.2,,3.7,,5.3,,,,,,,,,,
Killarney Vale,"1,924",,"2,350",912,,204,,260,,,,,,,,,,,28.4,,34.7,13.4,,3.0,,3.8,,,,,,,,,,
Kincumber,"1,926",,"2,245","1,024",,254,,483,,,,,,,,,,,27.0,,31.4,14.3,,3.6,,6.8,,,,,,,,,,
Kincumber South,189,,246,59,,26,,37,,,,,,,,,,,26.7,,34.8,8.3,,3.7,,5.2,,,,,,,,,,
Kings Langley,"3,250",,"2,013","1,023",,278,,433,,,,,,,,,,,35.3,,21.8,11.1,,3.0,,4.7,,,,,,,,,,
Kings Park,"1,156",113,680,388,,,,144,,,,,,,,,,,35.4,3.5,20.8,11.9,,,,4.4,,,,,,,,,,
Kingsford,"3,486","1,847","1,324","2,596",,,,,,,973,,,,,,,,24.5,13.0,9.3,18.2,,,,,,,6.8,,,,,,,
Kingsgrove,"3,133","2,475","1,071","1,142",,,,,,,471,,,,,,,,29.3,23.1,10.0,10.7,,,,,,,4.4,,,,,,,
Kingswood,"2,284",,"1,931","1,237",,267,,281,,,,,,,,,,,27.9,,23.6,15.1,,3.3,,3.4,,,,,,,,,,
Kirrawee,"2,639",,"2,573","1,266",,299,,461,,,,,,,,,,,29.5,,28.8,14.2,,3.3,,5.2,,,,,,,,,,
Kirribilli,875,,702,770,,90,,88,,,,,,,,,,,25.1,,20.2,22.1,,2.6,,2.5,,,,,,,,,,
Kogarah,"2,540","1,595","1,002","1,841",,,,,911,,,,,,,,,,21.7,13.6,8.6,15.7,,,,,7.8,,,,,,,,,
Kogarah Bay,514,490,286,146,,,,,,,,,,,,53,,,27.4,26.1,15.2,7.8,,,,,,,,,,,,2.8,,
Koolewong,225,,236,112,,33,,33,,,,,,,,,,,25.9,,27.1,12.9,,3.8,,3.8,,,,,,,,,,
Koonawarra,948,,"1,188",620,,138,,135,,,,,,,,,,,26.1,,32.7,17.1,,3.8,,3.7,,,,,,,,,,
Kotara,"1,032",,"1,096",585,,155,,395,,,,,,,,,,,26.2,,27.8,14.8,,3.9,,10.0,,,,,,,,,,
Kotara South,319,,334,159,,43,,98,,,,,,,,,,,27.5,,28.8,13.7,,3.7,,8.4,,,,,,,,,,
Kurnell,530,,724,353,,69,,66,,,,,,,,,,,25.1,,34.3,16.7,,3.3,,3.1,,,,,,,,,,
Kyeemagh,245,283,81,33,,,,,44,,,,,,,,,,31.0,35.8,10.3,4.2,,,,,5.6,,,,,,,,,
Kyle Bay,373,266,241,151,,,,42,,,,,,,,,,,29.4,21.0,19.0,11.9,,,,3.3,,,,,,,,,,
La Perouse,79,28,141,36,,13,,,,,,,,,,,,,20.2,7.2,36.1,9.2,,3.3,,,,,,,,,,,,
Lake Haven,990,,"1,197",474,,132,,149,,,,,,,,,,,27.4,,33.1,13.1,,3.7,,4.1,,,,,,,,,,
Lake Heights,"1,265",413,406,321,,,,57,,,,,,,,,,,43.3,14.1,13.9,11.0,,,,2.0,,,,,,,,,,
Lake Illawarra,940,,826,466,,100,,143,,,,,,,,,,,30.1,,26.5,14.9,,3.2,,4.6,,,,,,,,,,
Lakelands,398,,396,175,,47,,189,,,,,,,,,,,25.5,,25.4,11.2,,3.0,,12.1,,,,,,,,,,
Lakemba,"2,351","1,104",,826,,,,,"6,091",,765,,,,,,,,16.2,7.6,,5.7,,,,,42.1,,5.3,,,,,,,
Lalor Park,"2,198",,"1,720",873,,231,,262,,,,,,,,,,,30.7,,24.0,12.2,,3.2,,3.7,,,,,,,,,,
Lambton,"1,314",,"1,182",661,,167,,353,,,,,,,,,,,28.1,,25.3,14.1,,3.6,,7.5,,,,,,,,,,
Lane Cove,"2,549",,"1,807","1,874",,239,,377,,,,,,,,,,,28.1,,19.9,20.6,,2.6,,4.2,,,,,,,,,,
Lane Cove North,"2,129",,"1,419","1,887",,278,,370,,,,,,,,,,,24.1,,16.1,21.4,,3.2,,4.2,,,,,,,,,,
Lane Cove West,714,,494,361,,73,,97,,,,,,,,,,,32.4,,22.4,16.4,,3.3,,4.4,,,,,,,,,,
Lansvale,668,117,270,198,,,,,,,522,,,,,,,,28.7,5.0,11.6,8.5,,,,,,,22.5,,,,,,,
Lapstone,226,,196,172,,37,,61,,,,,,,,,,,26.5,,23.0,20.1,,4.3,,7.1,,,,,,,,,,
Lavender Bay,203,,176,219,,,,20,,,27,,,,,,,,22.3,,19.3,24.1,,,,2.2,,,3.0,,,,,,,
Leichhardt,"4,080",395,"1,681","3,059",,,,269,,,,,,,,,,,33.3,3.2,13.7,25.0,,,,2.2,,,,,,,,,,
Leonay,761,,728,316,,111,,103,,,,,,,,,,,31.5,,30.2,13.1,,4.6,,4.3,,,,,,,,,,
Lethbridge Park,"1,302",,"1,151",634,,197,,152,,,,,,,,,,,28.1,,24.8,13.7,,4.3,,3.3,,,,,,,,,,
Leumeah,"2,522",,"2,314",968,,,,267,329,,,,,,,,,,29.1,,26.7,11.2,,,,3.1,3.8,,,,,,,,,
Lewisham,855,132,325,736,,,,,,,71,,,,,,,,31.0,4.8,11.8,26.7,,,,,,,2.6,,,,,,,
Liberty Grove,589,,199,416,,,119,,,,96,,,,,,,,28.9,,9.8,20.4,,,5.8,,,,4.7,,,,,,,
Lidcombe,"3,462",,,"1,796",,,788,,"1,733",,"1,739",,,,,,,,24.4,,,12.7,,,5.6,,12.2,,12.3,,,,,,,
Lilli Pilli,643,,708,219,,102,,118,,,,,,,,,,,29.5,,32.5,10.1,,4.7,,5.4,,,,,,,,,,
Lilyfield,"2,105",284,"1,108","1,506",,,,180,,,,,,,,,,,31.1,4.2,16.4,22.3,,,,2.7,,,,,,,,,,
Lindfield,"1,804",,"1,743","1,433",,277,,468,,,,,,,,,,,24.5,,23.7,19.5,,3.8,,6.4,,,,,,,,,,
Linley Point,113,18,75,64,,,,,,,10,,,,,,,,32.6,5.2,21.6,18.4,,,,,,,2.9,,,,,,,
Lisarow,"1,181",,"1,479",909,,,,338,,,,,182,,,,,,22.4,,28.0,17.2,,,,6.4,,,,,3.4,,,,,
Little Bay,633,81,451,202,,,,42,,,,,,,,,,,34.6,4.4,24.7,11.1,,,,2.3,,,,,,,,,,
Liverpool,"5,145","3,327","1,474","1,210",,,,,"2,465",,,,,,,,,,24.1,15.6,6.9,5.7,,,,,11.6,,,,,,,,,
