,1-15 hours per week,16-24 hours per week,25-34 hours per week,35-39 hours per week,40 hours or more per week,1-15 hours per week (%),16-24 hours per week (%),25-34 hours per week (%),35-39 hours per week (%),40 hours or more per week (%)
Leumeah,351.0,359.0,443.0,1070.0,1851.0,8.1,8.3,10.2,24.7,42.7
Lewisham (NSW),139.0,143.0,144.0,262.0,746.0,9.2,9.4,9.5,17.3,49.2
Liberty Grove,63.0,82.0,83.0,209.0,608.0,5.7,7.4,7.5,19.0,55.2
Lidcombe,687.0,844.0,682.0,1837.0,2977.0,9.2,11.3,9.1,24.6,39.8
Lilli Pilli (Sutherland - NSW),95.0,64.0,70.0,47.0,321.0,14.6,9.8,10.8,7.2,49.4
Lilyfield,312.0,326.0,342.0,517.0,2034.0,8.4,8.8,9.2,13.9,54.8
Lindfield,544.0,419.0,367.0,421.0,2045.0,13.6,10.5,9.2,10.5,51.1
Linley Point,26.0,17.0,22.0,22.0,113.0,12.6,8.2,10.6,10.6,54.6
Lisarow,333.0,251.0,261.0,442.0,1046.0,13.4,10.1,10.5,17.8,42.1
Little Bay,129.0,121.0,116.0,212.0,688.0,9.6,9.0,8.6,15.7,51.0
Liverpool,599.0,632.0,702.0,2054.0,3167.0,7.8,8.2,9.1,26.7,41.1
Loftus,233.0,252.0,205.0,330.0,822.0,11.8,12.7,10.3,16.6,41.5
Long Jetty,230.0,244.0,271.0,406.0,835.0,10.8,11.5,12.7,19.1,39.2
Long Point (Campbelltown - NSW),12.0,14.0,21.0,4.0,54.0,10.8,12.6,18.9,3.6,48.6
Longueville,158.0,117.0,92.0,61.0,535.0,15.7,11.6,9.2,6.1,53.2
Lugarno,318.0,286.0,278.0,399.0,1308.0,11.6,10.4,10.2,14.6,47.8
Lurnea,237.0,220.0,271.0,725.0,1103.0,8.6,8.0,9.9,26.4,40.2
Macquarie Fields,437.0,424.0,501.0,1398.0,1951.0,8.7,8.4,10.0,27.8,38.8
Macquarie Hills,161.0,165.0,167.0,296.0,779.0,9.6,9.8,10.0,17.7,46.5
Macquarie Links,56.0,60.0,35.0,112.0,337.0,9.0,9.7,5.6,18.1,54.4
Macquarie Park,306.0,245.0,169.0,596.0,1382.0,10.8,8.6,6.0,21.0,48.8
Malabar,184.0,151.0,156.0,260.0,620.0,12.6,10.3,10.7,17.8,42.4
Mangerton,151.0,146.0,105.0,214.0,544.0,12.1,11.7,8.4,17.2,43.6
Manly (NSW),654.0,703.0,676.0,1033.0,4929.0,7.8,8.3,8.0,12.3,58.5
Manly Vale,275.0,337.0,305.0,524.0,1575.0,8.6,10.5,9.5,16.4,49.3
Marayong,252.0,261.0,268.0,797.0,1313.0,8.2,8.5,8.7,25.9,42.6
Mardi,163.0,147.0,147.0,348.0,629.0,10.7,9.6,9.6,22.8,41.3
Marks Point,71.0,71.0,78.0,112.0,295.0,10.5,10.5,11.5,16.5,43.5
Marmong Point,37.0,45.0,42.0,54.0,157.0,10.4,12.7,11.8,15.2,44.2
Maroubra,1339.0,1365.0,1240.0,2265.0,6818.0,9.7,9.9,9.0,16.4,49.4
Marrickville,995.0,1225.0,1179.0,2511.0,5560.0,8.2,10.0,9.7,20.6,45.6
Marsfield,588.0,517.0,429.0,1191.0,2729.0,10.3,9.0,7.5,20.8,47.6
Maryland (Newcastle - NSW),407.0,408.0,420.0,745.0,1703.0,10.4,10.4,10.7,19.0,43.4
Maryville,73.0,67.0,94.0,140.0,359.0,9.3,8.6,12.0,17.9,45.8
Mascot,378.0,434.0,462.0,1173.0,2593.0,7.0,8.1,8.6,21.9,48.3
Matraville,436.0,428.0,408.0,761.0,1897.0,10.4,10.2,9.7,18.2,45.3
Mayfield (Newcastle - NSW),484.0,400.0,444.0,819.0,1720.0,11.7,9.7,10.8,19.9,41.7
Mayfield East,72.0,75.0,87.0,168.0,356.0,8.9,9.3,10.8,20.8,44.1
Mayfield West,75.0,81.0,86.0,143.0,304.0,10.1,11.0,11.6,19.4,41.1
Mays Hill,30.0,40.0,28.0,76.0,137.0,9.3,12.5,8.7,23.7,42.7
McMahons Point,117.0,121.0,94.0,161.0,895.0,8.0,8.3,6.4,11.0,61.4
Meadowbank (NSW),143.0,193.0,137.0,491.0,1126.0,6.6,8.9,6.3,22.5,51.7
Melrose Park (NSW),75.0,61.0,69.0,122.0,360.0,10.3,8.4,9.5,16.8,49.7
Menai,677.0,551.0,530.0,939.0,2727.0,11.8,9.6,9.2,16.3,47.5
Merewether,733.0,537.0,599.0,863.0,2709.0,12.7,9.3,10.3,14.9,46.8
Merewether Heights,88.0,82.0,64.0,78.0,316.0,13.3,12.4,9.7,11.8,47.8
Merrylands,923.0,914.0,879.0,2520.0,4072.0,9.2,9.1,8.8,25.1,40.5
Merrylands West,213.0,204.0,216.0,547.0,1004.0,9.0,8.6,9.1,23.0,42.3
Middle Cove,74.0,81.0,50.0,57.0,327.0,11.9,13.0,8.1,9.2,52.7
Miller,81.0,42.0,71.0,189.0,247.0,11.5,5.9,10.1,26.8,35.0
Millers Point,59.0,61.0,51.0,72.0,545.0,7.2,7.4,6.2,8.8,66.5
Milperra,190.0,192.0,207.0,368.0,937.0,9.5,9.6,10.3,18.4,46.7
Milsons Point,64.0,60.0,73.0,122.0,731.0,5.9,5.5,6.7,11.2,66.8
Minchinbury,225.0,235.0,235.0,706.0,1215.0,8.1,8.4,8.4,25.3,43.6
Minmi,42.0,36.0,35.0,47.0,155.0,12.2,10.4,10.1,13.6,44.9
Minto,307.0,335.0,378.0,1194.0,1728.0,7.3,7.9,8.9,28.3,40.9
Miranda (NSW),659.0,656.0,648.0,1265.0,3311.0,9.5,9.4,9.3,18.2,47.6
Mona Vale,603.0,551.0,559.0,659.0,2454.0,11.8,10.8,10.9,12.9,48.0
Monterey,170.0,178.0,176.0,376.0,970.0,8.5,8.9,8.8,18.8,48.6
Moorebank,284.0,270.0,316.0,737.0,1750.0,7.9,7.5,8.8,20.4,48.5
Mortdale,359.0,464.0,447.0,1127.0,2361.0,7.1,9.2,8.8,22.3,46.7
Mortlake (NSW),26.0,41.0,36.0,59.0,231.0,6.2,9.7,8.6,14.0,54.9
Mosman,1435.0,1248.0,1145.0,1334.0,7616.0,10.6,9.3,8.5,9.9,56.5
Mount Annan,521.0,492.0,474.0,1114.0,2712.0,9.3,8.7,8.4,19.8,48.2
Mount Colah,461.0,386.0,385.0,613.0,1860.0,11.8,9.9,9.8,15.7,47.5
Mount Druitt,469.0,467.0,502.0,1674.0,2201.0,8.2,8.2,8.8,29.3,38.5
Mount Hutton (NSW),155.0,141.0,153.0,270.0,607.0,11.1,10.1,11.0,19.4,43.6
