,1-15 hours per week,16-24 hours per week,25-34 hours per week,35-39 hours per week,40 hours or more per week,1-15 hours per week (%),16-24 hours per week (%),25-34 hours per week (%),35-39 hours per week (%),40 hours or more per week (%)
Shelly Beach (NSW),58.0,58.0,69.0,96.0,219.0,10.7,10.7,12.8,17.8,40.6
Shortland,167.0,155.0,155.0,345.0,600.0,11.0,10.2,10.2,22.7,39.5
Silverwater (Lake Macquarie - NSW),15.0,14.0,11.0,14.0,34.0,16.3,15.2,12.0,15.2,37.0
Smithfield (NSW),400.0,305.0,372.0,919.0,1577.0,10.3,7.8,9.5,23.6,40.4
South Coogee,253.0,209.0,202.0,244.0,983.0,12.6,10.4,10.1,12.2,49.1
South Granville,143.0,124.0,115.0,270.0,511.0,11.0,9.5,8.9,20.8,39.3
South Hurstville,224.0,223.0,213.0,470.0,958.0,10.1,10.0,9.6,21.2,43.2
South Penrith,505.0,508.0,533.0,1160.0,2635.0,8.8,8.9,9.3,20.3,46.1
South Turramurra,183.0,161.0,133.0,154.0,695.0,13.3,11.7,9.7,11.2,50.6
South Wentworthville,170.0,200.0,216.0,536.0,1110.0,7.2,8.5,9.1,22.7,47.0
Speers Point,191.0,174.0,148.0,259.0,658.0,12.4,11.3,9.6,16.8,42.7
Springfield (Gosford - NSW),230.0,190.0,215.0,361.0,767.0,12.1,10.0,11.3,19.0,40.3
Springwood (NSW),473.0,421.0,433.0,686.0,1731.0,11.9,10.6,10.9,17.3,43.6
St Andrews (NSW),248.0,233.0,245.0,695.0,1261.0,8.6,8.1,8.5,24.2,43.9
St Clair (Penrith - NSW),825.0,865.0,963.0,2350.0,4990.0,7.7,8.1,9.0,22.0,46.8
St Helens Park,270.0,255.0,268.0,695.0,1322.0,8.9,8.4,8.9,23.0,43.8
St Huberts Island,58.0,59.0,49.0,57.0,156.0,14.4,14.6,12.1,14.1,38.6
St Ives (NSW),1100.0,849.0,676.0,687.0,3659.0,15.1,11.6,9.3,9.4,50.2
St Ives Chase,193.0,177.0,144.0,130.0,748.0,13.3,12.2,9.9,9.0,51.6
St Johns Park,225.0,200.0,204.0,633.0,959.0,9.5,8.4,8.6,26.7,40.5
St Leonards (NSW),132.0,162.0,145.0,454.0,1900.0,4.5,5.6,5.0,15.6,65.1
St Marys (NSW),332.0,349.0,386.0,1112.0,1948.0,7.5,7.9,8.7,25.0,43.9
St Peters (NSW),114.0,121.0,147.0,358.0,900.0,6.6,7.0,8.5,20.6,51.8
Stanhope Gardens,316.0,300.0,276.0,769.0,2092.0,8.0,7.6,7.0,19.4,52.9
Stanmore (NSW),382.0,366.0,405.0,794.0,2391.0,8.4,8.1,8.9,17.5,52.7
Stockton (NSW),182.0,182.0,163.0,295.0,730.0,10.9,10.9,9.8,17.7,43.9
Strathfield (NSW),1184.0,1657.0,1016.0,1945.0,4891.0,10.5,14.7,9.0,17.3,43.4
Strathfield South,172.0,152.0,138.0,304.0,726.0,10.9,9.6,8.7,19.2,45.9
Summer Hill (Ashfield - NSW),280.0,388.0,371.0,708.0,1826.0,7.4,10.3,9.9,18.8,48.6
Surry Hills,518.0,738.0,628.0,1514.0,5616.0,5.5,7.9,6.7,16.1,59.8
Sutherland (NSW),374.0,442.0,441.0,1171.0,2666.0,6.9,8.2,8.2,21.7,49.4
Swansea (NSW),210.0,201.0,154.0,287.0,645.0,12.9,12.3,9.5,17.6,39.6
Swansea Heads,40.0,30.0,23.0,51.0,133.0,13.6,10.2,7.8,17.3,45.2
Sydenham (NSW),34.0,83.0,49.0,109.0,265.0,5.9,14.4,8.5,18.9,45.8
Sydney,542.0,1278.0,425.0,1130.0,3542.0,7.4,17.5,5.8,15.5,48.5
Sylvania,504.0,484.0,397.0,677.0,2150.0,11.2,10.8,8.9,15.1,47.9
Sylvania Waters,168.0,170.0,139.0,237.0,762.0,10.8,10.9,8.9,15.2,48.8
Tacoma,56.0,29.0,38.0,67.0,158.0,14.7,7.6,10.0,17.6,41.5
Tacoma South,18.0,12.0,8.0,28.0,54.0,14.2,9.4,6.3,22.0,42.5
Tamarama,68.0,44.0,54.0,85.0,497.0,8.6,5.6,6.8,10.8,63.0
Taren Point,72.0,61.0,66.0,74.0,312.0,11.7,9.9,10.7,12.0,50.6
Tarrawanna,134.0,92.0,78.0,151.0,305.0,16.8,11.6,9.8,19.0,38.3
Tascott,87.0,82.0,74.0,125.0,278.0,12.3,11.6,10.5,17.7,39.4
Tempe,119.0,136.0,151.0,304.0,829.0,7.2,8.3,9.2,18.5,50.5
Teralba,77.0,61.0,63.0,123.0,264.0,12.4,9.8,10.1,19.7,42.4
Terrey Hills,214.0,203.0,168.0,157.0,705.0,14.0,13.3,11.0,10.3,46.2
Terrigal,637.0,494.0,556.0,797.0,2278.0,12.6,9.8,11.0,15.7,45.0
The Entrance,128.0,108.0,165.0,281.0,434.0,10.6,8.9,13.6,23.2,35.8
The Entrance North,67.0,61.0,61.0,119.0,230.0,11.6,10.6,10.6,20.7,39.9
The Hill,126.0,95.0,96.0,182.0,467.0,12.3,9.2,9.3,17.7,45.4
The Junction,98.0,86.0,72.0,105.0,370.0,12.4,10.8,9.1,13.2,46.7
Thirroul,340.0,312.0,282.0,428.0,1220.0,12.3,11.3,10.2,15.5,44.1
Thornleigh,449.0,395.0,379.0,636.0,1937.0,11.1,9.8,9.4,15.8,48.0
Tighes Hill,95.0,94.0,81.0,151.0,275.0,12.9,12.7,11.0,20.4,37.2
Tingira Heights,117.0,113.0,110.0,176.0,422.0,11.6,11.2,10.9,17.5,42.0
Toongabbie (NSW),583.0,522.0,585.0,1542.0,2738.0,9.2,8.3,9.3,24.5,43.4
Toowoon Bay,33.0,15.0,28.0,29.0,90.0,15.3,7.0,13.0,13.5,41.9
Toronto,238.0,208.0,207.0,346.0,747.0,12.7,11.1,11.1,18.5,40.0
Toukley,129.0,114.0,163.0,259.0,545.0,9.8,8.7,12.4,19.7,41.4
Towradgi,141.0,130.0,126.0,274.0,533.0,10.9,10.1,9.8,21.3,41.3
Tregear,87.0,86.0,114.0,267.0,371.0,8.4,8.3,11.0,25.9,35.9
Tuggerah,42.0,41.0,42.0,93.0,181.0,9.7,9.4,9.7,21.4,41.7
Tuggerawong,73.0,48.0,51.0,110.0,198.0,14.1,9.3,9.8,21.2,38.2
Tumbi Umbi,247.0,255.0,234.0,388.0,868.0,11.7,12.1,11.1,18.4,41.1
Turramurra,755.0,566.0,499.0,571.0,2529.0,14.6,10.9,9.6,11.0,48.8
Turrella,45.0,55.0,61.0,155.0,257.0,7.3,9.0,9.9,25.2,41.9
Ultimo,325.0,432.0,220.0,555.0,1483.0,10.2,13.6,6.9,17.5,46.7
Umina Beach,778.0,688.0,699.0,1259.0,2536.0,12.2,10.8,10.9,19.7,39.7
Unanderra,219.0,205.0,236.0,404.0,756.0,11.1,10.4,12.0,20.6,38.5
Valentine (NSW),388.0,326.0,277.0,441.0,1182.0,14.0,11.8,10.0,16.0,42.8
Valley Heights,83.0,74.0,68.0,118.0,327.0,11.7,10.4,9.6,16.6,46.1
Vaucluse,538.0,421.0,374.0,391.0,2191.0,12.9,10.1,9.0,9.4,52.7
Villawood,156.0,105.0,109.0,318.0,443.0,12.5,8.4,8.8,25.5,35.6
Voyager Point,47.0,54.0,56.0,139.0,399.0,6.3,7.3,7.5,18.7,53.6
Wahroonga,1067.0,871.0,646.0,889.0,3962.0,13.6,11.1,8.3,11.4,50.6
Waitara,198.0,220.0,189.0,558.0,1302.0,7.7,8.5,7.3,21.6,50.3
Wakeley,165.0,170.0,182.0,517.0,807.0,8.4,8.6,9.2,26.2,40.9
Wallsend,574.0,487.0,614.0,1022.0,2165.0,11.0,9.4,11.8,19.7,41.7
Wamberal,410.0,348.0,351.0,477.0,1358.0,13.2,11.2,11.3,15.3,43.6
Warabrook,108.0,95.0,88.0,203.0,406.0,11.2,9.8,9.1,21.0,42.0
Waratah (NSW),239.0,196.0,219.0,395.0,736.0,12.4,10.2,11.4,20.6,38.3
Waratah West,178.0,111.0,119.0,212.0,428.0,15.9,9.9,10.7,19.0,38.3
Wareemba,64.0,69.0,59.0,106.0,378.0,8.8,9.5,8.1,14.6,52.1
Warilla,236.0,205.0,253.0,384.0,837.0,11.4,9.9,12.2,18.6,40.5
Warners Bay,411.0,361.0,339.0,575.0,1418.0,12.4,10.9,10.2,17.3,42.7
Warrawee,173.0,130.0,117.0,143.0,724.0,12.8,9.6,8.7,10.6,53.7
Warrawong,134.0,132.0,147.0,285.0,450.0,10.8,10.6,11.9,23.0,36.3
Warriewood,339.0,342.0,330.0,456.0,1479.0,10.9,11.0,10.6,14.7,47.5
Warrimoo,152.0,118.0,128.0,229.0,540.0,12.4,9.6,10.4,18.6,43.9
Warwick Farm,106.0,103.0,108.0,376.0,530.0,8.0,7.8,8.2,28.5,40.2
Watanobbi,166.0,152.0,164.0,312.0,589.0,11.4,10.4,11.2,21.4,40.4
Waterloo (NSW),358.0,355.0,318.0,775.0,2558.0,7.8,7.7,6.9,16.8,55.6
Watsons Bay,51.0,38.0,30.0,46.0,257.0,11.3,8.4,6.7,10.2,57.1
Wattle Grove (NSW),327.0,322.0,379.0,847.0,2144.0,7.6,7.5,8.8,19.7,49.7
Waverley (NSW),151.0,191.0,160.0,246.0,1147.0,7.6,9.6,8.0,12.3,57.4
Waverton,132.0,117.0,122.0,207.0,1052.0,7.8,6.9,7.2,12.2,62.0
Wentworthville,411.0,418.0,369.0,1341.0,2036.0,8.5,8.7,7.7,27.9,42.3
Werrington,142.0,132.0,170.0,392.0,796.0,8.2,7.6,9.8,22.6,45.9
Werrington County,165.0,170.0,208.0,381.0,930.0,8.4,8.6,10.6,19.3,47.2
Werrington Downs,158.0,166.0,167.0,424.0,830.0,8.6,9.0,9.0,23.0,44.9
West Gosford,31.0,39.0,56.0,126.0,227.0,6.0,7.6,10.9,24.4,44.0
West Hoxton,359.0,350.0,376.0,1039.0,1994.0,8.1,7.9,8.5,23.6,45.2
West Pennant Hills,1063.0,856.0,780.0,1064.0,4243.0,12.6,10.2,9.3,12.6,50.4
West Pymble,311.0,291.0,236.0,224.0,1223.0,12.8,12.0,9.7,9.2,50.5
West Ryde,486.0,598.0,506.0,1284.0,2863.0,8.0,9.9,8.3,21.2,47.2
West Wallsend,77.0,80.0,68.0,140.0,312.0,10.5,10.9,9.3,19.1,42.5
West Wollongong,235.0,194.0,204.0,387.0,777.0,12.4,10.2,10.8,20.4,41.0
Westleigh,296.0,294.0,241.0,308.0,1074.0,12.7,12.6,10.3,13.2,46.0
Westmead,363.0,624.0,462.0,1943.0,2906.0,5.5,9.4,7.0,29.4,43.9
Wetherill Park,235.0,255.0,234.0,644.0,1166.0,8.7,9.4,8.6,23.7,43.0
Whalan,157.0,158.0,165.0,426.0,633.0,9.3,9.4,9.8,25.2,37.5
Whitebridge,142.0,152.0,130.0,209.0,549.0,11.3,12.1,10.4,16.7,43.8
Wickham (NSW),60.0,60.0,56.0,105.0,234.0,11.1,11.1,10.4,19.5,43.4
Wiley Park,304.0,448.0,351.0,819.0,1156.0,9.1,13.5,10.6,24.6,34.8
Willmot,57.0,52.0,69.0,146.0,258.0,8.9,8.1,10.7,22.7,40.1
Willoughby (NSW),269.0,280.0,257.0,339.0,1672.0,9.1,9.5,8.7,11.5,56.6
Willoughby East,96.0,100.0,80.0,71.0,451.0,11.4,11.9,9.5,8.4,53.5
Windale,116.0,78.0,108.0,131.0,245.0,15.9,10.7,14.8,17.9,33.5
Windang,105.0,115.0,107.0,147.0,341.0,12.0,13.1,12.2,16.7,38.8
Winmalee,405.0,351.0,332.0,643.0,1504.0,11.8,10.2,9.7,18.7,43.7
Winston Hills,570.0,529.0,513.0,923.0,2635.0,10.5,9.7,9.4,16.9,48.3
Wollongong,933.0,756.0,719.0,1400.0,3073.0,12.7,10.3,9.8,19.0,41.7
Wollstonecraft,353.0,364.0,312.0,744.0,3129.0,6.9,7.1,6.1,14.5,61.2
Wombarra,66.0,48.0,47.0,43.0,222.0,14.3,10.4,10.2,9.3,47.9
Woodbine (NSW),114.0,124.0,121.0,288.0,567.0,8.8,9.5,9.3,22.2,43.6
Woodcroft (NSW),244.0,248.0,245.0,1033.0,1488.0,7.1,7.2,7.2,30.2,43.4
Woodpark,45.0,43.0,59.0,143.0,247.0,7.7,7.3,10.1,24.4,42.2
Woodrising,69.0,62.0,60.0,109.0,258.0,11.5,10.4,10.0,18.2,43.1
Woollahra,359.0,310.0,298.0,316.0,2288.0,9.6,8.3,8.0,8.4,61.2
Woolloomooloo,109.0,133.0,142.0,263.0,1138.0,5.8,7.1,7.6,14.0,60.7
Woolooware,243.0,238.0,226.0,320.0,1008.0,11.3,11.1,10.5,14.9,46.8
Woolwich,44.0,40.0,45.0,33.0,192.0,11.5,10.5,11.8,8.7,50.4
Woonona,603.0,530.0,544.0,980.0,2139.0,11.8,10.4,10.7,19.2,42.0
Woronora,124.0,131.0,109.0,143.0,570.0,10.8,11.4,9.5,12.4,49.4
Woronora Heights,250.0,198.0,178.0,280.0,858.0,13.6,10.7,9.6,15.2,46.5
Woy Woy,399.0,353.0,434.0,780.0,1397.0,11.0,9.7,12.0,21.5,38.5
Woy Woy Bay,22.0,24.0,28.0,38.0,86.0,10.7,11.7,13.7,18.5,42.0
Wyoming,441.0,403.0,439.0,838.0,1573.0,11.2,10.2,11.1,21.2,39.8
Wyong,139.0,137.0,145.0,282.0,443.0,11.2,11.1,11.7,22.8,35.8
Wyongah,88.0,99.0,80.0,177.0,365.0,9.9,11.1,9.0,19.9,41.1
Yagoona,601.0,493.0,543.0,1350.0,2258.0,10.6,8.7,9.6,23.9,40.0
Yarrawarrah,185.0,216.0,177.0,284.0,782.0,10.7,12.5,10.3,16.5,45.3
Yattalunga (NSW),29.0,24.0,38.0,40.0,90.0,12.5,10.3,16.4,17.2,38.8
Yennora,28.0,38.0,28.0,104.0,146.0,7.3,9.9,7.3,27.1,38.0
Yowie Bay,218.0,190.0,170.0,167.0,759.0,13.7,12.0,10.7,10.5,47.9
Zetland,108.0,154.0,142.0,401.0,1378.0,4.7,6.7,6.2,17.5,60.3
