,Median weekly rent,Median monthly mortgage repayment,Average people per household,Average number of people per bedroom,Median weekly rent (%),Median monthly mortgage repayment (%),Average people per household (%),Average number of people per bedroom (%)
Buff Point,200.0,1343.0,2.5,1.1,--,--,--,--
Bulli,180.0,1694.0,2.7,1.1,--,--,--,--
Burwood,300.0,1800.0,2.7,1.3,--,--,--,--
Burwood Heights,274.0,2113.0,3.0,1.1,--,--,--,--
Busby,150.0,1300.0,3.1,1.2,--,--,--,--
Cabarita,590.0,2980.0,2.8,1.1,--,--,--,--
Cabramatta,150.0,1100.0,2.9,1.4,--,--,--,--
Cabramatta West,174.0,1408.0,3.3,1.2,--,--,--,--
Cambridge Gardens,230.0,1500.0,3.0,1.1,--,--,--,--
Cambridge Park,215.0,1500.0,2.7,1.1,--,--,--,--
Camden,220.0,1733.0,2.4,1.1,--,--,--,--
Camden South,250.0,1517.0,2.8,1.0,--,--,--,--
Cammeray,350.0,2200.0,2.1,1.1,--,--,--,--
Campbelltown,180.0,1390.0,2.5,1.1,--,--,--,--
Camperdown,350.0,2282.0,1.9,1.2,--,--,--,--
Campsie,200.0,1500.0,2.8,1.4,--,--,--,--
Canada Bay,305.0,2000.0,2.5,1.1,--,--,--,--
Canley Heights,185.0,1317.0,3.3,1.2,--,--,--,--
Canley Vale,165.0,1300.0,3.0,1.3,--,--,--,--
Canterbury,220.0,1733.0,2.7,1.2,--,--,--,--
Canton Beach,160.0,1083.0,1.7,1.1,--,--,--,--
Cardiff,200.0,1300.0,2.5,1.1,--,--,--,--
Cardiff Heights,205.0,1322.0,2.8,1.1,--,--,--,--
Cardiff South,200.0,1300.0,2.6,1.1,--,--,--,--
Caringbah,265.0,2000.0,2.5,1.1,--,--,--,--
Carlingford,300.0,1792.0,2.9,1.1,--,--,--,--
Carlton,245.0,1733.0,2.7,1.2,--,--,--,--
Carramar,150.0,1083.0,2.4,1.2,--,--,--,--
Carrington (Newcastle),195.0,1300.0,2.1,1.1,--,--,--,--
Carss Park,200.0,2270.0,2.7,1.1,--,--,--,--
Cartwright,87.0,1265.0,2.5,1.1,--,--,--,--
Castle Cove,608.0,2876.0,2.9,1.0,--,--,--,--
Castle Hill,320.0,2080.0,3.0,1.0,--,--,--,--
Castlecrag,600.0,3000.0,3.0,1.1,--,--,--,--
Casula,240.0,1900.0,3.1,1.1,--,--,--,--
Caves Beach,220.0,1260.0,2.8,1.0,--,--,--,--
Cecil Hills,285.0,1800.0,3.8,1.1,--,--,--,--
Centennial Park,295.0,2050.0,1.8,1.1,--,--,--,--
Charlestown,210.0,1343.0,2.4,1.1,--,--,--,--
Chatswood,360.0,2300.0,2.4,1.3,--,--,--,--
Chatswood West,350.0,2167.0,2.6,1.1,--,--,--,--
Cheltenham,400.0,2500.0,3.1,1.0,--,--,--,--
Cherrybrook,381.0,2000.0,3.2,1.0,--,--,--,--
Chester Hill,200.0,1500.0,2.9,1.2,--,--,--,--
Chifley,200.0,2000.0,2.8,1.1,--,--,--,--
Chippendale,320.0,2000.0,1.9,1.3,--,--,--,--
Chipping Norton,255.0,1744.0,3.0,1.1,--,--,--,--
Chiswick,390.0,2409.0,2.1,1.2,--,--,--,--
Chittaway Bay,210.0,1430.0,2.8,1.1,--,--,--,--
Chittaway Point,245.0,1517.0,2.7,1.1,--,--,--,--
Church Point,485.0,2763.0,2.8,1.0,--,--,--,--
Claymore,112.0,1263.0,3.3,1.2,--,--,--,--
Clontarf,525.0,3500.0,3.0,1.0,--,--,--,--
Clovelly,350.0,2269.0,2.4,1.1,--,--,--,--
Coal Point,223.0,1517.0,2.6,1.1,--,--,--,--
Coledale,280.0,1517.0,2.7,1.1,--,--,--,--
Collaroy,340.0,2158.0,2.7,1.1,--,--,--,--
Colyton,210.0,1517.0,2.9,1.1,--,--,--,--
Como,300.0,1950.0,3.0,1.1,--,--,--,--
Condell Park,240.0,1733.0,3.1,1.2,--,--,--,--
Coniston,170.0,1408.0,2.3,1.1,--,--,--,--
Connells Point,340.0,2167.0,2.9,1.1,--,--,--,--
Coogee,340.0,2167.0,2.1,1.2,--,--,--,--
Cooks Hill,236.0,1700.0,2.0,1.1,--,--,--,--
Copacabana,240.0,1500.0,2.8,1.1,--,--,--,--
Cordeaux Heights,239.0,1564.0,3.4,1.1,--,--,--,--
Corrimal,175.0,1517.0,2.4,1.1,--,--,--,--
Cranebrook,200.0,1600.0,3.1,1.1,--,--,--,--
Cremorne,350.0,2498.0,2.0,1.1,--,--,--,--
Cremorne Point,391.0,2809.0,2.0,1.1,--,--,--,--
Cringila,153.0,953.0,2.9,1.2,--,--,--,--
Cromer,363.0,2000.0,2.8,1.1,--,--,--,--
Cronulla,250.0,2000.0,2.0,1.1,--,--,--,--
Croudace Bay,230.0,1454.0,2.6,1.0,--,--,--,--
Crows Nest,330.0,2200.0,1.9,1.2,--,--,--,--
Croydon,270.0,1907.0,2.8,1.2,--,--,--,--
Croydon Park,220.0,1800.0,2.7,1.2,--,--,--,--
Curl Curl,380.0,2167.0,2.8,1.1,--,--,--,--
Currans Hill,250.0,1798.0,3.1,1.1,--,--,--,--
Daceyville,86.0,2104.0,1.9,1.1,--,--,--,--
Daleys Point,270.0,1517.0,2.1,1.1,--,--,--,--
Dapto,190.0,1430.0,2.6,1.1,--,--,--,--
Darling Point,451.0,2800.0,1.8,1.1,--,--,--,--
Darlinghurst,330.0,2100.0,1.6,1.2,--,--,--,--
Darlington (Sydney),340.0,2000.0,2.3,1.1,--,--,--,--
Davidson,545.0,2000.0,3.1,1.0,--,--,--,--
Davistown,210.0,1625.0,2.3,1.1,--,--,--,--
Dawes Point,762.0,4145.0,2.0,1.1,--,--,--,--
Dean Park,210.0,1517.0,3.3,1.2,--,--,--,--
Dee Why,290.0,2000.0,2.2,1.2,--,--,--,--
Denistone,340.0,2000.0,2.9,1.1,--,--,--,--
Denistone East,340.0,1950.0,2.9,1.1,--,--,--,--
Denistone West,343.0,1900.0,2.9,1.1,--,--,--,--
Dharruk,190.0,1333.0,3.2,1.2,--,--,--,--
Dolans Bay,330.0,2500.0,3.1,1.0,--,--,--,--
Dolls Point,250.0,1800.0,1.9,1.1,--,--,--,--
Doonside,170.0,1554.0,3.0,1.1,--,--,--,--
Double Bay,400.0,2600.0,2.1,1.1,--,--,--,--
Dover Heights,350.0,2700.0,2.8,1.1,--,--,--,--
Drummoyne,350.0,2383.0,2.2,1.1,--,--,--,--
Dudley,210.0,1390.0,2.6,1.1,--,--,--,--
Dulwich Hill,230.0,1800.0,2.3,1.2,--,--,--,--
Dundas,208.0,1733.0,2.5,1.1,--,--,--,--
Dundas Valley,255.0,1920.0,2.7,1.1,--,--,--,--
Dural (Baulkham Hills and Hornsby),326.0,2167.0,3.1,1.1,--,--,--,--
Eagle Vale,210.0,1391.0,3.3,1.1,--,--,--,--
Earlwood,280.0,2000.0,2.8,1.2,--,--,--,--
East Gosford,195.0,1614.0,2.0,1.0,--,--,--,--
East Hills,200.0,1600.0,2.6,1.1,--,--,--,--
East Killara,602.0,2600.0,3.2,1.0,--,--,--,--
East Lindfield,599.0,2600.0,3.1,1.0,--,--,--,--
East Ryde,380.0,2202.0,2.9,1.0,--,--,--,--
Eastern Creek,195.0,1450.0,3.0,1.1,--,--,--,--
Eastlakes,220.0,1674.0,2.5,1.3,--,--,--,--
Eastwood,260.0,1863.0,2.8,1.2,--,--,--,--
