,Median weekly rent,Median monthly mortgage repayment,Average people per household,Average number of people per bedroom,Median weekly rent (%),Median monthly mortgage repayment (%),Average people per household (%),Average number of people per bedroom (%)
Miller,101.0,1300.0,2.7,1.1,--,--,--,--
Millers Point,252.0,2838.0,1.8,1.2,--,--,--,--
Milperra,300.0,1720.0,3.0,1.1,--,--,--,--
Milsons Point,520.0,3000.0,1.9,1.2,--,--,--,--
Minchinbury,250.0,1700.0,3.5,1.1,--,--,--,--
Minmi,188.0,1300.0,3.2,1.1,--,--,--,--
Minto,165.0,1452.0,3.0,1.2,--,--,--,--
Miranda,265.0,1902.0,2.4,1.1,--,--,--,--
Mona Vale,350.0,2150.0,2.6,1.1,--,--,--,--
Monterey,260.0,1905.0,2.4,1.1,--,--,--,--
Moorebank,223.0,1733.0,2.9,1.1,--,--,--,--
Mortdale,225.0,1798.0,2.4,1.1,--,--,--,--
Mortlake,370.0,2683.0,2.3,1.1,--,--,--,--
Mosman,345.0,2600.0,2.3,1.1,--,--,--,--
Mount Annan,280.0,1900.0,3.3,1.0,--,--,--,--
Mount Colah,335.0,1812.0,3.0,1.1,--,--,--,--
Mount Druitt,195.0,1500.0,3.0,1.2,--,--,--,--
Mount Keira,215.0,1569.0,2.9,1.1,--,--,--,--
Mount Kembla,188.0,1703.0,2.9,1.1,--,--,--,--
Mount Lewis,219.0,1767.0,3.3,1.2,--,--,--,--
Mount Ousley,240.0,1600.0,2.6,1.1,--,--,--,--
Mount Pleasant,273.0,1733.0,2.8,1.0,--,--,--,--
Mount Pritchard,180.0,1500.0,3.0,1.2,--,--,--,--
Mount Riverview,250.0,1602.0,2.8,1.0,--,--,--,--
Mount Saint Thomas,140.0,1420.0,2.5,1.1,--,--,--,--
Mount Warrigal,195.0,1387.0,2.8,1.1,--,--,--,--
Narara,215.0,1473.0,2.8,1.1,--,--,--,--
Narellan,230.0,1517.0,2.8,1.1,--,--,--,--
Narellan Vale,260.0,1750.0,3.2,1.0,--,--,--,--
Naremburn,400.0,2500.0,2.4,1.1,--,--,--,--
Narrabeen,300.0,2100.0,2.0,1.2,--,--,--,--
Narraweena,154.0,2100.0,2.6,1.1,--,--,--,--
Narwee,180.0,1600.0,2.6,1.2,--,--,--,--
Neutral Bay,334.0,2383.0,1.9,1.1,--,--,--,--
New Lambton,190.0,1367.0,2.3,1.1,--,--,--,--
New Lambton Heights,243.0,1473.0,2.9,1.0,--,--,--,--
Newcastle,290.0,1876.0,1.9,1.1,--,--,--,--
Newcastle East,185.0,2167.0,1.9,1.1,--,--,--,--
Newcastle West,275.0,1714.0,1.6,1.1,--,--,--,--
Newington,350.0,2357.0,2.8,1.1,--,--,--,--
Newport,330.0,2188.0,2.6,1.1,--,--,--,--
Newtown,310.0,2128.0,2.0,1.2,--,--,--,--
Niagara Park,200.0,1408.0,2.7,1.1,--,--,--,--
Norah Head,205.0,1500.0,2.6,1.1,--,--,--,--
Noraville,185.0,1517.0,2.4,1.1,--,--,--,--
Normanhurst,300.0,2011.0,2.7,1.1,--,--,--,--
North Avoca,280.0,1800.0,2.7,1.0,--,--,--,--
North Balgowlah,385.0,2500.0,3.0,1.1,--,--,--,--
North Bondi,350.0,2400.0,2.4,1.2,--,--,--,--
North Curl Curl,400.0,2167.0,3.0,1.1,--,--,--,--
North Epping,350.0,2000.0,2.9,1.1,--,--,--,--
North Lambton,215.0,1289.0,2.4,1.1,--,--,--,--
North Manly,400.0,2167.0,2.9,1.1,--,--,--,--
North Narrabeen,375.0,2167.0,2.8,1.1,--,--,--,--
North Parramatta,220.0,1600.0,2.1,1.2,--,--,--,--
North Rocks,320.0,1924.0,3.0,1.1,--,--,--,--
North Ryde,301.0,2000.0,2.8,1.1,--,--,--,--
North St Marys,171.0,1406.0,2.8,1.1,--,--,--,--
North Strathfield,305.0,2000.0,2.5,1.2,--,--,--,--
North Sydney,335.0,2400.0,1.8,1.2,--,--,--,--
North Turramurra,493.0,2200.0,2.6,1.0,--,--,--,--
North Wahroonga,500.0,2383.0,3.2,1.0,--,--,--,--
North Willoughby,340.0,2393.0,2.6,1.1,--,--,--,--
North Wollongong,210.0,1575.0,2.0,1.1,--,--,--,--
Northbridge,421.0,2700.0,2.9,1.1,--,--,--,--
Northmead,270.0,1842.0,2.6,1.1,--,--,--,--
Northwood,530.0,3500.0,3.1,1.1,--,--,--,--
Oak Flats,200.0,1300.0,2.7,1.1,--,--,--,--
Oakhurst,230.0,1700.0,3.5,1.2,--,--,--,--
Oatlands,310.0,2000.0,2.9,1.1,--,--,--,--
Oatley,260.0,2000.0,2.7,1.1,--,--,--,--
Old Guildford,225.0,1649.0,3.5,1.3,--,--,--,--
Old Toongabbie,215.0,1733.0,2.5,1.1,--,--,--,--
Ourimbah,210.0,1512.0,2.8,1.1,--,--,--,--
Oxley Park,210.0,1435.0,2.7,1.1,--,--,--,--
Oyster Bay,340.0,2000.0,3.0,1.1,--,--,--,--
Paddington,387.0,2600.0,2.0,1.1,--,--,--,--
Padstow,250.0,1733.0,2.7,1.1,--,--,--,--
Padstow Heights,240.0,1769.0,2.6,1.1,--,--,--,--
Pagewood,279.0,2167.0,2.8,1.1,--,--,--,--
Palm Beach,400.0,2800.0,2.3,1.1,--,--,--,--
Panania,220.0,1733.0,2.7,1.1,--,--,--,--
Parramatta,230.0,1571.0,2.4,1.3,--,--,--,--
Peakhurst,230.0,1863.0,2.6,1.1,--,--,--,--
Peakhurst Heights,201.0,1950.0,2.8,1.1,--,--,--,--
Pearl Beach,255.0,1984.0,2.0,1.1,--,--,--,--
Pelican,195.0,1274.0,2.6,1.1,--,--,--,--
Pendle Hill,220.0,1710.0,2.6,1.2,--,--,--,--
Penrith,185.0,1450.0,2.2,1.1,--,--,--,--
Penrose (Wollongong),125.0,1300.0,2.5,1.1,--,--,--,--
Penshurst,220.0,1625.0,2.5,1.2,--,--,--,--
Petersham,250.0,2000.0,2.2,1.2,--,--,--,--
Phillip Bay,255.0,1733.0,2.9,1.1,--,--,--,--
Picnic Point,280.0,1800.0,2.8,1.1,--,--,--,--
Plumpton,230.0,1712.0,3.5,1.2,--,--,--,--
Point Clare,200.0,1517.0,2.3,1.1,--,--,--,--
Point Frederick,195.0,1723.0,2.0,1.0,--,--,--,--
Point Piper,545.0,4600.0,2.3,1.1,--,--,--,--
Port Kembla,150.0,1300.0,2.5,1.1,--,--,--,--
Potts Point,270.0,1846.0,1.5,1.2,--,--,--,--
Prairiewood,150.0,1526.0,3.3,1.1,--,--,--,--
Prestons,270.0,2054.0,3.4,1.1,--,--,--,--
Primbee,160.0,1458.0,2.4,1.1,--,--,--,--
Prospect,245.0,1714.0,3.1,1.1,--,--,--,--
Punchbowl (Canterbury and Bankstown),180.0,1600.0,3.2,1.3,--,--,--,--
Putney,390.0,2167.0,3.0,1.1,--,--,--,--
Pymble,476.0,2600.0,3.1,1.0,--,--,--,--
Pyrmont,400.0,2167.0,2.0,1.3,--,--,--,--
Quakers Hill,245.0,1800.0,3.1,1.1,--,--,--,--
Queens Park,360.0,2600.0,2.4,1.1,--,--,--,--
Raby,220.0,1517.0,3.2,1.1,--,--,--,--
Ramsgate,260.0,2167.0,2.7,1.1,--,--,--,--
Ramsgate Beach,240.0,1835.0,1.9,1.1,--,--,--,--
Randwick,320.0,2117.0,2.2,1.2,--,--,--,--
Rankin Park,250.0,1300.0,2.8,1.0,--,--,--,--
Redfern,255.0,2016.0,1.9,1.2,--,--,--,--
Redhead,230.0,1500.0,2.5,1.1,--,--,--,--
Regents Park,204.0,1538.0,2.9,1.2,--,--,--,--
Regentville,220.0,1658.0,2.9,1.1,--,--,--,--
Revesby,230.0,1800.0,2.7,1.1,--,--,--,--
Revesby Heights,275.0,1733.0,2.7,1.1,--,--,--,--
Rhodes,375.0,2383.0,2.4,1.2,--,--,--,--
Riverstone,210.0,1600.0,2.9,1.1,--,--,--,--
Riverview (Lane Cove),408.0,2500.0,3.1,1.1,--,--,--,--
Riverwood,110.0,1625.0,2.4,1.2,--,--,--,--
Rockdale,270.0,1755.0,2.6,1.3,--,--,--,--
Rocky Point,230.0,1517.0,2.5,1.1,--,--,--,--
Rodd Point,411.0,2167.0,2.6,1.1,--,--,--,--
Rooty Hill,220.0,1753.0,3.2,1.1,--,--,--,--
Rose Bay,360.0,2500.0,2.3,1.1,--,--,--,--
Rosebery,336.0,2000.0,2.7,1.3,--,--,--,--
Rosemeadow,195.0,1396.0,3.2,1.1,--,--,--,--
Roseville,351.0,2600.0,2.9,1.1,--,--,--,--
Roseville Chase,471.0,2600.0,3.0,1.1,--,--,--,--
Rouse Hill,343.0,2200.0,3.3,1.1,--,--,--,--
Rozelle,385.0,2500.0,2.2,1.1,--,--,--,--
Ruse,215.0,1408.0,2.9,1.1,--,--,--,--
Rushcutters Bay,230.0,1733.0,1.4,1.1,--,--,--,--
Russell Lea,320.0,2100.0,2.5,1.1,--,--,--,--
Russell Vale,200.0,1606.0,2.6,1.1,--,--,--,--
Rydalmere,140.0,2000.0,2.5,1.1,--,--,--,--
Ryde,230.0,1907.0,2.5,1.1,--,--,--,--
Sadleir,130.0,1300.0,2.9,1.2,--,--,--,--
San Remo,190.0,1300.0,2.8,1.1,--,--,--,--
Sandringham,299.0,2125.0,2.5,1.1,--,--,--,--
Sans Souci,250.0,2000.0,2.4,1.1,--,--,--,--
Saratoga,230.0,1560.0,2.6,1.1,--,--,--,--
Scarborough,270.0,1733.0,2.7,1.1,--,--,--,--
Schofields,230.0,1690.0,3.0,1.1,--,--,--,--
Scotland Island,320.0,2000.0,2.7,1.2,--,--,--,--
Seaforth,423.0,2800.0,3.0,1.1,--,--,--,--
Sefton,220.0,1625.0,2.9,1.2,--,--,--,--
Seven Hills,200.0,1625.0,2.8,1.1,--,--,--,--
Shalvey,154.0,1360.0,3.3,1.2,--,--,--,--
Shell Cove,325.0,1844.0,3.2,1.0,--,--,--,--
Shellharbour,230.0,1534.0,2.7,1.1,--,--,--,--
Shelly Beach,220.0,1543.0,2.5,1.1,--,--,--,--
Shortland,190.0,1083.0,2.4,1.1,--,--,--,--
Silverwater (Auburn),250.0,1600.0,2.9,1.3,--,--,--,--
Smithfield,200.0,1517.0,2.9,1.2,--,--,--,--
South Coogee,117.0,2496.0,2.4,1.1,--,--,--,--
South Granville,220.0,1733.0,3.4,1.3,--,--,--,--
South Hurstville,270.0,1800.0,2.7,1.2,--,--,--,--
South Penrith,225.0,1500.0,2.8,1.1,--,--,--,--
South Turramurra,441.0,2300.0,3.0,1.0,--,--,--,--
South Wentworthville,240.0,1750.0,2.8,1.1,--,--,--,--
Springfield (Gosford),190.0,1517.0,2.8,1.1,--,--,--,--
Springwood,220.0,1517.0,2.5,1.1,--,--,--,--
St Andrews,210.0,1500.0,3.3,1.1,--,--,--,--
St Clair (Penrith),240.0,1517.0,3.3,1.1,--,--,--,--
St Helens Park,220.0,1517.0,3.1,1.1,--,--,--,--
St Huberts Island,320.0,1900.0,2.3,1.0,--,--,--,--
St Ives,550.0,2600.0,3.0,1.0,--,--,--,--
St Ives Chase,510.0,2500.0,3.1,1.0,--,--,--,--
St Johns Park,225.0,1500.0,3.5,1.2,--,--,--,--
St Leonards,371.0,2188.0,1.9,1.3,--,--,--,--
St Marys,180.0,1400.0,2.4,1.1,--,--,--,--
St Peters,325.0,2100.0,2.3,1.2,--,--,--,--
Stanhope Gardens,310.0,2350.0,2.8,1.0,--,--,--,--
Stanmore,280.0,2125.0,2.2,1.1,--,--,--,--
Stockton,180.0,1300.0,2.3,1.1,--,--,--,--
Strathfield,295.0,2167.0,2.9,1.2,--,--,--,--
Strathfield South,290.0,1997.0,2.9,1.2,--,--,--,--
Summer Hill (Ashfield),240.0,1742.0,2.1,1.2,--,--,--,--
Surry Hills,335.0,2104.0,1.8,1.2,--,--,--,--
Sutherland,250.0,1820.0,2.1,1.1,--,--,--,--
Swansea,175.0,1300.0,2.2,1.1,--,--,--,--
Swansea Heads,220.0,1257.0,2.8,1.1,--,--,--,--
Sydenham,300.0,1733.0,2.5,1.2,--,--,--,--
Sydney,450.0,2167.0,2.1,1.4,--,--,--,--
Sylvania,275.0,1930.0,2.5,1.1,--,--,--,--
Sylvania Waters,300.0,2167.0,2.9,1.1,--,--,--,--
Tacoma,210.0,1430.0,3.2,1.1,--,--,--,--
Tacoma South,230.0,1300.0,3.1,1.2,--,--,--,--
Tamarama,400.0,2300.0,2.2,1.2,--,--,--,--
Taren Point,350.0,2091.0,2.5,1.1,--,--,--,--
Tarrawanna,175.0,1400.0,2.5,1.1,--,--,--,--
Tascott,240.0,1500.0,2.5,1.1,--,--,--,--
Tempe,300.0,1950.0,2.6,1.2,--,--,--,--
Teralba,150.0,1268.0,2.5,1.1,--,--,--,--
Terrey Hills,450.0,2167.0,3.1,1.1,--,--,--,--
Terrigal,260.0,1733.0,2.6,1.0,--,--,--,--
The Entrance,180.0,1350.0,1.8,1.1,--,--,--,--
The Entrance North,200.0,1550.0,2.3,1.1,--,--,--,--
The Hill,195.0,1700.0,2.0,1.1,--,--,--,--
The Junction,200.0,1404.0,2.0,1.1,--,--,--,--
Thirroul,240.0,1689.0,2.6,1.1,--,--,--,--
Thornleigh,305.0,2000.0,2.9,1.1,--,--,--,--
Tighes Hill,195.0,1200.0,2.2,1.1,--,--,--,--
Tingira Heights,180.0,1495.0,2.9,1.1,--,--,--,--
Toongabbie,225.0,1668.0,2.8,1.1,--,--,--,--
Toowoon Bay,200.0,2495.0,2.0,1.1,--,--,--,--
Toronto,165.0,1200.0,2.4,1.1,--,--,--,--
Toukley,180.0,1430.0,2.1,1.1,--,--,--,--
Towradgi,168.0,1430.0,2.4,1.1,--,--,--,--
Tregear,140.0,1138.0,3.0,1.2,--,--,--,--
Tuggerah,220.0,1313.0,2.6,1.1,--,--,--,--
Tuggerawong,178.0,1300.0,2.5,1.1,--,--,--,--
Turramurra,351.0,2300.0,2.8,1.1,--,--,--,--
Turrella,240.0,2050.0,3.2,1.2,--,--,--,--
Ultimo,335.0,1904.0,2.0,1.4,--,--,--,--
Umina Beach,200.0,1408.0,2.4,1.1,--,--,--,--
Unanderra,129.0,1358.0,2.5,1.1,--,--,--,--
Valentine,260.0,1387.0,2.8,1.0,--,--,--,--
Valley Heights,223.0,1560.0,2.7,1.1,--,--,--,--
Vaucluse,375.0,2942.0,2.7,1.1,--,--,--,--
Villawood,100.0,1350.0,2.7,1.2,--,--,--,--
Voyager Point,195.0,2234.0,3.5,1.0,--,--,--,--
Wahroonga,350.0,2400.0,2.9,1.1,--,--,--,--
Waitara,310.0,2000.0,2.1,1.3,--,--,--,--
Wakeley,240.0,1551.0,3.4,1.2,--,--,--,--
Wallsend,185.0,1213.0,2.4,1.1,--,--,--,--
Wamberal,260.0,1733.0,2.7,1.0,--,--,--,--
Warabrook,200.0,1365.0,2.6,1.1,--,--,--,--
Waratah,165.0,1300.0,2.2,1.1,--,--,--,--
Waratah West,200.0,1200.0,2.5,1.1,--,--,--,--
Wareemba,320.0,2000.0,2.3,1.1,--,--,--,--
Warilla,150.0,1230.0,2.4,1.1,--,--,--,--
Warrawee,430.0,2500.0,3.2,1.0,--,--,--,--
Warrawong,110.0,1200.0,2.3,1.1,--,--,--,--
Warriewood,408.0,2320.0,2.9,1.1,--,--,--,--
Warrimoo,230.0,1600.0,2.8,1.1,--,--,--,--
Warwick Farm,150.0,1192.0,2.2,1.2,--,--,--,--
Watanobbi,200.0,1400.0,2.8,1.1,--,--,--,--
Waterloo,164.0,2167.0,1.8,1.2,--,--,--,--
Watsons Bay,361.0,3450.0,2.4,1.1,--,--,--,--
Wattle Grove,160.0,1732.0,3.2,1.1,--,--,--,--
Waverley,301.0,2300.0,2.2,1.2,--,--,--,--
Waverton,363.0,2266.0,2.1,1.1,--,--,--,--
Wentworthville,235.0,1753.0,2.6,1.2,--,--,--,--
Werrington,190.0,1343.0,2.5,1.1,--,--,--,--
Werrington County,230.0,1517.0,3.0,1.1,--,--,--,--
Werrington Downs,230.0,1500.0,3.2,1.1,--,--,--,--
West Gosford,210.0,1500.0,2.1,1.0,--,--,--,--
West Hoxton,290.0,2040.0,3.7,1.1,--,--,--,--
West Pennant Hills,360.0,2167.0,3.2,1.0,--,--,--,--
West Pymble,445.0,2200.0,3.0,1.1,--,--,--,--
West Ryde,225.0,1756.0,2.4,1.2,--,--,--,--
West Wallsend,185.0,1118.0,2.7,1.1,--,--,--,--
West Wollongong,171.0,1400.0,2.4,1.1,--,--,--,--
Westleigh,403.0,2000.0,3.1,1.0,--,--,--,--
Westmead,230.0,1649.0,2.5,1.3,--,--,--,--
Wetherill Park,250.0,1500.0,3.3,1.1,--,--,--,--
Whalan,140.0,1213.0,2.9,1.1,--,--,--,--
Whitebridge,220.0,1300.0,2.8,1.1,--,--,--,--
Wickham,200.0,1400.0,2.0,1.1,--,--,--,--
Wiley Park,170.0,1300.0,2.9,1.4,--,--,--,--
Willmot,140.0,1083.0,3.0,1.2,--,--,--,--
Willoughby,328.0,2383.0,2.5,1.1,--,--,--,--
Willoughby East,430.0,2700.0,3.0,1.1,--,--,--,--
Windale,105.0,1083.0,2.4,1.1,--,--,--,--
Windang,150.0,1500.0,2.1,1.1,--,--,--,--
Winmalee,235.0,1523.0,2.9,1.1,--,--,--,--
Winston Hills,300.0,1900.0,2.9,1.1,--,--,--,--
Wollongong,195.0,1536.0,2.0,1.1,--,--,--,--
Wollstonecraft,350.0,2167.0,1.9,1.1,--,--,--,--
Wombarra,310.0,1767.0,2.8,1.1,--,--,--,--
Woodbine,210.0,1417.0,3.1,1.1,--,--,--,--
Woodcroft,250.0,1917.0,3.6,1.1,--,--,--,--
Woodpark,240.0,1517.0,3.0,1.1,--,--,--,--
Woodrising,230.0,1262.0,3.0,1.1,--,--,--,--
Woollahra,380.0,2817.0,2.1,1.1,--,--,--,--
Woolloomooloo,300.0,2090.0,1.7,1.2,--,--,--,--
Woolooware,243.0,2167.0,2.8,1.1,--,--,--,--
Woolwich,300.0,2750.0,2.6,1.1,--,--,--,--
Woonona,195.0,1733.0,2.6,1.1,--,--,--,--
Woronora,300.0,2150.0,3.0,1.1,--,--,--,--
Woronora Heights,378.0,1733.0,3.7,1.0,--,--,--,--
Woy Woy,190.0,1430.0,2.2,1.1,--,--,--,--
Woy Woy Bay,235.0,1907.0,2.8,1.1,--,--,--,--
Wyoming,200.0,1473.0,2.6,1.1,--,--,--,--
Wyong,159.0,1213.0,2.2,1.1,--,--,--,--
Yagoona,200.0,1625.0,3.0,1.2,--,--,--,--
Yarrawarrah,330.0,1705.0,3.4,1.0,--,--,--,--
Yattalunga,250.0,1517.0,2.7,1.0,--,--,--,--
Yennora,110.0,1669.0,2.9,1.3,--,--,--,--
Yowie Bay,375.0,2080.0,3.0,1.1,--,--,--,--
Zetland,410.0,2300.0,2.2,1.2,--,--,--,--
