,Catholic,Anglican,Orthodox,Oriental Christian,No Religion,Presbyterian & Reformed,Uniting Church,Baptist,Islam,Buddhism,Hinduism,Judaism,Pentecostal,"Christian, nfd",Sikhism,Catholic (%),Anglican (%),Orthodox (%),Oriental Christian (%),No Religion (%),Presbyterian & Reformed (%),Uniting Church (%),Baptist (%),Islam (%),Buddhism (%),Hinduism (%),Judaism (%),Pentecostal (%),"Christian, nfd (%)",Sikhism (%)
East Ryde,795,466,,,306,95,143,,,,,,,,,35.4,20.7,,,13.6,4.2,6.4,,,,,,,,
Eastern Creek,196,129,,,54,21,,,,,,,,18,,36.0,23.7,,,9.9,3.9,,,,,,,,3.3,
Eastlakes,"2,064",562,959,,480,,,,"1,175",,,,,,,29.3,8.0,13.6,,6.8,,,,16.7,,,,,,
Eastwood,"3,932","2,024",,,"2,274",,870,,,741,,,,,,27.9,14.4,,,16.1,,6.2,,,5.3,,,,,
Edensor Park,"4,453",535,556,458,,,,,,"1,590",,,,,,47.8,5.7,6.0,4.9,,,,,,17.1,,,,,
Edgecliff,607,792,,,437,86,,,,,,199,,,,21.9,28.6,,,15.8,3.1,,,,,,7.2,,,
Edgeworth,"1,771","2,481",,,885,372,847,,,,,,,,,22.8,31.9,,,11.4,4.8,10.9,,,,,,,,
Elanora Heights,997,"1,081",,,540,139,205,,,,,,,,,26.6,28.8,,,14.4,3.7,5.5,,,,,,,,
Elderslie,703,937,,,251,113,214,,,,,,,,,26.6,35.5,,,9.5,4.3,8.1,,,,,,,,
Eleebana,"1,436","1,607",,,682,298,648,,,,,,,,,24.9,27.9,,,11.8,5.2,11.3,,,,,,,,
Elermore Vale,"1,375","1,202",220,,485,,450,,,,,,,,,28.5,24.9,4.6,,10.1,,9.3,,,,,,,,
Elizabeth Bay,891,839,,,"1,157",139,125,,,,,,,,,18.7,17.6,,,24.2,2.9,2.6,,,,,,,,
Emerton,674,490,,,213,149,,,124,,,,,,,29.2,21.2,,,9.2,6.5,,,5.4,,,,,,
Empire Bay,392,573,,,148,68,49,,,,,,,,,25.7,37.6,,,9.7,4.5,3.2,,,,,,,,
Emu Heights,"1,088",959,,,345,122,145,,,,,,,,,32.9,29.0,,,10.4,3.7,4.4,,,,,,,,
Emu Plains,"2,355","2,298",,,750,335,408,,,,,,,,,29.0,28.3,,,9.2,4.1,5.0,,,,,,,,
Enfield,"1,083",235,220,,202,,,,,85,,,,,,44.2,9.6,9.0,,8.3,,,,,3.5,,,,,
Engadine,"5,691","5,515",,,"1,995",616,999,,,,,,,,,31.7,30.7,,,11.1,3.4,5.6,,,,,,,,
Enmore,701,393,251,,937,,,,,142,,,,,,20.0,11.2,7.1,,26.7,,,,,4.0,,,,,
Epping,"4,268","3,279",,,"2,996","1,152","1,205",,,,,,,,,23.6,18.2,,,16.6,6.4,6.7,,,,,,,,
Erina,"1,093","1,455",,,398,245,302,,,,,,,,,24.4,32.5,,,8.9,5.5,6.8,,,,,,,,
Ermington,"3,382","2,102",,,943,,531,,502,,,,,,,32.9,20.4,,,9.2,,5.2,,4.9,,,,,,
Erskine Park,"2,917","1,449",,,571,161,265,,,,,,,,,41.6,20.7,,,8.1,2.3,3.8,,,,,,,,
Erskineville,"1,084",679,169,,"1,412",,,,,207,,,,,,22.5,14.1,3.5,,29.3,,,,,4.3,,,,,
Eschol Park,"1,020",810,,,248,64,71,,,,,,,,,36.5,29.0,,,8.9,2.3,2.5,,,,,,,,
Ettalong Beach,"1,065","1,395",,,476,170,221,,,,,,,,,26.1,34.2,,,11.7,4.2,5.4,,,,,,,,
Fairfield,"5,268",,"1,156","1,264",,,,,"1,098","1,797",,,,,,36.1,,7.9,8.7,,,,,7.5,12.3,,,,,
Fairfield East,774,171,,,161,,,,219,527,,,,,,33.5,7.4,,,7.0,,,,9.5,22.8,,,,,
Fairfield Heights,"2,016",439,401,,319,,,,,638,,,,,,37.0,8.1,7.4,,5.9,,,,,11.7,,,,,
Fairfield West,"4,137","1,179",622,,538,,,,,"1,499",,,,,,40.1,11.4,6.0,,5.2,,,,,14.5,,,,,
Fairlight,"1,328","1,406",,,"1,059",224,226,,,,,,,,,24.7,26.1,,,19.7,4.2,4.2,,,,,,,,
Fairy Meadow,"2,327","1,303",261,,716,,359,,,,,,,,,34.5,19.3,3.9,,10.6,,5.3,,,,,,,,
Farmborough Heights,"1,161",949,220,,432,,218,,,,,,,,,30.9,25.3,5.9,,11.5,,5.8,,,,,,,,
Faulconbridge,910,971,,,675,,167,149,,,,,,,,23.6,25.2,,,17.5,,4.3,3.9,,,,,,,
Fennell Bay,416,617,,,295,81,255,,,,,,,,,20.5,30.4,,,14.5,4.0,12.6,,,,,,,,
Figtree,"3,000","2,602",877,,"1,066",,610,,,,,,,,,29.3,25.4,8.6,,10.4,,6.0,,,,,,,,
Five Dock,"3,708","1,062",255,,673,196,,,,,,,,,,50.9,14.6,3.5,,9.2,2.7,,,,,,,,,
Fletcher,180,278,,,69,20,64,,,,,,,,,25.5,39.3,,,9.8,2.8,9.1,,,,,,,,
Flinders,984,654,186,,248,,108,,,,,,,,,37.7,25.1,7.1,,9.5,,4.1,,,,,,,,
Floraville,247,397,,,153,54,175,,,,,,,,,19.1,30.6,,,11.8,4.2,13.5,,,,,,,,
Forest Lodge,465,338,,,651,,57,,,67,,,,,,20.6,15.0,,,28.8,,2.5,,,3.0,,,,,
Forestville,"1,734","1,913",,,"1,068",267,467,,,,,,,,,23.2,25.6,,,14.3,3.6,6.3,,,,,,,,
Forresters Beach,722,636,,,314,59,118,,,,,,,,,31.3,27.5,,,13.6,2.6,5.1,,,,,,,,
Frenchs Forest,"3,306","3,357",,,"1,649",431,797,,,,,,,,,26.9,27.3,,,13.4,3.5,6.5,,,,,,,,
Garden Suburb,384,364,,,196,74,170,,,,,,,,,24.2,22.9,,,12.3,4.7,10.7,,,,,,,,
Gateshead,885,"1,213",,,391,153,274,,,,,,,,,24.2,33.1,,,10.7,4.2,7.5,,,,,,,,
Georges Hall,"2,883","1,562","1,037",,397,,,,450,,,,,,,36.3,19.7,13.1,,5.0,,,,5.7,,,,,,
Georgetown,467,487,,,261,80,146,,,,,,,,,26.0,27.1,,,14.5,4.5,8.1,,,,,,,,
Girraween,"1,477",535,,,302,,150,,,,215,,,,,40.9,14.8,,,8.4,,4.2,,,,6.0,,,,
Gladesville,"3,729","2,129",626,,"1,524",,453,,,,,,,,,35.1,20.1,5.9,,14.4,,4.3,,,,,,,,
Glebe,"2,508","1,617",247,,"2,648",,,,,540,,,,,,23.1,14.9,2.3,,24.4,,,,,5.0,,,,,
Glen Alpine,"1,607","1,100",,,276,152,162,,,,,,,,,38.5,26.4,,,6.6,3.6,3.9,,,,,,,,
Glenbrook,"1,268","1,213",,,808,,353,276,,,,,,,,25.2,24.1,,,16.1,,7.0,5.5,,,,,,,
Glendale,737,963,,,311,156,297,,,,,,,,,24.3,31.8,,,10.3,5.2,9.8,,,,,,,,
Glendenning,"1,859",735,,,334,,,,,,240,,,,192,39.5,15.6,,,7.1,,,,,,5.1,,,,4.1
Glenfield,"2,064","1,719",,,585,,277,,,,248,,,,,29.6,24.6,,,8.4,,4.0,,,,3.6,,,,
Glenhaven,"1,850","1,488",,,499,,336,166,,,,,,,,32.6,26.2,,,8.8,,5.9,2.9,,,,,,,
Glenmore Park,"5,940","4,604",,,"1,661",509,690,,,,,,,,,35.1,27.2,,,9.8,3.0,4.1,,,,,,,,
Glenning Valley,484,486,,,177,62,112,,,,,,,,,67.8,68.1,,,24.8,8.7,15.7,,,,,,,,
Glenwood,"3,271","1,620",,,754,,,,,,326,,324,,,35.2,17.5,,,8.1,,,,,,3.5,,3.5,,
Gordon,"1,164","1,706",,,946,,639,,,240,,,,,,18.5,27.2,,,15.1,,10.2,,,3.8,,,,,
Gorokan,"1,884","2,574",,,756,310,395,,,,,,,,,26.2,35.8,,,10.5,4.3,5.5,,,,,,,,
Gosford,640,675,,,389,100,131,,,,,,,,,23.3,24.5,,,14.1,3.6,4.8,,,,,,,,
Granville,"7,919","2,239","1,147",,"1,635",,,,"4,027",,,,,,,38.1,10.8,5.5,,7.9,,,,19.4,,,,,,
Grays Point,765,865,,,356,80,151,,,,,,,,,27.8,31.4,,,12.9,2.9,5.5,,,,,,,,
Green Point,"1,687","2,012",,,553,313,440,,,,,,,,,26.8,32.0,,,8.8,5.0,7.0,,,,,,,,
Green Valley,"4,259",813,948,,,,,,855,"1,903",,,,,,37.0,7.1,8.2,,,,,,7.4,16.5,,,,,
Greenacre,"6,166","1,879","2,012",,867,,,,"5,183",,,,,,,29.9,9.1,9.7,,4.2,,,,25.1,,,,,,
Greenfield Park,"2,180",,313,488,290,,,,,972,,,,,,40.6,,5.8,9.1,5.4,,,,,18.1,,,,,
Greenwich,"1,302","1,322",,,"1,040",222,215,,,,,,,,,24.5,24.9,,,19.6,4.2,4.0,,,,,,,,
Greystanes,"10,539","3,847","1,060",,"1,371",,816,,,,,,,,,48.6,17.7,4.9,,6.3,,3.8,,,,,,,,
Guildford,"4,253","1,300",,,728,,,,"1,226",462,,,,,,40.2,12.3,,,6.9,,,,11.6,4.4,,,,,
Guildford West,"1,601",784,202,,309,,,,317,,,,,,,38.6,18.9,4.9,,7.5,,,,7.6,,,,,,
Gwynneville,535,318,124,,340,,109,,,,,,,,,27.3,16.2,6.3,,17.3,,5.6,,,,,,,,
Gymea,"2,052","2,014",,,691,236,304,,,,,,,,,31.4,30.8,,,10.6,3.6,4.6,,,,,,,,
Gymea Bay,"1,808","2,210",,,668,199,420,,,,,,,,,28.2,34.5,,,10.4,3.1,6.5,,,,,,,,
Haberfield,"3,812",720,196,,792,,234,,,,,,,,,56.6,10.7,2.9,,11.8,,3.5,,,,,,,,
Halekulani,576,860,,,291,75,104,,,,,,,,,25.0,37.4,,,12.6,3.3,4.5,,,,,,,,
Hamilton,"1,052",816,253,,695,,263,,,,,,,,,26.6,20.6,6.4,,17.6,,6.6,,,,,,,,
Hamilton East,296,209,88,,154,,53,,,,,,,,,29.7,21.0,8.8,,15.4,,5.3,,,,,,,,
Hamilton North,206,241,,,150,,59,23,,,,,,,,24.3,28.4,,,17.7,,6.9,2.7,,,,,,,
Hamilton South,"1,130",930,176,,432,,262,,,,,,,,,30.6,25.2,4.8,,11.7,,7.1,,,,,,,,
Hammondville,797,878,133,,209,,,,123,,,,,,,23.1,25.5,3.9,,6.1,,,,3.6,,,,,,
Harrington Park,"1,048",963,,,274,88,119,,,,,,,,,34.8,31.9,,,9.1,2.9,3.9,,,,,,,,
Harris Park,"1,877",581,,,772,,,,808,,595,,,,,27.2,8.4,,,11.2,,,,11.7,,8.6,,,,
Hassall Grove,"1,848",747,,152,276,,,,231,,,,,,,42.1,17.0,,3.5,6.3,,,,5.3,,,,,,
Haymarket,535,204,,,717,151,,,,620,,,,,,10.5,4.0,,,14.1,3.0,,,,12.2,,,,,
Heathcote,"1,676","1,768",,,725,223,455,,,,,,,,,28.3,29.8,,,12.2,3.8,7.7,,,,,,,,
Hebersham,"1,923","1,253",,,561,,190,,286,,,,,,,32.2,21.0,,,9.4,,3.2,,4.8,,,,,,
Heckenberg,881,584,,,187,,,,378,295,,,,,,29.9,19.8,,,6.3,,,,12.8,10.0,,,,,
Henley,135,99,17,,70,17,,,,,,,,,,32.5,23.8,4.1,,16.8,4.1,,,,,,,,,
Highfields,157,157,,,102,,72,,,,,,,15,,26.3,26.3,,,17.1,,12.1,,,,,,,2.5,
Hillsborough,159,243,,,84,32,77,,,,,,,,,22.7,34.7,,,12.0,4.6,11.0,,,,,,,,
Hillsdale,"1,893",534,417,,523,,,,791,,,,,,,32.7,9.2,7.2,,9.0,,,,13.7,,,,,,
Hinchinbrook,"4,113","1,073",690,,,,,,611,792,,,,,,41.5,10.8,7.0,,,,,,6.2,8.0,,,,,
Holmesville,296,442,,,217,97,156,,,,,,,,,19.7,29.4,,,14.4,6.4,10.4,,,,,,,,
Holsworthy,950,901,,,452,,109,,,,194,,,,,32.7,31.0,,,15.6,,3.8,,,,6.7,,,,
Homebush,"1,303",409,245,,380,,,,,,841,,,,,30.0,9.4,5.6,,8.8,,,,,,19.4,,,,
Homebush West,529,174,,,437,,,,,376,345,,,,,19.9,6.5,,,16.4,,,,,14.1,13.0,,,,
Horningsea Park,"1,040",366,133,,182,,,,,142,,,,,,39.1,13.8,5.0,,6.8,,,,,5.3,,,,,
Hornsby,"4,147","3,585",,,"2,996",575,938,,,,,,,,,22.7,19.6,,,16.4,3.1,5.1,,,,,,,,
Hornsby Heights,"1,461","1,614",,,865,145,405,,,,,,,,,24.7,27.3,,,14.6,2.5,6.8,,,,,,,,
Horsley,"1,737","1,484",,,592,179,411,,,,,,,,,32.6,27.9,,,11.1,3.4,7.7,,,,,,,,
Hoxton Park,"1,217",418,,,200,,,,,231,306,,,,,36.5,12.5,,,6.0,,,,,6.9,9.2,,,,
Hunters Hill,"3,354","1,813",309,,"1,074",,,,,,,388,,,,38.1,20.6,3.5,,12.2,,,,,,,4.4,,,
Huntleys Point,66,34,6,,28,,9,,,,,,,,,39.1,20.1,3.6,,16.6,,5.3,,,,,,,,
Hurlstone Park,"1,791",417,765,,657,,,,,213,,,,,,35.7,8.3,15.3,,13.1,,,,,4.2,,,,,
Hurstville,"4,286","2,003","2,097",,"4,109",,,,,"1,357",,,,,,21.0,9.8,10.3,,20.2,,,,,6.7,,,,,
Hurstville Grove,734,408,348,,233,,94,,,,,,,,,32.7,18.2,15.5,,10.4,,4.2,,,,,,,,
Illawong,"2,475","1,974",684,,588,,487,,,,,,,,,31.3,25.0,8.7,,7.4,,6.2,,,,,,,,
Ingleburn,"4,490","3,792",,,"1,248",415,551,,,,,,,,,31.5,26.6,,,8.8,2.9,3.9,,,,,,,,
Ingleside,240,221,47,,162,,32,,,,,,,,,25.0,23.0,4.9,,16.9,,3.3,,,,,,,,
Islington,313,335,,,271,,47,39,,,,,,,,22.4,24.0,,,19.4,,3.4,2.8,,,,,,,
Jamisontown,"1,522","1,405",,,599,183,211,,,,,,,,,31.4,29.0,,,12.4,3.8,4.4,,,,,,,,
Jannali,"1,408","1,451",181,,561,,341,,,,,,,,,28.1,29.0,3.6,,11.2,,6.8,,,,,,,,
Jesmond,510,534,,,315,107,184,,,,,,,,,21.8,22.8,,,13.5,4.6,7.9,,,,,,,,
Jewells,656,868,,,283,113,310,,,,,,,,,24.8,32.8,,,10.7,4.3,11.7,,,,,,,,
Kahibah,577,731,,,280,100,267,,,,,,,,,24.2,30.6,,,11.7,4.2,11.2,,,,,,,,
Kanahooka,"1,292","1,431",,,467,227,336,,,,,,,,,28.5,31.6,,,10.3,5.0,7.4,,,,,,,,
Kangaroo Point,162,141,90,,21,,37,,,,,,,,,28.0,24.4,15.6,,3.6,,6.4,,,,,,,,
Kanwal,"1,008","1,402",,,400,138,161,,,,,,,,,27.2,37.8,,,10.8,3.7,4.3,,,,,,,,
Kareela,769,767,159,,210,,169,,,,,,,,,29.9,29.8,6.2,,8.2,,6.6,,,,,,,,
Kariong,"1,490","1,889",,,789,244,328,,,,,,,,,24.9,31.6,,,13.2,4.1,5.5,,,,,,,,
Kearns,"1,089",832,,,177,78,,,114,,,,,,,37.8,28.9,,,6.1,2.7,,,4.0,,,,,,
Keiraville,850,786,,,590,156,187,,,,,,,,,24.6,22.8,,,17.1,4.5,5.4,,,,,,,,
Kellyville,"5,056","2,892",,,"1,003",370,652,,,,,,,,,37.7,21.6,,,7.5,2.8,4.9,,,,,,,,
Kembla Grange,54,32,3,,13,,,,,3,,,,,,40.6,24.1,2.3,,9.8,,,,,2.3,,,,,
Kensington,"3,019","1,260",949,,"1,608",,,,,670,,,,,,28.3,11.8,8.9,,15.1,,,,,6.3,,,,,
Kilaben Bay,273,359,,,144,47,162,,,,,,,,,22.4,29.5,,,11.8,3.9,13.3,,,,,,,,
Killara,"1,558","2,298",,,"1,137",332,664,,,,,,,,,19.9,29.4,,,14.5,4.2,8.5,,,,,,,,
Killarney Heights,941,966,,,605,180,250,,,,,,,,,23.3,23.9,,,14.9,4.4,6.2,,,,,,,,
Killarney Vale,"2,052","2,724",,,680,292,356,,,,,,,,,28.8,38.2,,,9.5,4.1,5.0,,,,,,,,
Kincumber,"1,877","2,295",,,643,256,494,,,,,,,,,28.1,34.3,,,9.6,3.8,7.4,,,,,,,,
Kincumber South,191,215,,,65,25,25,,,,,,,,,30.4,34.2,,,10.3,4.0,4.0,,,,,,,,
Kings Langley,"3,555","2,196",,,801,305,525,,,,,,,,,37.4,23.1,,,8.4,3.2,5.5,,,,,,,,
Kings Park,"1,289",810,108,,344,,149,,,,,,,,,36.6,23.0,3.1,,9.8,,4.2,,,,,,,,
Kingsford,"3,705","1,467","1,971",,"2,061",,,,,951,,,,,,25.9,10.3,13.8,,14.4,,,,,6.7,,,,,
Kingsgrove,"3,075","1,272","2,350",,"1,018",,,,,427,,,,,,28.5,11.8,21.8,,9.4,,,,,4.0,,,,,
Kingswood,"2,425","2,200",,,"1,016",312,270,,,,,,,,,28.0,25.4,,,11.7,3.6,3.1,,,,,,,,
Kirrawee,"2,769","2,826",,,"1,220",348,567,,,,,,,,,28.8,29.4,,,12.7,3.6,5.9,,,,,,,,
Kirribilli,884,760,,,696,132,114,,,,,,,,,25.5,21.9,,,20.1,3.8,3.3,,,,,,,,
Kogarah,"2,553","1,265","1,456",,"1,507",,,,565,,,,,,,23.5,11.7,13.4,,13.9,,,,5.2,,,,,,
Kogarah Bay,565,345,408,,97,,55,,,,,,,,,30.2,18.4,21.8,,5.2,,2.9,,,,,,,,
Koolewong,184,169,,,89,30,27,,,,,,,,,23.4,21.4,,,11.3,3.8,3.4,,,,,,,,
Koonawarra,967,"1,231",,,491,162,189,,,,,,,,,25.7,32.7,,,13.1,4.3,5.0,,,,,,,,
Kotara,938,"1,082",,,425,164,439,,,,,,,,,24.6,28.4,,,11.2,4.3,11.5,,,,,,,,
Kotara South,296,335,,,141,60,99,,,,,,,,,26.4,29.8,,,12.6,5.3,8.8,,,,,,,,
Kurnell,560,814,,,270,67,80,,,,,,,,,26.2,38.1,,,12.7,3.1,3.7,,,,,,,,
Kyeemagh,221,111,262,,37,,,,36,,,,,,,26.2,13.2,31.1,,4.4,,,,4.3,,,,,,
Kyle Bay,355,299,242,,74,,54,,,,,,,,,28.7,24.2,19.5,,6.0,,4.4,,,,,,,,
La Perouse,85,148,32,,45,,25,,,,,,,,,20.3,35.4,7.7,,10.8,,6.0,,,,,,,,
Lake Haven,935,"1,241",,,355,149,196,,,,,,,,,27.0,35.9,,,10.3,4.3,5.7,,,,,,,,
Lake Heights,"1,587",583,487,,301,,79,,,,,,,,,43.0,15.8,13.2,,8.2,,2.1,,,,,,,,
Lake Illawarra,"1,038",937,,,331,127,150,,,,,,,,,31.9,28.8,,,10.2,3.9,4.6,,,,,,,,
Lakelands,432,402,,,142,60,181,,,,,,,,,27.5,25.6,,,9.1,3.8,11.5,,,,,,,,
Lakemba,"2,817",,"1,271",,"1,034",,,,"4,562",895,,,,,,19.5,,8.8,,7.1,,,,31.5,6.2,,,,,
Lalor Park,"2,384","1,972",,,774,250,285,,,,,,,,,32.0,26.5,,,10.4,3.4,3.8,,,,,,,,
Lambton,"1,253","1,204",171,,562,,388,,,,,,,,,27.6,26.5,3.8,,12.4,,8.5,,,,,,,,
Lane Cove,"2,289","1,658",,,"1,387",243,415,,,,,,,,,28.4,20.6,,,17.2,3.0,5.2,,,,,,,,
Lane Cove North,"2,144","1,552",,,"1,527",278,384,,,,,,,,,25.2,18.2,,,17.9,3.3,4.5,,,,,,,,
Lane Cove West,669,444,,,322,67,118,,,,,,,,,31.8,21.1,,,15.3,3.2,5.6,,,,,,,,
Lansvale,816,329,97,,212,,,,,475,,,,,,33.7,13.6,4.0,,8.7,,,,,19.6,,,,,
Lapstone,229,225,,,115,,74,36,,,,,,,,25.6,25.2,,,12.9,,8.3,4.0,,,,,,,
Lavender Bay,249,235,,,241,35,49,,,,,,,,,23.3,22.0,,,22.5,3.3,4.6,,,,,,,,
Leichhardt,"4,460","1,828",444,,"2,611",,379,,,,,,,,,35.7,14.6,3.6,,20.9,,3.0,,,,,,,,
Leonay,756,804,,,240,118,125,,,,,,,,,30.2,32.1,,,9.6,4.7,5.0,,,,,,,,
Lethbridge Park,"1,410","1,343",,,534,199,120,,,,,,,,,29.0,27.6,,,11.0,4.1,2.5,,,,,,,,
Leumeah,"2,714","2,737",,,829,298,307,,,,,,,,,30.0,30.3,,,9.2,3.3,3.4,,,,,,,,
Lewisham,884,361,161,,646,,,,,110,,,,,,30.2,12.3,5.5,,22.0,,,,,3.8,,,,,
Liberty Grove,432,166,,,275,,80,,,70,,,,,,31.6,12.1,,,20.1,,5.8,,,5.1,,,,,
Lidcombe,"3,601",904,,,"1,518",,,,"1,771","1,843",,,,,,28.3,7.1,,,11.9,,,,13.9,14.5,,,,,
Lilli Pilli,550,697,,,221,109,158,,,,,,,,,25.8,32.6,,,10.4,5.1,7.4,,,,,,,,
Lilyfield,"2,224","1,235",310,,"1,347",,219,,,,,,,,,32.0,17.8,4.5,,19.4,,3.2,,,,,,,,
Lindfield,"1,973","2,157",,,"1,301",299,703,,,,,,,,,24.1,26.3,,,15.9,3.6,8.6,,,,,,,,
Linley Point,112,85,,,56,23,21,,,,,,,,,31.1,23.6,,,15.6,6.4,5.8,,,,,,,,
Lisarow,"1,140","1,349",,,583,158,366,,,,,,,,,24.1,28.5,,,12.3,3.3,7.7,,,,,,,,
Little Bay,698,479,75,,179,,73,,,,,,,,,36.7,25.2,3.9,,9.4,,3.8,,,,,,,,
Liverpool,"5,911","1,865","3,217",,"1,230",,,,"2,609",,,,,,,28.9,9.1,15.7,,6.0,,,,12.7,,,,,,
Loftus,"1,134","1,208",,,439,170,316,,,,,,,,,29.1,31.0,,,11.3,4.4,8.1,,,,,,,,
Long Jetty,"1,552","1,800",,,534,256,279,,,,,,,,,29.2,33.8,,,10.0,4.8,5.2,,,,,,,,
Long Point,105,93,13,,33,,,,,20,,,,,,29.3,26.0,3.6,,9.2,,,,,5.6,,,,,
Longueville,710,480,,,244,74,113,,,,,,,,,34.9,23.6,,,12.0,3.6,5.6,,,,,,,,
Lugarno,"1,568","1,387",535,,520,,404,,,,,,,,,28.4,25.1,9.7,,9.4,,7.3,,,,,,,,
Lurnea,"2,853","1,415",459,,401,,,,"1,299",,,,,,,35.6,17.7,5.7,,5.0,,,,16.2,,,,,,
Macquarie Fields,"3,787","3,309",,,"1,329",,,,651,,437,,,,,27.6,24.1,,,9.7,,,,4.7,,3.2,,,,
Macquarie Hills,721,709,,,260,128,245,,,,,,,,,28.6,28.2,,,10.3,5.1,9.7,,,,,,,,
Macquarie Links,143,67,9,,18,,14,,,,,,,,,43.9,20.6,2.8,,5.5,,4.3,,,,,,,,
Macquarie Park,"1,151",868,,,"1,109",,,328,244,,,,,,,19.1,14.4,,,18.4,,,5.5,4.1,,,,,,
Malabar,"1,474",864,150,,345,102,,,,,,,,,,32.4,19.0,3.3,,7.6,2.2,,,,,,,,,
Mangerton,704,588,201,,320,,146,,,,,,,,,27.8,23.2,7.9,,12.6,,5.8,,,,,,,,
Manly,"3,363","3,162",,,"2,763",451,510,,,,,,,,,23.8,22.3,,,19.5,3.2,3.6,,,,,,,,
Manly Vale,"1,412","1,210",,,816,210,198,,,,,,,,,28.6,24.5,,,16.5,4.3,4.0,,,,,,,,
Marayong,"3,022","1,481",,,549,174,289,,,,,,,,,42.7,20.9,,,7.8,2.5,4.1,,,,,,,,
Mardi,609,707,,,305,94,131,,,,,,,,,25.3,29.4,,,12.7,3.9,5.4,,,,,,,,
Marks Point,379,546,,,194,91,137,,,,,,,,,22.5,32.4,,,11.5,5.4,8.1,,,,,,,,
Marmong Point,90,119,,,48,18,50,,,,,,,,,22.4,29.7,,,12.0,4.5,12.5,,,,,,,,
Maroubra,"8,434","3,591","2,643",,"3,163",,,,,974,,,,,,33.3,14.2,10.4,,12.5,,,,,3.8,,,,,
Marrickville,"6,878","1,853","3,236",,"3,601",,,,,"2,349",,,,,,27.7,7.5,13.0,,14.5,,,,,9.5,,,,,
Marsfield,"3,424","1,654",,,"1,899",499,,,,471,,,,,,30.4,14.7,,,16.9,4.4,,,,4.2,,,,,
Maryland,"1,770","2,096",,,758,231,652,,,,,,,,,25.7,30.5,,,11.0,3.4,9.5,,,,,,,,
Maryville,246,271,,,197,37,66,,,,,,,,,23.8,26.2,,,19.1,3.6,6.4,,,,,,,,
Mascot,"2,921","1,070",956,,556,,,,531,,,,,,,36.5,13.4,11.9,,6.9,,,,6.6,,,,,,
Matraville,"3,519","1,525",523,,934,,,,,259,,,,,,40.7,17.7,6.1,,10.8,,,,,3.0,,,,,
Mayfield,"2,627","2,320",,,"1,137",317,527,,,,,,,,,29.1,25.7,,,12.6,3.5,5.8,,,,,,,,
Mayfield East,380,337,,,219,42,69,,,,,,,,,25.8,22.9,,,14.9,2.9,4.7,,,,,,,,
Mayfield West,511,459,,,199,69,143,,,,,,,,,30.0,26.9,,,11.7,4.0,8.4,,,,,,,,
Mays Hill,200,102,37,,56,,,,40,,,,,,,30.2,15.4,5.6,,8.5,,,,6.0,,,,,,
McMahons Point,406,455,,,456,61,84,,,,,,,,,19.4,21.7,,,21.8,2.9,4.0,,,,,,,,
Meadowbank,527,243,,,352,,,,,98,134,,,,,25.6,11.8,,,17.1,,,,,4.8,6.5,,,,
Melrose Park,654,398,,,228,71,114,,,,,,,,,32.9,20.0,,,11.5,3.6,5.7,,,,,,,,
Menai,"3,605","2,553",685,,810,,523,,,,,,,,,34.1,24.2,6.5,,7.7,,5.0,,,,,,,,
Merewether,"2,948","2,785",,,"1,398",465,748,,,,,,,,,29.6,28.0,,,14.0,4.7,7.5,,,,,,,,
Merewether Heights,320,419,,,160,88,103,,,,,,,,,24.7,32.4,,,12.4,6.8,8.0,,,,,,,,
Merrylands,"8,056","2,276","1,155",,"1,298",,,,"1,885",,,,,,,40.9,11.6,5.9,,6.6,,,,9.6,,,,,,
Merrylands West,"2,387",842,221,,341,,,,409,,,,,,,43.5,15.3,4.0,,6.2,,,,7.5,,,,,,
Middle Cove,238,208,,,178,,51,,,,,46,,,,25.0,21.8,,,18.7,,5.4,,,,,4.8,,,
Miller,931,626,,,193,,,,340,212,,,,,,29.5,19.8,,,6.1,,,,10.8,6.7,,,,,
Millers Point,351,234,,,181,38,,,,42,,,,,,28.5,19.0,,,14.7,3.1,,,,3.4,,,,,
Milperra,"1,320","1,367",,,270,132,186,,,,,,,,,33.6,34.7,,,6.9,3.4,4.7,,,,,,,,
Milsons Point,283,207,,,274,,52,,,76,,,,,,21.8,16.0,,,21.1,,4.0,,,5.9,,,,,
Minchinbury,"2,167",923,161,,308,,,,231,,,,,,,41.3,17.6,3.1,,5.9,,,,4.4,,,,,,
Minmi,112,241,,,95,32,61,,,,,,,,,17.4,37.4,,,14.8,5.0,9.5,,,,,,,,
Minto,"3,113","2,671",,,"1,102",334,,,514,,,,,,,27.5,23.6,,,9.8,3.0,,,4.5,,,,,,
Miranda,"3,931","3,369",482,,"1,253",,611,,,,,,,,,31.6,27.1,3.9,,10.1,,4.9,,,,,,,,
Mona Vale,"2,273","2,765",,,"1,389",344,535,,,,,,,,,24.5,29.8,,,15.0,3.7,5.8,,,,,,,,
Monterey,"1,104",686,955,113,289,,,,,,,,,,,27.3,16.9,23.6,2.8,7.1,,,,,,,,,,
Moorebank,"2,552","1,856",527,,521,,,,227,,,,,,,42.8,31.1,8.8,,8.7,,,,3.8,,,,,,
Mortdale,"2,535","1,959",747,,"1,252",,341,,,,,,,,,27.5,21.3,8.1,,13.6,,3.7,,,,,,,,
Mortlake,108,97,,,55,13,20,,,,,,,,,30.0,26.9,,,15.3,3.6,5.6,,,,,,,,
