,Less than $650 gross weekly income,More than $3000 gross weekly income,Less than $650 gross weekly income (%),More than $3000 gross weekly income (%),SSC_CODE
Parkes (NSW),--,--,27.0,9.4,13151
Cookamidgera,--,--,32.1,11.3,11016
Peak Hill (NSW),--,--,41.2,4.6,13166
Trundle,--,--,35.5,5.7,13940
Bogan Gate,--,--,31.9,8.7,10438
Alectown,--,--,26.9,13.4,10029
West Wyalong,--,--,25.7,10.2,14256
Wyalong,--,--,23.0,9.5,14431
Weethalle,--,--,35.2,6.6,14215
Tallimba,--,--,28.0,8.0,13732
Barellan,--,--,28.0,11.3,10197
Ardlethan,--,--,35.7,2.3,10076
Ariah Park,--,--,32.4,8.2,10081
Barmedman,--,--,34.0,7.5,10202
Beckom,--,--,20.6,17.6,10244
South Bowenfels,--,--,20.2,19.7,13578
Marrangaroo,--,--,11.7,25.8,12502
Lithgow,--,--,35.8,7.4,12347
Bowenfels,--,--,39.5,6.7,10529
Rydal,--,--,38.5,5.8,13452
Pottery Estate,--,--,44.9,6.1,13254
Oakey Park,--,--,27.9,5.7,13055
Morts Estate,--,--,30.4,5.1,12732
Hermitage Flat,--,--,37.0,3.0,11895
McKellars Park,--,--,26.7,10.7,12544
South Littleton,--,--,27.9,15.3,13590
Littleton,--,--,27.0,9.8,12360
Vale Of Clwydd,--,--,36.3,4.9,14064
Portland (NSW),--,--,29.5,8.9,13250
Lidsdale,--,--,18.4,15.8,12318
Wallerawang,--,--,27.7,9.8,14114
Little Hartley,--,--,15.4,18.3,12352
Hartley (NSW),--,--,27.9,16.2,11861
Clarence,--,--,28.6,11.1,10919
Glen Davis,--,--,53.8,0.0,11646
Cullen Bullen,--,--,32.4,12.7,11148
Megalong Valley,--,--,21.6,8.1,12557
Kanimbla (NSW),--,--,17.2,20.7,12065
Running Stream,--,--,31.7,9.8,13441
Mudgee,--,--,23.5,13.2,12812
Putta Bucca,--,--,4.9,36.1,13278
Bombira,--,--,11.1,32.3,10457
Burrundulla,--,--,12.2,29.3,10717
Spring Flat,--,--,11.3,17.0,13613
Kandos,--,--,44.4,2.0,12057
Rylstone,--,--,34.7,6.5,13457
Ilford,--,--,36.8,8.8,11971
Clandulla,--,--,37.9,8.6,10916
Charbon,--,--,48.0,0.0,10883
Lue,--,--,33.9,5.4,12420
Gulgong,--,--,28.7,7.8,11794
Dunedoo,--,--,33.2,4.5,11316
Leadville,--,--,31.4,0.0,12290
Cassilis (NSW),--,--,26.1,6.3,10844
Tallawang,--,--,22.7,0.0,13731
Beryl,--,--,25.0,12.5,10327
Stubbo,--,--,25.6,9.0,13682
Cope,--,--,37.0,11.1,11057
Yarrawonga (NSW),--,--,30.6,9.1,14486
Piambong,--,--,19.0,21.4,13197
Cooks Gap,--,--,26.5,11.1,11018
Frog Rock,--,--,23.1,19.2,11570
Cooyal,--,--,20.0,16.7,11055
St Fillans,--,--,29.3,9.3,13634
Eurunderee,--,--,12.8,12.8,11467
Budgee Budgee (NSW),--,--,17.5,25.4,10641
Kains Flat,--,--,25.0,0.0,12049
Menah,--,--,13.3,24.4,12566
Grattai,--,--,21.1,8.4,11741
Hargraves,--,--,44.0,4.4,11854
Bocoble,--,--,22.7,6.8,10432
Mount Frome,--,--,17.6,20.6,12760
Buckaroo,--,--,20.0,15.0,10630
Blayney,--,--,28.5,7.9,10410
Millthorpe,--,--,14.0,15.6,12623
Carcoar,--,--,33.0,17.0,10808
Lyndhurst (Blayney - NSW),--,--,27.8,7.9,12426
Forest Reefs,--,--,16.7,24.6,11547
Neville,--,--,24.1,9.6,12937
Barry (Blayney - NSW),--,--,40.4,10.6,10218
Newbridge (NSW),--,--,28.8,6.8,12948
Orange,--,--,23.6,12.1,13092
Clifton Grove,--,--,9.9,31.3,10934
Cumnock,--,--,27.0,8.8,11159
Cudal,--,--,24.3,8.8,11140
Molong,--,--,24.3,9.1,12671
Manildra,--,--,29.2,10.3,12473
Cargo,--,--,19.9,12.9,10813
Spring Terrace,--,--,8.6,11.4,13620
Springside (NSW),--,--,10.4,28.1,13626
Spring Hill (Cabonne - NSW),--,--,13.1,15.9,13615
Guyong,--,--,14.3,25.0,11821
Emu Swamp,--,--,7.5,22.5,11419
Lewis Ponds,--,--,7.1,16.7,12312
Lucknow (NSW),--,--,9.9,23.1,12418
Spring Creek (NSW),--,--,13.3,31.1,13611
Huntley (Orange - NSW),--,--,9.1,31.8,11958
Canobolas,--,--,13.0,30.8,10793
Clergate,--,--,14.5,12.7,10929
March,--,--,20.9,11.6,12486
Summer Hill Creek,--,--,11.6,20.3,13688
Nashdale,--,--,16.1,21.4,12913
Windera (NSW),--,--,0.0,31.3,14319
Lidster,--,--,11.4,35.4,12319
Borenore,--,--,14.9,28.1,10513
Yeoval,--,--,32.0,4.8,14507
Grafton,--,--,30.5,5.5,11733
Rushforth,--,--,17.9,6.4,13446
Great Marlow,--,--,17.6,16.2,11745
South Grafton,--,--,35.3,3.3,13582
Junction Hill,--,--,18.0,9.7,12045
Carrs Creek,--,--,19.4,8.3,10834
Tucabia,--,--,26.0,2.4,13945
Ulmarra,--,--,30.1,3.5,14004
Ramornie,--,--,39.0,6.8,13308
Nymboida,--,--,50.0,3.0,13048
Blaxlands Creek,--,--,13.9,0.0,10408
Wells Crossing,--,--,35.8,0.0,14223
Kungala,--,--,26.7,0.0,12212
Wooli,--,--,46.6,2.2,14403
Halfway Creek,--,--,32.9,0.0,11831
Copmanhurst,--,--,31.2,0.0,11060
Whiteman Creek,--,--,16.7,6.2,14277
Waterview Heights,--,--,17.5,10.4,14186
Lawrence (NSW),--,--,28.8,3.6,12288
Seelands,--,--,17.5,10.5,13515
Mountain View (NSW),--,--,22.9,12.5,12808
Southgate,--,--,39.3,4.9,13604
Lower Southgate,--,--,23.7,7.9,12413
Ashby Heights,--,--,34.7,0.0,10095
Tullymorgan,--,--,20.5,6.8,13960
Ashby (NSW),--,--,26.9,3.8,10094
South Arm (Clarence Valley - NSW),--,--,30.8,9.0,13574
Woodford Island,--,--,25.0,5.0,14384
Brushgrove,--,--,31.9,0.0,10622
Elland,--,--,16.0,11.0,11399
Coutts Crossing,--,--,28.3,4.3,11094
Kremnos,--,--,34.4,4.7,12204
Lanitza,--,--,30.4,3.3,12270
Braunstone,--,--,18.8,7.1,10550
Glenugie,--,--,22.2,0.0,11681
Clarenza,--,--,17.3,15.4,10922
Swan Creek (NSW),--,--,18.8,0.0,13706
Pillar Valley,--,--,38.7,4.7,13204
Minnie Water,--,--,33.3,7.8,12640
Tyndale,--,--,37.3,0.0,13997
Ilarwill,--,--,28.7,6.9,11970
Yamba (NSW),--,--,30.9,5.6,14458
Gulmarrad,--,--,18.0,5.6,11795
Angourie,--,--,20.5,10.8,10059
Brooms Head,--,--,43.0,5.4,10603
Wooloweyah,--,--,22.0,7.1,14411
Woombah,--,--,34.8,1.9,14414
Maclean,--,--,33.8,3.3,12431
Iluka (NSW),--,--,41.1,2.2,11975
Harwood,--,--,32.8,8.6,11865
Chatsworth (NSW),--,--,19.2,5.8,10894
Townsend,--,--,26.5,2.9,13928
Palmers Channel,--,--,28.3,13.0,13135
James Creek,--,--,15.6,10.9,11999
Palmers Island,--,--,24.8,8.5,13136
Bellingen,--,--,26.8,4.8,10273
Brierfield,--,--,21.4,12.6,10568
Fernmount,--,--,27.6,8.7,11509
Darkwood,--,--,36.2,8.6,11210
Gleniffer,--,--,24.1,9.0,11668
Kalang,--,--,22.9,10.0,12050
Coffs Harbour,--,--,28.6,6.9,10959
North Boambee Valley,--,--,23.7,11.7,12983
Coramba,--,--,19.8,9.5,11065
Nana Glen,--,--,22.4,4.9,12889
Upper Orara,--,--,14.8,14.3,14041
Bucca (NSW),--,--,23.0,12.8,10625
Karangi,--,--,14.5,12.5,12072
Megan,--,--,34.0,0.0,12558
Ulong,--,--,39.1,4.7,14005
Dorrigo,--,--,39.2,3.5,11278
Deer Vale,--,--,36.2,0.0,11232
Fernbrook,--,--,30.4,5.4,11506
Hernani,--,--,15.6,12.5,11896
North Dorrigo,--,--,40.6,0.0,12989
Sapphire Beach,--,--,16.5,20.0,13491
Emerald Beach,--,--,14.7,12.2,11411
Korora,--,--,15.1,15.0,12197
Moonee Beach,--,--,13.3,15.5,12703
Toormina,--,--,31.4,2.9,13912
Boambee East,--,--,19.7,5.6,10422
Boambee,--,--,14.2,17.1,10421
Sawtell,--,--,24.8,10.4,13498
Bonville,--,--,13.4,12.1,10474
Bundagen,--,--,71.0,0.0,10669
Mylestom,--,--,24.4,5.9,12875
Raleigh,--,--,19.1,7.1,13307
Urunga,--,--,29.6,5.4,14061
Repton,--,--,27.9,8.1,13352
Valla,--,--,22.3,13.9,14067
Woolgoolga,--,--,29.4,6.6,14402
Safety Beach (NSW),--,--,15.0,12.1,13462
Sandy Beach,--,--,20.8,4.2,13479
Corindi Beach,--,--,19.3,7.8,11073
Red Rock,--,--,32.0,6.5,13334
Arrawarra,--,--,45.1,1.3,10088
Arrawarra Headland,--,--,23.3,14.5,10089
Mullaway,--,--,26.9,7.8,12822
Bourke,--,--,19.6,9.5,10522
Wanaaring,--,--,14.3,14.3,14126
North Bourke,--,--,17.1,12.9,12985
Enngonia,--,--,42.4,0.0,11426
Brewarrina,--,--,33.3,3.6,10563
Cobar,--,--,19.2,18.0,10949
Coonamble,--,--,30.8,5.6,11044
Gulargambone,--,--,36.9,5.9,11792
Quambone,--,--,50.0,5.2,13287
Nyngan,--,--,28.0,11.2,13049
Nevertire,--,--,22.2,7.4,12936
Warren,--,--,25.8,6.1,14171
Hermidale,--,--,13.2,10.5,11894
Ravenswood (NSW),--,--,41.8,3.8,13321
Cumborah,--,--,60.3,0.0,11158
Goodooga,--,--,42.7,4.0,11702
Carinda,--,--,33.3,0.0,10814
Pilliga,--,--,55.2,5.2,13205
Come By Chance,--,--,14.3,7.1,10993
Walgett,--,--,29.0,8.0,14096
Burren Junction,--,--,35.6,3.3,10710
Lightning Ridge,--,--,47.2,3.5,12320
Collarenebri,--,--,31.5,6.1,10969
Rowena,--,--,36.5,5.8,13431
Broken Hill,--,--,32.0,8.2,10592
White Cliffs,--,--,48.7,10.3,14274
Menindee,--,--,36.7,2.4,12571
