,Couple family without children,Couple family with children,One parent family,Other family,Couple family without children (%),Couple family with children (%),One parent family (%),Other family (%)
Kotara South,139.0,160.0,52.0,0.0,39.6,45.6,14.8,0.0
Kurnell,176.0,331.0,115.0,7.0,28.0,52.6,18.3,1.1
Kyeemagh,89.0,94.0,43.0,3.0,38.9,41.0,18.8,1.3
Kyle Bay,67.0,145.0,22.0,3.0,28.3,61.2,9.3,1.3
La Perouse,31.0,39.0,34.0,3.0,29.0,36.4,31.8,2.8
Lake Haven,382.0,291.0,214.0,21.0,42.1,32.0,23.6,2.3
Lake Heights,360.0,358.0,178.0,18.0,39.4,39.2,19.5,2.0
Lake Illawarra,303.0,266.0,252.0,19.0,36.1,31.7,30.0,2.3
Lakelands (NSW),136.0,247.0,46.0,3.0,31.5,57.2,10.6,0.7
Lakemba,921.0,2164.0,577.0,104.0,24.5,57.5,15.3,2.8
Lalor Park,536.0,777.0,506.0,55.0,28.6,41.5,27.0,2.9
Lambton,445.0,580.0,286.0,34.0,33.1,43.1,21.3,2.5
Lane Cove,950.0,1202.0,302.0,54.0,37.9,47.9,12.0,2.2
Lane Cove North,963.0,1089.0,330.0,72.0,39.2,44.4,13.4,2.9
Lane Cove West,164.0,369.0,67.0,7.0,27.0,60.8,11.0,1.2
Lansvale,175.0,315.0,134.0,21.0,27.1,48.8,20.8,3.3
Lapstone,112.0,131.0,32.0,4.0,40.1,47.0,11.5,1.4
Lavender Bay,119.0,53.0,21.0,4.0,60.4,26.9,10.7,2.0
Leichhardt (NSW),1395.0,1469.0,511.0,113.0,40.0,42.1,14.7,3.2
Leonay,293.0,350.0,83.0,6.0,40.0,47.8,11.3,0.8
Lethbridge Park,283.0,409.0,458.0,34.0,23.9,34.5,38.7,2.9
Leumeah,863.0,1127.0,573.0,50.0,33.0,43.1,21.9,1.9
Lewisham (NSW),287.0,289.0,99.0,18.0,41.4,41.7,14.3,2.6
Liberty Grove,178.0,305.0,78.0,17.0,30.8,52.8,13.5,2.9
Lidcombe,1327.0,2225.0,683.0,143.0,30.3,50.8,15.6,3.3
Lilli Pilli (Sutherland - NSW),132.0,209.0,26.0,3.0,35.7,56.5,7.0,0.8
Lilyfield,634.0,925.0,255.0,51.0,34.0,49.6,13.7,2.7
Lindfield,665.0,1338.0,267.0,35.0,28.9,58.0,11.6,1.5
Linley Point,37.0,62.0,6.0,0.0,35.2,59.0,5.7,0.0
Lisarow,390.0,770.0,199.0,15.0,28.4,56.0,14.5,1.1
Little Bay,261.0,383.0,92.0,9.0,35.0,51.4,12.3,1.2
Liverpool,1524.0,3007.0,1316.0,124.0,25.5,50.4,22.0,2.1
Loftus,359.0,615.0,145.0,8.0,31.9,54.6,12.9,0.7
Long Jetty,581.0,473.0,439.0,25.0,38.3,31.2,28.9,1.6
Long Point (Campbelltown - NSW),21.0,28.0,12.0,0.0,34.4,45.9,19.7,0.0
Longueville,184.0,350.0,41.0,4.0,31.8,60.4,7.1,0.7
Lugarno,606.0,880.0,140.0,16.0,36.9,53.6,8.5,1.0
Lurnea,554.0,1098.0,573.0,30.0,24.6,48.7,25.4,1.3
Macquarie Fields,856.0,1624.0,962.0,74.0,24.3,46.2,27.4,2.1
Macquarie Hills,291.0,461.0,112.0,15.0,33.1,52.4,12.7,1.7
Macquarie Links,72.0,211.0,20.0,3.0,23.5,69.0,6.5,1.0
Macquarie Park,599.0,383.0,155.0,50.0,50.5,32.3,13.1,4.2
Malabar,278.0,425.0,172.0,13.0,31.3,47.9,19.4,1.5
Mangerton,249.0,352.0,109.0,9.0,34.6,49.0,15.2,1.3
Manly (NSW),2042.0,1220.0,347.0,65.0,55.6,33.2,9.4,1.8
Manly Vale,563.0,703.0,235.0,22.0,37.0,46.2,15.4,1.4
Marayong,559.0,928.0,414.0,39.0,28.8,47.8,21.3,2.0
Mardi,313.0,455.0,156.0,7.0,33.6,48.9,16.8,0.8
Marks Point,200.0,147.0,116.0,18.0,41.6,30.6,24.1,3.7
Marmong Point,81.0,98.0,21.0,4.0,39.7,48.0,10.3,2.0
Maroubra,2635.0,3302.0,1269.0,281.0,35.2,44.1,16.9,3.8
Marrickville,2354.0,2503.0,1120.0,193.0,38.2,40.6,18.2,3.1
Marsfield,1199.0,1343.0,385.0,98.0,39.6,44.4,12.7,3.2
Maryland (Newcastle - NSW),679.0,1148.0,384.0,24.0,30.4,51.4,17.2,1.1
Maryville,178.0,115.0,87.0,9.0,45.8,29.6,22.4,2.3
Mascot,1013.0,1234.0,413.0,104.0,36.6,44.6,14.9,3.8
Matraville,635.0,1263.0,465.0,52.0,26.3,52.3,19.3,2.2
Mayfield (Newcastle - NSW),872.0,754.0,509.0,62.0,39.7,34.3,23.2,2.8
Mayfield East,157.0,140.0,114.0,11.0,37.2,33.2,27.0,2.6
Mayfield West,167.0,168.0,93.0,13.0,37.9,38.1,21.1,2.9
Mays Hill,57.0,100.0,26.0,7.0,30.0,52.6,13.7,3.7
McMahons Point,405.0,142.0,46.0,3.0,68.0,23.8,7.7,0.5
Meadowbank (NSW),568.0,292.0,86.0,32.0,58.1,29.9,8.8,3.3
Melrose Park (NSW),126.0,237.0,40.0,7.0,30.7,57.8,9.8,1.7
Menai,738.0,1730.0,456.0,21.0,25.1,58.7,15.5,0.7
Merewether,1065.0,1205.0,319.0,61.0,40.2,45.5,12.0,2.3
Merewether Heights,162.0,213.0,33.0,3.0,39.4,51.8,8.0,0.7
Merrylands,1831.0,3465.0,1304.0,166.0,27.1,51.2,19.3,2.5
Merrylands West,448.0,719.0,326.0,38.0,29.3,47.0,21.3,2.5
Middle Cove,110.0,212.0,35.0,3.0,30.6,58.9,9.7,0.8
Miller,141.0,305.0,236.0,16.0,20.2,43.7,33.8,2.3
Millers Point,270.0,69.0,60.0,12.0,65.7,16.8,14.6,2.9
Milperra,401.0,578.0,136.0,6.0,35.8,51.6,12.1,0.5
Milsons Point,355.0,138.0,43.0,12.0,64.8,25.2,7.8,2.2
Minchinbury,320.0,894.0,212.0,20.0,22.1,61.8,14.7,1.4
Minmi,57.0,109.0,35.0,0.0,28.4,54.2,17.4,0.0
Minto,637.0,1431.0,586.0,52.0,23.5,52.9,21.7,1.9
Miranda (NSW),1486.0,1655.0,711.0,68.0,37.9,42.2,18.1,1.7
Mona Vale,1057.0,1303.0,374.0,23.0,38.3,47.3,13.6,0.8
Monterey,448.0,526.0,222.0,28.0,36.6,43.0,18.1,2.3
Moorebank,669.0,1090.0,337.0,23.0,31.6,51.4,15.9,1.1
Mortdale,920.0,1265.0,418.0,61.0,34.5,47.5,15.7,2.3
Mortlake (NSW),93.0,98.0,29.0,3.0,41.7,43.9,13.0,1.3
Mosman,2932.0,3239.0,769.0,102.0,41.6,46.0,10.9,1.4
Mount Annan,728.0,1781.0,361.0,18.0,25.2,61.7,12.5,0.6
Mount Colah,568.0,1183.0,229.0,21.0,28.4,59.1,11.4,1.0
Mount Druitt,909.0,2208.0,800.0,94.0,22.7,55.0,19.9,2.3
Mount Hutton (NSW),334.0,344.0,162.0,10.0,39.3,40.5,19.1,1.2
Mount Keira,162.0,227.0,49.0,5.0,36.6,51.2,11.1,1.1
Mount Kembla,98.0,163.0,28.0,3.0,33.6,55.8,9.6,1.0
Mount Lewis,75.0,153.0,68.0,3.0,25.1,51.2,22.7,1.0
Mount Ousley,177.0,208.0,54.0,8.0,39.6,46.5,12.1,1.8
Mount Pleasant (NSW),133.0,179.0,31.0,0.0,38.8,52.2,9.0,0.0
Mount Pritchard,583.0,1150.0,606.0,43.0,24.5,48.3,25.4,1.8
Mount Riverview,351.0,422.0,94.0,7.0,40.2,48.3,10.8,0.8
Mount Saint Thomas,131.0,185.0,64.0,0.0,34.5,48.7,16.8,0.0
Mount Warrigal,579.0,523.0,263.0,22.0,41.7,37.7,19.0,1.6
Narara,698.0,1045.0,419.0,20.0,32.0,47.9,19.2,0.9
Narellan,305.0,465.0,184.0,15.0,31.5,48.0,19.0,1.5
Narellan Vale,540.0,1153.0,297.0,19.0,26.9,57.4,14.8,0.9
Naremburn,606.0,727.0,172.0,35.0,39.4,47.2,11.2,2.3
Narrabeen,935.0,584.0,263.0,26.0,51.7,32.3,14.5,1.4
Narraweena,521.0,825.0,266.0,18.0,32.0,50.6,16.3,1.1
Narwee,396.0,634.0,221.0,22.0,31.1,49.8,17.4,1.7
Neutral Bay,1368.0,669.0,231.0,71.0,58.5,28.6,9.9,3.0
New Lambton,927.0,1145.0,434.0,45.0,36.3,44.9,17.0,1.8
New Lambton Heights,234.0,335.0,53.0,0.0,37.6,53.9,8.5,0.0
Newcastle,343.0,112.0,52.0,16.0,65.6,21.4,9.9,3.1
Newcastle East,109.0,58.0,39.0,4.0,51.9,27.6,18.6,1.9
Newcastle West,62.0,26.0,21.0,4.0,54.9,23.0,18.6,3.5
Newington (NSW),529.0,824.0,143.0,31.0,34.6,54.0,9.4,2.0
Newport (NSW),942.0,1208.0,326.0,30.0,37.6,48.2,13.0,1.2
Newtown (NSW),1686.0,889.0,329.0,120.0,55.8,29.4,10.9,4.0
Niagara Park,217.0,381.0,152.0,11.0,28.5,50.1,20.0,1.4
Norah Head,135.0,121.0,44.0,3.0,44.6,39.9,14.5,1.0
Noraville,258.0,292.0,159.0,16.0,35.6,40.3,21.9,2.2
Normanhurst,439.0,714.0,164.0,8.0,33.1,53.9,12.4,0.6
North Avoca,210.0,253.0,66.0,5.0,39.3,47.4,12.4,0.9
North Balgowlah,213.0,608.0,109.0,9.0,22.7,64.7,11.6,1.0
North Bondi,726.0,1000.0,222.0,40.0,36.5,50.3,11.2,2.0
North Curl Curl,249.0,568.0,121.0,17.0,26.1,59.5,12.7,1.8
North Epping,369.0,734.0,106.0,11.0,30.2,60.2,8.7,0.9
North Gosford,298.0,369.0,201.0,8.0,34.0,42.1,22.9,0.9
North Lambton,319.0,267.0,162.0,16.0,41.8,34.9,21.2,2.1
North Manly,204.0,447.0,83.0,8.0,27.5,60.2,11.2,1.1
North Narrabeen,502.0,821.0,169.0,13.0,33.4,54.6,11.2,0.9
North Parramatta,1073.0,1265.0,567.0,82.0,35.9,42.4,19.0,2.7
North Rocks,751.0,1208.0,225.0,26.0,34.0,54.7,10.2,1.2
North Ryde,823.0,1448.0,386.0,38.0,30.5,53.7,14.3,1.4
North St Marys,268.0,357.0,325.0,25.0,27.5,36.6,33.3,2.6
North Strathfield,375.0,530.0,144.0,35.0,34.6,48.9,13.3,3.2
North Sydney,879.0,400.0,127.0,51.0,60.3,27.5,8.7,3.5
North Turramurra,473.0,480.0,83.0,13.0,45.1,45.8,7.9,1.2
North Wahroonga,195.0,319.0,51.0,4.0,34.3,56.1,9.0,0.7
North Willoughby,352.0,532.0,153.0,31.0,33.0,49.8,14.3,2.9
North Wollongong,180.0,84.0,61.0,11.0,53.6,25.0,18.2,3.3
Northbridge (NSW),489.0,941.0,166.0,17.0,30.3,58.3,10.3,1.1
Northmead,1099.0,1264.0,415.0,57.0,38.8,44.6,14.6,2.0
Northwood (NSW),90.0,148.0,13.0,0.0,35.9,59.0,5.2,0.0
Oak Flats,650.0,802.0,348.0,27.0,35.6,43.9,19.0,1.5
Oakhurst (NSW),332.0,1137.0,313.0,11.0,18.5,63.4,17.5,0.6
Oatlands (NSW),401.0,770.0,190.0,19.0,29.1,55.8,13.8,1.4
Oatley,953.0,1503.0,334.0,35.0,33.7,53.2,11.8,1.2
Old Guildford,134.0,359.0,112.0,9.0,21.8,58.5,18.2,1.5
Old Toongabbie,256.0,387.0,102.0,7.0,34.0,51.5,13.6,0.9
Ourimbah,357.0,560.0,206.0,13.0,31.4,49.3,18.1,1.1
Oxley Park,221.0,307.0,230.0,18.0,28.5,39.6,29.6,2.3
Oyster Bay,456.0,904.0,164.0,8.0,29.8,59.0,10.7,0.5
Paddington (NSW),1365.0,952.0,275.0,67.0,51.3,35.8,10.3,2.5
Padstow,1078.0,1726.0,615.0,64.0,31.0,49.6,17.7,1.8
Padstow Heights,329.0,469.0,123.0,12.0,35.3,50.3,13.2,1.3
Pagewood,276.0,531.0,149.0,19.0,28.3,54.5,15.3,1.9
Palm Beach (NSW),229.0,156.0,46.0,3.0,52.8,35.9,10.6,0.7
Panania,894.0,1636.0,557.0,49.0,28.5,52.2,17.8,1.6
Parramatta,2132.0,1945.0,597.0,202.0,43.7,39.9,12.2,4.1
Peakhurst,829.0,1347.0,386.0,38.0,31.9,51.8,14.8,1.5
Peakhurst Heights,263.0,340.0,92.0,10.0,37.3,48.2,13.0,1.4
Pearl Beach,88.0,25.0,16.0,0.0,68.2,19.4,12.4,0.0
Pelican (NSW),116.0,98.0,35.0,8.0,45.1,38.1,13.6,3.1
Pendle Hill,515.0,866.0,262.0,37.0,30.7,51.5,15.6,2.2
Pennant Hills,626.0,1071.0,219.0,24.0,32.3,55.2,11.3,1.2
Penrith,1027.0,1021.0,756.0,85.0,35.5,35.3,26.2,2.9
Penrose (Wollongong - NSW),129.0,184.0,79.0,3.0,32.7,46.6,20.0,0.8
Penshurst (NSW),1041.0,1576.0,506.0,57.0,32.7,49.6,15.9,1.8
Petersham,735.0,712.0,260.0,47.0,41.9,40.6,14.8,2.7
Phillip Bay,57.0,89.0,26.0,4.0,32.4,50.6,14.8,2.3
Picnic Point,549.0,855.0,196.0,12.0,34.1,53.0,12.2,0.7
Plumpton (NSW),391.0,1364.0,325.0,22.0,18.6,64.9,15.5,1.0
Point Clare,369.0,463.0,159.0,12.0,36.8,46.2,15.9,1.2
Point Frederick,209.0,161.0,78.0,3.0,46.3,35.7,17.3,0.7
Point Piper,163.0,98.0,43.0,10.0,51.9,31.2,13.7,3.2
Port Kembla,469.0,531.0,311.0,21.0,35.2,39.9,23.3,1.6
Potts Point,885.0,136.0,61.0,30.0,79.6,12.2,5.5,2.7
Prairiewood,239.0,444.0,164.0,8.0,28.0,51.9,19.2,0.9
Prestons,734.0,2562.0,470.0,26.0,19.4,67.6,12.4,0.7
Primbee,171.0,183.0,86.0,5.0,38.4,41.1,19.3,1.1
Prospect (NSW),387.0,716.0,183.0,23.0,29.6,54.7,14.0,1.8
Punchbowl (Canterbury - NSW),954.0,2534.0,866.0,99.0,21.4,56.9,19.4,2.2
Putney,293.0,672.0,136.0,16.0,26.2,60.2,12.2,1.4
Pymble,889.0,1774.0,281.0,29.0,29.9,59.7,9.5,1.0
Pyrmont,1764.0,680.0,314.0,111.0,61.5,23.7,10.9,3.9
Quakers Hill,1837.0,4199.0,1131.0,66.0,25.4,58.1,15.6,0.9
Queens Park (NSW),270.0,386.0,93.0,10.0,35.6,50.9,12.3,1.3
Raby,483.0,894.0,297.0,14.0,28.6,53.0,17.6,0.8
Ramsgate,79.0,118.0,59.0,3.0,30.5,45.6,22.8,1.2
Ramsgate Beach,162.0,134.0,73.0,12.0,42.5,35.2,19.2,3.1
Randwick,2805.0,2714.0,861.0,231.0,42.4,41.1,13.0,3.5
Rankin Park,327.0,321.0,86.0,8.0,44.1,43.3,11.6,1.1
Redfern,1393.0,500.0,317.0,105.0,60.2,21.6,13.7,4.5
Redhead,374.0,449.0,115.0,12.0,39.4,47.3,12.1,1.3
Regents Park (NSW),274.0,605.0,236.0,26.0,24.0,53.0,20.7,2.3
Regentville,42.0,94.0,26.0,3.0,25.5,57.0,15.8,1.8
Revesby,995.0,1686.0,655.0,86.0,29.1,49.3,19.1,2.5
Revesby Heights,98.0,224.0,49.0,0.0,26.4,60.4,13.2,0.0
Rhodes,801.0,457.0,131.0,66.0,55.1,31.4,9.0,4.5
Riverstone,505.0,778.0,381.0,38.0,29.7,45.7,22.4,2.2
Riverview (Lane Cove - NSW),213.0,531.0,89.0,8.0,25.3,63.1,10.6,1.0
Riverwood,793.0,1182.0,567.0,64.0,30.4,45.4,21.8,2.5
Rockdale,1410.0,1510.0,469.0,147.0,39.9,42.7,13.3,4.2
Rocky Point (NSW),21.0,34.0,18.0,0.0,28.8,46.6,24.7,0.0
Rodd Point,122.0,212.0,30.0,3.0,33.2,57.8,8.2,0.8
Rooty Hill,831.0,1915.0,650.0,58.0,24.1,55.4,18.8,1.7
Rose Bay (NSW),1024.0,1051.0,311.0,61.0,41.8,43.0,12.7,2.5
Rosebery (NSW),818.0,1025.0,304.0,73.0,36.8,46.2,13.7,3.3
Roselands,799.0,1600.0,495.0,45.0,27.2,54.4,16.8,1.5
Rosemeadow,463.0,1037.0,487.0,28.0,23.0,51.5,24.2,1.4
Roseville,731.0,1439.0,238.0,41.0,29.8,58.8,9.7,1.7
Roseville Chase,122.0,272.0,45.0,3.0,27.6,61.5,10.2,0.7
Rouse Hill,440.0,1255.0,193.0,11.0,23.2,66.1,10.2,0.6
Rozelle,1021.0,861.0,227.0,45.0,47.4,40.0,10.5,2.1
Ruse,558.0,726.0,282.0,22.0,35.1,45.7,17.8,1.4
Rushcutters Bay,287.0,71.0,27.0,19.0,71.0,17.6,6.7,4.7
Russell Lea,432.0,687.0,156.0,26.0,33.2,52.8,12.0,2.0
Russell Vale,146.0,195.0,74.0,11.0,34.3,45.8,17.4,2.6
Rydalmere,476.0,835.0,312.0,25.0,28.9,50.7,18.9,1.5
Ryde,1962.0,2843.0,851.0,102.0,34.1,49.4,14.8,1.8
Sadleir,152.0,322.0,258.0,20.0,20.2,42.8,34.3,2.7
San Remo (NSW),333.0,490.0,309.0,10.0,29.2,42.9,27.1,0.9
Sandringham (NSW),115.0,129.0,30.0,6.0,41.1,46.1,10.7,2.1
Sans Souci,1015.0,1217.0,386.0,47.0,38.1,45.7,14.5,1.8
Saratoga,434.0,489.0,142.0,12.0,40.3,45.4,13.2,1.1
Scarborough (NSW),27.0,39.0,12.0,0.0,34.6,50.0,15.4,0.0
Schofields,308.0,536.0,160.0,16.0,30.2,52.5,15.7,1.6
Scotland Island,65.0,113.0,26.0,0.0,31.9,55.4,12.7,0.0
Seaforth (NSW),503.0,1110.0,203.0,18.0,27.4,60.5,11.1,1.0
Sefton,328.0,716.0,276.0,27.0,24.4,53.2,20.5,2.0
Seven Hills (NSW),1587.0,2586.0,935.0,84.0,30.6,49.8,18.0,1.6
Shalvey,203.0,376.0,329.0,7.0,22.2,41.1,36.0,0.8
Shell Cove,363.0,671.0,101.0,3.0,31.9,59.0,8.9,0.3
Shellharbour,364.0,426.0,172.0,9.0,37.5,43.9,17.7,0.9
Shelly Beach (NSW),163.0,145.0,42.0,3.0,46.2,41.1,11.9,0.8
Shortland,414.0,362.0,189.0,23.0,41.9,36.6,19.1,2.3
Silverwater (Lake Macquarie - NSW),33.0,26.0,15.0,0.0,44.6,35.1,20.3,0.0
Smithfield (NSW),813.0,1345.0,647.0,72.0,28.3,46.8,22.5,2.5
South Coogee,358.0,613.0,233.0,24.0,29.2,49.9,19.0,2.0
South Granville,226.0,639.0,228.0,26.0,20.2,57.1,20.4,2.3
South Hurstville,343.0,707.0,239.0,32.0,26.0,53.5,18.1,2.4
South Penrith,1156.0,1526.0,614.0,62.0,34.4,45.4,18.3,1.8
South Turramurra,251.0,498.0,76.0,4.0,30.3,60.1,9.2,0.5
South Wentworthville,387.0,751.0,300.0,34.0,26.3,51.0,20.4,2.3
Speers Point,404.0,366.0,153.0,16.0,43.0,39.0,16.3,1.7
Springfield (Gosford - NSW),319.0,552.0,228.0,10.0,28.8,49.8,20.6,0.9
Springwood (NSW),859.0,1032.0,336.0,25.0,38.1,45.8,14.9,1.1
St Andrews (NSW),421.0,829.0,314.0,32.0,26.4,51.9,19.7,2.0
St Clair (Penrith - NSW),1428.0,3112.0,1004.0,61.0,25.5,55.5,17.9,1.1
St Helens Park,409.0,898.0,380.0,19.0,24.0,52.6,22.3,1.1
St Huberts Island,169.0,111.0,38.0,0.0,53.1,34.9,11.9,0.0
St Ives (NSW),1542.0,2455.0,398.0,39.0,34.8,55.4,9.0,0.9
St Ives Chase,305.0,521.0,72.0,0.0,34.0,58.0,8.0,0.0
St Johns Park,426.0,876.0,306.0,28.0,26.0,53.5,18.7,1.7
St Leonards (NSW),709.0,301.0,91.0,59.0,61.1,25.9,7.8,5.1
St Marys (NSW),832.0,1084.0,822.0,80.0,29.5,38.5,29.2,2.8
St Peters (NSW),346.0,221.0,96.0,28.0,50.1,32.0,13.9,4.1
Stanhope Gardens,514.0,1351.0,208.0,24.0,24.5,64.4,9.9,1.1
Stanmore (NSW),833.0,710.0,234.0,59.0,45.4,38.7,12.7,3.2
Stockton (NSW),379.0,382.0,235.0,18.0,37.4,37.7,23.2,1.8
Strathfield (NSW),1951.0,2855.0,742.0,224.0,33.8,49.5,12.9,3.9
Strathfield South,225.0,487.0,138.0,16.0,26.0,56.2,15.9,1.8
Summer Hill (Ashfield - NSW),669.0,666.0,221.0,49.0,41.7,41.5,13.8,3.1
Surry Hills,2102.0,494.0,223.0,130.0,71.3,16.8,7.6,4.4
Sutherland (NSW),1135.0,932.0,478.0,62.0,43.5,35.7,18.3,2.4
Swansea (NSW),607.0,410.0,266.0,24.0,46.4,31.4,20.4,1.8
Swansea Heads,67.0,99.0,24.0,3.0,34.7,51.3,12.4,1.6
Sydenham (NSW),102.0,78.0,61.0,14.0,40.0,30.6,23.9,5.5
Sydney,1609.0,423.0,210.0,280.0,63.8,16.8,8.3,11.1
Sylvania,1085.0,1238.0,393.0,21.0,39.6,45.2,14.4,0.8
Sylvania Waters,314.0,465.0,120.0,17.0,34.3,50.8,13.1,1.9
Tacoma,64.0,106.0,41.0,0.0,30.3,50.2,19.4,0.0
Tacoma South,25.0,34.0,15.0,4.0,32.1,43.6,19.2,5.1
Tamarama,162.0,120.0,32.0,7.0,50.5,37.4,10.0,2.2
Taren Point,249.0,178.0,42.0,6.0,52.4,37.5,8.8,1.3
Tarrawanna,210.0,245.0,86.0,4.0,38.5,45.0,15.8,0.7
Tascott,187.0,194.0,54.0,10.0,42.0,43.6,12.1,2.2
Tempe,307.0,390.0,143.0,22.0,35.6,45.2,16.6,2.6
Teralba,147.0,156.0,96.0,3.0,36.6,38.8,23.9,0.7
Terrey Hills,257.0,479.0,68.0,7.0,31.7,59.1,8.4,0.9
Terrigal,1192.0,1221.0,447.0,53.0,40.9,41.9,15.3,1.8
The Entrance,398.0,197.0,318.0,17.0,42.8,21.2,34.2,1.8
The Entrance North,142.0,121.0,114.0,3.0,37.4,31.8,30.0,0.8
The Hill,217.0,118.0,38.0,13.0,56.2,30.6,9.8,3.4
The Junction,154.0,135.0,59.0,10.0,43.0,37.7,16.5,2.8
Thirroul,541.0,759.0,204.0,13.0,35.7,50.0,13.4,0.9
Thornleigh,681.0,1262.0,293.0,31.0,30.0,55.7,12.9,1.4
Tighes Hill,146.0,152.0,92.0,9.0,36.6,38.1,23.1,2.3
Tingira Heights,182.0,293.0,87.0,4.0,32.2,51.8,15.4,0.7
Toongabbie (NSW),1064.0,1910.0,564.0,50.0,29.7,53.2,15.7,1.4
Toowoon Bay,74.0,42.0,35.0,0.0,49.0,27.8,23.2,0.0
Toronto,614.0,478.0,332.0,28.0,42.3,32.9,22.9,1.9
Toukley,485.0,308.0,262.0,21.0,45.1,28.6,24.3,2.0
Towradgi,289.0,371.0,124.0,16.0,36.1,46.4,15.5,2.0
Tregear,214.0,345.0,399.0,21.0,21.9,35.2,40.8,2.1
Tuggerah,75.0,112.0,80.0,3.0,27.8,41.5,29.6,1.1
Tuggerawong,99.0,137.0,67.0,3.0,32.4,44.8,21.9,1.0
Tumbi Umbi,536.0,620.0,228.0,16.0,38.3,44.3,16.3,1.1
Turramurra,1001.0,1705.0,312.0,34.0,32.8,55.9,10.2,1.1
Turrella,105.0,242.0,60.0,7.0,25.4,58.5,14.5,1.7
Ultimo,694.0,232.0,117.0,97.0,60.9,20.4,10.3,8.5
Umina Beach,1684.0,1672.0,969.0,72.0,38.3,38.0,22.0,1.6
Unanderra,516.0,602.0,354.0,36.0,34.2,39.9,23.5,2.4
Valentine (NSW),690.0,801.0,158.0,12.0,41.5,48.2,9.5,0.7
Valley Heights,155.0,191.0,57.0,4.0,38.1,46.9,14.0,1.0
Vaucluse,773.0,1283.0,262.0,42.0,32.8,54.4,11.1,1.8
Villawood,269.0,529.0,379.0,34.0,22.2,43.7,31.3,2.8
Voyager Point,86.0,258.0,21.0,3.0,23.4,70.1,5.7,0.8
Wahroonga,1450.0,2480.0,476.0,52.0,32.5,55.6,10.7,1.2
Waitara,578.0,675.0,197.0,23.0,39.2,45.8,13.4,1.6
Wakeley,334.0,729.0,242.0,21.0,25.2,55.0,18.3,1.6
Wallsend,1242.0,1266.0,690.0,72.0,38.0,38.7,21.1,2.2
Wamberal,646.0,847.0,246.0,17.0,36.8,48.2,14.0,1.0
Warabrook,228.0,223.0,86.0,7.0,41.9,41.0,15.8,1.3
Waratah (NSW),354.0,364.0,247.0,33.0,35.5,36.5,24.7,3.3
Waratah West,253.0,235.0,151.0,22.0,38.3,35.6,22.8,3.3
Wareemba,155.0,207.0,54.0,7.0,36.6,48.9,12.8,1.7
Warilla,582.0,611.0,466.0,42.0,34.2,35.9,27.4,2.5
Warners Bay,910.0,835.0,363.0,28.0,42.6,39.1,17.0,1.3
Warrawee,267.0,446.0,74.0,10.0,33.5,56.0,9.3,1.3
Warrawong,415.0,434.0,370.0,25.0,33.4,34.9,29.7,2.0
Warriewood,512.0,928.0,238.0,14.0,30.3,54.8,14.1,0.8
Warrimoo,203.0,346.0,92.0,6.0,31.4,53.5,14.2,0.9
Warwick Farm,282.0,436.0,296.0,30.0,27.0,41.8,28.4,2.9
Watanobbi,285.0,421.0,292.0,15.0,28.1,41.6,28.8,1.5
Waterloo (NSW),1080.0,359.0,412.0,148.0,54.0,18.0,20.6,7.4
Watsons Bay,64.0,92.0,21.0,4.0,35.4,50.8,11.6,2.2
Wattle Grove (NSW),579.0,1438.0,257.0,13.0,25.3,62.9,11.2,0.6
Waverley (NSW),342.0,384.0,165.0,16.0,37.7,42.3,18.2,1.8
Waverton,430.0,211.0,80.0,19.0,58.1,28.5,10.8,2.6
Wentworthville,834.0,1516.0,405.0,68.0,29.5,53.7,14.3,2.4
Werrington,347.0,375.0,294.0,23.0,33.4,36.1,28.3,2.2
Werrington County,339.0,516.0,186.0,13.0,32.2,49.0,17.6,1.2
Werrington Downs,240.0,528.0,151.0,12.0,25.8,56.7,16.2,1.3
West Gosford,146.0,82.0,84.0,5.0,46.1,25.9,26.5,1.6
West Hoxton,450.0,1621.0,313.0,11.0,18.8,67.7,13.1,0.5
West Pennant Hills,1330.0,2802.0,382.0,37.0,29.2,61.6,8.4,0.8
West Pymble,373.0,859.0,149.0,13.0,26.8,61.6,10.7,0.9
West Ryde,1159.0,1516.0,458.0,92.0,35.9,47.0,14.2,2.9
West Wallsend,171.0,191.0,127.0,10.0,34.3,38.3,25.5,2.0
West Wollongong,435.0,508.0,204.0,23.0,37.2,43.4,17.4,2.0
Westleigh,429.0,749.0,118.0,13.0,32.8,57.2,9.0,1.0
Westmead,1317.0,1848.0,407.0,96.0,35.9,50.4,11.1,2.6
Wetherill Park,467.0,943.0,266.0,20.0,27.5,55.6,15.7,1.2
Whalan,336.0,542.0,601.0,35.0,22.2,35.8,39.7,2.3
Whitebridge,256.0,352.0,108.0,8.0,35.4,48.6,14.9,1.1
Wickham (NSW),99.0,65.0,46.0,7.0,45.6,30.0,21.2,3.2
Wiley Park,610.0,1277.0,438.0,68.0,25.5,53.4,18.3,2.8
Willmot,144.0,210.0,253.0,10.0,23.3,34.0,41.0,1.6
Willoughby (NSW),483.0,839.0,214.0,33.0,30.8,53.5,13.6,2.1
Willoughby East,110.0,316.0,53.0,3.0,22.8,65.6,11.0,0.6
Windale,200.0,227.0,341.0,26.0,25.2,28.6,42.9,3.3
Windang,370.0,230.0,103.0,9.0,52.0,32.3,14.5,1.3
Winmalee,632.0,986.0,249.0,24.0,33.4,52.1,13.2,1.3
