,Couple family without children,Couple family with children,One parent family,Other family,Couple family without children (%),Couple family with children (%),One parent family (%),Other family (%)
Cambridge Gardens,192.0,293.0,104.0,7.0,32.2,49.2,17.4,1.2
Cambridge Park,546.0,761.0,414.0,27.0,31.2,43.5,23.7,1.5
Camden,285.0,336.0,167.0,11.0,35.7,42.1,20.9,1.4
Camden South,505.0,617.0,167.0,8.0,38.9,47.6,12.9,0.6
Cammeray,826.0,666.0,231.0,31.0,47.1,38.0,13.2,1.8
Campbelltown (NSW),946.0,1043.0,609.0,52.0,35.7,39.4,23.0,2.0
Camperdown (NSW),993.0,365.0,117.0,70.0,64.3,23.6,7.6,4.5
Campsie,1772.0,2718.0,1046.0,175.0,31.0,47.6,18.3,3.1
Canada Bay,129.0,180.0,65.0,4.0,34.1,47.6,17.2,1.1
Canley Heights,631.0,1368.0,750.0,62.0,22.4,48.7,26.7,2.2
Canley Vale,518.0,1153.0,647.0,84.0,21.6,48.0,26.9,3.5
Canterbury (NSW),550.0,789.0,290.0,43.0,32.9,47.2,17.3,2.6
Canton Beach,148.0,50.0,71.0,0.0,55.0,18.6,26.4,0.0
Cardiff (NSW),576.0,644.0,331.0,33.0,36.4,40.7,20.9,2.1
Cardiff Heights,125.0,146.0,53.0,3.0,38.2,44.6,16.2,0.9
Cardiff South,307.0,377.0,168.0,12.0,35.5,43.6,19.4,1.4
Caringbah,1061.0,1178.0,579.0,50.0,37.0,41.1,20.2,1.7
Carlingford,1913.0,3374.0,752.0,82.0,31.3,55.1,12.3,1.3
Carlton (NSW),886.0,1314.0,414.0,57.0,33.2,49.2,15.5,2.1
Carramar (NSW),204.0,379.0,223.0,22.0,24.6,45.8,26.9,2.7
Carrington (Newcastle - NSW),187.0,135.0,131.0,18.0,39.7,28.7,27.8,3.8
Carss Park,102.0,192.0,27.0,3.0,31.5,59.3,8.3,0.9
Cartwright,128.0,215.0,165.0,14.0,24.5,41.2,31.6,2.7
Castle Cove,234.0,408.0,66.0,13.0,32.5,56.6,9.2,1.8
Castle Hill (NSW),3228.0,5983.0,1090.0,101.0,31.0,57.5,10.5,1.0
Castlecrag,250.0,497.0,66.0,5.0,30.6,60.8,8.1,0.6
Casula,965.0,2166.0,630.0,44.0,25.4,56.9,16.6,1.2
Caves Beach,470.0,516.0,152.0,12.0,40.9,44.9,13.2,1.0
Cecil Hills,304.0,1242.0,227.0,18.0,17.0,69.3,12.7,1.0
Centennial Park (NSW),251.0,126.0,52.0,18.0,56.2,28.2,11.6,4.0
Charlestown (NSW),1448.0,1451.0,602.0,47.0,40.8,40.9,17.0,1.3
Charmhaven,205.0,233.0,184.0,7.0,32.6,37.0,29.3,1.1
Chatswood,2032.0,2554.0,780.0,201.0,36.5,45.9,14.0,3.6
Chatswood West,151.0,221.0,37.0,6.0,36.4,53.3,8.9,1.4
Cheltenham (NSW),194.0,333.0,52.0,9.0,33.0,56.6,8.8,1.5
Cherrybrook,1365.0,3297.0,551.0,41.0,26.0,62.8,10.5,0.8
Chester Hill,734.0,1551.0,687.0,64.0,24.2,51.1,22.6,2.1
Chifley (NSW),245.0,449.0,156.0,12.0,28.4,52.1,18.1,1.4
Chippendale,496.0,97.0,57.0,57.0,70.2,13.7,8.1,8.1
Chipping Norton,758.0,1308.0,375.0,31.0,30.7,52.9,15.2,1.3
Chiswick,374.0,237.0,74.0,10.0,53.8,34.1,10.6,1.4
Chittaway Bay,181.0,243.0,112.0,6.0,33.4,44.8,20.7,1.1
Chittaway Point,98.0,120.0,34.0,0.0,38.9,47.6,13.5,0.0
Church Point,148.0,158.0,30.0,5.0,43.4,46.3,8.8,1.5
Claremont Meadows,259.0,680.0,164.0,8.0,23.3,61.2,14.8,0.7
Claymore,53.0,241.0,405.0,9.0,7.5,34.0,57.2,1.3
Clontarf (NSW),150.0,290.0,22.0,4.0,32.2,62.2,4.7,0.9
Clovelly,446.0,597.0,138.0,21.0,37.1,49.7,11.5,1.7
Coal Point,250.0,212.0,58.0,6.0,47.5,40.3,11.0,1.1
