,None,1 motor vehicle,2 motor vehicles,3 or more vehicles,Number of motor vehicles not stated,None (%),1 motor vehicle (%),2 motor vehicles (%),3 or more vehicles (%),Number of motor vehicles not stated (%)
Canterbury (NSW),316.0,978.0,606.0,198.0,92.0,14.4,44.7,27.7,9.0,4.2
Canton Beach,121.0,321.0,83.0,22.0,31.0,20.9,55.5,14.4,3.8,5.4
Cardiff (NSW),159.0,889.0,788.0,316.0,58.0,7.2,40.2,35.7,14.3,2.6
Cardiff Heights,35.0,149.0,159.0,88.0,15.0,7.8,33.4,35.7,19.7,3.4
Cardiff South,69.0,432.0,423.0,187.0,20.0,6.1,38.2,37.4,16.5,1.8
Caringbah,525.0,1976.0,1441.0,461.0,155.0,11.5,43.4,31.6,10.1,3.4
Carlingford,392.0,2332.0,3088.0,1150.0,134.0,5.5,32.9,43.5,16.2,1.9
Carlton (NSW),396.0,1506.0,1017.0,335.0,105.0,11.8,44.8,30.3,10.0,3.1
Carramar (NSW),230.0,501.0,263.0,109.0,75.0,19.5,42.5,22.3,9.3,6.4
Carrington (Newcastle - NSW),120.0,361.0,231.0,58.0,30.0,15.0,45.1,28.9,7.2,3.8
Carss Park,48.0,109.0,180.0,88.0,10.0,11.0,25.1,41.4,20.2,2.3
Cartwright,270.0,284.0,162.0,69.0,53.0,32.2,33.9,19.3,8.2,6.3
Castle Cove,16.0,227.0,395.0,174.0,11.0,1.9,27.6,48.0,21.1,1.3
Castle Hill (NSW),487.0,3251.0,5388.0,2717.0,221.0,4.0,26.9,44.7,22.5,1.8
Castlecrag,26.0,244.0,474.0,179.0,23.0,2.7,25.8,50.1,18.9,2.4
Casula,295.0,1352.0,1702.0,817.0,243.0,6.7,30.7,38.6,18.5,5.5
Caves Beach,67.0,423.0,613.0,252.0,40.0,4.8,30.3,43.9,18.1,2.9
Cecil Hills,27.0,333.0,784.0,625.0,37.0,1.5,18.4,43.4,34.6,2.0
Centennial Park (NSW),243.0,548.0,184.0,45.0,24.0,23.3,52.5,17.6,4.3,2.3
Charlestown (NSW),371.0,1780.0,1912.0,682.0,120.0,7.6,36.6,39.3,14.0,2.5
Charmhaven,62.0,294.0,309.0,144.0,28.0,7.4,35.1,36.9,17.2,3.3
Chatswood,1629.0,3791.0,1777.0,443.0,161.0,20.9,48.6,22.8,5.7,2.1
Chatswood West,22.0,158.0,217.0,74.0,6.0,4.6,33.1,45.5,15.5,1.3
Cheltenham (NSW),14.0,174.0,320.0,134.0,6.0,2.2,26.9,49.4,20.7,0.9
Cherrybrook,153.0,1561.0,2737.0,1263.0,74.0,2.6,27.0,47.3,21.8,1.3
Chester Hill,521.0,1390.0,1192.0,543.0,181.0,13.6,36.3,31.1,14.2,4.7
Chifley (NSW),153.0,335.0,382.0,168.0,40.0,14.2,31.1,35.4,15.6,3.7
Chippendale,879.0,680.0,118.0,17.0,47.0,50.5,39.1,6.8,1.0,2.7
Chipping Norton,92.0,759.0,1158.0,750.0,62.0,3.3,26.9,41.0,26.6,2.2
Chiswick,65.0,558.0,380.0,90.0,12.0,5.9,50.5,34.4,8.1,1.1
Chittaway Bay,40.0,242.0,282.0,111.0,24.0,5.7,34.6,40.3,15.9,3.4
Chittaway Point,7.0,89.0,130.0,75.0,7.0,2.3,28.9,42.2,24.4,2.3
Church Point,3.0,76.0,207.0,98.0,10.0,0.8,19.3,52.5,24.9,2.5
Claremont Meadows,42.0,378.0,593.0,236.0,23.0,3.3,29.7,46.6,18.6,1.8
Claymore,258.0,354.0,112.0,44.0,49.0,31.6,43.3,13.7,5.4,6.0
Clontarf (NSW),6.0,106.0,277.0,131.0,10.0,1.1,20.0,52.3,24.7,1.9
Clovelly,178.0,800.0,588.0,112.0,41.0,10.4,46.5,34.2,6.5,2.4
Coal Point,16.0,166.0,281.0,154.0,10.0,2.6,26.5,44.8,24.6,1.6
Coledale,21.0,140.0,182.0,61.0,5.0,5.1,34.2,44.5,14.9,1.2
Collaroy (NSW),258.0,1666.0,2143.0,813.0,108.0,5.2,33.4,43.0,16.3,2.2
Colyton,203.0,949.0,943.0,481.0,73.0,7.7,35.8,35.6,18.2,2.8
Como (NSW),39.0,403.0,575.0,193.0,18.0,3.2,32.8,46.8,15.7,1.5
Concord,451.0,1651.0,1789.0,736.0,100.0,9.5,34.9,37.8,15.6,2.1
Concord West,179.0,683.0,710.0,292.0,41.0,9.4,35.9,37.3,15.3,2.2
Condell Park,259.0,1032.0,1089.0,584.0,107.0,8.4,33.6,35.5,19.0,3.5
Coniston,114.0,349.0,249.0,76.0,41.0,13.8,42.1,30.0,9.2,4.9
Connells Point,42.0,231.0,412.0,198.0,10.0,4.7,25.9,46.1,22.2,1.1
Coogee (NSW),963.0,2987.0,1547.0,286.0,130.0,16.3,50.5,26.2,4.8,2.2
Cooks Hill,246.0,700.0,472.0,142.0,57.0,15.2,43.3,29.2,8.8,3.5
Copacabana,21.0,277.0,425.0,169.0,17.0,2.3,30.5,46.8,18.6,1.9
Cordeaux Heights,14.0,239.0,667.0,443.0,24.0,1.0,17.2,48.1,31.9,1.7
Corrimal,333.0,976.0,818.0,315.0,93.0,13.1,38.5,32.3,12.4,3.7
Cranebrook,220.0,1294.0,1934.0,1078.0,105.0,4.8,27.9,41.8,23.3,2.3
Cremorne (NSW),628.0,2705.0,1230.0,225.0,90.0,12.9,55.5,25.2,4.6,1.8
Cremorne Point,74.0,491.0,266.0,46.0,10.0,8.3,55.4,30.0,5.2,1.1
Cringila,117.0,262.0,191.0,77.0,28.0,17.3,38.8,28.3,11.4,4.1
Cromer (NSW),179.0,705.0,1060.0,454.0,63.0,7.3,28.6,43.1,18.4,2.6
Cronulla,798.0,3433.0,2537.0,752.0,255.0,10.3,44.2,32.6,9.7,3.3
Croudace Bay,10.0,57.0,80.0,45.0,7.0,5.0,28.6,40.2,22.6,3.5
Crows Nest (NSW),312.0,1042.0,358.0,57.0,35.0,17.3,57.8,19.8,3.2,1.9
Croydon (NSW),453.0,1521.0,1024.0,337.0,103.0,13.2,44.2,29.8,9.8,3.0
