,"Car, as driver","Car, as passenger","Train, car as driver",Train,Truck,&nbsp;,People who travelled to work by public transport,People who travelled to work by car as driver or passenger,Bus,Ferry,Walked only,Bicycle,"Train, bus",Motorbike/scooter,"Bus, car as driver",Other,"Car as driver, motorbike/scooter","Car as driver, car as passenger","Train, ferry",Taxi,"Train, car as passenger","Bus, other",Tram,"Ferry, car as driver","Car as driver, other","Bus, ferry","Car, as driver (%)","Car, as passenger (%)","Train, car as driver (%)",Train (%),Truck (%),&nbsp; (%),People who travelled to work by public transport (%),People who travelled to work by car as driver or passenger (%),Bus (%),Ferry (%),Walked only (%),Bicycle (%),"Train, bus (%)",Motorbike/scooter (%),"Bus, car as driver (%)",Other (%),"Car as driver, motorbike/scooter (%)","Car as driver, car as passenger (%)","Train, ferry (%)",Taxi (%),"Train, car as passenger (%)","Bus, other (%)",Tram (%),"Ferry, car as driver (%)","Car as driver, other (%)","Bus, ferry (%)"
Avoca Beach,"1,313",94,68,38,,&nbsp;,149,"1,415",,,40,,,,,,,,,,,,,,,,62.1,4.4,3.2,1.8,,&nbsp;,7.0,66.9,,,1.9,,,,,,,,,,,,,,,
Balgowlah,"1,764",144,,,,&nbsp;,966,"1,914",734,64,123,,,,,,,,,,,,,,,,46.2,3.8,,,,&nbsp;,25.3,50.1,19.2,1.7,3.2,,,,,,,,,,,,,,,
Balgowlah Heights,738,62,,,,&nbsp;,273,793,169,27,,,,,21,,,,,,,,,,,,50.6,4.2,,,,&nbsp;,18.7,54.4,11.6,1.9,,,,,1.4,,,,,,,,,,,
Balgownie,"1,721",138,32,36,,&nbsp;,129,"1,875",36,,,,,,,,,,,,,,,,,,69.5,5.6,1.3,1.5,,&nbsp;,5.2,75.7,1.5,,,,,,,,,,,,,,,,,
Balmain,"2,178",170,,,,&nbsp;,"1,752","2,363","1,090",278,365,,,,,,,,,,,,,,,,38.7,3.0,,,,&nbsp;,31.1,42.0,19.4,4.9,6.5,,,,,,,,,,,,,,,
Balmain East,379,34,,,,&nbsp;,368,409,94,191,34,,,,,,,,,,,,,,,,35.6,3.2,,,,&nbsp;,34.5,38.3,8.8,17.9,3.2,,,,,,,,,,,,,,,
Bangor,"2,061",113,114,162,,&nbsp;,408,"2,177",,,,,49,,,,,,,,,,,,,,64.5,3.5,3.6,5.1,,&nbsp;,12.8,68.1,,,,,1.5,,,,,,,,,,,,,
Banksia,780,78,,285,,&nbsp;,376,867,,,33,,31,,,,,,,,,,,,,,52.9,5.3,,19.3,,&nbsp;,25.5,58.9,,,2.2,,2.1,,,,,,,,,,,,,
Bankstown,"5,980",619,,"1,443",,&nbsp;,"2,092","6,615",203,,357,,,,,,,,,,,,,,,,57.3,5.9,,13.8,,&nbsp;,20.1,63.4,1.9,,3.4,,,,,,,,,,,,,,,
Bar Beach,350,31,,,,&nbsp;,11,378,9,,39,13,,,,,,,,,,,,,,,62.1,5.5,,,,&nbsp;,2.0,67.1,1.6,,6.9,2.3,,,,,,,,,,,,,,
Barden Ridge,"1,620",107,91,73,29,&nbsp;,226,"1,736",,,,,,,,,,,,,,,,,,,68.2,4.5,3.8,3.1,1.2,&nbsp;,9.5,73.1,,,,,,,,,,,,,,,,,,
Bardwell Park,581,44,,227,,&nbsp;,292,626,25,,25,,,,,,,,,,,,,,,,51.9,3.9,,20.3,,&nbsp;,26.1,55.9,2.2,,2.2,,,,,,,,,,,,,,,
Bardwell Valley,553,35,34,142,,&nbsp;,212,594,,,,,15,,,,,,,,,,,,,,57.1,3.6,3.5,14.7,,&nbsp;,21.9,61.4,,,,,1.5,,,,,,,,,,,,,
Barnsley,670,49,,,25,&nbsp;,12,721,4,,8,,,,,,,,,,,,,,,,72.8,5.3,,,2.7,&nbsp;,1.3,78.1,0.4,,0.9,,,,,,,,,,,,,,,
Barrack Heights,"1,584",171,,,28,&nbsp;,62,"1,760",23,,45,,,,,,,,,,,,,,,,69.6,7.5,,,1.2,&nbsp;,2.7,77.3,1.0,,2.0,,,,,,,,,,,,,,,
Barrack Point,197,14,,3,,&nbsp;,6,207,3,,,4,,,,,,,,,,,,,,,72.7,5.2,,1.1,,&nbsp;,2.2,77.0,1.1,,,1.5,,,,,,,,,,,,,,
Bass Hill,"1,957",173,51,164,62,&nbsp;,338,"2,141",,,,,,,,,,,,,,,,,,,64.7,5.7,1.7,5.4,2.1,&nbsp;,11.2,70.8,,,,,,,,,,,,,,,,,,
Bateau Bay,"3,295",282,,,81,&nbsp;,237,"3,604",64,,81,,,,,,,,,,,,,,,,66.6,5.7,,,1.6,&nbsp;,4.8,72.8,1.3,,1.6,,,,,,,,,,,,,,,
Baulkham Hills,"10,852",724,192,,,&nbsp;,"2,659","11,595","1,814",,197,,,,,,,,,,,,,,,,62.3,4.2,1.1,,,&nbsp;,15.3,66.6,10.4,,1.1,,,,,,,,,,,,,,,
Bayview,751,50,,,,&nbsp;,90,799,39,,22,,,,16,,,,,,,,,,,,58.5,3.9,,,,&nbsp;,7.0,62.3,3.0,,1.7,,,,1.2,,,,,,,,,,,
Beacon Hill,"2,040",196,,,39,&nbsp;,430,"2,246",300,,105,,,,,,,,,,,,,,,,58.1,5.6,,,1.1,&nbsp;,12.2,64.0,8.5,,3.0,,,,,,,,,,,,,,,
Beaconsfield,222,,,81,,&nbsp;,145,239,39,,32,26,,,,,,,,,,,,,,,41.5,,,15.1,,&nbsp;,27.2,44.8,7.3,,6.0,4.9,,,,,,,,,,,,,,
Beecroft,"2,324",128,99,660,,&nbsp;,974,"2,458",,,81,,,,,,,,,,,,,,,,53.0,2.9,2.3,15.0,,&nbsp;,22.2,56.0,,,1.8,,,,,,,,,,,,,,,
Belfield,"1,502",134,,183,,&nbsp;,429,"1,642",53,,,,91,,,,,,,,,,,,,,60.1,5.4,,7.3,,&nbsp;,17.2,65.7,2.1,,,,3.6,,,,,,,,,,,,,
Bella Vista,"2,620",185,84,126,,&nbsp;,553,"2,816",210,,,,,,,,,,,,,,,,,,63.7,4.5,2.0,3.1,,&nbsp;,13.4,68.4,5.1,,,,,,,,,,,,,,,,,
Bellambi,896,81,,64,,&nbsp;,122,979,19,,36,,,,,,,,,,,,,,,,62.2,5.6,,4.4,,&nbsp;,8.5,67.9,1.3,,2.5,,,,,,,,,,,,,,,
Bellevue Hill,"2,405",,,325,,&nbsp;,"1,196","2,630",249,,228,,330,,,,,,,,,,,,,,46.5,,,6.3,,&nbsp;,23.1,50.9,4.8,,4.4,,6.4,,,,,,,,,,,,,
Belmont,"1,814",152,,,37,&nbsp;,56,"1,970",41,,80,,,,,,,,,,,,,,,,69.0,5.8,,,1.4,&nbsp;,2.1,74.9,1.6,,3.0,,,,,,,,,,,,,,,
Belmont North,"2,085",172,,,37,&nbsp;,67,"2,259",39,,34,,,,,,,,,,,,,,,,71.8,5.9,,,1.3,&nbsp;,2.3,77.8,1.3,,1.2,,,,,,,,,,,,,,,
Belmont South,330,36,,,9,&nbsp;,15,367,13,,6,,,,,,,,,,,,,,,,68.0,7.4,,,1.9,&nbsp;,3.1,75.2,2.7,,1.2,,,,,,,,,,,,,,,
Belmore,"2,624",269,,798,,&nbsp;,"1,183","2,902",,,153,,180,,,,,,,,,,,,,,53.5,5.5,,16.3,,&nbsp;,24.1,59.1,,,3.1,,3.7,,,,,,,,,,,,,
Belrose,"2,298",154,,,,&nbsp;,408,"2,450",259,,48,,40,,,,,,,,,,,,,,62.9,4.2,,,,&nbsp;,11.2,67.0,7.1,,1.3,,1.1,,,,,,,,,,,,,
Bensville,780,46,53,48,13,&nbsp;,139,828,,,,,,,,,,,,,,,,,,,61.6,3.6,4.2,3.8,1.0,&nbsp;,11.0,65.4,,,,,,,,,,,,,,,,,,
Berala,"1,755",210,,758,,&nbsp;,924,"1,975",,,49,,79,,,,,,,,,,,,,,52.0,6.2,,22.5,,&nbsp;,27.4,58.6,,,1.5,,2.3,,,,,,,,,,,,,
Berkeley,"1,916",224,,41,,&nbsp;,130,"2,140",50,,40,,,,,,,,,,,,,,,,67.6,7.9,,1.4,,&nbsp;,4.6,75.5,1.8,,1.4,,,,,,,,,,,,,,,
Berkeley Vale,"2,584",228,53,79,70,&nbsp;,247,"2,825",,,,,,,,,,,,,,,,,,,66.6,5.9,1.4,2.0,1.8,&nbsp;,6.4,72.8,,,,,,,,,,,,,,,,,,
Berowra,"1,272",78,81,340,,&nbsp;,515,"1,355",,,49,,,,,,,,,,,,,,,,52.6,3.2,3.3,14.1,,&nbsp;,21.3,56.0,,,2.0,,,,,,,,,,,,,,,
Berowra Heights,"1,546",85,135,237,,&nbsp;,494,"1,639",,,52,,,,,,,,,,,,,,,,56.9,3.1,5.0,8.7,,&nbsp;,18.2,60.3,,,1.9,,,,,,,,,,,,,,,
Beverley Park,552,35,,78,,&nbsp;,147,591,,,35,,27,,,,,,,,,,,,,,57.6,3.7,,8.1,,&nbsp;,15.3,61.7,,,3.7,,2.8,,,,,,,,,,,,,
Beverly Hills,"2,252",171,,903,,&nbsp;,"1,106","2,430",,,79,,65,,,,,,,,,,,,,,53.1,4.0,,21.3,,&nbsp;,26.1,57.3,,,1.9,,1.5,,,,,,,,,,,,,
Bexley,"4,632",432,,"1,179",,&nbsp;,"1,900","5,077",,,216,,261,,,,,,,,,,,,,,54.9,5.1,,14.0,,&nbsp;,22.5,60.2,,,2.6,,3.1,,,,,,,,,,,,,
Bexley North,853,69,,312,,&nbsp;,426,922,38,,44,,,,,,,,,,,,,,,,51.8,4.2,,18.9,,&nbsp;,25.8,55.9,2.3,,2.7,,,,,,,,,,,,,,,
Bidwill,577,110,,36,,&nbsp;,159,690,46,,,,52,,,,,,,,,,,,,,57.8,11.0,,3.6,,&nbsp;,15.9,68.9,4.6,,,,5.2,,,,,,,,,,,,,
Birchgrove,742,51,,,,&nbsp;,505,792,232,152,94,,,,,,,,,,,,,,,,41.3,2.8,,,,&nbsp;,28.1,44.1,12.9,8.5,5.2,,,,,,,,,,,,,,,
Birmingham Gardens,529,48,,,,&nbsp;,36,583,28,,24,,,16,,,,,,,,,,,,,62.8,5.7,,,,&nbsp;,4.3,69.4,3.3,,2.9,,,1.9,,,,,,,,,,,,
Birrong,631,68,,161,,&nbsp;,219,701,,,17,,16,,,,,,,,,,,,,,57.7,6.2,,14.7,,&nbsp;,20.0,64.0,,,1.6,,1.5,,,,,,,,,,,,,
Blackalls Park,844,81,,30,20,&nbsp;,59,930,,,19,,,,,,,,,,,,,,,,70.5,6.8,,2.5,1.7,&nbsp;,4.9,77.5,,,1.6,,,,,,,,,,,,,,,
Blackbutt,"1,053",85,,16,13,&nbsp;,39,"1,146",,,23,,,,,,,,,,,,,,,,71.1,5.7,,1.1,0.9,&nbsp;,2.6,77.3,,,1.6,,,,,,,,,,,,,,,
Blackett,602,96,,39,,&nbsp;,113,707,23,,,,27,,,,,,,,,,,,,,60.5,9.6,,3.9,,&nbsp;,11.3,71.0,2.3,,,,2.7,,,,,,,,,,,,,
Blacksmiths,482,38,,,12,&nbsp;,14,517,,,12,,,6,,,,,,,,,,,,,67.6,5.3,,,1.7,&nbsp;,2.0,72.5,,,1.7,,,0.8,,,,,,,,,,,,
Blacktown,"10,744","1,123",,"2,066",,&nbsp;,"3,832","11,912",427,,,,632,,,,,,,,,,,,,,57.0,6.0,,11.0,,&nbsp;,20.3,63.2,2.3,,,,3.4,,,,,,,,,,,,,
Blackwall,347,32,14,43,,&nbsp;,111,383,,,,,26,,,,,,,,,,,,,,52.5,4.8,2.1,6.5,,&nbsp;,16.8,57.9,,,,,3.9,,,,,,,,,,,,,
Blairmount,118,16,,18,,&nbsp;,23,135,,,16,,,,,4,,,,,,,,,,,57.8,7.8,,8.8,,&nbsp;,11.2,66.2,,,7.8,,,,,2.0,,,,,,,,,,
Blakehurst,"1,876",140,61,178,,&nbsp;,422,"2,021",,,,,89,,,,,,,,,,,,,,64.2,4.8,2.1,6.1,,&nbsp;,14.5,69.2,,,,,3.0,,,,,,,,,,,,,
Blaxland,"2,286",136,66,312,,&nbsp;,476,"2,430",,,58,,,,,,,,,,,,,,,,61.0,3.6,1.8,8.3,,&nbsp;,12.7,64.9,,,1.5,,,,,,,,,,,,,,,
Blue Bay,278,23,,4,,&nbsp;,12,303,3,,7,,,,,,,,,,,,,,,,68.1,5.6,,1.0,,&nbsp;,3.0,74.4,0.7,,1.7,,,,,,,,,,,,,,,
Blue Haven,"1,712",158,21,36,32,&nbsp;,118,"1,880",,,,,,,,,,,,,,,,,,,70.1,6.5,0.9,1.5,1.3,&nbsp;,4.8,77.0,,,,,,,,,,,,,,,,,,
Bolton Point,507,57,,9,9,&nbsp;,34,568,12,,,,,,,,,,,,,,,,,,68.5,7.7,,1.2,1.2,&nbsp;,4.6,76.8,1.6,,,,,,,,,,,,,,,,,
Bondi,"1,888",,,449,,&nbsp;,"1,861","2,098",546,,347,,720,,,,,,,,,,,,,,35.5,,,8.4,,&nbsp;,35.0,39.4,10.3,,6.5,,13.5,,,,,,,,,,,,,
Bondi Beach,"2,193",242,,,,&nbsp;,"2,346","2,438",787,,368,,"1,135",,,,,,,,,,,,,,33.8,3.7,,,,&nbsp;,36.2,37.6,12.1,,5.7,,17.5,,,,,,,,,,,,,
