,"Car, as driver","Car, as passenger","Train, car as driver",Train,Truck,&nbsp;,People who travelled to work by public transport,People who travelled to work by car as driver or passenger,Bus,Ferry,Walked only,Bicycle,"Train, bus",Motorbike/scooter,"Bus, car as driver",Other,"Car as driver, motorbike/scooter","Car as driver, car as passenger","Train, ferry",Taxi,"Train, car as passenger","Bus, other",Tram,"Ferry, car as driver","Car as driver, other","Bus, ferry","Car, as driver (%)","Car, as passenger (%)","Train, car as driver (%)",Train (%),Truck (%),&nbsp; (%),People who travelled to work by public transport (%),People who travelled to work by car as driver or passenger (%),Bus (%),Ferry (%),Walked only (%),Bicycle (%),"Train, bus (%)",Motorbike/scooter (%),"Bus, car as driver (%)",Other (%),"Car as driver, motorbike/scooter (%)","Car as driver, car as passenger (%)","Train, ferry (%)",Taxi (%),"Train, car as passenger (%)","Bus, other (%)",Tram (%),"Ferry, car as driver (%)","Car as driver, other (%)","Bus, ferry (%)"
Cambridge Gardens,725,59,,68,31,&nbsp;,111,786,,,13,,,,,,,,,,,,,,,,65.7,5.3,,6.2,2.8,&nbsp;,10.1,71.2,,,1.2,,,,,,,,,,,,,,,
Cambridge Park,"1,874",165,,188,53,&nbsp;,329,"2,041",,,57,,,,,,,,,,,,,,,,65.1,5.7,,6.5,1.8,&nbsp;,11.4,70.9,,,2.0,,,,,,,,,,,,,,,
Camden,"1,008",74,38,,43,&nbsp;,96,"1,084",,,53,,,,,,,,,,,,,,,,66.1,4.8,2.5,,2.8,&nbsp;,6.3,71.2,,,3.5,,,,,,,,,,,,,,,
Camden South,"1,663",89,43,20,40,&nbsp;,111,"1,763",,,,,,,,,,,,,,,,,,,72.5,3.9,1.9,0.9,1.7,&nbsp;,4.8,76.8,,,,,,,,,,,,,,,,,,
Cammeray,"1,571",144,,,,&nbsp;,"1,171","1,721",913,,391,,134,,,,,,,,,,,,,,38.5,3.5,,,,&nbsp;,28.7,42.1,22.4,,9.6,,3.3,,,,,,,,,,,,,
Campbelltown,"2,408",240,83,513,,&nbsp;,809,"2,656",,,143,,,,,,,,,,,,,,,,56.7,5.6,2.0,12.1,,&nbsp;,19.0,62.5,,,3.4,,,,,,,,,,,,,,,
Camperdown,"1,341",,,325,,&nbsp;,"1,650","1,496","1,044",,642,190,,,,,,,,,,,,,,,27.6,,,6.7,,&nbsp;,34.0,30.8,21.5,,13.2,3.9,,,,,,,,,,,,,,
Campsie,"3,996",485,,"1,803",,&nbsp;,"2,781","4,495",,,370,,384,,,,,,,,,,,,,,45.6,5.5,,20.6,,&nbsp;,31.7,51.3,,,4.2,,4.4,,,,,,,,,,,,,
Canada Bay,402,42,,23,,&nbsp;,103,441,45,,,,13,,,,,,,,,,,,,,60.4,6.3,,3.5,,&nbsp;,15.5,66.2,6.8,,,,2.0,,,,,,,,,,,,,
Canley Heights,"2,201",350,,283,70,&nbsp;,517,"2,557",,,,,79,,,,,,,,,,,,,,60.7,9.6,,7.8,1.9,&nbsp;,14.2,70.5,,,,,2.2,,,,,,,,,,,,,
Canley Vale,"1,775",240,,448,49,&nbsp;,594,"2,025",,,76,,,,,,,,,,,,,,,,58.3,7.9,,14.7,1.6,&nbsp;,19.5,66.5,,,2.5,,,,,,,,,,,,,,,
Canterbury,"1,411",124,,530,,&nbsp;,832,"1,547",122,,,,87,,,,,,,,,,,,,,48.7,4.3,,18.3,,&nbsp;,28.7,53.4,4.2,,,,3.0,,,,,,,,,,,,,
Canton Beach,146,14,,3,,&nbsp;,9,165,,,11,,,,,,,4,,,,,,,,,64.0,6.1,,1.3,,&nbsp;,3.9,71.7,,,4.8,,,,,,,1.8,,,,,,,,
Cardiff,"1,827",161,,30,,&nbsp;,91,"1,993",32,,54,,,,,,,,,,,,,,,,69.5,6.1,,1.1,,&nbsp;,3.5,75.9,1.2,,2.1,,,,,,,,,,,,,,,
Cardiff Heights,386,33,,,,&nbsp;,4,424,,,12,12,,8,,,,,,,,,,,,,68.8,5.9,,,,&nbsp;,0.7,75.6,,,2.1,2.1,,1.4,,,,,,,,,,,,
Cardiff South,"1,037",100,,,26,&nbsp;,30,"1,142",19,,,,,17,,,,,,,,,,,,,70.7,6.8,,,1.8,&nbsp;,2.0,77.9,1.3,,,,,1.2,,,,,,,,,,,,
Caringbah,"3,403",257,,627,65,&nbsp;,794,"3,669",,,243,,,,,,,,,,,,,,,,60.0,4.5,,11.1,1.1,&nbsp;,14.0,64.8,,,4.3,,,,,,,,,,,,,,,
Carlingford,"5,990",436,,571,,&nbsp;,"1,823","6,448",457,,,,253,,,,,,,,,,,,,,59.5,4.3,,5.7,,&nbsp;,18.1,64.1,4.5,,,,2.5,,,,,,,,,,,,,
Carlton,"2,279",206,,"1,084",,&nbsp;,"1,326","2,491",,,199,,109,,,,,,,,,,,,,,49.0,4.4,,23.3,,&nbsp;,28.5,53.5,,,4.3,,2.3,,,,,,,,,,,,,
Carramar,681,53,,164,,&nbsp;,222,735,,,28,,23,,,,,,,,,,,,,,61.2,4.8,,14.7,,&nbsp;,19.9,66.1,,,2.5,,2.1,,,,,,,,,,,,,
Carrington,548,56,,,,&nbsp;,37,611,21,,31,51,,,,,,,,,,,,,,,59.6,6.1,,,,&nbsp;,4.0,66.3,2.3,,3.4,5.5,,,,,,,,,,,,,,
Carss Park,335,31,20,35,,&nbsp;,77,368,,,,,19,,,,,,,,,,,,,,61.1,5.7,3.6,6.4,,&nbsp;,14.0,67.3,,,,,3.5,,,,,,,,,,,,,
Cartwright,350,42,,,,&nbsp;,80,396,25,,23,,28,,,,,,,,,,,,,,58.5,7.0,,,,&nbsp;,13.4,66.4,4.2,,3.8,,4.7,,,,,,,,,,,,,
Castle Cove,634,47,,20,,&nbsp;,163,678,79,,20,,,,,,,,,,,,,,,,56.5,4.2,,1.8,,&nbsp;,14.5,60.3,7.0,,1.8,,,,,,,,,,,,,,,
Castle Hill,"12,150",799,179,,,&nbsp;,"2,632","12,976","1,835",,276,,,,,,,,,,,,,,,,63.8,4.2,0.9,,,&nbsp;,13.8,68.1,9.6,,1.4,,,,,,,,,,,,,,,
Castlecrag,703,79,,,,&nbsp;,226,780,174,,31,,,,14,,,,,,,,,,,,52.2,5.9,,,,&nbsp;,16.8,57.9,12.9,,2.3,,,,1.0,,,,,,,,,,,
Casula,"4,036",339,144,396,,&nbsp;,808,"4,383",,,,,103,,,,,,,,,,,,,,66.1,5.6,2.4,6.5,,&nbsp;,13.2,71.8,,,,,1.7,,,,,,,,,,,,,
Caves Beach,"1,231",111,,,16,&nbsp;,38,"1,353",24,,31,,,,,,,,,,,,,,,,70.0,6.3,,,0.9,&nbsp;,2.2,76.9,1.4,,1.8,,,,,,,,,,,,,,,
Cecil Hills,"2,381",201,78,77,70,&nbsp;,289,"2,598",,,,,,,,,,,,,,,,,,,70.8,6.0,2.3,2.3,2.1,&nbsp;,8.6,77.3,,,,,,,,,,,,,,,,,,
Centennial Park,463,42,,,,&nbsp;,454,500,358,,142,,53,,,,,,,,,,,,,,34.0,3.1,,,,&nbsp;,33.3,36.7,26.3,,10.4,,3.9,,,,,,,,,,,,,
Charlestown,"4,207",370,,,,&nbsp;,163,"4,586",122,,177,,,46,,,,,,,,,,,,,69.1,6.1,,,,&nbsp;,2.7,75.3,2.0,,2.9,,,0.8,,,,,,,,,,,,
Charmhaven,606,56,,10,23,&nbsp;,28,667,,,17,,,,,,,,,,,,,,,,66.2,6.1,,1.1,2.5,&nbsp;,3.1,72.8,,,1.9,,,,,,,,,,,,,,,
Chatswood,"3,467",342,,"2,402",,&nbsp;,"3,450","3,819",608,,"1,240",,,,,,,,,,,,,,,,34.5,3.4,,23.9,,&nbsp;,34.3,38.0,6.1,,12.3,,,,,,,,,,,,,,,
Chatswood West,364,20,,31,,&nbsp;,122,386,,,15,,57,,,,,,,,,,,,,,51.9,2.9,,4.4,,&nbsp;,17.4,54.8,,,2.1,,8.1,,,,,,,,,,,,,
Cheltenham,551,28,16,202,,&nbsp;,248,580,,,15,,,,,,,,,,,,,,,,52.1,2.6,1.5,19.1,,&nbsp;,23.4,54.8,,,1.4,,,,,,,,,,,,,,,
Cherrybrook,"5,569",364,181,230,,&nbsp;,"1,981","5,947","1,212",,,,,,,,,,,,,,,,,,57.6,3.8,1.9,2.4,,&nbsp;,20.5,61.5,12.5,,,,,,,,,,,,,,,,,
Chester Hill,"2,513",268,,398,,&nbsp;,697,"2,787",78,,82,,,,,,,,,,,,,,,,59.8,6.4,,9.5,,&nbsp;,16.6,66.3,1.9,,2.0,,,,,,,,,,,,,,,
Chifley,898,75,,,21,&nbsp;,223,976,173,,32,,,,,,,,,,,,,,,,60.6,5.1,,,1.4,&nbsp;,15.1,65.9,11.7,,2.2,,,,,,,,,,,,,,,
Chippendale,395,,,307,,&nbsp;,943,443,532,,573,,74,,,,,,,,,,,,,,16.8,,,13.0,,&nbsp;,40.1,18.8,22.6,,24.3,,3.1,,,,,,,,,,,,,
Chipping Norton,"3,077",214,93,234,75,&nbsp;,454,"3,293",,,,,,,,,,,,,,,,,,,68.5,4.8,2.1,5.2,1.7,&nbsp;,10.1,73.2,,,,,,,,,,,,,,,,,,
Chiswick,819,57,,,,&nbsp;,367,880,166,114,,,16,,,,,,,,,,,,,,54.1,3.8,,,,&nbsp;,24.3,58.1,11.0,7.5,,,1.1,,,,,,,,,,,,,
Chittaway Bay,594,60,13,16,,&nbsp;,49,659,,,,,,10,,,,,,,,,,,,,68.2,6.9,1.5,1.8,,&nbsp;,5.6,75.7,,,,,,1.1,,,,,,,,,,,,
Chittaway Point,296,32,,17,7,&nbsp;,24,327,,,,,,3,,,,,,,,,,,,,66.4,7.2,,3.8,1.6,&nbsp;,5.4,73.5,,,,,,0.7,,,,,,,,,,,,
Church Point,317,19,,,,&nbsp;,54,334,22,,11,,,,,11,,,,,,,,,,,58.7,3.5,,,,&nbsp;,10.0,61.7,4.1,,2.0,,,,,2.0,,,,,,,,,,
Claremont Meadows,"1,398",114,55,117,36,&nbsp;,247,"1,517",,,,,,,,,,,,,,,,,,,65.9,5.4,2.6,5.5,1.7,&nbsp;,11.6,71.5,,,,,,,,,,,,,,,,,,
Claymore,210,56,,22,,&nbsp;,95,269,20,,,,37,,,,,,,,,,,,,,46.2,12.3,,4.8,,&nbsp;,21.0,59.4,4.4,,,,8.1,,,,,,,,,,,,,
Clontarf,385,35,,,,&nbsp;,103,419,63,,,8,,,9,,,,,,,,,,,,51.9,4.7,,,,&nbsp;,13.9,56.4,8.5,,,1.1,,,1.2,,,,,,,,,,,
Clovelly,"1,101",85,,,,&nbsp;,631,"1,185",447,,,76,82,,,,,,,,,,,,,,44.1,3.4,,,,&nbsp;,25.3,47.5,17.9,,,3.0,3.3,,,,,,,,,,,,,
Coal Point,543,34,,8,,&nbsp;,27,578,,,13,,,,,11,,,,,,,,,,,67.7,4.2,,1.0,,&nbsp;,3.4,72.1,,,1.6,,,,,1.4,,,,,,,,,,
Coledale,341,20,13,35,,&nbsp;,70,365,,,14,,,,,,,,,,,,,,,,58.0,3.4,2.2,6.0,,&nbsp;,11.9,62.3,,,2.4,,,,,,,,,,,,,,,
Collaroy,"4,620",298,,,65,&nbsp;,"1,025","4,940",832,,159,,,,,,,,,,,,,,,,60.7,3.9,,,0.9,&nbsp;,13.5,64.9,10.9,,2.1,,,,,,,,,,,,,,,
Colyton,"2,292",221,,169,82,&nbsp;,374,"2,520",,,,,67,,,,,,,,,,,,,,65.2,6.3,,4.8,2.3,&nbsp;,10.6,71.7,,,,,1.9,,,,,,,,,,,,,
Como,"1,037",50,28,424,,&nbsp;,502,"1,090",,,25,,,,,,,,,,,,,,,,51.9,2.5,1.4,21.2,,&nbsp;,25.1,54.6,,,1.3,,,,,,,,,,,,,,,
Concord,"3,816",274,,586,,&nbsp;,"1,313","4,103",201,,,,240,,,,,,,,,,,,,,56.0,4.0,,8.6,,&nbsp;,19.2,60.2,2.9,,,,3.5,,,,,,,,,,,,,
Concord West,"1,466",106,,482,,&nbsp;,643,"1,572",,,112,,47,,,,,,,,,,,,,,52.2,3.8,,17.1,,&nbsp;,22.9,55.9,,,4.0,,1.7,,,,,,,,,,,,,
Condell Park,"2,457",239,71,233,,&nbsp;,426,"2,710",,,69,,,,,,,,,,,,,,,,64.8,6.3,1.9,6.1,,&nbsp;,11.2,71.5,,,1.8,,,,,,,,,,,,,,,
Coniston,517,70,,50,12,&nbsp;,74,589,,,44,,,,,,,,,,,,,,,,58.4,7.9,,5.6,1.4,&nbsp;,8.4,66.6,,,5.0,,,,,,,,,,,,,,,
Connells Point,799,52,27,84,,&nbsp;,185,857,,,,,33,,,,,,,,,,,,,,62.7,4.1,2.1,6.6,,&nbsp;,14.5,67.2,,,,,2.6,,,,,,,,,,,,,
Coogee,"3,436",273,,,,&nbsp;,"2,637","3,720","2,151",,462,,288,,,,,,,,,,,,,,40.3,3.2,,,,&nbsp;,31.0,43.7,25.2,,5.4,,3.4,,,,,,,,,,,,,
Cooks Hill,"1,169",102,,,,&nbsp;,110,"1,278",46,,266,60,,,,,,,,,,,,,,,55.7,4.9,,,,&nbsp;,5.2,60.9,2.2,,12.7,2.9,,,,,,,,,,,,,,
Copacabana,892,58,36,19,10,&nbsp;,73,957,,,,,,,,,,,,,,,,,,,67.9,4.4,2.7,1.4,0.8,&nbsp;,5.6,72.9,,,,,,,,,,,,,,,,,,
Cordeaux Heights,"1,881",151,,48,,&nbsp;,99,"2,029",18,,29,,,,,,,,,,,,,,,,72.4,5.8,,1.8,,&nbsp;,3.8,78.1,0.7,,1.1,,,,,,,,,,,,,,,
Corrimal,"1,810",147,,76,,&nbsp;,175,"1,969",55,,80,,,,,,,,,,,,,,,,66.2,5.4,,2.8,,&nbsp;,6.4,72.0,2.0,,2.9,,,,,,,,,,,,,,,
Cranebrook,"4,853",371,184,300,144,&nbsp;,732,"5,241",,,,,,,,,,,,,,,,,,,65.3,5.0,2.5,4.0,1.9,&nbsp;,9.9,70.6,,,,,,,,,,,,,,,,,,
Cremorne,"2,342",204,,,,&nbsp;,"2,277","2,546","1,877",,402,,158,,,,,,,,,,,,,,37.0,3.2,,,,&nbsp;,35.9,40.2,29.6,,6.3,,2.5,,,,,,,,,,,,,
Cremorne Point,463,,,,,&nbsp;,354,500,49,145,39,,,,,,,,46,,,,,,,,41.5,,,,,&nbsp;,31.7,44.8,4.4,13.0,3.5,,,,,,,,4.1,,,,,,,
Cringila,386,51,,,12,&nbsp;,31,439,12,,14,,,,,,,,,,,,,,,,67.2,8.9,,,2.1,&nbsp;,5.4,76.1,2.1,,2.4,,,,,,,,,,,,,,,
Cromer,"2,255",161,,,,&nbsp;,377,"2,420",277,,60,,,55,,,,,,,,,,,,,62.6,4.5,,,,&nbsp;,10.5,67.2,7.7,,1.7,,,1.5,,,,,,,,,,,,
Cronulla,"5,855",372,109,"1,236",,&nbsp;,"1,537","6,244",,,396,,,,,,,,,,,,,,,,58.3,3.7,1.1,12.3,,&nbsp;,15.3,62.2,,,3.9,,,,,,,,,,,,,,,
Croudace Bay,188,8,,3,,&nbsp;,7,199,4,,,,,4,,,,,,,,,,,,,71.5,3.0,,1.1,,&nbsp;,2.7,75.7,1.5,,,,,1.5,,,,,,,,,,,,
Crows Nest,798,80,,193,,&nbsp;,860,882,539,,410,,,,,,,,,,,,,,,,31.2,3.1,,7.5,,&nbsp;,33.6,34.5,21.1,,16.0,,,,,,,,,,,,,,,
Croydon,"2,191",172,,"1,017",,&nbsp;,"1,440","2,369",,,181,,150,,,,,,,,,,,,,,44.5,3.5,,20.7,,&nbsp;,29.3,48.2,,,3.7,,3.0,,,,,,,,,,,,,
Croydon Park,"2,823",232,,330,,&nbsp;,"1,067","3,059",213,,,,293,,,,,,,,,,,,,,55.2,4.5,,6.5,,&nbsp;,20.9,59.8,4.2,,,,5.7,,,,,,,,,,,,,
Curl Curl,651,59,,,,&nbsp;,161,712,92,,48,,,19,,,,,,,,,,,,,55.2,5.0,,,,&nbsp;,13.6,60.3,7.8,,4.1,,,1.6,,,,,,,,,,,,
Currans Hill,"1,756",102,60,77,46,&nbsp;,221,"1,872",,,,,,,,,,,,,,,,,,,69.2,4.0,2.4,3.0,1.8,&nbsp;,8.7,73.7,,,,,,,,,,,,,,,,,,
Daceyville,129,14,,,,&nbsp;,62,146,53,,11,11,,,,,,,,,,,,,,,44.5,4.8,,,,&nbsp;,21.4,50.3,18.3,,3.8,3.8,,,,,,,,,,,,,,
Daleys Point,126,11,9,12,,&nbsp;,26,138,,,,,,3,,,,,,,,,,,,,56.0,4.9,4.0,5.3,,&nbsp;,11.6,61.6,,,,,,1.3,,,,,,,,,,,,
Dapto,"3,064",244,,81,,&nbsp;,179,"3,321",50,,65,,,,,,,,,,,,,,,,69.9,5.6,,1.8,,&nbsp;,4.1,75.8,1.1,,1.5,,,,,,,,,,,,,,,
Darling Point,711,89,,317,,&nbsp;,553,802,110,,167,,,,,,,,,,,,,,,,35.8,4.5,,16.0,,&nbsp;,27.8,40.4,5.5,,8.4,,,,,,,,,,,,,,,
Darlinghurst,"1,096",,,732,,&nbsp;,"1,710","1,223",746,,"2,424",167,,,,,,,,,,,,,,,16.7,,,11.2,,&nbsp;,26.1,18.6,11.4,,36.9,2.5,,,,,,,,,,,,,,
Darlington,228,,,298,,&nbsp;,425,245,65,,286,81,,,,,,,,,,,,,,,17.8,,,23.2,,&nbsp;,33.2,19.1,5.1,,22.3,6.3,,,,,,,,,,,,,,
Davidson,819,48,,,,&nbsp;,153,867,88,,17,,18,,,,,,,,,,,,,,64.0,3.8,,,,&nbsp;,11.9,67.7,6.9,,1.3,,1.4,,,,,,,,,,,,,
Davistown,666,47,8,12,,&nbsp;,59,715,18,,,,,,,,,,,,,,,,,,67.3,4.8,0.8,1.2,,&nbsp;,6.0,72.1,1.8,,,,,,,,,,,,,,,,,
Dawes Point,103,12,,,,&nbsp;,37,108,22,,81,,,,,,,,,18,,,,,,,34.6,4.0,,,,&nbsp;,12.5,36.5,7.4,,27.2,,,,,,,,,6.0,,,,,,
Dean Park,957,85,31,59,,&nbsp;,199,"1,049",,,,,50,,,,,,,,,,,,,,66.8,5.9,2.2,4.1,,&nbsp;,13.9,73.3,,,,,3.5,,,,,,,,,,,,,
Dee Why,"6,012",578,,,,&nbsp;,"2,453","6,606","2,042",,585,,,161,,,,,,,,,,,,,51.9,5.0,,,,&nbsp;,21.2,57.0,17.6,,5.1,,,1.4,,,,,,,,,,,,
Denistone,915,78,,292,,&nbsp;,402,992,44,,43,,,,,,,,,,,,,,,,50.4,4.3,,16.1,,&nbsp;,22.1,54.7,2.4,,2.4,,,,,,,,,,,,,,,
Denistone East,609,39,,77,,&nbsp;,175,647,64,,28,,,,,,,,,,,,,,,,59.7,3.8,,7.5,,&nbsp;,17.2,63.6,6.3,,2.7,,,,,,,,,,,,,,,
Denistone West,268,13,9,54,,&nbsp;,80,286,9,,,,,,,,,,,,,,,,,,62.0,3.0,2.1,12.5,,&nbsp;,18.5,66.2,2.1,,,,,,,,,,,,,,,,,
Dharruk,613,87,,70,27,&nbsp;,154,699,,,,,31,,,,,,,,,,,,,,58.9,8.4,,6.7,2.6,&nbsp;,14.8,67.2,,,,,3.0,,,,,,,,,,,,,
Dolans Bay,189,11,7,14,,&nbsp;,21,201,,,,3,,,,,,,,,,,,,,,66.3,3.9,2.5,4.9,,&nbsp;,7.4,70.5,,,,1.1,,,,,,,,,,,,,,
Dolls Point,592,34,,24,,&nbsp;,134,625,37,,,,42,,,,,,,,,,,,,,64.6,3.7,,2.6,,&nbsp;,14.6,68.0,4.0,,,,4.6,,,,,,,,,,,,,
Doonside,"2,989",356,79,602,,&nbsp;,"1,081","3,355",,,,,172,,,,,,,,,,,,,,57.7,6.9,1.5,11.6,,&nbsp;,20.9,64.8,,,,,3.3,,,,,,,,,,,,,
Double Bay,860,114,,462,,&nbsp;,838,972,130,,223,,,,,,,,,,,,,,,,34.6,4.6,,18.6,,&nbsp;,33.7,39.1,5.2,,9.0,,,,,,,,,,,,,,,
Dover Heights,"1,153",72,,,,&nbsp;,280,"1,226",89,34,,,50,,,,,,,,,,,,,,60.1,3.8,,,,&nbsp;,14.6,63.9,4.6,1.8,,,2.6,,,,,,,,,,,,,
Drummoyne,"3,067",191,,,,&nbsp;,"1,532","3,262","1,143",137,155,,,,,,,,,,,,,,,,50.6,3.2,,,,&nbsp;,25.3,53.9,18.9,2.3,2.6,,,,,,,,,,,,,,,
Dudley,767,43,,,,&nbsp;,25,813,17,,14,15,,,,,,,,,,,,,,,69.5,3.9,,,,&nbsp;,2.3,73.7,1.5,,1.3,1.4,,,,,,,,,,,,,,
Dulwich Hill,"2,903",250,,"1,159",,&nbsp;,"2,288","3,162",615,,,,227,,,,,,,,,,,,,,42.2,3.6,,16.9,,&nbsp;,33.3,46.0,8.9,,,,3.3,,,,,,,,,,,,,
Dundas,"1,103",89,,104,,&nbsp;,294,"1,191",79,,,,37,,,,,,,,,,,,,,62.3,5.0,,5.9,,&nbsp;,16.6,67.3,4.5,,,,2.1,,,,,,,,,,,,,
Dundas Valley,"1,324",95,,92,,&nbsp;,376,"1,429",87,,,,89,,,,,,,,,,,,,,61.5,4.4,,4.3,,&nbsp;,17.5,66.4,4.0,,,,4.1,,,,,,,,,,,,,
Dural,"2,348",156,59,,,&nbsp;,366,"2,525",176,,85,,,,,,,,,,,,,,,,63.1,4.2,1.6,,,&nbsp;,9.8,67.8,4.7,,2.3,,,,,,,,,,,,,,,
Eagle Vale,"1,773",141,53,182,49,&nbsp;,366,"1,924",,,,,,,,,,,,,,,,,,,64.6,5.1,1.9,6.6,1.8,&nbsp;,13.3,70.1,,,,,,,,,,,,,,,,,,
Earlwood,"4,359",371,,768,,&nbsp;,"1,451","4,736",292,,,,148,,,,,,,,,,,,,,57.4,4.9,,10.1,,&nbsp;,19.1,62.3,3.8,,,,1.9,,,,,,,,,,,,,
East Gosford,947,88,,98,,&nbsp;,232,"1,040",,,48,,34,,,,,,,,,,,,,,58.2,5.4,,6.0,,&nbsp;,14.3,64.0,,,3.0,,2.1,,,,,,,,,,,,,
East Hills,905,60,,204,29,&nbsp;,263,971,,,,,17,,,,,,,,,,,,,,60.0,4.0,,13.5,1.9,&nbsp;,17.4,64.3,,,,,1.1,,,,,,,,,,,,,
East Killara,651,63,46,158,,&nbsp;,288,713,,,,,,,,,,,,,28,,,,,,51.5,5.0,3.6,12.5,,&nbsp;,22.8,56.4,,,,,,,,,,,,,2.2,,,,,
East Lindfield,751,64,37,131,,&nbsp;,314,818,84,,,,,,,,,,,,,,,,,,50.6,4.3,2.5,8.8,,&nbsp;,21.1,55.0,5.7,,,,,,,,,,,,,,,,,
East Ryde,649,46,,12,,&nbsp;,169,695,120,,,,,11,,,,,,,,,,,,,57.5,4.1,,1.1,,&nbsp;,15.0,61.7,10.6,,,,,1.0,,,,,,,,,,,,
Eastern Creek,220,16,,9,9,&nbsp;,39,238,,,,,11,,,,,,,,,,,,,,64.9,4.7,,2.7,2.7,&nbsp;,11.5,70.2,,,,,3.2,,,,,,,,,,,,,
Eastlakes,"1,279",181,,,,&nbsp;,689,"1,463",493,,102,,92,,,,,,,,,,,,,,47.5,6.7,,,,&nbsp;,25.6,54.3,18.3,,3.8,,3.4,,,,,,,,,,,,,
Eastwood,"3,516",326,,"1,369",,&nbsp;,"2,082","3,849",270,,275,,,,,,,,,,,,,,,,47.9,4.4,,18.7,,&nbsp;,28.4,52.5,3.7,,3.7,,,,,,,,,,,,,,,
Edensor Park,"2,863",251,120,135,82,&nbsp;,478,"3,119",,,,,,,,,,,,,,,,,,,68.0,6.0,2.8,3.2,1.9,&nbsp;,11.4,74.1,,,,,,,,,,,,,,,,,,
Edgecliff,304,,,384,,&nbsp;,481,334,42,,141,,34,,,,,,,,,,,,,,26.4,,,33.4,,&nbsp;,41.8,29.0,3.6,,12.3,,3.0,,,,,,,,,,,,,
Edgeworth,"1,943",152,,,41,&nbsp;,46,"2,103",33,,32,,,,,,,,,,,,,,,,72.0,5.6,,,1.5,&nbsp;,1.7,77.9,1.2,,1.2,,,,,,,,,,,,,,,
Elanora Heights,"1,253",59,,,,&nbsp;,151,"1,325",101,,35,,,,25,,,,,,,,,,,,63.5,3.0,,,,&nbsp;,7.7,67.2,5.1,,1.8,,,,1.3,,,,,,,,,,,
Elderslie,"1,522",91,64,33,,&nbsp;,141,"1,622",,,29,,,,,,,,,,,,,,,,70.1,4.2,2.9,1.5,,&nbsp;,6.5,74.6,,,1.3,,,,,,,,,,,,,,,
Eleebana,"2,116",120,,,23,&nbsp;,32,"2,244",,,26,,,13,,,,,,,,,,,,,74.2,4.2,,,0.8,&nbsp;,1.1,78.6,,,0.9,,,0.5,,,,,,,,,,,,
Elermore Vale,"1,763",142,,,25,&nbsp;,50,"1,921",39,,30,,,,,,,,,,,,,,,,72.8,5.9,,,1.0,&nbsp;,2.1,79.3,1.6,,1.2,,,,,,,,,,,,,,,
Elizabeth Bay,636,,,636,,&nbsp;,"1,020",728,229,,819,,,,,,,,,120,,,,,,,19.6,,,19.6,,&nbsp;,31.5,22.5,7.1,,25.3,,,,,,,,,3.7,,,,,,
Emerton,400,61,,35,,&nbsp;,103,460,,,14,,42,,,,,,,,,,,,,,57.6,8.8,,5.0,,&nbsp;,14.8,66.1,,,2.0,,6.0,,,,,,,,,,,,,
Empire Bay,610,37,33,46,21,&nbsp;,126,648,,,,,,,,,,,,,,,,,,,59.3,3.6,3.2,4.5,2.0,&nbsp;,12.3,63.2,,,,,,,,,,,,,,,,,,
Emu Heights,"1,136",113,36,103,34,&nbsp;,180,"1,252",,,,,,,,,,,,,,,,,,,63.1,6.3,2.0,5.7,1.9,&nbsp;,10.0,69.6,,,,,,,,,,,,,,,,,,
Emu Plains,"2,461",173,,291,63,&nbsp;,440,"2,639",,,54,,,,,,,,,,,,,,,,64.2,4.5,,7.6,1.6,&nbsp;,11.5,68.8,,,1.4,,,,,,,,,,,,,,,
Enfield,636,57,,115,,&nbsp;,310,689,70,,,,84,,,,,,,,,,,,,,51.9,4.6,,9.4,,&nbsp;,25.3,56.3,5.7,,,,6.9,,,,,,,,,,,,,
Engadine,"5,369",320,217,750,,&nbsp;,"1,202","5,707",,,167,,,,,,,,,,,,,,,,62.3,3.7,2.5,8.7,,&nbsp;,13.9,66.2,,,1.9,,,,,,,,,,,,,,,
Enmore,641,,,327,,&nbsp;,739,708,306,,189,115,,,,,,,,,,,,,,,30.4,,,15.5,,&nbsp;,35.0,33.6,14.5,,9.0,5.5,,,,,,,,,,,,,,
Epping,"4,728",373,,"2,178",,&nbsp;,"3,076","5,116",,,263,,277,,,,,,,,,,,,,,47.4,3.7,,21.8,,&nbsp;,30.8,51.2,,,2.6,,2.8,,,,,,,,,,,,,
Erina,941,79,29,45,,&nbsp;,121,"1,018",,,51,,,,,,,,,,,,,,,,60.8,5.1,1.9,2.9,,&nbsp;,7.8,65.9,,,3.3,,,,,,,,,,,,,,,
Ermington,"2,500",237,,151,,&nbsp;,663,"2,741",233,,,,130,,,,,,,,,,,,,,60.3,5.7,,3.6,,&nbsp;,16.0,66.1,5.6,,,,3.1,,,,,,,,,,,,,
Erskine Park,"2,512",223,76,141,61,&nbsp;,331,"2,740",,,,,,,,,,,,,,,,,,,69.0,6.1,2.1,3.9,1.7,&nbsp;,9.1,75.3,,,,,,,,,,,,,,,,,,
Erskineville,"1,461",,,"1,525",,&nbsp;,"1,989","1,583",247,,362,234,,,,,,,,,,,,,,,29.9,,,31.3,,&nbsp;,40.8,32.4,5.1,,7.4,4.8,,,,,,,,,,,,,,
Eschol Park,885,76,26,70,19,&nbsp;,145,960,,,,,,,,,,,,,,,,,,,67.2,5.8,2.0,5.3,1.4,&nbsp;,11.0,72.9,,,,,,,,,,,,,,,,,,
