,Australia,Australia (%)
Abbotsbury,2438.0,63.4
Australia,13629481.0,72.6
Abbotsford,3256.0,67.1
Acacia Gardens,1235.0,69.6
Adamstown,4131.0,84.8
Adamstown Heights,4313.0,82.8
Airds,2775.0,67.6
Albion Park,8454.0,80.7
Albion Park Rail,5563.0,76.7
Alexandria,2674.0,63.7
Alfords Point,2695.0,75.6
Allambie Heights,4773.0,70.7
Allawah,1748.0,40.2
Ambarvale,5239.0,69.4
Annandale,5470.0,67.4
Argenton,1052.0,82.1
Arncliffe,4723.0,51.1
Artarmon,4257.0,52.7
Ashbury,1909.0,59.2
Ashcroft,1920.0,58.8
Ashfield,8617.0,42.4
Asquith,2264.0,73.7
Auburn,9873.0,37.3
Austinmer,1743.0,78.7
Avoca Beach,3342.0,81.7
Balgowlah,4226.0,68.3
Balgowlah Heights,2247.0,71.7
Balgownie,4524.0,73.2
Balmain,5739.0,63.7
Balmain East,1169.0,66.8
Bangor,4567.0,80.5
Banksia,1481.0,49.4
Bankstown,9674.0,38.2
Bar Beach,1046.0,78.1
Barden Ridge,3148.0,81.4
Bardwell Park,1335.0,60.2
Bardwell Valley,1149.0,60.0
Barnsley,1649.0,89.9
Barrack Heights,4353.0,68.0
Barrack Point,459.0,80.5
Bass Hill,5293.0,61.5
Bateau Bay,9318.0,83.7
Baulkham Hills,23282.0,69.6
Bayview,2255.0,71.9
Beacon Hill,4159.0,69.4
Beaconsfield,396.0,57.5
Beecroft,6084.0,71.5
Belfield,3037.0,53.5
Bella Vista,2784.0,62.4
Bellambi,3205.0,73.6
Bellevue Hill,5569.0,58.2
Belmont,5206.0,86.4
Belmont North,4788.0,88.2
Belmont South,997.0,88.0
Belmore,5115.0,41.3
Belrose,5512.0,72.7
Bensville,1492.0,84.9
Berala,3232.0,41.8
Berkeley,5183.0,69.3
Berkeley Vale,7048.0,75.1
Berowra,3229.0,74.7
Berowra Heights,4019.0,78.4
Beverley Park,1340.0,64.6
Beverly Hills,5165.0,59.2
Bexley,9561.0,53.6
Bexley North,2227.0,56.9
Bidwill,3063.0,67.1
Birchgrove,2004.0,69.9
Birmingham Gardens,1480.0,83.7
Birrong,1475.0,51.6
Blackalls Park,2389.0,86.4
Blackbutt,2135.0,70.1
Blackett,2441.0,69.9
Blacksmiths,1546.0,89.6
Blacktown,21445.0,57.3
Blackwall,1400.0,82.1
Blairmount,438.0,77.4
Blakehurst,3703.0,69.5
Blaxland,5740.0,81.8
Blue Bay,697.0,82.9
Blue Haven,3796.0,80.9
Bolton Point,1982.0,86.5
Bondi,4001.0,45.7
Bondi Beach,5015.0,46.6
Bondi Junction,3395.0,44.4
Bonnet Bay,1940.0,83.4
Bonnyrigg,3678.0,41.6
Bonnyrigg Heights,2965.0,41.9
Booker Bay,1079.0,81.4
Boolaroo,1050.0,88.4
Booragul,1386.0,84.9
Bossley Park,7031.0,48.8
Botany,4506.0,60.4
Bow Bowing,1018.0,62.5
Bradbury,6604.0,73.1
Broadmeadow,1162.0,80.0
Bronte,4438.0,65.6
Brookvale,1400.0,56.2
Budgewoi,2423.0,82.5
Buff Point,2840.0,83.1
Bulli,4275.0,79.8
Burwood,4134.0,37.1
Burwood Heights,603.0,62.7
Busby,2530.0,62.6
Cabarita,776.0,66.8
Cabramatta,4978.0,25.7
Cabramatta West,2524.0,38.7
Cambridge Gardens,1711.0,78.5
Cambridge Park,4707.0,76.8
Camden,2490.0,81.2
Camden South,3850.0,82.7
Cammeray,3664.0,62.0
Campbelltown,6705.0,67.5
Camperdown,3607.0,66.1
Campsie,6457.0,31.0
Canada Bay,767.0,63.5
Canley Heights,3798.0,39.2
Canley Vale,3265.0,32.3
Canterbury,2346.0,43.1
Canton Beach,843.0,75.3
Cardiff,4274.0,84.8
Cardiff Heights,1484.0,83.5
Cardiff South,2322.0,86.5
Caringbah,16391.0,79.6
Carlingford,11470.0,58.9
Carlton,4897.0,51.3
Carramar,1121.0,36.1
Carrington,1361.0,84.6
Carss Park,871.0,75.7
Cartwright,1272.0,56.3
Castle Cove,1331.0,57.3
Castle Hill,21309.0,67.6
Castlecrag,1696.0,64.2
Casula,6552.0,58.5
Caves Beach,3535.0,85.8
Cecil Hills,3001.0,51.6
Centennial Park,1151.0,54.8
Charlestown,9604.0,84.7
Charmhaven,1880.0,83.8
Chatswood,4571.0,44.7
Chatswood West,4136.0,55.2
Cheltenham,1481.0,74.9
Cherrybrook,10776.0,57.9
Chester Hill,5557.0,55.8
Chifley,2040.0,68.3
Chippendale,1556.0,47.2
Chipping Norton,6023.0,67.0
Chiswick,855.0,65.3
Chittaway Bay,1701.0,85.6
Chittaway Point,633.0,79.5
Church Point,770.0,68.8
Claremont Meadows,2386.0,68.5
Claymore,2183.0,61.1
Clontarf,1039.0,63.5
Clovelly,2956.0,67.8
Coal Point,1415.0,84.7
Coledale,722.0,80.3
Collaroy,10246.0,77.8
Colyton,5562.0,68.4
Como,3055.0,83.2
Concord,8431.0,63.3
Concord West,3855.0,65.1
Condell Park,4980.0,55.5
Coniston,1066.0,57.3
Connells Point,2031.0,72.1
Coogee,8053.0,60.1
Cooks Hill,2021.0,80.1
Copacabana,2266.0,82.6
Cordeaux Heights,3710.0,76.3
Corrimal,6918.0,72.9
Cranebrook,10209.0,78.1
Cremorne,6019.0,59.0
Cremorne Point,1082.0,60.5
Cringila,1006.0,42.8
Cromer,5145.0,74.2
Cronulla,12355.0,75.9
Croudace Bay,337.0,87.8
Crows Nest,1995.0,60.5
Croydon,5009.0,55.1
Croydon Park,5773.0,54.7
Curl Curl,1403.0,76.0
Currans Hill,3472.0,78.8
Daceyville,765.0,62.7
Daleys Point,369.0,80.9
Dapto,8116.0,75.3
Darling Point,2302.0,56.5
Darlinghurst,4176.0,45.5
Darlington,1145.0,56.1
