,Personal,Family,Household,Personal (%),Family (%),Household (%),SSC_CODE
Budgee Budgee (NSW),568.0,1916.0,1687.0,--,--,--,10641
Kains Flat,397.0,1041.0,942.0,--,--,--,12049
Menah,754.0,2291.0,1718.0,--,--,--,12566
Grattai,557.0,1362.0,1097.0,--,--,--,11741
Hargraves,354.0,744.0,674.0,--,--,--,11854
Windeyer (NSW),413.0,933.0,708.0,--,--,--,14322
Bocoble,437.0,966.0,880.0,--,--,--,10432
Mount Frome,788.0,2250.0,1437.0,--,--,--,12760
Buckaroo,532.0,1416.0,1312.0,--,--,--,10630
Blayney,558.0,1426.0,1089.0,--,--,--,10410
Millthorpe,779.0,2025.0,1597.0,--,--,--,12623
Carcoar,454.0,1286.0,833.0,--,--,--,10808
Lyndhurst (Blayney - NSW),556.0,1452.0,1087.0,--,--,--,12426
Forest Reefs,783.0,2250.0,2013.0,--,--,--,11547
Neville,484.0,1343.0,1149.0,--,--,--,12937
Barry (Blayney - NSW),660.0,1656.0,1281.0,--,--,--,10218
Newbridge (NSW),599.0,1458.0,1031.0,--,--,--,12948
Orange,661.0,1635.0,1275.0,--,--,--,13092
Clifton Grove,802.0,2156.0,2132.0,--,--,--,10934
Cumnock,550.0,1275.0,953.0,--,--,--,11159
Cudal,639.0,1514.0,1280.0,--,--,--,11140
Molong,581.0,1464.0,1168.0,--,--,--,12671
Manildra,591.0,1529.0,1264.0,--,--,--,12473
Cargo,652.0,1866.0,1433.0,--,--,--,10813
Spring Terrace,812.0,1674.0,1604.0,--,--,--,13620
Springside (NSW),739.0,2100.0,1833.0,--,--,--,13626
Spring Hill (Cabonne - NSW),741.0,1758.0,1649.0,--,--,--,13615
Guyong,811.0,1968.0,1843.0,--,--,--,11821
Emu Swamp,974.0,2218.0,2036.0,--,--,--,11419
Lewis Ponds,703.0,1916.0,1781.0,--,--,--,12312
Lucknow (NSW),721.0,1854.0,1525.0,--,--,--,12418
Spring Creek (NSW),731.0,1916.0,1708.0,--,--,--,13611
Huntley (Orange - NSW),805.0,2208.0,1958.0,--,--,--,11958
Canobolas,884.0,2116.0,1875.0,--,--,--,10793
Clergate,632.0,1812.0,1600.0,--,--,--,10929
March,787.0,2049.0,1775.0,--,--,--,12486
Summer Hill Creek,832.0,1906.0,1774.0,--,--,--,13688
Mullion Creek,703.0,1852.0,1795.0,--,--,--,12826
Nashdale,759.0,2094.0,1713.0,--,--,--,12913
Windera (NSW),1005.0,2463.0,2481.0,--,--,--,14319
Lidster,1077.0,2591.0,2422.0,--,--,--,12319
Borenore,778.0,2118.0,1983.0,--,--,--,10513
Yeoval,456.0,1104.0,886.0,--,--,--,14507
Grafton,537.0,1282.0,956.0,--,--,--,11733
Rushforth,575.0,1410.0,1303.0,--,--,--,13446
Great Marlow,622.0,1375.0,1187.0,--,--,--,11745
South Grafton,451.0,980.0,801.0,--,--,--,13582
Junction Hill,566.0,1306.0,1167.0,--,--,--,12045
Carrs Creek,509.0,1333.0,1199.0,--,--,--,10834
Tucabia,476.0,1008.0,900.0,--,--,--,13945
Ulmarra,430.0,951.0,818.0,--,--,--,14004
Ramornie,396.0,1028.0,767.0,--,--,--,13308
Nymboida,391.0,843.0,669.0,--,--,--,13048
Blaxlands Creek,479.0,1312.0,1437.0,--,--,--,10408
Glenreagh,458.0,1135.0,995.0,--,--,--,11675
Wells Crossing,431.0,1042.0,880.0,--,--,--,14223
Kungala,465.0,1375.0,1145.0,--,--,--,12212
Wooli,439.0,949.0,691.0,--,--,--,14403
Halfway Creek,425.0,949.0,887.0,--,--,--,11831
Copmanhurst,417.0,796.0,756.0,--,--,--,11060
Whiteman Creek,459.0,1089.0,1125.0,--,--,--,14277
The Whiteman,521.0,1312.0,1281.0,--,--,--,13843
Waterview Heights,491.0,1303.0,1233.0,--,--,--,14186
Lawrence (NSW),445.0,1068.0,856.0,--,--,--,12288
Eatonsville,389.0,1075.0,794.0,--,--,--,11370
Seelands,577.0,1312.0,1228.0,--,--,--,13515
Mountain View (NSW),554.0,1274.0,1149.0,--,--,--,12808
Southgate,606.0,1395.0,1174.0,--,--,--,13604
Lower Southgate,575.0,1474.0,1333.0,--,--,--,12413
Ashby Heights,434.0,933.0,875.0,--,--,--,10095
Tullymorgan,512.0,1625.0,1281.0,--,--,--,13960
Ashby (NSW),490.0,1166.0,1006.0,--,--,--,10094
South Arm (Clarence Valley - NSW),433.0,1263.0,937.0,--,--,--,13574
Woodford Island,561.0,1541.0,1152.0,--,--,--,14384
Brushgrove,431.0,977.0,918.0,--,--,--,10622
Elland,632.0,1406.0,1300.0,--,--,--,11399
Coutts Crossing,461.0,1162.0,996.0,--,--,--,11094
Kremnos,447.0,1125.0,871.0,--,--,--,12204
Lanitza,434.0,1176.0,1021.0,--,--,--,12270
Braunstone,493.0,1542.0,1446.0,--,--,--,10550
Glenugie,468.0,1187.0,1020.0,--,--,--,11681
Clarenza,603.0,1812.0,1465.0,--,--,--,10922
Swan Creek (NSW),529.0,1142.0,1016.0,--,--,--,13706
Pillar Valley,421.0,1024.0,779.0,--,--,--,13204
Minnie Water,519.0,1138.0,919.0,--,--,--,12640
Tyndale,403.0,949.0,816.0,--,--,--,13997
Ilarwill,536.0,1152.0,949.0,--,--,--,11970
Yamba (NSW),487.0,1089.0,873.0,--,--,--,14458
Gulmarrad,451.0,1195.0,1135.0,--,--,--,11795
Angourie,693.0,1430.0,1347.0,--,--,--,10059
Brooms Head,420.0,924.0,703.0,--,--,--,10603
Wooloweyah,643.0,1637.0,1305.0,--,--,--,14411
Woombah,430.0,981.0,816.0,--,--,--,14414
Maclean,455.0,1041.0,824.0,--,--,--,12431
Iluka (NSW),427.0,854.0,723.0,--,--,--,11975
Harwood,443.0,1015.0,825.0,--,--,--,11865
Chatsworth (NSW),547.0,1341.0,1260.0,--,--,--,10894
Townsend,477.0,1048.0,928.0,--,--,--,13928
Palmers Channel,585.0,1375.0,1187.0,--,--,--,13135
James Creek,450.0,1437.0,1375.0,--,--,--,11999
Palmers Island,508.0,1321.0,1057.0,--,--,--,13136
Bellingen,534.0,1230.0,1032.0,--,--,--,10273
Brierfield,553.0,1531.0,1323.0,--,--,--,10568
Fernmount,618.0,1465.0,1303.0,--,--,--,11509
Darkwood,469.0,949.0,780.0,--,--,--,11210
Thora,497.0,1028.0,924.0,--,--,--,13849
Gleniffer,562.0,1281.0,1125.0,--,--,--,11668
Valery,553.0,1224.0,1135.0,--,--,--,14066
Kalang,427.0,1093.0,959.0,--,--,--,12050
Coffs Harbour,554.0,1293.0,1019.0,--,--,--,10959
North Boambee Valley,620.0,1497.0,1238.0,--,--,--,12983
Coramba,593.0,1375.0,1255.0,--,--,--,11065
Nana Glen,561.0,1390.0,1231.0,--,--,--,12889
Upper Orara,618.0,1570.0,1394.0,--,--,--,14041
Bucca (NSW),575.0,1408.0,1261.0,--,--,--,10625
Karangi,599.0,1471.0,1375.0,--,--,--,12072
Megan,529.0,1292.0,1062.0,--,--,--,12558
Ulong,437.0,949.0,758.0,--,--,--,14005
Lowanna,454.0,887.0,704.0,--,--,--,12398
Dorrigo,471.0,1098.0,775.0,--,--,--,11278
Deer Vale,445.0,915.0,787.0,--,--,--,11232
Fernbrook,632.0,1424.0,1062.0,--,--,--,11506
Hernani,749.0,1474.0,1449.0,--,--,--,11896
Bostobrick,450.0,1125.0,1024.0,--,--,--,10516
North Dorrigo,505.0,1281.0,1093.0,--,--,--,12989
Sapphire Beach,721.0,1830.0,1544.0,--,--,--,13491
Emerald Beach,648.0,1502.0,1410.0,--,--,--,11411
Korora,677.0,1553.0,1436.0,--,--,--,12197
Moonee Beach,658.0,1714.0,1562.0,--,--,--,12703
Toormina,491.0,1112.0,876.0,--,--,--,13912
Boambee East,594.0,1312.0,1166.0,--,--,--,10422
Boambee,652.0,1695.0,1557.0,--,--,--,10421
Sawtell,609.0,1460.0,1107.0,--,--,--,13498
Bonville,583.0,1550.0,1453.0,--,--,--,10474
Bundagen,372.0,537.0,478.0,--,--,--,10669
Mylestom,537.0,1166.0,974.0,--,--,--,12875
Raleigh,559.0,1489.0,1416.0,--,--,--,13307
Urunga,501.0,1145.0,931.0,--,--,--,14061
Repton,582.0,1459.0,1208.0,--,--,--,13352
Valla,540.0,1398.0,1245.0,--,--,--,14067
Woolgoolga,498.0,1210.0,949.0,--,--,--,14402
Safety Beach (NSW),665.0,1755.0,1550.0,--,--,--,13462
Sandy Beach,576.0,1362.0,1215.0,--,--,--,13479
Upper Corindi,464.0,1305.0,900.0,--,--,--,14020
Corindi Beach,578.0,1418.0,1252.0,--,--,--,11073
Red Rock,544.0,1192.0,964.0,--,--,--,13334
Arrawarra,420.0,793.0,682.0,--,--,--,10088
Arrawarra Headland,566.0,1432.0,1222.0,--,--,--,10089
Mullaway,562.0,1367.0,1228.0,--,--,--,12822
Bourke,749.0,1635.0,1311.0,--,--,--,10522
Wanaaring,604.0,1125.0,1166.0,--,--,--,14126
North Bourke,806.0,1812.0,1312.0,--,--,--,12985
Enngonia,404.0,1187.0,1031.0,--,--,--,11426
Brewarrina,443.0,937.0,923.0,--,--,--,10563
Cobar,755.0,2070.0,1650.0,--,--,--,10949
Coonamble,532.0,1262.0,1015.0,--,--,--,11044
Gulargambone,445.0,1008.0,788.0,--,--,--,11792
Quambone,535.0,1274.0,725.0,--,--,--,13287
Nyngan,628.0,1557.0,1078.0,--,--,--,13049
Nevertire,850.0,2166.0,1458.0,--,--,--,12936
Warren,646.0,1375.0,1059.0,--,--,--,14171
Hermidale,617.0,1399.0,1375.0,--,--,--,11894
Ravenswood (NSW),470.0,1160.0,816.0,--,--,--,13321
Cumborah,384.0,745.0,491.0,--,--,--,11158
Goodooga,383.0,871.0,758.0,--,--,--,11702
Carinda,602.0,1339.0,1031.0,--,--,--,10814
Pilliga,365.0,875.0,575.0,--,--,--,13205
Come By Chance,743.0,1449.0,1325.0,--,--,--,10993
Walgett,536.0,1164.0,1039.0,--,--,--,14096
Burren Junction,512.0,1194.0,1014.0,--,--,--,10710
Lightning Ridge,434.0,910.0,681.0,--,--,--,12320
Collarenebri,463.0,1062.0,907.0,--,--,--,10969
Rowena,540.0,1224.0,1031.0,--,--,--,13431
Broken Hill,528.0,1282.0,968.0,--,--,--,10592
White Cliffs,469.0,1041.0,612.0,--,--,--,14274
Menindee,442.0,890.0,819.0,--,--,--,12571
Wilcannia,442.0,1176.0,989.0,--,--,--,14290
Tibooburra,700.0,1202.0,1233.0,--,--,--,13860
Pooncarie,735.0,1149.0,933.0,--,--,--,13242
Ivanhoe (NSW),759.0,1485.0,1305.0,--,--,--,11991
Baradine,453.0,1047.0,771.0,--,--,--,10190
Coonabarabran,490.0,1137.0,896.0,--,--,--,11043
Binnaway,391.0,781.0,710.0,--,--,--,10372
Mendooran,451.0,894.0,774.0,--,--,--,12570
Coolah,498.0,1177.0,975.0,--,--,--,11024
Bugaldie,462.0,1031.0,664.0,--,--,--,10646
Ulamambri,475.0,1268.0,1147.0,--,--,--,14001
Tambar Springs,480.0,1174.0,749.0,--,--,--,13743
Merrygoen,495.0,1416.0,1281.0,--,--,--,12587
Dubbo,691.0,1602.0,1341.0,--,--,--,11296
Terramungamine,751.0,1857.0,1767.0,--,--,--,13801
Brocklehurst,544.0,1343.0,1196.0,--,--,--,10583
Wongarbon,718.0,1712.0,1554.0,--,--,--,14373
Elong Elong,472.0,1062.0,771.0,--,--,--,11406
Gollan,691.0,1424.0,1350.0,--,--,--,11694
Eumungerie,535.0,1062.0,836.0,--,--,--,11456
Minore,496.0,1583.0,1517.0,--,--,--,12641
Ballimore,624.0,1562.0,1281.0,--,--,--,10161
Gilgandra,509.0,1149.0,914.0,--,--,--,11619
Collie (NSW),644.0,1375.0,1166.0,--,--,--,10975
Armatree,745.0,1875.0,1228.0,--,--,--,10084
Curban,846.0,1708.0,1468.0,--,--,--,11166
Tooraweenah,520.0,1125.0,929.0,--,--,--,13911
Narromine,592.0,1378.0,1086.0,--,--,--,12911
Burroway,515.0,1375.0,1325.0,--,--,--,10715
Trangie,569.0,1256.0,978.0,--,--,--,13932
Tomingley,512.0,1325.0,1158.0,--,--,--,13896
Wellington (NSW),458.0,1040.0,781.0,--,--,--,14221
Mumbil,411.0,942.0,710.0,--,--,--,12832
Stuart Town,447.0,1100.0,1020.0,--,--,--,13680
Euchareena,552.0,1375.0,1228.0,--,--,--,11452
Neurea,489.0,1416.0,1281.0,--,--,--,12933
Mount Arthur,619.0,1395.0,1271.0,--,--,--,12747
Maryvale (NSW),617.0,1774.0,1468.0,--,--,--,12517
Geurie,678.0,1589.0,1218.0,--,--,--,11608
Montefiores,699.0,1327.0,1125.0,--,--,--,12685
Greta (NSW),598.0,1612.0,1412.0,--,--,--,11778
Lower Belford,731.0,2147.0,2087.0,--,--,--,12401
Belford,780.0,2528.0,2416.0,--,--,--,10258
Branxton,675.0,2017.0,1678.0,--,--,--,10549
Pokolbin,921.0,2290.0,2079.0,--,--,--,13236
Keinbah,621.0,2083.0,1875.0,--,--,--,12084
Lovedale,757.0,2069.0,1775.0,--,--,--,12396
East Branxton,768.0,1926.0,1710.0,--,--,--,11346
North Rothbury,710.0,1952.0,1600.0,--,--,--,13004
Leconfield,787.0,1906.0,1775.0,--,--,--,12291
Cessnock,488.0,1227.0,990.0,--,--,--,10878
Nulkaba,668.0,1987.0,1875.0,--,--,--,13031
Aberdare,511.0,1176.0,998.0,--,--,--,10006
Kearsley,532.0,1414.0,1260.0,--,--,--,12080
Bellbird,516.0,1331.0,1175.0,--,--,--,10268
Bellbird Heights,655.0,1579.0,1368.0,--,--,--,10269
Ellalong,565.0,1423.0,1370.0,--,--,--,11398
Kitchener,462.0,1375.0,1156.0,--,--,--,12174
Abernethy,507.0,1833.0,1575.0,--,--,--,10011
Mulbring,543.0,1625.0,1454.0,--,--,--,12813
Buchanan (NSW),617.0,1874.0,1812.0,--,--,--,10628
Millfield,491.0,1542.0,1288.0,--,--,--,12620
Paxton,523.0,1533.0,1257.0,--,--,--,13162
Black Hill (NSW),746.0,2367.0,2166.0,--,--,--,10385
Mount Vincent,755.0,2104.0,1875.0,--,--,--,12799
Brunkerville,620.0,1775.0,1281.0,--,--,--,10620
Quorrobolong,652.0,2059.0,1899.0,--,--,--,13302
Congewai,687.0,1674.0,1292.0,--,--,--,11007
Mount View,1057.0,2449.0,2150.0,--,--,--,12798
Paynes Crossing,558.0,1292.0,1125.0,--,--,--,13163
Laguna,493.0,1399.0,1156.0,--,--,--,12237
Wollombi,568.0,1339.0,792.0,--,--,--,14355
Watagan,462.0,1208.0,817.0,--,--,--,14180
Murrays Run,620.0,1312.0,1181.0,--,--,--,12855
Bucketty,575.0,1416.0,1321.0,--,--,--,10634
Clarence Town,637.0,1718.0,1578.0,--,--,--,10920
Dungog,492.0,1132.0,842.0,--,--,--,11320
Bendolba,504.0,1125.0,942.0,--,--,--,10291
Paterson (NSW),651.0,1681.0,1581.0,--,--,--,13159
Martins Creek,646.0,1699.0,1446.0,--,--,--,12511
Torryburn (Dungog - NSW),661.0,2094.0,1666.0,--,--,--,13920
Vacy,708.0,1885.0,1760.0,--,--,--,14063
East Gresford,546.0,1390.0,1062.0,--,--,--,11350
Gresford,588.0,1583.0,1192.0,--,--,--,11777
Glen Martin,585.0,1375.0,1458.0,--,--,--,11650
Wallarobba,632.0,1474.0,1354.0,--,--,--,14111
Hilldale,566.0,1562.0,1228.0,--,--,--,11906
Glen Oak,614.0,1771.0,1694.0,--,--,--,11652
Glen William,681.0,1625.0,1562.0,--,--,--,11654
Brookfield (NSW),560.0,1699.0,1399.0,--,--,--,10596
Abermain,498.0,1389.0,1185.0,--,--,--,10010
Weston (NSW),496.0,1280.0,1084.0,--,--,--,14262
Kurri Kurri,496.0,1269.0,991.0,--,--,--,12221
Stanford Merthyr,518.0,1242.0,1091.0,--,--,--,13647
Pelaw Main,486.0,1217.0,989.0,--,--,--,13177
Heddon Greta,678.0,1899.0,1780.0,--,--,--,11888
Neath,424.0,924.0,691.0,--,--,--,12917
Cliftleigh,638.0,1546.0,1542.0,--,--,--,10932
Sawyers Gully,572.0,1781.0,1569.0,--,--,--,13499
Hunterview,861.0,2248.0,2113.0,--,--,--,11955
Redbournberry,725.0,2250.0,2208.0,--,--,--,13337
Singleton (NSW),592.0,1604.0,1250.0,--,--,--,13549
Whittingham,631.0,1699.0,1625.0,--,--,--,14279
Gowrie (Singleton - NSW),764.0,2437.0,2474.0,--,--,--,11729
Glenridding,475.0,1437.0,945.0,--,--,--,11676
Singleton Heights,670.0,1897.0,1597.0,--,--,--,13550
Wattle Ponds,789.0,2662.0,2564.0,--,--,--,14193
McDougalls Hill,779.0,2187.0,1531.0,--,--,--,12541
Darlington (Singleton - NSW),662.0,1812.0,1437.0,--,--,--,11213
Broke (NSW),525.0,1841.0,1662.0,--,--,--,10590
Putty,425.0,933.0,850.0,--,--,--,13279
Howes Valley,443.0,1062.0,866.0,--,--,--,11948
Bulga (NSW),548.0,1562.0,1553.0,--,--,--,10651
Jerrys Plains,763.0,1768.0,1525.0,--,--,--,12021
Maison Dieu,537.0,2218.0,2091.0,--,--,--,12448
Bridgman,768.0,2125.0,2062.0,--,--,--,10567
Mount Olive (Singleton - NSW),675.0,2028.0,1812.0,--,--,--,12781
Westbrook (NSW),765.0,2250.0,2166.0,--,--,--,14257
Reedy Creek (NSW),630.0,2125.0,1708.0,--,--,--,13342
Sedgefield,665.0,2031.0,2083.0,--,--,--,13514
Mitchells Flat,820.0,2591.0,2437.0,--,--,--,12651
Glendon,662.0,2143.0,2094.0,--,--,--,11660
Elderslie (Singleton - NSW),791.0,1625.0,1774.0,--,--,--,11392
Lambs Valley (Singleton - NSW),644.0,2250.0,2083.0,--,--,--,12263
Stanhope (NSW),808.0,2374.0,2083.0,--,--,--,13648
Glendon Brook,578.0,1666.0,1625.0,--,--,--,11661
Maitland (NSW),537.0,1323.0,1040.0,--,--,--,12449
South Maitland,464.0,1166.0,931.0,--,--,--,13591
Gillieston Heights,767.0,1870.0,1712.0,--,--,--,11624
Louth Park,826.0,2691.0,2694.0,--,--,--,12395
Horseshoe Bend,486.0,1284.0,1027.0,--,--,--,11939
Oakhampton,491.0,1437.0,1062.0,--,--,--,13056
East Maitland,612.0,1575.0,1178.0,--,--,--,11360
Metford,580.0,1423.0,1217.0,--,--,--,12592
Tenambit,544.0,1335.0,1118.0,--,--,--,13787
Raworth,766.0,1948.0,1833.0,--,--,--,13325
Morpeth,611.0,1491.0,1111.0,--,--,--,12727
Ashtonfield,768.0,1965.0,1844.0,--,--,--,10102
Chisholm (NSW),931.0,2306.0,2295.0,--,--,--,10909
Largs,735.0,1968.0,1727.0,--,--,--,12278
Bolwarra Heights,809.0,2355.0,2147.0,--,--,--,10451
Lorn,719.0,2074.0,1527.0,--,--,--,12389
Bolwarra (NSW),743.0,1952.0,1706.0,--,--,--,10450
Woodville (NSW),640.0,1786.0,1557.0,--,--,--,14398
Maitland Vale,1087.0,2750.0,2449.0,--,--,--,12451
Rutherford,564.0,1389.0,1202.0,--,--,--,13449
Aberglasslyn,758.0,1998.0,1897.0,--,--,--,10009
Luskintyre,675.0,2031.0,1937.0,--,--,--,12423
Lochinvar,611.0,1808.0,1797.0,--,--,--,12368
Windella,727.0,2395.0,2432.0,--,--,--,14317
Telarah,509.0,1241.0,1017.0,--,--,--,13780
Farley,639.0,2055.0,1895.0,--,--,--,11490
Bishops Bridge,666.0,2156.0,1916.0,--,--,--,10380
Thornton (NSW),702.0,1768.0,1647.0,--,--,--,13851
Millers Forest,735.0,1812.0,1875.0,--,--,--,12618
Berry Park,615.0,2062.0,1937.0,--,--,--,10325
Anna Bay,497.0,1297.0,1065.0,--,--,--,10060
Boat Harbour (Port Stephens - NSW),645.0,1690.0,1481.0,--,--,--,10425
Bobs Farm,541.0,1478.0,1286.0,--,--,--,10429
One Mile (NSW),596.0,1850.0,1292.0,--,--,--,13085
Lemon Tree Passage,481.0,1185.0,983.0,--,--,--,12300
Mallabula,515.0,1179.0,968.0,--,--,--,12455
Tanilba Bay,478.0,1165.0,968.0,--,--,--,13748
Salamander Bay,534.0,1297.0,1016.0,--,--,--,13463
Soldiers Point,598.0,1330.0,1112.0,--,--,--,13570
Corlette,605.0,1490.0,1281.0,--,--,--,11075
Taylors Beach (NSW),624.0,1437.0,1145.0,--,--,--,13777
Nelson Bay (NSW),585.0,1411.0,1141.0,--,--,--,12923
Fingal Bay,498.0,1122.0,908.0,--,--,--,11518
Shoal Bay (NSW),529.0,1191.0,908.0,--,--,--,13539
Raymond Terrace,554.0,1317.0,1102.0,--,--,--,13327
Tomago,496.0,1187.0,784.0,--,--,--,13889
Heatherbrae,483.0,1273.0,841.0,--,--,--,11884
Eagleton,743.0,1843.0,1625.0,--,--,--,11342
Duns Creek,684.0,1875.0,1775.0,--,--,--,11326
Seaham,716.0,1937.0,1940.0,--,--,--,13510
Wallalong,751.0,2117.0,2031.0,--,--,--,14104
Brandy Hill,716.0,2130.0,2028.0,--,--,--,10548
Hinton,729.0,1781.0,1562.0,--,--,--,11916
Butterwick,682.0,2150.0,2349.0,--,--,--,10725
East Seaham,774.0,2062.0,1708.0,--,--,--,11362
Nelsons Plains,769.0,2016.0,1958.0,--,--,--,12924
Osterley (NSW),758.0,2250.0,1875.0,--,--,--,13099
Tea Gardens,476.0,1053.0,891.0,--,--,--,13779
North Arm Cove,504.0,1329.0,1097.0,--,--,--,12979
Bundabah,459.0,900.0,816.0,--,--,--,10668
Pindimar,587.0,1350.0,1086.0,--,--,--,13211
Hawks Nest,501.0,1098.0,874.0,--,--,--,11873
Karuah,458.0,1003.0,795.0,--,--,--,12076
Medowie,723.0,1875.0,1762.0,--,--,--,12554
Salt Ash,530.0,1365.0,1289.0,--,--,--,13467
Williamtown,635.0,1458.0,766.0,--,--,--,14299
Twelve Mile Creek,544.0,1093.0,924.0,--,--,--,13988
Swan Bay (Port Stephens - NSW),474.0,1267.0,1205.0,--,--,--,13704
Muswellbrook,630.0,1640.0,1331.0,--,--,--,12868
Denman,590.0,1597.0,1176.0,--,--,--,11241
Gungal,427.0,1199.0,966.0,--,--,--,11810
Martindale,565.0,1375.0,1224.0,--,--,--,12510
Castle Rock,712.0,1792.0,1781.0,--,--,--,10848
Aberdeen (NSW),603.0,1682.0,1328.0,--,--,--,10007
Wybong,556.0,1231.0,1291.0,--,--,--,14436
Sandy Hollow,730.0,2050.0,1199.0,--,--,--,13486
Muscle Creek,968.0,2625.0,2410.0,--,--,--,12867
McCullys Gap,644.0,1875.0,1762.0,--,--,--,12540
Scone,674.0,1738.0,1318.0,--,--,--,13503
Middle Brook,746.0,1850.0,1625.0,--,--,--,12600
Dartbrook,809.0,1812.0,1406.0,--,--,--,11217
Segenhoe,834.0,1792.0,1875.0,--,--,--,13517
Rouchel,1038.0,2200.0,2312.0,--,--,--,13422
Murrurundi,480.0,1133.0,824.0,--,--,--,12864
Blandford,656.0,1541.0,1166.0,--,--,--,10406
Wingen,655.0,1625.0,1416.0,--,--,--,14331
Parkville (NSW),713.0,1763.0,1399.0,--,--,--,13154
Upper Dartbrook,855.0,2143.0,1875.0,--,--,--,14022
Gundy,656.0,1843.0,1399.0,--,--,--,11809
Moonan Flat,541.0,1218.0,1020.0,--,--,--,12697
Niangala,713.0,1402.0,1337.0,--,--,--,12962
Merriwa (NSW),527.0,1302.0,1039.0,--,--,--,12585
Moobi,956.0,2166.0,2031.0,--,--,--,12688
Dapto,557.0,1480.0,1238.0,--,--,--,11202
Kanahooka,532.0,1471.0,1212.0,--,--,--,12055
Koonawarra,460.0,1178.0,1038.0,--,--,--,12187
Avondale (NSW),578.0,1631.0,1278.0,--,--,--,10116
Marshall Mount,667.0,2125.0,1812.0,--,--,--,12507
Haywards Bay,789.0,2072.0,2060.0,--,--,--,11880
Brownsville,525.0,1259.0,875.0,--,--,--,10612
Horsley,699.0,1912.0,1826.0,--,--,--,11942
Wongawilli,845.0,2214.0,2055.0,--,--,--,14374
Kembla Grange,672.0,1825.0,1895.0,--,--,--,12092
Dombarton,706.0,2042.0,2250.0,--,--,--,11270
Port Kembla,479.0,1319.0,1016.0,--,--,--,13245
Coniston,487.0,1345.0,1135.0,--,--,--,11010
Unanderra,475.0,1281.0,950.0,--,--,--,14008
Mount Kembla,830.0,2603.0,2325.0,--,--,--,12769
Kembla Heights,658.0,1375.0,1208.0,--,--,--,12093
Cordeaux Heights,744.0,2349.0,2265.0,--,--,--,11070
Farmborough Heights,684.0,2006.0,1816.0,--,--,--,11491
Berkeley,479.0,1339.0,1059.0,--,--,--,10303
Cringila,413.0,1018.0,901.0,--,--,--,11116
Lake Heights,488.0,1290.0,1092.0,--,--,--,12248
Warrawong,412.0,963.0,762.0,--,--,--,14167
Windang,482.0,1282.0,784.0,--,--,--,14316
Primbee,548.0,1576.0,1190.0,--,--,--,13264
Mount Keira,806.0,2423.0,2100.0,--,--,--,12768
Bulli,765.0,2266.0,1896.0,--,--,--,10662
Bargo,638.0,1686.0,1485.0,--,--,--,10198
Yerrinbool,629.0,1672.0,1507.0,--,--,--,14510
Wilton (NSW),978.0,2481.0,2449.0,--,--,--,14311
Pheasants Nest,711.0,2104.0,2042.0,--,--,--,13191
Albion Park,639.0,1817.0,1678.0,--,--,--,10025
Calderwood,792.0,1875.0,1895.0,--,--,--,10750
Tullimbar,775.0,2010.0,1875.0,--,--,--,13958
Yellow Rock (Shellharbour - NSW),575.0,1792.0,1875.0,--,--,--,14503
Albion Park Rail,550.0,1364.0,1198.0,--,--,--,10026
Kiama,651.0,1639.0,1306.0,--,--,--,12116
Kiama Heights,639.0,1708.0,1581.0,--,--,--,12118
Bombo,560.0,1937.0,1375.0,--,--,--,10458
Kiama Downs,716.0,1985.0,1836.0,--,--,--,12117
Minnamurra,723.0,1822.0,1508.0,--,--,--,12639
Gerringong,690.0,1875.0,1496.0,--,--,--,11606
Jamberoo,706.0,2011.0,1703.0,--,--,--,11998
Werri Beach,702.0,1801.0,1593.0,--,--,--,14233
Gerroa,679.0,1607.0,1448.0,--,--,--,11607
Curramore (NSW),670.0,2071.0,1963.0,--,--,--,11174
Jerrara,811.0,2333.0,2349.0,--,--,--,12017
Toolijooa,615.0,2062.0,1625.0,--,--,--,13903
Foxground,669.0,1812.0,1458.0,--,--,--,11558
Flinders (NSW),700.0,1924.0,1783.0,--,--,--,11534
Shellharbour,627.0,1664.0,1395.0,--,--,--,13533
Shell Cove,754.0,2194.0,2155.0,--,--,--,13532
Barrack Point,655.0,1778.0,1342.0,--,--,--,10208
Dunmore (NSW),642.0,1792.0,1775.0,--,--,--,11323
Oak Flats,569.0,1441.0,1274.0,--,--,--,13053
Blackbutt (NSW),599.0,1619.0,1373.0,--,--,--,10391
Shellharbour City Centre,428.0,1524.0,762.0,--,--,--,13534
Warilla,465.0,1129.0,854.0,--,--,--,14151
Lake Illawarra,492.0,1189.0,898.0,--,--,--,12250
Barrack Heights,516.0,1285.0,1088.0,--,--,--,10207
Mount Warrigal,491.0,1293.0,1156.0,--,--,--,12801
Fairy Meadow,497.0,1435.0,1123.0,--,--,--,11484
Balgownie,636.0,1924.0,1558.0,--,--,--,10155
Gwynneville,393.0,1334.0,998.0,--,--,--,11825
North Wollongong,462.0,1670.0,1294.0,--,--,--,13017
Mount Ousley,633.0,2081.0,1784.0,--,--,--,12782
Mount Pleasant (NSW),907.0,2435.0,2258.0,--,--,--,12784
Tarrawanna,488.0,1581.0,1104.0,--,--,--,13769
Corrimal,605.0,1665.0,1230.0,--,--,--,11082
Towradgi,602.0,1772.0,1209.0,--,--,--,13929
Fernhill,471.0,1397.0,870.0,--,--,--,11507
East Corrimal,656.0,1690.0,1276.0,--,--,--,11348
Bellambi,481.0,1201.0,924.0,--,--,--,10264
