,Personal,Family,Household,Personal (%),Family (%),Household (%),SSC_CODE
Cobargo,443.0,1064.0,760.0,--,--,--,10951
Yowrie,419.0,1062.0,817.0,--,--,--,14520
Wandella (NSW),394.0,1062.0,860.0,--,--,--,14128
Angledale,609.0,1562.0,1160.0,--,--,--,10056
Verona,567.0,1180.0,959.0,--,--,--,14073
Tanja,496.0,1224.0,1062.0,--,--,--,13749
Coolagolite,543.0,1174.0,977.0,--,--,--,11023
Brogo,494.0,1242.0,977.0,--,--,--,10589
Coopers Gully,706.0,1949.0,1458.0,--,--,--,11048
Stony Creek (Bega Valley - NSW),675.0,2036.0,1292.0,--,--,--,13668
Numbugga,450.0,966.0,900.0,--,--,--,13038
Buckajo,643.0,1403.0,1363.0,--,--,--,10629
Kameruka,519.0,1312.0,1325.0,--,--,--,12054
Greigs Flat,590.0,1354.0,1221.0,--,--,--,11775
Broulee,587.0,1346.0,1002.0,--,--,--,10608
Tomakin,559.0,1272.0,1018.0,--,--,--,13890
Mossy Point,699.0,1666.0,1380.0,--,--,--,12741
Bodalla,476.0,1204.0,957.0,--,--,--,10434
Narooma,489.0,1121.0,777.0,--,--,--,12900
Eden,486.0,1138.0,852.0,--,--,--,11375
South Durras,662.0,1449.0,1148.0,--,--,--,13580
Mogo (Eurobodalla - NSW),477.0,1125.0,938.0,--,--,--,12660
Jeremadra,548.0,1156.0,1028.0,--,--,--,12012
Mogendoura,511.0,1187.0,937.0,--,--,--,12657
Turlinjah,522.0,1562.0,1350.0,--,--,--,13975
Potato Point,593.0,1521.0,1142.0,--,--,--,13253
Kianga (NSW),479.0,1125.0,873.0,--,--,--,12119
Tuross Head,488.0,1125.0,893.0,--,--,--,13979
Pambula Beach,678.0,1469.0,1260.0,--,--,--,13141
Merimbula,580.0,1252.0,945.0,--,--,--,12575
Tura Beach,544.0,1254.0,1064.0,--,--,--,13973
South Pambula,543.0,1198.0,1120.0,--,--,--,13595
Pambula,501.0,1142.0,843.0,--,--,--,13140
Broadwater (Bega Valley - NSW),582.0,1354.0,1275.0,--,--,--,10579
Bald Hills (NSW),653.0,1421.0,1347.0,--,--,--,10147
Millingandi,465.0,1163.0,770.0,--,--,--,12622
Mirador,655.0,1485.0,1437.0,--,--,--,12644
Berrambool,524.0,1156.0,913.0,--,--,--,10312
Moruya,490.0,1157.0,873.0,--,--,--,12734
Moruya Heads,578.0,1275.0,1042.0,--,--,--,12735
Bergalia,584.0,1774.0,1395.0,--,--,--,10302
Congo,604.0,1406.0,1013.0,--,--,--,11008
Bingie,505.0,1071.0,979.0,--,--,--,10367
Bermagui,493.0,1116.0,843.0,--,--,--,10307
Dalmeny,501.0,1137.0,901.0,--,--,--,11191
Wallaga Lake,461.0,1038.0,768.0,--,--,--,14102
Central Tilba,545.0,1138.0,909.0,--,--,--,10877
North Narooma,557.0,1197.0,1039.0,--,--,--,12998
Akolele,340.0,749.0,687.0,--,--,--,10023
Mystery Bay,485.0,1125.0,928.0,--,--,--,12883
Goulburn,625.0,1477.0,1155.0,--,--,--,11725
Run-o-Waters,748.0,1920.0,1843.0,--,--,--,13440
Marulan,562.0,1380.0,1143.0,--,--,--,12513
Windellama,466.0,1354.0,814.0,--,--,--,14318
Bigga,488.0,1093.0,866.0,--,--,--,10346
Tirrannaville,752.0,1854.0,1575.0,--,--,--,13883
Lake Bathurst,507.0,2022.0,1649.0,--,--,--,12239
Quialigo,638.0,1604.0,1471.0,--,--,--,13297
Laggan,628.0,1568.0,1509.0,--,--,--,12235
Grabben Gullen,590.0,1406.0,956.0,--,--,--,11731
Parkesbourne,740.0,2068.0,1875.0,--,--,--,13152
Yarra,772.0,1625.0,1624.0,--,--,--,14468
