,Occupied private dwellings,Unoccupied private dwellings,Occupied private dwellings (%),Unoccupied private dwellings (%)
Rouse Hill,2110.0,67.0,96.9,3.1
Rozelle,3273.0,288.0,91.9,8.1
Ruse,1863.0,85.0,95.6,4.4
Rushcutters Bay,1209.0,219.0,84.7,15.3
Russell Lea,1787.0,113.0,94.1,5.9
Russell Vale,554.0,22.0,96.2,3.8
Rydalmere,2081.0,119.0,94.6,5.4
Ryde,8001.0,573.0,93.3,6.7
Sadleir,960.0,47.0,95.3,4.7
San Remo (NSW),1470.0,129.0,91.9,8.1
Sandringham (NSW),399.0,43.0,90.3,9.7
Sans Souci,3786.0,312.0,92.4,7.6
Saratoga,1354.0,132.0,91.1,8.9
Scarborough (NSW),98.0,27.0,78.4,21.6
Schofields,1274.0,99.0,92.8,7.2
Scotland Island,252.0,82.0,75.4,24.6
Seaforth (NSW),2127.0,176.0,92.4,7.6
Sefton,1646.0,76.0,95.6,4.4
Seven Hills (NSW),6470.0,299.0,95.6,4.4
Shalvey,1016.0,70.0,93.6,6.4
Shell Cove,1212.0,97.0,92.6,7.4
Shellharbour,1220.0,133.0,90.2,9.8
Shelly Beach (NSW),470.0,70.0,87.0,13.0
Shortland,1500.0,86.0,94.6,5.4
Silverwater (Lake Macquarie - NSW),94.0,37.0,71.8,28.2
Smithfield (NSW),3533.0,167.0,95.5,4.5
South Coogee,1949.0,186.0,91.3,8.7
South Granville,1424.0,79.0,94.7,5.3
South Hurstville,1674.0,113.0,93.7,6.3
South Penrith,4058.0,208.0,95.1,4.9
South Turramurra,952.0,42.0,95.8,4.2
South Wentworthville,1885.0,128.0,93.6,6.4
Speers Point,1285.0,112.0,92.0,8.0
Springfield (Gosford - NSW),1405.0,83.0,94.4,5.6
Springwood (NSW),3133.0,239.0,92.9,7.1
St Andrews (NSW),1790.0,66.0,96.4,3.6
St Clair (Penrith - NSW),6087.0,210.0,96.7,3.3
St Helens Park,1988.0,70.0,96.6,3.4
St Huberts Island,420.0,102.0,80.5,19.5
St Ives (NSW),5199.0,363.0,93.5,6.5
St Ives Chase,963.0,44.0,95.6,4.4
St Johns Park,1673.0,66.0,96.2,3.8
St Leonards (NSW),2086.0,171.0,92.4,7.6
St Marys (NSW),4103.0,303.0,93.1,6.9
St Peters (NSW),1162.0,103.0,91.9,8.1
Stanhope Gardens,2394.0,59.0,97.6,2.4
Stanmore (NSW),3089.0,265.0,92.1,7.9
Stockton (NSW),1489.0,211.0,87.6,12.4
Strathfield (NSW),7478.0,410.0,94.8,5.2
Strathfield South,1077.0,55.0,95.1,4.9
Summer Hill (Ashfield - NSW),2714.0,181.0,93.7,6.3
Surry Hills,6955.0,845.0,89.2,10.8
Sutherland (NSW),4312.0,240.0,94.7,5.3
Swansea (NSW),2058.0,235.0,89.8,10.2
Swansea Heads,232.0,41.0,85.0,15.0
Sydenham (NSW),386.0,17.0,95.8,4.2
Sydney,5356.0,1181.0,81.9,18.1
Sylvania,3558.0,271.0,92.9,7.1
Sylvania Waters,1072.0,94.0,91.9,8.1
Tacoma,232.0,19.0,92.4,7.6
Tacoma South,84.0,12.0,87.5,12.5
Tamarama,520.0,70.0,88.1,11.9
Taren Point,660.0,45.0,93.6,6.4
Tarrawanna,773.0,44.0,94.6,5.4
Tascott,581.0,38.0,93.9,6.1
Tempe,1156.0,87.0,93.0,7.0
Teralba,570.0,50.0,91.9,8.1
Terrey Hills,922.0,49.0,95.0,5.0
Terrigal,3964.0,819.0,82.9,17.1
The Entrance,1682.0,1187.0,58.6,41.4
The Entrance North,560.0,330.0,62.9,37.1
The Hill,790.0,127.0,86.2,13.8
The Junction,658.0,69.0,90.5,9.5
Thirroul,2015.0,215.0,90.4,9.6
Thornleigh,2678.0,132.0,95.3,4.7
Tighes Hill,660.0,47.0,93.4,6.6
Tingira Heights,665.0,47.0,93.4,6.6
Toongabbie (NSW),4357.0,193.0,95.8,4.2
Toowoon Bay,258.0,140.0,64.8,35.2
Toronto,2126.0,264.0,89.0,11.0
Toukley,1794.0,316.0,85.0,15.0
Towradgi,1206.0,131.0,90.2,9.8
Tregear,1224.0,70.0,94.6,5.4
Tuggerah,362.0,21.0,94.5,5.5
Tuggerawong,460.0,43.0,91.5,8.5
Tumbi Umbi,1732.0,132.0,92.9,7.1
Turramurra,3750.0,256.0,93.6,6.4
Turrella,463.0,36.0,92.8,7.2
Ultimo,2583.0,215.0,92.3,7.7
Umina Beach,6288.0,838.0,88.2,11.8
Unanderra,2186.0,161.0,93.1,6.9
Valentine (NSW),1971.0,151.0,92.9,7.1
Valley Heights,488.0,27.0,94.8,5.2
Vaucluse,3058.0,328.0,90.3,9.7
Villawood,1746.0,126.0,93.3,6.7
Voyager Point,365.0,7.0,98.1,1.9
Wahroonga,5335.0,388.0,93.2,6.8
Waitara,2246.0,171.0,92.9,7.1
Wakeley,1353.0,53.0,96.2,3.8
Wallsend,4815.0,345.0,93.3,6.7
Wamberal,2139.0,349.0,86.0,14.0
Warabrook,740.0,29.0,96.2,3.8
Waratah (NSW),1801.0,127.0,93.4,6.6
Waratah West,1030.0,67.0,93.9,6.1
Wareemba,567.0,49.0,92.0,8.0
Warilla,2506.0,190.0,93.0,7.0
Warners Bay,2992.0,227.0,92.9,7.1
Warrawee,915.0,68.0,93.1,6.9
Warrawong,1864.0,190.0,90.7,9.3
Warriewood,1975.0,98.0,95.3,4.7
Warrimoo,805.0,44.0,94.8,5.2
Warwick Farm,1664.0,151.0,91.7,8.3
Watanobbi,1303.0,58.0,95.7,4.3
Waterloo (NSW),4817.0,422.0,91.9,8.1
Watsons Bay,265.0,50.0,84.1,15.9
Wattle Grove (NSW),2544.0,95.0,96.4,3.6
Waverley (NSW),1564.0,160.0,90.7,9.3
Waverton,1275.0,156.0,89.1,10.9
Wentworthville,3632.0,196.0,94.9,5.1
Werrington,1443.0,95.0,93.8,6.2
Werrington County,1204.0,48.0,96.2,3.8
Werrington Downs,1047.0,41.0,96.2,3.8
West Gosford,621.0,58.0,91.5,8.5
West Hoxton,2400.0,68.0,97.2,2.8
West Pennant Hills,5019.0,252.0,95.2,4.8
West Pymble,1646.0,90.0,94.8,5.2
West Ryde,4507.0,272.0,94.3,5.7
West Wallsend,628.0,43.0,93.6,6.4
West Wollongong,1713.0,115.0,93.7,6.3
Westleigh,1458.0,59.0,96.1,3.9
Westmead,4905.0,318.0,93.9,6.1
Wetherill Park,1817.0,58.0,96.9,3.1
Whalan,1911.0,112.0,94.5,5.5
Whitebridge,916.0,62.0,93.7,6.3
Wickham (NSW),428.0,71.0,85.8,14.2
Wiley Park,2992.0,170.0,94.6,5.4
Willmot,774.0,39.0,95.2,4.8
Willoughby (NSW),2104.0,171.0,92.5,7.5
Willoughby East,547.0,36.0,93.8,6.2
Windale,1234.0,130.0,90.5,9.5
Windang,1166.0,72.0,94.2,5.8
Winmalee,2239.0,127.0,94.6,5.4
Winston Hills,3771.0,179.0,95.5,4.5
Wollongong,7374.0,913.0,89.0,11.0
Wollstonecraft,3749.0,358.0,91.3,8.7
Wombarra,314.0,82.0,79.3,20.7
Woodbine (NSW),842.0,38.0,95.7,4.3
Woodcroft (NSW),1821.0,48.0,97.4,2.6
Woodpark,423.0,22.0,95.1,4.9
Woodrising,395.0,22.0,94.7,5.3
Woollahra,3082.0,381.0,89.0,11.0
Woolloomooloo,1705.0,325.0,84.0,16.0
Woolooware,1512.0,99.0,93.9,6.1
Woolwich,281.0,33.0,89.5,10.5
Woonona,4308.0,326.0,93.0,7.0
Woronora,717.0,46.0,94.0,6.0
Woronora Heights,842.0,17.0,98.0,2.0
Woy Woy,4339.0,412.0,91.3,8.7
Woy Woy Bay,154.0,29.0,84.2,15.8
Wyoming,3703.0,285.0,92.9,7.1
Wyong,1570.0,137.0,92.0,8.0
Wyongah,677.0,60.0,91.9,8.1
Yagoona,4854.0,237.0,95.3,4.7
Yarrawarrah,947.0,37.0,96.2,3.8
Yattalunga (NSW),186.0,7.0,96.4,3.6
Yennora,447.0,31.0,93.5,6.5
Yowie Bay,1061.0,70.0,93.8,6.2
Zetland,1652.0,153.0,91.5,8.5
