,Occupied private dwellings,Unoccupied private dwellings,Occupied private dwellings (%),Unoccupied private dwellings (%)
Cartwright,836.0,55.0,93.8,6.2
Castle Cove,825.0,87.0,90.5,9.5
Castle Hill (NSW),12064.0,611.0,95.2,4.8
Castlecrag,943.0,66.0,93.5,6.5
Casula,4414.0,139.0,96.9,3.1
Caves Beach,1396.0,185.0,88.3,11.7
Cecil Hills,1807.0,67.0,96.4,3.6
Centennial Park (NSW),1045.0,160.0,86.7,13.3
Charlestown (NSW),4866.0,343.0,93.4,6.6
Charmhaven,838.0,62.0,93.1,6.9
Chatswood,7804.0,687.0,91.9,8.1
Chatswood West,478.0,47.0,91.0,9.0
Cheltenham (NSW),650.0,34.0,95.0,5.0
Cherrybrook,5790.0,221.0,96.3,3.7
Chester Hill,3824.0,182.0,95.5,4.5
Chifley (NSW),1076.0,60.0,94.7,5.3
Chippendale,1741.0,182.0,90.5,9.5
Chipping Norton,2820.0,107.0,96.3,3.7
Chiswick,1106.0,182.0,85.9,14.1
Chittaway Bay,697.0,54.0,92.8,7.2
Chittaway Point,310.0,49.0,86.4,13.6
Church Point,397.0,57.0,87.4,12.6
Claremont Meadows,1272.0,39.0,97.0,3.0
Claymore,814.0,38.0,95.5,4.5
Clontarf (NSW),530.0,46.0,92.0,8.0
Clovelly,1721.0,159.0,91.5,8.5
Coal Point,625.0,121.0,83.8,16.2
Coledale,410.0,92.0,81.7,18.3
Collaroy (NSW),4988.0,391.0,92.7,7.3
Colyton,2649.0,137.0,95.1,4.9
Como (NSW),1227.0,64.0,95.0,5.0
Concord,4728.0,295.0,94.1,5.9
Concord West,1907.0,125.0,93.8,6.2
Condell Park,3074.0,133.0,95.9,4.1
Coniston,828.0,91.0,90.1,9.9
Connells Point,895.0,52.0,94.5,5.5
Coogee (NSW),5913.0,651.0,90.1,9.9
Cooks Hill,1618.0,162.0,90.9,9.1
Copacabana,908.0,489.0,65.0,35.0
Cordeaux Heights,1389.0,62.0,95.7,4.3
Corrimal,2535.0,159.0,94.1,5.9
Cranebrook,4629.0,182.0,96.2,3.8
Cremorne (NSW),4875.0,475.0,91.1,8.9
Cremorne Point,886.0,141.0,86.3,13.7
Cringila,673.0,37.0,94.8,5.2
Cromer (NSW),2464.0,138.0,94.7,5.3
Cronulla,7774.0,996.0,88.6,11.4
Croudace Bay,198.0,8.0,96.1,3.9
Crows Nest (NSW),1803.0,166.0,91.6,8.4
Croydon (NSW),3439.0,137.0,96.2,3.8
Croydon Park (NSW),3864.0,211.0,94.8,5.2
Curl Curl,786.0,59.0,93.0,7.0
Currans Hill,1596.0,94.0,94.4,5.6
Daceyville,522.0,28.0,94.9,5.1
Daleys Point,259.0,73.0,78.0,22.0
Dapto,3934.0,208.0,95.0,5.0
Darling Point,1875.0,467.0,80.1,19.9
Darlinghurst,4742.0,849.0,84.8,15.2
Darlington (Sydney - NSW),792.0,56.0,93.4,6.6
Davidson,768.0,33.0,95.9,4.1
Davistown,943.0,154.0,86.0,14.0
Dawes Point,234.0,74.0,76.0,24.0
Dean Park,911.0,26.0,97.2,2.8
Dee Why,8437.0,652.0,92.8,7.2
Denistone,1134.0,61.0,94.9,5.1
Denistone East,696.0,31.0,95.7,4.3
Denistone West,296.0,6.0,98.0,2.0
Dharruk,808.0,50.0,94.2,5.8
Dolans Bay,169.0,12.0,93.4,6.6
Dolls Point,828.0,115.0,87.8,12.2
Doonside,4089.0,216.0,95.0,5.0
Double Bay,1969.0,323.0,85.9,14.1
Dover Heights,1333.0,83.0,94.1,5.9
Drummoyne,4488.0,414.0,91.6,8.4
Dudley,831.0,59.0,93.4,6.6
Dulwich Hill,5177.0,334.0,93.9,6.1
Dundas (NSW),1273.0,84.0,93.8,6.2
Dundas Valley,1635.0,110.0,93.7,6.3
Dural (Hornsby - NSW),2321.0,144.0,94.2,5.8
Eagle Vale,1717.0,50.0,97.2,2.8
Earlwood,5734.0,415.0,93.3,6.7
East Gosford,1789.0,147.0,92.4,7.6
East Hills,1164.0,81.0,93.5,6.5
East Killara,900.0,66.0,93.2,6.8
East Lindfield,1123.0,69.0,94.2,5.8
East Ryde,766.0,42.0,94.8,5.2
